tick,day,scene_id,mutation_id,avatar_x,avatar_y,selected_agent,selected_object,ceremony_phase,mutation_version,state_changed,scene_bounds_valid
283,19,v21-scene-d19,v21-mutation-0283,7.12,2.8,Melo,none,prompt,21,1,1
284,19,v21-scene-d19,v21-mutation-0284,7.12,2.8,Nari,ink ledger,prompt,21,1,1
285,20,v21-scene-d20,v21-mutation-0285,7.12,2.8,Vonn,listening shell,handoff,21,1,1
286,20,v21-scene-d20,v21-mutation-0286,7.4,2.8,Sova,none,prompt,21,1,1
287,20,v21-scene-d20,v21-mutation-0287,7.4,2.8,Keth,path cord,prompt,21,1,1
288,20,v21-scene-d20,v21-mutation-0288,7.4,2.56,Melo,tally beads,prompt,21,1,1
289,20,v21-scene-d20,v21-mutation-0289,7.4,2.8,Nari,none,prompt,21,1,1
290,20,v21-scene-d20,v21-mutation-0290,7.68,2.8,Ori,none,prompt,21,1,1
291,20,v21-scene-d20,v21-mutation-0291,7.96,2.8,none,none,handoff,21,1,1
292,20,v21-scene-d20,v21-mutation-0292,8.24,2.8,Sova,none,prompt,21,1,1
293,20,v21-scene-d20,v21-mutation-0293,8.24,2.8,Keth,path cord,handoff,21,1,1
294,20,v21-scene-d20,v21-mutation-0294,7.96,2.8,Melo,tally beads,prompt,21,1,1
295,20,v21-scene-d20,v21-mutation-0295,7.96,2.56,Nari,none,prompt,21,1,1
296,20,v21-scene-d20,v21-mutation-0296,7.96,2.8,Ori,none,prompt,21,1,1
297,20,v21-scene-d20,v21-mutation-0297,8.24,2.8,Vonn,none,prompt,21,1,1
298,20,v21-scene-d20,v21-mutation-0298,8.24,3.04,Sova,none,prompt,21,1,1
299,20,v21-scene-d20,v21-mutation-0299,7.96,3.04,Keth,path cord,prompt,21,1,1
300,21,v21-scene-d21,v21-mutation-0300,7.96,3.04,Nari,ink ledger,restored,21,1,1
301,21,v21-scene-d21,v21-mutation-0301,7.96,3.04,Ori,sap hook,handoff,21,1,1
302,21,v21-scene-d21,v21-mutation-0302,7.96,3.04,Vonn,listening shell,prompt,21,1,1
303,21,v21-scene-d21,v21-mutation-0303,7.96,3.04,Sova,ember bowl,prompt,21,1,1
304,21,v21-scene-d21,v21-mutation-0304,7.96,3.04,Keth,path cord,handoff,21,1,1
305,21,v21-scene-d21,v21-mutation-0305,7.96,3.04,Melo,none,restored,21,1,1
306,21,v21-scene-d21,v21-mutation-0306,7.68,3.04,none,ink ledger,restored,21,1,1
307,21,v21-scene-d21,v21-mutation-0307,7.68,3.04,Ori,none,restored,21,1,1
308,21,v21-scene-d21,v21-mutation-0308,7.4,3.04,Vonn,none,prompt,21,1,1
309,21,v21-scene-d21,v21-mutation-0309,7.4,3.28,Sova,none,prompt,21,1,1
310,21,v21-scene-d21,v21-mutation-0310,7.4,3.28,Keth,path cord,prompt,21,1,1
311,21,v21-scene-d21,v21-mutation-0311,7.12,3.28,Melo,tally beads,prompt,21,1,1
312,21,v21-scene-d21,v21-mutation-0312,7.12,3.28,Nari,ink ledger,prompt,21,1,1
313,21,v21-scene-d21,v21-mutation-0313,7.12,3.28,Ori,none,restored,21,1,1
314,21,v21-scene-d21,v21-mutation-0314,7.12,3.28,Vonn,listening shell,prompt,21,1,1
315,22,v21-scene-d22,v21-mutation-0315,7.12,3.28,Keth,path cord,restored,21,1,1
316,22,v21-scene-d22,v21-mutation-0316,6.84,3.28,Melo,tally beads,prompt,21,1,1
317,22,v21-scene-d22,v21-mutation-0317,7.12,3.28,Nari,none,prompt,21,1,1
318,22,v21-scene-d22,v21-mutation-0318,7.12,3.28,Ori,sap hook,handoff,21,1,1
319,22,v21-scene-d22,v21-mutation-0319,7.12,3.04,Vonn,none,prompt,21,1,1
320,22,v21-scene-d22,v21-mutation-0320,7.4,3.04,Sova,none,prompt,21,1,1
321,22,v21-scene-d22,v21-mutation-0321,7.4,3.04,Keth,path cord,prompt,21,1,1
322,22,v21-scene-d22,v21-mutation-0322,7.4,3.28,Melo,tally beads,prompt,21,1,1
323,22,v21-scene-d22,v21-mutation-0323,7.4,3.28,Nari,ink ledger,handoff,21,1,1
324,22,v21-scene-d22,v21-mutation-0324,7.4,3.28,Ori,sap hook,prompt,21,1,1
325,22,v21-scene-d22,v21-mutation-0325,7.12,3.28,Vonn,none,prompt,21,1,1
326,22,v21-scene-d22,v21-mutation-0326,7.12,3.04,Sova,none,prompt,21,1,1
327,22,v21-scene-d22,v21-mutation-0327,7.12,3.04,Keth,path cord,handoff,21,1,1
328,22,v21-scene-d22,v21-mutation-0328,7.12,3.04,Melo,tally beads,handoff,21,1,1
329,22,v21-scene-d22,v21-mutation-0329,6.84,3.04,Nari,none,prompt,21,1,1
330,23,v21-scene-d23,v21-mutation-0330,6.84,3.04,Vonn,listening shell,handoff,21,1,1
331,23,v21-scene-d23,v21-mutation-0331,6.84,2.8,Sova,ember bowl,prompt,21,1,1
332,23,v21-scene-d23,v21-mutation-0332,6.84,2.8,Keth,path cord,prompt,21,1,1
333,23,v21-scene-d23,v21-mutation-0333,7.12,2.8,Melo,none,prompt,21,1,1
334,23,v21-scene-d23,v21-mutation-0334,7.12,2.8,Nari,ink ledger,prompt,21,1,1
335,23,v21-scene-d23,v21-mutation-0335,7.12,2.8,Ori,sap hook,prompt,21,1,1
336,23,v21-scene-d23,v21-mutation-0336,7.12,2.8,Vonn,listening shell,handoff,21,1,1
337,23,v21-scene-d23,v21-mutation-0337,7.12,2.56,Sova,none,prompt,21,1,1
338,23,v21-scene-d23,v21-mutation-0338,7.12,2.56,Keth,path cord,prompt,21,1,1
339,23,v21-scene-d23,v21-mutation-0339,7.4,2.56,Melo,none,prompt,21,1,1
340,23,v21-scene-d23,v21-mutation-0340,7.4,2.32,Nari,none,prompt,21,1,1
341,23,v21-scene-d23,v21-mutation-0341,7.4,2.32,none,none,idle,21,0,1
342,23,v21-scene-d23,v21-mutation-0342,7.4,2.32,Vonn,listening shell,prompt,21,1,1
343,23,v21-scene-d23,v21-mutation-0343,7.4,2.56,Sova,none,prompt,21,1,1
344,23,v21-scene-d23,v21-mutation-0344,7.4,2.32,Keth,path cord,prompt,21,1,1
345,24,v21-scene-d24,v21-mutation-0345,7.4,2.32,Nari,ink ledger,prompt,21,1,1
346,24,v21-scene-d24,v21-mutation-0346,7.4,2.32,Ori,sap hook,handoff,21,1,1
347,24,v21-scene-d24,v21-mutation-0347,7.4,2.32,Vonn,listening shell,handoff,21,1,1
348,24,v21-scene-d24,v21-mutation-0348,7.12,2.32,Sova,ember bowl,prompt,21,1,1
349,24,v21-scene-d24,v21-mutation-0349,7.12,2.32,Keth,path cord,restored,21,1,1
350,24,v21-scene-d24,v21-mutation-0350,7.12,2.32,Melo,tally beads,prompt,21,1,1
351,24,v21-scene-d24,v21-mutation-0351,7.12,2.56,none,none,marked,21,1,1
352,24,v21-scene-d24,v21-mutation-0352,7.12,2.56,Ori,sap hook,handoff,21,1,1
353,24,v21-scene-d24,v21-mutation-0353,6.84,2.56,Vonn,none,prompt,21,1,1
354,24,v21-scene-d24,v21-mutation-0354,6.84,2.56,Sova,ember bowl,prompt,21,1,1
355,24,v21-scene-d24,v21-mutation-0355,6.84,2.56,Keth,path cord,restored,21,1,1
356,24,v21-scene-d24,v21-mutation-0356,6.84,2.56,Melo,tally beads,prompt,21,1,1
357,24,v21-scene-d24,v21-mutation-0357,6.84,2.56,Nari,ink ledger,prompt,21,1,1
358,24,v21-scene-d24,v21-mutation-0358,6.84,2.56,Ori,sap hook,prompt,21,1,1
359,24,v21-scene-d24,v21-mutation-0359,6.84,2.56,Vonn,none,restored,21,1,1
