generation,year,epoch,settlement_id,stratum_name,institution,material_practice,settlement_role,inherited_from_previous,changed_this_generation,continuity_hash
41,1230,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,False,v37-511598
41,1230,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,True,v37-481147
41,1230,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,False,v37-808954
42,1260,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,False,v37-638770
42,1260,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,True,v37-572265
42,1260,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,False,v37-645310
42,1260,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,True,v37-511781
42,1260,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,False,v37-481330
42,1260,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,False,v37-809137
43,1290,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,True,v37-638953
43,1290,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,False,v37-572448
43,1290,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,True,v37-645493
43,1290,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,False,v37-511964
43,1290,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,False,v37-481513
43,1290,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,False,v37-809320
44,1320,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,False,v37-639136
44,1320,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,True,v37-572631
44,1320,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,False,v37-645676
44,1320,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,False,v37-512147
44,1320,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,False,v37-481696
44,1320,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,True,v37-809503
45,1350,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,True,v37-639319
45,1350,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,False,v37-572814
45,1350,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,False,v37-645859
45,1350,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,False,v37-512330
45,1350,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,True,v37-481879
45,1350,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,False,v37-809686
46,1380,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,False,v37-639502
46,1380,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,False,v37-572997
46,1380,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,False,v37-646042
46,1380,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,True,v37-512513
46,1380,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,False,v37-482062
46,1380,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,False,v37-809869
47,1410,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,False,v37-639685
47,1410,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,False,v37-573180
47,1410,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,True,v37-646225
47,1410,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,False,v37-512696
47,1410,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,False,v37-482245
47,1410,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,True,v37-810052
48,1440,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,False,v37-639868
48,1440,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,True,v37-573363
48,1440,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,False,v37-646408
48,1440,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,False,v37-512879
48,1440,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,True,v37-482428
48,1440,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,False,v37-810235
49,1470,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,True,v37-640051
49,1470,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,False,v37-573546
49,1470,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,False,v37-646591
49,1470,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,True,v37-513062
49,1470,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,False,v37-482611
49,1470,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,True,v37-810418
50,1500,5,riverbend,epoch-5-riverbend-stratum,route council,cedar-signal lenses,dry crossing stewards,True,False,v37-638586
50,1500,5,roofward,epoch-5-roofward-stratum,memory house,glass-signal lenses,herb preservation stewards,True,False,v37-572081
50,1500,5,archive,epoch-5-archive-stratum,repair kinship,inkstone-signal lenses,signal memory stewards,True,True,v37-645126
50,1500,5,signal,epoch-5-signal-stratum,route council,copper-signal lenses,path visibility stewards,True,False,v37-511597
50,1500,5,orchard,epoch-5-orchard-stratum,memory house,clay-signal lenses,dry seed continuity stewards,True,True,v37-481146
50,1500,5,repair_ring,epoch-5-repair_ring-stratum,repair kinship,bronze-signal lenses,safe repair space stewards,True,False,v37-808953
51,1530,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,False,v37-620681
51,1530,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,True,v37-554382
51,1530,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,False,v37-627219
51,1530,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,True,v37-494034
51,1530,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,False,v37-463653
51,1530,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,False,v37-790636
52,1560,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,True,v37-620864
52,1560,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,False,v37-554565
52,1560,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,True,v37-627402
52,1560,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,False,v37-494217
52,1560,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,False,v37-463836
52,1560,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,False,v37-790819
53,1590,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,False,v37-621047
53,1590,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,True,v37-554748
53,1590,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,False,v37-627585
53,1590,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,False,v37-494400
53,1590,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,False,v37-464019
53,1590,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,True,v37-791002
54,1620,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,True,v37-621230
54,1620,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,False,v37-554931
54,1620,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,False,v37-627768
54,1620,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,False,v37-494583
54,1620,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,True,v37-464202
54,1620,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,False,v37-791185
55,1650,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,False,v37-621413
55,1650,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,False,v37-555114
55,1650,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,False,v37-627951
55,1650,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,True,v37-494766
55,1650,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,False,v37-464385
55,1650,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,False,v37-791368
56,1680,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,False,v37-621596
56,1680,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,False,v37-555297
56,1680,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,True,v37-628134
56,1680,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,False,v37-494949
56,1680,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,False,v37-464568
56,1680,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,True,v37-791551
57,1710,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,False,v37-621779
57,1710,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,True,v37-555480
57,1710,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,False,v37-628317
57,1710,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,False,v37-495132
57,1710,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,True,v37-464751
57,1710,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,False,v37-791734
58,1740,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,True,v37-621962
58,1740,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,False,v37-555663
58,1740,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,False,v37-628500
58,1740,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,True,v37-495315
58,1740,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,False,v37-464934
58,1740,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,True,v37-791917
59,1770,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,False,v37-622145
59,1770,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,False,v37-555846
59,1770,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,True,v37-628683
59,1770,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,False,v37-495498
59,1770,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,True,v37-465117
59,1770,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,False,v37-792100
60,1800,6,riverbend,epoch-6-riverbend-stratum,route council,cedar-memory looms,dry crossing stewards,True,False,v37-620680
60,1800,6,roofward,epoch-6-roofward-stratum,memory house,glass-memory looms,herb preservation stewards,True,True,v37-554381
60,1800,6,archive,epoch-6-archive-stratum,repair kinship,inkstone-memory looms,signal memory stewards,True,False,v37-627218
60,1800,6,signal,epoch-6-signal-stratum,route council,copper-memory looms,path visibility stewards,True,True,v37-494033
60,1800,6,orchard,epoch-6-orchard-stratum,memory house,clay-memory looms,dry seed continuity stewards,True,False,v37-463652
60,1800,6,repair_ring,epoch-6-repair_ring-stratum,repair kinship,bronze-memory looms,safe repair space stewards,True,False,v37-790635
61,1830,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,True,v37-643364
61,1830,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,False,v37-576809
61,1830,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,True,v37-649900
61,1830,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,False,v37-516289
61,1830,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,False,v37-485824
61,1830,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,False,v37-813831
62,1860,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,False,v37-643547
62,1860,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,True,v37-576992
62,1860,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,False,v37-650083
62,1860,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,False,v37-516472
62,1860,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,False,v37-486007
62,1860,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,True,v37-814014
63,1890,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,True,v37-643730
63,1890,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,False,v37-577175
63,1890,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,False,v37-650266
63,1890,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,False,v37-516655
63,1890,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,True,v37-486190
63,1890,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,False,v37-814197
64,1920,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,False,v37-643913
64,1920,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,False,v37-577358
64,1920,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,False,v37-650449
64,1920,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,True,v37-516838
64,1920,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,False,v37-486373
64,1920,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,False,v37-814380
65,1950,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,False,v37-644096
65,1950,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,False,v37-577541
65,1950,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,True,v37-650632
65,1950,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,False,v37-517021
65,1950,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,False,v37-486556
65,1950,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,True,v37-814563
66,1980,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,False,v37-644279
66,1980,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,True,v37-577724
66,1980,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,False,v37-650815
66,1980,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,False,v37-517204
66,1980,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,True,v37-486739
66,1980,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,False,v37-814746
67,2010,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,True,v37-644462
67,2010,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,False,v37-577907
67,2010,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,False,v37-650998
67,2010,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,True,v37-517387
67,2010,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,False,v37-486922
67,2010,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,True,v37-814929
68,2040,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,False,v37-644645
68,2040,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,False,v37-578090
68,2040,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,True,v37-651181
68,2040,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,False,v37-517570
68,2040,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,True,v37-487105
68,2040,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,False,v37-815112
69,2070,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,False,v37-644828
69,2070,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,True,v37-578273
69,2070,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,False,v37-651364
69,2070,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,True,v37-517753
69,2070,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,False,v37-487288
69,2070,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,False,v37-815295
70,2100,7,riverbend,epoch-7-riverbend-stratum,route council,cedar-route engines,dry crossing stewards,True,True,v37-643363
70,2100,7,roofward,epoch-7-roofward-stratum,memory house,glass-route engines,herb preservation stewards,True,False,v37-576808
70,2100,7,archive,epoch-7-archive-stratum,repair kinship,inkstone-route engines,signal memory stewards,True,True,v37-649899
70,2100,7,signal,epoch-7-signal-stratum,route council,copper-route engines,path visibility stewards,True,False,v37-516288
70,2100,7,orchard,epoch-7-orchard-stratum,memory house,clay-route engines,dry seed continuity stewards,True,False,v37-485823
70,2100,7,repair_ring,epoch-7-repair_ring-stratum,repair kinship,bronze-route engines,safe repair space stewards,True,False,v37-813830
71,2130,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,False,v37-812977
71,2130,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,True,v37-744507
71,2130,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,False,v37-819511
71,2130,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,False,v37-682709
71,2130,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,False,v37-651607
71,2130,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,True,v37-987274
72,2160,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,True,v37-813160
72,2160,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,False,v37-744690
72,2160,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,False,v37-819694
72,2160,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,False,v37-682892
72,2160,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,True,v37-651790
72,2160,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,False,v37-987457
73,2190,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,False,v37-813343
73,2190,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,False,v37-744873
73,2190,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,False,v37-819877
73,2190,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,True,v37-683075
73,2190,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,False,v37-651973
73,2190,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,False,v37-987640
74,2220,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,False,v37-813526
74,2220,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,False,v37-745056
74,2220,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,True,v37-820060
74,2220,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,False,v37-683258
74,2220,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,False,v37-652156
74,2220,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,True,v37-987823
75,2250,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,False,v37-813709
75,2250,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,True,v37-745239
75,2250,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,False,v37-820243
75,2250,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,False,v37-683441
75,2250,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,True,v37-652339
75,2250,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,False,v37-988006
76,2280,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,True,v37-813892
76,2280,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,False,v37-745422
76,2280,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,False,v37-820426
76,2280,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,True,v37-683624
76,2280,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,False,v37-652522
76,2280,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,True,v37-988189
77,2310,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,False,v37-814075
77,2310,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,False,v37-745605
77,2310,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,True,v37-820609
77,2310,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,False,v37-683807
77,2310,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,True,v37-652705
77,2310,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,False,v37-988372
78,2340,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,False,v37-814258
78,2340,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,True,v37-745788
78,2340,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,False,v37-820792
78,2340,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,True,v37-683990
78,2340,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,False,v37-652888
78,2340,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,False,v37-988555
79,2370,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,True,v37-814441
79,2370,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,False,v37-745971
79,2370,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,True,v37-820975
79,2370,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,False,v37-684173
79,2370,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,False,v37-653071
79,2370,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,False,v37-988738
80,2400,8,riverbend,epoch-8-riverbend-stratum,route council,cedar-civic observatories,dry crossing stewards,True,False,v37-812976
80,2400,8,roofward,epoch-8-roofward-stratum,memory house,glass-civic observatories,herb preservation stewards,True,True,v37-744506
80,2400,8,archive,epoch-8-archive-stratum,repair kinship,inkstone-civic observatories,signal memory stewards,True,False,v37-819510
80,2400,8,signal,epoch-8-signal-stratum,route council,copper-civic observatories,path visibility stewards,True,False,v37-682708
80,2400,8,orchard,epoch-8-orchard-stratum,memory house,clay-civic observatories,dry seed continuity stewards,True,False,v37-651606
80,2400,8,repair_ring,epoch-8-repair_ring-stratum,repair kinship,bronze-civic observatories,safe repair space stewards,True,True,v37-987273
