tick_id,day,settlement_id,resident_id,object_id,owner_id,object_use,action,permission_state,location_before,location_after,carried_after,relationship_before,relationship_after,queue_before,queue_after,consequence_label,consequence_visible,bounded_consequence,rollback_available
650,37,riverbend,Lio,dry shawl,shared,care,request_permission,granted,dry ridge,dry ridge,False,0.98,0.98,0.106,0.102,permission negotiated,True,True,True
651,37,roofward,Fay,sun lens,Fay,craft,wait_respectfully,observed,glass stair,glass stair,False,0.98,0.98,0.134,0.124,respectful pressure reduction,True,True,True
654,37,orchard,Mara,apple wrap,shared,care,turn_right,observed,mud row,mud row,False,0.98,0.98,0.071,0.07,ambient ownership awareness,True,True,True
657,37,roofward,Fay,brass hinge,Fay,repair,turn_right,observed,sun sill,sun sill,False,0.98,0.98,0.124,0.123,ambient ownership awareness,True,True,True
659,37,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.142,0.148,object attention registered,True,True,True
660,37,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.07,0.066,permission negotiated,True,True,True
662,37,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.102,0.108,object attention registered,True,True,True
663,37,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.123,0.119,permission negotiated,True,True,True
666,38,repair_ring,Juno,bell gauge,Juno,diagnostic,listen_memory,observed,wire bench,wire bench,False,0.98,0.98,0.165,0.155,respectful pressure reduction,True,True,True
667,38,riverbend,Lio,dry shawl,shared,care,request_permission,granted,dry ridge,dry ridge,False,0.98,0.98,0.108,0.104,permission negotiated,True,True,True
669,38,archive,Toma,ink ribbon,Toma,craft,listen_memory,observed,spool room,spool room,False,0.98,0.98,0.212,0.202,respectful pressure reduction,True,True,True
672,38,repair_ring,Juno,insulated tongs,Juno,repair,approach_resident,observed,wire bench,wire bench,False,0.98,0.98,0.155,0.161,attention cost,True,True,True
675,38,archive,Toma,clean cloth,shared,care,approach_resident,observed,ink niche,ink niche,False,0.98,0.98,0.202,0.208,attention cost,True,True,True
676,38,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.138,0.144,object attention registered,True,True,True
677,38,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.066,0.062,permission negotiated,True,True,True
678,38,repair_ring,Juno,bell gauge,Juno,diagnostic,wait_respectfully,observed,wire bench,wire bench,False,0.98,0.98,0.161,0.151,respectful pressure reduction,True,True,True
679,38,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.104,0.11,object attention registered,True,True,True
680,38,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.109,0.105,permission negotiated,True,True,True
681,38,archive,Toma,ink ribbon,Toma,craft,wait_respectfully,observed,spool room,spool room,False,0.98,0.98,0.208,0.198,respectful pressure reduction,True,True,True
684,39,riverbend,Lio,dry shawl,shared,care,request_permission,granted,dry ridge,dry ridge,False,0.98,0.98,0.11,0.106,permission negotiated,True,True,True
687,39,signal,Milo,signal lens,Milo,craft,move_forward,observed,lantern walk,lantern walk,False,0.98,0.98,0.134,0.133,ambient ownership awareness,True,True,True
690,39,riverbend,Lio,ridge lantern,Lio,signal,move_forward,observed,wet crossing,wet crossing,False,0.98,0.98,0.106,0.105,ambient ownership awareness,True,True,True
693,39,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.133,0.139,object attention registered,True,True,True
694,39,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.062,0.058,permission negotiated,True,True,True
696,39,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.105,0.111,object attention registered,True,True,True
697,39,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.095,0.091,permission negotiated,True,True,True
699,39,signal,Milo,signal lens,Milo,craft,listen_memory,observed,lantern walk,lantern walk,False,0.98,0.98,0.139,0.129,respectful pressure reduction,True,True,True
702,40,roofward,Fay,sun lens,Fay,craft,wait_respectfully,observed,glass stair,glass stair,False,0.98,0.98,0.091,0.081,respectful pressure reduction,True,True,True
705,40,orchard,Mara,apple wrap,shared,care,turn_right,observed,mud row,mud row,False,0.98,0.98,0.058,0.057,ambient ownership awareness,True,True,True
708,40,roofward,Fay,brass hinge,Fay,repair,turn_right,observed,sun sill,sun sill,False,0.98,0.98,0.081,0.08,ambient ownership awareness,True,True,True
710,40,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.129,0.135,object attention registered,True,True,True
711,40,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.057,0.053,permission negotiated,True,True,True
713,40,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.111,0.117,object attention registered,True,True,True
714,40,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.08,0.076,permission negotiated,True,True,True
717,40,orchard,Mara,apple wrap,shared,care,move_forward,observed,mud row,mud row,False,0.98,0.98,0.053,0.052,ambient ownership awareness,True,True,True
720,41,archive,Toma,ink ribbon,Toma,craft,listen_memory,observed,spool room,spool room,False,0.98,0.98,0.17,0.16,respectful pressure reduction,True,True,True
723,41,repair_ring,Juno,insulated tongs,Juno,repair,approach_resident,observed,wire bench,wire bench,False,0.98,0.98,0.143,0.149,attention cost,True,True,True
726,41,archive,Toma,clean cloth,shared,care,approach_resident,observed,ink niche,ink niche,False,0.98,0.98,0.16,0.166,attention cost,True,True,True
727,41,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.125,0.131,object attention registered,True,True,True
728,41,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.052,0.05,permission negotiated,True,True,True
729,41,repair_ring,Juno,bell gauge,Juno,diagnostic,wait_respectfully,observed,wire bench,wire bench,False,0.98,0.98,0.149,0.139,respectful pressure reduction,True,True,True
730,41,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.107,0.113,object attention registered,True,True,True
731,41,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.076,0.072,permission negotiated,True,True,True
732,41,archive,Toma,ink ribbon,Toma,craft,wait_respectfully,observed,spool room,spool room,False,0.98,0.98,0.166,0.156,respectful pressure reduction,True,True,True
735,41,repair_ring,Juno,insulated tongs,Juno,repair,turn_right,observed,wire bench,wire bench,False,0.98,0.98,0.139,0.138,ambient ownership awareness,True,True,True
738,42,signal,Milo,signal lens,Milo,craft,move_forward,observed,lantern walk,lantern walk,False,0.98,0.98,0.121,0.12,ambient ownership awareness,True,True,True
741,42,riverbend,Lio,ridge lantern,Lio,signal,move_forward,observed,wet crossing,wet crossing,False,0.98,0.98,0.103,0.102,ambient ownership awareness,True,True,True
744,42,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.12,0.126,object attention registered,True,True,True
745,42,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.05,0.056,object attention registered,True,True,True
747,42,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.102,0.108,object attention registered,True,True,True
748,42,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.072,0.068,permission negotiated,True,True,True
750,42,signal,Milo,signal lens,Milo,craft,listen_memory,observed,lantern walk,lantern walk,False,0.98,0.98,0.126,0.116,respectful pressure reduction,True,True,True
753,42,riverbend,Lio,ridge lantern,Lio,signal,listen_memory,observed,wet crossing,wet crossing,False,0.98,0.98,0.108,0.098,respectful pressure reduction,True,True,True
756,43,orchard,Mara,apple wrap,shared,care,turn_right,observed,mud row,mud row,False,0.98,0.98,0.056,0.055,ambient ownership awareness,True,True,True
759,43,roofward,Fay,brass hinge,Fay,repair,turn_right,observed,sun sill,sun sill,False,0.98,0.98,0.068,0.067,ambient ownership awareness,True,True,True
761,43,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.116,0.122,object attention registered,True,True,True
762,43,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.055,0.051,permission negotiated,True,True,True
764,43,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.098,0.104,object attention registered,True,True,True
765,43,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.067,0.063,permission negotiated,True,True,True
768,43,orchard,Mara,apple wrap,shared,care,move_forward,observed,mud row,mud row,False,0.98,0.98,0.051,0.05,ambient ownership awareness,True,True,True
771,43,roofward,Fay,brass hinge,Fay,repair,move_forward,observed,sun sill,sun sill,False,0.98,0.98,0.063,0.062,ambient ownership awareness,True,True,True
774,44,repair_ring,Juno,insulated tongs,Juno,repair,approach_resident,observed,wire bench,wire bench,False,0.98,0.98,0.13,0.136,attention cost,True,True,True
777,44,archive,Toma,clean cloth,shared,care,approach_resident,observed,ink niche,ink niche,False,0.98,0.98,0.148,0.154,attention cost,True,True,True
778,44,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.118,0.124,object attention registered,True,True,True
779,44,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.05,0.056,object attention registered,True,True,True
780,44,repair_ring,Juno,bell gauge,Juno,diagnostic,wait_respectfully,observed,wire bench,wire bench,False,0.98,0.98,0.136,0.126,respectful pressure reduction,True,True,True
781,44,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.094,0.1,object attention registered,True,True,True
782,44,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.062,0.058,permission negotiated,True,True,True
783,44,archive,Toma,ink ribbon,Toma,craft,wait_respectfully,observed,spool room,spool room,False,0.98,0.98,0.154,0.144,respectful pressure reduction,True,True,True
786,44,repair_ring,Juno,insulated tongs,Juno,repair,turn_right,observed,wire bench,wire bench,False,0.98,0.98,0.126,0.125,ambient ownership awareness,True,True,True
789,44,archive,Toma,clean cloth,shared,care,turn_right,observed,ink niche,ink niche,False,0.98,0.98,0.144,0.143,ambient ownership awareness,True,True,True
791,44,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.056,0.062,object attention registered,True,True,True
792,45,riverbend,Lio,ridge lantern,Lio,signal,move_forward,observed,wet crossing,wet crossing,False,0.98,0.98,0.09,0.089,ambient ownership awareness,True,True,True
795,45,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.12,0.126,object attention registered,True,True,True
796,45,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.062,0.058,permission negotiated,True,True,True
798,45,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.089,0.095,object attention registered,True,True,True
799,45,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.058,0.054,permission negotiated,True,True,True
801,45,signal,Milo,signal lens,Milo,craft,listen_memory,observed,lantern walk,lantern walk,False,0.98,0.98,0.126,0.116,respectful pressure reduction,True,True,True
804,45,riverbend,Lio,ridge lantern,Lio,signal,listen_memory,observed,wet crossing,wet crossing,False,0.98,0.98,0.095,0.085,respectful pressure reduction,True,True,True
807,45,signal,Milo,mast rope,Milo,repair,approach_resident,observed,arrival court,arrival court,False,0.98,0.98,0.116,0.122,attention cost,True,True,True
808,45,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.058,0.064,object attention registered,True,True,True
809,45,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.115,0.111,permission negotiated,True,True,True
810,46,roofward,Fay,brass hinge,Fay,repair,turn_right,observed,sun sill,sun sill,False,0.98,0.98,0.054,0.053,ambient ownership awareness,True,True,True
812,46,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.122,0.128,object attention registered,True,True,True
813,46,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.064,0.06,permission negotiated,True,True,True
815,46,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.085,0.091,object attention registered,True,True,True
816,46,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.053,0.05,permission negotiated,True,True,True
819,46,orchard,Mara,apple wrap,shared,care,move_forward,observed,mud row,mud row,False,0.98,0.98,0.06,0.059,ambient ownership awareness,True,True,True
822,46,roofward,Fay,brass hinge,Fay,repair,move_forward,observed,sun sill,sun sill,False,0.98,0.98,0.05,0.056,object attention registered,True,True,True
825,46,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.059,0.065,object attention registered,True,True,True
826,46,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.101,0.097,permission negotiated,True,True,True
828,47,archive,Toma,clean cloth,shared,care,approach_resident,observed,ink niche,ink niche,False,0.98,0.98,0.135,0.141,attention cost,True,True,True
829,47,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.124,0.13,object attention registered,True,True,True
830,47,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.065,0.061,permission negotiated,True,True,True
831,47,repair_ring,Juno,bell gauge,Juno,diagnostic,wait_respectfully,observed,wire bench,wire bench,False,0.98,0.98,0.097,0.087,respectful pressure reduction,True,True,True
832,47,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.087,0.093,object attention registered,True,True,True
833,47,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.056,0.052,permission negotiated,True,True,True
834,47,archive,Toma,ink ribbon,Toma,craft,wait_respectfully,observed,spool room,spool room,False,0.98,0.98,0.141,0.131,respectful pressure reduction,True,True,True
837,47,repair_ring,Juno,insulated tongs,Juno,repair,turn_right,observed,wire bench,wire bench,False,0.98,0.98,0.087,0.086,ambient ownership awareness,True,True,True
840,47,archive,Toma,clean cloth,shared,care,turn_right,observed,ink niche,ink niche,False,0.98,0.98,0.131,0.13,ambient ownership awareness,True,True,True
842,47,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.061,0.067,object attention registered,True,True,True
843,47,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.086,0.082,permission negotiated,True,True,True
845,47,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.052,0.058,object attention registered,True,True,True
846,48,signal,Milo,mast rope,Milo,repair,drop_object,returning,arrival court,arrival court,False,0.98,0.98,0.126,0.132,object attention registered,True,True,True
847,48,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.067,0.063,permission negotiated,True,True,True
849,48,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.089,0.095,object attention registered,True,True,True
850,48,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.058,0.054,permission negotiated,True,True,True
852,48,signal,Milo,signal lens,Milo,craft,listen_memory,observed,lantern walk,lantern walk,False,0.98,0.98,0.132,0.122,respectful pressure reduction,True,True,True
855,48,riverbend,Lio,ridge lantern,Lio,signal,listen_memory,observed,wet crossing,wet crossing,False,0.98,0.98,0.095,0.085,respectful pressure reduction,True,True,True
858,48,signal,Milo,mast rope,Milo,repair,approach_resident,observed,arrival court,arrival court,False,0.98,0.98,0.122,0.128,attention cost,True,True,True
859,48,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.063,0.069,object attention registered,True,True,True
860,48,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.072,0.068,permission negotiated,True,True,True
861,48,riverbend,Lio,dry shawl,shared,care,approach_resident,observed,dry ridge,dry ridge,False,0.98,0.98,0.085,0.091,attention cost,True,True,True
862,48,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.054,0.06,object attention registered,True,True,True
863,48,archive,Toma,ink ribbon,Toma,craft,request_permission,granted,spool room,spool room,False,0.98,0.98,0.12,0.116,permission negotiated,True,True,True
864,49,orchard,Mara,market token,Mara,trade,request_permission,granted,satchel shed,satchel shed,False,0.98,0.98,0.069,0.065,permission negotiated,True,True,True
866,49,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.091,0.097,object attention registered,True,True,True
867,49,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.06,0.056,permission negotiated,True,True,True
870,49,orchard,Mara,apple wrap,shared,care,move_forward,observed,mud row,mud row,False,0.98,0.98,0.065,0.064,ambient ownership awareness,True,True,True
873,49,roofward,Fay,brass hinge,Fay,repair,move_forward,observed,sun sill,sun sill,False,0.98,0.98,0.056,0.055,ambient ownership awareness,True,True,True
876,49,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.064,0.07,object attention registered,True,True,True
877,49,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.058,0.054,permission negotiated,True,True,True
879,49,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.055,0.061,object attention registered,True,True,True
880,49,archive,Toma,ink ribbon,Toma,craft,request_permission,granted,spool room,spool room,False,0.98,0.98,0.106,0.102,permission negotiated,True,True,True
882,50,repair_ring,Juno,bell gauge,Juno,diagnostic,wait_respectfully,observed,wire bench,wire bench,False,0.98,0.98,0.054,0.05,respectful pressure reduction,True,True,True
883,50,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.093,0.099,object attention registered,True,True,True
884,50,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.061,0.057,permission negotiated,True,True,True
885,50,archive,Toma,ink ribbon,Toma,craft,wait_respectfully,observed,spool room,spool room,False,0.98,0.98,0.102,0.092,respectful pressure reduction,True,True,True
888,50,repair_ring,Juno,insulated tongs,Juno,repair,turn_right,observed,wire bench,wire bench,False,0.98,0.98,0.05,0.056,object attention registered,True,True,True
891,50,archive,Toma,clean cloth,shared,care,turn_right,observed,ink niche,ink niche,False,0.98,0.98,0.092,0.091,ambient ownership awareness,True,True,True
893,50,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.07,0.076,object attention registered,True,True,True
894,50,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.056,0.052,permission negotiated,True,True,True
896,50,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.057,0.063,object attention registered,True,True,True
897,50,archive,Toma,ink ribbon,Toma,craft,request_permission,granted,spool room,spool room,False,0.98,0.98,0.091,0.087,permission negotiated,True,True,True
900,51,riverbend,Lio,dry shawl,shared,care,drop_object,returning,dry ridge,dry ridge,False,0.98,0.98,0.095,0.101,object attention registered,True,True,True
901,51,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.063,0.059,permission negotiated,True,True,True
903,51,signal,Milo,signal lens,Milo,craft,listen_memory,observed,lantern walk,lantern walk,False,0.98,0.98,0.1,0.09,respectful pressure reduction,True,True,True
906,51,riverbend,Lio,ridge lantern,Lio,signal,listen_memory,observed,wet crossing,wet crossing,False,0.98,0.98,0.101,0.091,respectful pressure reduction,True,True,True
909,51,signal,Milo,mast rope,Milo,repair,approach_resident,observed,arrival court,arrival court,False,0.98,0.98,0.09,0.096,attention cost,True,True,True
910,51,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.066,0.072,object attention registered,True,True,True
911,51,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.052,0.05,permission negotiated,True,True,True
912,51,riverbend,Lio,dry shawl,shared,care,approach_resident,observed,dry ridge,dry ridge,False,0.98,0.98,0.091,0.097,attention cost,True,True,True
913,51,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.059,0.065,object attention registered,True,True,True
914,51,archive,Toma,ink ribbon,Toma,craft,request_permission,granted,spool room,spool room,False,0.98,0.98,0.077,0.073,permission negotiated,True,True,True
915,51,signal,Milo,signal lens,Milo,craft,wait_respectfully,observed,lantern walk,lantern walk,False,0.98,0.98,0.096,0.086,respectful pressure reduction,True,True,True
918,52,roofward,Fay,sun lens,Fay,craft,request_permission,granted,glass stair,glass stair,False,0.98,0.98,0.065,0.061,permission negotiated,True,True,True
921,52,orchard,Mara,apple wrap,shared,care,move_forward,observed,mud row,mud row,False,0.98,0.98,0.062,0.061,ambient ownership awareness,True,True,True
924,52,roofward,Fay,brass hinge,Fay,repair,move_forward,observed,sun sill,sun sill,False,0.98,0.98,0.061,0.06,ambient ownership awareness,True,True,True
927,52,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.061,0.067,object attention registered,True,True,True
928,52,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.05,0.056,object attention registered,True,True,True
930,52,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.06,0.066,object attention registered,True,True,True
931,52,archive,Toma,ink ribbon,Toma,craft,request_permission,granted,spool room,spool room,False,0.98,0.98,0.063,0.059,permission negotiated,True,True,True
933,52,orchard,Mara,apple wrap,shared,care,listen_memory,observed,mud row,mud row,False,0.98,0.98,0.067,0.057,respectful pressure reduction,True,True,True
936,53,archive,Toma,ink ribbon,Toma,craft,wait_respectfully,observed,spool room,spool room,False,0.98,0.98,0.059,0.05,respectful pressure reduction,True,True,True
939,53,repair_ring,Juno,insulated tongs,Juno,repair,turn_right,observed,wire bench,wire bench,False,0.98,0.98,0.056,0.055,ambient ownership awareness,True,True,True
942,53,archive,Toma,clean cloth,shared,care,turn_right,observed,ink niche,ink niche,False,0.98,0.98,0.05,0.056,object attention registered,True,True,True
944,53,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.057,0.063,object attention registered,True,True,True
945,53,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.055,0.051,permission negotiated,True,True,True
947,53,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.066,0.072,object attention registered,True,True,True
948,53,archive,Toma,ink ribbon,Toma,craft,request_permission,granted,spool room,spool room,False,0.98,0.98,0.056,0.052,permission negotiated,True,True,True
951,53,repair_ring,Juno,insulated tongs,Juno,repair,move_forward,observed,wire bench,wire bench,False,0.98,0.98,0.051,0.05,ambient ownership awareness,True,True,True
954,54,signal,Milo,signal lens,Milo,craft,listen_memory,observed,lantern walk,lantern walk,False,0.98,0.98,0.058,0.05,respectful pressure reduction,True,True,True
957,54,riverbend,Lio,ridge lantern,Lio,signal,listen_memory,observed,wet crossing,wet crossing,False,0.98,0.98,0.069,0.059,respectful pressure reduction,True,True,True
960,54,signal,Milo,mast rope,Milo,repair,approach_resident,observed,arrival court,arrival court,False,0.98,0.98,0.05,0.056,attention cost,True,True,True
961,54,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.053,0.059,object attention registered,True,True,True
962,54,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.05,0.056,object attention registered,True,True,True
963,54,riverbend,Lio,dry shawl,shared,care,approach_resident,observed,dry ridge,dry ridge,False,0.98,0.98,0.059,0.065,attention cost,True,True,True
964,54,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.062,0.068,object attention registered,True,True,True
965,54,archive,Toma,ink ribbon,Toma,craft,request_permission,granted,spool room,spool room,False,0.98,0.98,0.052,0.05,permission negotiated,True,True,True
966,54,signal,Milo,signal lens,Milo,craft,wait_respectfully,observed,lantern walk,lantern walk,False,0.98,0.98,0.056,0.05,respectful pressure reduction,True,True,True
969,54,riverbend,Lio,ridge lantern,Lio,signal,wait_respectfully,observed,wet crossing,wet crossing,False,0.98,0.98,0.065,0.055,respectful pressure reduction,True,True,True
972,55,orchard,Mara,apple wrap,shared,care,move_forward,observed,mud row,mud row,False,0.98,0.98,0.05,0.056,object attention registered,True,True,True
975,55,roofward,Fay,brass hinge,Fay,repair,move_forward,observed,sun sill,sun sill,False,0.98,0.98,0.058,0.057,ambient ownership awareness,True,True,True
978,55,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.056,0.062,object attention registered,True,True,True
979,55,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.056,0.052,permission negotiated,True,True,True
981,55,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.057,0.063,object attention registered,True,True,True
982,55,archive,Toma,ink ribbon,Toma,craft,request_permission,granted,spool room,spool room,False,0.98,0.98,0.05,0.056,object attention registered,True,True,True
984,55,orchard,Mara,apple wrap,shared,care,listen_memory,observed,mud row,mud row,False,0.98,0.98,0.062,0.052,respectful pressure reduction,True,True,True
987,55,roofward,Fay,brass hinge,Fay,repair,listen_memory,observed,sun sill,sun sill,False,0.98,0.98,0.063,0.053,respectful pressure reduction,True,True,True
990,56,repair_ring,Juno,insulated tongs,Juno,repair,turn_right,observed,wire bench,wire bench,False,0.98,0.98,0.052,0.051,ambient ownership awareness,True,True,True
993,56,archive,Toma,clean cloth,shared,care,turn_right,observed,ink niche,ink niche,False,0.98,0.98,0.056,0.055,ambient ownership awareness,True,True,True
995,56,orchard,Mara,market token,Mara,trade,drop_object,returning,satchel shed,satchel shed,False,0.98,0.98,0.052,0.058,object attention registered,True,True,True
996,56,repair_ring,Juno,bell gauge,Juno,diagnostic,request_permission,granted,wire bench,wire bench,False,0.98,0.98,0.051,0.05,permission negotiated,True,True,True
998,56,roofward,Fay,sun lens,Fay,craft,drop_object,returning,glass stair,glass stair,False,0.98,0.98,0.053,0.059,object attention registered,True,True,True
999,56,archive,Toma,ink ribbon,Toma,craft,request_permission,granted,spool room,spool room,False,0.98,0.98,0.055,0.051,permission negotiated,True,True,True
