tick,day,lineage,agent,avatar_memory_carried,autonomous_memory_written,trust_carry,boundary_pressure_carry,reputation_carry,schedule_carry,memory_referenced_without_avatar_prompt,private_workspace_sealed
120,9,Routeline,Keth,day 9 Keth did work_project while avatar was idle_nearby; trust=0.60; boundary=0.27,day 9 Keth did boundary_review while avatar was absent_saved; trust=0.60; boundary=0.27,0.596,0.268,0.57,midday:boundary_review,True,True
121,9,Marketline,Melo,day 9 Melo did agent_checkin while avatar was present_passive; trust=0.71; boundary=0.32,day 9 Melo did weather_watch while avatar was idle_nearby; trust=0.71; boundary=0.32,0.714,0.324,0.59,midday:weather_watch,True,True
122,9,Ledgerline,Nari,day 9 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,day 9 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.665,evening:archive_update,False,True
123,9,Orchardline,Ori,day 9 Ori did share_resource while avatar was present_passive; trust=0.77; boundary=0.35,day 9 Ori did route_patrol while avatar was absent_saved; trust=0.77; boundary=0.35,0.766,0.348,0.63,evening:route_patrol,True,True
124,9,Rainline,Vonn,day 9 Vonn did maintain_tool while avatar was idle_nearby; trust=0.72; boundary=0.39,day 9 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.39,0.72,0.39,0.695,evening:archive_update,False,True
125,9,Hearthline,Sova,day 9 Sova did boundary_review while avatar was absent_saved; trust=0.58; boundary=0.26,day 9 Sova did work_project while avatar was idle_nearby; trust=0.58; boundary=0.26,0.576,0.256,0.55,evening:work_project,True,True
126,9,Routeline,Keth,day 9 Keth did boundary_review while avatar was absent_saved; trust=0.60; boundary=0.27,day 9 Keth did work_project while avatar was absent_saved; trust=0.60; boundary=0.27,0.596,0.268,0.57,evening:work_project,True,True
127,10,Ledgerline,Nari,day 9 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,day 10 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.665,morning:maintain_tool,True,True
128,10,Orchardline,Ori,day 9 Ori did route_patrol while avatar was absent_saved; trust=0.77; boundary=0.35,day 10 Ori did share_resource while avatar was present_passive; trust=0.77; boundary=0.35,0.772,0.348,0.63,morning:share_resource,False,True
129,10,Rainline,Vonn,day 9 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.39,day 10 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.39,0.72,0.393,0.695,morning:maintain_tool,True,True
130,10,Hearthline,Sova,day 9 Sova did work_project while avatar was idle_nearby; trust=0.58; boundary=0.26,day 10 Sova did boundary_review while avatar was present_passive; trust=0.57; boundary=0.25,0.572,0.252,0.55,morning:boundary_review,False,True
131,10,Routeline,Keth,day 9 Keth did work_project while avatar was absent_saved; trust=0.60; boundary=0.27,day 10 Keth did boundary_review while avatar was idle_nearby; trust=0.59; boundary=0.26,0.592,0.264,0.57,midday:boundary_review,True,True
132,10,Marketline,Melo,day 9 Melo did weather_watch while avatar was idle_nearby; trust=0.71; boundary=0.32,day 10 Melo did weather_watch while avatar was absent_saved; trust=0.71; boundary=0.32,0.714,0.324,0.59,midday:weather_watch,True,True
133,10,Ledgerline,Nari,day 10 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,day 10 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.67,midday:archive_update,True,True
134,10,Orchardline,Ori,day 10 Ori did share_resource while avatar was present_passive; trust=0.77; boundary=0.35,day 10 Ori did route_patrol while avatar was idle_nearby; trust=0.77; boundary=0.35,0.772,0.348,0.63,midday:route_patrol,True,True
135,10,Rainline,Vonn,day 10 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.39,day 10 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.40,0.72,0.396,0.7,midday:archive_update,False,True
136,10,Hearthline,Sova,day 10 Sova did boundary_review while avatar was present_passive; trust=0.57; boundary=0.25,day 10 Sova did work_project while avatar was absent_saved; trust=0.57; boundary=0.25,0.572,0.252,0.55,evening:work_project,True,True
137,10,Routeline,Keth,day 10 Keth did boundary_review while avatar was idle_nearby; trust=0.59; boundary=0.26,day 10 Keth did work_project while avatar was present_passive; trust=0.59; boundary=0.26,0.592,0.264,0.57,evening:work_project,False,True
138,10,Marketline,Melo,day 10 Melo did weather_watch while avatar was absent_saved; trust=0.71; boundary=0.32,day 10 Melo did agent_checkin while avatar was idle_nearby; trust=0.72; boundary=0.32,0.72,0.324,0.59,evening:agent_checkin,True,True
139,10,Ledgerline,Nari,day 10 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,day 10 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.67,evening:maintain_tool,True,True
140,10,Orchardline,Ori,day 10 Ori did route_patrol while avatar was idle_nearby; trust=0.77; boundary=0.35,day 10 Ori did share_resource while avatar was absent_saved; trust=0.78; boundary=0.35,0.778,0.348,0.63,evening:share_resource,True,True
141,11,Hearthline,Sova,day 10 Sova did work_project while avatar was absent_saved; trust=0.57; boundary=0.25,day 11 Sova did boundary_review while avatar was present_passive; trust=0.57; boundary=0.25,0.568,0.248,0.55,morning:boundary_review,False,True
142,11,Routeline,Keth,day 10 Keth did work_project while avatar was present_passive; trust=0.59; boundary=0.26,day 11 Keth did boundary_review while avatar was absent_saved; trust=0.59; boundary=0.26,0.588,0.26,0.57,morning:boundary_review,True,True
143,11,Marketline,Melo,day 10 Melo did agent_checkin while avatar was idle_nearby; trust=0.72; boundary=0.32,day 11 Melo did weather_watch while avatar was present_passive; trust=0.72; boundary=0.32,0.72,0.324,0.59,morning:weather_watch,False,True
144,11,Ledgerline,Nari,day 10 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,day 11 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.675,morning:archive_update,True,True
145,11,Orchardline,Ori,day 10 Ori did share_resource while avatar was absent_saved; trust=0.78; boundary=0.35,day 11 Ori did route_patrol while avatar was absent_saved; trust=0.78; boundary=0.35,0.778,0.348,0.63,midday:route_patrol,True,True
146,11,Rainline,Vonn,day 10 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.40,day 11 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.40,0.72,0.399,0.705,midday:archive_update,True,True
147,11,Hearthline,Sova,day 11 Sova did boundary_review while avatar was present_passive; trust=0.57; boundary=0.25,day 11 Sova did work_project while avatar was idle_nearby; trust=0.57; boundary=0.25,0.568,0.248,0.55,midday:work_project,True,True
148,11,Routeline,Keth,day 11 Keth did boundary_review while avatar was absent_saved; trust=0.59; boundary=0.26,day 11 Keth did work_project while avatar was present_passive; trust=0.59; boundary=0.26,0.588,0.26,0.57,midday:work_project,False,True
149,11,Marketline,Melo,day 11 Melo did weather_watch while avatar was present_passive; trust=0.72; boundary=0.32,day 11 Melo did agent_checkin while avatar was absent_saved; trust=0.73; boundary=0.32,0.726,0.324,0.59,midday:agent_checkin,True,True
150,11,Ledgerline,Nari,day 11 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,day 11 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.675,evening:maintain_tool,False,True
151,11,Orchardline,Ori,day 11 Ori did route_patrol while avatar was absent_saved; trust=0.78; boundary=0.35,day 11 Ori did share_resource while avatar was idle_nearby; trust=0.78; boundary=0.35,0.784,0.348,0.63,evening:share_resource,True,True
152,11,Rainline,Vonn,day 11 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.40,day 11 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.40,0.72,0.402,0.705,evening:maintain_tool,True,True
153,11,Hearthline,Sova,day 11 Sova did work_project while avatar was idle_nearby; trust=0.57; boundary=0.25,day 11 Sova did boundary_review while avatar was absent_saved; trust=0.56; boundary=0.24,0.564,0.244,0.55,evening:boundary_review,True,True
154,11,Routeline,Keth,day 11 Keth did work_project while avatar was present_passive; trust=0.59; boundary=0.26,day 11 Keth did boundary_review while avatar was idle_nearby; trust=0.58; boundary=0.26,0.584,0.256,0.57,evening:boundary_review,True,True
155,12,Ledgerline,Nari,day 11 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,day 12 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.68,morning:archive_update,True,True
156,12,Orchardline,Ori,day 11 Ori did share_resource while avatar was idle_nearby; trust=0.78; boundary=0.35,day 12 Ori did route_patrol while avatar was present_passive; trust=0.78; boundary=0.35,0.784,0.348,0.63,morning:route_patrol,False,True
157,12,Rainline,Vonn,day 11 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.40,day 12 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.41,0.72,0.405,0.71,morning:archive_update,True,True
158,12,Hearthline,Sova,day 11 Sova did boundary_review while avatar was absent_saved; trust=0.56; boundary=0.24,day 12 Sova did work_project while avatar was absent_saved; trust=0.56; boundary=0.24,0.564,0.244,0.55,morning:work_project,True,True
159,12,Routeline,Keth,day 11 Keth did boundary_review while avatar was idle_nearby; trust=0.58; boundary=0.26,day 12 Keth did work_project while avatar was absent_saved; trust=0.58; boundary=0.26,0.584,0.256,0.57,midday:work_project,True,True
160,12,Marketline,Melo,day 11 Melo did agent_checkin while avatar was absent_saved; trust=0.73; boundary=0.32,day 12 Melo did agent_checkin while avatar was idle_nearby; trust=0.73; boundary=0.32,0.732,0.324,0.59,midday:agent_checkin,True,True
161,12,Ledgerline,Nari,day 12 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,day 12 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.68,midday:maintain_tool,False,True
162,12,Orchardline,Ori,day 12 Ori did route_patrol while avatar was present_passive; trust=0.78; boundary=0.35,day 12 Ori did share_resource while avatar was absent_saved; trust=0.79; boundary=0.35,0.79,0.348,0.63,midday:share_resource,True,True
163,12,Rainline,Vonn,day 12 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.41,day 12 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.41,0.72,0.405,0.71,midday:maintain_tool,False,True
164,12,Hearthline,Sova,day 12 Sova did work_project while avatar was absent_saved; trust=0.56; boundary=0.24,day 12 Sova did boundary_review while avatar was idle_nearby; trust=0.56; boundary=0.24,0.56,0.24,0.55,evening:boundary_review,True,True
165,12,Routeline,Keth,day 12 Keth did work_project while avatar was absent_saved; trust=0.58; boundary=0.26,day 12 Keth did boundary_review while avatar was absent_saved; trust=0.58; boundary=0.25,0.58,0.252,0.57,evening:boundary_review,True,True
166,12,Marketline,Melo,day 12 Melo did agent_checkin while avatar was idle_nearby; trust=0.73; boundary=0.32,day 12 Melo did weather_watch while avatar was absent_saved; trust=0.73; boundary=0.32,0.732,0.324,0.59,evening:weather_watch,True,True
167,12,Ledgerline,Nari,day 12 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,day 12 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.685,evening:archive_update,True,True
168,12,Orchardline,Ori,day 12 Ori did share_resource while avatar was absent_saved; trust=0.79; boundary=0.35,day 12 Ori did route_patrol while avatar was present_passive; trust=0.79; boundary=0.35,0.79,0.348,0.63,evening:route_patrol,False,True
169,13,Hearthline,Sova,day 12 Sova did boundary_review while avatar was idle_nearby; trust=0.56; boundary=0.24,day 13 Sova did work_project while avatar was present_passive; trust=0.56; boundary=0.24,0.56,0.24,0.55,morning:work_project,False,True
170,13,Routeline,Keth,day 12 Keth did boundary_review while avatar was absent_saved; trust=0.58; boundary=0.25,day 13 Keth did work_project while avatar was idle_nearby; trust=0.58; boundary=0.25,0.58,0.252,0.57,morning:work_project,True,True
171,13,Marketline,Melo,day 12 Melo did weather_watch while avatar was absent_saved; trust=0.73; boundary=0.32,day 13 Melo did agent_checkin while avatar was absent_saved; trust=0.74; boundary=0.32,0.738,0.324,0.59,morning:agent_checkin,True,True
172,13,Ledgerline,Nari,day 12 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,day 13 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.685,morning:maintain_tool,True,True
173,13,Orchardline,Ori,day 12 Ori did route_patrol while avatar was present_passive; trust=0.79; boundary=0.35,day 13 Ori did share_resource while avatar was idle_nearby; trust=0.80; boundary=0.35,0.796,0.348,0.63,midday:share_resource,True,True
174,13,Rainline,Vonn,day 12 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.41,day 13 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.41,0.72,0.405,0.71,midday:maintain_tool,False,True
175,13,Hearthline,Sova,day 13 Sova did work_project while avatar was present_passive; trust=0.56; boundary=0.24,day 13 Sova did boundary_review while avatar was absent_saved; trust=0.56; boundary=0.24,0.556,0.236,0.55,midday:boundary_review,True,True
176,13,Routeline,Keth,day 13 Keth did work_project while avatar was idle_nearby; trust=0.58; boundary=0.25,day 13 Keth did boundary_review while avatar was present_passive; trust=0.58; boundary=0.25,0.576,0.248,0.57,midday:boundary_review,False,True
177,13,Marketline,Melo,day 13 Melo did agent_checkin while avatar was absent_saved; trust=0.74; boundary=0.32,day 13 Melo did weather_watch while avatar was idle_nearby; trust=0.74; boundary=0.32,0.738,0.324,0.59,midday:weather_watch,True,True
178,13,Ledgerline,Nari,day 13 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,day 13 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.69,evening:archive_update,True,True
179,13,Orchardline,Ori,day 13 Ori did share_resource while avatar was idle_nearby; trust=0.80; boundary=0.35,day 13 Ori did route_patrol while avatar was absent_saved; trust=0.80; boundary=0.35,0.796,0.348,0.63,evening:route_patrol,True,True
180,13,Rainline,Vonn,day 13 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.41,day 13 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.41,0.72,0.405,0.715,evening:archive_update,True,True
181,13,Hearthline,Sova,day 13 Sova did boundary_review while avatar was absent_saved; trust=0.56; boundary=0.24,day 13 Sova did work_project while avatar was present_passive; trust=0.56; boundary=0.24,0.556,0.236,0.55,evening:work_project,False,True
182,13,Routeline,Keth,day 13 Keth did boundary_review while avatar was present_passive; trust=0.58; boundary=0.25,day 13 Keth did work_project while avatar was absent_saved; trust=0.58; boundary=0.25,0.576,0.248,0.57,evening:work_project,True,True
183,14,Ledgerline,Nari,day 13 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,day 14 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.69,morning:maintain_tool,True,True
184,14,Orchardline,Ori,day 13 Ori did route_patrol while avatar was absent_saved; trust=0.80; boundary=0.35,day 14 Ori did share_resource while avatar was absent_saved; trust=0.80; boundary=0.35,0.802,0.348,0.63,morning:share_resource,True,True
185,14,Rainline,Vonn,day 13 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.41,day 14 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.41,0.72,0.405,0.715,morning:maintain_tool,True,True
186,14,Hearthline,Sova,day 13 Sova did work_project while avatar was present_passive; trust=0.56; boundary=0.24,day 14 Sova did boundary_review while avatar was idle_nearby; trust=0.55; boundary=0.23,0.552,0.232,0.55,morning:boundary_review,True,True
187,14,Routeline,Keth,day 13 Keth did work_project while avatar was absent_saved; trust=0.58; boundary=0.25,day 14 Keth did boundary_review while avatar was present_passive; trust=0.57; boundary=0.24,0.572,0.244,0.57,midday:boundary_review,False,True
188,14,Marketline,Melo,day 13 Melo did weather_watch while avatar was idle_nearby; trust=0.74; boundary=0.32,day 14 Melo did weather_watch while avatar was absent_saved; trust=0.74; boundary=0.32,0.738,0.324,0.59,midday:weather_watch,True,True
189,14,Ledgerline,Nari,day 14 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,day 14 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.695,midday:archive_update,False,True
190,14,Orchardline,Ori,day 14 Ori did share_resource while avatar was absent_saved; trust=0.80; boundary=0.35,day 14 Ori did route_patrol while avatar was idle_nearby; trust=0.80; boundary=0.35,0.802,0.348,0.63,midday:route_patrol,True,True
191,14,Rainline,Vonn,day 14 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.41,day 14 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.41,0.72,0.405,0.72,midday:archive_update,True,True
192,14,Hearthline,Sova,day 14 Sova did boundary_review while avatar was idle_nearby; trust=0.55; boundary=0.23,day 14 Sova did work_project while avatar was absent_saved; trust=0.55; boundary=0.23,0.552,0.232,0.55,evening:work_project,True,True
193,14,Routeline,Keth,day 14 Keth did boundary_review while avatar was present_passive; trust=0.57; boundary=0.24,day 14 Keth did work_project while avatar was idle_nearby; trust=0.57; boundary=0.24,0.572,0.244,0.57,evening:work_project,True,True
194,14,Marketline,Melo,day 14 Melo did weather_watch while avatar was absent_saved; trust=0.74; boundary=0.32,day 14 Melo did agent_checkin while avatar was present_passive; trust=0.74; boundary=0.32,0.744,0.324,0.59,evening:agent_checkin,False,True
195,14,Ledgerline,Nari,day 14 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,day 14 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.695,evening:maintain_tool,True,True
196,14,Orchardline,Ori,day 14 Ori did route_patrol while avatar was idle_nearby; trust=0.80; boundary=0.35,day 14 Ori did share_resource while avatar was present_passive; trust=0.81; boundary=0.35,0.808,0.348,0.63,evening:share_resource,False,True
197,15,Hearthline,Sova,day 14 Sova did work_project while avatar was absent_saved; trust=0.55; boundary=0.23,day 15 Sova did boundary_review while avatar was absent_saved; trust=0.55; boundary=0.23,0.548,0.228,0.55,morning:boundary_review,True,True
198,15,Routeline,Keth,day 14 Keth did work_project while avatar was idle_nearby; trust=0.57; boundary=0.24,day 15 Keth did boundary_review while avatar was absent_saved; trust=0.57; boundary=0.24,0.568,0.24,0.57,morning:boundary_review,True,True
199,15,Marketline,Melo,day 14 Melo did agent_checkin while avatar was present_passive; trust=0.74; boundary=0.32,day 15 Melo did weather_watch while avatar was idle_nearby; trust=0.74; boundary=0.32,0.744,0.324,0.59,morning:weather_watch,True,True
200,15,Ledgerline,Nari,day 14 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,day 15 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.7,morning:archive_update,False,True
201,15,Orchardline,Ori,day 14 Ori did share_resource while avatar was present_passive; trust=0.81; boundary=0.35,day 15 Ori did route_patrol while avatar was absent_saved; trust=0.81; boundary=0.35,0.808,0.348,0.63,midday:route_patrol,True,True
202,15,Rainline,Vonn,day 14 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.41,day 15 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.41,0.72,0.408,0.725,midday:archive_update,False,True
203,15,Hearthline,Sova,day 15 Sova did boundary_review while avatar was absent_saved; trust=0.55; boundary=0.23,day 15 Sova did work_project while avatar was idle_nearby; trust=0.55; boundary=0.23,0.548,0.228,0.55,midday:work_project,True,True
204,15,Routeline,Keth,day 15 Keth did boundary_review while avatar was absent_saved; trust=0.57; boundary=0.24,day 15 Keth did work_project while avatar was absent_saved; trust=0.57; boundary=0.24,0.568,0.24,0.57,midday:work_project,True,True
205,15,Marketline,Melo,day 15 Melo did weather_watch while avatar was idle_nearby; trust=0.74; boundary=0.32,day 15 Melo did agent_checkin while avatar was absent_saved; trust=0.75; boundary=0.32,0.75,0.324,0.59,midday:agent_checkin,True,True
206,15,Ledgerline,Nari,day 15 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,day 15 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.7,evening:maintain_tool,True,True
207,15,Orchardline,Ori,day 15 Ori did route_patrol while avatar was absent_saved; trust=0.81; boundary=0.35,day 15 Ori did share_resource while avatar was present_passive; trust=0.81; boundary=0.35,0.814,0.348,0.63,evening:share_resource,False,True
208,15,Rainline,Vonn,day 15 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.41,day 15 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.41,0.72,0.411,0.725,evening:maintain_tool,True,True
209,15,Hearthline,Sova,day 15 Sova did work_project while avatar was idle_nearby; trust=0.55; boundary=0.23,day 15 Sova did boundary_review while avatar was present_passive; trust=0.54; boundary=0.22,0.544,0.224,0.55,evening:boundary_review,False,True
210,15,Routeline,Keth,day 15 Keth did work_project while avatar was absent_saved; trust=0.57; boundary=0.24,day 15 Keth did boundary_review while avatar was idle_nearby; trust=0.56; boundary=0.24,0.564,0.236,0.57,evening:boundary_review,True,True
211,16,Ledgerline,Nari,day 15 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,day 16 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.705,morning:archive_update,True,True
212,16,Orchardline,Ori,day 15 Ori did share_resource while avatar was present_passive; trust=0.81; boundary=0.35,day 16 Ori did route_patrol while avatar was idle_nearby; trust=0.81; boundary=0.35,0.814,0.348,0.63,morning:route_patrol,True,True
213,16,Rainline,Vonn,day 15 Vonn did maintain_tool while avatar was absent_saved; trust=0.72; boundary=0.41,day 16 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.41,0.72,0.414,0.73,morning:archive_update,False,True
214,16,Hearthline,Sova,day 15 Sova did boundary_review while avatar was present_passive; trust=0.54; boundary=0.22,day 16 Sova did work_project while avatar was absent_saved; trust=0.54; boundary=0.22,0.544,0.224,0.55,morning:work_project,True,True
215,16,Routeline,Keth,day 15 Keth did boundary_review while avatar was idle_nearby; trust=0.56; boundary=0.24,day 16 Keth did work_project while avatar was present_passive; trust=0.56; boundary=0.24,0.564,0.236,0.57,midday:work_project,False,True
216,16,Marketline,Melo,day 15 Melo did agent_checkin while avatar was absent_saved; trust=0.75; boundary=0.32,day 16 Melo did agent_checkin while avatar was idle_nearby; trust=0.76; boundary=0.32,0.756,0.324,0.59,midday:agent_checkin,True,True
217,16,Ledgerline,Nari,day 16 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,day 16 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,0.68,0.336,0.705,midday:maintain_tool,True,True
218,16,Orchardline,Ori,day 16 Ori did route_patrol while avatar was idle_nearby; trust=0.81; boundary=0.35,day 16 Ori did share_resource while avatar was absent_saved; trust=0.82; boundary=0.35,0.82,0.348,0.63,midday:share_resource,True,True
219,16,Rainline,Vonn,day 16 Vonn did archive_update while avatar was present_passive; trust=0.72; boundary=0.41,day 16 Vonn did maintain_tool while avatar was idle_nearby; trust=0.72; boundary=0.42,0.72,0.417,0.73,midday:maintain_tool,True,True
220,16,Hearthline,Sova,day 16 Sova did work_project while avatar was absent_saved; trust=0.54; boundary=0.22,day 16 Sova did boundary_review while avatar was present_passive; trust=0.54; boundary=0.22,0.54,0.22,0.55,evening:boundary_review,False,True
221,16,Routeline,Keth,day 16 Keth did work_project while avatar was present_passive; trust=0.56; boundary=0.24,day 16 Keth did boundary_review while avatar was absent_saved; trust=0.56; boundary=0.23,0.56,0.232,0.57,evening:boundary_review,True,True
222,16,Marketline,Melo,day 16 Melo did agent_checkin while avatar was idle_nearby; trust=0.76; boundary=0.32,day 16 Melo did weather_watch while avatar was present_passive; trust=0.76; boundary=0.32,0.756,0.324,0.59,evening:weather_watch,False,True
223,16,Ledgerline,Nari,day 16 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,day 16 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.71,evening:archive_update,True,True
224,16,Orchardline,Ori,day 16 Ori did share_resource while avatar was absent_saved; trust=0.82; boundary=0.35,day 16 Ori did route_patrol while avatar was absent_saved; trust=0.82; boundary=0.35,0.82,0.348,0.63,evening:route_patrol,True,True
