tick,day,focus_agent,active_conflict_id,remembered_conflict_id,user_decision_pending,later_behavior_changed,access_posture_changed,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
209,18,Vonn,v16-conflict-d18-t05,v16-conflict-d16-t06,0,1,1,1.722212,265.827676,remembers arbitration and refuses with repair path,1
210,18,Sova,v16-conflict-d18-t06,v16-conflict-d16-t08,1,1,1,1.762212,43.95044,remembers arbitration and refuses with repair path,1
211,18,Keth,v16-conflict-d18-t07,v16-conflict-d16-t09,0,1,1,1.799008,190.273204,remembers arbitration and asks,1
212,18,Melo,v16-conflict-d18-t08,v16-conflict-d16-t10,0,0,0,1.825064,323.680968,remembers arbitration and asks,1
213,18,Nari,v16-conflict-d18-t09,v16-conflict-d16-t11,0,1,1,1.887808,104.058732,remembers arbitration and asks,1
214,18,Ori,v16-conflict-d18-t10,v16-conflict-d17-t00,0,1,1,1.920415,239.516496,remembers arbitration and asks,1
215,18,Vonn,v16-conflict-d18-t11,v16-conflict-d17-t02,0,1,1,1.960315,16.20426,remembers arbitration and refuses with repair path,1
216,19,Keth,v16-conflict-d19-t00,v16-conflict-d18-t05,0,1,1,1.553659,175.222024,remembers arbitration and refuses with repair path,1
217,19,Melo,v16-conflict-d19-t01,v16-conflict-d18-t07,0,1,1,1.596963,303.709788,remembers arbitration and refuses with repair path,1
218,19,Nari,v16-conflict-d19-t02,v16-conflict-d18-t08,0,1,1,1.626415,83.677552,remembers arbitration and asks,1
219,19,Ori,v16-conflict-d19-t03,v16-conflict-d18-t09,0,1,1,1.668263,219.135316,remembers arbitration and asks,1
220,19,Vonn,v16-conflict-d19-t04,v16-conflict-d18-t10,0,1,1,1.706315,0.74308,remembers arbitration and refuses with repair path,1
221,19,Sova,v16-conflict-d19-t05,v16-conflict-d18-t11,1,1,1,1.753659,144.195844,remembers arbitration and refuses with repair path,1
222,19,Keth,v16-conflict-d19-t06,v16-conflict-d12-t00,0,1,1,1.786408,274.733608,remembers arbitration and asks,1
223,19,Melo,v16-conflict-d19-t07,v16-conflict-d12-t01,0,1,1,1.826308,53.471372,remembers arbitration and refuses with repair path,1
224,19,Nari,v16-conflict-d19-t08,v16-conflict-d12-t02,0,1,1,1.875108,188.519136,remembers arbitration and refuses with repair path,1
225,19,Ori,v16-conflict-d19-t09,v16-conflict-d12-t03,0,0,0,1.8826,327.4619,remembers arbitration and asks,1
226,19,Vonn,v16-conflict-d19-t10,v16-conflict-d12-t05,0,1,1,1.9555,104.149664,remembers arbitration and refuses with repair path,1
227,19,Sova,v16-conflict-d19-t11,v16-conflict-d12-t06,1,1,1,1.9955,242.272428,remembers arbitration and refuses with repair path,1
228,20,Melo,v16-conflict-d20-t00,v16-conflict-d13-t06,0,1,1,1.5815,36.575192,remembers arbitration and refuses with repair path,1
229,20,Nari,v16-conflict-d20-t01,v16-conflict-d13-t07,0,1,1,1.612408,173.057956,remembers arbitration and asks,1
230,20,Ori,v16-conflict-d20-t02,v16-conflict-d13-t08,0,1,1,1.652408,313.43572,remembers arbitration and asks,1
231,20,Vonn,v16-conflict-d20-t03,v16-conflict-d13-t10,0,1,1,1.692308,90.123484,remembers arbitration and refuses with repair path,1
232,20,Sova,v16-conflict-d20-t04,v16-conflict-d13-t11,0,1,1,1.733393,225.991248,remembers arbitration and refuses with repair path,1
233,20,Keth,v16-conflict-d20-t05,v16-conflict-d14-t00,0,1,1,1.7728,2.884012,remembers arbitration and asks,1
234,20,Melo,v16-conflict-d20-t06,v16-conflict-d14-t01,0,1,1,1.822424,139.161776,remembers arbitration and refuses with repair path,1
235,20,Nari,v16-conflict-d20-t07,v16-conflict-d14-t02,0,1,1,1.8528,276.66954,remembers arbitration and asks,1
236,20,Ori,v16-conflict-d20-t08,v16-conflict-d14-t04,0,1,1,1.892028,59.507304,remembers arbitration and refuses with repair path,1
237,20,Vonn,v16-conflict-d20-t09,v16-conflict-d14-t05,0,1,1,1.942424,191.275068,remembers arbitration and refuses with repair path,1
238,20,Sova,v16-conflict-d20-t10,v16-conflict-d14-t06,1,0,0,1.947928,334.317832,remembers arbitration and asks,1
239,20,Keth,v16-conflict-d20-t11,v16-conflict-d14-t07,0,1,1,2.012128,110.390596,remembers arbitration and asks,1
240,21,Nari,v16-conflict-d21-t00,v16-conflict-d15-t09,0,1,1,1.598028,263.66836,remembers arbitration and refuses with repair path,1
241,21,Ori,v16-conflict-d21-t01,v16-conflict-d15-t10,0,1,1,1.6388,41.586124,remembers arbitration and asks,1
242,21,Vonn,v16-conflict-d21-t02,v16-conflict-d15-t11,0,1,1,1.678028,180.733888,remembers arbitration and refuses with repair path,1
243,21,Sova,v16-conflict-d21-t03,v16-conflict-d16-t00,0,1,1,1.7187,317.421652,remembers arbitration and refuses with repair path,1
244,21,Keth,v16-conflict-d21-t04,v16-conflict-d16-t01,1,1,1,1.759855,88.369416,remembers arbitration and refuses with repair path,1
245,21,Melo,v16-conflict-d21-t05,v16-conflict-d16-t02,0,1,1,1.806548,234.69218,remembers arbitration and refuses with repair path,1
246,21,Nari,v16-conflict-d21-t06,v16-conflict-d16-t03,0,1,1,1.8388,6.254944,remembers arbitration and asks,1
247,21,Ori,v16-conflict-d21-t07,v16-conflict-d16-t04,0,1,1,1.8788,146.632708,remembers arbitration and asks,1
248,21,Vonn,v16-conflict-d21-t08,v16-conflict-d16-t05,0,1,1,1.917748,286.805472,remembers arbitration and refuses with repair path,1
249,21,Sova,v16-conflict-d21-t09,v16-conflict-d16-t06,0,1,1,1.959855,59.393236,remembers arbitration and refuses with repair path,1
250,21,Keth,v16-conflict-d21-t10,v16-conflict-d16-t08,0,1,1,1.999955,194.441,remembers arbitration and asks,1
251,21,Melo,v16-conflict-d21-t11,v16-conflict-d16-t09,0,0,0,2.013648,339.738764,remembers arbitration and asks,1
