generation,year,settlement_id,memory_key,event_summary,remembered_by,trust_norm,ownership_norm,consent_norm,storage_medium,survives_to_avatar_entry
29,870,roofward,memory:roofward:029,Generation 29 preserved herb preservation through seasonal repair using water clocks.,memory house of roofward,0.588459,0.596,0.55558,glass ledger / spoken ritual,True
29,870,archive,memory:archive:029,Generation 29 preserved signal memory through object blessing using water clocks.,repair kinship of archive,0.589042,0.616,0.5527,inkstone ledger / spoken ritual,True
29,870,signal,memory:signal:029,Generation 29 preserved path visibility through boundary asking using water clocks.,route council of signal,0.587559,0.636,0.55558,copper ledger / spoken ritual,True
29,870,orchard,memory:orchard:029,Generation 29 preserved dry seed continuity through grief return using water clocks.,memory house of orchard,0.588142,0.656,0.5527,clay ledger / spoken ritual,True
29,870,repair_ring,memory:repair_ring:029,Generation 29 preserved safe repair space through child naming using water clocks.,repair kinship of repair_ring,0.589359,0.676,0.55558,bronze ledger / spoken ritual,True
30,900,riverbend,memory:riverbend:030,Generation 30 preserved dry crossing through seasonal repair using water clocks.,route council of riverbend,0.59307,0.58,0.562,cedar ledger / spoken ritual,True
30,900,roofward,memory:roofward:030,Generation 30 preserved herb preservation through object blessing using water clocks.,memory house of roofward,0.593653,0.6,0.55912,glass ledger / spoken ritual,True
30,900,archive,memory:archive:030,Generation 30 preserved signal memory through boundary asking using water clocks.,repair kinship of archive,0.59487,0.62,0.562,inkstone ledger / spoken ritual,True
30,900,signal,memory:signal:030,Generation 30 preserved path visibility through grief return using water clocks.,route council of signal,0.592753,0.64,0.55912,copper ledger / spoken ritual,True
30,900,orchard,memory:orchard:030,Generation 30 preserved dry seed continuity through child naming using water clocks.,memory house of orchard,0.59397,0.66,0.562,clay ledger / spoken ritual,True
30,900,repair_ring,memory:repair_ring:030,Generation 30 preserved safe repair space through trade witness using water clocks.,repair kinship of repair_ring,0.594553,0.68,0.55912,bronze ledger / spoken ritual,True
31,930,riverbend,memory:riverbend:031,Generation 31 preserved dry crossing through boundary asking using kiln alloys.,route council of riverbend,0.598264,0.584,0.56554,cedar ledger / spoken ritual,True
31,930,roofward,memory:roofward:031,Generation 31 preserved herb preservation through grief return using kiln alloys.,memory house of roofward,0.598848,0.604,0.56266,glass ledger / spoken ritual,True
31,930,archive,memory:archive:031,Generation 31 preserved signal memory through child naming using kiln alloys.,repair kinship of archive,0.600064,0.624,0.56554,inkstone ledger / spoken ritual,True
31,930,signal,memory:signal:031,Generation 31 preserved path visibility through trade witness using kiln alloys.,route council of signal,0.597948,0.644,0.56266,copper ledger / spoken ritual,True
31,930,orchard,memory:orchard:031,Generation 31 preserved dry seed continuity through avatar waiting myth using kiln alloys.,memory house of orchard,0.599164,0.664,0.56554,clay ledger / spoken ritual,True
31,930,repair_ring,memory:repair_ring:031,Generation 31 preserved safe repair space through founding vow using kiln alloys.,repair kinship of repair_ring,0.599748,0.684,0.56266,bronze ledger / spoken ritual,True
32,960,riverbend,memory:riverbend:032,Generation 32 preserved dry crossing through grief return using kiln alloys.,route council of riverbend,0.603459,0.588,0.56908,cedar ledger / spoken ritual,True
32,960,roofward,memory:roofward:032,Generation 32 preserved herb preservation through child naming using kiln alloys.,memory house of roofward,0.604042,0.608,0.5662,glass ledger / spoken ritual,True
32,960,archive,memory:archive:032,Generation 32 preserved signal memory through trade witness using kiln alloys.,repair kinship of archive,0.605259,0.628,0.56908,inkstone ledger / spoken ritual,True
32,960,signal,memory:signal:032,Generation 32 preserved path visibility through avatar waiting myth using kiln alloys.,route council of signal,0.603142,0.648,0.5662,copper ledger / spoken ritual,True
32,960,orchard,memory:orchard:032,Generation 32 preserved dry seed continuity through founding vow using kiln alloys.,memory house of orchard,0.604359,0.668,0.56908,clay ledger / spoken ritual,True
32,960,repair_ring,memory:repair_ring:032,Generation 32 preserved safe repair space through seasonal repair using kiln alloys.,repair kinship of repair_ring,0.604942,0.688,0.5662,bronze ledger / spoken ritual,True
33,990,riverbend,memory:riverbend:033,Generation 33 preserved dry crossing through child naming using kiln alloys.,route council of riverbend,0.608653,0.592,0.57262,cedar ledger / spoken ritual,True
33,990,roofward,memory:roofward:033,Generation 33 preserved herb preservation through trade witness using kiln alloys.,memory house of roofward,0.60987,0.612,0.5755,glass ledger / spoken ritual,True
33,990,archive,memory:archive:033,Generation 33 preserved signal memory through avatar waiting myth using kiln alloys.,repair kinship of archive,0.610453,0.632,0.57262,inkstone ledger / spoken ritual,True
33,990,signal,memory:signal:033,Generation 33 preserved path visibility through founding vow using kiln alloys.,route council of signal,0.60897,0.652,0.5755,copper ledger / spoken ritual,True
33,990,orchard,memory:orchard:033,Generation 33 preserved dry seed continuity through seasonal repair using kiln alloys.,memory house of orchard,0.609553,0.672,0.57262,clay ledger / spoken ritual,True
33,990,repair_ring,memory:repair_ring:033,Generation 33 preserved safe repair space through object blessing using kiln alloys.,repair kinship of repair_ring,0.61077,0.692,0.5755,bronze ledger / spoken ritual,True
34,1020,riverbend,memory:riverbend:034,Generation 34 preserved dry crossing through trade witness using kiln alloys.,route council of riverbend,0.613848,0.596,0.57616,cedar ledger / spoken ritual,True
34,1020,roofward,memory:roofward:034,Generation 34 preserved herb preservation through avatar waiting myth using kiln alloys.,memory house of roofward,0.615064,0.616,0.57904,glass ledger / spoken ritual,True
34,1020,archive,memory:archive:034,Generation 34 preserved signal memory through founding vow using kiln alloys.,repair kinship of archive,0.615648,0.636,0.57616,inkstone ledger / spoken ritual,True
34,1020,signal,memory:signal:034,Generation 34 preserved path visibility through seasonal repair using kiln alloys.,route council of signal,0.614164,0.656,0.57904,copper ledger / spoken ritual,True
34,1020,orchard,memory:orchard:034,Generation 34 preserved dry seed continuity through object blessing using kiln alloys.,memory house of orchard,0.614748,0.676,0.57616,clay ledger / spoken ritual,True
34,1020,repair_ring,memory:repair_ring:034,Generation 34 preserved safe repair space through boundary asking using kiln alloys.,repair kinship of repair_ring,0.615964,0.696,0.57904,bronze ledger / spoken ritual,True
35,1050,riverbend,memory:riverbend:035,Generation 35 preserved dry crossing through avatar waiting myth using kiln alloys.,route council of riverbend,0.619042,0.6,0.5797,cedar ledger / spoken ritual,True
35,1050,roofward,memory:roofward:035,Generation 35 preserved herb preservation through founding vow using kiln alloys.,memory house of roofward,0.620259,0.62,0.58258,glass ledger / spoken ritual,True
35,1050,archive,memory:archive:035,Generation 35 preserved signal memory through seasonal repair using kiln alloys.,repair kinship of archive,0.620842,0.64,0.5797,inkstone ledger / spoken ritual,True
35,1050,signal,memory:signal:035,Generation 35 preserved path visibility through object blessing using kiln alloys.,route council of signal,0.619359,0.66,0.58258,copper ledger / spoken ritual,True
35,1050,orchard,memory:orchard:035,Generation 35 preserved dry seed continuity through boundary asking using kiln alloys.,memory house of orchard,0.619942,0.68,0.5797,clay ledger / spoken ritual,True
35,1050,repair_ring,memory:repair_ring:035,Generation 35 preserved safe repair space through grief return using kiln alloys.,repair kinship of repair_ring,0.621159,0.7,0.58258,bronze ledger / spoken ritual,True
36,1080,riverbend,memory:riverbend:036,Generation 36 preserved dry crossing through founding vow using kiln alloys.,route council of riverbend,0.62487,0.604,0.589,cedar ledger / spoken ritual,True
36,1080,roofward,memory:roofward:036,Generation 36 preserved herb preservation through seasonal repair using kiln alloys.,memory house of roofward,0.625453,0.624,0.58612,glass ledger / spoken ritual,True
36,1080,archive,memory:archive:036,Generation 36 preserved signal memory through object blessing using kiln alloys.,repair kinship of archive,0.62667,0.644,0.589,inkstone ledger / spoken ritual,True
36,1080,signal,memory:signal:036,Generation 36 preserved path visibility through boundary asking using kiln alloys.,route council of signal,0.624553,0.664,0.58612,copper ledger / spoken ritual,True
36,1080,orchard,memory:orchard:036,Generation 36 preserved dry seed continuity through grief return using kiln alloys.,memory house of orchard,0.62577,0.684,0.589,clay ledger / spoken ritual,True
36,1080,repair_ring,memory:repair_ring:036,Generation 36 preserved safe repair space through child naming using kiln alloys.,repair kinship of repair_ring,0.626353,0.704,0.58612,bronze ledger / spoken ritual,True
37,1110,riverbend,memory:riverbend:037,Generation 37 preserved dry crossing through seasonal repair using kiln alloys.,route council of riverbend,0.630064,0.608,0.59254,cedar ledger / spoken ritual,True
37,1110,roofward,memory:roofward:037,Generation 37 preserved herb preservation through object blessing using kiln alloys.,memory house of roofward,0.630648,0.628,0.58966,glass ledger / spoken ritual,True
37,1110,archive,memory:archive:037,Generation 37 preserved signal memory through boundary asking using kiln alloys.,repair kinship of archive,0.631864,0.648,0.59254,inkstone ledger / spoken ritual,True
37,1110,signal,memory:signal:037,Generation 37 preserved path visibility through grief return using kiln alloys.,route council of signal,0.629748,0.668,0.58966,copper ledger / spoken ritual,True
37,1110,orchard,memory:orchard:037,Generation 37 preserved dry seed continuity through child naming using kiln alloys.,memory house of orchard,0.630964,0.688,0.59254,clay ledger / spoken ritual,True
37,1110,repair_ring,memory:repair_ring:037,Generation 37 preserved safe repair space through trade witness using kiln alloys.,repair kinship of repair_ring,0.631548,0.708,0.58966,bronze ledger / spoken ritual,True
38,1140,riverbend,memory:riverbend:038,Generation 38 preserved dry crossing through object blessing using kiln alloys.,route council of riverbend,0.635259,0.612,0.59608,cedar ledger / spoken ritual,True
38,1140,roofward,memory:roofward:038,Generation 38 preserved herb preservation through boundary asking using kiln alloys.,memory house of roofward,0.635842,0.632,0.5932,glass ledger / spoken ritual,True
38,1140,archive,memory:archive:038,Generation 38 preserved signal memory through grief return using kiln alloys.,repair kinship of archive,0.637059,0.652,0.59608,inkstone ledger / spoken ritual,True
38,1140,signal,memory:signal:038,Generation 38 preserved path visibility through child naming using kiln alloys.,route council of signal,0.634942,0.672,0.5932,copper ledger / spoken ritual,True
38,1140,orchard,memory:orchard:038,Generation 38 preserved dry seed continuity through trade witness using kiln alloys.,memory house of orchard,0.636159,0.692,0.59608,clay ledger / spoken ritual,True
38,1140,repair_ring,memory:repair_ring:038,Generation 38 preserved safe repair space through avatar waiting myth using kiln alloys.,repair kinship of repair_ring,0.636742,0.712,0.5932,bronze ledger / spoken ritual,True
39,1170,riverbend,memory:riverbend:039,Generation 39 preserved dry crossing through boundary asking using kiln alloys.,route council of riverbend,0.640453,0.616,0.59962,cedar ledger / spoken ritual,True
39,1170,roofward,memory:roofward:039,Generation 39 preserved herb preservation through grief return using kiln alloys.,memory house of roofward,0.64167,0.636,0.6025,glass ledger / spoken ritual,True
39,1170,archive,memory:archive:039,Generation 39 preserved signal memory through child naming using kiln alloys.,repair kinship of archive,0.642253,0.656,0.59962,inkstone ledger / spoken ritual,True
39,1170,signal,memory:signal:039,Generation 39 preserved path visibility through trade witness using kiln alloys.,route council of signal,0.64077,0.676,0.6025,copper ledger / spoken ritual,True
39,1170,orchard,memory:orchard:039,Generation 39 preserved dry seed continuity through avatar waiting myth using kiln alloys.,memory house of orchard,0.641353,0.696,0.59962,clay ledger / spoken ritual,True
39,1170,repair_ring,memory:repair_ring:039,Generation 39 preserved safe repair space through founding vow using kiln alloys.,repair kinship of repair_ring,0.64257,0.716,0.6025,bronze ledger / spoken ritual,True
40,1200,riverbend,memory:riverbend:040,Generation 40 preserved dry crossing through grief return using kiln alloys.,route council of riverbend,0.645648,0.62,0.60316,cedar ledger / spoken ritual,True
40,1200,roofward,memory:roofward:040,Generation 40 preserved herb preservation through child naming using kiln alloys.,memory house of roofward,0.646864,0.64,0.60604,glass ledger / spoken ritual,True
40,1200,archive,memory:archive:040,Generation 40 preserved signal memory through trade witness using kiln alloys.,repair kinship of archive,0.647448,0.66,0.60316,inkstone ledger / spoken ritual,True
40,1200,signal,memory:signal:040,Generation 40 preserved path visibility through avatar waiting myth using kiln alloys.,route council of signal,0.645964,0.68,0.60604,copper ledger / spoken ritual,True
40,1200,orchard,memory:orchard:040,Generation 40 preserved dry seed continuity through founding vow using kiln alloys.,memory house of orchard,0.646548,0.7,0.60316,clay ledger / spoken ritual,True
40,1200,repair_ring,memory:repair_ring:040,Generation 40 preserved safe repair space through seasonal repair using kiln alloys.,repair kinship of repair_ring,0.647764,0.72,0.60604,bronze ledger / spoken ritual,True
41,1230,riverbend,memory:riverbend:041,Generation 41 preserved dry crossing through trade witness using signal lenses.,route council of riverbend,0.650842,0.624,0.6067,cedar ledger / spoken ritual,True
41,1230,roofward,memory:roofward:041,Generation 41 preserved herb preservation through avatar waiting myth using signal lenses.,memory house of roofward,0.652059,0.644,0.60958,glass ledger / spoken ritual,True
41,1230,archive,memory:archive:041,Generation 41 preserved signal memory through founding vow using signal lenses.,repair kinship of archive,0.652642,0.664,0.6067,inkstone ledger / spoken ritual,True
41,1230,signal,memory:signal:041,Generation 41 preserved path visibility through seasonal repair using signal lenses.,route council of signal,0.651159,0.684,0.60958,copper ledger / spoken ritual,True
41,1230,orchard,memory:orchard:041,Generation 41 preserved dry seed continuity through object blessing using signal lenses.,memory house of orchard,0.651742,0.704,0.6067,clay ledger / spoken ritual,True
41,1230,repair_ring,memory:repair_ring:041,Generation 41 preserved safe repair space through boundary asking using signal lenses.,repair kinship of repair_ring,0.652959,0.724,0.60958,bronze ledger / spoken ritual,True
42,1260,riverbend,memory:riverbend:042,Generation 42 preserved dry crossing through avatar waiting myth using signal lenses.,route council of riverbend,0.65667,0.628,0.616,cedar ledger / spoken ritual,True
42,1260,roofward,memory:roofward:042,Generation 42 preserved herb preservation through founding vow using signal lenses.,memory house of roofward,0.657253,0.648,0.61312,glass ledger / spoken ritual,True
42,1260,archive,memory:archive:042,Generation 42 preserved signal memory through seasonal repair using signal lenses.,repair kinship of archive,0.6582,0.668,0.616,inkstone ledger / spoken ritual,True
42,1260,signal,memory:signal:042,Generation 42 preserved path visibility through object blessing using signal lenses.,route council of signal,0.656353,0.688,0.61312,copper ledger / spoken ritual,True
42,1260,orchard,memory:orchard:042,Generation 42 preserved dry seed continuity through boundary asking using signal lenses.,memory house of orchard,0.65757,0.708,0.616,clay ledger / spoken ritual,True
42,1260,repair_ring,memory:repair_ring:042,Generation 42 preserved safe repair space through grief return using signal lenses.,repair kinship of repair_ring,0.658153,0.728,0.61312,bronze ledger / spoken ritual,True
43,1290,riverbend,memory:riverbend:043,Generation 43 preserved dry crossing through founding vow using signal lenses.,route council of riverbend,0.661864,0.632,0.61954,cedar ledger / spoken ritual,True
43,1290,roofward,memory:roofward:043,Generation 43 preserved herb preservation through seasonal repair using signal lenses.,memory house of roofward,0.662448,0.652,0.61666,glass ledger / spoken ritual,True
43,1290,archive,memory:archive:043,Generation 43 preserved signal memory through object blessing using signal lenses.,repair kinship of archive,0.6632,0.672,0.61954,inkstone ledger / spoken ritual,True
43,1290,signal,memory:signal:043,Generation 43 preserved path visibility through boundary asking using signal lenses.,route council of signal,0.661548,0.692,0.61666,copper ledger / spoken ritual,True
43,1290,orchard,memory:orchard:043,Generation 43 preserved dry seed continuity through grief return using signal lenses.,memory house of orchard,0.662764,0.712,0.61954,clay ledger / spoken ritual,True
43,1290,repair_ring,memory:repair_ring:043,Generation 43 preserved safe repair space through child naming using signal lenses.,repair kinship of repair_ring,0.6632,0.732,0.61666,bronze ledger / spoken ritual,True
44,1320,riverbend,memory:riverbend:044,Generation 44 preserved dry crossing through seasonal repair using signal lenses.,route council of riverbend,0.667059,0.636,0.62308,cedar ledger / spoken ritual,True
44,1320,roofward,memory:roofward:044,Generation 44 preserved herb preservation through object blessing using signal lenses.,memory house of roofward,0.667642,0.656,0.6202,glass ledger / spoken ritual,True
44,1320,archive,memory:archive:044,Generation 44 preserved signal memory through boundary asking using signal lenses.,repair kinship of archive,0.6682,0.676,0.62308,inkstone ledger / spoken ritual,True
44,1320,signal,memory:signal:044,Generation 44 preserved path visibility through grief return using signal lenses.,route council of signal,0.666742,0.696,0.6202,copper ledger / spoken ritual,True
44,1320,orchard,memory:orchard:044,Generation 44 preserved dry seed continuity through child naming using signal lenses.,memory house of orchard,0.667959,0.716,0.62308,clay ledger / spoken ritual,True
44,1320,repair_ring,memory:repair_ring:044,Generation 44 preserved safe repair space through trade witness using signal lenses.,repair kinship of repair_ring,0.6682,0.736,0.6202,bronze ledger / spoken ritual,True
45,1350,riverbend,memory:riverbend:045,Generation 45 preserved dry crossing through object blessing using signal lenses.,route council of riverbend,0.672253,0.64,0.62662,cedar ledger / spoken ritual,True
45,1350,roofward,memory:roofward:045,Generation 45 preserved herb preservation through boundary asking using signal lenses.,memory house of roofward,0.6732,0.66,0.6295,glass ledger / spoken ritual,True
45,1350,archive,memory:archive:045,Generation 45 preserved signal memory through grief return using signal lenses.,repair kinship of archive,0.6732,0.68,0.62662,inkstone ledger / spoken ritual,True
45,1350,signal,memory:signal:045,Generation 45 preserved path visibility through child naming using signal lenses.,route council of signal,0.67257,0.7,0.6295,copper ledger / spoken ritual,True
45,1350,orchard,memory:orchard:045,Generation 45 preserved dry seed continuity through trade witness using signal lenses.,memory house of orchard,0.673153,0.72,0.62662,clay ledger / spoken ritual,True
45,1350,repair_ring,memory:repair_ring:045,Generation 45 preserved safe repair space through avatar waiting myth using signal lenses.,repair kinship of repair_ring,0.6732,0.74,0.6295,bronze ledger / spoken ritual,True
46,1380,riverbend,memory:riverbend:046,Generation 46 preserved dry crossing through boundary asking using signal lenses.,route council of riverbend,0.677448,0.644,0.63016,cedar ledger / spoken ritual,True
46,1380,roofward,memory:roofward:046,Generation 46 preserved herb preservation through grief return using signal lenses.,memory house of roofward,0.6782,0.664,0.63304,glass ledger / spoken ritual,True
46,1380,archive,memory:archive:046,Generation 46 preserved signal memory through child naming using signal lenses.,repair kinship of archive,0.6782,0.684,0.63016,inkstone ledger / spoken ritual,True
46,1380,signal,memory:signal:046,Generation 46 preserved path visibility through trade witness using signal lenses.,route council of signal,0.677764,0.704,0.63304,copper ledger / spoken ritual,True
46,1380,orchard,memory:orchard:046,Generation 46 preserved dry seed continuity through avatar waiting myth using signal lenses.,memory house of orchard,0.6782,0.724,0.63016,clay ledger / spoken ritual,True
46,1380,repair_ring,memory:repair_ring:046,Generation 46 preserved safe repair space through founding vow using signal lenses.,repair kinship of repair_ring,0.6782,0.744,0.63304,bronze ledger / spoken ritual,True
47,1410,riverbend,memory:riverbend:047,Generation 47 preserved dry crossing through grief return using signal lenses.,route council of riverbend,0.682642,0.648,0.6337,cedar ledger / spoken ritual,True
47,1410,roofward,memory:roofward:047,Generation 47 preserved herb preservation through child naming using signal lenses.,memory house of roofward,0.6832,0.668,0.63658,glass ledger / spoken ritual,True
47,1410,archive,memory:archive:047,Generation 47 preserved signal memory through trade witness using signal lenses.,repair kinship of archive,0.6832,0.688,0.6337,inkstone ledger / spoken ritual,True
47,1410,signal,memory:signal:047,Generation 47 preserved path visibility through avatar waiting myth using signal lenses.,route council of signal,0.682959,0.708,0.63658,copper ledger / spoken ritual,True
47,1410,orchard,memory:orchard:047,Generation 47 preserved dry seed continuity through founding vow using signal lenses.,memory house of orchard,0.6832,0.728,0.6337,clay ledger / spoken ritual,True
47,1410,repair_ring,memory:repair_ring:047,Generation 47 preserved safe repair space through seasonal repair using signal lenses.,repair kinship of repair_ring,0.6832,0.748,0.63658,bronze ledger / spoken ritual,True
48,1440,riverbend,memory:riverbend:048,Generation 48 preserved dry crossing through child naming using signal lenses.,route council of riverbend,0.6882,0.652,0.643,cedar ledger / spoken ritual,True
48,1440,roofward,memory:roofward:048,Generation 48 preserved herb preservation through trade witness using signal lenses.,memory house of roofward,0.6882,0.672,0.64012,glass ledger / spoken ritual,True
48,1440,archive,memory:archive:048,Generation 48 preserved signal memory through avatar waiting myth using signal lenses.,repair kinship of archive,0.6882,0.692,0.643,inkstone ledger / spoken ritual,True
48,1440,signal,memory:signal:048,Generation 48 preserved path visibility through founding vow using signal lenses.,route council of signal,0.688153,0.712,0.64012,copper ledger / spoken ritual,True
48,1440,orchard,memory:orchard:048,Generation 48 preserved dry seed continuity through seasonal repair using signal lenses.,memory house of orchard,0.6882,0.732,0.643,clay ledger / spoken ritual,True
48,1440,repair_ring,memory:repair_ring:048,Generation 48 preserved safe repair space through object blessing using signal lenses.,repair kinship of repair_ring,0.6882,0.752,0.64012,bronze ledger / spoken ritual,True
49,1470,riverbend,memory:riverbend:049,Generation 49 preserved dry crossing through trade witness using signal lenses.,route council of riverbend,0.6932,0.656,0.64654,cedar ledger / spoken ritual,True
49,1470,roofward,memory:roofward:049,Generation 49 preserved herb preservation through avatar waiting myth using signal lenses.,memory house of roofward,0.6932,0.676,0.64366,glass ledger / spoken ritual,True
49,1470,archive,memory:archive:049,Generation 49 preserved signal memory through founding vow using signal lenses.,repair kinship of archive,0.6932,0.696,0.64654,inkstone ledger / spoken ritual,True
49,1470,signal,memory:signal:049,Generation 49 preserved path visibility through seasonal repair using signal lenses.,route council of signal,0.6932,0.716,0.64366,copper ledger / spoken ritual,True
49,1470,orchard,memory:orchard:049,Generation 49 preserved dry seed continuity through object blessing using signal lenses.,memory house of orchard,0.6932,0.736,0.64654,clay ledger / spoken ritual,True
49,1470,repair_ring,memory:repair_ring:049,Generation 49 preserved safe repair space through boundary asking using signal lenses.,repair kinship of repair_ring,0.6932,0.756,0.64366,bronze ledger / spoken ritual,True
50,1500,riverbend,memory:riverbend:050,Generation 50 preserved dry crossing through avatar waiting myth using signal lenses.,route council of riverbend,0.6982,0.66,0.65008,cedar ledger / spoken ritual,True
50,1500,roofward,memory:roofward:050,Generation 50 preserved herb preservation through founding vow using signal lenses.,memory house of roofward,0.6982,0.68,0.6472,glass ledger / spoken ritual,True
50,1500,archive,memory:archive:050,Generation 50 preserved signal memory through seasonal repair using signal lenses.,repair kinship of archive,0.6982,0.7,0.65008,inkstone ledger / spoken ritual,True
50,1500,signal,memory:signal:050,Generation 50 preserved path visibility through object blessing using signal lenses.,route council of signal,0.6982,0.72,0.6472,copper ledger / spoken ritual,True
50,1500,orchard,memory:orchard:050,Generation 50 preserved dry seed continuity through boundary asking using signal lenses.,memory house of orchard,0.6982,0.74,0.65008,clay ledger / spoken ritual,True
50,1500,repair_ring,memory:repair_ring:050,Generation 50 preserved safe repair space through grief return using signal lenses.,repair kinship of repair_ring,0.6982,0.76,0.6472,bronze ledger / spoken ritual,True
51,1530,riverbend,memory:riverbend:051,Generation 51 preserved dry crossing through seasonal repair using memory looms.,route council of riverbend,0.7032,0.664,0.65362,cedar ledger / spoken ritual,True
51,1530,roofward,memory:roofward:051,Generation 51 preserved herb preservation through object blessing using memory looms.,memory house of roofward,0.7032,0.684,0.6565,glass ledger / spoken ritual,True
51,1530,archive,memory:archive:051,Generation 51 preserved signal memory through boundary asking using memory looms.,repair kinship of archive,0.7032,0.704,0.65362,inkstone ledger / spoken ritual,True
51,1530,signal,memory:signal:051,Generation 51 preserved path visibility through grief return using memory looms.,route council of signal,0.7032,0.724,0.6565,copper ledger / spoken ritual,True
51,1530,orchard,memory:orchard:051,Generation 51 preserved dry seed continuity through child naming using memory looms.,memory house of orchard,0.7032,0.744,0.65362,clay ledger / spoken ritual,True
51,1530,repair_ring,memory:repair_ring:051,Generation 51 preserved safe repair space through trade witness using memory looms.,repair kinship of repair_ring,0.7032,0.764,0.6565,bronze ledger / spoken ritual,True
52,1560,riverbend,memory:riverbend:052,Generation 52 preserved dry crossing through object blessing using memory looms.,route council of riverbend,0.7082,0.668,0.65716,cedar ledger / spoken ritual,True
52,1560,roofward,memory:roofward:052,Generation 52 preserved herb preservation through boundary asking using memory looms.,memory house of roofward,0.7082,0.688,0.66004,glass ledger / spoken ritual,True
52,1560,archive,memory:archive:052,Generation 52 preserved signal memory through grief return using memory looms.,repair kinship of archive,0.7082,0.708,0.65716,inkstone ledger / spoken ritual,True
52,1560,signal,memory:signal:052,Generation 52 preserved path visibility through child naming using memory looms.,route council of signal,0.7082,0.728,0.66004,copper ledger / spoken ritual,True
52,1560,orchard,memory:orchard:052,Generation 52 preserved dry seed continuity through trade witness using memory looms.,memory house of orchard,0.7082,0.748,0.65716,clay ledger / spoken ritual,True
52,1560,repair_ring,memory:repair_ring:052,Generation 52 preserved safe repair space through avatar waiting myth using memory looms.,repair kinship of repair_ring,0.7082,0.768,0.66004,bronze ledger / spoken ritual,True
53,1590,riverbend,memory:riverbend:053,Generation 53 preserved dry crossing through boundary asking using memory looms.,route council of riverbend,0.7132,0.672,0.6607,cedar ledger / spoken ritual,True
53,1590,roofward,memory:roofward:053,Generation 53 preserved herb preservation through grief return using memory looms.,memory house of roofward,0.7132,0.692,0.66358,glass ledger / spoken ritual,True
53,1590,archive,memory:archive:053,Generation 53 preserved signal memory through child naming using memory looms.,repair kinship of archive,0.7132,0.712,0.6607,inkstone ledger / spoken ritual,True
53,1590,signal,memory:signal:053,Generation 53 preserved path visibility through trade witness using memory looms.,route council of signal,0.7132,0.732,0.66358,copper ledger / spoken ritual,True
53,1590,orchard,memory:orchard:053,Generation 53 preserved dry seed continuity through avatar waiting myth using memory looms.,memory house of orchard,0.7132,0.752,0.6607,clay ledger / spoken ritual,True
53,1590,repair_ring,memory:repair_ring:053,Generation 53 preserved safe repair space through founding vow using memory looms.,repair kinship of repair_ring,0.7132,0.772,0.66358,bronze ledger / spoken ritual,True
54,1620,riverbend,memory:riverbend:054,Generation 54 preserved dry crossing through grief return using memory looms.,route council of riverbend,0.7182,0.676,0.67,cedar ledger / spoken ritual,True
54,1620,roofward,memory:roofward:054,Generation 54 preserved herb preservation through child naming using memory looms.,memory house of roofward,0.7182,0.696,0.66712,glass ledger / spoken ritual,True
54,1620,archive,memory:archive:054,Generation 54 preserved signal memory through trade witness using memory looms.,repair kinship of archive,0.7182,0.716,0.67,inkstone ledger / spoken ritual,True
54,1620,signal,memory:signal:054,Generation 54 preserved path visibility through avatar waiting myth using memory looms.,route council of signal,0.7182,0.736,0.66712,copper ledger / spoken ritual,True
54,1620,orchard,memory:orchard:054,Generation 54 preserved dry seed continuity through founding vow using memory looms.,memory house of orchard,0.7182,0.756,0.67,clay ledger / spoken ritual,True
54,1620,repair_ring,memory:repair_ring:054,Generation 54 preserved safe repair space through seasonal repair using memory looms.,repair kinship of repair_ring,0.7182,0.776,0.66712,bronze ledger / spoken ritual,True
55,1650,riverbend,memory:riverbend:055,Generation 55 preserved dry crossing through child naming using memory looms.,route council of riverbend,0.7232,0.68,0.67354,cedar ledger / spoken ritual,True
55,1650,roofward,memory:roofward:055,Generation 55 preserved herb preservation through trade witness using memory looms.,memory house of roofward,0.7232,0.7,0.67066,glass ledger / spoken ritual,True
55,1650,archive,memory:archive:055,Generation 55 preserved signal memory through avatar waiting myth using memory looms.,repair kinship of archive,0.7232,0.72,0.67354,inkstone ledger / spoken ritual,True
55,1650,signal,memory:signal:055,Generation 55 preserved path visibility through founding vow using memory looms.,route council of signal,0.7232,0.74,0.67066,copper ledger / spoken ritual,True
55,1650,orchard,memory:orchard:055,Generation 55 preserved dry seed continuity through seasonal repair using memory looms.,memory house of orchard,0.7232,0.76,0.67354,clay ledger / spoken ritual,True
55,1650,repair_ring,memory:repair_ring:055,Generation 55 preserved safe repair space through object blessing using memory looms.,repair kinship of repair_ring,0.7232,0.78,0.67066,bronze ledger / spoken ritual,True
56,1680,riverbend,memory:riverbend:056,Generation 56 preserved dry crossing through trade witness using memory looms.,route council of riverbend,0.7282,0.684,0.67708,cedar ledger / spoken ritual,True
56,1680,roofward,memory:roofward:056,Generation 56 preserved herb preservation through avatar waiting myth using memory looms.,memory house of roofward,0.7282,0.704,0.6742,glass ledger / spoken ritual,True
56,1680,archive,memory:archive:056,Generation 56 preserved signal memory through founding vow using memory looms.,repair kinship of archive,0.7282,0.724,0.67708,inkstone ledger / spoken ritual,True
56,1680,signal,memory:signal:056,Generation 56 preserved path visibility through seasonal repair using memory looms.,route council of signal,0.7282,0.744,0.6742,copper ledger / spoken ritual,True
56,1680,orchard,memory:orchard:056,Generation 56 preserved dry seed continuity through object blessing using memory looms.,memory house of orchard,0.7282,0.764,0.67708,clay ledger / spoken ritual,True
