tick,day,replay_id,scene_id,includes_free_move_vector,includes_proximity_dialogue,includes_inventory_transaction,includes_agent_reaction_state,includes_reload_snapshot,deterministic_order,replay_integrity_score
358,23,v22-replay-0358,v22-scene-d23,1,True,1,1,1,1,1.0
359,23,v22-replay-0359,v22-scene-d23,1,False,1,1,1,1,0.964286
360,23,v22-replay-0360,v22-scene-d23,1,1,1,1,1,1,0.928571
361,23,v22-replay-0361,v22-scene-d23,1,1,1,1,1,1,0.964286
362,23,v22-replay-0362,v22-scene-d23,1,1,1,1,1,1,1.0
363,23,v22-replay-0363,v22-scene-d23,1,1,1,1,1,1,0.928571
364,23,v22-replay-0364,v22-scene-d23,1,1,1,1,1,1,0.928571
365,23,v22-replay-0365,v22-scene-d23,1,1,1,1,1,1,0.892857
366,23,v22-replay-0366,v22-scene-d23,1,1,1,1,1,1,1.0
367,23,v22-replay-0367,v22-scene-d23,1,1,1,1,1,1,1.0
368,24,v22-replay-0368,v22-scene-d24,1,1,1,1,1,1,1.0
369,24,v22-replay-0369,v22-scene-d24,1,True,1,1,1,1,1.0
370,24,v22-replay-0370,v22-scene-d24,1,True,0,1,1,1,0.940476
371,24,v22-replay-0371,v22-scene-d24,1,1,1,1,1,1,1.0
372,24,v22-replay-0372,v22-scene-d24,1,1,1,1,1,1,0.892857
373,24,v22-replay-0373,v22-scene-d24,1,True,1,1,1,1,1.0
374,24,v22-replay-0374,v22-scene-d24,1,1,1,1,1,1,1.0
375,24,v22-replay-0375,v22-scene-d24,1,1,1,1,1,1,1.0
376,24,v22-replay-0376,v22-scene-d24,1,False,1,1,1,1,0.940476
377,24,v22-replay-0377,v22-scene-d24,1,1,1,1,1,1,0.964286
378,24,v22-replay-0378,v22-scene-d24,1,1,1,1,1,1,1.0
379,24,v22-replay-0379,v22-scene-d24,1,1,1,1,1,1,0.904762
380,24,v22-replay-0380,v22-scene-d24,1,1,1,1,1,1,0.904762
381,24,v22-replay-0381,v22-scene-d24,1,1,1,1,1,1,0.892857
382,24,v22-replay-0382,v22-scene-d24,1,1,1,1,1,1,0.904762
383,24,v22-replay-0383,v22-scene-d24,1,1,1,1,1,1,1.0
