tick,day,speaker,listener,bystander,action,consequence,speaker_trust_delta,listener_trust_delta,bystander_trust_delta,group_mood_before,group_mood_after,replayable,not_overdriven
541,31,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.573733,0.574883,True,True
542,31,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.568871,0.577671,True,True
543,31,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.563965,0.566265,True,True
544,31,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.55902,0.56782,True,True
545,31,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.554039,0.568239,True,True
546,31,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.549028,0.545928,True,True
547,31,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.54399,0.54514,True,True
548,31,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.538931,0.547731,True,True
549,31,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.533855,0.536155,True,True
550,31,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.528767,0.537567,True,True
551,31,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.52367,0.53787,True,True
552,31,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.518571,0.515471,True,True
553,31,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.513472,0.514622,True,True
554,31,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.50838,0.51718,True,True
555,31,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.503298,0.505598,True,True
556,31,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.498231,0.507031,True,True
557,31,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.493183,0.507383,True,True
558,32,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.563965,0.563665,True,True
559,32,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.55902,0.55107,True,True
560,32,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.554039,0.562839,True,True
561,32,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.549028,0.554128,True,True
562,32,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.54399,0.54369,True,True
563,32,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.538931,0.553131,True,True
564,32,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.533855,0.533555,True,True
565,32,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.528767,0.520817,True,True
566,32,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.52367,0.53247,True,True
567,32,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.518571,0.523671,True,True
568,32,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.513472,0.513172,True,True
569,32,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.50838,0.52258,True,True
570,32,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.503298,0.502998,True,True
571,32,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.498231,0.490281,True,True
572,32,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.493183,0.501983,True,True
573,32,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.48816,0.49326,True,True
574,32,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.483165,0.482865,True,True
575,32,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.478204,0.492404,True,True
576,33,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.549028,0.557828,True,True
577,33,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.54399,0.54514,True,True
578,33,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.538931,0.535831,True,True
579,33,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.533855,0.548055,True,True
580,33,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.528767,0.537567,True,True
581,33,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.52367,0.52597,True,True
582,33,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.518571,0.527371,True,True
583,33,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.513472,0.514622,True,True
584,33,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.50838,0.50528,True,True
585,33,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.503298,0.517498,True,True
586,33,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.498231,0.507031,True,True
587,33,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.493183,0.495483,True,True
588,33,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.48816,0.49696,True,True
589,33,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.483165,0.484315,True,True
590,33,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.478204,0.475104,True,True
591,33,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.47328,0.48748,True,True
592,33,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.468398,0.477198,True,True
593,33,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.463563,0.465863,True,True
594,34,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.533855,0.533555,True,True
595,34,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.528767,0.529917,True,True
596,34,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.52367,0.52337,True,True
597,34,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.518571,0.523671,True,True
598,34,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.513472,0.522272,True,True
599,34,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.50838,0.51348,True,True
600,34,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.503298,0.502998,True,True
601,34,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.498231,0.499381,True,True
602,34,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.493183,0.492883,True,True
603,34,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.48816,0.49326,True,True
604,34,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.483165,0.491965,True,True
605,34,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.478204,0.483304,True,True
606,34,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.47328,0.47298,True,True
607,34,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.468398,0.469548,True,True
608,34,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.463563,0.463263,True,True
609,34,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.458778,0.463878,True,True
610,34,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.454048,0.462848,True,True
611,34,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.449378,0.454478,True,True
612,35,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.518571,0.527371,True,True
613,35,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.513472,0.502722,True,True
614,35,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.50838,0.51718,True,True
615,35,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.503298,0.517498,True,True
616,35,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.498231,0.495131,True,True
617,35,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.493183,0.507383,True,True
618,35,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.48816,0.49696,True,True
619,35,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.483165,0.472415,True,True
620,35,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.478204,0.487004,True,True
621,35,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.47328,0.48748,True,True
622,35,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.468398,0.465298,True,True
623,35,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.463563,0.477763,True,True
624,35,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.458778,0.467578,True,True
625,35,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.454048,0.443298,True,True
626,35,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.449378,0.458178,True,True
627,35,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.444772,0.458972,True,True
628,35,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.440233,0.437133,True,True
629,35,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.435765,0.449965,True,True
630,36,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.503298,0.512098,True,True
631,36,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.498231,0.490281,True,True
632,36,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.493183,0.492883,True,True
633,36,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.48816,0.50236,True,True
634,36,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.483165,0.482865,True,True
635,36,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.478204,0.483304,True,True
636,36,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.47328,0.48208,True,True
637,36,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.468398,0.460448,True,True
638,36,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.463563,0.463263,True,True
639,36,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.458778,0.472978,True,True
640,36,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.454048,0.453748,True,True
641,36,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.449378,0.454478,True,True
642,36,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.444772,0.453572,True,True
643,36,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.440233,0.432283,True,True
644,36,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.435765,0.435465,True,True
645,36,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.431374,0.445574,True,True
646,36,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.427063,0.426763,True,True
647,36,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.422835,0.427935,True,True
648,37,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.48816,0.48506,True,True
649,37,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.483165,0.484315,True,True
650,37,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.478204,0.487004,True,True
651,37,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.47328,0.47558,True,True
652,37,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.468398,0.477198,True,True
653,37,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.463563,0.477763,True,True
654,37,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.458778,0.455678,True,True
655,37,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.454048,0.455198,True,True
656,37,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.449378,0.458178,True,True
657,37,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.444772,0.447072,True,True
658,37,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.440233,0.449033,True,True
659,37,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.435765,0.449965,True,True
660,37,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.431374,0.428274,True,True
661,37,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.427063,0.428213,True,True
662,37,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.422835,0.431635,True,True
663,37,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.418694,0.420994,True,True
664,37,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.414645,0.423445,True,True
665,37,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.41069,0.42489,True,True
666,38,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.47328,0.47298,True,True
667,38,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.468398,0.460448,True,True
668,38,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.463563,0.472363,True,True
669,38,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.458778,0.463878,True,True
670,38,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.454048,0.453748,True,True
671,38,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.449378,0.463578,True,True
672,38,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.444772,0.444472,True,True
673,38,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.440233,0.432283,True,True
674,38,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.435765,0.444565,True,True
675,38,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.431374,0.436474,True,True
676,38,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.427063,0.426763,True,True
677,38,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.422835,0.437035,True,True
678,38,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.418694,0.418394,True,True
679,38,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.414645,0.406695,True,True
680,38,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.41069,0.41949,True,True
681,38,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.406834,0.411934,True,True
682,38,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.40308,0.40278,True,True
683,38,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.399431,0.413631,True,True
684,39,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.458778,0.467578,True,True
685,39,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.454048,0.455198,True,True
686,39,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.449378,0.446278,True,True
687,39,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.444772,0.458972,True,True
688,39,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.440233,0.449033,True,True
689,39,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.435765,0.438065,True,True
690,39,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.431374,0.440174,True,True
691,39,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.427063,0.428213,True,True
692,39,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.422835,0.419735,True,True
693,39,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.418694,0.432894,True,True
694,39,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.414645,0.423445,True,True
695,39,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.41069,0.41299,True,True
696,39,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.406834,0.415634,True,True
697,39,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.40308,0.40423,True,True
698,39,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.399431,0.396331,True,True
699,39,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.39589,0.41009,True,True
700,39,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.392461,0.401261,True,True
701,39,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.389147,0.391447,True,True
702,40,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.444772,0.444472,True,True
703,40,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.440233,0.441383,True,True
704,40,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.435765,0.435465,True,True
705,40,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.431374,0.436474,True,True
706,40,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.427063,0.435863,True,True
707,40,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.422835,0.427935,True,True
708,40,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.418694,0.418394,True,True
709,40,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.414645,0.415795,True,True
710,40,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.41069,0.41039,True,True
711,40,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.406834,0.411934,True,True
712,40,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.40308,0.41188,True,True
713,40,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.399431,0.404531,True,True
714,40,Sera,Milo,Tovan,return resource,work slows but recovers,0.006,-0.012,0.006,0.39589,0.39559,True,True
715,40,Tovan,Sera,Nia,ask for distance,trust warms,-0.011,0.014,0.006,0.392461,0.393611,True,True
716,40,Nia,Tovan,Ari,repair together,bystander learns caution,0.006,-0.012,0.006,0.389147,0.388847,True,True
717,40,Ari,Nia,Fay,share tool,work slows but recovers,0.018,-0.012,0.006,0.385951,0.391051,True,True
718,40,Fay,Ari,Milo,interrupt warning,trust warms,0.006,0.014,0.006,0.382875,0.391675,True,True
719,40,Milo,Fay,Sera,comfort after failure,bystander learns caution,0.018,-0.012,0.006,0.379923,0.385023,True,True
720,41,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.431374,0.440174,True,True
721,41,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.427063,0.416313,True,True
722,41,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.422835,0.431635,True,True
723,41,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.418694,0.432894,True,True
724,41,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.414645,0.411545,True,True
725,41,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.41069,0.42489,True,True
726,41,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.406834,0.415634,True,True
727,41,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.40308,0.39233,True,True
728,41,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.399431,0.408231,True,True
729,41,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.39589,0.41009,True,True
730,41,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.392461,0.389361,True,True
731,41,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.389147,0.403347,True,True
732,41,Sera,Milo,Tovan,return resource,debt is marked paid,0.006,0.014,0.006,0.385951,0.394751,True,True
733,41,Tovan,Sera,Nia,ask for distance,guardedness rises,-0.011,-0.012,-0.008,0.382875,0.372125,True,True
734,41,Nia,Tovan,Ari,repair together,group mood steadies,0.006,0.014,0.006,0.379923,0.388723,True,True
735,41,Ari,Nia,Fay,share tool,debt is marked paid,0.018,0.014,0.006,0.377096,0.391296,True,True
736,41,Fay,Ari,Milo,interrupt warning,guardedness rises,0.006,-0.012,-0.008,0.374399,0.371299,True,True
737,41,Milo,Fay,Sera,comfort after failure,group mood steadies,0.018,0.014,0.006,0.371832,0.386032,True,True
738,42,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.418694,0.427494,True,True
739,42,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.414645,0.406695,True,True
740,42,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.41069,0.41039,True,True
741,42,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.406834,0.421034,True,True
742,42,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.40308,0.40278,True,True
743,42,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.399431,0.404531,True,True
744,42,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.39589,0.40469,True,True
745,42,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.392461,0.384511,True,True
746,42,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.389147,0.388847,True,True
747,42,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.385951,0.400151,True,True
748,42,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.382875,0.382575,True,True
749,42,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.379923,0.385023,True,True
750,42,Sera,Milo,Tovan,return resource,trust warms,0.006,0.014,0.006,0.377096,0.385896,True,True
751,42,Tovan,Sera,Nia,ask for distance,bystander learns caution,-0.011,-0.012,0.006,0.374399,0.366449,True,True
752,42,Nia,Tovan,Ari,repair together,work slows but recovers,0.006,-0.012,0.006,0.371832,0.371532,True,True
753,42,Ari,Nia,Fay,share tool,trust warms,0.018,0.014,0.006,0.369399,0.383599,True,True
754,42,Fay,Ari,Milo,interrupt warning,bystander learns caution,0.006,-0.012,0.006,0.367101,0.366801,True,True
755,42,Milo,Fay,Sera,comfort after failure,work slows but recovers,0.018,-0.012,0.006,0.364941,0.370041,True,True
756,43,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.406834,0.403734,True,True
757,43,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.40308,0.40423,True,True
758,43,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.399431,0.408231,True,True
759,43,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.39589,0.39819,True,True
760,43,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.392461,0.401261,True,True
761,43,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.389147,0.403347,True,True
762,43,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.385951,0.382851,True,True
763,43,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.382875,0.384025,True,True
764,43,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.379923,0.388723,True,True
765,43,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.377096,0.379396,True,True
766,43,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.374399,0.383199,True,True
767,43,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.371832,0.386032,True,True
768,43,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.369399,0.366299,True,True
769,43,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.367101,0.368251,True,True
770,43,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.364941,0.373741,True,True
771,43,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.36292,0.36522,True,True
772,43,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.361041,0.369841,True,True
773,43,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.359305,0.373505,True,True
774,44,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.39589,0.39559,True,True
775,44,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.392461,0.384511,True,True
776,44,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.389147,0.397947,True,True
777,44,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.385951,0.391051,True,True
778,44,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.382875,0.382575,True,True
779,44,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.379923,0.394123,True,True
780,44,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.377096,0.376796,True,True
781,44,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.374399,0.366449,True,True
782,44,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.371832,0.380632,True,True
783,44,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.369399,0.374499,True,True
784,44,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.367101,0.366801,True,True
785,44,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.364941,0.379141,True,True
786,44,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.36292,0.36262,True,True
787,44,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.361041,0.353091,True,True
788,44,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.359305,0.368105,True,True
789,44,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.357713,0.362813,True,True
