tick,day,scene_id,agent,sound_rate_hz,movement_rate_hz,object_resonance_hz,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_consequence,flower_phase
264,17,v23-scene-d17,Vonn,1.44,1.32,2.74,16.62,0.27,0.12,0.02,1,37.589696
265,17,v23-scene-d17,Keth,1.39,1.3,2.52,17.37,0.11,0.04,0.02,1,171.20746
266,17,v23-scene-d17,Nari,1.46,1.37,2.61,17.37,0.11,0.08,0.02,1,313.065224
267,17,v23-scene-d17,Ori,1.47,1.32,2.74,17.37,0.11,0.04,0.02,1,90.622988
268,17,v23-scene-d17,Melo,1.4,1.35,2.0,17.37,0.11,0.08,0.02,1,219.730752
269,17,v23-scene-d17,Melo,1.43,1.37,2.22,17.37,0.11,0.16,0.02,1,0.788516
270,17,v23-scene-d17,Keth,1.5,1.32,2.09,17.37,0.11,0.12,0.02,1,136.50628
271,17,v23-scene-d17,Sova,1.51,1.37,2.35,18.42,0.11,0.16,0.02,1,278.594044
272,18,v23-scene-d18,Keth,1.36,1.32,2.35,17.38,0.11,0.04,0.02,1,52.001808
273,18,v23-scene-d18,Ori,1.23,1.35,2.26,17.38,0.11,0.08,0.02,0,187.239572
274,18,v23-scene-d18,Sova,1.38,1.37,2.74,18.43,0.11,0.16,0.02,1,333.197336
275,18,v23-scene-d18,Vonn,1.39,1.37,3.0,16.63,0.27,0.16,0.02,1,113.7351
276,18,v23-scene-d18,Nari,1.4,1.39,3.0,17.38,0.11,0.04,0.02,1,252.032864
277,18,v23-scene-d18,Nari,1.41,1.32,2.87,17.38,0.11,0.12,0.02,1,26.110628
278,18,v23-scene-d18,Melo,1.42,1.37,2.22,17.38,0.11,0.16,0.02,1,158.188392
279,18,v23-scene-d18,Keth,1.43,1.32,2.09,17.38,0.11,0.12,0.02,1,292.886156
280,18,v23-scene-d18,Nari,1.3,1.35,2.26,17.38,0.11,0.08,0.02,1,70.98392
281,18,v23-scene-d18,Keth,1.39,1.3,2.26,17.38,0.11,0.04,0.02,1,208.471684
282,18,v23-scene-d18,Vonn,1.46,1.37,2.09,17.38,0.11,0.16,0.02,1,347.469448
283,18,v23-scene-d18,Ori,1.47,1.39,2.48,17.38,0.11,0.04,0.02,1,130.057212
284,18,v23-scene-d18,Nari,1.48,1.37,2.87,17.38,0.11,0.08,0.02,1,271.404976
285,18,v23-scene-d18,Nari,1.43,1.35,2.65,17.38,0.11,0.08,0.02,1,45.02274
286,18,v23-scene-d18,Melo,1.5,1.32,2.09,17.38,0.11,0.12,0.02,1,176.630504
287,18,v23-scene-d18,Vonn,1.51,1.37,2.22,16.63,0.27,0.08,0.02,1,317.288268
288,19,v23-scene-d19,Melo,1.36,1.37,2.35,17.39,0.11,0.08,0.02,1,93.676032
289,19,v23-scene-d19,Keth,1.37,1.32,2.22,17.39,0.11,0.12,0.02,1,228.373796
290,19,v23-scene-d19,Vonn,1.38,1.39,2.61,16.64,0.27,0.12,0.02,1,12.51156
291,19,v23-scene-d19,Keth,1.33,1.35,2.39,17.39,0.11,0.08,0.02,1,145.509324
292,19,v23-scene-d19,Vonn,1.4,1.37,2.87,16.64,0.27,0.08,0.02,1,290.107088
293,19,v23-scene-d19,Nari,1.35,1.35,2.78,17.39,0.11,0.08,0.02,1,65.154852
294,19,v23-scene-d19,Melo,1.42,1.37,3.13,17.39,0.11,0.08,0.02,1,208.322616
295,19,v23-scene-d19,Melo,1.43,1.39,2.09,17.39,0.11,0.12,0.02,1,335.18038
296,19,v23-scene-d19,Melo,1.44,1.37,2.22,17.39,0.11,0.08,0.02,1,113.668144
297,19,v23-scene-d19,Keth,1.39,1.3,2.0,17.39,0.11,0.04,0.02,1,245.735908
298,19,v23-scene-d19,Melo,1.4,1.37,2.48,17.39,0.11,0.16,0.02,1,30.863672
299,19,v23-scene-d19,Ori,1.5,1.39,2.22,17.39,0.11,-0.09,0.08,1,167.831436
300,19,v23-scene-d19,Sova,1.48,1.37,2.87,18.44,0.11,0.16,0.02,1,311.5292
301,19,v23-scene-d19,Sova,1.43,1.35,2.65,18.44,0.11,0.08,0.02,1,85.146964
302,19,v23-scene-d19,Keth,1.5,1.37,2.74,17.39,0.11,0.08,0.02,1,225.454728
303,19,v23-scene-d19,Keth,1.51,1.25,2.87,17.39,0.11,0.16,0.02,1,0.842492
304,20,v23-scene-d20,Melo,1.36,1.37,2.09,17.4,0.15,0.16,0.02,1,130.940256
305,20,v23-scene-d20,Vonn,1.29,1.35,2.13,16.65,0.31,0.08,0.02,1,267.07802
306,20,v23-scene-d20,Melo,1.38,1.37,2.35,17.4,0.15,0.08,0.02,1,49.155784
307,20,v23-scene-d20,Sova,1.39,1.37,2.61,18.45,0.15,0.08,0.02,1,189.693548
308,20,v23-scene-d20,Ori,1.43,1.39,2.22,17.4,0.15,0.05,0.05,1,324.211312
309,20,v23-scene-d20,Keth,1.35,1.3,2.39,17.4,0.15,0.04,0.02,1,99.439076
310,20,v23-scene-d20,Ori,1.42,1.37,2.48,17.4,0.15,0.08,0.02,0,241.29684
311,20,v23-scene-d20,Keth,1.43,1.32,2.74,17.4,0.15,0.04,0.02,1,20.284604
312,20,v23-scene-d20,Vonn,1.44,1.37,2.48,17.4,0.15,0.16,0.02,1,156.652368
313,20,v23-scene-d20,Vonn,1.39,1.35,2.0,16.65,0.31,0.08,0.02,1,287.410132
314,20,v23-scene-d20,Keth,1.46,1.37,3.13,17.4,0.15,0.16,0.02,1,79.157896
315,20,v23-scene-d20,Vonn,1.47,1.37,2.35,16.65,0.31,0.16,0.02,1,208.25566
316,20,v23-scene-d20,Sova,1.48,1.39,2.35,18.45,0.15,0.12,0.02,1,346.553424
317,20,v23-scene-d20,Keth,1.43,1.35,2.26,17.4,0.15,0.08,0.02,1,120.981188
318,20,v23-scene-d20,Melo,1.5,1.32,2.74,17.4,0.15,0.04,0.02,1,264.028952
319,20,v23-scene-d20,Sova,1.51,1.37,3.0,18.45,0.15,0.08,0.02,1,46.116716
320,21,v23-scene-d21,Keth,1.36,1.37,2.74,17.41,0.11,0.16,0.02,1,178.21448
321,21,v23-scene-d21,Nari,1.31,1.35,2.91,17.41,0.11,0.08,0.02,1,316.122244
322,21,v23-scene-d21,Vonn,1.32,1.35,2.0,16.66,0.27,0.08,0.02,1,83.790008
323,21,v23-scene-d21,Keth,1.39,1.32,3.13,17.41,0.11,0.12,0.02,1,233.987772
324,21,v23-scene-d21,Keth,1.4,1.32,2.09,17.41,0.11,0.04,0.02,1,0.225536
325,21,v23-scene-d21,Keth,1.35,1.3,2.13,17.41,0.11,0.04,0.02,1,136.7033
326,21,v23-scene-d21,Ori,1.42,1.32,2.22,17.41,0.11,0.12,0.02,1,277.011064
327,21,v23-scene-d21,Keth,1.4,1.32,2.48,17.41,0.11,-0.09,0.11,1,57.038828
328,21,v23-scene-d21,Melo,1.47,1.39,2.87,17.41,0.11,-0.09,0.08,1,202.196592
329,21,v23-scene-d21,Keth,1.48,1.32,2.74,17.41,0.11,-0.09,0.11,1,336.274356
330,21,v23-scene-d21,Sova,1.46,1.37,2.09,18.46,0.11,0.08,0.02,1,107.84212
331,21,v23-scene-d21,Sova,1.47,1.37,3.13,18.46,0.11,0.16,0.02,1,256.959884
332,21,v23-scene-d21,Ori,1.34,1.35,2.91,17.41,0.11,0.08,0.02,1,29.217648
333,21,v23-scene-d21,Keth,1.52,1.32,2.09,17.41,0.11,0.05,0.05,1,159.835412
334,21,v23-scene-d21,Sova,1.5,1.37,2.61,18.46,0.11,0.16,0.02,1,304.273176
335,21,v23-scene-d21,Keth,1.51,1.32,2.35,17.41,0.11,0.04,0.02,1,77.54094
336,22,v23-scene-d22,Melo,1.39,1.39,2.74,17.42,0.11,0.05,0.05,1,219.468704
337,22,v23-scene-d22,Melo,1.37,1.37,2.87,17.42,0.11,0.08,0.02,1,357.446468
338,22,v23-scene-d22,Sova,1.38,1.37,2.87,18.47,0.11,0.08,0.02,1,135.124232
339,22,v23-scene-d22,Vonn,1.39,1.37,3.13,16.67,0.27,0.16,0.02,1,275.661996
340,22,v23-scene-d22,Ori,1.26,1.35,2.78,17.42,0.11,0.08,0.02,1,46.48976
341,22,v23-scene-d22,Ori,1.35,1.35,2.91,17.42,0.11,0.08,0.02,1,186.957524
342,22,v23-scene-d22,Melo,1.34,1.35,2.26,17.42,0.11,0.08,0.02,1,317.145288
343,22,v23-scene-d22,Keth,1.43,1.32,2.22,17.42,0.11,0.12,0.02,1,94.813052
344,22,v23-scene-d22,Melo,1.44,1.37,2.61,17.42,0.11,0.08,0.02,1,238.330816
345,22,v23-scene-d22,Nari,1.45,1.32,2.35,17.42,0.11,0.12,0.02,1,11.59858
346,22,v23-scene-d22,Sova,1.46,1.39,2.74,18.47,0.11,0.04,0.02,1,155.736344
347,22,v23-scene-d22,Melo,1.47,1.37,3.0,17.42,0.11,0.16,0.02,0,295.654108
348,22,v23-scene-d22,Sova,1.48,1.39,3.0,18.47,0.11,0.04,0.02,1,73.951872
349,22,v23-scene-d22,Ori,1.35,1.35,2.78,17.42,0.11,0.08,0.02,1,205.589636
350,22,v23-scene-d22,Melo,1.5,1.32,2.22,17.42,0.11,0.12,0.02,1,338.5574
351,22,v23-scene-d22,Keth,1.51,1.32,2.09,17.42,0.11,0.04,0.02,1,114.805164
352,23,v23-scene-d23,Melo,1.36,1.37,2.48,17.43,0.11,0.08,0.02,1,255.602928
353,23,v23-scene-d23,Ori,1.23,1.35,2.13,17.43,0.11,0.08,0.02,1,26.430692
354,23,v23-scene-d23,Melo,1.38,1.37,2.74,17.43,0.11,0.16,0.02,1,173.818456
355,23,v23-scene-d23,Sova,1.39,1.39,2.74,18.48,0.11,0.12,0.02,1,312.11622
356,23,v23-scene-d23,Nari,1.34,1.37,2.61,17.43,0.11,0.16,0.02,1,86.723984
357,23,v23-scene-d23,Vonn,1.35,1.35,2.39,17.43,0.11,0.08,0.02,1,221.361748
358,23,v23-scene-d23,Vonn,1.42,1.37,2.09,16.68,0.27,0.08,0.02,1,357.379512
359,23,v23-scene-d23,Melo,1.43,1.32,2.22,17.43,0.11,0.12,0.02,1,134.937276
360,23,v23-scene-d23,Melo,1.44,1.32,2.35,17.43,0.11,0.04,0.02,1,274.04504
361,23,v23-scene-d23,Sova,1.45,1.37,2.35,18.48,0.11,0.08,0.02,1,53.272804
362,23,v23-scene-d23,Vonn,1.46,1.37,2.61,16.68,0.27,0.08,0.02,1,193.810568
363,23,v23-scene-d23,Melo,1.47,1.32,2.74,17.43,0.11,0.12,0.02,1,331.368332
364,23,v23-scene-d23,Melo,1.48,1.37,2.87,17.43,0.11,0.08,0.02,1,112.026096
365,23,v23-scene-d23,Sova,1.49,1.32,2.87,18.48,0.11,0.12,0.02,1,248.15386
366,23,v23-scene-d23,Sova,1.5,1.37,2.09,18.48,0.11,0.16,0.02,1,18.801624
367,23,v23-scene-d23,Sova,1.51,1.37,3.13,18.48,0.11,0.16,0.02,1,167.919388
368,24,v23-scene-d24,Sova,1.36,1.37,2.09,18.49,0.11,0.08,0.02,1,291.437152
369,24,v23-scene-d24,Ori,1.23,1.35,3.04,17.44,0.11,0.08,0.02,1,76.564916
370,24,v23-scene-d24,Sova,1.38,1.37,2.35,18.49,0.11,0.08,0.02,1,209.65268
371,24,v23-scene-d24,Nari,1.39,1.37,2.22,17.44,0.11,0.16,0.02,1,345.900444
372,24,v23-scene-d24,Sova,1.4,1.37,2.61,18.49,0.11,0.08,0.02,1,127.868208
373,24,v23-scene-d24,Nari,1.35,1.35,2.39,17.44,0.11,0.08,0.02,1,261.485972
374,24,v23-scene-d24,Keth,1.45,1.32,2.74,17.44,0.11,-0.09,0.08,1,43.613736
375,24,v23-scene-d24,Sova,1.43,1.37,2.09,18.49,0.11,0.08,0.02,1,175.1815
376,24,v23-scene-d24,Melo,1.44,1.39,2.09,17.44,0.11,0.04,0.02,1,313.479264
377,24,v23-scene-d24,Ori,1.39,1.35,2.91,17.44,0.11,0.08,0.02,1,97.917028
378,24,v23-scene-d24,Ori,1.46,1.37,3.13,17.44,0.11,0.08,0.02,1,239.654792
379,24,v23-scene-d24,Melo,1.39,1.37,2.39,17.44,0.11,0.04,0.02,1,7.832556
380,24,v23-scene-d24,Melo,1.51,1.39,2.61,17.44,0.11,-0.09,0.08,1,150.42032
381,24,v23-scene-d24,Sova,1.43,1.35,2.78,18.49,0.11,0.08,0.02,1,287.198084
382,24,v23-scene-d24,Ori,1.5,1.32,2.48,17.44,0.11,0.12,0.02,1,61.665848
383,24,v23-scene-d24,Ori,1.37,1.35,2.52,17.44,0.11,0.08,0.02,1,198.333612
384,25,v23-scene-d25,Vonn,1.3,1.3,3.04,16.7,0.31,0.04,0.02,0,338.821376
385,25,v23-scene-d25,Nari,1.31,1.35,3.04,17.45,0.15,0.08,0.02,1,118.04914
386,25,v23-scene-d25,Melo,1.41,1.39,2.22,17.45,0.15,-0.09,0.11,1,249.476904
387,25,v23-scene-d25,Keth,1.42,1.32,2.09,17.45,0.15,-0.09,0.11,1,23.554668
388,25,v23-scene-d25,Melo,1.43,1.39,2.48,17.45,0.15,0.05,0.05,1,167.692432
389,25,v23-scene-d25,Nari,1.44,1.32,2.48,17.45,0.15,-0.09,0.08,1,303.200196
390,25,v23-scene-d25,Keth,1.45,1.32,2.48,17.45,0.15,0.05,0.05,1,80.87796
391,25,v23-scene-d25,Keth,1.43,1.32,2.61,17.45,0.15,0.04,0.02,1,219.475724
392,25,v23-scene-d25,Nari,1.47,1.39,2.61,17.45,0.15,-0.03,0.05,1,359.833488
393,25,v23-scene-d25,Keth,1.45,1.39,2.87,17.45,0.15,0.12,0.02,1,139.861252
394,25,v23-scene-d25,Nari,1.46,1.39,2.87,17.45,0.15,0.12,0.02,1,277.539016
395,25,v23-scene-d25,Keth,1.47,1.32,3.13,17.45,0.15,0.04,0.02,1,55.90678
396,25,v23-scene-d25,Melo,1.48,1.37,2.35,17.45,0.15,0.16,0.02,1,186.554544
397,25,v23-scene-d25,Vonn,1.43,1.3,2.91,17.45,0.15,0.04,0.02,1,327.202308
398,25,v23-scene-d25,Sova,1.5,1.32,2.74,18.5,0.15,0.04,0.02,1,104.650072
399,25,v23-scene-d25,Keth,1.51,1.32,2.48,17.45,0.15,0.12,0.02,1,239.467836
400,26,v23-scene-d26,Keth,1.36,1.32,2.61,17.46,0.11,0.12,0.02,1,15.8556
401,26,v23-scene-d26,Melo,1.31,1.35,2.91,17.46,0.11,0.08,0.02,1,156.743364
402,26,v23-scene-d26,Melo,1.38,1.37,3.13,17.46,0.11,0.08,0.02,1,298.481128
403,26,v23-scene-d26,Vonn,1.39,1.37,2.09,16.71,0.27,0.08,0.02,1,64.718892
404,26,v23-scene-d26,Sova,1.4,1.39,2.09,18.51,0.11,0.04,0.02,1,203.016656
405,26,v23-scene-d26,Keth,1.35,1.3,2.0,17.46,0.11,0.04,0.02,1,335.89442
406,26,v23-scene-d26,Keth,1.42,1.32,2.22,17.46,0.11,0.12,0.02,1,117.632184
407,26,v23-scene-d26,Vonn,1.43,1.39,2.61,16.71,0.27,0.12,0.02,1,261.769948
408,26,v23-scene-d26,Ori,1.44,1.37,2.35,17.46,0.11,0.16,0.02,1,35.967712
409,26,v23-scene-d26,Vonn,1.45,1.37,2.87,16.71,0.27,0.16,0.02,1,179.365476
410,26,v23-scene-d26,Sova,1.46,1.39,2.87,18.51,0.11,0.04,0.02,1,317.66324
411,26,v23-scene-d26,Nari,1.47,1.37,2.74,17.46,0.11,0.16,0.02,1,93.291004
412,26,v23-scene-d26,Nari,1.48,1.37,3.13,17.46,0.11,0.08,0.02,1,235.258768
413,26,v23-scene-d26,Sova,1.49,1.39,2.35,18.51,0.11,0.12,0.02,1,4.976532
414,26,v23-scene-d26,Sova,1.44,1.37,2.22,18.51,0.11,0.16,0.02,1,139.584296
415,26,v23-scene-d26,Keth,1.45,1.3,2.13,17.46,0.11,0.04,0.02,1,274.10206
