tick,day,ceremony_id,loop_id,witness_agents,ceremony_marker,spoken_formula,object_marker,ceremony_completed,ceremony_public,no_mystical_claim
0,1,v18-ceremony-d01-t00,v18-loop-001,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,0,0,1
167,14,v18-ceremony-d14-t11,v18-loop-028,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark quiet interval; we can revisit without shame.,path cord,1,1,1
168,15,v18-ceremony-d15-t00,v18-loop-029,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark return marker; we can revisit without shame.,ink ledger,0,0,1
169,15,v18-ceremony-d15-t01,v18-loop-029,Ori|Sova,ledger mark,We keep repair work needs warning; we mark return marker; we can revisit without shame.,sap hook,1,1,1
170,15,v18-ceremony-d15-t02,v18-loop-029,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark shorter turn; we can revisit without shame.,listening shell,1,1,1
171,15,v18-ceremony-d15-t03,v18-loop-029,Sova|Melo,reed knot,We keep no crowding while resting; we mark later help; we can revisit without shame.,ember bowl,1,1,1
172,15,v18-ceremony-d15-t04,v18-loop-029,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark public witness; we can revisit without shame.,path cord,1,1,1
173,15,v18-ceremony-d15-t05,v18-loop-029,Melo|Ori,ember tap,We keep fair turns before tool access; we mark quiet interval; we can revisit without shame.,tally beads,1,1,1
174,15,v18-ceremony-d15-t06,v18-loop-030,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark return marker; we can revisit without shame.,ink ledger,1,1,1
175,15,v18-ceremony-d15-t07,v18-loop-030,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark return marker; we can revisit without shame.,sap hook,0,0,1
176,15,v18-ceremony-d15-t08,v18-loop-030,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shorter turn; we can revisit without shame.,listening shell,1,1,1
177,15,v18-ceremony-d15-t09,v18-loop-030,Sova|Melo,reed knot,We keep no crowding while resting; we mark later help; we can revisit without shame.,ember bowl,1,1,1
178,15,v18-ceremony-d15-t10,v18-loop-030,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark public witness; we can revisit without shame.,path cord,1,1,1
179,15,v18-ceremony-d15-t11,v18-loop-030,Melo|Ori,ember tap,We keep fair turns before tool access; we mark quiet interval; we can revisit without shame.,tally beads,1,1,1
180,16,v18-ceremony-d16-t00,v18-loop-031,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark quiet interval; we can revisit without shame.,sap hook,0,0,1
181,16,v18-ceremony-d16-t01,v18-loop-031,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shared schedule knot; we can revisit without shame.,listening shell,1,1,1
182,16,v18-ceremony-d16-t02,v18-loop-031,Sova|Melo,reed knot,We keep no crowding while resting; we mark shorter turn; we can revisit without shame.,ember bowl,1,1,1
183,16,v18-ceremony-d16-t03,v18-loop-031,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark later help; we can revisit without shame.,path cord,1,1,1
184,16,v18-ceremony-d16-t04,v18-loop-031,Melo|Ori,ember tap,We keep fair turns before tool access; we mark public witness; we can revisit without shame.,tally beads,1,1,1
185,16,v18-ceremony-d16-t05,v18-loop-031,Nari|Vonn|Keth,rain shell,We keep sealed notes stay sealed; we mark quiet interval; we can revisit without shame.,ink ledger,1,0,1
186,16,v18-ceremony-d16-t06,v18-loop-032,Ori|Sova,ledger mark,We keep repair work needs warning; we mark quiet interval; we can revisit without shame.,sap hook,0,0,1
187,16,v18-ceremony-d16-t07,v18-loop-032,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shared schedule knot; we can revisit without shame.,listening shell,1,1,1
188,16,v18-ceremony-d16-t08,v18-loop-032,Sova|Melo,reed knot,We keep no crowding while resting; we mark shorter turn; we can revisit without shame.,ember bowl,1,1,1
189,16,v18-ceremony-d16-t09,v18-loop-032,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark later help; we can revisit without shame.,path cord,1,1,1
190,16,v18-ceremony-d16-t10,v18-loop-032,Melo|Ori|Sova,ember tap,We keep fair turns before tool access; we mark public witness; we can revisit without shame.,tally beads,1,1,1
191,16,v18-ceremony-d16-t11,v18-loop-032,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark quiet interval; we can revisit without shame.,ink ledger,1,1,1
192,17,v18-ceremony-d17-t00,v18-loop-033,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark return marker; we can revisit without shame.,listening shell,0,0,1
193,17,v18-ceremony-d17-t01,v18-loop-033,Sova|Melo,reed knot,We keep no crowding while resting; we mark shared schedule knot; we can revisit without shame.,ember bowl,1,1,1
194,17,v18-ceremony-d17-t02,v18-loop-033,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shorter turn; we can revisit without shame.,path cord,1,1,1
195,17,v18-ceremony-d17-t03,v18-loop-033,Melo|Ori|Sova,ember tap,We keep fair turns before tool access; we mark later help; we can revisit without shame.,tally beads,1,1,1
196,17,v18-ceremony-d17-t04,v18-loop-033,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark public witness; we can revisit without shame.,ink ledger,1,1,1
197,17,v18-ceremony-d17-t05,v18-loop-033,Ori|Sova,ledger mark,We keep repair work needs warning; we mark public witness; we can revisit without shame.,sap hook,1,1,1
198,17,v18-ceremony-d17-t06,v18-loop-034,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark return marker; we can revisit without shame.,listening shell,1,1,1
199,17,v18-ceremony-d17-t07,v18-loop-034,Sova|Melo,reed knot,We keep no crowding while resting; we mark shared schedule knot; we can revisit without shame.,ember bowl,1,1,1
200,17,v18-ceremony-d17-t08,v18-loop-034,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark shorter turn; we can revisit without shame.,path cord,1,1,1
201,17,v18-ceremony-d17-t09,v18-loop-034,Melo|Ori,ember tap,We keep fair turns before tool access; we mark later help; we can revisit without shame.,tally beads,1,1,1
202,17,v18-ceremony-d17-t10,v18-loop-034,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark public witness; we can revisit without shame.,ink ledger,1,1,1
203,17,v18-ceremony-d17-t11,v18-loop-034,Ori|Sova,ledger mark,We keep repair work needs warning; we mark public witness; we can revisit without shame.,sap hook,1,1,1
204,18,v18-ceremony-d18-t00,v18-loop-035,Sova|Melo,reed knot,We keep no crowding while resting; we mark return marker; we can revisit without shame.,ember bowl,0,0,1
205,18,v18-ceremony-d18-t01,v18-loop-035,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark shared schedule knot; we can revisit without shame.,path cord,1,1,1
206,18,v18-ceremony-d18-t02,v18-loop-035,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shorter turn; we can revisit without shame.,tally beads,1,1,1
207,18,v18-ceremony-d18-t03,v18-loop-035,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark later help; we can revisit without shame.,ink ledger,1,1,1
208,18,v18-ceremony-d18-t04,v18-loop-035,Ori|Sova,ledger mark,We keep repair work needs warning; we mark later help; we can revisit without shame.,sap hook,1,1,1
209,18,v18-ceremony-d18-t05,v18-loop-035,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark quiet interval; we can revisit without shame.,listening shell,1,1,1
210,18,v18-ceremony-d18-t06,v18-loop-036,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark return marker; we can revisit without shame.,ember bowl,1,1,1
211,18,v18-ceremony-d18-t07,v18-loop-036,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shared schedule knot; we can revisit without shame.,path cord,1,1,1
212,18,v18-ceremony-d18-t08,v18-loop-036,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shorter turn; we can revisit without shame.,tally beads,1,1,1
213,18,v18-ceremony-d18-t09,v18-loop-036,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark later help; we can revisit without shame.,ink ledger,1,1,1
214,18,v18-ceremony-d18-t10,v18-loop-036,Ori|Sova,ledger mark,We keep repair work needs warning; we mark later help; we can revisit without shame.,sap hook,1,1,1
215,18,v18-ceremony-d18-t11,v18-loop-036,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark quiet interval; we can revisit without shame.,listening shell,1,1,1
216,19,v18-ceremony-d19-t00,v18-loop-037,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,0,0,1
217,19,v18-ceremony-d19-t01,v18-loop-037,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shared schedule knot; we can revisit without shame.,tally beads,0,0,1
218,19,v18-ceremony-d19-t02,v18-loop-037,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shorter turn; we can revisit without shame.,ink ledger,1,1,1
219,19,v18-ceremony-d19-t03,v18-loop-037,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shorter turn; we can revisit without shame.,sap hook,1,1,1
220,19,v18-ceremony-d19-t04,v18-loop-037,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark public witness; we can revisit without shame.,listening shell,1,1,1
221,19,v18-ceremony-d19-t05,v18-loop-037,Sova|Melo,reed knot,We keep no crowding while resting; we mark quiet interval; we can revisit without shame.,ember bowl,1,1,1
222,19,v18-ceremony-d19-t06,v18-loop-038,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark return marker; we can revisit without shame.,path cord,1,0,1
223,19,v18-ceremony-d19-t07,v18-loop-038,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shared schedule knot; we can revisit without shame.,tally beads,1,1,1
224,19,v18-ceremony-d19-t08,v18-loop-038,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shorter turn; we can revisit without shame.,ink ledger,0,0,1
225,19,v18-ceremony-d19-t09,v18-loop-038,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark shorter turn; we can revisit without shame.,sap hook,1,1,1
226,19,v18-ceremony-d19-t10,v18-loop-038,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark public witness; we can revisit without shame.,listening shell,1,1,1
227,19,v18-ceremony-d19-t11,v18-loop-038,Sova|Melo,reed knot,We keep no crowding while resting; we mark quiet interval; we can revisit without shame.,ember bowl,1,1,1
228,20,v18-ceremony-d20-t00,v18-loop-039,Melo|Ori,ember tap,We keep fair turns before tool access; we mark return marker; we can revisit without shame.,tally beads,0,0,1
229,20,v18-ceremony-d20-t01,v18-loop-039,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark shared schedule knot; we can revisit without shame.,ink ledger,1,1,1
230,20,v18-ceremony-d20-t02,v18-loop-039,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark shared schedule knot; we can revisit without shame.,sap hook,1,1,1
231,20,v18-ceremony-d20-t03,v18-loop-039,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark later help; we can revisit without shame.,listening shell,1,1,1
232,20,v18-ceremony-d20-t04,v18-loop-039,Sova|Melo,reed knot,We keep no crowding while resting; we mark public witness; we can revisit without shame.,ember bowl,1,1,1
233,20,v18-ceremony-d20-t05,v18-loop-039,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark quiet interval; we can revisit without shame.,path cord,0,0,1
234,20,v18-ceremony-d20-t06,v18-loop-040,Melo|Ori,ember tap,We keep fair turns before tool access; we mark return marker; we can revisit without shame.,tally beads,1,1,1
235,20,v18-ceremony-d20-t07,v18-loop-040,Nari|Vonn|Keth,rain shell,We keep sealed notes stay sealed; we mark shared schedule knot; we can revisit without shame.,ink ledger,1,1,1
236,20,v18-ceremony-d20-t08,v18-loop-040,Ori|Sova,ledger mark,We keep repair work needs warning; we mark shared schedule knot; we can revisit without shame.,sap hook,1,1,1
237,20,v18-ceremony-d20-t09,v18-loop-040,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark later help; we can revisit without shame.,listening shell,1,1,1
238,20,v18-ceremony-d20-t10,v18-loop-040,Sova|Melo,reed knot,We keep no crowding while resting; we mark public witness; we can revisit without shame.,ember bowl,1,1,1
239,20,v18-ceremony-d20-t11,v18-loop-040,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark quiet interval; we can revisit without shame.,path cord,1,1,1
240,21,v18-ceremony-d21-t00,v18-loop-041,Nari|Vonn|Keth,rain shell,We keep sealed notes stay sealed; we mark return marker; we can revisit without shame.,ink ledger,0,0,1
241,21,v18-ceremony-d21-t01,v18-loop-041,Ori|Sova,ledger mark,We keep repair work needs warning; we mark return marker; we can revisit without shame.,sap hook,0,0,1
242,21,v18-ceremony-d21-t02,v18-loop-041,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shorter turn; we can revisit without shame.,listening shell,1,1,1
243,21,v18-ceremony-d21-t03,v18-loop-041,Sova|Melo,reed knot,We keep no crowding while resting; we mark later help; we can revisit without shame.,ember bowl,1,1,1
244,21,v18-ceremony-d21-t04,v18-loop-041,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark public witness; we can revisit without shame.,path cord,1,1,1
245,21,v18-ceremony-d21-t05,v18-loop-041,Melo|Ori|Sova,ember tap,We keep fair turns before tool access; we mark quiet interval; we can revisit without shame.,tally beads,1,1,1
246,21,v18-ceremony-d21-t06,v18-loop-042,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark return marker; we can revisit without shame.,ink ledger,1,1,1
247,21,v18-ceremony-d21-t07,v18-loop-042,Ori|Sova,ledger mark,We keep repair work needs warning; we mark return marker; we can revisit without shame.,sap hook,1,1,1
248,21,v18-ceremony-d21-t08,v18-loop-042,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shorter turn; we can revisit without shame.,listening shell,0,0,1
249,21,v18-ceremony-d21-t09,v18-loop-042,Sova|Melo,reed knot,We keep no crowding while resting; we mark later help; we can revisit without shame.,ember bowl,1,1,1
250,21,v18-ceremony-d21-t10,v18-loop-042,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark public witness; we can revisit without shame.,path cord,1,1,1
251,21,v18-ceremony-d21-t11,v18-loop-042,Melo|Ori,ember tap,We keep fair turns before tool access; we mark quiet interval; we can revisit without shame.,tally beads,1,1,1
252,22,v18-ceremony-d22-t00,v18-loop-043,Ori|Sova,ledger mark,We keep repair work needs warning; we mark quiet interval; we can revisit without shame.,sap hook,0,0,1
253,22,v18-ceremony-d22-t01,v18-loop-043,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shared schedule knot; we can revisit without shame.,listening shell,1,1,1
254,22,v18-ceremony-d22-t02,v18-loop-043,Sova|Melo,reed knot,We keep no crowding while resting; we mark shorter turn; we can revisit without shame.,ember bowl,1,1,1
255,22,v18-ceremony-d22-t03,v18-loop-043,Keth|Nari|Vonn,chalk circle,We keep do not erase route warnings; we mark later help; we can revisit without shame.,path cord,1,1,1
256,22,v18-ceremony-d22-t04,v18-loop-043,Melo|Ori,ember tap,We keep fair turns before tool access; we mark public witness; we can revisit without shame.,tally beads,1,1,1
257,22,v18-ceremony-d22-t05,v18-loop-043,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark quiet interval; we can revisit without shame.,ink ledger,1,1,1
258,22,v18-ceremony-d22-t06,v18-loop-044,Ori|Sova,ledger mark,We keep repair work needs warning; we mark quiet interval; we can revisit without shame.,sap hook,1,1,1
259,22,v18-ceremony-d22-t07,v18-loop-044,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark shared schedule knot; we can revisit without shame.,listening shell,1,0,1
260,22,v18-ceremony-d22-t08,v18-loop-044,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark shorter turn; we can revisit without shame.,ember bowl,1,1,1
261,22,v18-ceremony-d22-t09,v18-loop-044,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark later help; we can revisit without shame.,path cord,1,1,1
262,22,v18-ceremony-d22-t10,v18-loop-044,Melo|Ori,ember tap,We keep fair turns before tool access; we mark public witness; we can revisit without shame.,tally beads,0,0,1
263,22,v18-ceremony-d22-t11,v18-loop-044,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark quiet interval; we can revisit without shame.,ink ledger,1,1,1
264,23,v18-ceremony-d23-t00,v18-loop-045,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark return marker; we can revisit without shame.,listening shell,0,0,1
265,23,v18-ceremony-d23-t01,v18-loop-045,Sova|Melo|Ori,reed knot,We keep no crowding while resting; we mark shared schedule knot; we can revisit without shame.,ember bowl,1,1,1
266,23,v18-ceremony-d23-t02,v18-loop-045,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shorter turn; we can revisit without shame.,path cord,1,1,1
267,23,v18-ceremony-d23-t03,v18-loop-045,Melo|Ori,ember tap,We keep fair turns before tool access; we mark later help; we can revisit without shame.,tally beads,1,1,1
268,23,v18-ceremony-d23-t04,v18-loop-045,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark public witness; we can revisit without shame.,ink ledger,1,1,1
269,23,v18-ceremony-d23-t05,v18-loop-045,Ori|Sova,ledger mark,We keep repair work needs warning; we mark public witness; we can revisit without shame.,sap hook,1,1,1
270,23,v18-ceremony-d23-t06,v18-loop-046,Vonn|Keth|Nari,sap thread,We keep quiet recovery needs distance; we mark return marker; we can revisit without shame.,listening shell,1,1,1
271,23,v18-ceremony-d23-t07,v18-loop-046,Sova|Melo,reed knot,We keep no crowding while resting; we mark shared schedule knot; we can revisit without shame.,ember bowl,1,1,1
272,23,v18-ceremony-d23-t08,v18-loop-046,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shorter turn; we can revisit without shame.,path cord,1,1,1
273,23,v18-ceremony-d23-t09,v18-loop-046,Melo|Ori,ember tap,We keep fair turns before tool access; we mark later help; we can revisit without shame.,tally beads,1,1,1
274,23,v18-ceremony-d23-t10,v18-loop-046,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark public witness; we can revisit without shame.,ink ledger,1,1,1
275,23,v18-ceremony-d23-t11,v18-loop-046,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark public witness; we can revisit without shame.,sap hook,1,1,1
276,24,v18-ceremony-d24-t00,v18-loop-047,Sova|Melo,reed knot,We keep no crowding while resting; we mark return marker; we can revisit without shame.,ember bowl,0,0,1
277,24,v18-ceremony-d24-t01,v18-loop-047,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shared schedule knot; we can revisit without shame.,path cord,1,1,1
278,24,v18-ceremony-d24-t02,v18-loop-047,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shorter turn; we can revisit without shame.,tally beads,1,1,1
279,24,v18-ceremony-d24-t03,v18-loop-047,Nari|Vonn,rain shell,We keep sealed notes stay sealed; we mark later help; we can revisit without shame.,ink ledger,0,0,1
280,24,v18-ceremony-d24-t04,v18-loop-047,Ori|Sova|Melo,ledger mark,We keep repair work needs warning; we mark later help; we can revisit without shame.,sap hook,1,1,1
281,24,v18-ceremony-d24-t05,v18-loop-047,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark quiet interval; we can revisit without shame.,listening shell,1,1,1
282,24,v18-ceremony-d24-t06,v18-loop-048,Sova|Melo,reed knot,We keep no crowding while resting; we mark return marker; we can revisit without shame.,ember bowl,1,1,1
283,24,v18-ceremony-d24-t07,v18-loop-048,Keth|Nari,chalk circle,We keep do not erase route warnings; we mark shared schedule knot; we can revisit without shame.,path cord,1,1,1
284,24,v18-ceremony-d24-t08,v18-loop-048,Melo|Ori,ember tap,We keep fair turns before tool access; we mark shorter turn; we can revisit without shame.,tally beads,1,1,1
285,24,v18-ceremony-d24-t09,v18-loop-048,Nari|Vonn|Keth,rain shell,We keep sealed notes stay sealed; we mark later help; we can revisit without shame.,ink ledger,1,1,1
286,24,v18-ceremony-d24-t10,v18-loop-048,Ori|Sova,ledger mark,We keep repair work needs warning; we mark later help; we can revisit without shame.,sap hook,1,1,1
287,24,v18-ceremony-d24-t11,v18-loop-048,Vonn|Keth,sap thread,We keep quiet recovery needs distance; we mark quiet interval; we can revisit without shame.,listening shell,1,1,1
