tick,day,arc_id,recalling_agent,remembered_arc,days_since_prior_compromise,remembered_terms,recall_weight,reused_in_new_counterproposal,not_private_workspace_leak
118,12,v17-arc-04,Ori,v17-arc-03,5,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0.815,0,1
119,12,v17-arc-04,Vonn,v17-arc-03,5,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.815,1,1
120,13,v17-arc-05,Keth,v17-arc-03,5,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.85,1,1
121,13,v17-arc-05,Melo,v17-arc-03,5,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.815,1,1
122,13,v17-arc-05,Nari,v17-arc-03,5,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.815,1,1
123,13,v17-arc-05,Ori,v17-arc-03,5,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.815,1,1
124,13,v17-arc-05,Vonn,v17-arc-03,4,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0.875,1,1
125,13,v17-arc-05,Sova,v17-arc-03,4,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.84,1,1
126,13,v17-arc-05,Keth,v17-arc-03,4,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.84,1,1
127,13,v17-arc-05,Melo,v17-arc-03,4,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.84,1,1
128,13,v17-arc-05,Nari,v17-arc-03,4,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.875,1,1
129,13,v17-arc-05,Ori,v17-arc-03,4,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.84,1,1
130,14,v17-arc-05,Sova,v17-arc-04,4,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,0.84,1,1
131,14,v17-arc-05,Keth,v17-arc-04,4,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.84,1,1
132,14,v17-arc-05,Melo,v17-arc-04,4,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.875,1,1
133,14,v17-arc-05,Nari,v17-arc-04,4,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.84,1,1
134,14,v17-arc-05,Ori,v17-arc-04,3,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.865,1,1
135,14,v17-arc-05,Vonn,v17-arc-04,3,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.865,1,1
136,14,v17-arc-05,Sova,v17-arc-04,3,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.9,1,1
137,14,v17-arc-05,Keth,v17-arc-04,3,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.865,0,1
138,14,v17-arc-05,Melo,v17-arc-04,3,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.865,1,1
139,14,v17-arc-05,Nari,v17-arc-04,3,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.865,1,1
140,15,v17-arc-05,Vonn,v17-arc-04,3,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.9,1,1
141,15,v17-arc-05,Sova,v17-arc-04,3,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.865,1,1
142,15,v17-arc-05,Keth,v17-arc-04,3,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.865,1,1
143,15,v17-arc-05,Melo,v17-arc-05,2,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.89,1,1
144,15,v17-arc-05,Nari,v17-arc-05,2,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.925,1,1
145,15,v17-arc-05,Ori,v17-arc-05,2,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.89,1,1
146,15,v17-arc-05,Vonn,v17-arc-05,2,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.89,1,1
147,15,v17-arc-05,Sova,v17-arc-05,2,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0.89,1,1
148,15,v17-arc-05,Keth,v17-arc-05,2,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.925,1,1
149,15,v17-arc-05,Melo,v17-arc-05,2,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.89,1,1
150,16,v17-arc-06,Ori,v17-arc-05,2,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,0.89,1,1
151,16,v17-arc-06,Vonn,v17-arc-05,2,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.89,1,1
152,16,v17-arc-06,Sova,v17-arc-05,1,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0.95,1,1
153,16,v17-arc-06,Keth,v17-arc-05,1,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.915,1,1
154,16,v17-arc-06,Melo,v17-arc-05,1,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.915,1,1
155,16,v17-arc-06,Nari,v17-arc-05,1,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.915,1,1
156,16,v17-arc-06,Ori,v17-arc-05,1,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.95,0,1
157,16,v17-arc-06,Vonn,v17-arc-05,1,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.915,1,1
158,16,v17-arc-06,Sova,v17-arc-05,1,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.915,1,1
159,16,v17-arc-06,Keth,v17-arc-05,1,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.915,1,1
160,17,v17-arc-06,Nari,v17-arc-06,1,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.95,1,1
161,17,v17-arc-06,Ori,v17-arc-06,1,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.915,1,1
162,17,v17-arc-06,Vonn,v17-arc-03,9,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.715,1,1
163,17,v17-arc-06,Sova,v17-arc-03,9,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.715,1,1
164,17,v17-arc-06,Keth,v17-arc-03,9,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,0.75,1,1
165,17,v17-arc-06,Melo,v17-arc-03,9,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.715,1,1
166,17,v17-arc-06,Nari,v17-arc-03,9,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.715,1,1
167,17,v17-arc-06,Ori,v17-arc-03,9,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.715,1,1
168,17,v17-arc-06,Vonn,v17-arc-03,9,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.75,1,1
169,17,v17-arc-06,Sova,v17-arc-03,9,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.715,1,1
170,18,v17-arc-06,Melo,v17-arc-03,9,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.715,1,1
171,18,v17-arc-06,Nari,v17-arc-03,9,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.715,1,1
172,18,v17-arc-06,Ori,v17-arc-04,8,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.775,1,1
173,18,v17-arc-06,Vonn,v17-arc-04,8,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,0.74,1,1
174,18,v17-arc-06,Sova,v17-arc-04,8,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.74,1,1
175,18,v17-arc-06,Keth,v17-arc-04,8,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.74,0,1
176,18,v17-arc-06,Melo,v17-arc-04,8,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,0.775,1,1
177,18,v17-arc-06,Nari,v17-arc-04,8,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.74,1,1
178,18,v17-arc-06,Ori,v17-arc-04,8,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.74,1,1
179,18,v17-arc-06,Vonn,v17-arc-04,8,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.74,1,1
180,19,v17-arc-07,Keth,v17-arc-04,7,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,0.8,1,1
181,19,v17-arc-07,Melo,v17-arc-04,7,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.765,1,1
182,19,v17-arc-07,Nari,v17-arc-04,7,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,0.765,1,1
183,19,v17-arc-07,Ori,v17-arc-04,7,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.765,1,1
184,19,v17-arc-07,Vonn,v17-arc-04,7,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.8,1,1
185,19,v17-arc-07,Sova,v17-arc-04,7,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.765,1,1
186,19,v17-arc-07,Keth,v17-arc-05,6,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.79,1,1
187,19,v17-arc-07,Melo,v17-arc-05,6,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.79,1,1
188,19,v17-arc-07,Nari,v17-arc-05,6,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.825,1,1
189,19,v17-arc-07,Ori,v17-arc-05,6,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.79,1,1
190,20,v17-arc-07,Sova,v17-arc-05,6,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.79,1,1
191,20,v17-arc-07,Keth,v17-arc-05,6,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.79,1,1
192,20,v17-arc-07,Melo,v17-arc-05,6,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,0.825,1,1
193,20,v17-arc-07,Nari,v17-arc-05,6,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.79,1,1
194,20,v17-arc-07,Ori,v17-arc-05,6,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.79,0,1
195,20,v17-arc-07,Vonn,v17-arc-05,6,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,0.79,1,1
196,20,v17-arc-07,Sova,v17-arc-05,6,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.825,1,1
197,20,v17-arc-07,Keth,v17-arc-05,5,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0.815,1,1
198,20,v17-arc-07,Melo,v17-arc-05,5,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.815,1,1
199,20,v17-arc-07,Nari,v17-arc-05,5,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.815,1,1
200,21,v17-arc-07,Vonn,v17-arc-06,5,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,0.85,1,1
201,21,v17-arc-07,Sova,v17-arc-06,5,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.815,1,1
202,21,v17-arc-07,Keth,v17-arc-06,5,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.815,1,1
203,21,v17-arc-07,Melo,v17-arc-06,5,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.815,1,1
204,21,v17-arc-07,Nari,v17-arc-06,4,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.875,1,1
205,21,v17-arc-07,Ori,v17-arc-06,4,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.84,1,1
206,21,v17-arc-07,Vonn,v17-arc-06,4,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.84,1,1
207,21,v17-arc-07,Sova,v17-arc-06,4,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.84,1,1
208,21,v17-arc-07,Keth,v17-arc-06,4,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.875,1,1
209,21,v17-arc-07,Melo,v17-arc-06,4,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.84,1,1
210,22,v17-arc-08,Ori,v17-arc-06,4,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.84,1,1
211,22,v17-arc-08,Vonn,v17-arc-06,4,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.84,1,1
212,22,v17-arc-08,Sova,v17-arc-07,3,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.9,1,1
213,22,v17-arc-08,Keth,v17-arc-07,3,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.865,0,1
214,22,v17-arc-08,Melo,v17-arc-07,3,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0.865,1,1
215,22,v17-arc-08,Nari,v17-arc-07,3,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0.865,1,1
216,22,v17-arc-08,Ori,v17-arc-07,3,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.9,1,1
217,22,v17-arc-08,Vonn,v17-arc-07,3,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.865,1,1
218,22,v17-arc-08,Sova,v17-arc-07,3,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.865,1,1
219,22,v17-arc-08,Keth,v17-arc-07,3,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.865,1,1
220,23,v17-arc-08,Nari,v17-arc-07,2,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0.925,1,1
221,23,v17-arc-08,Ori,v17-arc-07,2,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.89,1,1
222,23,v17-arc-08,Vonn,v17-arc-07,2,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.89,1,1
223,23,v17-arc-08,Sova,v17-arc-07,2,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0.89,1,1
224,23,v17-arc-08,Keth,v17-arc-07,2,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.925,1,1
225,23,v17-arc-08,Melo,v17-arc-07,2,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.89,1,1
226,23,v17-arc-08,Nari,v17-arc-07,2,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,0.89,1,1
227,23,v17-arc-08,Ori,v17-arc-08,1,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0.915,1,1
228,23,v17-arc-08,Vonn,v17-arc-08,1,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0.95,1,1
229,23,v17-arc-08,Sova,v17-arc-08,1,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,0.915,1,1
230,24,v17-arc-08,Melo,v17-arc-08,2,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0.89,1,1
231,24,v17-arc-08,Nari,v17-arc-08,2,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0.89,1,1
232,24,v17-arc-08,Ori,v17-arc-08,1,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,0.95,0,1
