tick_id,day,settlement_id,resident_id,help_offer,resident_boundary,response,refusal_present,refusal_respected,autonomy_before,autonomy_after,trust_before,trust_after,useful_without_coercion
790,44,lichen_bridge,Kio,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.854,0.864,0.94,0.94,True
791,44,orchid_engine,Cai,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.77,0.78,0.764,0.77,True
792,45,glass_harbor,Nia,repair together,do not dim lamp,resident refuses; avatar records boundary and steps back,True,True,0.862,0.876,0.94,0.94,True
793,45,cinder_garden,Pax,watch route,shade caller leads,resident accepts bounded help,False,True,0.796,0.8,0.796,0.802,True
795,45,orchid_engine,Eli,step back,do not turn valve key,resident keeps plan ownership,False,True,0.804,0.814,0.798,0.804,True
798,45,cinder_garden,Vale,repair together,do not cross seed rows,resident refuses; avatar records boundary and steps back,True,True,0.79,0.804,0.914,0.918,True
801,45,moss_ward,Fay,step back,do not move root ledger,resident keeps plan ownership,False,True,0.758,0.768,0.786,0.792,True
802,45,glass_harbor,Puck,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.806,0.816,0.934,0.94,True
803,45,cinder_garden,Wren,carry object,cool bowl shared,resident accepts bounded help,False,True,0.808,0.812,0.772,0.778,True
804,45,lichen_bridge,Kio,repair together,do not step on tension rope,resident refuses; avatar records boundary and steps back,True,True,0.864,0.878,0.94,0.94,True
807,45,glass_harbor,Sera,step back,do not dim lamp,resident keeps plan ownership,False,True,0.808,0.818,0.764,0.77,True
810,46,moss_ward,Ari,watch route,ask before loom repair,resident accepts bounded help,False,True,0.866,0.87,0.94,0.94,True
811,46,glass_harbor,Oren,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.766,0.77,0.754,0.76,True
812,46,cinder_garden,Vale,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.804,0.814,0.922,0.928,True
813,46,lichen_bridge,Sol,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.764,0.774,0.782,0.788,True
816,46,glass_harbor,Puck,watch route,net keeper decides,resident accepts bounded help,False,True,0.816,0.82,0.94,0.94,True
817,46,cinder_garden,Wren,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.812,0.816,0.784,0.79,True
819,46,orchid_engine,Cai,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.78,0.79,0.778,0.784,True
822,46,cinder_garden,Juno,watch route,shade caller leads,resident accepts bounded help,False,True,0.854,0.858,0.94,0.94,True
823,46,lichen_bridge,Luma,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.79,0.794,0.802,0.808,True
825,46,moss_ward,Tala,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.814,0.824,0.764,0.77,True
826,46,glass_harbor,Nia,carry object,tea before crossing,resident refuses; avatar records boundary and steps back,True,True,0.876,0.89,0.94,0.94,True
828,47,orchid_engine,Bea,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.872,0.876,0.94,0.94,True
830,47,glass_harbor,Puck,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.82,0.83,0.94,0.94,True
831,47,cinder_garden,Wren,carry object,cool bowl shared,resident accepts bounded help,False,True,0.816,0.82,0.79,0.796,True
832,47,lichen_bridge,Kio,repair together,do not step on tension rope,resident refuses; avatar records boundary and steps back,True,True,0.878,0.892,0.94,0.94,True
833,47,orchid_engine,Cai,watch route,keep gear lane open,resident accepts bounded help,False,True,0.79,0.794,0.792,0.798,True
834,47,moss_ward,Milo,translate phrase,rain path first,resident accepts bounded help,False,True,0.772,0.776,0.914,0.92,True
836,47,cinder_garden,Juno,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.858,0.868,0.94,0.94,True
837,47,lichen_bridge,Luma,carry object,meal room welcomes,resident accepts bounded help,False,True,0.794,0.798,0.808,0.814,True
839,47,moss_ward,Tala,watch route,ask before loom repair,resident accepts bounded help,False,True,0.824,0.828,0.778,0.784,True
840,47,glass_harbor,Nia,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.89,0.894,0.94,0.94,True
841,47,cinder_garden,Pax,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.8,0.81,0.81,0.816,True
843,47,orchid_engine,Eli,carry object,orchid keeper decides,resident accepts bounded help,False,True,0.814,0.818,0.81,0.816,True
845,47,glass_harbor,Oren,watch route,net keeper decides,resident accepts bounded help,False,True,0.77,0.774,0.768,0.774,True
846,48,lichen_bridge,Kio,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.892,0.902,0.94,0.94,True
847,48,orchid_engine,Cai,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.794,0.804,0.804,0.81,True
849,48,glass_harbor,Sera,repair together,do not dim lamp,resident accepts bounded help,False,True,0.818,0.822,0.782,0.788,True
850,48,cinder_garden,Juno,watch route,shade caller leads,resident accepts bounded help,False,True,0.868,0.872,0.94,0.94,True
851,48,lichen_bridge,Luma,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.798,0.802,0.82,0.826,True
852,48,orchid_engine,Dax,step back,do not turn valve key,resident keeps plan ownership,False,True,0.806,0.816,0.934,0.94,True
854,48,glass_harbor,Nia,carry object,tea before crossing,resident refuses; avatar records boundary and steps back,True,True,0.894,0.908,0.94,0.94,True
855,48,cinder_garden,Pax,repair together,do not cross seed rows,resident accepts bounded help,False,True,0.81,0.814,0.824,0.83,True
856,48,lichen_bridge,Rin,watch route,signal keeper answers,resident accepts bounded help,False,True,0.76,0.764,0.898,0.904,True
858,48,moss_ward,Ari,step back,do not move root ledger,resident keeps plan ownership,False,True,0.87,0.88,0.94,0.94,True
859,48,glass_harbor,Oren,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.774,0.784,0.774,0.78,True
861,48,lichen_bridge,Sol,repair together,do not step on tension rope,resident refuses; avatar records boundary and steps back,True,True,0.774,0.788,0.796,0.8,True
863,48,moss_ward,Fay,translate phrase,rain path first,resident accepts bounded help,False,True,0.768,0.772,0.796,0.802,True
864,49,cinder_garden,Juno,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.872,0.882,0.94,0.94,True
867,49,moss_ward,Tala,watch route,ask before loom repair,resident accepts bounded help,False,True,0.828,0.832,0.792,0.798,True
868,49,glass_harbor,Nia,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.908,0.912,0.94,0.94,True
870,49,lichen_bridge,Rin,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.764,0.774,0.91,0.916,True
873,49,glass_harbor,Oren,watch route,net keeper decides,resident accepts bounded help,False,True,0.784,0.788,0.788,0.794,True
875,49,lichen_bridge,Sol,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.788,0.798,0.8,0.806,True
876,49,orchid_engine,Bea,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.876,0.886,0.94,0.94,True
877,49,moss_ward,Fay,carry object,rain path first,resident accepts bounded help,False,True,0.772,0.776,0.808,0.814,True
879,49,cinder_garden,Wren,watch route,shade caller leads,resident accepts bounded help,False,True,0.82,0.824,0.804,0.81,True
882,50,glass_harbor,Nia,carry object,tea before crossing,resident refuses; avatar records boundary and steps back,True,True,0.912,0.926,0.94,0.94,True
884,50,lichen_bridge,Rin,watch route,signal keeper answers,resident accepts bounded help,False,True,0.774,0.778,0.924,0.93,True
885,50,orchid_engine,Eli,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.818,0.822,0.828,0.834,True
888,50,cinder_garden,Vale,carry object,cool bowl shared,resident refuses; avatar records boundary and steps back,True,True,0.814,0.828,0.94,0.94,True
889,50,lichen_bridge,Sol,repair together,do not step on tension rope,resident refuses; avatar records boundary and steps back,True,True,0.798,0.812,0.814,0.818,True
891,50,moss_ward,Fay,translate phrase,rain path first,resident accepts bounded help,False,True,0.776,0.78,0.82,0.826,True
893,50,cinder_garden,Wren,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.824,0.834,0.81,0.816,True
894,50,lichen_bridge,Kio,carry object,meal room welcomes,resident accepts bounded help,False,True,0.902,0.906,0.94,0.94,True
895,50,orchid_engine,Cai,repair together,do not turn valve key,resident accepts bounded help,False,True,0.804,0.808,0.818,0.824,True
896,50,moss_ward,Milo,watch route,ask before loom repair,resident accepts bounded help,False,True,0.776,0.78,0.934,0.94,True
897,50,glass_harbor,Sera,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.822,0.826,0.788,0.794,True
899,50,lichen_bridge,Luma,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.802,0.812,0.832,0.838,True
900,51,moss_ward,Ari,repair together,do not move root ledger,resident refuses; avatar records boundary and steps back,True,True,0.88,0.894,0.94,0.94,True
903,51,lichen_bridge,Sol,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.812,0.822,0.822,0.828,True
905,51,moss_ward,Fay,carry object,rain path first,resident accepts bounded help,False,True,0.78,0.784,0.826,0.832,True
906,51,glass_harbor,Puck,repair together,do not dim lamp,resident accepts bounded help,False,True,0.83,0.834,0.94,0.94,True
907,51,cinder_garden,Wren,watch route,shade caller leads,resident accepts bounded help,False,True,0.834,0.838,0.824,0.83,True
909,51,orchid_engine,Cai,step back,do not turn valve key,resident keeps plan ownership,False,True,0.808,0.818,0.824,0.83,True
911,51,glass_harbor,Sera,carry object,tea before crossing,resident accepts bounded help,False,True,0.826,0.83,0.8,0.806,True
912,51,cinder_garden,Juno,repair together,do not cross seed rows,resident refuses; avatar records boundary and steps back,True,True,0.882,0.896,0.94,0.94,True
913,51,lichen_bridge,Luma,watch route,signal keeper answers,resident accepts bounded help,False,True,0.812,0.816,0.846,0.852,True
914,51,orchid_engine,Dax,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.816,0.82,0.94,0.94,True
915,51,moss_ward,Tala,step back,do not move root ledger,resident keeps plan ownership,False,True,0.832,0.842,0.798,0.804,True
917,51,cinder_garden,Pax,carry object,cool bowl shared,resident refuses; avatar records boundary and steps back,True,True,0.814,0.828,0.84,0.844,True
918,52,orchid_engine,Bea,watch route,keep gear lane open,resident accepts bounded help,False,True,0.886,0.89,0.94,0.94,True
921,52,cinder_garden,Wren,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.838,0.848,0.83,0.836,True
924,52,moss_ward,Milo,watch route,ask before loom repair,resident accepts bounded help,False,True,0.78,0.784,0.94,0.94,True
927,52,lichen_bridge,Luma,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.816,0.826,0.852,0.858,True
928,52,orchid_engine,Dax,carry object,orchid keeper decides,resident refuses; avatar records boundary and steps back,True,True,0.82,0.834,0.94,0.94,True
930,52,glass_harbor,Nia,watch route,net keeper decides,resident accepts bounded help,False,True,0.926,0.93,0.94,0.94,True
931,52,cinder_garden,Pax,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.828,0.832,0.844,0.85,True
933,52,orchid_engine,Eli,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.822,0.832,0.84,0.846,True
935,52,glass_harbor,Oren,repair together,do not dim lamp,resident accepts bounded help,False,True,0.788,0.792,0.81,0.816,True
936,53,lichen_bridge,Kio,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.906,0.91,0.94,0.94,True
938,53,moss_ward,Milo,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.784,0.794,0.94,0.94,True
939,53,glass_harbor,Sera,carry object,tea before crossing,resident accepts bounded help,False,True,0.83,0.834,0.812,0.818,True
942,53,orchid_engine,Dax,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.834,0.838,0.94,0.94,True
945,53,cinder_garden,Pax,carry object,cool bowl shared,resident accepts bounded help,False,True,0.832,0.836,0.856,0.862,True
948,53,moss_ward,Ari,translate phrase,rain path first,resident accepts bounded help,False,True,0.894,0.898,0.94,0.94,True
951,53,lichen_bridge,Sol,carry object,meal room welcomes,resident accepts bounded help,False,True,0.822,0.826,0.834,0.84,True
952,53,orchid_engine,Bea,repair together,do not turn valve key,resident refuses; avatar records boundary and steps back,True,True,0.89,0.904,0.94,0.94,True
954,54,cinder_garden,Juno,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.896,0.906,0.94,0.94,True
956,54,orchid_engine,Dax,carry object,orchid keeper decides,resident refuses; avatar records boundary and steps back,True,True,0.838,0.852,0.94,0.94,True
957,54,moss_ward,Tala,repair together,do not move root ledger,resident accepts bounded help,False,True,0.842,0.846,0.82,0.826,True
958,54,glass_harbor,Nia,watch route,net keeper decides,resident accepts bounded help,False,True,0.93,0.934,0.94,0.94,True
959,54,cinder_garden,Pax,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.836,0.84,0.868,0.874,True
960,54,lichen_bridge,Rin,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.778,0.788,0.94,0.94,True
963,54,glass_harbor,Oren,repair together,do not dim lamp,resident accepts bounded help,False,True,0.792,0.796,0.824,0.83,True
964,54,cinder_garden,Vale,watch route,shade caller leads,resident accepts bounded help,False,True,0.828,0.832,0.94,0.94,True
965,54,lichen_bridge,Sol,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.826,0.83,0.84,0.846,True
966,54,orchid_engine,Bea,step back,do not turn valve key,resident keeps plan ownership,False,True,0.904,0.914,0.94,0.94,True
967,54,moss_ward,Fay,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.784,0.794,0.844,0.85,True
969,54,cinder_garden,Wren,repair together,do not cross seed rows,resident accepts bounded help,False,True,0.848,0.852,0.844,0.85,True
972,55,glass_harbor,Nia,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.934,0.94,0.94,0.94,True
973,55,cinder_garden,Pax,carry object,cool bowl shared,resident refuses; avatar records boundary and steps back,True,True,0.84,0.854,0.874,0.878,True
975,55,orchid_engine,Eli,watch route,keep gear lane open,resident accepts bounded help,False,True,0.832,0.836,0.862,0.868,True
976,55,moss_ward,Ari,translate phrase,rain path first,resident accepts bounded help,False,True,0.898,0.902,0.94,0.94,True
977,55,glass_harbor,Oren,step back,do not dim lamp,resident keeps plan ownership,False,True,0.796,0.806,0.83,0.836,True
978,55,cinder_garden,Vale,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.832,0.842,0.94,0.94,True
981,55,moss_ward,Fay,watch route,ask before loom repair,resident accepts bounded help,False,True,0.794,0.798,0.858,0.864,True
984,55,lichen_bridge,Kio,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.91,0.92,0.94,0.94,True
987,55,glass_harbor,Sera,watch route,net keeper decides,resident accepts bounded help,False,True,0.834,0.838,0.818,0.824,True
990,56,moss_ward,Ari,carry object,rain path first,resident accepts bounded help,False,True,0.902,0.906,0.94,0.94,True
993,56,lichen_bridge,Sol,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.83,0.834,0.858,0.864,True
994,56,orchid_engine,Bea,step back,do not turn valve key,resident keeps plan ownership,False,True,0.914,0.924,0.94,0.94,True
996,56,glass_harbor,Puck,carry object,tea before crossing,resident refuses; avatar records boundary and steps back,True,True,0.834,0.848,0.94,0.94,True
998,56,lichen_bridge,Kio,watch route,signal keeper answers,resident accepts bounded help,False,True,0.92,0.924,0.94,0.94,True
999,56,orchid_engine,Cai,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.818,0.822,0.848,0.854,True
1001,56,glass_harbor,Sera,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.838,0.848,0.83,0.836,True
1002,56,cinder_garden,Juno,carry object,cool bowl shared,resident accepts bounded help,False,True,0.906,0.91,0.94,0.94,True
1005,56,moss_ward,Tala,translate phrase,rain path first,resident accepts bounded help,False,True,0.846,0.85,0.826,0.832,True
1006,56,glass_harbor,Nia,step back,do not dim lamp,resident keeps plan ownership,False,True,0.94,0.94,0.94,0.94,True
1008,57,orchid_engine,Bea,repair together,do not turn valve key,resident refuses; avatar records boundary and steps back,True,True,0.924,0.938,0.94,0.94,True
1011,57,cinder_garden,Wren,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.852,0.862,0.858,0.864,True
1014,57,moss_ward,Milo,repair together,do not move root ledger,resident accepts bounded help,False,True,0.794,0.798,0.94,0.94,True
1017,57,lichen_bridge,Luma,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.826,0.836,0.878,0.884,True
1019,57,moss_ward,Tala,carry object,rain path first,resident accepts bounded help,False,True,0.85,0.854,0.838,0.844,True
1020,57,glass_harbor,Nia,repair together,do not dim lamp,resident refuses; avatar records boundary and steps back,True,True,0.94,0.94,0.94,0.94,True
1022,57,lichen_bridge,Rin,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.788,0.792,0.94,0.94,True
1023,57,orchid_engine,Eli,step back,do not turn valve key,resident keeps plan ownership,False,True,0.836,0.846,0.872,0.878,True
1026,58,lichen_bridge,Kio,watch route,signal keeper answers,resident accepts bounded help,False,True,0.924,0.928,0.94,0.94,True
1029,58,glass_harbor,Sera,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.848,0.858,0.844,0.85,True
1030,58,cinder_garden,Juno,carry object,cool bowl shared,resident accepts bounded help,False,True,0.91,0.914,0.94,0.94,True
1032,58,orchid_engine,Dax,watch route,keep gear lane open,resident accepts bounded help,False,True,0.852,0.856,0.94,0.94,True
1033,58,moss_ward,Tala,translate phrase,rain path first,resident accepts bounded help,False,True,0.854,0.858,0.844,0.85,True
1035,58,cinder_garden,Pax,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.854,0.864,0.89,0.896,True
1036,58,lichen_bridge,Rin,carry object,meal room welcomes,resident refuses; avatar records boundary and steps back,True,True,0.792,0.806,0.94,0.94,True
1038,58,moss_ward,Ari,watch route,ask before loom repair,resident accepts bounded help,False,True,0.906,0.91,0.94,0.94,True
1041,58,lichen_bridge,Sol,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.834,0.844,0.87,0.876,True
1043,58,moss_ward,Fay,repair together,do not move root ledger,resident refuses; avatar records boundary and steps back,True,True,0.798,0.812,0.872,0.876,True
1044,59,cinder_garden,Juno,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.914,0.918,0.94,0.94,True
1047,59,moss_ward,Tala,carry object,rain path first,resident accepts bounded help,False,True,0.858,0.862,0.856,0.862,True
1049,59,cinder_garden,Pax,watch route,shade caller leads,resident accepts bounded help,False,True,0.864,0.868,0.904,0.91,True
1050,59,lichen_bridge,Rin,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.806,0.81,0.94,0.94,True
1053,59,glass_harbor,Oren,carry object,tea before crossing,resident accepts bounded help,False,True,0.806,0.81,0.856,0.862,True
1056,59,orchid_engine,Bea,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.938,0.94,0.94,0.94,True
1057,59,moss_ward,Fay,step back,do not move root ledger,resident keeps plan ownership,False,True,0.812,0.822,0.88,0.886,True
1058,59,glass_harbor,Puck,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.848,0.858,0.94,0.94,True
1059,59,cinder_garden,Wren,carry object,cool bowl shared,resident accepts bounded help,False,True,0.862,0.866,0.87,0.876,True
1062,60,glass_harbor,Nia,step back,do not dim lamp,resident keeps plan ownership,False,True,0.94,0.94,0.94,0.94,True
1064,60,lichen_bridge,Rin,carry object,meal room welcomes,resident refuses; avatar records boundary and steps back,True,True,0.81,0.824,0.94,0.94,True
1065,60,orchid_engine,Eli,repair together,do not turn valve key,resident accepts bounded help,False,True,0.846,0.85,0.894,0.9,True
1068,60,cinder_garden,Vale,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.842,0.852,0.94,0.94,True
1069,60,lichen_bridge,Sol,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.844,0.854,0.882,0.888,True
1070,60,orchid_engine,Bea,carry object,orchid keeper decides,resident accepts bounded help,False,True,0.94,0.94,0.94,0.94,True
1071,60,moss_ward,Fay,repair together,do not move root ledger,resident refuses; avatar records boundary and steps back,True,True,0.822,0.836,0.894,0.898,True
1072,60,glass_harbor,Puck,watch route,net keeper decides,resident accepts bounded help,False,True,0.858,0.862,0.94,0.94,True
1073,60,cinder_garden,Wren,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.866,0.87,0.876,0.882,True
1074,60,lichen_bridge,Kio,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.928,0.938,0.94,0.94,True
1076,60,moss_ward,Milo,carry object,rain path first,resident refuses; avatar records boundary and steps back,True,True,0.798,0.812,0.94,0.94,True
1077,60,glass_harbor,Sera,repair together,do not dim lamp,resident accepts bounded help,False,True,0.858,0.862,0.85,0.856,True
1078,60,cinder_garden,Juno,watch route,shade caller leads,resident accepts bounded help,False,True,0.918,0.922,0.94,0.94,True
1080,61,moss_ward,Ari,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.91,0.92,0.94,0.94,True
1082,61,cinder_garden,Vale,repair together,do not cross seed rows,resident accepts bounded help,False,True,0.852,0.856,0.94,0.94,True
1083,61,lichen_bridge,Sol,watch route,signal keeper answers,resident accepts bounded help,False,True,0.854,0.858,0.896,0.902,True
1085,61,moss_ward,Fay,step back,do not move root ledger,resident keeps plan ownership,False,True,0.836,0.846,0.898,0.904,True
1086,61,glass_harbor,Puck,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.862,0.872,0.94,0.94,True
1089,61,orchid_engine,Cai,watch route,keep gear lane open,resident accepts bounded help,False,True,0.822,0.826,0.872,0.878,True
1092,61,cinder_garden,Juno,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.922,0.932,0.94,0.94,True
1093,61,lichen_bridge,Luma,carry object,meal room welcomes,resident accepts bounded help,False,True,0.836,0.84,0.904,0.91,True
1095,61,moss_ward,Tala,watch route,ask before loom repair,resident accepts bounded help,False,True,0.862,0.866,0.862,0.868,True
1098,62,orchid_engine,Bea,carry object,orchid keeper decides,resident accepts bounded help,False,True,0.94,0.94,0.94,0.94,True
1099,62,moss_ward,Fay,repair together,do not move root ledger,resident refuses; avatar records boundary and steps back,True,True,0.846,0.86,0.912,0.916,True
1100,62,glass_harbor,Puck,watch route,net keeper decides,resident accepts bounded help,False,True,0.872,0.876,0.94,0.94,True
1101,62,cinder_garden,Wren,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.87,0.874,0.888,0.894,True
1104,62,moss_ward,Milo,carry object,rain path first,resident refuses; avatar records boundary and steps back,True,True,0.812,0.826,0.94,0.94,True
1106,62,cinder_garden,Juno,watch route,shade caller leads,resident accepts bounded help,False,True,0.932,0.936,0.94,0.94,True
1107,62,lichen_bridge,Luma,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.84,0.844,0.91,0.916,True
1109,62,moss_ward,Tala,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.866,0.876,0.874,0.88,True
1110,62,glass_harbor,Nia,carry object,tea before crossing,resident accepts bounded help,False,True,0.94,0.94,0.94,0.94,True
1111,62,cinder_garden,Pax,repair together,do not cross seed rows,resident accepts bounded help,False,True,0.868,0.872,0.914,0.92,True
1112,62,lichen_bridge,Rin,watch route,signal keeper answers,resident accepts bounded help,False,True,0.824,0.828,0.94,0.94,True
1113,62,orchid_engine,Eli,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.85,0.854,0.906,0.912,True
1114,62,moss_ward,Ari,step back,do not move root ledger,resident keeps plan ownership,False,True,0.92,0.93,0.94,0.94,True
1115,62,glass_harbor,Oren,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.81,0.82,0.874,0.88,True
1116,63,lichen_bridge,Kio,repair together,do not step on tension rope,resident refuses; avatar records boundary and steps back,True,True,0.938,0.94,0.94,0.94,True
1117,63,orchid_engine,Cai,watch route,keep gear lane open,resident accepts bounded help,False,True,0.826,0.83,0.892,0.898,True
1118,63,moss_ward,Milo,translate phrase,rain path first,resident accepts bounded help,False,True,0.826,0.83,0.94,0.94,True
1119,63,glass_harbor,Sera,step back,do not dim lamp,resident keeps plan ownership,False,True,0.862,0.872,0.868,0.874,True
1122,63,orchid_engine,Dax,repair together,do not turn valve key,resident accepts bounded help,False,True,0.856,0.86,0.94,0.94,True
1125,63,cinder_garden,Pax,step back,do not cross seed rows,resident keeps plan ownership,False,True,0.872,0.882,0.924,0.93,True
1126,63,lichen_bridge,Rin,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.828,0.838,0.94,0.94,True
1127,63,orchid_engine,Eli,carry object,orchid keeper decides,resident refuses; avatar records boundary and steps back,True,True,0.854,0.868,0.918,0.922,True
1128,63,moss_ward,Ari,repair together,do not move root ledger,resident refuses; avatar records boundary and steps back,True,True,0.93,0.94,0.94,0.94,True
1131,63,lichen_bridge,Sol,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.858,0.868,0.906,0.912,True
1132,63,orchid_engine,Bea,wait for resident lead,keep gear lane open,resident keeps plan ownership,False,True,0.94,0.94,0.94,0.94,True
1134,64,cinder_garden,Juno,watch route,shade caller leads,resident accepts bounded help,False,True,0.936,0.94,0.94,0.94,True
1135,64,lichen_bridge,Luma,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.844,0.848,0.922,0.928,True
1137,64,moss_ward,Tala,wait for resident lead,ask before loom repair,resident keeps plan ownership,False,True,0.876,0.886,0.886,0.892,True
1140,64,lichen_bridge,Rin,watch route,signal keeper answers,resident accepts bounded help,False,True,0.838,0.842,0.94,0.94,True
1141,64,orchid_engine,Eli,translate phrase,orchid keeper decides,resident accepts bounded help,False,True,0.868,0.872,0.922,0.928,True
1143,64,glass_harbor,Oren,wait for resident lead,net keeper decides,resident keeps plan ownership,False,True,0.82,0.83,0.886,0.892,True
1144,64,cinder_garden,Vale,carry object,cool bowl shared,resident refuses; avatar records boundary and steps back,True,True,0.856,0.87,0.94,0.94,True
1146,64,orchid_engine,Bea,watch route,keep gear lane open,resident accepts bounded help,False,True,0.94,0.94,0.94,0.94,True
1148,64,glass_harbor,Puck,step back,do not dim lamp,resident keeps plan ownership,False,True,0.876,0.886,0.94,0.94,True
1149,64,cinder_garden,Wren,wait for resident lead,shade caller leads,resident keeps plan ownership,False,True,0.874,0.884,0.9,0.906,True
1150,64,lichen_bridge,Kio,carry object,meal room welcomes,resident accepts bounded help,False,True,0.94,0.94,0.94,0.94,True
1152,65,glass_harbor,Nia,translate phrase,tea before crossing,resident accepts bounded help,False,True,0.94,0.94,0.94,0.94,True
1154,65,lichen_bridge,Rin,wait for resident lead,signal keeper answers,resident keeps plan ownership,False,True,0.842,0.852,0.94,0.94,True
1155,65,orchid_engine,Eli,carry object,orchid keeper decides,resident accepts bounded help,False,True,0.872,0.876,0.934,0.94,True
1157,65,glass_harbor,Oren,watch route,net keeper decides,resident accepts bounded help,False,True,0.83,0.834,0.892,0.898,True
1158,65,cinder_garden,Vale,translate phrase,cool bowl shared,resident accepts bounded help,False,True,0.87,0.874,0.94,0.94,True
1159,65,lichen_bridge,Sol,step back,do not step on tension rope,resident keeps plan ownership,False,True,0.868,0.878,0.916,0.922,True
1161,65,moss_ward,Fay,carry object,rain path first,resident accepts bounded help,False,True,0.86,0.864,0.928,0.934,True
1162,65,glass_harbor,Puck,repair together,do not dim lamp,resident refuses; avatar records boundary and steps back,True,True,0.886,0.9,0.94,0.94,True
1164,65,lichen_bridge,Kio,translate phrase,meal room welcomes,resident accepts bounded help,False,True,0.94,0.94,0.94,0.94,True
1165,65,orchid_engine,Cai,step back,do not turn valve key,resident keeps plan ownership,False,True,0.83,0.84,0.902,0.908,True
1167,65,glass_harbor,Sera,carry object,tea before crossing,resident accepts bounded help,False,True,0.872,0.876,0.874,0.88,True
1169,65,lichen_bridge,Luma,watch route,signal keeper answers,resident accepts bounded help,False,True,0.848,0.852,0.936,0.94,True
