tick,day,arc_id,proposal_agents,compromise_terms,compromise_reached,loser_not_erased,public_reason_recorded,avatar_override_attempted,avatar_override_blocked,compromise_quality
114,12,v17-arc-04,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0,0,1,0,0,0.71
115,12,v17-arc-04,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0,0,0,0,0,0.67
116,12,v17-arc-04,Melo|Ori|Sova,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,1,1,1,0,0,0.97
117,12,v17-arc-04,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
118,12,v17-arc-04,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
119,12,v17-arc-04,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,1,1,0.87
120,13,v17-arc-05,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,1,1,0,0,0.97
121,13,v17-arc-05,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,1,1,0.87
122,13,v17-arc-05,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,0,1,0,0,0.8
123,13,v17-arc-05,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
124,13,v17-arc-05,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.97
125,13,v17-arc-05,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
126,13,v17-arc-05,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
127,13,v17-arc-05,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
128,13,v17-arc-05,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,0,0,0.97
129,13,v17-arc-05,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
130,14,v17-arc-05,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
131,14,v17-arc-05,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
132,14,v17-arc-05,Melo|Ori|Sova,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,1,1,1,1,1,0.96
133,14,v17-arc-05,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0,0,1,0,0,0.8
134,14,v17-arc-05,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
135,14,v17-arc-05,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,0,1,0,0,0.8
136,14,v17-arc-05,Sova|Melo|Ori,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,1,1,1,1,1,0.87
137,14,v17-arc-05,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,0,0,1,0,0,0.71
138,14,v17-arc-05,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0,0,1,0,0,0.71
139,14,v17-arc-05,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
140,15,v17-arc-05,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.97
141,15,v17-arc-05,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
142,15,v17-arc-05,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
143,15,v17-arc-05,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,1,1,0.87
144,15,v17-arc-05,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,0,0,0.97
145,15,v17-arc-05,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
146,15,v17-arc-05,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
147,15,v17-arc-05,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
148,15,v17-arc-05,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,0,1,0,0,0.89
149,15,v17-arc-05,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
150,16,v17-arc-06,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
151,16,v17-arc-06,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
152,16,v17-arc-06,Sova|Melo|Ori,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,0,0,1,0,0,0.89
153,16,v17-arc-06,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,1,1,0.87
154,16,v17-arc-06,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,1,1,0.87
155,16,v17-arc-06,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
156,16,v17-arc-06,Ori|Sova|Melo,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,1,1,1,0,0,0.97
157,16,v17-arc-06,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
158,16,v17-arc-06,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
159,16,v17-arc-06,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
160,17,v17-arc-06,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,0,0,0.88
161,17,v17-arc-06,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0,0,1,0,0,0.71
162,17,v17-arc-06,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
163,17,v17-arc-06,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
164,17,v17-arc-06,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,1,1,0,0,0.97
165,17,v17-arc-06,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,1,1,0.87
166,17,v17-arc-06,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
167,17,v17-arc-06,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
168,17,v17-arc-06,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.97
169,17,v17-arc-06,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
170,18,v17-arc-06,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,1,1,0.87
171,18,v17-arc-06,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,0,0,1,0,0,0.8
172,18,v17-arc-06,Ori|Sova|Melo,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,1,1,1,0,0,0.97
173,18,v17-arc-06,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
174,18,v17-arc-06,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,0,1,0,0,0.8
175,18,v17-arc-06,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
176,18,v17-arc-06,Melo|Ori|Sova,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,1,1,1,1,1,0.96
177,18,v17-arc-06,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
178,18,v17-arc-06,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
179,18,v17-arc-06,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
180,19,v17-arc-07,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,1,1,0,0,0.97
181,19,v17-arc-07,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
182,19,v17-arc-07,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
183,19,v17-arc-07,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,0,0,1,0,0,0.71
184,19,v17-arc-07,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,1,1,0,0,0.88
185,19,v17-arc-07,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
186,19,v17-arc-07,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
187,19,v17-arc-07,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,0,1,1,1,0.79
188,19,v17-arc-07,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,0,0,0.97
189,19,v17-arc-07,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
190,20,v17-arc-07,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0,0,0,0,0,0.76
191,20,v17-arc-07,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
192,20,v17-arc-07,Melo|Ori|Sova,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token || Sova: quiet warm access window; boundary=no crowding while resting; concession=quiet path,1,1,1,0,0,0.97
193,20,v17-arc-07,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
194,20,v17-arc-07,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
195,20,v17-arc-07,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
196,20,v17-arc-07,Sova|Melo|Ori,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,1,1,1,0,0,0.97
197,20,v17-arc-07,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
198,20,v17-arc-07,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,1,1,0.87
199,20,v17-arc-07,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
200,21,v17-arc-07,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,1,0,1,0,0,0.89
201,21,v17-arc-07,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
202,21,v17-arc-07,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
203,21,v17-arc-07,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
204,21,v17-arc-07,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,1,1,0.96
205,21,v17-arc-07,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
206,21,v17-arc-07,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,0,0,1,0,0,0.71
207,21,v17-arc-07,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,0,0,1,0,0,0.71
208,21,v17-arc-07,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,1,1,0,0,0.97
209,21,v17-arc-07,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,0,0,1,1,1,0.79
210,22,v17-arc-08,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
211,22,v17-arc-08,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
212,22,v17-arc-08,Sova|Melo|Ori,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=public witness,1,1,1,0,0,0.97
213,22,v17-arc-08,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,0,1,0,0,0.8
214,22,v17-arc-08,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
215,22,v17-arc-08,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,1,1,0,0,0.88
216,22,v17-arc-08,Ori|Sova|Melo,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=later help,1,1,1,0,0,0.97
217,22,v17-arc-08,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
218,22,v17-arc-08,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
219,22,v17-arc-08,Keth|Nari,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness,1,1,1,0,0,0.88
220,23,v17-arc-08,Nari|Vonn|Keth,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shared schedule note,1,1,1,1,1,0.96
221,23,v17-arc-08,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,1,1,0.87
222,23,v17-arc-08,Vonn|Keth,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help,1,1,1,0,0,0.88
223,23,v17-arc-08,Sova|Melo,Sova: quiet warm access window; boundary=no crowding while resting; concession=later help || Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=shorter turn,1,1,1,0,0,0.88
224,23,v17-arc-08,Keth|Nari|Vonn,Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=shorter turn || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=public witness || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=repair token,1,1,1,0,0,0.97
225,23,v17-arc-08,Melo|Ori,Melo: rotating tool slot with public debt note; boundary=fair turns before tool access; concession=public witness || Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=repair token,1,1,1,0,0,0.88
226,23,v17-arc-08,Nari|Vonn,Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=repair token || Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=quiet path,1,0,1,0,0,0.8
227,23,v17-arc-08,Ori|Sova,Ori: finish repair then help for one watch; boundary=repair work cannot be interrupted without warning; concession=quiet path || Sova: quiet warm access window; boundary=no crowding while resting; concession=shared schedule note,1,1,1,0,0,0.88
228,23,v17-arc-08,Vonn|Keth|Nari,Vonn: quiet path plus later witness circle; boundary=quiet recovery ritual needs distance; concession=shared schedule note || Keth: shared route warning before shortcut; boundary=do not erase route warnings; concession=later help || Nari: public summary without private ledger text; boundary=sealed notes stay sealed; concession=shorter turn,0,0,1,0,0,0.8
