tick_id,day,settlement_id,resident_a,resident_b,mediator_id,role_a,role_b,contested_duty,conflict_reason,mediation_state,fairness_before,fairness_after,resentment_before,resentment_after,visible_mediation_card,bounded_conflict
692,39,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
694,39,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
696,39,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
698,39,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.012,0.004,True,True
700,39,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,loan priority conflict,deferred with visible queue,1.0,0.994,0.0,0.006,True,True
702,40,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,1.0,1.0,0.106,0.098,True,True
704,40,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,1.0,1.0,0.216,0.208,True,True
706,40,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.148,0.14,True,True
708,40,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.348,0.34,True,True
710,40,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,loan priority conflict,mediated by household role,1.0,1.0,0.206,0.198,True,True
712,40,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,1.0,1.0,0.312,0.304,True,True
714,40,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,deferred with visible queue,1.0,0.994,0.108,0.114,True,True
716,40,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,1.0,1.0,0.206,0.198,True,True
718,40,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.15,0.142,True,True
720,41,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
722,41,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
724,41,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
726,41,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.004,0.0,True,True
728,41,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,deferred with visible queue,1.0,0.994,0.006,0.012,True,True
730,41,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
732,41,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
734,41,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
736,41,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
738,42,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.218,0.21,True,True
740,42,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,loan priority conflict,mediated by household role,1.0,1.0,0.3,0.292,True,True
742,42,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,deferred with visible queue,0.994,0.988,0.134,0.14,True,True
744,42,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,1.0,1.0,0.214,0.206,True,True
746,42,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.182,0.174,True,True
748,42,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.988,0.998,0.368,0.36,True,True
750,42,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,loan priority conflict,mediated by household role,1.0,1.0,0.22,0.212,True,True
752,42,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,1.0,1.0,0.29,0.282,True,True
754,42,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.998,1.0,0.14,0.132,True,True
756,43,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,deferred with visible queue,1.0,0.994,0.012,0.018,True,True
758,43,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
760,43,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
762,43,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
764,43,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
766,43,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
768,43,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.018,0.01,True,True
770,43,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,loan priority conflict,deferred with visible queue,1.0,0.994,0.0,0.006,True,True
772,43,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
774,44,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.204,0.196,True,True
776,44,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.346,0.338,True,True
778,44,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.232,0.224,True,True
780,44,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,loan priority conflict,mediated by household role,1.0,1.0,0.28,0.272,True,True
782,44,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,1.0,1.0,0.132,0.124,True,True
784,44,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,deferred with visible queue,1.0,0.994,0.226,0.232,True,True
786,44,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.206,0.198,True,True
788,44,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.348,0.34,True,True
790,44,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,loan priority conflict,mediated by household role,0.994,1.0,0.234,0.226,True,True
792,45,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
794,45,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
796,45,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.01,0.002,True,True
798,45,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,deferred with visible queue,1.0,0.994,0.006,0.012,True,True
800,45,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
802,45,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
804,45,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
806,45,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
808,45,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.002,0.0,True,True
810,46,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,loan priority conflict,mediated by household role,1.0,1.0,0.144,0.136,True,True
812,46,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,deferred with visible queue,1.0,0.994,0.252,0.258,True,True
814,46,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.208,0.2,True,True
816,46,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.356,0.348,True,True
818,46,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.994,1.0,0.266,0.258,True,True
820,46,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,loan priority conflict,mediated by household role,1.0,1.0,0.266,0.258,True,True
822,46,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,1.0,1.0,0.146,0.138,True,True
824,46,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,1.0,1.0,0.268,0.26,True,True
826,46,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,deferred with visible queue,1.0,0.994,0.2,0.206,True,True
828,47,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
830,47,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
832,47,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
834,47,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
836,47,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
838,47,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,1.0,1.0,0.012,0.004,True,True
840,47,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,deferred with visible queue,1.0,0.994,0.0,0.006,True,True
842,47,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
844,47,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
846,48,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.288,0.28,True,True
848,48,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.994,1.0,0.246,0.238,True,True
850,48,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,loan priority conflict,mediated by household role,1.0,1.0,0.158,0.15,True,True
852,48,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,1.0,1.0,0.27,0.262,True,True
854,48,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,deferred with visible queue,1.0,0.994,0.206,0.212,True,True
856,48,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.344,0.336,True,True
858,48,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.29,0.282,True,True
860,48,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,loan priority conflict,mediated by household role,0.994,1.0,0.236,0.228,True,True
862,48,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,1.0,1.0,0.16,0.152,True,True
864,49,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
866,49,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,1.0,1.0,0.004,0.0,True,True
868,49,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,deferred with visible queue,0.994,0.988,0.006,0.012,True,True
870,49,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
872,49,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
874,49,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.988,0.998,0.0,0.0,True,True
876,49,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
878,49,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
880,49,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,loan priority conflict,mediated by household role,0.998,1.0,0.012,0.004,True,True
882,50,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,deferred with visible queue,1.0,0.994,0.232,0.238,True,True
884,50,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.332,0.324,True,True
886,50,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.292,0.284,True,True
888,50,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.994,1.0,0.244,0.236,True,True
890,50,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,loan priority conflict,mediated by household role,1.0,1.0,0.192,0.184,True,True
892,50,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,1.0,1.0,0.302,0.294,True,True
894,50,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.248,0.24,True,True
896,50,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,deferred with visible queue,1.0,0.994,0.322,0.328,True,True
898,50,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.294,0.286,True,True
900,51,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
902,51,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
904,51,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
906,51,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
908,51,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.004,0.0,True,True
910,51,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,loan priority conflict,deferred with visible queue,1.0,0.994,0.0,0.006,True,True
912,51,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
914,51,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
916,51,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
918,52,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.994,1.0,0.204,0.196,True,True
920,52,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,loan priority conflict,mediated by household role,1.0,1.0,0.324,0.316,True,True
922,52,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.26,0.252,True,True
924,52,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,deferred with visible queue,1.0,0.994,0.326,0.332,True,True
926,52,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.296,0.288,True,True
928,52,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,1.0,1.0,0.256,0.248,True,True
930,52,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,loan priority conflict,mediated by household role,0.994,1.0,0.196,0.188,True,True
932,52,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,1.0,1.0,0.326,0.318,True,True
934,52,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.262,0.254,True,True
936,53,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
938,53,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,deferred with visible queue,1.0,0.994,0.006,0.012,True,True
940,53,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
942,53,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
944,53,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
946,53,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
948,53,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
950,53,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,loan priority conflict,mediated by household role,1.0,1.0,0.012,0.004,True,True
952,53,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,deferred with visible queue,1.0,0.994,0.0,0.006,True,True
954,54,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.308,0.3,True,True
956,54,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,1.0,1.0,0.268,0.26,True,True
958,54,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,1.0,1.0,0.198,0.19,True,True
960,54,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,loan priority conflict,mediated by household role,1.0,1.0,0.358,0.35,True,True
962,54,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.294,0.286,True,True
964,54,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.326,0.318,True,True
966,54,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,deferred with visible queue,1.0,0.994,0.31,0.316,True,True
968,54,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,1.0,1.0,0.27,0.262,True,True
970,54,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,loan priority conflict,mediated by household role,1.0,1.0,0.2,0.192,True,True
972,55,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
974,55,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
976,55,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
978,55,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,1.0,1.0,0.004,0.0,True,True
980,55,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,loan priority conflict,deferred with visible queue,1.0,0.994,0.006,0.012,True,True
982,55,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
984,55,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
986,55,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
988,55,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
990,56,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,loan priority conflict,mediated by household role,1.0,1.0,0.286,0.278,True,True
992,56,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.336,0.328,True,True
994,56,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,deferred with visible queue,0.994,0.988,0.324,0.33,True,True
996,56,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,1.0,1.0,0.272,0.264,True,True
998,56,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,1.0,1.0,0.202,0.194,True,True
1000,56,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,loan priority conflict,mediated by household role,0.988,0.998,0.37,0.362,True,True
1002,56,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,1.0,1.0,0.278,0.27,True,True
1004,56,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.326,0.318,True,True
1006,56,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.998,1.0,0.34,0.332,True,True
1008,57,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,deferred with visible queue,1.0,0.994,0.012,0.018,True,True
1010,57,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
1012,57,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1014,57,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
1016,57,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1018,57,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1020,57,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,loan priority conflict,mediated by household role,1.0,1.0,0.018,0.01,True,True
1022,57,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,deferred with visible queue,1.0,0.994,0.0,0.006,True,True
1024,57,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1026,58,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,1.0,1.0,0.214,0.206,True,True
1028,58,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,1.0,1.0,0.382,0.374,True,True
1030,58,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,loan priority conflict,mediated by household role,1.0,1.0,0.28,0.272,True,True
1032,58,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.334,0.326,True,True
1034,58,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.348,0.34,True,True
1036,58,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,deferred with visible queue,1.0,0.994,0.304,0.31,True,True
1038,58,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,1.0,1.0,0.216,0.208,True,True
1040,58,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,loan priority conflict,mediated by household role,1.0,1.0,0.374,0.366,True,True
1042,58,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.994,1.0,0.282,0.274,True,True
1044,59,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
1046,59,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1048,59,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,1.0,1.0,0.01,0.002,True,True
1050,59,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,loan priority conflict,deferred with visible queue,1.0,0.994,0.006,0.012,True,True
1052,59,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1054,59,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1056,59,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.994,1.0,0.0,0.0,True,True
1058,59,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1060,59,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,loan priority conflict,mediated by household role,1.0,1.0,0.002,0.0,True,True
1062,60,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.326,0.318,True,True
1064,60,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,deferred with visible queue,1.0,0.994,0.34,0.346,True,True
1066,60,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,1.0,1.0,0.228,0.22,True,True
1068,60,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,1.0,1.0,0.366,0.358,True,True
1070,60,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,loan priority conflict,mediated by household role,0.994,1.0,0.284,0.276,True,True
1072,60,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,1.0,1.0,0.346,0.338,True,True
1074,60,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,1.0,1.0,0.318,0.31,True,True
1076,60,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,1.0,1.0,0.356,0.348,True,True
1078,60,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,deferred with visible queue,1.0,0.994,0.23,0.236,True,True
1080,61,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,loan priority conflict,mediated by household role,1.0,1.0,0.0,0.0,True,True
1082,61,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1084,61,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
1086,61,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,1.0,1.0,0.0,0.0,True,True
