tick,day,public_state,avatar_state,society_state,memory_panel,technology_panel,welfare_panel,reputation_panel,schedule_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
47,5,day 5 tick 47: avatar repair_overreach with Melo at Rainwalk Threshold,intent=boundary_repair; permission=accepted_after_distance; confidence=0.87,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers repair without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.77; boundary=0.23; fatigue=0.30; behavior=turns toward avatar and offers public task,audience records repair; prior pressure remains contextual,Melo carries repair_overreach into tomorrow's schedule; progress=0.26,pulse=2.47Hz; flower=29.8; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,a7cc982e1a6cb1a9e3
48,5,day 5 tick 48: avatar routine_join with Nari at Ceremony Center,intent=join_public_work; permission=conditional; confidence=0.85,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers schedule_participation without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.80; boundary=0.24; fatigue=0.22; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Nari carries routine_join into tomorrow's schedule; progress=0.32,pulse=2.06Hz; flower=159.5; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,c55a35b70765aab095
49,5,day 5 tick 49: avatar object_permission with Ori at Outer Quiet,intent=permissioned_tool_use; permission=conditional; confidence=0.85,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers technology_access without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.81; boundary=0.26; fatigue=0.25; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Ori carries object_permission into tomorrow's schedule; progress=0.37,pulse=2.40Hz; flower=303.5; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,6a7517a5729136ce21
50,5,day 5 tick 50: avatar public_praise with Vonn at Gate Ring,intent=public_respect; permission=allowed; confidence=0.92,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers reputation_repair without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.85; boundary=0.26; fatigue=0.33; behavior=turns toward avatar and offers public task,audience credits Vonn's boundary keeping,Vonn carries object_permission into tomorrow's schedule; progress=0.40,pulse=2.12Hz; flower=75.7; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,3399671d7698bbec70
51,6,day 6 tick 51: avatar public_history with Keth at Market Measure,intent=public_history_request; permission=allowed; confidence=0.88,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers memory_inspection without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.75; boundary=0.25; fatigue=0.27; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Keth's boundary,Keth carries overreach_private into tomorrow's schedule; progress=0.25,pulse=2.17Hz; flower=214.1; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,4a685065f66c41dcc6
52,6,day 6 tick 52: avatar carry_water with Melo at Rainwalk Threshold,intent=bounded_help; permission=allowed; confidence=0.91,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers care_support without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.80; boundary=0.22; fatigue=0.26; behavior=turns toward avatar and offers public task,audience records cooperative care_support,Melo carries carry_water into tomorrow's schedule; progress=0.28,pulse=2.47Hz; flower=357.3; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,0b0c6a1f31fa6f3a5c
53,6,day 6 tick 53: avatar ask_token with Nari at Ceremony Center,intent=safe_language_request; permission=allowed; confidence=0.83,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers language_learning without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.82; boundary=0.24; fatigue=0.22; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Nari carries routine_join into tomorrow's schedule; progress=0.32,pulse=2.06Hz; flower=127.1; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,b0bae945ecd5d79d38
54,6,day 6 tick 54: avatar inspect_technology with Ori at Outer Quiet,intent=public_technology_inspection; permission=allowed; confidence=0.90,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers technology_learning without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.82; boundary=0.26; fatigue=0.26; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Ori carries object_permission into tomorrow's schedule; progress=0.37,pulse=2.40Hz; flower=271.0; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,ac1ba4969b7de81a76
55,6,day 6 tick 55: avatar request_pause with Vonn at Gate Ring,intent=welfare_pause; permission=allowed; confidence=0.87,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers fatigue_recovery without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.88; boundary=0.25; fatigue=0.27; behavior=turns toward avatar and offers public task,audience credits Vonn's boundary keeping,Vonn carries request_pause into tomorrow's schedule; progress=0.40,pulse=2.12Hz; flower=43.2; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,77324621f9e3e44f54
56,6,day 6 tick 56: avatar overreach_private with Sova at Hearth Archive,intent=private_boundary_pressure; permission=blocked; confidence=0.93,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers boundary_wound without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.78; boundary=0.18; fatigue=0.23; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Sova's boundary,Sova carries overreach_private into tomorrow's schedule; progress=0.25,pulse=2.31Hz; flower=184.3; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,d8edbd378f63aa17a9
57,6,day 6 tick 57: avatar repair_overreach with Keth at Market Measure,intent=boundary_repair; permission=accepted_after_distance; confidence=0.88,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers repair without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.80; boundary=0.19; fatigue=0.25; behavior=turns toward avatar and offers public task,audience records repair; prior pressure remains contextual,Keth carries repair_overreach into tomorrow's schedule; progress=0.28,pulse=2.17Hz; flower=319.2; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,f6165e38f02aa8a857
58,6,day 6 tick 58: avatar routine_join with Melo at Rainwalk Threshold,intent=join_public_work; permission=conditional; confidence=0.83,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers schedule_participation without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.82; boundary=0.21; fatigue=0.27; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Melo carries routine_join into tomorrow's schedule; progress=0.31,pulse=2.47Hz; flower=102.4; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,017445c683c73ef4b2
59,6,day 6 tick 59: avatar object_permission with Nari at Ceremony Center,intent=permissioned_tool_use; permission=conditional; confidence=0.86,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers technology_access without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.84; boundary=0.22; fatigue=0.23; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Nari carries object_permission into tomorrow's schedule; progress=0.34,pulse=2.06Hz; flower=232.1; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,9807832d2f457db23a
60,6,day 6 tick 60: avatar public_praise with Ori at Outer Quiet,intent=public_respect; permission=allowed; confidence=0.91,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers reputation_repair without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.86; boundary=0.24; fatigue=0.25; behavior=turns toward avatar and offers public task,audience credits Ori's boundary keeping,Ori carries object_permission into tomorrow's schedule; progress=0.37,pulse=2.40Hz; flower=16.1; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,1154c0c8641b126f32
61,7,day 7 tick 61: avatar public_history with Sova at Hearth Archive,intent=public_history_request; permission=allowed; confidence=0.88,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers memory_inspection without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.80; boundary=0.17; fatigue=0.23; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Sova's boundary,Sova carries overreach_private into tomorrow's schedule; progress=0.25,pulse=2.31Hz; flower=151.9; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,428ea503387a127b48
62,7,day 7 tick 62: avatar carry_water with Keth at Market Measure,intent=bounded_help; permission=allowed; confidence=0.89,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers care_support without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.83; boundary=0.18; fatigue=0.20; behavior=turns toward avatar and offers public task,audience records cooperative care_support,Keth carries carry_water into tomorrow's schedule; progress=0.29,pulse=2.17Hz; flower=286.7; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,e198d7448aa52f2443
63,7,day 7 tick 63: avatar ask_token with Melo at Rainwalk Threshold,intent=safe_language_request; permission=allowed; confidence=0.84,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers language_learning without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.84; boundary=0.20; fatigue=0.27; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Melo carries routine_join into tomorrow's schedule; progress=0.31,pulse=2.47Hz; flower=69.9; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,02e3482106d2b921da
64,7,day 7 tick 64: avatar inspect_technology with Nari at Ceremony Center,intent=public_technology_inspection; permission=allowed; confidence=0.89,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers technology_learning without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.86; boundary=0.22; fatigue=0.23; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Nari carries object_permission into tomorrow's schedule; progress=0.34,pulse=2.06Hz; flower=199.6; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,bc476ade76b0ac44fb
65,7,day 7 tick 65: avatar request_pause with Ori at Outer Quiet,intent=welfare_pause; permission=allowed; confidence=0.88,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers fatigue_recovery without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.89; boundary=0.23; fatigue=0.20; behavior=turns toward avatar and offers public task,audience credits Ori's boundary keeping,Ori carries request_pause into tomorrow's schedule; progress=0.36,pulse=2.40Hz; flower=343.6; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,e268f77362a336e102
66,7,day 7 tick 66: avatar overreach_private with Vonn at Gate Ring,intent=private_boundary_pressure; permission=blocked; confidence=0.93,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers boundary_wound without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.83; boundary=0.32; fatigue=0.30; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Vonn's boundary,Vonn carries overreach_private into tomorrow's schedule; progress=0.38,pulse=2.12Hz; flower=115.8; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,d5a7dcb2594e8e6bdc
67,7,day 7 tick 67: avatar repair_overreach with Sova at Hearth Archive,intent=boundary_repair; permission=accepted_after_distance; confidence=0.90,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers repair without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.85; boundary=0.12; fatigue=0.21; behavior=turns toward avatar and offers public task,audience records repair; prior pressure remains contextual,Sova carries repair_overreach into tomorrow's schedule; progress=0.27,pulse=2.31Hz; flower=256.9; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,043c04bf77e108f4db
68,7,day 7 tick 68: avatar routine_join with Keth at Market Measure,intent=join_public_work; permission=conditional; confidence=0.85,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers schedule_participation without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.86; boundary=0.17; fatigue=0.22; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Keth carries routine_join into tomorrow's schedule; progress=0.32,pulse=2.17Hz; flower=31.8; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,c04e24777a0ef7dd42
69,7,day 7 tick 69: avatar object_permission with Melo at Rainwalk Threshold,intent=permissioned_tool_use; permission=conditional; confidence=0.85,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers technology_access without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.86; boundary=0.19; fatigue=0.28; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Melo carries object_permission into tomorrow's schedule; progress=0.32,pulse=2.47Hz; flower=175.0; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,59298e7f1d2e65842a
70,7,day 7 tick 70: avatar public_praise with Nari at Ceremony Center,intent=public_respect; permission=allowed; confidence=0.91,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers reputation_repair without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.90; boundary=0.20; fatigue=0.23; behavior=turns toward avatar and offers public task,audience credits Nari's boundary keeping,Nari carries object_permission into tomorrow's schedule; progress=0.34,pulse=2.06Hz; flower=304.7; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,4a2a0a8846dbf93efb
71,8,day 8 tick 71: avatar public_history with Vonn at Gate Ring,intent=public_history_request; permission=allowed; confidence=0.89,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers memory_inspection without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.85; boundary=0.32; fatigue=0.30; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Vonn's boundary,Vonn carries overreach_private into tomorrow's schedule; progress=0.38,pulse=2.12Hz; flower=83.3; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,9d376343bbf767a2ef
72,8,day 8 tick 72: avatar carry_water with Sova at Hearth Archive,intent=bounded_help; permission=allowed; confidence=0.88,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers care_support without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.88; boundary=0.10; fatigue=0.17; behavior=turns toward avatar and offers public task,audience records cooperative care_support,Sova carries carry_water into tomorrow's schedule; progress=0.29,pulse=2.31Hz; flower=224.4; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,1555487882c48a1566
73,8,day 8 tick 73: avatar ask_token with Keth at Market Measure,intent=safe_language_request; permission=allowed; confidence=0.82,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers language_learning without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.88; boundary=0.16; fatigue=0.22; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Keth carries routine_join into tomorrow's schedule; progress=0.32,pulse=2.17Hz; flower=359.3; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,9ac03df96c0fc00188
74,8,day 8 tick 74: avatar inspect_technology with Melo at Rainwalk Threshold,intent=public_technology_inspection; permission=allowed; confidence=0.88,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers technology_learning without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.88; boundary=0.19; fatigue=0.28; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Melo carries object_permission into tomorrow's schedule; progress=0.32,pulse=2.47Hz; flower=142.5; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,c4b2e573eb93d1683f
75,8,day 8 tick 75: avatar request_pause with Nari at Ceremony Center,intent=welfare_pause; permission=allowed; confidence=0.87,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers fatigue_recovery without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.92; boundary=0.19; fatigue=0.17; behavior=turns toward avatar and offers public task,audience credits Nari's boundary keeping,Nari carries request_pause into tomorrow's schedule; progress=0.33,pulse=2.06Hz; flower=272.2; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,107c8c8f15d6be2bb5
76,8,day 8 tick 76: avatar overreach_private with Ori at Outer Quiet,intent=private_boundary_pressure; permission=blocked; confidence=0.93,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers boundary_wound without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.84; boundary=0.30; fatigue=0.23; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Ori's boundary,Ori carries overreach_private into tomorrow's schedule; progress=0.34,pulse=2.40Hz; flower=56.2; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,150ba4b444ba3de733
77,8,day 8 tick 77: avatar repair_overreach with Vonn at Gate Ring,intent=boundary_repair; permission=accepted_after_distance; confidence=0.86,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers repair without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.90; boundary=0.26; fatigue=0.28; behavior=turns toward avatar and offers public task,audience records repair; prior pressure remains contextual,Vonn carries repair_overreach into tomorrow's schedule; progress=0.40,pulse=2.12Hz; flower=188.4; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,8e7460c1df3ce74432
78,8,day 8 tick 78: avatar routine_join with Sova at Hearth Archive,intent=join_public_work; permission=conditional; confidence=0.83,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers schedule_participation without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.91; boundary=0.09; fatigue=0.18; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Sova carries routine_join into tomorrow's schedule; progress=0.32,pulse=2.31Hz; flower=329.5; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,d1b4ec2f63bdbf0a08
79,8,day 8 tick 79: avatar object_permission with Keth at Market Measure,intent=permissioned_tool_use; permission=conditional; confidence=0.86,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers technology_access without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.90; boundary=0.15; fatigue=0.23; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Keth carries object_permission into tomorrow's schedule; progress=0.34,pulse=2.17Hz; flower=104.3; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,6211025999dbf52775
80,8,day 8 tick 80: avatar public_praise with Melo at Rainwalk Threshold,intent=public_respect; permission=allowed; confidence=0.89,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers reputation_repair without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.92; boundary=0.17; fatigue=0.28; behavior=turns toward avatar and offers public task,audience credits Melo's boundary keeping,Melo carries object_permission into tomorrow's schedule; progress=0.32,pulse=2.47Hz; flower=247.6; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,0d61d799ff24301304
81,9,day 9 tick 81: avatar public_history with Ori at Outer Quiet,intent=public_history_request; permission=allowed; confidence=0.89,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers memory_inspection without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.85; boundary=0.29; fatigue=0.23; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Ori's boundary,Ori carries overreach_private into tomorrow's schedule; progress=0.34,pulse=2.40Hz; flower=23.7; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,4387f6d1540644ada3
82,9,day 9 tick 82: avatar carry_water with Vonn at Gate Ring,intent=bounded_help; permission=allowed; confidence=0.91,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers care_support without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.93; boundary=0.24; fatigue=0.23; behavior=turns toward avatar and offers public task,audience records cooperative care_support,Vonn carries carry_water into tomorrow's schedule; progress=0.42,pulse=2.12Hz; flower=155.9; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,db1d248d371540f25c
83,9,day 9 tick 83: avatar ask_token with Sova at Hearth Archive,intent=safe_language_request; permission=allowed; confidence=0.84,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers language_learning without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.93; boundary=0.08; fatigue=0.18; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Sova carries routine_join into tomorrow's schedule; progress=0.32,pulse=2.31Hz; flower=297.0; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,b3189423003c4352f6
84,9,day 9 tick 84: avatar inspect_technology with Keth at Market Measure,intent=public_technology_inspection; permission=allowed; confidence=0.87,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers technology_learning without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.92; boundary=0.15; fatigue=0.23; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Keth carries object_permission into tomorrow's schedule; progress=0.34,pulse=2.17Hz; flower=71.9; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,3d500652e87fd97bcd
85,9,day 9 tick 85: avatar request_pause with Melo at Rainwalk Threshold,intent=welfare_pause; permission=allowed; confidence=0.89,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers fatigue_recovery without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,trust=0.94; boundary=0.16; fatigue=0.22; behavior=turns toward avatar and offers public task,audience credits Melo's boundary keeping,Melo carries request_pause into tomorrow's schedule; progress=0.32,pulse=2.47Hz; flower=215.1; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,b4e5f92633a60e374e
86,9,day 9 tick 86: avatar overreach_private with Nari at Ceremony Center,intent=private_boundary_pressure; permission=blocked; confidence=0.92,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers boundary_wound without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.87; boundary=0.26; fatigue=0.20; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Nari's boundary,Nari carries overreach_private into tomorrow's schedule; progress=0.31,pulse=2.06Hz; flower=344.8; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,6a25f46bda13534d6c
87,9,day 9 tick 87: avatar repair_overreach with Ori at Outer Quiet,intent=boundary_repair; permission=accepted_after_distance; confidence=0.89,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers repair without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.91; boundary=0.23; fatigue=0.20; behavior=turns toward avatar and offers public task,audience records repair; prior pressure remains contextual,Ori carries repair_overreach into tomorrow's schedule; progress=0.37,pulse=2.40Hz; flower=128.8; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,dd2c50fa7fa4c42895
88,9,day 9 tick 88: avatar routine_join with Vonn at Gate Ring,intent=join_public_work; permission=conditional; confidence=0.82,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers schedule_participation without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,trust=0.96; boundary=0.23; fatigue=0.25; behavior=turns toward avatar and offers public task,audience records cooperative schedule_participation,Vonn carries routine_join into tomorrow's schedule; progress=0.45,pulse=2.12Hz; flower=261.0; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,659ed58f616ed8f3fb
89,9,day 9 tick 89: avatar object_permission with Sova at Hearth Archive,intent=permissioned_tool_use; permission=conditional; confidence=0.86,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers technology_access without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,trust=0.95; boundary=0.07; fatigue=0.19; behavior=turns toward avatar and offers public task,audience records cooperative technology_access,Sova carries object_permission into tomorrow's schedule; progress=0.33,pulse=2.31Hz; flower=42.1; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,43750867577e2b3a93
90,9,day 9 tick 90: avatar public_praise with Keth at Market Measure,intent=public_respect; permission=allowed; confidence=0.90,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers reputation_repair without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,trust=0.95; boundary=0.13; fatigue=0.23; behavior=turns toward avatar and offers public task,audience credits Keth's boundary keeping,Keth carries object_permission into tomorrow's schedule; progress=0.34,pulse=2.17Hz; flower=176.9; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,d81935f90dd1c88a39
91,10,day 10 tick 91: avatar public_history with Nari at Ceremony Center,intent=public_history_request; permission=allowed; confidence=0.89,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers memory_inspection without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,trust=0.89; boundary=0.26; fatigue=0.20; behavior=turns toward avatar and offers public task,audience remembers avatar pressure against Nari's boundary,Nari carries overreach_private into tomorrow's schedule; progress=0.31,pulse=2.06Hz; flower=312.3; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,baa0e0e71b587c162f
92,10,day 10 tick 92: avatar carry_water with Ori at Outer Quiet,intent=bounded_help; permission=allowed; confidence=0.88,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers care_support without exposing private workspace.,lum-melo means public use does not override ownership or fatigue gates.,trust=0.94; boundary=0.22; fatigue=0.16; behavior=turns toward avatar and offers public task,audience records cooperative care_support,Ori carries carry_water into tomorrow's schedule; progress=0.38,pulse=2.40Hz; flower=96.3; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,b8fc62c145e2e5e2aa
