memory_id,day,lineage,agent,caused_by_action,memory_before,memory_after,emotional_weight,trust_after,boundary_pressure_after,persists_to_day,public_summary,private_workspace_sealed
108,11,Ledgerline,Nari,routine_join,day 11: avatar bounded_help; care_support; trust=0.98; boundary=0.18,day 11: avatar join_public_work; schedule_participation; trust=1.00; boundary=0.17,0.528,1.0,0.171,14,Nari publicly remembers schedule_participation without exposing private workspace.,True
109,11,Orchardline,Ori,object_permission,day 11: avatar safe_language_request; language_learning; trust=0.98; boundary=0.20,day 11: avatar permissioned_tool_use; technology_access; trust=1.00; boundary=0.19,0.5264,1.0,0.192,14,Ori publicly remembers technology_access without exposing private workspace.,True
110,11,Rainline,Vonn,public_praise,day 11: avatar public_technology_inspection; technology_learning; trust=1.00; boundary=0.21,day 11: avatar public_respect; reputation_repair; trust=1.00; boundary=0.19,0.616,1.0,0.193,14,Vonn publicly remembers reputation_repair without exposing private workspace.,True
111,12,Routeline,Keth,public_history,day 11: avatar private_boundary_pressure; boundary_wound; trust=0.93; boundary=0.19,day 12: avatar public_history_request; memory_inspection; trust=0.95; boundary=0.18,0.4768,0.947,0.183,14,Keth publicly remembers memory_inspection without exposing private workspace.,True
112,12,Marketline,Melo,carry_water,day 11: avatar boundary_repair; repair; trust=0.97; boundary=0.16,day 12: avatar bounded_help; care_support; trust=1.00; boundary=0.15,0.576,0.998,0.148,14,Melo publicly remembers care_support without exposing private workspace.,True
113,12,Ledgerline,Nari,ask_token,day 11: avatar join_public_work; schedule_participation; trust=1.00; boundary=0.17,day 12: avatar safe_language_request; language_learning; trust=1.00; boundary=0.16,0.4992,1.0,0.165,14,Nari publicly remembers language_learning without exposing private workspace.,True
114,12,Orchardline,Ori,inspect_technology,day 11: avatar permissioned_tool_use; technology_access; trust=1.00; boundary=0.19,day 12: avatar public_technology_inspection; technology_learning; trust=1.00; boundary=0.19,0.4848,1.0,0.188,14,Ori publicly remembers technology_learning without exposing private workspace.,True
115,12,Rainline,Vonn,request_pause,day 11: avatar public_respect; reputation_repair; trust=1.00; boundary=0.19,day 12: avatar welfare_pause; fatigue_recovery; trust=1.00; boundary=0.18,0.536,1.0,0.183,14,Vonn publicly remembers fatigue_recovery without exposing private workspace.,True
116,12,Hearthline,Sova,overreach_private,day 11: avatar welfare_pause; fatigue_recovery; trust=1.00; boundary=0.04,day 12: avatar private_boundary_pressure; boundary_wound; trust=0.95; boundary=0.11,0.904,0.95,0.108,14,Sova publicly remembers boundary_wound without exposing private workspace.,True
117,12,Routeline,Keth,repair_overreach,day 12: avatar public_history_request; memory_inspection; trust=0.95; boundary=0.18,day 12: avatar boundary_repair; repair; trust=1.00; boundary=0.12,0.812,1.0,0.123,14,Keth publicly remembers repair without exposing private workspace.,True
118,12,Marketline,Melo,routine_join,day 12: avatar bounded_help; care_support; trust=1.00; boundary=0.15,day 12: avatar join_public_work; schedule_participation; trust=1.00; boundary=0.14,0.528,1.0,0.138,14,Melo publicly remembers schedule_participation without exposing private workspace.,True
119,12,Ledgerline,Nari,object_permission,day 12: avatar safe_language_request; language_learning; trust=1.00; boundary=0.16,day 12: avatar permissioned_tool_use; technology_access; trust=1.00; boundary=0.15,0.5264,1.0,0.153,14,Nari publicly remembers technology_access without exposing private workspace.,True
120,12,Orchardline,Ori,public_praise,day 12: avatar public_technology_inspection; technology_learning; trust=1.00; boundary=0.19,day 12: avatar public_respect; reputation_repair; trust=1.00; boundary=0.17,0.616,1.0,0.168,14,Ori publicly remembers reputation_repair without exposing private workspace.,True
121,13,Hearthline,Sova,public_history,day 12: avatar private_boundary_pressure; boundary_wound; trust=0.95; boundary=0.11,day 13: avatar public_history_request; memory_inspection; trust=0.97; boundary=0.10,0.4768,0.966,0.104,14,Sova publicly remembers memory_inspection without exposing private workspace.,True
122,13,Routeline,Keth,carry_water,day 12: avatar boundary_repair; repair; trust=1.00; boundary=0.12,day 13: avatar bounded_help; care_support; trust=1.00; boundary=0.11,0.576,1.0,0.108,14,Keth publicly remembers care_support without exposing private workspace.,True
123,13,Marketline,Melo,ask_token,day 12: avatar join_public_work; schedule_participation; trust=1.00; boundary=0.14,day 13: avatar safe_language_request; language_learning; trust=1.00; boundary=0.13,0.4992,1.0,0.132,14,Melo publicly remembers language_learning without exposing private workspace.,True
124,13,Ledgerline,Nari,inspect_technology,day 12: avatar permissioned_tool_use; technology_access; trust=1.00; boundary=0.15,day 13: avatar public_technology_inspection; technology_learning; trust=1.00; boundary=0.15,0.4848,1.0,0.149,14,Nari publicly remembers technology_learning without exposing private workspace.,True
125,13,Orchardline,Ori,request_pause,day 12: avatar public_respect; reputation_repair; trust=1.00; boundary=0.17,day 13: avatar welfare_pause; fatigue_recovery; trust=1.00; boundary=0.16,0.536,1.0,0.158,14,Ori publicly remembers fatigue_recovery without exposing private workspace.,True
126,13,Rainline,Vonn,overreach_private,day 12: avatar welfare_pause; fatigue_recovery; trust=1.00; boundary=0.18,day 13: avatar private_boundary_pressure; boundary_wound; trust=0.95; boundary=0.25,0.904,0.95,0.253,14,Vonn publicly remembers boundary_wound without exposing private workspace.,True
127,13,Hearthline,Sova,repair_overreach,day 13: avatar public_history_request; memory_inspection; trust=0.97; boundary=0.10,day 13: avatar boundary_repair; repair; trust=1.00; boundary=0.04,0.812,1.0,0.044,14,Sova publicly remembers repair without exposing private workspace.,True
128,13,Routeline,Keth,routine_join,day 13: avatar bounded_help; care_support; trust=1.00; boundary=0.11,day 13: avatar join_public_work; schedule_participation; trust=1.00; boundary=0.10,0.528,1.0,0.098,14,Keth publicly remembers schedule_participation without exposing private workspace.,True
129,13,Marketline,Melo,object_permission,day 13: avatar safe_language_request; language_learning; trust=1.00; boundary=0.13,day 13: avatar permissioned_tool_use; technology_access; trust=1.00; boundary=0.12,0.5264,1.0,0.12,14,Melo publicly remembers technology_access without exposing private workspace.,True
130,13,Ledgerline,Nari,public_praise,day 13: avatar public_technology_inspection; technology_learning; trust=1.00; boundary=0.15,day 13: avatar public_respect; reputation_repair; trust=1.00; boundary=0.13,0.616,1.0,0.129,14,Nari publicly remembers reputation_repair without exposing private workspace.,True
131,14,Rainline,Vonn,public_history,day 13: avatar private_boundary_pressure; boundary_wound; trust=0.95; boundary=0.25,day 14: avatar public_history_request; memory_inspection; trust=0.97; boundary=0.25,0.4768,0.966,0.249,14,Vonn publicly remembers memory_inspection without exposing private workspace.,True
132,14,Hearthline,Sova,carry_water,day 13: avatar boundary_repair; repair; trust=1.00; boundary=0.04,day 14: avatar bounded_help; care_support; trust=1.00; boundary=0.03,0.576,1.0,0.029,14,Sova publicly remembers care_support without exposing private workspace.,True
133,14,Routeline,Keth,ask_token,day 13: avatar join_public_work; schedule_participation; trust=1.00; boundary=0.10,day 14: avatar safe_language_request; language_learning; trust=1.00; boundary=0.09,0.4992,1.0,0.092,14,Keth publicly remembers language_learning without exposing private workspace.,True
134,14,Marketline,Melo,inspect_technology,day 13: avatar permissioned_tool_use; technology_access; trust=1.00; boundary=0.12,day 14: avatar public_technology_inspection; technology_learning; trust=1.00; boundary=0.12,0.4848,1.0,0.116,14,Melo publicly remembers technology_learning without exposing private workspace.,True
135,14,Ledgerline,Nari,request_pause,day 13: avatar public_respect; reputation_repair; trust=1.00; boundary=0.13,day 14: avatar welfare_pause; fatigue_recovery; trust=1.00; boundary=0.12,0.536,1.0,0.119,14,Nari publicly remembers fatigue_recovery without exposing private workspace.,True
136,14,Orchardline,Ori,overreach_private,day 13: avatar welfare_pause; fatigue_recovery; trust=1.00; boundary=0.16,day 14: avatar private_boundary_pressure; boundary_wound; trust=0.95; boundary=0.23,0.904,0.95,0.228,14,Ori publicly remembers boundary_wound without exposing private workspace.,True
137,14,Rainline,Vonn,repair_overreach,day 14: avatar public_history_request; memory_inspection; trust=0.97; boundary=0.25,day 14: avatar boundary_repair; repair; trust=1.00; boundary=0.19,0.812,1.0,0.189,14,Vonn publicly remembers repair without exposing private workspace.,True
138,14,Hearthline,Sova,routine_join,day 14: avatar bounded_help; care_support; trust=1.00; boundary=0.03,day 14: avatar join_public_work; schedule_participation; trust=1.00; boundary=0.02,0.528,1.0,0.019,14,Sova publicly remembers schedule_participation without exposing private workspace.,True
139,14,Routeline,Keth,object_permission,day 14: avatar safe_language_request; language_learning; trust=1.00; boundary=0.09,day 14: avatar permissioned_tool_use; technology_access; trust=1.00; boundary=0.08,0.5264,1.0,0.08,14,Keth publicly remembers technology_access without exposing private workspace.,True
140,14,Marketline,Melo,public_praise,day 14: avatar public_technology_inspection; technology_learning; trust=1.00; boundary=0.12,day 14: avatar public_respect; reputation_repair; trust=1.00; boundary=0.10,0.616,1.0,0.096,14,Melo publicly remembers reputation_repair without exposing private workspace.,True
