tick_id,day,settlement_id,resident_id,local_phrase,candidate_meaning_a,candidate_meaning_b,confidence_before,confidence_after,misunderstanding_risk_before,misunderstanding_risk_after,repair_action,autonomous_language_claim_blocked,translation_ui_visible
624,35,glass_harbor,Nia,harbor chime Nia day-1 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.702,0.71,0.04896,0.0358,context observed without claiming fluency,True,True
625,35,cinder_garden,Pax,cinder pulse Pax day-1 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.666,0.656,0.0936,0.097,misread phrase requires warning,True,True
626,35,lichen_bridge,Rin,bridge hum Rin day-1 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.592,0.6,0.1724,0.157,context observed without claiming fluency,True,True
627,35,orchid_engine,Eli,engine ring Eli day-1 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.682,0.708,0.06368,0.0334,resident gives slower phrase and gesture,True,True
628,35,moss_ward,Ari,moss breath Ari day-1 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.684,0.674,0.07128,0.0754,misread phrase requires warning,True,True
629,35,glass_harbor,Oren,harbor chime Oren day-1 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.648,0.656,0.11232,0.0976,context observed without claiming fluency,True,True
630,36,lichen_bridge,Kio,bridge hum Kio day-2 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.656,0.682,0.10216,0.0698,resident gives slower phrase and gesture,True,True
631,36,orchid_engine,Cai,engine ring Cai day-2 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.71,0.718,0.03976,0.0268,context observed without claiming fluency,True,True
632,36,moss_ward,Milo,moss breath Milo day-2 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.492,0.482,0.2736,0.276,misread phrase requires warning,True,True
633,36,glass_harbor,Sera,harbor chime Sera day-2 pause at lamp pier,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.618,0.626,0.13392,0.1206,context observed without claiming fluency,True,True
634,36,cinder_garden,Juno,cinder pulse Juno day-2 bow to shade cloth,greeting: wait at ash path,custom warning: cool stone is shared,0.71,0.736,0.03928,0.02,resident gives slower phrase and gesture,True,True
635,36,lichen_bridge,Luma,bridge hum Luma day-2 touch rope post,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.71,0.7,0.0448,0.049,misread phrase requires warning,True,True
636,36,orchid_engine,Dax,engine ring Dax day-2 stand outside engine ring,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.618,0.626,0.13512,0.1216,context observed without claiming fluency,True,True
637,36,moss_ward,Tala,moss breath Tala day-2 stand by rain gate,greeting: show empty hands,custom warning: leave door-watch path clear,0.636,0.644,0.1236,0.109,context observed without claiming fluency,True,True
638,36,glass_harbor,Nia,harbor chime Nia day-2 pause at lamp pier,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.71,0.718,0.04048,0.0274,context observed without claiming fluency,True,True
639,36,cinder_garden,Pax,cinder pulse Pax day-2 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.656,0.682,0.10552,0.0726,resident gives slower phrase and gesture,True,True
640,36,lichen_bridge,Rin,bridge hum Rin day-2 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.6,0.626,0.16296,0.1298,resident gives slower phrase and gesture,True,True
641,36,orchid_engine,Eli,engine ring Eli day-2 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.708,0.716,0.03672,0.0246,context observed without claiming fluency,True,True
642,36,moss_ward,Ari,moss breath Ari day-2 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.674,0.664,0.08344,0.0872,misread phrase requires warning,True,True
643,36,glass_harbor,Oren,harbor chime Oren day-2 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.656,0.664,0.10312,0.0886,context observed without claiming fluency,True,True
644,36,cinder_garden,Vale,cinder pulse Vale day-2 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.708,0.734,0.03624,0.02,resident gives slower phrase and gesture,True,True
645,36,lichen_bridge,Sol,bridge hum Sol day-2 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.654,0.644,0.1092,0.112,misread phrase requires warning,True,True
646,36,orchid_engine,Bea,engine ring Bea day-2 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.656,0.664,0.10432,0.0896,context observed without claiming fluency,True,True
647,36,moss_ward,Fay,moss breath Fay day-2 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.692,0.7,0.0628,0.049,context observed without claiming fluency,True,True
648,37,cinder_garden,Juno,cinder pulse Juno day-3 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.736,0.744,0.02,0.02,context observed without claiming fluency,True,True
649,37,lichen_bridge,Luma,bridge hum Luma day-3 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.7,0.69,0.05696,0.0608,misread phrase requires warning,True,True
650,37,orchid_engine,Dax,engine ring Dax day-3 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.626,0.634,0.12592,0.1126,context observed without claiming fluency,True,True
651,37,moss_ward,Tala,moss breath Tala day-3 show empty hands,greeting: stand by rain gate,custom warning: step around blanket circle,0.644,0.67,0.11464,0.0822,resident gives slower phrase and gesture,True,True
652,37,glass_harbor,Nia,harbor chime Nia day-3 tap lantern rail,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.718,0.708,0.03464,0.0392,misread phrase requires warning,True,True
653,37,cinder_garden,Pax,cinder pulse Pax day-3 wait at ash path,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.682,0.69,0.07736,0.0628,context observed without claiming fluency,True,True
654,37,lichen_bridge,Rin,bridge hum Rin day-3 listen for signal hush,greeting: touch rope post,custom warning: ask before signal bell,0.626,0.634,0.13576,0.1208,context observed without claiming fluency,True,True
655,37,orchid_engine,Eli,engine ring Eli day-3 show palms to valve listener,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.716,0.724,0.02824,0.02,context observed without claiming fluency,True,True
656,37,moss_ward,Ari,moss breath Ari day-3 show empty hands,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.664,0.69,0.09536,0.0628,resident gives slower phrase and gesture,True,True
657,37,glass_harbor,Oren,harbor chime Oren day-3 tap lantern rail,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.664,0.69,0.09368,0.0614,resident gives slower phrase and gesture,True,True
658,37,cinder_garden,Vale,cinder pulse Vale day-3 wait at ash path,greeting: wait at ash path,custom warning: cool stone is shared,0.734,0.742,0.02,0.02,context observed without claiming fluency,True,True
659,37,lichen_bridge,Sol,bridge hum Sol day-3 listen for signal hush,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.644,0.634,0.12136,0.1238,misread phrase requires warning,True,True
660,37,orchid_engine,Bea,engine ring Bea day-3 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.664,0.672,0.09512,0.0806,context observed without claiming fluency,True,True
661,37,moss_ward,Fay,moss breath Fay day-3 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.7,0.726,0.05384,0.0222,resident gives slower phrase and gesture,True,True
662,37,glass_harbor,Puck,harbor chime Puck day-3 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.654,0.644,0.1092,0.112,misread phrase requires warning,True,True
663,37,cinder_garden,Wren,cinder pulse Wren day-3 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.474,0.482,0.29496,0.2788,context observed without claiming fluency,True,True
664,37,lichen_bridge,Kio,bridge hum Kio day-3 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.682,0.69,0.07496,0.0608,context observed without claiming fluency,True,True
665,37,orchid_engine,Cai,engine ring Cai day-3 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.718,0.726,0.03128,0.02,context observed without claiming fluency,True,True
666,38,glass_harbor,Nia,harbor chime Nia day-4 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.708,0.698,0.0468,0.051,misread phrase requires warning,True,True
667,38,cinder_garden,Pax,cinder pulse Pax day-4 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.69,0.698,0.06816,0.0538,context observed without claiming fluency,True,True
668,38,lichen_bridge,Rin,bridge hum Rin day-4 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.634,0.66,0.1268,0.094,resident gives slower phrase and gesture,True,True
669,38,orchid_engine,Eli,engine ring Eli day-4 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.724,0.714,0.0224,0.028,misread phrase requires warning,True,True
670,38,moss_ward,Ari,moss breath Ari day-4 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.69,0.698,0.0672,0.053,context observed without claiming fluency,True,True
671,38,glass_harbor,Oren,harbor chime Oren day-4 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.69,0.698,0.06648,0.0524,context observed without claiming fluency,True,True
672,38,cinder_garden,Vale,cinder pulse Vale day-4 repeat cool-hand sign,greeting: bow to shade cloth,custom warning: ask before shade pole,0.742,0.75,0.02,0.02,context observed without claiming fluency,True,True
673,38,lichen_bridge,Sol,bridge hum Sol day-4 wait for shared-bowl offer,greeting: listen for signal hush,custom warning: meal room first for strangers,0.634,0.66,0.13328,0.0994,resident gives slower phrase and gesture,True,True
674,38,orchid_engine,Bea,engine ring Bea day-4 wait for orchid-cup,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.672,0.698,0.08568,0.0534,resident gives slower phrase and gesture,True,True
675,38,moss_ward,Fay,moss breath Fay day-4 wait for warm-cup phrase,greeting: stand by rain gate,custom warning: step around blanket circle,0.726,0.734,0.02688,0.02,context observed without claiming fluency,True,True
676,38,glass_harbor,Puck,harbor chime Puck day-4 accept tea-before-crossing,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.644,0.634,0.12136,0.1238,misread phrase requires warning,True,True
677,38,cinder_garden,Wren,cinder pulse Wren day-4 repeat cool-hand sign,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.482,0.49,0.28576,0.2698,context observed without claiming fluency,True,True
678,38,lichen_bridge,Kio,bridge hum Kio day-4 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.69,0.716,0.066,0.034,resident gives slower phrase and gesture,True,True
679,38,orchid_engine,Cai,engine ring Cai day-4 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.726,0.716,0.02544,0.0302,misread phrase requires warning,True,True
680,38,moss_ward,Milo,moss breath Milo day-4 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.482,0.49,0.2848,0.269,context observed without claiming fluency,True,True
681,38,glass_harbor,Sera,harbor chime Sera day-4 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.626,0.634,0.12376,0.1108,context observed without claiming fluency,True,True
682,38,cinder_garden,Juno,cinder pulse Juno day-4 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.744,0.752,0.02,0.02,context observed without claiming fluency,True,True
683,38,lichen_bridge,Luma,bridge hum Luma day-4 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.69,0.716,0.06888,0.0364,resident gives slower phrase and gesture,True,True
684,39,moss_ward,Ari,moss breath Ari day-5 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.698,0.706,0.058,0.044,context observed without claiming fluency,True,True
685,39,glass_harbor,Oren,harbor chime Oren day-5 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.698,0.724,0.05752,0.0256,resident gives slower phrase and gesture,True,True
686,39,cinder_garden,Vale,cinder pulse Vale day-5 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.75,0.74,0.02,0.02,misread phrase requires warning,True,True
687,39,lichen_bridge,Sol,bridge hum Sol day-5 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.66,0.668,0.10512,0.0896,context observed without claiming fluency,True,True
688,39,orchid_engine,Bea,engine ring Bea day-5 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.698,0.706,0.05848,0.0444,context observed without claiming fluency,True,True
689,39,moss_ward,Fay,moss breath Fay day-5 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.734,0.742,0.02,0.02,context observed without claiming fluency,True,True
690,39,glass_harbor,Puck,harbor chime Puck day-5 pause at lamp pier,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.634,0.66,0.13328,0.0994,resident gives slower phrase and gesture,True,True
691,39,cinder_garden,Wren,cinder pulse Wren day-5 bow to shade cloth,greeting: wait at ash path,custom warning: cool stone is shared,0.49,0.516,0.27632,0.2426,resident gives slower phrase and gesture,True,True
692,39,lichen_bridge,Kio,bridge hum Kio day-5 touch rope post,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.716,0.724,0.03904,0.0252,context observed without claiming fluency,True,True
693,39,orchid_engine,Cai,engine ring Cai day-5 stand outside engine ring,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.716,0.706,0.0376,0.042,misread phrase requires warning,True,True
694,39,moss_ward,Milo,moss breath Milo day-5 stand by rain gate,greeting: show empty hands,custom warning: leave door-watch path clear,0.49,0.498,0.2756,0.26,context observed without claiming fluency,True,True
695,39,glass_harbor,Sera,harbor chime Sera day-5 pause at lamp pier,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.634,0.66,0.1148,0.084,resident gives slower phrase and gesture,True,True
696,39,cinder_garden,Juno,cinder pulse Juno day-5 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.752,0.742,0.02,0.02,misread phrase requires warning,True,True
697,39,lichen_bridge,Luma,bridge hum Luma day-5 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.716,0.724,0.04072,0.0266,context observed without claiming fluency,True,True
698,39,orchid_engine,Dax,engine ring Dax day-5 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.634,0.642,0.11576,0.1028,context observed without claiming fluency,True,True
699,39,moss_ward,Tala,moss breath Tala day-5 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.67,0.678,0.0872,0.073,context observed without claiming fluency,True,True
700,39,glass_harbor,Nia,harbor chime Nia day-5 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.698,0.724,0.05872,0.0266,resident gives slower phrase and gesture,True,True
701,39,cinder_garden,Pax,cinder pulse Pax day-5 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.698,0.724,0.05872,0.0266,resident gives slower phrase and gesture,True,True
702,40,orchid_engine,Bea,engine ring Bea day-6 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.706,0.732,0.04952,0.02,resident gives slower phrase and gesture,True,True
703,40,moss_ward,Fay,moss breath Fay day-6 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.742,0.732,0.02,0.02,misread phrase requires warning,True,True
704,40,glass_harbor,Puck,harbor chime Puck day-6 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.66,0.668,0.10512,0.0896,context observed without claiming fluency,True,True
705,40,cinder_garden,Wren,cinder pulse Wren day-6 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.516,0.524,0.24912,0.2336,context observed without claiming fluency,True,True
706,40,lichen_bridge,Kio,bridge hum Kio day-6 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.724,0.732,0.03056,0.02,context observed without claiming fluency,True,True
707,40,orchid_engine,Cai,engine ring Cai day-6 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.706,0.732,0.04952,0.02,resident gives slower phrase and gesture,True,True
708,40,moss_ward,Milo,moss breath Milo day-6 show empty hands,greeting: stand by rain gate,custom warning: step around blanket circle,0.498,0.524,0.26616,0.2328,resident gives slower phrase and gesture,True,True
709,40,glass_harbor,Sera,harbor chime Sera day-6 tap lantern rail,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.66,0.668,0.08784,0.0752,context observed without claiming fluency,True,True
710,40,cinder_garden,Juno,cinder pulse Juno day-6 wait at ash path,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.742,0.732,0.02,0.02,misread phrase requires warning,True,True
711,40,lichen_bridge,Luma,bridge hum Luma day-6 listen for signal hush,greeting: touch rope post,custom warning: ask before signal bell,0.724,0.732,0.03152,0.02,context observed without claiming fluency,True,True
712,40,orchid_engine,Dax,engine ring Dax day-6 show palms to valve listener,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.642,0.668,0.1068,0.076,resident gives slower phrase and gesture,True,True
713,40,moss_ward,Tala,moss breath Tala day-6 show empty hands,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.678,0.668,0.08136,0.0848,misread phrase requires warning,True,True
714,40,glass_harbor,Nia,harbor chime Nia day-6 tap lantern rail,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.724,0.732,0.03056,0.02,context observed without claiming fluency,True,True
715,40,cinder_garden,Pax,cinder pulse Pax day-6 wait at ash path,greeting: wait at ash path,custom warning: cool stone is shared,0.724,0.732,0.03152,0.02,context observed without claiming fluency,True,True
716,40,lichen_bridge,Rin,bridge hum Rin day-6 listen for signal hush,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.66,0.668,0.09936,0.0848,context observed without claiming fluency,True,True
717,40,orchid_engine,Eli,engine ring Eli day-6 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.714,0.74,0.03192,0.02,resident gives slower phrase and gesture,True,True
718,40,moss_ward,Ari,moss breath Ari day-6 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.706,0.732,0.04856,0.02,resident gives slower phrase and gesture,True,True
719,40,glass_harbor,Oren,harbor chime Oren day-6 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.724,0.732,0.03056,0.02,context observed without claiming fluency,True,True
720,41,lichen_bridge,Kio,bridge hum Kio day-7 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.732,0.722,0.02472,0.0286,misread phrase requires warning,True,True
721,41,orchid_engine,Cai,engine ring Cai day-7 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.732,0.74,0.02136,0.02,context observed without claiming fluency,True,True
722,41,moss_ward,Milo,moss breath Milo day-7 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.524,0.532,0.23896,0.2238,context observed without claiming fluency,True,True
723,41,glass_harbor,Sera,harbor chime Sera day-7 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.668,0.676,0.07936,0.0668,context observed without claiming fluency,True,True
724,41,cinder_garden,Juno,cinder pulse Juno day-7 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.732,0.758,0.02208,0.02,resident gives slower phrase and gesture,True,True
725,41,lichen_bridge,Luma,bridge hum Luma day-7 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.732,0.758,0.02208,0.02,resident gives slower phrase and gesture,True,True
726,41,orchid_engine,Dax,engine ring Dax day-7 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.668,0.676,0.07984,0.0672,context observed without claiming fluency,True,True
727,41,moss_ward,Tala,moss breath Tala day-7 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.668,0.658,0.09352,0.0966,misread phrase requires warning,True,True
728,41,glass_harbor,Nia,harbor chime Nia day-7 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.732,0.74,0.02136,0.02,context observed without claiming fluency,True,True
729,41,cinder_garden,Pax,cinder pulse Pax day-7 repeat cool-hand sign,greeting: bow to shade cloth,custom warning: ask before shade pole,0.732,0.758,0.02256,0.02,resident gives slower phrase and gesture,True,True
730,41,lichen_bridge,Rin,bridge hum Rin day-7 wait for shared-bowl offer,greeting: listen for signal hush,custom warning: meal room first for strangers,0.668,0.658,0.09352,0.0966,misread phrase requires warning,True,True
731,41,orchid_engine,Eli,engine ring Eli day-7 wait for orchid-cup,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.74,0.748,0.02,0.02,context observed without claiming fluency,True,True
732,41,moss_ward,Ari,moss breath Ari day-7 wait for warm-cup phrase,greeting: stand by rain gate,custom warning: step around blanket circle,0.732,0.74,0.02136,0.02,context observed without claiming fluency,True,True
733,41,glass_harbor,Oren,harbor chime Oren day-7 accept tea-before-crossing,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.732,0.74,0.02208,0.02,context observed without claiming fluency,True,True
734,41,cinder_garden,Vale,cinder pulse Vale day-7 repeat cool-hand sign,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.74,0.766,0.02,0.02,resident gives slower phrase and gesture,True,True
735,41,lichen_bridge,Sol,bridge hum Sol day-7 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.668,0.694,0.09664,0.0632,resident gives slower phrase and gesture,True,True
736,41,orchid_engine,Bea,engine ring Bea day-7 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.732,0.74,0.02256,0.02,context observed without claiming fluency,True,True
737,41,moss_ward,Fay,moss breath Fay day-7 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.732,0.722,0.02472,0.0286,misread phrase requires warning,True,True
738,42,cinder_garden,Juno,cinder pulse Juno day-8 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.758,0.766,0.02,0.02,context observed without claiming fluency,True,True
739,42,lichen_bridge,Luma,bridge hum Luma day-8 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.758,0.766,0.02,0.02,context observed without claiming fluency,True,True
740,42,orchid_engine,Dax,engine ring Dax day-8 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.676,0.684,0.07136,0.0588,context observed without claiming fluency,True,True
741,42,moss_ward,Tala,moss breath Tala day-8 stand by rain gate,greeting: stand by rain gate,custom warning: step around blanket circle,0.658,0.684,0.10544,0.0722,resident gives slower phrase and gesture,True,True
742,42,glass_harbor,Nia,harbor chime Nia day-8 pause at lamp pier,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.74,0.766,0.02,0.02,resident gives slower phrase and gesture,True,True
743,42,cinder_garden,Pax,cinder pulse Pax day-8 bow to shade cloth,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.758,0.766,0.02,0.02,context observed without claiming fluency,True,True
744,42,lichen_bridge,Rin,bridge hum Rin day-8 touch rope post,greeting: touch rope post,custom warning: ask before signal bell,0.658,0.648,0.10568,0.1084,misread phrase requires warning,True,True
745,42,orchid_engine,Eli,engine ring Eli day-8 stand outside engine ring,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.748,0.756,0.02,0.02,context observed without claiming fluency,True,True
746,42,moss_ward,Ari,moss breath Ari day-8 stand by rain gate,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.74,0.766,0.02,0.02,resident gives slower phrase and gesture,True,True
747,42,glass_harbor,Oren,harbor chime Oren day-8 pause at lamp pier,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.74,0.73,0.02,0.0202,misread phrase requires warning,True,True
748,42,cinder_garden,Vale,cinder pulse Vale day-8 bow to shade cloth,greeting: wait at ash path,custom warning: cool stone is shared,0.766,0.774,0.02,0.02,context observed without claiming fluency,True,True
749,42,lichen_bridge,Sol,bridge hum Sol day-8 touch rope post,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.694,0.702,0.06944,0.0542,context observed without claiming fluency,True,True
750,42,orchid_engine,Bea,engine ring Bea day-8 stand outside engine ring,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.74,0.748,0.02,0.02,context observed without claiming fluency,True,True
751,42,moss_ward,Fay,moss breath Fay day-8 stand by rain gate,greeting: show empty hands,custom warning: leave door-watch path clear,0.722,0.748,0.03664,0.02,resident gives slower phrase and gesture,True,True
752,42,glass_harbor,Puck,harbor chime Puck day-8 pause at lamp pier,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.668,0.694,0.09664,0.0632,resident gives slower phrase and gesture,True,True
753,42,cinder_garden,Wren,cinder pulse Wren day-8 bow to shade cloth,greeting: bow to shade cloth,custom warning: ask before shade pole,0.524,0.532,0.24016,0.2248,context observed without claiming fluency,True,True
754,42,lichen_bridge,Kio,bridge hum Kio day-8 touch rope post,greeting: listen for signal hush,custom warning: meal room first for strangers,0.722,0.712,0.03688,0.0404,misread phrase requires warning,True,True
755,42,orchid_engine,Cai,engine ring Cai day-8 stand outside engine ring,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.74,0.748,0.02,0.02,context observed without claiming fluency,True,True
756,43,glass_harbor,Nia,harbor chime Nia day-9 tap lantern rail,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.766,0.774,0.02,0.02,context observed without claiming fluency,True,True
757,43,cinder_garden,Pax,cinder pulse Pax day-9 wait at ash path,greeting: wait at ash path,custom warning: cool stone is shared,0.766,0.774,0.02,0.02,context observed without claiming fluency,True,True
758,43,lichen_bridge,Rin,bridge hum Rin day-9 listen for signal hush,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.648,0.674,0.1176,0.084,resident gives slower phrase and gesture,True,True
759,43,orchid_engine,Eli,engine ring Eli day-9 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.756,0.782,0.02,0.02,resident gives slower phrase and gesture,True,True
760,43,moss_ward,Ari,moss breath Ari day-9 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.766,0.774,0.02,0.02,context observed without claiming fluency,True,True
761,43,glass_harbor,Oren,harbor chime Oren day-9 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.73,0.72,0.0284,0.032,misread phrase requires warning,True,True
762,43,cinder_garden,Vale,cinder pulse Vale day-9 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.774,0.782,0.02,0.02,context observed without claiming fluency,True,True
763,43,lichen_bridge,Sol,bridge hum Sol day-9 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.702,0.728,0.06048,0.0274,resident gives slower phrase and gesture,True,True
764,43,orchid_engine,Bea,engine ring Bea day-9 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.748,0.738,0.02,0.02,misread phrase requires warning,True,True
765,43,moss_ward,Fay,moss breath Fay day-9 show empty hands,greeting: stand by rain gate,custom warning: step around blanket circle,0.748,0.756,0.02,0.02,context observed without claiming fluency,True,True
766,43,glass_harbor,Puck,harbor chime Puck day-9 tap lantern rail,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.694,0.702,0.06944,0.0542,context observed without claiming fluency,True,True
767,43,cinder_garden,Wren,cinder pulse Wren day-9 wait at ash path,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.532,0.54,0.23168,0.2164,context observed without claiming fluency,True,True
768,43,lichen_bridge,Kio,bridge hum Kio day-9 listen for signal hush,greeting: touch rope post,custom warning: ask before signal bell,0.712,0.738,0.0488,0.02,resident gives slower phrase and gesture,True,True
