tick_index,day,hour,phase,agent,role,routine,autonomous_goal,avatar_pressure,social_context,event_kind,routine_source,routine_continuity_token
144,5,14,day,Sol,seed ledger guardian,repair_route,Sol keeps a route usable,0.256128,self-directed,crowding,agent_schedule_not_avatar_command,r243:5:14:Sol:repair_route:81c86727
145,5,17,dusk,Ari,route keeper,relationship_check,Ari tests whether trust changed,0.25448,self-directed,crowding,agent_schedule_not_avatar_command,r243:5:17:Ari:relationship_check:6b5b0aed
146,5,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.065007,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:5:17:Fay:ritual_hum:f0915dad
147,5,17,dusk,Milo,market pattern scout,hearth_return,Milo continues dusk routine: hearth_return,0.071373,self-directed,ordinary,agent_schedule_not_avatar_command,r243:5:17:Milo:hearth_return:5636ef55
148,5,17,dusk,Sol,seed ledger guardian,ritual_hum,Sol stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:5:17:Sol:ritual_hum:a9adb958
149,5,20,dusk,Ari,route keeper,ritual_hum,Ari stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:5:20:Ari:ritual_hum:8e8fdc86
150,5,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.515439,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:5:20:Fay:ritual_hum:f0915dad
151,5,20,dusk,Milo,market pattern scout,store_objects,Milo continues dusk routine: store_objects,0.088682,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:5:20:Milo:store_objects:49ee3d65
152,5,20,dusk,Sol,seed ledger guardian,hearth_return,Sol continues dusk routine: hearth_return,0.069622,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:5:20:Sol:hearth_return:cca35c4b
153,5,23,night,Ari,route keeper,sleep,Ari protects recovery before tomorrow,0.078208,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:5:23:Ari:sleep:9965438b
154,5,23,night,Fay,hearth ritualist,dream_sort_memory,Fay sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:5:23:Fay:dream_sort_memory:a568e1a1
155,5,23,night,Milo,market pattern scout,guarded_rest,Milo continues night routine: guarded_rest,0.246221,self-directed,crowding,agent_schedule_not_avatar_command,r243:5:23:Milo:guarded_rest:a1dd2abe
156,5,23,night,Sol,seed ledger guardian,soft_recovery,Sol continues night routine: soft_recovery,0.077945,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:5:23:Sol:soft_recovery:73cfc9ed
157,5,2,night,Ari,route keeper,soft_recovery,Ari continues night routine: soft_recovery,0.094749,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:5:2:Ari:soft_recovery:0bd75383
158,5,2,night,Fay,hearth ritualist,sleep,Fay protects recovery before tomorrow,0.080669,self-directed,ordinary,agent_schedule_not_avatar_command,r243:5:2:Fay:sleep:9524b5e8
159,5,2,night,Milo,market pattern scout,dream_sort_memory,Milo sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:5:2:Milo:dream_sort_memory:5b8c69bc
160,5,2,night,Sol,seed ledger guardian,guarded_rest,Sol continues night routine: guarded_rest,0.496966,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:5:2:Sol:guarded_rest:b7d93b6c
161,6,5,dawn,Ari,route keeper,share_water,Ari continues dawn routine: share_water,0.093359,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:6:5:Ari:share_water:8e382223
162,6,5,dawn,Fay,hearth ritualist,wake_check_body,Fay continues dawn routine: wake_check_body,0.088287,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:6:5:Fay:wake_check_body:c2c65084
163,6,5,dawn,Milo,market pattern scout,prepare_tools,Milo continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:6:5:Milo:prepare_tools:4a3c2842
164,6,5,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.248074,self-directed,crowding,agent_schedule_not_avatar_command,r243:6:5:Sol:quiet_route_scan:291181a4
165,6,8,dawn,Ari,route keeper,quiet_route_scan,Ari continues dawn routine: quiet_route_scan,0.244955,self-directed,crowding,agent_schedule_not_avatar_command,r243:6:8:Ari:quiet_route_scan:222b4754
166,6,8,dawn,Fay,hearth ritualist,share_water,Fay continues dawn routine: share_water,0.078957,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:6:8:Fay:share_water:8e180ac7
167,6,8,dawn,Milo,market pattern scout,wake_check_body,Milo continues dawn routine: wake_check_body,0.068593,self-directed,ordinary,agent_schedule_not_avatar_command,r243:6:8:Milo:wake_check_body:9e371bc3
168,6,8,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:6:8:Sol:quiet_route_scan:291181a4
169,6,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:6:11:Ari:repair_route:067712a0
170,6,11,day,Fay,hearth ritualist,repair_route,Fay keeps a route usable,0.502828,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:6:11:Fay:repair_route:1e258454
171,6,11,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.081948,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:6:11:Milo:market_exchange:72f60159
172,6,11,day,Sol,seed ledger guardian,work_project,Sol continues day routine: work_project,0.068841,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:6:11:Sol:work_project:9e5808dd
173,6,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.074151,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:6:14:Ari:repair_route:067712a0
174,6,14,day,Fay,hearth ritualist,market_exchange,Fay trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:6:14:Fay:market_exchange:341412b1
175,6,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.253887,self-directed,crowding,agent_schedule_not_avatar_command,r243:6:14:Milo:market_exchange:72f60159
176,6,14,day,Sol,seed ledger guardian,teach_skill,Sol continues day routine: teach_skill,0.090732,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:6:14:Sol:teach_skill:e3ec579b
177,6,17,dusk,Ari,route keeper,store_objects,Ari continues dusk routine: store_objects,0.091066,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:6:17:Ari:store_objects:2fd62bc4
178,6,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.079575,self-directed,ordinary,agent_schedule_not_avatar_command,r243:6:17:Fay:ritual_hum:f0915dad
179,6,17,dusk,Milo,market pattern scout,ritual_hum,Milo stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:6:17:Milo:ritual_hum:ad516317
180,6,17,dusk,Sol,seed ledger guardian,relationship_check,Sol tests whether trust changed,0.505107,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:6:17:Sol:relationship_check:bfa94801
181,6,20,dusk,Ari,route keeper,relationship_check,Ari tests whether trust changed,0.50371,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:6:20:Ari:relationship_check:6b5b0aed
182,6,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.078604,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:6:20:Fay:ritual_hum:f0915dad
183,6,20,dusk,Milo,market pattern scout,hearth_return,Milo continues dusk routine: hearth_return,0.075916,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:6:20:Milo:hearth_return:5636ef55
184,6,20,dusk,Sol,seed ledger guardian,ritual_hum,Sol stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:6:20:Sol:ritual_hum:a9adb958
185,6,23,night,Ari,route keeper,dream_sort_memory,Ari sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:6:23:Ari:dream_sort_memory:e2370a4a
186,6,23,night,Fay,hearth ritualist,guarded_rest,Fay continues night routine: guarded_rest,0.247901,self-directed,crowding,agent_schedule_not_avatar_command,r243:6:23:Fay:guarded_rest:acd34292
187,6,23,night,Milo,market pattern scout,soft_recovery,Milo continues night routine: soft_recovery,0.077713,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:6:23:Milo:soft_recovery:bffc930f
188,6,23,night,Sol,seed ledger guardian,sleep,Sol protects recovery before tomorrow,0.067062,self-directed,ordinary,agent_schedule_not_avatar_command,r243:6:23:Sol:sleep:fe683409
189,6,2,night,Ari,route keeper,sleep,Ari protects recovery before tomorrow,0.067304,self-directed,ordinary,agent_schedule_not_avatar_command,r243:6:2:Ari:sleep:9965438b
190,6,2,night,Fay,hearth ritualist,dream_sort_memory,Fay sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:6:2:Fay:dream_sort_memory:a568e1a1
191,6,2,night,Milo,market pattern scout,guarded_rest,Milo continues night routine: guarded_rest,0.522305,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:6:2:Milo:guarded_rest:a1dd2abe
192,6,2,night,Sol,seed ledger guardian,soft_recovery,Sol continues night routine: soft_recovery,0.093657,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:6:2:Sol:soft_recovery:73cfc9ed
193,7,5,dawn,Ari,route keeper,wake_check_body,Ari continues dawn routine: wake_check_body,0.074708,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:7:5:Ari:wake_check_body:bb15c18a
194,7,5,dawn,Fay,hearth ritualist,prepare_tools,Fay continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:7:5:Fay:prepare_tools:2785ee94
195,7,5,dawn,Milo,market pattern scout,quiet_route_scan,Milo continues dawn routine: quiet_route_scan,0.246589,self-directed,crowding,agent_schedule_not_avatar_command,r243:7:5:Milo:quiet_route_scan:3f98c3ae
196,7,5,dawn,Sol,seed ledger guardian,share_water,Sol continues dawn routine: share_water,0.079213,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:7:5:Sol:share_water:96d68b8a
197,7,8,dawn,Ari,route keeper,share_water,Ari continues dawn routine: share_water,0.069523,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:7:8:Ari:share_water:8e382223
198,7,8,dawn,Fay,hearth ritualist,wake_check_body,Fay continues dawn routine: wake_check_body,0.074745,self-directed,ordinary,agent_schedule_not_avatar_command,r243:7:8:Fay:wake_check_body:c2c65084
199,7,8,dawn,Milo,market pattern scout,prepare_tools,Milo continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:7:8:Milo:prepare_tools:4a3c2842
200,7,8,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.524629,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:7:8:Sol:quiet_route_scan:291181a4
201,7,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.516815,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:7:11:Ari:repair_route:067712a0
202,7,11,day,Fay,hearth ritualist,teach_skill,Fay continues day routine: teach_skill,0.094564,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:7:11:Fay:teach_skill:697452f7
203,7,11,day,Milo,market pattern scout,work_project,Milo continues day routine: work_project,0.089753,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:7:11:Milo:work_project:6453b983
204,7,11,day,Sol,seed ledger guardian,market_exchange,Sol trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:7:11:Sol:market_exchange:be480137
205,7,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:7:14:Ari:repair_route:067712a0
206,7,14,day,Fay,hearth ritualist,repair_route,Fay keeps a route usable,0.238103,self-directed,crowding,agent_schedule_not_avatar_command,r243:7:14:Fay:repair_route:1e258454
207,7,14,day,Milo,market pattern scout,teach_skill,Milo continues day routine: teach_skill,0.088307,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:7:14:Milo:teach_skill:624ff239
208,7,14,day,Sol,seed ledger guardian,work_project,Sol continues day routine: work_project,0.08425,self-directed,ordinary,agent_schedule_not_avatar_command,r243:7:14:Sol:work_project:9e5808dd
209,7,17,dusk,Ari,route keeper,hearth_return,Ari continues dusk routine: hearth_return,0.090327,self-directed,ordinary,agent_schedule_not_avatar_command,r243:7:17:Ari:hearth_return:8d803a50
210,7,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:7:17:Fay:ritual_hum:f0915dad
211,7,17,dusk,Milo,market pattern scout,relationship_check,Milo tests whether trust changed,0.51217,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:7:17:Milo:relationship_check:5711035a
212,7,17,dusk,Sol,seed ledger guardian,store_objects,Sol continues dusk routine: store_objects,0.090695,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:7:17:Sol:store_objects:ff5938cb
213,7,20,dusk,Ari,route keeper,store_objects,Ari continues dusk routine: store_objects,0.078221,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:7:20:Ari:store_objects:2fd62bc4
214,7,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.073307,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:7:20:Fay:ritual_hum:f0915dad
215,7,20,dusk,Milo,market pattern scout,ritual_hum,Milo stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:7:20:Milo:ritual_hum:ad516317
216,7,20,dusk,Sol,seed ledger guardian,relationship_check,Sol tests whether trust changed,0.255403,self-directed,crowding,agent_schedule_not_avatar_command,r243:7:20:Sol:relationship_check:bfa94801
217,7,23,night,Ari,route keeper,guarded_rest,Ari continues night routine: guarded_rest,0.24037,self-directed,crowding,agent_schedule_not_avatar_command,r243:7:23:Ari:guarded_rest:fc7754fd
218,7,23,night,Fay,hearth ritualist,soft_recovery,Fay continues night routine: soft_recovery,0.084954,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:7:23:Fay:soft_recovery:fd7825a3
219,7,23,night,Milo,market pattern scout,sleep,Milo protects recovery before tomorrow,0.0657,self-directed,ordinary,agent_schedule_not_avatar_command,r243:7:23:Milo:sleep:89f57e1b
220,7,23,night,Sol,seed ledger guardian,dream_sort_memory,Sol sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:7:23:Sol:dream_sort_memory:76823bc7
221,7,2,night,Ari,route keeper,dream_sort_memory,Ari sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:7:2:Ari:dream_sort_memory:e2370a4a
222,7,2,night,Fay,hearth ritualist,guarded_rest,Fay continues night routine: guarded_rest,0.500063,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:7:2:Fay:guarded_rest:acd34292
223,7,2,night,Milo,market pattern scout,soft_recovery,Milo continues night routine: soft_recovery,0.088054,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:7:2:Milo:soft_recovery:bffc930f
224,7,2,night,Sol,seed ledger guardian,sleep,Sol protects recovery before tomorrow,0.070767,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:7:2:Sol:sleep:fe683409
225,8,5,dawn,Ari,route keeper,prepare_tools,Ari continues dawn routine: prepare_tools,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:8:5:Ari:prepare_tools:db5aeab2
226,8,5,dawn,Fay,hearth ritualist,quiet_route_scan,Fay continues dawn routine: quiet_route_scan,0.243639,self-directed,crowding,agent_schedule_not_avatar_command,r243:8:5:Fay:quiet_route_scan:ce0148e5
227,8,5,dawn,Milo,market pattern scout,share_water,Milo continues dawn routine: share_water,0.083733,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:8:5:Milo:share_water:70e874a1
228,8,5,dawn,Sol,seed ledger guardian,wake_check_body,Sol continues dawn routine: wake_check_body,0.090407,self-directed,ordinary,agent_schedule_not_avatar_command,r243:8:5:Sol:wake_check_body:00cea675
229,8,8,dawn,Ari,route keeper,wake_check_body,Ari continues dawn routine: wake_check_body,0.089053,self-directed,ordinary,agent_schedule_not_avatar_command,r243:8:8:Ari:wake_check_body:bb15c18a
230,8,8,dawn,Fay,hearth ritualist,prepare_tools,Fay continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:8:8:Fay:prepare_tools:2785ee94
231,8,8,dawn,Milo,market pattern scout,quiet_route_scan,Milo continues dawn routine: quiet_route_scan,0.495728,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:8:8:Milo:quiet_route_scan:3f98c3ae
232,8,8,dawn,Sol,seed ledger guardian,share_water,Sol continues dawn routine: share_water,0.072635,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:8:8:Sol:share_water:96d68b8a
233,8,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.092032,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:8:11:Ari:repair_route:067712a0
234,8,11,day,Fay,hearth ritualist,work_project,Fay continues day routine: work_project,0.085474,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:8:11:Fay:work_project:504749dc
235,8,11,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:8:11:Milo:market_exchange:72f60159
236,8,11,day,Sol,seed ledger guardian,repair_route,Sol keeps a route usable,0.263698,self-directed,crowding,agent_schedule_not_avatar_command,r243:8:11:Sol:repair_route:81c86727
237,8,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.244075,self-directed,crowding,agent_schedule_not_avatar_command,r243:8:14:Ari:repair_route:067712a0
238,8,14,day,Fay,hearth ritualist,teach_skill,Fay continues day routine: teach_skill,0.085332,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:8:14:Fay:teach_skill:697452f7
239,8,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.074992,self-directed,ordinary,agent_schedule_not_avatar_command,r243:8:14:Milo:market_exchange:72f60159
240,8,14,day,Sol,seed ledger guardian,market_exchange,Sol trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:8:14:Sol:market_exchange:be480137
241,8,17,dusk,Ari,route keeper,ritual_hum,Ari stabilizes group rhythm,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:8:17:Ari:ritual_hum:8e8fdc86
242,8,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.496889,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:8:17:Fay:ritual_hum:f0915dad
243,8,17,dusk,Milo,market pattern scout,store_objects,Milo continues dusk routine: store_objects,0.085825,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:8:17:Milo:store_objects:49ee3d65
244,8,17,dusk,Sol,seed ledger guardian,hearth_return,Sol continues dusk routine: hearth_return,0.065959,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:8:17:Sol:hearth_return:cca35c4b
245,8,20,dusk,Ari,route keeper,hearth_return,Ari continues dusk routine: hearth_return,0.071706,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:8:20:Ari:hearth_return:8d803a50
246,8,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:8:20:Fay:ritual_hum:f0915dad
247,8,20,dusk,Milo,market pattern scout,relationship_check,Milo tests whether trust changed,0.242573,self-directed,crowding,agent_schedule_not_avatar_command,r243:8:20:Milo:relationship_check:5711035a
248,8,20,dusk,Sol,seed ledger guardian,store_objects,Sol continues dusk routine: store_objects,0.067332,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:8:20:Sol:store_objects:ff5938cb
249,8,23,night,Ari,route keeper,soft_recovery,Ari continues night routine: soft_recovery,0.076528,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:8:23:Ari:soft_recovery:0bd75383
250,8,23,night,Fay,hearth ritualist,sleep,Fay protects recovery before tomorrow,0.078218,self-directed,ordinary,agent_schedule_not_avatar_command,r243:8:23:Fay:sleep:9524b5e8
251,8,23,night,Milo,market pattern scout,dream_sort_memory,Milo sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:8:23:Milo:dream_sort_memory:5b8c69bc
252,8,23,night,Sol,seed ledger guardian,guarded_rest,Sol continues night routine: guarded_rest,0.503928,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:8:23:Sol:guarded_rest:b7d93b6c
253,8,2,night,Ari,route keeper,guarded_rest,Ari continues night routine: guarded_rest,0.520455,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:8:2:Ari:guarded_rest:fc7754fd
254,8,2,night,Fay,hearth ritualist,soft_recovery,Fay continues night routine: soft_recovery,0.079229,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:8:2:Fay:soft_recovery:fd7825a3
255,8,2,night,Milo,market pattern scout,sleep,Milo protects recovery before tomorrow,0.079557,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:8:2:Milo:sleep:89f57e1b
256,8,2,night,Sol,seed ledger guardian,dream_sort_memory,Sol sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:8:2:Sol:dream_sort_memory:76823bc7
257,9,5,dawn,Ari,route keeper,quiet_route_scan,Ari continues dawn routine: quiet_route_scan,0.259161,self-directed,crowding,agent_schedule_not_avatar_command,r243:9:5:Ari:quiet_route_scan:222b4754
258,9,5,dawn,Fay,hearth ritualist,share_water,Fay continues dawn routine: share_water,0.087727,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:9:5:Fay:share_water:8e180ac7
259,9,5,dawn,Milo,market pattern scout,wake_check_body,Milo continues dawn routine: wake_check_body,0.074467,self-directed,ordinary,agent_schedule_not_avatar_command,r243:9:5:Milo:wake_check_body:9e371bc3
260,9,5,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:9:5:Sol:quiet_route_scan:291181a4
261,9,8,dawn,Ari,route keeper,prepare_tools,Ari continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:9:8:Ari:prepare_tools:db5aeab2
262,9,8,dawn,Fay,hearth ritualist,quiet_route_scan,Fay continues dawn routine: quiet_route_scan,0.517158,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:9:8:Fay:quiet_route_scan:ce0148e5
263,9,8,dawn,Milo,market pattern scout,share_water,Milo continues dawn routine: share_water,0.086483,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:9:8:Milo:share_water:70e874a1
264,9,8,dawn,Sol,seed ledger guardian,quiet_route_scan,Sol continues dawn routine: quiet_route_scan,0.082217,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:9:8:Sol:quiet_route_scan:291181a4
265,9,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.086491,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:9:11:Ari:repair_route:067712a0
266,9,11,day,Fay,hearth ritualist,market_exchange,Fay trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:9:11:Fay:market_exchange:341412b1
267,9,11,day,Milo,market pattern scout,repair_route,Milo keeps a route usable,0.256934,self-directed,crowding,agent_schedule_not_avatar_command,r243:9:11:Milo:repair_route:0377de76
268,9,11,day,Sol,seed ledger guardian,teach_skill,Sol continues day routine: teach_skill,0.074923,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:9:11:Sol:teach_skill:e3ec579b
269,9,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.091925,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:9:14:Ari:repair_route:067712a0
270,9,14,day,Fay,hearth ritualist,work_project,Fay continues day routine: work_project,0.075883,self-directed,ordinary,agent_schedule_not_avatar_command,r243:9:14:Fay:work_project:504749dc
271,9,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:9:14:Milo:market_exchange:72f60159
272,9,14,day,Sol,seed ledger guardian,repair_route,Sol keeps a route usable,0.49892,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:9:14:Sol:repair_route:81c86727
273,9,17,dusk,Ari,route keeper,relationship_check,Ari tests whether trust changed,0.523231,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:9:17:Ari:relationship_check:6b5b0aed
274,9,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.081827,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:9:17:Fay:ritual_hum:f0915dad
275,9,17,dusk,Milo,market pattern scout,hearth_return,Milo continues dusk routine: hearth_return,0.089291,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:9:17:Milo:hearth_return:5636ef55
276,9,17,dusk,Sol,seed ledger guardian,ritual_hum,Sol stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:9:17:Sol:ritual_hum:a9adb958
277,9,20,dusk,Ari,route keeper,ritual_hum,Ari stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:9:20:Ari:ritual_hum:8e8fdc86
278,9,20,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.246185,self-directed,crowding,agent_schedule_not_avatar_command,r243:9:20:Fay:ritual_hum:f0915dad
279,9,20,dusk,Milo,market pattern scout,store_objects,Milo continues dusk routine: store_objects,0.076082,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:9:20:Milo:store_objects:49ee3d65
280,9,20,dusk,Sol,seed ledger guardian,hearth_return,Sol continues dusk routine: hearth_return,0.071247,self-directed,ordinary,agent_schedule_not_avatar_command,r243:9:20:Sol:hearth_return:cca35c4b
281,9,23,night,Ari,route keeper,sleep,Ari protects recovery before tomorrow,0.082941,self-directed,ordinary,agent_schedule_not_avatar_command,r243:9:23:Ari:sleep:9965438b
282,9,23,night,Fay,hearth ritualist,dream_sort_memory,Fay sorts social episodes into private story,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:9:23:Fay:dream_sort_memory:a568e1a1
283,9,23,night,Milo,market pattern scout,guarded_rest,Milo continues night routine: guarded_rest,0.496249,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:9:23:Milo:guarded_rest:a1dd2abe
284,9,23,night,Sol,seed ledger guardian,soft_recovery,Sol continues night routine: soft_recovery,0.069369,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:9:23:Sol:soft_recovery:73cfc9ed
285,9,2,night,Ari,route keeper,soft_recovery,Ari continues night routine: soft_recovery,0.065864,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:9:2:Ari:soft_recovery:0bd75383
286,9,2,night,Fay,hearth ritualist,sleep,Fay protects recovery before tomorrow,0.082357,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:9:2:Fay:sleep:9524b5e8
287,9,2,night,Milo,market pattern scout,dream_sort_memory,Milo sorts social episodes into private story,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:9:2:Milo:dream_sort_memory:5b8c69bc
