tick,day,loop_id,sound_rate_hz,movement_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_animation_bound,flower_phase
292,25,v19-loop-037,1.52,1.132,0.26,17.05,0.32,0.13,0.035,1,250.935088
293,25,v19-loop-037,1.55,1.132,0.26,19.85,0.14,0.13,0.035,1,28.952852
294,25,v19-loop-037,1.53,1.2296,0.18,18.25,0.14,0.13,0.035,1,168.951016
295,25,v19-loop-037,1.61,1.132,0.18,18.25,0.14,0.13,0.035,1,304.98838
296,25,v19-loop-038,1.64,1.212,0.18,18.25,0.14,0.13,0.035,1,85.326144
297,25,v19-loop-038,1.67,1.1224,0.18,18.25,0.14,0.13,0.115,1,220.745508
298,25,v19-loop-038,1.7,1.1996,0.31,17.05,0.32,0.2,0.035,1,1.002072
299,25,v19-loop-038,1.73,1.1224,0.26,19.85,0.14,0.13,0.035,1,136.781036
300,26,v19-loop-038,1.4,1.262,0.23,18.3,0.14,0.2,0.035,1,272.7272
301,26,v19-loop-038,1.43,1.132,0.18,18.3,0.14,0.13,0.035,1,46.974964
302,26,v19-loop-038,1.53,1.212,0.18,18.3,0.14,0.13,0.115,1,188.502728
303,26,v19-loop-038,1.49,1.2296,0.26,17.1,0.32,0.13,0.035,1,325.840892
304,26,v19-loop-039,1.52,1.2296,0.26,19.9,0.14,0.13,0.065,1,103.858656
305,26,v19-loop-039,1.55,1.2796,0.23,18.3,0.14,0.13,0.035,1,243.32642
306,26,v19-loop-039,1.58,1.132,0.18,18.3,0.14,0.13,0.035,1,17.063784
307,26,v19-loop-039,1.61,1.1996,0.23,18.3,0.14,0.2,0.035,1,157.041948
308,26,v19-loop-039,1.64,1.132,0.18,18.3,0.14,0.08,0.115,1,293.099312
309,26,v19-loop-039,1.67,1.132,0.26,17.1,0.32,0.13,0.035,1,71.117076
310,26,v19-loop-039,1.7,1.1224,0.26,19.9,0.14,0.13,0.035,1,208.85644
311,26,v19-loop-039,1.73,1.212,0.18,18.3,0.14,0.13,0.035,1,349.472604
312,27,v19-loop-040,1.4,1.212,0.18,18.35,0.14,0.13,0.035,0,121.370368
313,27,v19-loop-040,1.43,1.212,0.18,18.35,0.14,0.13,0.115,1,259.388132
314,27,v19-loop-040,1.46,1.1996,0.31,17.15,0.32,0.2,0.035,1,37.046296
315,27,v19-loop-040,1.49,1.1224,0.26,19.95,0.14,0.13,0.035,1,172.82526
316,27,v19-loop-040,1.52,1.132,0.18,18.35,0.14,0.13,0.035,1,311.121424
317,27,v19-loop-040,1.55,1.132,0.18,18.35,0.14,0.13,0.035,1,89.139188
318,27,v19-loop-040,1.58,1.212,0.18,18.35,0.14,0.13,0.035,1,229.476952
319,27,v19-loop-040,1.61,1.132,0.18,18.35,0.14,0.08,0.115,1,5.174716
320,27,v19-loop-041,1.64,1.182,0.31,17.15,0.32,0.2,0.035,1,144.64248
321,27,v19-loop-041,1.67,1.132,0.26,19.95,0.14,0.13,0.035,1,281.210244
322,27,v19-loop-041,1.7,1.2296,0.18,18.35,0.14,0.13,0.035,1,62.058408
323,27,v19-loop-041,1.68,1.212,0.18,18.35,0.14,0.13,0.065,1,198.715772
324,28,v19-loop-041,1.4,1.1224,0.18,18.4,0.14,0.13,0.115,1,328.865136
325,28,v19-loop-041,1.43,1.1224,0.26,17.2,0.32,0.13,0.035,1,106.8829
326,28,v19-loop-041,1.46,1.212,0.26,20.0,0.14,0.13,0.035,1,247.499064
327,28,v19-loop-041,1.49,1.1224,0.18,18.4,0.14,0.13,0.035,1,22.918428
328,28,v19-loop-042,1.52,1.212,0.18,18.4,0.14,0.13,0.085,1,163.534592
329,28,v19-loop-042,1.55,1.2296,0.18,18.4,0.14,0.13,0.035,1,302.062756
330,28,v19-loop-042,1.58,1.2796,0.23,18.4,0.14,0.15,0.115,1,81.53052
331,28,v19-loop-042,1.61,1.1996,0.31,17.2,0.32,0.11,0.035,1,217.228284
332,28,v19-loop-042,1.64,1.132,0.26,20.0,0.14,0.13,0.035,1,353.285648
333,28,v19-loop-042,1.67,1.1996,0.23,18.4,0.14,0.11,0.035,1,133.263812
334,28,v19-loop-042,1.7,1.132,0.18,18.4,0.14,0.13,0.035,1,269.321176
335,28,v19-loop-042,1.73,1.1996,0.23,18.4,0.14,0.2,0.035,1,49.29934
