tick,day,scene_id,focus_agent,obligation_visible,return_obligation_visible,trust_access_visible,followup_visible,repair_deferral_visible,residual_debt_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
230,13,v24-scene-d13,Nari,1,1,1,0,0,0,1.12,43.60172,Nari accepts repair for fern key; access begins recovering,1
231,13,v24-scene-d13,Melo,1,1,1,0,0,0,1.12,174.053484,Melo accepts repair for tally beads; access begins recovering,1
232,13,v24-scene-d13,Ori,1,1,1,0,1,0,1.16,310.585248,Ori accepts repair for sap hook; access begins recovering,1
233,13,v24-scene-d13,Nari,0,0,1,0,0,0,1.12,92.727012,Nari carries owned-task state across this visit,1
234,14,v24-scene-d14,Ori,1,1,1,0,0,0,1.12,223.516776,Ori accepts repair for sap hook; access begins recovering,1
235,14,v24-scene-d14,Vonn,1,0,1,0,0,1,1.18,25.24854,Vonn carries owned-task state across this visit,1
236,14,v24-scene-d14,Ori,1,1,1,0,1,1,1.22,156.820304,Ori carries owned-task state across this visit,1
237,14,v24-scene-d14,Keth,0,0,1,0,0,0,1.12,283.532068,Keth carries owned-task state across this visit,1
238,14,v24-scene-d14,Keth,1,1,1,0,0,0,1.12,60.413832,Keth accepts repair for path cord; access begins recovering,1
239,14,v24-scene-d14,Keth,1,1,1,0,0,0,1.12,199.335596,Keth accepts repair for path cord; access begins recovering,1
240,14,v24-scene-d14,Keth,0,1,1,1,1,1,1.23,1.05736,Keth follows up on path cord; unresolved duty changes options,1
241,14,v24-scene-d14,Sova,0,0,1,0,0,0,1.12,110.749124,Sova carries owned-task state across this visit,1
242,14,v24-scene-d14,Melo,1,1,1,0,0,0,1.12,246.420888,Melo accepts repair for tally beads; access begins recovering,1
243,14,v24-scene-d14,Nari,1,1,1,1,1,1,1.23,44.512652,Nari follows up on fern key; unresolved duty changes options,1
244,14,v24-scene-d14,Melo,1,1,1,0,0,0,1.12,164.264416,Melo accepts repair for tally beads; access begins recovering,1
245,14,v24-scene-d14,Sova,0,0,1,0,0,0,1.12,306.43618,Sova carries owned-task state across this visit,1
246,14,v24-scene-d14,Vonn,1,0,1,1,0,1,1.23,104.027944,Vonn follows up on rain mirror; unresolved duty changes options,1
247,14,v24-scene-d14,Melo,1,1,1,0,1,1,1.18,235.249708,Melo carries owned-task state across this visit,1
248,14,v24-scene-d14,Nari,1,1,1,0,0,0,1.12,356.321472,Nari accepts repair for fern key; access begins recovering,1
249,14,v24-scene-d14,Ori,1,1,1,0,0,0,1.12,135.243236,Ori accepts repair for sap hook; access begins recovering,1
250,14,v24-scene-d14,Sova,1,1,1,0,0,0,1.12,264.485,Sova accepts repair for ember bowl; access begins recovering,1
251,14,v24-scene-d14,Sova,1,1,1,1,1,1,1.23,68.626764,Sova follows up on moth lantern; unresolved duty changes options,1
252,15,v24-scene-d15,Nari,1,1,1,0,0,0,1.12,176.236528,Nari accepts repair for fern key; access begins recovering,1
253,15,v24-scene-d15,Keth,1,1,1,0,0,0,1.12,316.368292,Keth accepts repair for path cord; access begins recovering,1
254,15,v24-scene-d15,Keth,1,1,1,0,1,1,1.18,115.350056,Keth accepts a deferral but keeps residual debt visible,1
255,15,v24-scene-d15,Keth,1,1,1,0,0,0,1.12,234.21182,Keth accepts repair for path cord; access begins recovering,1
256,15,v24-scene-d15,Melo,1,1,1,0,0,0,1.12,15.553584,Melo accepts repair for tally beads; access begins recovering,1
257,15,v24-scene-d15,Keth,0,0,1,0,0,0,1.12,154.095348,Keth carries owned-task state across this visit,1
258,15,v24-scene-d15,Melo,1,1,1,1,1,1,1.23,316.197112,Melo follows up on tally beads; unresolved duty changes options,1
259,15,v24-scene-d15,Melo,1,1,1,0,0,0,1.12,60.218876,Melo accepts repair for tally beads; access begins recovering,1
260,15,v24-scene-d15,Ori,1,1,1,0,0,0,1.12,207.61064,Ori accepts repair for sap hook; access begins recovering,1
261,15,v24-scene-d15,Keth,0,0,1,0,0,0,1.12,337.682404,Keth carries owned-task state across this visit,1
262,15,v24-scene-d15,Melo,1,1,1,0,0,1,1.18,131.204168,Melo carries owned-task state across this visit,1
263,15,v24-scene-d15,Melo,1,1,1,0,0,0,1.12,255.905932,Melo accepts repair for tally beads; access begins recovering,1
264,15,v24-scene-d15,Keth,1,1,1,0,0,0,1.12,32.407696,Keth accepts repair for path cord; access begins recovering,1
265,15,v24-scene-d15,Nari,0,0,1,0,0,0,1.12,174.57946,Nari carries owned-task state across this visit,1
266,15,v24-scene-d15,Keth,1,1,1,0,0,0,1.12,310.251224,Keth accepts repair for path cord; access begins recovering,1
267,15,v24-scene-d15,Melo,1,1,1,0,0,0,1.12,91.592988,Melo accepts repair for tally beads; access begins recovering,1
268,15,v24-scene-d15,Melo,1,1,1,0,0,0,1.12,230.514752,Melo accepts repair for tally beads; access begins recovering,1
269,15,v24-scene-d15,Vonn,0,0,1,0,1,0,1.16,2.076516,Vonn accepts repair for rain mirror; access begins recovering,1
270,16,v24-scene-d16,Ori,1,1,1,0,0,0,1.12,141.05628,Ori accepts repair for sap hook; access begins recovering,1
271,16,v24-scene-d16,Keth,1,1,1,0,0,0,1.12,269.088044,Keth accepts repair for path cord; access begins recovering,1
272,16,v24-scene-d16,Keth,1,1,1,0,0,0,1.12,48.009808,Keth accepts repair for path cord; access begins recovering,1
273,16,v24-scene-d16,Vonn,0,0,1,0,0,0,1.12,191.391572,Vonn carries owned-task state across this visit,1
274,16,v24-scene-d16,Keth,1,1,1,1,0,1,1.23,342.813336,Keth follows up on path cord; unresolved duty changes options,1
275,16,v24-scene-d16,Ori,1,1,1,0,0,0,1.12,103.5651,Ori accepts repair for sap hook; access begins recovering,1
276,16,v24-scene-d16,Nari,1,1,1,0,0,0,1.12,244.906864,Nari accepts repair for ink ledger; access begins recovering,1
277,16,v24-scene-d16,Keth,1,1,1,0,0,0,1.18,33.238628,Keth accepts repair for path cord; access begins recovering,1
278,16,v24-scene-d16,Vonn,1,1,1,0,0,0,1.12,156.700392,Vonn accepts repair for listening shell; access begins recovering,1
279,16,v24-scene-d16,Melo,1,1,1,0,0,1,1.18,305.002156,Melo carries owned-task state across this visit,1
280,16,v24-scene-d16,Ori,1,1,1,1,0,1,1.23,95.13392,Ori follows up on sap hook; unresolved duty changes options,1
281,16,v24-scene-d16,Sova,1,1,1,0,0,0,1.12,209.835684,Sova accepts repair for moth lantern; access begins recovering,1
282,16,v24-scene-d16,Sova,1,1,1,0,0,0,1.12,346.337448,Sova accepts repair for ember bowl; access begins recovering,1
283,16,v24-scene-d16,Vonn,1,0,1,0,1,0,1.16,126.829212,Vonn accepts repair for rain mirror; access begins recovering,1
284,16,v24-scene-d16,Nari,1,1,1,1,1,1,1.23,286.980976,Nari follows up on ink ledger; unresolved duty changes options,1
285,16,v24-scene-d16,Melo,1,1,1,0,0,0,1.12,44.31274,Melo accepts repair for tally beads; access begins recovering,1
286,16,v24-scene-d16,Vonn,1,1,1,0,0,0,1.12,175.974504,Vonn accepts repair for listening shell; access begins recovering,1
287,16,v24-scene-d16,Keth,1,1,1,0,1,0,1.16,320.976268,Keth accepts repair for path cord; access begins recovering,1
288,17,v24-scene-d17,Melo,1,1,1,0,0,0,1.12,97.406032,Melo accepts repair for tally beads; access begins recovering,1
289,17,v24-scene-d17,Keth,0,0,1,0,0,0,1.12,235.947796,Keth carries owned-task state across this visit,1
290,17,v24-scene-d17,Melo,1,1,1,0,0,0,1.12,3.14956,Melo accepts repair for tally beads; access begins recovering,1
291,17,v24-scene-d17,Vonn,1,1,1,1,1,1,1.23,169.711324,Vonn follows up on listening shell; unresolved duty changes options,1
292,17,v24-scene-d17,Sova,1,1,1,0,0,0,1.12,282.203088,Sova accepts repair for moth lantern; access begins recovering,1
293,17,v24-scene-d17,Vonn,1,1,1,0,0,0,1.12,64.754852,Vonn accepts repair for listening shell; access begins recovering,1
294,17,v24-scene-d17,Nari,1,1,1,0,0,0,1.12,197.626616,Nari accepts repair for ink ledger; access begins recovering,1
295,17,v24-scene-d17,Vonn,1,1,1,0,1,0,1.16,331.73838,Vonn accepts repair for listening shell; access begins recovering,1
296,17,v24-scene-d17,Vonn,1,0,1,1,1,1,1.23,138.600144,Vonn follows up on rain mirror; unresolved duty changes options,1
297,17,v24-scene-d17,Ori,1,1,1,0,0,0,1.12,251.971908,Ori accepts repair for sap hook; access begins recovering,1
298,17,v24-scene-d17,Vonn,0,0,1,1,0,1,1.23,56.443672,Vonn follows up on rain mirror; unresolved duty changes options,1
299,17,v24-scene-d17,Vonn,1,0,1,1,0,1,1.23,183.265436,Vonn follows up on rain mirror; unresolved duty changes options,1
300,17,v24-scene-d17,Vonn,1,0,1,1,0,1,1.23,322.1872,Vonn follows up on rain mirror; unresolved duty changes options,1
301,17,v24-scene-d17,Nari,0,0,1,0,0,0,1.12,80.018964,Nari carries owned-task state across this visit,1
302,17,v24-scene-d17,Ori,1,1,1,0,0,0,1.12,214.480728,Ori accepts repair for sap hook; access begins recovering,1
303,17,v24-scene-d17,Nari,1,1,1,1,1,1,1.23,18.622492,Nari follows up on ink ledger; unresolved duty changes options,1
304,17,v24-scene-d17,Keth,1,1,1,0,0,0,1.12,133.534256,Keth accepts repair for path cord; access begins recovering,1
305,17,v24-scene-d17,Vonn,1,0,1,1,0,1,1.23,296.79602,Vonn follows up on rain mirror; unresolved duty changes options,1
306,18,v24-scene-d18,Sova,1,1,1,1,1,1,1.27,67.115784,Sova follows up on ember bowl; unresolved duty changes options,1
307,18,v24-scene-d18,Keth,1,1,1,0,0,0,1.12,186.627548,Keth accepts repair for path cord; access begins recovering,1
308,18,v24-scene-d18,Ori,1,1,1,0,0,0,1.18,337.879312,Ori carries owned-task state across this visit,1
309,18,v24-scene-d18,Keth,0,0,1,0,0,0,1.12,106.511076,Keth carries owned-task state across this visit,1
310,18,v24-scene-d18,Keth,1,1,1,0,0,0,1.12,243.39284,Keth accepts repair for path cord; access begins recovering,1
311,18,v24-scene-d18,Ori,1,1,1,1,0,0,1.23,34.464604,Ori accepts repair for sap hook; access begins recovering,1
312,18,v24-scene-d18,Vonn,1,0,1,1,0,1,1.23,173.476368,Vonn follows up on rain mirror; unresolved duty changes options,1
313,18,v24-scene-d18,Nari,1,1,1,1,1,1,1.27,313.308132,Nari follows up on ink ledger; unresolved duty changes options,1
314,18,v24-scene-d18,Keth,1,1,1,0,0,0,1.12,66.979896,Keth accepts repair for path cord; access begins recovering,1
315,18,v24-scene-d18,Vonn,1,0,1,1,0,1,1.23,230.24166,Vonn follows up on rain mirror; unresolved duty changes options,1
316,18,v24-scene-d18,Sova,1,1,1,0,0,0,1.18,356.653424,Sova accepts repair for ember bowl; access begins recovering,1
317,18,v24-scene-d18,Melo,0,0,1,0,0,0,1.12,128.205188,Melo carries owned-task state across this visit,1
318,18,v24-scene-d18,Keth,1,1,1,0,0,0,1.12,262.666952,Keth accepts repair for path cord; access begins recovering,1
319,18,v24-scene-d18,Vonn,1,0,1,1,0,1,1.23,53.828716,Vonn follows up on rain mirror; unresolved duty changes options,1
320,18,v24-scene-d18,Keth,1,1,1,1,1,1,1.23,203.31048,Keth follows up on path cord; unresolved duty changes options,1
321,18,v24-scene-d18,Melo,1,1,1,0,0,0,1.12,309.752244,Melo accepts repair for tally beads; access begins recovering,1
322,18,v24-scene-d18,Ori,1,1,1,0,0,0,1.12,85.044008,Ori accepts repair for sap hook; access begins recovering,1
323,18,v24-scene-d18,Sova,1,1,1,0,0,0,1.12,226.385772,Sova accepts repair for ember bowl; access begins recovering,1
324,19,v24-scene-d19,Melo,1,1,1,1,1,1,1.23,25.645536,Melo follows up on tally beads; unresolved duty changes options,1
325,19,v24-scene-d19,Melo,1,1,1,1,0,1,1.23,164.5673,Melo follows up on tally beads; unresolved duty changes options,1
326,19,v24-scene-d19,Ori,1,1,1,0,0,0,1.12,277.059064,Ori accepts repair for sap hook; access begins recovering,1
327,19,v24-scene-d19,Sova,0,1,1,0,0,0,1.12,58.400828,Sova accepts repair for ember bowl; access begins recovering,1
328,19,v24-scene-d19,Nari,1,1,1,0,1,1,1.18,217.382592,Nari accepts a deferral but keeps residual debt visible,1
329,19,v24-scene-d19,Sova,0,0,1,0,0,0,1.12,338.284356,Sova carries owned-task state across this visit,1
330,19,v24-scene-d19,Vonn,1,0,1,1,1,1,1.23,126.19612,Vonn follows up on rain mirror; unresolved duty changes options,1
331,19,v24-scene-d19,Keth,1,1,1,1,1,1,1.23,263.577884,Keth follows up on path cord; unresolved duty changes options,1
332,19,v24-scene-d19,Vonn,1,0,1,0,1,0,1.16,22.479648,Vonn accepts repair for rain mirror; access begins recovering,1
333,19,v24-scene-d19,Ori,0,0,1,0,0,0,1.12,159.451412,Ori carries owned-task state across this visit,1
334,19,v24-scene-d19,Keth,1,1,1,1,0,0,1.23,310.903176,Keth accepts repair for path cord; access begins recovering,1
335,19,v24-scene-d19,Melo,1,1,1,1,1,1,1.23,101.68494,Melo follows up on tally beads; unresolved duty changes options,1
336,19,v24-scene-d19,Sova,1,1,1,0,0,0,1.12,219.016704,Sova accepts repair for moth lantern; access begins recovering,1
337,19,v24-scene-d19,Nari,1,1,1,0,0,0,1.12,355.518468,Nari accepts repair for ink ledger; access begins recovering,1
338,19,v24-scene-d19,Keth,1,1,1,0,0,0,1.18,143.850232,Keth accepts repair for path cord; access begins recovering,1
339,19,v24-scene-d19,Ori,1,1,1,1,0,1,1.23,287.901996,Ori follows up on sap hook; unresolved duty changes options,1
340,19,v24-scene-d19,Sova,1,1,1,0,0,0,1.12,42.60376,Sova accepts repair for moth lantern; access begins recovering,1
341,19,v24-scene-d19,Nari,0,0,1,0,0,0,1.12,181.145524,Nari carries owned-task state across this visit,1
342,20,v24-scene-d20,Keth,1,1,1,1,1,1,1.23,330.105288,Keth follows up on path cord; unresolved duty changes options,1
343,20,v24-scene-d20,Ori,1,1,1,0,0,0,1.18,101.477052,Ori accepts repair for sap hook; access begins recovering,1
344,20,v24-scene-d20,Keth,1,1,1,0,0,0,1.12,230.988816,Keth accepts repair for path cord; access begins recovering,1
345,20,v24-scene-d20,Vonn,0,0,1,0,0,0,1.12,14.37058,Vonn carries owned-task state across this visit,1
346,20,v24-scene-d20,Melo,1,1,1,0,1,0,1.16,152.492344,Melo accepts repair for tally beads; access begins recovering,1
347,20,v24-scene-d20,Vonn,1,0,1,0,1,1,1.18,303.514108,Vonn carries owned-task state across this visit,1
348,20,v24-scene-d20,Vonn,1,0,1,0,1,0,1.16,69.455872,Vonn accepts repair for rain mirror; access begins recovering,1
349,20,v24-scene-d20,Sova,0,0,1,0,0,0,1.12,199.167636,Sova carries owned-task state across this visit,1
350,20,v24-scene-d20,Sova,1,1,1,1,0,1,1.23,350.5894,Sova follows up on ember bowl; unresolved duty changes options,1
351,20,v24-scene-d20,Sova,1,1,1,0,0,0,1.12,112.551164,Sova accepts repair for ember bowl; access begins recovering,1
352,20,v24-scene-d20,Melo,1,1,1,0,0,0,1.12,252.682928,Melo accepts repair for tally beads; access begins recovering,1
353,20,v24-scene-d20,Ori,1,1,1,1,0,1,1.29,55.554692,Ori follows up on sap hook; unresolved duty changes options,1
354,20,v24-scene-d20,Vonn,1,1,1,0,0,0,1.12,175.366456,Vonn accepts repair for listening shell; access begins recovering,1
355,20,v24-scene-d20,Ori,1,1,1,0,0,0,1.18,316.43822,Ori accepts repair for sap hook; access begins recovering,1
356,20,v24-scene-d20,Melo,0,1,1,0,0,0,1.12,88.369984,Melo accepts repair for tally beads; access begins recovering,1
357,20,v24-scene-d20,Melo,0,0,1,0,0,0,1.12,229.331748,Melo carries owned-task state across this visit,1
358,20,v24-scene-d20,Sova,1,1,1,0,0,0,1.12,5.003512,Sova accepts repair for ember bowl; access begins recovering,1
359,20,v24-scene-d20,Sova,1,1,1,0,0,1,1.18,148.465276,Sova carries owned-task state across this visit,1
360,21,v24-scene-d21,Sova,1,1,1,0,0,0,1.12,269.49504,Sova accepts repair for moth lantern; access begins recovering,1
361,21,v24-scene-d21,Sova,0,0,1,0,0,0,1.12,48.036804,Sova carries owned-task state across this visit,1
362,21,v24-scene-d21,Sova,1,1,1,0,0,0,1.12,187.338568,Sova accepts repair for moth lantern; access begins recovering,1
363,21,v24-scene-d21,Ori,1,1,1,0,0,0,1.12,321.420332,Ori accepts repair for sap hook; access begins recovering,1
364,21,v24-scene-d21,Keth,1,1,1,1,0,1,1.23,118.512096,Keth follows up on path cord; unresolved duty changes options,1
365,21,v24-scene-d21,Melo,0,0,1,0,0,0,1.12,244.93386,Melo carries owned-task state across this visit,1
366,21,v24-scene-d21,Melo,1,1,1,0,0,0,1.12,21.815624,Melo accepts repair for tally beads; access begins recovering,1
367,21,v24-scene-d21,Keth,1,1,1,0,0,0,1.12,158.317388,Keth accepts repair for path cord; access begins recovering,1
368,21,v24-scene-d21,Ori,1,1,1,0,0,0,1.12,296.029152,Ori accepts repair for sap hook; access begins recovering,1
369,21,v24-scene-d21,Melo,0,0,1,0,0,0,1.12,68.520916,Melo carries owned-task state across this visit,1
370,21,v24-scene-d21,Vonn,1,1,1,0,0,0,1.12,205.40268,Vonn accepts repair for rain mirror; access begins recovering,1
371,21,v24-scene-d21,Vonn,1,1,1,0,0,0,1.12,349.164444,Vonn accepts repair for listening shell; access begins recovering,1
372,21,v24-scene-d21,Ori,1,1,1,1,1,1,1.27,137.816208,Ori follows up on sap hook; unresolved duty changes options,1
373,21,v24-scene-d21,Ori,1,1,1,0,0,0,1.12,258.537972,Ori accepts repair for sap hook; access begins recovering,1
374,21,v24-scene-d21,Ori,1,1,1,0,0,0,1.12,37.459736,Ori accepts repair for sap hook; access begins recovering,1
375,21,v24-scene-d21,Sova,1,1,1,0,0,0,1.12,178.8015,Sova accepts repair for ember bowl; access begins recovering,1
376,21,v24-scene-d21,Nari,1,1,1,1,0,1,1.23,332.263264,Nari follows up on fern key; unresolved duty changes options,1
377,21,v24-scene-d21,Sova,0,0,1,0,0,0,1.12,98.685028,Sova carries owned-task state across this visit,1
378,22,v24-scene-d22,Keth,1,1,1,0,0,0,1.12,230.684792,Keth accepts repair for path cord; access begins recovering,1
379,22,v24-scene-d22,Ori,1,1,1,0,1,1,1.22,23.856556,Ori carries owned-task state across this visit,1
380,22,v24-scene-d22,Nari,1,1,1,0,0,0,1.12,147.31832,Nari accepts repair for fern key; access begins recovering,1
381,22,v24-scene-d22,Nari,0,0,1,0,0,0,1.12,288.280084,Nari carries owned-task state across this visit,1
382,22,v24-scene-d22,Nari,1,1,1,0,0,0,1.12,55.481848,Nari accepts repair for ink ledger; access begins recovering,1
383,22,v24-scene-d22,Melo,1,1,1,0,1,0,1.16,196.853612,Melo accepts repair for tally beads; access begins recovering,1
384,22,v24-scene-d22,Sova,1,1,1,0,0,0,1.12,333.325376,Sova accepts repair for ember bowl; access begins recovering,1
385,22,v24-scene-d22,Ori,0,1,1,0,0,0,1.12,109.82714,Ori accepts repair for sap hook; access begins recovering,1
386,22,v24-scene-d22,Keth,1,1,1,0,0,1,1.18,264.178904,Keth carries owned-task state across this visit,1
387,22,v24-scene-d22,Keth,1,1,1,0,0,0,1.12,28.880668,Keth accepts repair for path cord; access begins recovering,1
388,22,v24-scene-d22,Melo,1,1,1,0,0,0,1.12,170.222432,Melo accepts repair for tally beads; access begins recovering,1
389,22,v24-scene-d22,Vonn,0,0,1,0,0,0,1.12,299.084196,Vonn carries owned-task state across this visit,1
390,22,v24-scene-d22,Nari,1,1,1,0,0,1,1.18,88.97596,Nari carries owned-task state across this visit,1
391,22,v24-scene-d22,Sova,1,1,1,0,0,0,1.12,216.097724,Sova accepts repair for moth lantern; access begins recovering,1
392,22,v24-scene-d22,Ori,1,1,1,0,0,0,1.12,350.179488,Ori accepts repair for sap hook; access begins recovering,1
393,22,v24-scene-d22,Ori,0,0,1,0,0,0,1.12,131.141252,Ori carries owned-task state across this visit,1
394,22,v24-scene-d22,Keth,1,1,1,1,1,1,1.23,292.033016,Keth follows up on path cord; unresolved duty changes options,1
395,22,v24-scene-d22,Melo,1,1,1,0,0,0,1.12,50.57478,Melo accepts repair for tally beads; access begins recovering,1
396,23,v24-scene-d23,Sova,1,1,1,0,0,0,1.12,187.034544,Sova accepts repair for moth lantern; access begins recovering,1
397,23,v24-scene-d23,Melo,0,0,1,0,0,0,1.12,326.786308,Melo carries owned-task state across this visit,1
398,23,v24-scene-d23,Melo,1,1,1,0,0,1,1.18,117.888072,Melo carries owned-task state across this visit,1
399,23,v24-scene-d23,Melo,1,1,1,0,0,0,1.12,230.489836,Melo accepts repair for tally beads; access begins recovering,1
400,23,v24-scene-d23,Melo,1,1,1,0,0,0,1.12,9.4116,Melo accepts repair for tally beads; access begins recovering,1
401,23,v24-scene-d23,Nari,1,1,1,1,1,1,1.23,169.923364,Nari follows up on ink ledger; unresolved duty changes options,1
402,23,v24-scene-d23,Vonn,1,0,1,0,1,0,1.16,287.615128,Vonn accepts repair for rain mirror; access begins recovering,1
403,23,v24-scene-d23,Sova,1,1,1,0,0,0,1.12,64.966892,Sova accepts repair for ember bowl; access begins recovering,1
404,23,v24-scene-d23,Sova,1,1,1,0,0,0,1.12,206.308656,Sova accepts repair for moth lantern; access begins recovering,1
405,23,v24-scene-d23,Keth,1,1,1,1,1,1,1.23,4.40042,Keth follows up on path cord; unresolved duty changes options,1
406,23,v24-scene-d23,Ori,1,1,1,0,0,0,1.12,119.312184,Ori accepts repair for sap hook; access begins recovering,1
407,23,v24-scene-d23,Melo,1,1,1,0,0,0,1.12,261.863948,Melo accepts repair for tally beads; access begins recovering,1
408,23,v24-scene-d23,Ori,1,1,1,1,1,1,1.23,59.955712,Ori follows up on sap hook; unresolved duty changes options,1
409,23,v24-scene-d23,Melo,0,0,1,0,0,0,1.12,169.647476,Melo carries owned-task state across this visit,1
410,23,v24-scene-d23,Nari,1,1,1,1,0,1,1.23,328.11924,Nari follows up on ink ledger; unresolved duty changes options,1
411,23,v24-scene-d23,Vonn,1,1,1,0,0,0,1.12,90.291004,Vonn accepts repair for listening shell; access begins recovering,1
412,23,v24-scene-d23,Keth,1,1,1,1,1,1,1.23,244.752768,Keth follows up on path cord; unresolved duty changes options,1
413,23,v24-scene-d23,Vonn,1,1,1,0,0,0,1.12,8.134532,Vonn accepts repair for listening shell; access begins recovering,1
414,24,v24-scene-d24,Keth,0,1,1,1,0,0,1.23,149.484296,Keth accepts repair for path cord; access begins recovering,1
415,24,v24-scene-d24,Sova,1,1,1,1,0,1,1.23,295.63606,Sova follows up on moth lantern; unresolved duty changes options,1
416,24,v24-scene-d24,Ori,1,1,1,1,1,1,1.27,76.797824,Ori follows up on sap hook; unresolved duty changes options,1
417,24,v24-scene-d24,Ori,1,1,1,0,0,0,1.12,191.679588,Ori accepts repair for sap hook; access begins recovering,1
418,24,v24-scene-d24,Nari,1,1,1,1,0,1,1.23,355.821352,Nari follows up on ink ledger; unresolved duty changes options,1
419,24,v24-scene-d24,Sova,1,1,1,1,1,0,1.29,135.003116,Sova follows up on moth lantern; unresolved duty changes options,1
420,24,v24-scene-d24,Melo,1,1,1,0,0,0,1.12,239.97488,Melo accepts repair for tally beads; access begins recovering,1
421,24,v24-scene-d24,Nari,1,1,1,0,0,0,1.12,17.686644,Nari accepts repair for ink ledger; access begins recovering,1
422,24,v24-scene-d24,Nari,1,1,1,0,0,0,1.12,156.608408,Nari accepts repair for ink ledger; access begins recovering,1
423,24,v24-scene-d24,Melo,1,1,1,0,0,1,1.18,310.960172,Melo carries owned-task state across this visit,1
424,24,v24-scene-d24,Ori,1,1,1,0,0,0,1.12,72.031936,Ori accepts repair for sap hook; access begins recovering,1
425,24,v24-scene-d24,Nari,0,0,1,0,0,0,1.12,212.9937,Nari carries owned-task state across this visit,1
426,24,v24-scene-d24,Ori,1,1,1,0,0,0,1.12,349.875464,Ori accepts repair for sap hook; access begins recovering,1
427,24,v24-scene-d24,Melo,1,1,1,1,0,1,1.23,149.387228,Melo follows up on tally beads; unresolved duty changes options,1
428,24,v24-scene-d24,Ori,1,1,1,0,0,0,1.12,267.718992,Ori accepts repair for sap hook; access begins recovering,1
429,24,v24-scene-d24,Nari,1,1,1,0,0,0,1.12,46.640756,Nari accepts repair for fern key; access begins recovering,1
430,24,v24-scene-d24,Vonn,1,1,1,1,0,1,1.23,198.89252,Vonn follows up on listening shell; unresolved duty changes options,1
431,24,v24-scene-d24,Melo,1,1,1,0,0,0,1.12,316.014284,Melo accepts repair for tally beads; access begins recovering,1
432,25,v24-scene-d25,Sova,1,1,1,1,0,1,1.29,125.894048,Sova follows up on moth lantern; unresolved duty changes options,1
433,25,v24-scene-d25,Melo,0,0,1,0,0,0,1.12,232.225812,Melo carries owned-task state across this visit,1
434,25,v24-scene-d25,Nari,1,1,1,0,1,0,1.16,6.717576,Nari accepts repair for fern key; access begins recovering,1
435,25,v24-scene-d25,Nari,1,1,1,0,0,0,1.12,146.81934,Nari accepts repair for ink ledger; access begins recovering,1
436,25,v24-scene-d25,Vonn,1,1,1,0,0,0,1.12,279.691104,Vonn accepts repair for listening shell; access begins recovering,1
437,25,v24-scene-d25,Sova,1,1,1,0,0,0,1.18,77.702868,Sova accepts repair for moth lantern; access begins recovering,1
438,25,v24-scene-d25,Ori,1,1,1,0,0,0,1.12,201.164632,Ori accepts repair for sap hook; access begins recovering,1
439,25,v24-scene-d25,Ori,1,1,1,0,0,0,1.12,340.086396,Ori accepts repair for sap hook; access begins recovering,1
440,25,v24-scene-d25,Melo,1,1,1,0,0,0,1.12,110.53816,Melo accepts repair for tally beads; access begins recovering,1
441,25,v24-scene-d25,Sova,1,1,1,0,1,0,1.16,251.909924,Sova accepts repair for moth lantern; access begins recovering,1
442,25,v24-scene-d25,Keth,1,1,1,0,0,0,1.12,25.961688,Keth accepts repair for path cord; access begins recovering,1
443,25,v24-scene-d25,Keth,0,1,1,0,0,0,1.12,164.883452,Keth accepts repair for path cord; access begins recovering,1
444,25,v24-scene-d25,Sova,1,1,1,0,0,1,1.18,321.655216,Sova carries owned-task state across this visit,1
445,25,v24-scene-d25,Sova,1,1,1,0,0,0,1.12,86.35698,Sova accepts repair for moth lantern; access begins recovering,1
446,25,v24-scene-d25,Ori,1,1,1,0,0,0,1.12,220.438744,Ori accepts repair for sap hook; access begins recovering,1
447,25,v24-scene-d25,Sova,1,1,1,0,0,0,1.12,1.780508,Sova accepts repair for ember bowl; access begins recovering,1
448,25,v24-scene-d25,Melo,1,1,1,0,0,0,1.12,141.912272,Melo accepts repair for tally beads; access begins recovering,1
449,25,v24-scene-d25,Melo,0,0,1,0,0,0,1.12,270.774036,Melo carries owned-task state across this visit,1
450,26,v24-scene-d26,Melo,1,1,1,0,0,0,1.12,43.9838,Melo accepts repair for tally beads; access begins recovering,1
451,26,v24-scene-d26,Ori,1,1,1,0,0,0,1.12,191.375564,Ori accepts repair for sap hook; access begins recovering,1
452,26,v24-scene-d26,Ori,1,1,1,0,0,0,1.12,318.197328,Ori accepts repair for sap hook; access begins recovering,1
453,26,v24-scene-d26,Keth,0,0,1,0,0,0,1.12,100.369092,Keth carries owned-task state across this visit,1
454,26,v24-scene-d26,Vonn,1,1,1,0,0,0,1.12,244.510856,Vonn accepts repair for listening shell; access begins recovering,1
455,26,v24-scene-d26,Nari,1,1,1,0,0,0,1.12,14.96262,Nari accepts repair for fern key; access begins recovering,1
456,26,v24-scene-d26,Vonn,1,1,1,0,1,0,1.22,165.034384,Vonn carries owned-task state across this visit,1
457,26,v24-scene-d26,Melo,0,0,1,0,0,0,1.12,298.476148,Melo carries owned-task state across this visit,1
458,26,v24-scene-d26,Sova,1,1,1,0,0,0,1.12,74.147912,Sova accepts repair for ember bowl; access begins recovering,1
459,26,v24-scene-d26,Ori,1,1,1,0,0,0,1.12,210.649676,Ori accepts repair for sap hook; access begins recovering,1
