tick,day,scene_id,sound_rate_hz,movement_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_scene,flower_phase
288,21,v20-scene-d21,1.61,1.09,0.2,17.84,0.17,0.14,0.03,1,77.905101
289,21,v20-scene-d21,1.64,1.12,0.24,17.84,0.17,0.19,0.1,1,217.132865
290,21,v20-scene-d21,1.62,1.12,0.31,16.74,0.34,0.19,0.03,1,354.260629
291,21,v20-scene-d21,1.7,1.22,0.31,19.34,0.17,0.19,0.03,1,136.388393
292,21,v20-scene-d21,1.73,1.15,0.2,17.84,0.17,0.14,0.03,1,272.076157
293,21,v20-scene-d21,1.76,1.22,0.24,17.84,0.17,0.19,0.03,1,52.543921
294,22,v20-scene-d22,1.37,1.16,0.24,17.88,0.13,0.19,0.1,1,180.874316
295,22,v20-scene-d22,1.4,1.09,0.27,16.78,0.3,0.14,0.03,1,316.56208
296,22,v20-scene-d22,1.43,1.16,0.31,19.38,0.13,0.19,0.03,1,97.029844
297,22,v20-scene-d22,1.41,1.16,0.24,17.88,0.13,0.19,0.03,1,234.157608
298,22,v20-scene-d22,1.49,1.26,0.24,17.88,0.13,0.19,0.03,1,16.285372
299,22,v20-scene-d22,1.52,1.15,0.2,17.88,0.13,0.14,0.03,1,150.733136
300,22,v20-scene-d22,1.55,1.22,0.24,17.88,0.13,0.19,0.1,1,291.2009
301,22,v20-scene-d22,1.58,1.22,0.31,16.78,0.3,0.19,0.03,1,69.278664
302,22,v20-scene-d22,1.61,1.05,0.27,19.38,0.13,0.14,0.03,1,201.866428
303,22,v20-scene-d22,1.64,1.12,0.24,17.88,0.13,0.19,0.03,1,342.334192
304,22,v20-scene-d22,1.67,1.12,0.24,17.88,0.13,0.19,0.03,1,120.411956
305,22,v20-scene-d22,1.65,1.12,0.24,17.88,0.13,0.19,0.03,1,257.53972
306,22,v20-scene-d22,1.73,1.22,0.24,17.88,0.13,0.19,0.1,1,39.667484
307,22,v20-scene-d22,1.76,1.22,0.31,16.78,0.3,0.19,0.03,1,177.745248
308,23,v20-scene-d23,1.37,1.22,0.24,17.92,0.13,0.19,0.03,1,307.893612
309,23,v20-scene-d23,1.4,1.05,0.2,17.92,0.13,0.14,0.03,1,80.481376
310,23,v20-scene-d23,1.43,1.05,0.2,17.92,0.13,0.14,0.06,1,218.55914
311,23,v20-scene-d23,1.46,1.12,0.24,17.92,0.13,0.19,0.1,1,359.026904
312,23,v20-scene-d23,1.44,1.12,0.31,16.82,0.3,0.19,0.03,0,136.154668
313,23,v20-scene-d23,1.52,1.22,0.31,19.42,0.13,0.19,0.03,1,278.282432
314,23,v20-scene-d23,1.55,1.22,0.24,17.92,0.13,0.19,0.03,1,56.360196
315,23,v20-scene-d23,1.58,1.22,0.24,17.92,0.13,0.19,0.03,1,194.43796
316,23,v20-scene-d23,1.61,1.15,0.2,17.92,0.13,0.14,0.03,1,330.125724
317,23,v20-scene-d23,1.64,1.12,0.24,17.92,0.13,0.19,0.1,1,107.493488
318,23,v20-scene-d23,1.67,1.12,0.31,16.82,0.3,0.19,0.03,1,245.571252
319,23,v20-scene-d23,1.7,1.12,0.31,19.42,0.13,0.19,0.03,1,23.649016
320,23,v20-scene-d23,1.68,1.12,0.24,17.92,0.13,0.19,0.03,1,160.77678
321,23,v20-scene-d23,1.76,1.15,0.2,17.92,0.13,0.14,0.03,1,300.514544
322,24,v20-scene-d24,1.37,1.22,0.24,17.96,0.13,0.19,0.1,1,73.005322
323,24,v20-scene-d24,1.35,1.19,0.27,16.86,0.3,-0.01,0.11,1,208.983086
324,24,v20-scene-d24,1.43,1.16,0.31,19.46,0.13,0.19,0.03,1,347.30085
325,24,v20-scene-d24,1.46,1.16,0.24,17.96,0.13,0.19,0.03,1,125.378614
326,24,v20-scene-d24,1.49,1.16,0.24,17.96,0.13,0.19,0.03,1,263.456378
327,24,v20-scene-d24,1.47,1.12,0.24,17.96,0.13,0.19,0.03,1,39.344142
328,24,v20-scene-d24,1.55,1.26,0.24,17.96,0.13,0.19,0.1,1,182.711906
329,24,v20-scene-d24,1.58,1.22,0.31,16.86,0.3,0.19,0.03,1,319.54967
330,24,v20-scene-d24,1.61,1.15,0.27,19.46,0.13,0.14,0.03,1,95.237434
331,24,v20-scene-d24,1.64,1.22,0.24,17.96,0.13,0.19,0.03,1,235.705198
332,24,v20-scene-d24,1.67,1.12,0.24,17.96,0.13,0.19,0.03,1,10.682962
333,24,v20-scene-d24,1.7,1.16,0.24,17.96,0.13,0.19,0.03,1,150.000726
334,24,v20-scene-d24,1.73,1.12,0.24,17.96,0.13,0.19,0.1,1,286.83849
335,24,v20-scene-d24,1.71,1.12,0.31,16.86,0.3,0.19,0.03,1,63.966254
