tick,day,scene_id,room_width,room_depth,negotiation_ring_x,negotiation_ring_y,ceremony_table_x,ceremony_table_y,obstacle_count,navigable_cell_count,geometry_valid
321,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
322,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
323,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
324,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
325,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
326,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
327,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
328,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
329,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,148,0
330,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
331,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,139,1
332,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
333,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
334,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
335,24,v20-scene-d24,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
