tick,day,scene_id,avatar_x,avatar_y,avatar_z,agent,agent_x,agent_y,agent_z,distance_to_avatar,position_bound_to_negotiation,local_coordinates_valid
255,19,v20-scene-d19,4.370129,3.88741,0.16,Ori,6.254509,5.306156,0.44,2.358756,1,1
256,19,v20-scene-d19,4.648011,3.558318,0.18,Vonn,5.250026,5.192652,0.7,1.741686,1,1
257,19,v20-scene-d19,4.982511,3.457145,0.1,Sova,5.183167,5.16687,0.34,1.721459,1,1
258,19,v20-scene-d19,5.122972,3.390223,0.12,Keth,4.569799,4.693204,0.55,1.415542,1,1
259,19,v20-scene-d19,5.536811,3.362447,0.14,Melo,4.452408,4.356828,0.48,1.4713,1,1
260,19,v20-scene-d19,5.970047,3.177075,0.16,Nari,4.635502,3.816135,0.62,1.479665,1,1
261,19,v20-scene-d19,6.167888,3.235587,0.18,Ori,4.839063,3.624169,0.44,1.384475,1,1
262,19,v20-scene-d19,6.595348,3.337629,0.1,Vonn,5.727783,3.295853,0.7,0.86857,1,1
263,19,v20-scene-d19,6.997876,3.481019,0.12,Sova,5.804387,3.288155,0.34,1.208972,0,1
264,19,v20-scene-d19,7.121965,3.461848,0.14,Keth,6.734199,3.401687,0.55,0.392405,0,1
265,19,v20-scene-d19,7.435718,3.674636,0.16,Melo,7.147407,3.614236,0.48,0.29457,0,1
266,20,v20-scene-d20,7.581894,3.896033,0.1,Ori,7.519918,4.100022,0.44,0.213196,0,1
267,20,v20-scene-d20,7.738707,4.155906,0.12,Vonn,7.380056,4.764365,0.7,0.706295,1,1
268,20,v20-scene-d20,7.822706,4.420766,0.14,Sova,7.343063,4.809174,0.34,0.617186,1,1
269,20,v20-scene-d20,7.593724,4.681615,0.16,Keth,6.643517,5.227938,0.55,1.096067,1,1
270,20,v20-scene-d20,7.53465,4.729624,0.18,Melo,6.136428,5.316041,0.48,1.516216,1,1
271,20,v20-scene-d20,7.411308,4.9565,0.1,Nari,5.309287,5.213126,0.62,2.117628,1,1
272,20,v20-scene-d20,6.992213,5.154837,0.12,Ori,5.011136,5.085457,0.44,1.982292,1,1
273,20,v20-scene-d20,6.768217,5.318421,0.14,Vonn,4.483707,4.51156,0.7,2.42281,1,1
274,20,v20-scene-d20,6.512048,5.242497,0.16,Sova,4.469534,4.461425,0.34,2.186764,1,1
275,20,v20-scene-d20,5.997787,5.323962,0.18,Keth,4.611857,3.846194,0.55,2.025981,1,1
276,20,v20-scene-d20,5.720267,5.361499,0.1,Melo,4.921297,3.567536,0.48,1.963837,1,1
277,20,v20-scene-d20,5.454463,5.355629,0.12,Nari,5.662161,3.304523,0.62,2.061595,1,1
278,20,v20-scene-d20,4.974854,5.108692,0.14,Ori,6.015927,3.280054,0.44,2.104222,1,1
279,20,v20-scene-d20,4.774827,5.024748,0.16,Vonn,6.974961,3.507053,0.7,2.672824,1,1
280,21,v20-scene-d21,4.388665,4.733237,0.1,Keth,7.388523,3.846697,0.55,3.128115,1,1
281,21,v20-scene-d21,4.328296,4.585557,0.12,Melo,7.538757,4.177366,0.48,3.236306,1,1
282,21,v20-scene-d21,4.337934,4.424872,0.14,Nari,7.409233,4.724725,0.62,3.085902,1,1
283,21,v20-scene-d21,4.180527,4.260005,0.16,Ori,7.224983,4.924959,0.44,3.116228,1,1
284,21,v20-scene-d21,4.335965,3.899953,0.18,Vonn,6.370422,5.290445,0.7,2.464241,1,1
285,21,v20-scene-d21,4.56109,3.753513,0.1,Sova,6.294736,5.30139,0.34,2.324102,1,1
286,21,v20-scene-d21,4.609824,3.628912,0.12,Keth,5.355707,5.227704,0.55,1.764221,1,1
287,21,v20-scene-d21,4.953425,3.533463,0.14,Melo,4.922457,5.033204,0.48,1.500061,1,1
288,21,v20-scene-d21,5.340855,3.273255,0.16,Nari,4.499,4.55444,0.62,1.533021,1,1
289,21,v20-scene-d21,5.519239,3.252904,0.18,Ori,4.450379,4.322554,0.44,1.512155,1,1
290,21,v20-scene-d21,5.954406,3.275356,0.1,Vonn,4.76409,3.684427,0.7,1.258647,1,1
291,21,v20-scene-d21,6.391482,3.341766,0.12,Sova,4.812387,3.644548,0.34,1.607861,1,1
292,21,v20-scene-d21,6.575514,3.251445,0.14,Keth,5.612155,3.312448,0.55,0.965289,1,1
293,21,v20-scene-d21,6.972095,3.401895,0.16,Melo,6.134819,3.283866,0.48,0.845554,1,1
294,22,v20-scene-d22,7.267614,3.555136,0.1,Ori,6.909526,3.474067,0.44,0.36715,0,1
295,22,v20-scene-d22,7.546667,3.783761,0.12,Vonn,7.492302,4.024293,0.7,0.246599,0,1
296,22,v20-scene-d22,7.760948,4.032957,0.14,Sova,7.511377,4.073718,0.34,0.252878,0,1
297,22,v20-scene-d22,7.664834,4.294384,0.16,Keth,7.429872,4.693722,0.55,0.463334,0,1
298,22,v20-scene-d22,7.735651,4.359186,0.18,Melo,7.148492,4.984977,0.48,0.85812,1,1
299,22,v20-scene-d22,7.733781,4.618369,0.1,Nari,6.435054,5.278997,0.62,1.457093,1,1
300,22,v20-scene-d22,7.422655,4.863173,0.12,Ori,6.084437,5.318485,0.44,1.413555,0,1
301,22,v20-scene-d22,7.2886,5.085439,0.14,Vonn,5.105085,5.132816,0.7,2.184029,1,1
302,22,v20-scene-d22,7.100581,5.077953,0.16,Sova,5.042952,5.102342,0.34,2.057774,1,1
303,22,v20-scene-d22,6.629823,5.234747,0.18,Keth,4.512655,4.587073,0.55,2.214019,1,1
304,22,v20-scene-d22,6.369338,5.351349,0.1,Melo,4.452318,4.244233,0.48,2.213746,1,1
305,22,v20-scene-d22,6.093386,5.424969,0.12,Nari,4.724858,3.720113,0.62,2.186185,1,1
306,22,v20-scene-d22,5.576874,5.254619,0.14,Ori,4.959331,3.544082,0.44,1.818597,1,1
307,22,v20-scene-d22,5.314731,5.24115,0.16,Vonn,5.897627,3.282227,0.7,2.043807,1,1
308,23,v20-scene-d23,4.80289,5.033235,0.1,Keth,6.551685,3.346796,0.55,2.429477,1,1
309,23,v20-scene-d23,4.632065,4.929867,0.12,Melo,7.003159,3.522433,0.48,2.757346,1,1
310,23,v20-scene-d23,4.518526,4.799075,0.14,Nari,7.472823,3.982153,0.62,3.065164,1,1
311,23,v20-scene-d23,4.230378,4.648429,0.16,Ori,7.544152,4.211482,0.44,3.342457,1,1
312,23,v20-scene-d23,4.252988,4.286333,0.18,Vonn,7.29387,4.861634,0.7,3.094824,1,1
313,23,v20-scene-d23,4.34876,4.121668,0.1,Sova,7.249598,4.903487,0.34,3.004347,1,1
314,23,v20-scene-d23,4.277032,3.963425,0.12,Keth,6.484175,5.268959,0.55,2.564352,1,1
315,23,v20-scene-d23,4.514109,3.820323,0.14,Melo,5.965419,5.319746,0.48,2.086761,1,1
316,23,v20-scene-d23,4.813412,3.50045,0.16,Nari,5.160555,5.157464,0.62,1.692987,1,1
317,23,v20-scene-d23,4.925758,3.41092,0.18,Ori,4.885604,5.008947,0.44,1.598531,1,1
318,23,v20-scene-d23,5.31974,3.357576,0.1,Vonn,4.457511,4.400291,0.7,1.353031,1,1
319,23,v20-scene-d23,5.74221,3.344746,0.12,Sova,4.451821,4.349434,0.34,1.63539,1,1
320,23,v20-scene-d23,5.938826,3.175061,0.14,Keth,4.696323,3.748274,0.55,1.368352,1,1
321,23,v20-scene-d23,6.374654,3.249345,0.16,Melo,5.05055,3.493758,0.48,1.346473,1,1
322,24,v20-scene-d24,6.767824,3.306452,0.1,Ori,5.815553,3.287248,0.44,0.952465,1,1
323,24,v20-scene-d24,7.141715,3.479239,0.12,Vonn,6.811116,3.430809,0.7,0.334127,0,1
324,24,v20-scene-d24,7.467793,3.685351,0.14,Sova,6.876116,3.458572,0.34,0.633648,1,1
325,24,v20-scene-d24,7.495753,3.91825,0.16,Keth,7.455987,3.950171,0.55,0.050993,0,1
326,24,v20-scene-d24,7.697724,3.970277,0.18,Melo,7.549921,4.289722,0.48,0.351981,0,1
327,24,v20-scene-d24,7.828597,4.232971,0.1,Nari,7.32951,4.824352,0.62,0.773834,1,1
328,24,v20-scene-d24,7.646243,4.497425,0.12,Ori,7.112844,5.010002,0.44,0.739763,1,1
329,24,v20-scene-d24,7.631597,4.754659,0.14,Vonn,6.202275,5.311277,0.7,1.533879,1,1
330,24,v20-scene-d24,7.548623,4.795993,0.16,Sova,6.125217,5.316666,0.34,1.515647,1,1
331,24,v20-scene-d24,7.164146,5.013415,0.18,Keth,5.20425,5.17532,0.55,1.966572,1,1
332,24,v20-scene-d24,6.967566,5.199913,0.1,Melo,4.806217,4.95058,0.48,2.175683,1,1
333,24,v20-scene-d24,6.730467,5.349772,0.12,Nari,4.465528,4.44402,0.62,2.439331,1,1
334,24,v20-scene-d24,6.226128,5.25881,0.14,Ori,4.456043,4.21002,0.44,2.057465,1,1
335,24,v20-scene-d24,5.948968,5.324553,0.16,Vonn,4.874723,3.598535,0.7,2.033013,1,1
