tick,day,ceremony_id,object_name,from_x,from_y,to_x,to_y,arc_height,motion_duration_ms,object_motion_traceable,object_owner_preserved
256,19,v20-ceremony-d19-t04,listening shell,5.942327,4.158015,5.900013,4.496326,0.329432,560,1,1
257,19,v20-ceremony-d19-t05,ember bowl,5.72908,4.113296,5.831583,4.483435,0.329309,595,1,1
258,19,v20-ceremony-d19-t06,path cord,5.560741,4.016645,5.5949,4.246602,0.324328,630,1,1
259,19,v20-ceremony-d19-t07,tally beads,5.465212,3.884084,5.446204,4.078414,0.315314,420,1,1
260,19,v20-ceremony-d19-t08,ink ledger,5.458329,3.737584,5.667751,3.808067,0.223762,455,1,1
261,19,v20-ceremony-d19-t09,sap hook,5.541233,3.601431,5.589531,3.712085,0.291587,490,1,1
262,19,v20-ceremony-d19-t10,listening shell,5.700181,3.498192,6.138891,3.547926,0.200806,525,0,1
263,19,v20-ceremony-d19-t11,ember bowl,5.908826,3.444981,6.142194,3.544078,0.193206,560,1,1
264,19,v20-ceremony-d19-t12,path cord,6.132585,3.450617,6.6771,3.600843,0.270048,595,1,1
265,19,v20-ceremony-d19-t13,tally beads,6.334366,3.514166,6.793704,3.707118,0.271855,630,1,1
266,20,v20-ceremony-d20-t00,sap hook,6.519002,3.680849,6.929959,3.950011,0.202148,420,0,1
267,20,v20-ceremony-d20-t01,listening shell,6.548549,3.826136,6.965028,4.282182,0.213239,455,1,1
268,20,v20-ceremony-d20-t02,ember bowl,6.487169,3.967091,6.911531,4.304587,0.30545,490,1,1
269,20,v20-ceremony-d20-t03,path cord,6.345037,4.080349,6.631759,4.513969,0.316757,525,1,1
270,20,v20-ceremony-d20-t04,tally beads,6.145712,4.147136,6.288214,4.55802,0.325287,560,1,1
271,20,v20-ceremony-d20-t05,ink ledger,5.922234,4.156383,6.004644,4.506563,0.329626,595,1,1
272,20,v20-ceremony-d20-t06,sap hook,5.711647,4.106557,5.675568,4.442728,0.329053,630,1,1
273,20,v20-ceremony-d20-t07,listening shell,5.548856,4.005916,5.516853,4.15578,0.323665,420,1,1
274,20,v20-ceremony-d20-t08,ember bowl,5.460847,3.871143,5.474767,4.130712,0.234355,455,1,1
275,20,v20-ceremony-d20-t09,path cord,5.462206,3.724577,5.615928,3.823097,0.302664,490,1,1
276,20,v20-ceremony-d20-t10,tally beads,5.55271,3.590513,5.680649,3.683768,0.290532,525,1,1
277,20,v20-ceremony-d20-t11,ink ledger,5.717355,3.491174,6.181081,3.552262,0.27997,560,1,1
278,20,v20-ceremony-d20-t12,sap hook,5.928851,3.443025,6.177963,3.540027,0.272728,595,1,1
279,20,v20-ceremony-d20-t13,listening shell,6.152141,3.454047,6.762481,3.653526,0.190006,630,0,1
280,21,v20-ceremony-d21-t00,path cord,6.416912,3.565198,7.004262,3.823348,0.274587,420,1,1
281,21,v20-ceremony-d21-t01,tally beads,6.52535,3.693434,6.989379,3.988683,0.203048,455,1,1
282,21,v20-ceremony-d21-t02,ink ledger,6.546707,3.839334,7.054616,4.262363,0.294319,490,1,1
283,21,v20-ceremony-d21-t03,sap hook,6.477443,3.978714,6.782491,4.36248,0.306532,525,1,1
284,21,v20-ceremony-d21-t04,listening shell,6.329038,4.088471,6.460211,4.545222,0.317662,560,1,1
285,21,v20-ceremony-d21-t05,ember bowl,6.126093,4.150411,6.387368,4.550695,0.325864,595,0,1
286,21,v20-ceremony-d21-t06,path cord,5.902247,4.154268,5.987853,4.513852,0.32978,630,1,1
287,21,v20-ceremony-d21-t07,tally beads,5.694604,4.099402,5.681228,4.416602,0.328759,420,1,1
288,21,v20-ceremony-d21-t08,ink ledger,5.537583,3.994908,5.5995,4.17722,0.242971,455,1,1
289,21,v20-ceremony-d21-t09,sap hook,5.457211,3.858106,5.395189,4.061277,0.313375,490,1,1
290,21,v20-ceremony-d21-t10,listening shell,5.466812,3.711672,5.657045,3.742214,0.301563,525,1,1
291,21,v20-ceremony-d21-t11,ember bowl,5.564793,3.579879,5.646193,3.722274,0.289491,560,1,1
292,21,v20-ceremony-d21-t12,path cord,5.734913,3.484574,6.116077,3.556224,0.199162,595,1,0
293,21,v20-ceremony-d21-t13,tally beads,5.948973,3.441553,6.28741,3.541933,0.272286,630,1,1
294,22,v20-ceremony-d22-t00,sap hook,6.257431,3.481869,6.624763,3.637033,0.270524,420,1,1
295,22,v20-ceremony-d22-t01,listening shell,6.429833,3.575401,7.021151,3.912146,0.195191,455,1,1
296,22,v20-ceremony-d22-t02,ember bowl,6.530987,3.706162,6.995688,3.936859,0.28397,490,1,1
297,22,v20-ceremony-d22-t03,path cord,6.544125,3.852478,7.024936,4.246861,0.295407,525,1,1
298,22,v20-ceremony-d22-t04,tally beads,6.46707,3.990095,6.794246,4.392488,0.307605,560,1,1
299,22,v20-ceremony-d22-t05,ink ledger,6.312594,4.096203,6.567527,4.539499,0.238542,595,0,1
300,22,v20-ceremony-d22-t06,sap hook,6.106303,4.153212,6.212219,4.559242,0.326406,630,1,1
301,22,v20-ceremony-d22-t07,listening shell,5.882392,4.151673,5.827542,4.466408,0.329893,420,1,1
302,22,v20-ceremony-d22-t08,ember bowl,5.677975,4.091842,5.761476,4.451171,0.248425,455,1,1
303,22,v20-ceremony-d22-t09,path cord,5.526936,3.983635,5.566327,4.193537,0.322245,490,1,1
304,22,v20-ceremony-d22-t10,tally beads,5.454312,3.84499,5.446159,4.022117,0.312378,525,1,1
305,22,v20-ceremony-d22-t11,ink ledger,5.47214,3.698887,5.712429,3.760057,0.300459,560,1,1
306,22,v20-ceremony-d22-t12,sap hook,5.577465,3.569544,5.649665,3.672041,0.288464,595,1,1
307,22,v20-ceremony-d22-t13,listening shell,5.752829,3.478401,6.223814,3.541113,0.278381,630,1,1
308,23,v20-ceremony-d23-t00,path cord,6.062512,3.442333,6.585843,3.573398,0.270518,420,1,1
309,23,v20-ceremony-d23-t01,tally beads,6.275146,3.488286,6.72158,3.661217,0.190749,455,1,1
310,23,v20-ceremony-d23-t02,ink ledger,6.442172,3.585908,7.086411,3.891076,0.195828,490,0,1
311,23,v20-ceremony-d23-t03,sap hook,6.535904,3.719018,6.942076,4.005741,0.284915,525,1,1
312,23,v20-ceremony-d23-t04,listening shell,6.540805,3.865551,6.921935,4.330817,0.296501,560,1,1
313,23,v20-ceremony-d23-t05,ember bowl,6.456064,4.001219,6.864799,4.351743,0.308668,595,1,1
314,23,v20-ceremony-d23-t06,path cord,6.295726,4.103533,6.552087,4.534479,0.319398,630,1,1
315,23,v20-ceremony-d23-t07,tally beads,6.086369,4.155533,6.20271,4.559873,0.326912,420,1,1
316,23,v20-ceremony-d23-t08,ink ledger,5.862696,4.148602,5.930277,4.478732,0.249966,455,0,1
317,23,v20-ceremony-d23-t09,sap hook,5.661782,4.083886,5.612802,4.404473,0.328052,490,1,1
318,23,v20-ceremony-d23-t10,listening shell,5.51693,3.972114,5.503756,4.100145,0.321489,525,1,1
319,23,v20-ceremony-d23-t11,ember bowl,5.452152,3.831813,5.46591,4.074717,0.311364,560,1,1
320,23,v20-ceremony-d23-t12,path cord,5.478183,3.686238,5.658162,3.774137,0.299355,595,1,1
321,23,v20-ceremony-d23-t13,tally beads,5.590711,3.559521,5.745275,3.646879,0.207453,630,1,1
322,24,v20-ceremony-d24-t00,sap hook,5.858988,3.452033,6.077777,3.543624,0.274571,420,1,1
323,24,v20-ceremony-d24-t01,listening shell,6.082582,3.444081,6.680558,3.615404,0.190334,455,0,1
324,24,v20-ceremony-d24-t02,ember bowl,6.292488,3.495126,6.678058,3.629286,0.271014,490,1,1
325,24,v20-ceremony-d24-t03,path cord,6.453911,3.596706,7.037993,3.875085,0.276499,525,1,1
326,24,v20-ceremony-d24-t04,tally beads,6.540094,3.731984,6.994961,4.044861,0.285879,560,1,1
327,24,v20-ceremony-d24-t05,ink ledger,6.536753,3.878536,7.014755,4.312176,0.2976,595,1,1
328,24,v20-ceremony-d24-t06,sap hook,6.44444,4.01207,6.726422,4.405001,0.309719,630,1,1
329,24,v20-ceremony-d24-t07,listening shell,6.278458,4.110452,6.376138,4.555638,0.320227,420,1,1
330,24,v20-ceremony-d24-t08,ember bowl,6.066318,4.157373,6.302608,4.558333,0.247382,455,1,1
331,24,v20-ceremony-d24-t09,path cord,5.843186,4.145058,5.912125,4.48766,0.329998,490,1,1
332,24,v20-ceremony-d24-t10,tally beads,5.646048,4.075546,5.623109,4.37529,0.327642,525,1,1
333,24,v20-ceremony-d24-t11,ink ledger,5.507579,3.96036,5.582764,4.12201,0.320704,560,1,0
334,24,v20-ceremony-d24-t12,sap hook,5.450734,3.818593,5.398022,4.00501,0.310334,595,1,1
335,24,v20-ceremony-d24-t13,listening shell,5.484934,3.673744,5.712362,3.699267,0.298251,630,1,1
