tick,choice_id,lineage,agent,public_state,selected_branch_panel,mutable_state_panel,restore_panel,followup_panel,rollback_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
51,51,Orchardline,Ori,choice 51: Ori/Orchardline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.26,restore survives=True; restore_hash=df2ca3f9f0bf4f7d,Ori: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-051; replay=86b1c41e8bd8eb83,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.18; flower=204.1,False,ssrm254_browser_world_v14_branch_state,62c215d410129a2624
52,52,Orchardline,Ori,choice 52: Ori/Orchardline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.88; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.66; boundary=0.25,restore survives=True; restore_hash=016d9029f0d2ec62,Ori: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-052; replay=827f5da1fb3a1789,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.18; flower=341.6,False,ssrm254_browser_world_v14_branch_state,6e2806d829ca1cae74
53,53,Orchardline,Ori,choice 53: Ori/Orchardline selected summary_then_decide,Request public summary before choosing access.; parsed=0.87; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.63; boundary=0.27",restore survives=True; restore_hash=8c4daf7c0f813731,Ori: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-053; replay=6f5c3651256f4660,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.18; flower=119.1,False,ssrm254_browser_world_v14_branch_state,29a5d16bafad76243b
54,54,Orchardline,Ori,choice 54: Ori/Orchardline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.86; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.57; boundary=0.35,restore survives=True; restore_hash=e88018b3628dfc35,"Ori: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-054; replay=3d7001ffb458181b,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.18; flower=256.6,False,ssrm254_browser_world_v14_branch_state,b037930e025d3821fc
55,55,Orchardline,Ori,choice 55: Ori/Orchardline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.63; boundary=0.28",restore survives=True; restore_hash=b02a5493f6a82eb4,Ori: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-055; replay=777eeb1bb182a1d4,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.18; flower=34.1,False,ssrm254_browser_world_v14_branch_state,8d292faaa4172e9f59
56,56,Rainline,Vonn,choice 56: Vonn/Rainline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.89; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.26,restore survives=True; restore_hash=896e75e831d63ead,Vonn: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-056; replay=c4f41c9121e823d9,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.18; flower=168.0,False,ssrm254_browser_world_v14_branch_state,e2340e1ebacfb353ea
57,57,Rainline,Vonn,choice 57: Vonn/Rainline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.65; boundary=0.25,restore survives=True; restore_hash=fb5b29320e589b89,Vonn: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-057; replay=1163ad7aa91e29f7,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.18; flower=305.5,False,ssrm254_browser_world_v14_branch_state,0e27f8e3542d8ba243
58,58,Rainline,Vonn,choice 58: Vonn/Rainline selected summary_then_decide,Request public summary before choosing access.; parsed=0.89; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.62; boundary=0.27",restore survives=True; restore_hash=52ce0c0aced7adab,Vonn: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-058; replay=a8e91e244d561f2d,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.18; flower=83.0,False,ssrm254_browser_world_v14_branch_state,e0f35492e3d1d2421f
59,59,Rainline,Vonn,choice 59: Vonn/Rainline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.86; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.56; boundary=0.34,restore survives=True; restore_hash=2f7d0fcf10559e21,"Vonn: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-059; replay=06cb16d032b2a652,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.18; flower=220.5,False,ssrm254_browser_world_v14_branch_state,5421904ca290e0e44e
60,60,Rainline,Vonn,choice 60: Vonn/Rainline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.62; boundary=0.27",restore survives=True; restore_hash=30f562234a64feb5,Vonn: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-060; replay=a3c08b20d8ad63ab,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.18; flower=358.0,False,ssrm254_browser_world_v14_branch_state,04051c3fcbeb2e7118
61,61,Hearthline,Sova,choice 61: Sova/Hearthline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.65; boundary=0.26,restore survives=True; restore_hash=8df627c9863e0a71,Sova: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-061; replay=888daea6519de9f2,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.19; flower=138.0,False,ssrm254_browser_world_v14_branch_state,59092be29d89fa75f4
62,62,Hearthline,Sova,choice 62: Sova/Hearthline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.88; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.66; boundary=0.25,restore survives=True; restore_hash=781aacd4700a0d6e,Sova: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-062; replay=8d4618aaee9b4010,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.19; flower=275.5,False,ssrm254_browser_world_v14_branch_state,b9405a102afe3d4005
63,63,Hearthline,Sova,choice 63: Sova/Hearthline selected summary_then_decide,Request public summary before choosing access.; parsed=0.88; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.63; boundary=0.27",restore survives=True; restore_hash=e93d2361893f6481,Sova: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-063; replay=cf372c7546312416,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.19; flower=53.0,False,ssrm254_browser_world_v14_branch_state,e33a51b9d30cf1e467
64,64,Hearthline,Sova,choice 64: Sova/Hearthline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.85; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.57; boundary=0.35,restore survives=True; restore_hash=21c2375e4a30dc53,"Sova: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-064; replay=b0df48822a955ada,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.19; flower=190.5,False,ssrm254_browser_world_v14_branch_state,d9e152f694eb1c2381
65,65,Hearthline,Sova,choice 65: Sova/Hearthline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.63; boundary=0.28",restore survives=True; restore_hash=bdedd1381f4f07f9,Sova: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-065; replay=1dd5771dc7f795ad,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.19; flower=328.0,False,ssrm254_browser_world_v14_branch_state,82f5356c9c63eb3d65
66,66,Routeline,Keth,choice 66: Keth/Routeline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.89; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.63; boundary=0.26,restore survives=True; restore_hash=99398de7d4047d46,Keth: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-066; replay=56b9848046b03929,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.19; flower=103.7,False,ssrm254_browser_world_v14_branch_state,874a4d6348cc33861a
67,67,Routeline,Keth,choice 67: Keth/Routeline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.65; boundary=0.25,restore survives=True; restore_hash=cd2e45b77e7eb4c6,Keth: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-067; replay=3103d1823c70c45d,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.19; flower=241.2,False,ssrm254_browser_world_v14_branch_state,bbd0e9f92b4ce5d352
68,68,Routeline,Keth,choice 68: Keth/Routeline selected summary_then_decide,Request public summary before choosing access.; parsed=0.88; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.62; boundary=0.27",restore survives=True; restore_hash=907bc3a7c44695bd,no follow-up generated for this restored branch yet,rollback=True; checkpoint=r254-choice-068; replay=f450806f1197b552,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.19; flower=18.7,False,ssrm254_browser_world_v14_branch_state,54e8337822e02ab743
69,69,Routeline,Keth,choice 69: Keth/Routeline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.85; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.56; boundary=0.35,restore survives=True; restore_hash=ce63bf075330486a,"Keth: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-069; replay=f811e985cd407276,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.19; flower=156.2,False,ssrm254_browser_world_v14_branch_state,d2f91bd970e0b307ca
70,70,Routeline,Keth,choice 70: Keth/Routeline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.88; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.62; boundary=0.28",restore survives=True; restore_hash=c059414840f5ae12,Keth: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-070; replay=e31a2cb840791f99,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.19; flower=293.8,False,ssrm254_browser_world_v14_branch_state,bc7e0ccb00c866676d
71,71,Marketline,Melo,choice 71: Melo/Marketline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.27,restore survives=True; restore_hash=a2b887ba73c9f342,Melo: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-071; replay=ef6ce63f5af666d8,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.19; flower=75.2,False,ssrm254_browser_world_v14_branch_state,41144bb27ea69c175f
72,72,Marketline,Melo,choice 72: Melo/Marketline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.65; boundary=0.26,restore survives=True; restore_hash=b310371492a79009,Melo: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-072; replay=50f5c3b4599259ed,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.19; flower=212.7,False,ssrm254_browser_world_v14_branch_state,b4f27d5bc19682439d
73,73,Marketline,Melo,choice 73: Melo/Marketline selected summary_then_decide,Request public summary before choosing access.; parsed=0.88; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.62; boundary=0.27",restore survives=True; restore_hash=532c7c987542c38f,Melo: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-073; replay=eea15a38dbefda60,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.19; flower=350.2,False,ssrm254_browser_world_v14_branch_state,31bba6f4c12f94e789
74,74,Marketline,Melo,choice 74: Melo/Marketline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.86; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.56; boundary=0.35,restore survives=True; restore_hash=aced1d34fca9bf99,"Melo: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-074; replay=0420d998629e8586,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.19; flower=127.7,False,ssrm254_browser_world_v14_branch_state,3788b9eb4e96d4da9b
75,75,Marketline,Melo,choice 75: Melo/Marketline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.88; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.62; boundary=0.28",restore survives=True; restore_hash=162a54f036f7a7cf,Melo: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-075; replay=ef0ad8aecab85c4f,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.19; flower=265.2,False,ssrm254_browser_world_v14_branch_state,18d53ea402a0eef534
76,76,Ledgerline,Nari,choice 76: Nari/Ledgerline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.63; boundary=0.26,restore survives=True; restore_hash=2ab8a97ce50d7366,Nari: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-076; replay=d9683e050df3f50b,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.19; flower=37.4,False,ssrm254_browser_world_v14_branch_state,5ec3b431bc81237c8f
77,77,Ledgerline,Nari,choice 77: Nari/Ledgerline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.65; boundary=0.25,restore survives=True; restore_hash=d2919495aa002872,Nari: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-077; replay=46e7c978ec8c0d9b,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.19; flower=174.9,False,ssrm254_browser_world_v14_branch_state,3d609f90effcfe0106
78,78,Ledgerline,Nari,choice 78: Nari/Ledgerline selected summary_then_decide,Request public summary before choosing access.; parsed=0.88; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.62; boundary=0.27",restore survives=True; restore_hash=0a209778a37ecbac,Nari: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-078; replay=1ccc72bdf731b6a0,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.19; flower=312.4,False,ssrm254_browser_world_v14_branch_state,b3c5b9de79176c58d6
79,79,Ledgerline,Nari,choice 79: Nari/Ledgerline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.86; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.56; boundary=0.34,restore survives=True; restore_hash=e3ac65821539d5e8,"Nari: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-079; replay=280e928b4dd3d08d,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.19; flower=89.9,False,ssrm254_browser_world_v14_branch_state,0734827fac88b3a2fc
80,80,Ledgerline,Nari,choice 80: Nari/Ledgerline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.61; boundary=0.28",restore survives=True; restore_hash=f99204d7274797ae,Nari: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-080; replay=6032c05a5f5f37ad,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.19; flower=227.4,False,ssrm254_browser_world_v14_branch_state,12f927f6a0ead66aa9
81,81,Orchardline,Ori,choice 81: Ori/Orchardline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.87; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.27,restore survives=True; restore_hash=ee8484058bd3c1dd,Ori: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-081; replay=943d2486b616eb37,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.19; flower=9.3,False,ssrm254_browser_world_v14_branch_state,e6b34ca2fa41d77e2a
82,82,Orchardline,Ori,choice 82: Ori/Orchardline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.88; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.65; boundary=0.26,restore survives=True; restore_hash=befb8ad66c2960b1,Ori: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-082; replay=e96ad501d496e7d4,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.19; flower=146.8,False,ssrm254_browser_world_v14_branch_state,61d040cf0ef873d2d0
83,83,Orchardline,Ori,choice 83: Ori/Orchardline selected summary_then_decide,Request public summary before choosing access.; parsed=0.87; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.62; boundary=0.27",restore survives=True; restore_hash=c4ff430ebee81e97,Ori: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-083; replay=32cf5f484802af3d,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.19; flower=284.3,False,ssrm254_browser_world_v14_branch_state,40d0ceee42cd487691
84,84,Orchardline,Ori,choice 84: Ori/Orchardline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.85; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.56; boundary=0.35,restore survives=True; restore_hash=8fee4eb3f5e0ca17,"Ori: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-084; replay=e63b9ee3879010de,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.19; flower=61.9,False,ssrm254_browser_world_v14_branch_state,e0da59efc11322facb
85,85,Orchardline,Ori,choice 85: Ori/Orchardline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.62; boundary=0.28",restore survives=True; restore_hash=22341fcc675f6068,Ori: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-085; replay=c073551fef7a4d16,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.19; flower=199.4,False,ssrm254_browser_world_v14_branch_state,d3d3f33d7fa89eaa30
86,86,Rainline,Vonn,choice 86: Vonn/Rainline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.87; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.63; boundary=0.26,restore survives=True; restore_hash=d80cb25e77499de3,Vonn: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-086; replay=554c612835738a15,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.19; flower=333.2,False,ssrm254_browser_world_v14_branch_state,7df84b82f3a07c2fcb
87,87,Rainline,Vonn,choice 87: Vonn/Rainline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.89; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.65; boundary=0.25,restore survives=True; restore_hash=0f1644b1515bf7cc,Vonn: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-087; replay=768a3cf6ddc6adc3,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.19; flower=110.7,False,ssrm254_browser_world_v14_branch_state,71c12466c532911dc7
88,88,Rainline,Vonn,choice 88: Vonn/Rainline selected summary_then_decide,Request public summary before choosing access.; parsed=0.87; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.62; boundary=0.27",restore survives=True; restore_hash=ab575e6073b77105,no follow-up generated for this restored branch yet,rollback=True; checkpoint=r254-choice-088; replay=448453ba8dbf85cd,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.19; flower=248.2,False,ssrm254_browser_world_v14_branch_state,27d051411f97ec5716
89,89,Rainline,Vonn,choice 89: Vonn/Rainline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.87; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.56; boundary=0.35,restore survives=True; restore_hash=b219915409f637a9,"Vonn: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-089; replay=3d9b20a6a2f5f3e5,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.19; flower=25.8,False,ssrm254_browser_world_v14_branch_state,ce015ef4242cff13f0
90,90,Rainline,Vonn,choice 90: Vonn/Rainline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.89; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.61; boundary=0.28",restore survives=True; restore_hash=4fd62aecdef7231b,Vonn: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-090; replay=3aa7e2ccfa6808ba,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.19; flower=163.3,False,ssrm254_browser_world_v14_branch_state,c51a14d46bd2f94343
91,91,Hearthline,Sova,choice 91: Sova/Hearthline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.87; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.27,restore survives=True; restore_hash=5aa67f098e78216d,Sova: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-091; replay=184741519f8cb074,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.20; flower=303.2,False,ssrm254_browser_world_v14_branch_state,671e0602c86e4db158
92,92,Hearthline,Sova,choice 92: Sova/Hearthline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.66; boundary=0.26,restore survives=True; restore_hash=40637059f1f9cea4,Sova: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-092; replay=2b3bbfdf6bb0fd24,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.20; flower=80.7,False,ssrm254_browser_world_v14_branch_state,a778a756f4bf8b8edc
93,93,Hearthline,Sova,choice 93: Sova/Hearthline selected summary_then_decide,Request public summary before choosing access.; parsed=0.88; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.63; boundary=0.27",restore survives=True; restore_hash=0b3774f8bc98b460,Sova: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-093; replay=7788659bfe4cfd9a,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.20; flower=218.3,False,ssrm254_browser_world_v14_branch_state,0038059f6a759b290b
94,94,Hearthline,Sova,choice 94: Sova/Hearthline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.84; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.57; boundary=0.35,restore survives=True; restore_hash=8300c1b1d9ab5c79,"Sova: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-094; replay=7ead112c7ab31438,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.20; flower=355.8,False,ssrm254_browser_world_v14_branch_state,a0d11ffafc50dde52f
95,95,Hearthline,Sova,choice 95: Sova/Hearthline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.62; boundary=0.28",restore survives=True; restore_hash=08bb113b1715d302,Sova: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-095; replay=3bc8f3736149afde,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.20; flower=133.3,False,ssrm254_browser_world_v14_branch_state,13cf52fcd28b70dd2c
96,96,Routeline,Keth,choice 96: Keth/Routeline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.87; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.63; boundary=0.27,restore survives=True; restore_hash=aa4336e5c7aad633,Keth: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-096; replay=8dc3fd76b59704aa,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.20; flower=269.0,False,ssrm254_browser_world_v14_branch_state,2423e805a377e745a5
97,97,Routeline,Keth,choice 97: Keth/Routeline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.64; boundary=0.26,restore survives=True; restore_hash=ada53c54635f407e,Keth: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-097; replay=aba99c20a92373a8,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.20; flower=46.5,False,ssrm254_browser_world_v14_branch_state,8cdb7e5912e890befc
98,98,Routeline,Keth,choice 98: Keth/Routeline selected summary_then_decide,Request public summary before choosing access.; parsed=0.86; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.61; boundary=0.28",restore survives=True; restore_hash=a1e7bfd3aca53360,Keth: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-098; replay=5c17a59f35c4f289,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.20; flower=184.0,False,ssrm254_browser_world_v14_branch_state,1ae5223e8ed8ddd9d1
99,99,Routeline,Keth,choice 99: Keth/Routeline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.84; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.55; boundary=0.35,restore survives=True; restore_hash=6b6f311f345ef372,"Keth: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-099; replay=268ec64340fbc3b1,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.20; flower=321.5,False,ssrm254_browser_world_v14_branch_state,0610f067acf1e9d83f
100,100,Routeline,Keth,choice 100: Keth/Routeline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.61; boundary=0.28",restore survives=True; restore_hash=2afd2bb3cabbcfbd,Keth: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-100; replay=26806abf95b64065,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.20; flower=99.0,False,ssrm254_browser_world_v14_branch_state,048a94f36c7b00c621
101,101,Marketline,Melo,choice 101: Melo/Marketline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.87; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.63; boundary=0.27,restore survives=True; restore_hash=18563c328a89c371,Melo: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-101; replay=684fee58f2cae054,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.20; flower=240.4,False,ssrm254_browser_world_v14_branch_state,2f688d29be63005b79
