tick_id,day,settlement_id,snapshot_key,sensory_packet_count,tool_claim_count,dialogue_hook_count,task_consequence_count,sensory_memory_count,checksum,restored_sensory_visible,restored_tool_claim_visible,restored_dialogue_visible,restored_queue_consequence_visible,restored_sensory_memory_visible,replay_exportable
1833,102,repair_ring,ssrm.v42.snapshot.repair_ring.102.15,306,204,196,306,28,v42-891896,True,True,True,True,True,True
1835,102,roofward,ssrm.v42.snapshot.roofward.102.17,306,205,195,306,28,v42-790354,True,True,True,True,True,True
1836,103,signal,ssrm.v42.snapshot.signal.103.0,307,103,199,307,28,v42-695623,True,True,True,True,True,True
1853,103,archive,ssrm.v42.snapshot.archive.103.17,309,207,191,309,28,v42-748922,True,True,True,True,True,True
1854,104,orchard,ssrm.v42.snapshot.orchard.104.0,310,205,190,310,28,v42-723621,True,True,True,True,True,True
1871,104,signal,ssrm.v42.snapshot.signal.104.17,312,105,201,312,28,v42-707886,True,True,True,True,True,True
1872,105,repair_ring,ssrm.v42.snapshot.repair_ring.105.0,313,207,199,313,28,v42-874552,True,True,True,True,True,True
1880,105,roofward,ssrm.v42.snapshot.roofward.105.8,314,210,201,314,28,v42-768339,True,True,True,True,True,True
1889,105,orchard,ssrm.v42.snapshot.orchard.105.17,315,209,193,315,28,v42-749151,True,True,True,True,True,True
1890,106,riverbend,ssrm.v42.snapshot.riverbend.106.0,316,106,194,316,28,v42-803919,True,True,True,True,True,True
1907,106,repair_ring,ssrm.v42.snapshot.repair_ring.106.17,318,211,203,318,28,v42-891467,True,True,True,True,True,True
1908,107,roofward,ssrm.v42.snapshot.roofward.107.0,319,212,205,319,28,v42-771789,True,True,True,True,True,True
1925,107,riverbend,ssrm.v42.snapshot.riverbend.107.17,321,108,197,321,28,v42-822795,True,True,True,True,True,True
1926,108,archive,ssrm.v42.snapshot.archive.108.0,322,214,197,322,28,v42-729073,True,True,True,True,True,True
1927,108,signal,ssrm.v42.snapshot.signal.108.1,322,108,206,322,28,v42-693502,True,True,True,True,True,True
1943,108,roofward,ssrm.v42.snapshot.roofward.108.17,324,216,207,324,28,v42-790942,True,True,True,True,True,True
1944,109,signal,ssrm.v42.snapshot.signal.109.0,325,109,208,325,28,v42-696535,True,True,True,True,True,True
1961,109,archive,ssrm.v42.snapshot.archive.109.17,327,218,200,327,28,v42-748485,True,True,True,True,True,True
1962,110,orchard,ssrm.v42.snapshot.orchard.110.0,328,219,199,328,28,v42-733463,True,True,True,True,True,True
1974,110,orchard,ssrm.v42.snapshot.orchard.110.12,330,221,200,330,28,v42-738395,True,True,True,True,True,True
1979,110,signal,ssrm.v42.snapshot.signal.110.17,330,111,212,330,28,v42-706576,True,True,True,True,True,True
1980,111,repair_ring,ssrm.v42.snapshot.repair_ring.111.0,331,221,213,331,28,v42-867729,True,True,True,True,True,True
1997,111,orchard,ssrm.v42.snapshot.orchard.111.17,333,222,202,333,28,v42-743419,True,True,True,True,True,True
1998,112,riverbend,ssrm.v42.snapshot.riverbend.112.0,334,112,203,334,28,v42-798844,True,True,True,True,True,True
2015,112,repair_ring,ssrm.v42.snapshot.repair_ring.112.17,336,224,215,336,28,v42-892869,True,True,True,True,True,True
2016,113,roofward,ssrm.v42.snapshot.roofward.113.0,337,226,214,337,28,v42-772486,True,True,True,True,True,True
2021,113,riverbend,ssrm.v42.snapshot.riverbend.113.5,337,114,205,337,28,v42-804222,True,True,True,True,True,True
2033,113,riverbend,ssrm.v42.snapshot.riverbend.113.17,339,114,206,339,28,v42-823848,True,True,True,True,True,True
2034,114,archive,ssrm.v42.snapshot.archive.114.0,340,228,210,340,28,v42-725015,True,True,True,True,True,True
2051,114,roofward,ssrm.v42.snapshot.roofward.114.17,342,229,218,342,28,v42-791990,True,True,True,True,True,True
2052,115,signal,ssrm.v42.snapshot.signal.115.0,343,115,222,343,28,v42-693191,True,True,True,True,True,True
2068,115,roofward,ssrm.v42.snapshot.roofward.115.16,345,230,220,345,28,v42-788927,True,True,True,True,True,True
2069,115,archive,ssrm.v42.snapshot.archive.115.17,345,231,213,345,28,v42-747178,True,True,True,True,True,True
2070,116,orchard,ssrm.v42.snapshot.orchard.116.0,346,229,212,346,28,v42-730996,True,True,True,True,True,True
2087,116,signal,ssrm.v42.snapshot.signal.116.17,348,117,224,348,28,v42-717643,True,True,True,True,True,True
2088,117,repair_ring,ssrm.v42.snapshot.repair_ring.117.0,349,231,222,349,28,v42-876201,True,True,True,True,True,True
2105,117,orchard,ssrm.v42.snapshot.orchard.117.17,351,233,215,351,28,v42-747407,True,True,True,True,True,True
2106,118,riverbend,ssrm.v42.snapshot.riverbend.118.0,352,118,216,352,28,v42-804203,True,True,True,True,True,True
2115,118,signal,ssrm.v42.snapshot.signal.118.9,353,119,228,353,28,v42-701155,True,True,True,True,True,True
2123,118,repair_ring,ssrm.v42.snapshot.repair_ring.118.17,354,235,226,354,28,v42-896215,True,True,True,True,True,True
2124,119,roofward,ssrm.v42.snapshot.roofward.119.0,355,236,228,355,28,v42-776484,True,True,True,True,True,True
2141,119,riverbend,ssrm.v42.snapshot.riverbend.119.17,357,120,219,357,28,v42-826165,True,True,True,True,True,True
2142,120,archive,ssrm.v42.snapshot.archive.120.0,358,238,219,358,28,v42-733513,True,True,True,True,True,True
2159,120,roofward,ssrm.v42.snapshot.roofward.120.17,360,240,230,360,28,v42-786582,True,True,True,True,True,True
2160,121,signal,ssrm.v42.snapshot.signal.121.0,361,121,231,361,28,v42-691204,True,True,True,True,True,True
2162,121,repair_ring,ssrm.v42.snapshot.repair_ring.121.2,361,241,231,361,28,v42-871444,True,True,True,True,True,True
2177,121,archive,ssrm.v42.snapshot.archive.121.17,363,242,222,363,28,v42-746867,True,True,True,True,True,True
2178,122,orchard,ssrm.v42.snapshot.orchard.122.0,364,243,221,364,28,v42-728666,True,True,True,True,True,True
2195,122,signal,ssrm.v42.snapshot.signal.122.17,366,123,235,366,28,v42-716333,True,True,True,True,True,True
2196,123,repair_ring,ssrm.v42.snapshot.repair_ring.123.0,367,245,236,367,28,v42-878624,True,True,True,True,True,True
2209,123,riverbend,ssrm.v42.snapshot.riverbend.123.13,369,123,225,369,28,v42-825231,True,True,True,True,True,True
2213,123,orchard,ssrm.v42.snapshot.orchard.123.17,369,246,224,369,28,v42-753874,True,True,True,True,True,True
2214,124,riverbend,ssrm.v42.snapshot.riverbend.124.0,370,124,225,370,28,v42-802198,True,True,True,True,True,True
2231,124,repair_ring,ssrm.v42.snapshot.repair_ring.124.17,372,248,238,372,28,v42-897617,True,True,True,True,True,True
2232,125,roofward,ssrm.v42.snapshot.roofward.125.0,373,250,237,373,28,v42-774147,True,True,True,True,True,True
2249,125,riverbend,ssrm.v42.snapshot.riverbend.125.17,375,126,228,375,28,v42-827209,True,True,True,True,True,True
2250,126,archive,ssrm.v42.snapshot.archive.126.0,376,252,232,376,28,v42-732417,True,True,True,True,True,True
2256,126,archive,ssrm.v42.snapshot.archive.126.6,377,253,233,377,28,v42-735737,True,True,True,True,True,True
2267,126,roofward,ssrm.v42.snapshot.roofward.126.17,378,253,241,378,28,v42-796696,True,True,True,True,True,True
2268,127,signal,ssrm.v42.snapshot.signal.127.0,379,127,245,379,28,v42-702922,True,True,True,True,True,True
2285,127,archive,ssrm.v42.snapshot.archive.127.17,381,255,235,381,28,v42-751529,True,True,True,True,True,True
2286,128,orchard,ssrm.v42.snapshot.orchard.128.0,382,253,234,382,28,v42-732312,True,True,True,True,True,True
2303,128,signal,ssrm.v42.snapshot.signal.128.17,384,129,247,384,28,v42-721314,True,True,True,True,True,True
2304,129,repair_ring,ssrm.v42.snapshot.repair_ring.129.0,385,255,245,385,28,v42-880938,True,True,True,True,True,True
2321,129,orchard,ssrm.v42.snapshot.orchard.129.17,387,257,237,387,28,v42-757862,True,True,True,True,True,True
2322,130,riverbend,ssrm.v42.snapshot.riverbend.130.0,388,130,238,388,28,v42-807683,True,True,True,True,True,True
2339,130,repair_ring,ssrm.v42.snapshot.repair_ring.130.17,390,259,249,390,28,v42-897992,True,True,True,True,True,True
2340,131,roofward,ssrm.v42.snapshot.roofward.131.0,391,260,251,391,28,v42-772131,True,True,True,True,True,True
2350,131,repair_ring,ssrm.v42.snapshot.repair_ring.131.10,392,260,250,392,28,v42-891873,True,True,True,True,True,True
2357,131,riverbend,ssrm.v42.snapshot.riverbend.131.17,393,132,241,393,28,v42-823485,True,True,True,True,True,True
2358,132,archive,ssrm.v42.snapshot.archive.132.0,394,262,241,394,28,v42-731768,True,True,True,True,True,True
2375,132,roofward,ssrm.v42.snapshot.roofward.132.17,396,264,253,396,28,v42-797410,True,True,True,True,True,True
2376,133,signal,ssrm.v42.snapshot.signal.133.0,397,133,254,397,28,v42-700935,True,True,True,True,True,True
2393,133,archive,ssrm.v42.snapshot.archive.133.17,399,266,244,399,28,v42-757322,True,True,True,True,True,True
2394,134,orchard,ssrm.v42.snapshot.orchard.134.0,400,267,243,400,28,v42-726939,True,True,True,True,True,True
2397,134,roofward,ssrm.v42.snapshot.roofward.134.3,400,267,256,400,28,v42-772075,True,True,True,True,True,True
2411,134,signal,ssrm.v42.snapshot.signal.134.17,402,135,258,402,28,v42-713936,True,True,True,True,True,True
2412,135,repair_ring,ssrm.v42.snapshot.repair_ring.135.0,403,269,259,403,28,v42-877221,True,True,True,True,True,True
2429,135,orchard,ssrm.v42.snapshot.orchard.135.17,405,270,246,405,28,v42-749105,True,True,True,True,True,True
2430,136,riverbend,ssrm.v42.snapshot.riverbend.136.0,406,136,247,406,28,v42-805570,True,True,True,True,True,True
2444,136,archive,ssrm.v42.snapshot.archive.136.14,408,273,251,408,28,v42-749867,True,True,True,True,True,True
2447,136,repair_ring,ssrm.v42.snapshot.repair_ring.136.17,408,272,261,408,28,v42-896207,True,True,True,True,True,True
2448,137,roofward,ssrm.v42.snapshot.roofward.137.0,409,274,260,409,28,v42-775790,True,True,True,True,True,True
2465,137,riverbend,ssrm.v42.snapshot.riverbend.137.17,411,138,250,411,28,v42-821360,True,True,True,True,True,True
2466,138,archive,ssrm.v42.snapshot.archive.138.0,412,276,254,412,28,v42-730690,True,True,True,True,True,True
2483,138,roofward,ssrm.v42.snapshot.roofward.138.17,414,277,264,414,28,v42-795298,True,True,True,True,True,True
2484,139,signal,ssrm.v42.snapshot.signal.139.0,415,139,268,415,28,v42-700535,True,True,True,True,True,True
2491,139,orchard,ssrm.v42.snapshot.orchard.139.7,416,276,254,416,28,v42-736273,True,True,True,True,True,True
2501,139,archive,ssrm.v42.snapshot.archive.139.17,417,279,257,417,28,v42-755898,True,True,True,True,True,True
2502,140,orchard,ssrm.v42.snapshot.orchard.140.0,418,277,256,418,28,v42-733736,True,True,True,True,True,True
2519,140,signal,ssrm.v42.snapshot.signal.140.17,420,141,270,420,28,v42-709905,True,True,True,True,True,True
2520,141,repair_ring,ssrm.v42.snapshot.repair_ring.141.0,421,279,268,421,28,v42-876564,True,True,True,True,True,True
2537,141,orchard,ssrm.v42.snapshot.orchard.141.17,423,281,259,423,28,v42-750158,True,True,True,True,True,True
2538,142,riverbend,ssrm.v42.snapshot.riverbend.142.0,424,142,260,424,28,v42-801854,True,True,True,True,True,True
2555,142,repair_ring,ssrm.v42.snapshot.repair_ring.142.17,426,283,272,426,28,v42-896582,True,True,True,True,True,True
2556,143,roofward,ssrm.v42.snapshot.roofward.143.0,427,284,274,427,28,v42-776844,True,True,True,True,True,True
2573,143,riverbend,ssrm.v42.snapshot.riverbend.143.17,429,144,263,429,28,v42-826864,True,True,True,True,True,True
2574,144,archive,ssrm.v42.snapshot.archive.144.0,430,286,263,430,28,v42-730041,True,True,True,True,True,True
2585,144,roofward,ssrm.v42.snapshot.roofward.144.11,431,287,276,431,28,v42-793014,True,True,True,True,True,True
2591,144,roofward,ssrm.v42.snapshot.roofward.144.17,432,288,276,432,28,v42-796012,True,True,True,True,True,True
