tick,day,scene_id,agent,sound_rate_hz,movement_rate_hz,object_resonance_hz,obligation_pressure,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_obligation,flower_phase
246,14,v24-scene-d14,Vonn,1.454,1.23,2.81,0.32,16.712,0.24,0.02,0.02,1,104.027944
247,14,v24-scene-d14,Melo,1.396,1.18,3.0,0.24,17.212,0.1,0.02,0.02,1,235.249708
248,14,v24-scene-d14,Nari,1.368,1.12,2.78,0.08,17.212,0.1,0.12,0.02,1,356.321472
249,14,v24-scene-d14,Ori,1.38,1.12,2.89,0.08,17.212,0.1,0.12,0.02,1,135.243236
250,14,v24-scene-d14,Sova,1.392,1.12,2.12,0.08,18.112,0.1,0.12,0.02,1,264.485
251,14,v24-scene-d14,Sova,1.514,1.23,2.45,0.32,18.112,0.1,0.05,0.02,1,68.626764
252,15,v24-scene-d15,Nari,1.2,1.12,2.12,0.08,17.22,0.1,0.12,0.02,1,176.236528
253,15,v24-scene-d15,Keth,1.212,1.12,2.34,0.08,17.22,0.1,0.12,0.02,1,316.368292
254,15,v24-scene-d15,Keth,1.264,1.18,2.45,0.32,17.22,0.1,0.05,0.02,1,115.350056
255,15,v24-scene-d15,Keth,1.236,1.12,2.56,0.08,17.22,0.1,0.12,0.02,1,234.21182
256,15,v24-scene-d15,Melo,1.248,1.12,2.89,0.08,17.22,0.1,0.12,0.02,1,15.553584
257,15,v24-scene-d15,Keth,1.26,1.12,2.7,0.12,17.22,0.1,0.05,0.02,0,154.095348
258,15,v24-scene-d15,Melo,1.382,1.23,3.11,0.32,17.22,0.1,0.05,0.02,1,316.197112
259,15,v24-scene-d15,Melo,1.284,1.12,2.12,0.08,17.22,0.1,0.12,0.02,1,60.218876
260,15,v24-scene-d15,Ori,1.296,1.12,3.0,0.08,17.22,0.1,0.12,0.02,1,207.61064
261,15,v24-scene-d15,Keth,1.308,1.12,2.04,0.12,17.22,0.1,0.05,0.02,0,337.682404
262,15,v24-scene-d15,Melo,1.36,1.18,2.45,0.24,17.22,0.1,0.02,0.02,1,131.204168
263,15,v24-scene-d15,Melo,1.332,1.12,2.56,0.08,17.22,0.1,0.12,0.02,1,255.905932
264,15,v24-scene-d15,Keth,1.344,1.12,2.45,0.08,17.22,0.1,0.12,0.02,1,32.407696
265,15,v24-scene-d15,Nari,1.356,1.12,2.59,0.12,17.22,0.1,0.05,0.02,0,174.57946
266,15,v24-scene-d15,Keth,1.368,1.12,2.67,0.08,17.22,0.1,0.12,0.02,1,310.251224
267,15,v24-scene-d15,Melo,1.38,1.12,3.0,0.08,17.22,0.1,0.12,0.02,1,91.592988
268,15,v24-scene-d15,Melo,1.392,1.12,3.11,0.08,17.22,0.1,0.12,0.02,0,230.514752
269,15,v24-scene-d15,Vonn,1.404,1.16,2.04,0.14,16.72,0.24,0.07,0.055,1,2.076516
270,16,v24-scene-d16,Ori,1.2,1.12,3.0,0.08,17.228,0.1,0.12,0.02,1,141.05628
271,16,v24-scene-d16,Keth,1.212,1.12,2.12,0.08,17.228,0.1,0.12,0.02,1,269.088044
272,16,v24-scene-d16,Keth,1.224,1.12,2.23,0.08,17.228,0.1,0.12,0.02,1,48.009808
273,16,v24-scene-d16,Vonn,1.236,1.12,2.48,0.12,16.728,0.24,0.05,0.02,0,191.391572
274,16,v24-scene-d16,Keth,1.358,1.23,2.45,0.24,17.228,0.1,0.02,0.02,1,342.813336
275,16,v24-scene-d16,Ori,1.26,1.12,2.45,0.08,17.228,0.1,0.12,0.02,1,103.5651
276,16,v24-scene-d16,Nari,1.272,1.12,2.78,0.08,17.228,0.1,0.12,0.02,1,244.906864
277,16,v24-scene-d16,Keth,1.284,1.18,2.78,0.2,17.228,0.1,0.09,0.02,1,33.238628
278,16,v24-scene-d16,Vonn,1.296,1.12,2.45,0.08,17.228,0.1,0.12,0.02,1,156.700392
279,16,v24-scene-d16,Melo,1.348,1.18,2.12,0.24,17.228,0.1,0.02,0.02,1,305.002156
280,16,v24-scene-d16,Ori,1.43,1.23,3.0,0.24,17.228,0.1,0.02,0.02,1,95.13392
281,16,v24-scene-d16,Sova,1.332,1.12,2.45,0.08,18.128,0.1,0.12,0.02,1,209.835684
282,16,v24-scene-d16,Sova,1.344,1.12,2.34,0.08,18.128,0.1,0.12,0.02,1,346.337448
283,16,v24-scene-d16,Vonn,1.356,1.16,2.48,0.08,16.728,0.24,0.12,0.02,1,126.829212
284,16,v24-scene-d16,Nari,1.478,1.23,2.56,0.32,17.228,0.1,0.05,0.02,1,286.980976
285,16,v24-scene-d16,Melo,1.38,1.12,2.78,0.08,17.228,0.1,0.12,0.02,1,44.31274
286,16,v24-scene-d16,Vonn,1.392,1.12,2.23,0.08,17.228,0.1,0.12,0.02,1,175.974504
287,16,v24-scene-d16,Keth,1.404,1.16,2.78,0.08,17.228,0.1,0.12,0.02,1,320.976268
288,17,v24-scene-d17,Melo,1.2,1.12,3.11,0.08,17.236,0.1,0.12,0.02,1,97.406032
289,17,v24-scene-d17,Keth,1.212,1.12,2.92,0.12,17.236,0.1,0.05,0.02,0,235.947796
290,17,v24-scene-d17,Melo,1.224,1.12,2.23,0.08,17.236,0.1,0.12,0.02,1,3.14956
291,17,v24-scene-d17,Vonn,1.346,1.23,2.78,0.32,17.236,0.1,0.05,0.02,1,169.711324
292,17,v24-scene-d17,Sova,1.248,1.12,2.56,0.08,18.136,0.1,0.12,0.02,1,282.203088
293,17,v24-scene-d17,Vonn,1.26,1.12,3.0,0.08,17.236,0.1,0.12,0.02,1,64.754852
294,17,v24-scene-d17,Nari,1.272,1.12,2.56,0.08,17.236,0.1,0.12,0.02,1,197.626616
295,17,v24-scene-d17,Vonn,1.284,1.16,2.12,0.08,17.236,0.1,0.12,0.02,1,331.73838
296,17,v24-scene-d17,Vonn,1.406,1.23,2.81,0.32,16.736,0.24,0.05,0.02,1,138.600144
297,17,v24-scene-d17,Ori,1.308,1.12,2.67,0.08,17.236,0.1,0.12,0.02,1,251.971908
298,17,v24-scene-d17,Vonn,1.43,1.23,3.03,0.32,16.736,0.24,0.02,0.02,1,56.443672
299,17,v24-scene-d17,Vonn,1.442,1.23,2.04,0.32,16.736,0.24,0.02,0.02,1,183.265436
300,17,v24-scene-d17,Vonn,1.454,1.23,2.15,0.32,16.736,0.24,0.02,0.02,1,322.1872
301,17,v24-scene-d17,Nari,1.356,1.12,2.15,0.12,17.236,0.1,0.05,0.02,0,80.018964
302,17,v24-scene-d17,Ori,1.368,1.12,2.12,0.08,17.236,0.1,0.12,0.02,1,214.480728
303,17,v24-scene-d17,Nari,1.49,1.23,2.45,0.32,17.236,0.1,0.05,0.02,1,18.622492
304,17,v24-scene-d17,Keth,1.392,1.12,2.45,0.08,17.236,0.1,0.12,0.02,1,133.534256
305,17,v24-scene-d17,Vonn,1.514,1.23,2.7,0.32,16.736,0.24,0.02,0.02,0,296.79602
306,18,v24-scene-d18,Sova,1.31,1.27,2.78,0.24,18.144,0.14,0.02,0.02,1,67.115784
307,18,v24-scene-d18,Keth,1.212,1.12,2.78,0.08,17.244,0.14,0.12,0.02,1,186.627548
308,18,v24-scene-d18,Ori,1.224,1.18,2.78,0.24,17.244,0.14,0.02,0.02,1,337.879312
309,18,v24-scene-d18,Keth,1.236,1.12,2.92,0.12,17.244,0.14,0.05,0.02,0,106.511076
310,18,v24-scene-d18,Keth,1.248,1.12,3.11,0.08,17.244,0.14,0.12,0.02,1,243.39284
311,18,v24-scene-d18,Ori,1.33,1.23,3.11,0.2,17.244,0.14,0.09,0.02,1,34.464604
312,18,v24-scene-d18,Vonn,1.382,1.23,2.37,0.32,16.744,0.28,0.02,0.02,1,173.476368
313,18,v24-scene-d18,Nari,1.394,1.27,2.45,0.32,17.244,0.14,0.02,0.02,1,313.308132
314,18,v24-scene-d18,Keth,1.296,1.12,2.45,0.08,17.244,0.14,0.12,0.02,1,66.979896
315,18,v24-scene-d18,Vonn,1.418,1.23,2.7,0.32,16.744,0.28,0.02,0.02,1,230.24166
316,18,v24-scene-d18,Sova,1.32,1.18,2.78,0.2,18.144,0.14,0.09,0.02,1,356.653424
317,18,v24-scene-d18,Melo,1.332,1.12,2.92,0.12,17.244,0.14,0.05,0.02,0,128.205188
318,18,v24-scene-d18,Keth,1.344,1.12,2.89,0.08,17.244,0.14,0.12,0.02,1,262.666952
319,18,v24-scene-d18,Vonn,1.466,1.23,2.04,0.32,16.744,0.28,0.02,0.02,1,53.828716
320,18,v24-scene-d18,Keth,1.478,1.23,3.11,0.32,17.244,0.14,0.05,0.02,1,203.31048
321,18,v24-scene-d18,Melo,1.38,1.12,2.34,0.08,17.244,0.14,0.12,0.02,1,309.752244
322,18,v24-scene-d18,Ori,1.392,1.12,2.12,0.08,17.244,0.14,0.12,0.02,1,85.044008
323,18,v24-scene-d18,Sova,1.404,1.12,2.45,0.08,18.144,0.14,0.12,0.02,1,226.385772
324,19,v24-scene-d19,Melo,1.31,1.23,2.67,0.32,17.252,0.1,0.05,0.02,1,25.645536
325,19,v24-scene-d19,Melo,1.322,1.23,2.78,0.32,17.252,0.1,0.02,0.02,1,164.5673
326,19,v24-scene-d19,Ori,1.224,1.12,2.56,0.08,17.252,0.1,0.12,0.02,1,277.059064
327,19,v24-scene-d19,Sova,1.236,1.12,2.89,0.08,18.152,0.1,0.12,0.02,1,58.400828
328,19,v24-scene-d19,Nari,1.288,1.18,3.0,0.32,17.252,0.1,0.05,0.02,1,217.382592
329,19,v24-scene-d19,Sova,1.26,1.12,3.03,0.12,18.152,0.1,0.05,0.02,0,338.284356
330,19,v24-scene-d19,Vonn,1.382,1.23,2.15,0.32,16.752,0.24,0.05,0.02,1,126.19612
331,19,v24-scene-d19,Keth,1.394,1.23,2.12,0.32,17.252,0.1,0.05,0.02,1,263.577884
332,19,v24-scene-d19,Vonn,1.296,1.16,2.37,0.08,16.752,0.24,0.12,0.02,1,22.479648
333,19,v24-scene-d19,Ori,1.308,1.12,2.15,0.12,17.252,0.1,0.05,0.02,0,159.451412
334,19,v24-scene-d19,Keth,1.39,1.23,2.45,0.2,17.252,0.1,0.09,0.02,1,310.903176
335,19,v24-scene-d19,Melo,1.442,1.23,2.78,0.32,17.252,0.1,0.05,0.02,1,101.68494
336,19,v24-scene-d19,Sova,1.344,1.12,3.0,0.08,18.152,0.1,0.12,0.02,1,219.016704
337,19,v24-scene-d19,Nari,1.356,1.12,2.89,0.08,17.252,0.1,0.12,0.02,1,355.518468
338,19,v24-scene-d19,Keth,1.368,1.18,2.89,0.2,17.252,0.1,0.09,0.02,1,143.850232
339,19,v24-scene-d19,Ori,1.49,1.23,2.89,0.24,17.252,0.1,0.02,0.02,1,287.901996
340,19,v24-scene-d19,Sova,1.392,1.12,2.34,0.08,18.152,0.1,0.12,0.02,1,42.60376
341,19,v24-scene-d19,Nari,1.404,1.12,2.15,0.12,17.252,0.1,0.05,0.02,0,181.145524
342,20,v24-scene-d20,Keth,1.31,1.23,2.23,0.24,17.26,0.1,0.02,0.02,0,330.105288
343,20,v24-scene-d20,Ori,1.212,1.18,2.23,0.2,17.26,0.1,0.09,0.02,1,101.477052
344,20,v24-scene-d20,Keth,1.224,1.12,2.45,0.08,17.26,0.1,0.12,0.02,1,230.988816
345,20,v24-scene-d20,Vonn,1.236,1.12,2.7,0.12,16.76,0.24,0.05,0.02,0,14.37058
346,20,v24-scene-d20,Melo,1.248,1.16,2.89,0.08,17.26,0.1,0.12,0.02,1,152.492344
347,20,v24-scene-d20,Vonn,1.3,1.18,2.92,0.24,16.76,0.24,0.02,0.02,1,303.514108
348,20,v24-scene-d20,Vonn,1.272,1.16,3.03,0.08,16.76,0.24,0.12,0.02,1,69.455872
349,20,v24-scene-d20,Sova,1.284,1.12,2.15,0.12,18.16,0.1,0.05,0.02,0,199.167636
350,20,v24-scene-d20,Sova,1.406,1.23,2.12,0.24,18.16,0.1,0.02,0.02,1,350.5894
351,20,v24-scene-d20,Sova,1.308,1.12,2.23,0.08,18.16,0.1,0.12,0.02,1,112.551164
352,20,v24-scene-d20,Melo,1.32,1.12,2.45,0.08,17.26,0.1,0.12,0.02,1,252.682928
353,20,v24-scene-d20,Ori,1.442,1.29,2.23,0.36,17.26,0.1,-0.01,0.02,1,55.554692
354,20,v24-scene-d20,Vonn,1.344,1.12,3.11,0.08,17.26,0.1,0.12,0.02,1,175.366456
355,20,v24-scene-d20,Ori,1.356,1.18,2.45,0.2,17.26,0.1,0.09,0.02,1,316.43822
356,20,v24-scene-d20,Melo,1.368,1.12,2.89,0.08,17.26,0.1,0.12,0.02,1,88.369984
357,20,v24-scene-d20,Melo,1.38,1.12,2.92,0.12,17.26,0.1,0.05,0.02,0,229.331748
358,20,v24-scene-d20,Sova,1.392,1.12,3.0,0.08,18.16,0.1,0.12,0.02,1,5.003512
359,20,v24-scene-d20,Sova,1.444,1.18,2.23,0.24,18.16,0.1,0.02,0.02,1,148.465276
360,21,v24-scene-d21,Sova,1.2,1.12,2.34,0.08,18.168,0.1,0.12,0.02,1,269.49504
361,21,v24-scene-d21,Sova,1.212,1.12,2.15,0.12,18.168,0.1,0.05,0.02,0,48.036804
362,21,v24-scene-d21,Sova,1.224,1.12,2.56,0.08,18.168,0.1,0.12,0.02,1,187.338568
363,21,v24-scene-d21,Ori,1.236,1.12,2.23,0.08,17.268,0.1,0.12,0.02,1,321.420332
364,21,v24-scene-d21,Keth,1.358,1.23,2.45,0.24,17.268,0.1,0.02,0.02,1,118.512096
365,21,v24-scene-d21,Melo,1.26,1.12,2.7,0.12,17.268,0.1,0.05,0.02,0,244.93386
366,21,v24-scene-d21,Melo,1.272,1.12,2.89,0.08,17.268,0.1,0.12,0.02,1,21.815624
367,21,v24-scene-d21,Keth,1.284,1.12,2.78,0.08,17.268,0.1,0.12,0.02,1,158.317388
368,21,v24-scene-d21,Ori,1.296,1.12,2.78,0.08,17.268,0.1,0.12,0.02,1,296.029152
369,21,v24-scene-d21,Melo,1.308,1.12,2.04,0.12,17.268,0.1,0.05,0.02,0,68.520916
370,21,v24-scene-d21,Vonn,1.32,1.12,2.23,0.08,16.768,0.24,0.12,0.02,1,205.40268
371,21,v24-scene-d21,Vonn,1.332,1.12,2.78,0.08,17.268,0.1,0.12,0.02,1,349.164444
372,21,v24-scene-d21,Ori,1.454,1.27,2.12,0.24,17.268,0.1,0.02,0.02,1,137.816208
373,21,v24-scene-d21,Ori,1.356,1.12,2.23,0.08,17.268,0.1,0.12,0.02,1,258.537972
374,21,v24-scene-d21,Ori,1.368,1.12,2.34,0.08,17.268,0.1,0.12,0.02,1,37.459736
375,21,v24-scene-d21,Sova,1.38,1.12,2.67,0.08,18.168,0.1,0.12,0.02,1,178.8015
376,21,v24-scene-d21,Nari,1.502,1.23,2.56,0.24,17.268,0.1,0.02,0.02,1,332.263264
377,21,v24-scene-d21,Sova,1.404,1.12,2.81,0.12,18.168,0.1,0.05,0.02,0,98.685028
378,22,v24-scene-d22,Keth,1.2,1.12,2.89,0.08,17.276,0.1,0.12,0.02,1,230.684792
379,22,v24-scene-d22,Ori,1.252,1.22,2.89,0.24,17.276,0.1,0.02,0.02,0,23.856556
380,22,v24-scene-d22,Nari,1.224,1.12,3.0,0.08,17.276,0.1,0.12,0.02,1,147.31832
381,22,v24-scene-d22,Nari,1.236,1.12,3.03,0.12,17.276,0.1,0.05,0.02,0,288.280084
382,22,v24-scene-d22,Nari,1.248,1.12,2.34,0.08,17.276,0.1,0.12,0.02,1,55.481848
383,22,v24-scene-d22,Melo,1.26,1.16,2.56,0.08,17.276,0.1,0.12,0.02,1,196.853612
384,22,v24-scene-d22,Sova,1.272,1.12,2.56,0.08,18.176,0.1,0.12,0.02,1,333.325376
385,22,v24-scene-d22,Ori,1.284,1.12,2.45,0.08,17.276,0.1,0.12,0.02,1,109.82714
386,22,v24-scene-d22,Keth,1.336,1.18,2.67,0.24,17.276,0.1,0.02,0.02,1,264.178904
387,22,v24-scene-d22,Keth,1.308,1.12,2.78,0.08,17.276,0.1,0.12,0.02,1,28.880668
388,22,v24-scene-d22,Melo,1.32,1.12,3.11,0.08,17.276,0.1,0.12,0.02,1,170.222432
389,22,v24-scene-d22,Vonn,1.332,1.12,2.04,0.12,16.776,0.24,0.05,0.02,0,299.084196
390,22,v24-scene-d22,Nari,1.384,1.18,2.12,0.24,17.276,0.1,0.02,0.02,1,88.97596
391,22,v24-scene-d22,Sova,1.356,1.12,2.45,0.08,18.176,0.1,0.12,0.02,1,216.097724
392,22,v24-scene-d22,Ori,1.368,1.12,2.12,0.08,17.276,0.1,0.12,0.02,1,350.179488
393,22,v24-scene-d22,Ori,1.38,1.12,2.15,0.12,17.276,0.1,0.05,0.02,0,131.141252
394,22,v24-scene-d22,Keth,1.502,1.23,2.45,0.32,17.276,0.1,0.05,0.02,1,292.033016
395,22,v24-scene-d22,Melo,1.404,1.12,2.78,0.08,17.276,0.1,0.12,0.02,1,50.57478
396,23,v24-scene-d23,Sova,1.2,1.12,3.0,0.08,18.184,0.1,0.12,0.02,1,187.034544
397,23,v24-scene-d23,Melo,1.212,1.12,2.92,0.12,17.284,0.1,0.05,0.02,0,326.786308
398,23,v24-scene-d23,Melo,1.264,1.18,3.11,0.24,17.284,0.1,0.02,0.02,1,117.888072
399,23,v24-scene-d23,Melo,1.236,1.12,2.12,0.08,17.284,0.1,0.12,0.02,1,230.489836
400,23,v24-scene-d23,Melo,1.248,1.12,2.23,0.08,17.284,0.1,0.12,0.02,1,9.4116
401,23,v24-scene-d23,Nari,1.37,1.23,2.23,0.32,17.284,0.1,0.05,0.02,1,169.923364
402,23,v24-scene-d23,Vonn,1.272,1.16,2.37,0.08,16.784,0.24,0.12,0.02,1,287.615128
403,23,v24-scene-d23,Sova,1.284,1.12,2.45,0.08,18.184,0.1,0.12,0.02,1,64.966892
404,23,v24-scene-d23,Sova,1.296,1.12,2.78,0.08,18.184,0.1,0.12,0.02,1,206.308656
405,23,v24-scene-d23,Keth,1.418,1.23,2.56,0.32,17.284,0.1,0.05,0.02,1,4.40042
406,23,v24-scene-d23,Ori,1.32,1.12,2.56,0.08,17.284,0.1,0.12,0.02,1,119.312184
407,23,v24-scene-d23,Melo,1.332,1.12,3.0,0.08,17.284,0.1,0.12,0.02,1,261.863948
408,23,v24-scene-d23,Ori,1.454,1.23,2.78,0.32,17.284,0.1,0.05,0.02,1,59.955712
409,23,v24-scene-d23,Melo,1.356,1.12,2.04,0.12,17.284,0.1,0.05,0.02,0,169.647476
410,23,v24-scene-d23,Nari,1.478,1.23,2.12,0.32,17.284,0.1,0.02,0.02,1,328.11924
411,23,v24-scene-d23,Vonn,1.38,1.12,2.78,0.08,17.284,0.1,0.12,0.02,1,90.291004
412,23,v24-scene-d23,Keth,1.502,1.23,2.23,0.32,17.284,0.1,0.02,0.02,1,244.752768
413,23,v24-scene-d23,Vonn,1.404,1.12,3.0,0.08,17.284,0.1,0.12,0.02,1,8.134532
414,24,v24-scene-d24,Keth,1.27,1.23,2.45,0.2,17.292,0.14,0.09,0.02,1,149.484296
415,24,v24-scene-d24,Sova,1.322,1.23,2.89,0.24,18.192,0.14,0.02,0.02,1,295.63606
416,24,v24-scene-d24,Ori,1.334,1.27,2.56,0.32,17.292,0.14,0.02,0.02,0,76.797824
417,24,v24-scene-d24,Ori,1.236,1.12,2.67,0.08,17.292,0.14,0.12,0.02,1,191.679588
418,24,v24-scene-d24,Nari,1.358,1.23,3.0,0.32,17.292,0.14,0.02,0.02,1,355.821352
419,24,v24-scene-d24,Sova,1.33,1.29,2.23,0.44,18.192,0.14,0.02,0.02,1,135.003116
420,24,v24-scene-d24,Melo,1.272,1.12,2.23,0.08,17.292,0.14,0.12,0.02,1,239.97488
421,24,v24-scene-d24,Nari,1.284,1.12,2.23,0.08,17.292,0.14,0.12,0.02,1,17.686644
422,24,v24-scene-d24,Nari,1.296,1.12,2.34,0.08,17.292,0.14,0.12,0.02,1,156.608408
423,24,v24-scene-d24,Melo,1.348,1.18,2.56,0.24,17.292,0.14,0.02,0.02,1,310.960172
424,24,v24-scene-d24,Ori,1.32,1.12,2.34,0.08,17.292,0.14,0.12,0.02,1,72.031936
425,24,v24-scene-d24,Nari,1.332,1.12,2.37,0.12,17.292,0.14,0.05,0.02,0,212.9937
426,24,v24-scene-d24,Ori,1.344,1.12,2.56,0.08,17.292,0.14,0.12,0.02,1,349.875464
427,24,v24-scene-d24,Melo,1.466,1.23,3.0,0.24,17.292,0.14,0.02,0.02,1,149.387228
428,24,v24-scene-d24,Ori,1.368,1.12,2.78,0.08,17.292,0.14,0.12,0.02,1,267.718992
429,24,v24-scene-d24,Nari,1.38,1.12,2.89,0.08,17.292,0.14,0.12,0.02,1,46.640756
430,24,v24-scene-d24,Vonn,1.502,1.23,2.67,0.24,17.292,0.14,0.02,0.02,1,198.89252
431,24,v24-scene-d24,Melo,1.404,1.12,2.34,0.08,17.292,0.14,0.12,0.02,1,316.014284
432,25,v24-scene-d25,Sova,1.31,1.29,2.56,0.44,18.2,0.1,-0.01,0.02,1,125.894048
433,25,v24-scene-d25,Melo,1.212,1.12,2.48,0.12,17.3,0.1,0.05,0.02,0,232.225812
434,25,v24-scene-d25,Nari,1.224,1.16,2.34,0.08,17.3,0.1,0.12,0.02,1,6.717576
435,25,v24-scene-d25,Nari,1.236,1.12,2.67,0.08,17.3,0.1,0.12,0.02,1,146.81934
436,25,v24-scene-d25,Vonn,1.248,1.12,2.23,0.08,17.3,0.1,0.12,0.02,1,279.691104
437,25,v24-scene-d25,Sova,1.26,1.18,3.11,0.2,18.2,0.1,0.09,0.02,1,77.702868
438,25,v24-scene-d25,Ori,1.272,1.12,2.78,0.08,17.3,0.1,0.12,0.02,1,201.164632
439,25,v24-scene-d25,Ori,1.284,1.12,2.89,0.08,17.3,0.1,0.12,0.02,1,340.086396
440,25,v24-scene-d25,Melo,1.296,1.12,2.23,0.08,17.3,0.1,0.12,0.02,1,110.53816
441,25,v24-scene-d25,Sova,1.308,1.16,2.45,0.08,18.2,0.1,0.12,0.02,1,251.909924
442,25,v24-scene-d25,Keth,1.32,1.12,2.23,0.08,17.3,0.1,0.12,0.02,1,25.961688
443,25,v24-scene-d25,Keth,1.332,1.12,2.34,0.08,17.3,0.1,0.12,0.02,1,164.883452
444,25,v24-scene-d25,Sova,1.384,1.18,2.78,0.24,18.2,0.1,0.02,0.02,1,321.655216
445,25,v24-scene-d25,Sova,1.356,1.12,2.89,0.08,18.2,0.1,0.12,0.02,1,86.35698
446,25,v24-scene-d25,Ori,1.368,1.12,2.56,0.08,17.3,0.1,0.12,0.02,1,220.438744
447,25,v24-scene-d25,Sova,1.38,1.12,2.89,0.08,18.2,0.1,0.12,0.02,1,1.780508
448,25,v24-scene-d25,Melo,1.392,1.12,3.11,0.08,17.3,0.1,0.12,0.02,1,141.912272
449,25,v24-scene-d25,Melo,1.404,1.12,2.04,0.12,17.3,0.1,0.05,0.02,0,270.774036
450,26,v24-scene-d26,Melo,1.2,1.12,2.23,0.08,17.308,0.1,0.12,0.02,1,43.9838
451,26,v24-scene-d26,Ori,1.212,1.12,3.11,0.08,17.308,0.1,0.12,0.02,1,191.375564
452,26,v24-scene-d26,Ori,1.224,1.12,2.12,0.08,17.308,0.1,0.12,0.02,1,318.197328
453,26,v24-scene-d26,Keth,1.236,1.12,2.26,0.12,17.308,0.1,0.05,0.02,0,100.369092
454,26,v24-scene-d26,Vonn,1.248,1.12,3.11,0.08,17.308,0.1,0.12,0.02,1,244.510856
455,26,v24-scene-d26,Nari,1.26,1.12,2.45,0.08,17.308,0.1,0.12,0.02,1,14.96262
456,26,v24-scene-d26,Vonn,1.272,1.22,2.23,0.24,17.308,0.1,0.02,0.02,1,165.034384
457,26,v24-scene-d26,Melo,1.284,1.12,2.92,0.12,17.308,0.1,0.05,0.02,0,298.476148
458,26,v24-scene-d26,Sova,1.296,1.12,3.0,0.08,18.208,0.1,0.12,0.02,1,74.147912
459,26,v24-scene-d26,Ori,1.308,1.12,2.89,0.08,17.308,0.1,0.12,0.02,1,210.649676
460,26,v24-scene-d26,Nari,1.36,1.22,2.04,0.24,17.308,0.1,0.02,0.02,1,354.47144
461,26,v24-scene-d26,Keth,1.442,1.23,2.12,0.24,17.308,0.1,0.02,0.02,1,134.563204
462,26,v24-scene-d26,Nari,1.454,1.23,2.26,0.24,17.308,0.1,0.02,0.02,1,273.814968
463,26,v24-scene-d26,Sova,1.356,1.16,2.67,0.08,18.208,0.1,0.12,0.02,1,40.316732
464,26,v24-scene-d26,Melo,1.368,1.12,2.67,0.08,17.308,0.1,0.12,0.02,1,176.788496
465,26,v24-scene-d26,Nari,1.42,1.18,2.59,0.24,17.308,0.1,0.02,0.02,1,327.84026
466,26,v24-scene-d26,Melo,1.432,1.18,2.89,0.24,17.308,0.1,0.02,0.02,1,108.852024
467,26,v24-scene-d26,Nari,1.404,1.16,2.81,0.08,17.308,0.1,0.12,0.02,1,232.703788
468,27,v24-scene-d27,Vonn,1.2,1.12,2.45,0.08,17.316,0.1,0.12,0.02,1,1.543552
469,27,v24-scene-d27,Ori,1.212,1.12,2.81,0.12,17.316,0.1,0.05,0.02,0,146.135316
470,27,v24-scene-d27,Nari,1.224,1.12,3.0,0.08,17.316,0.1,0.12,0.02,1,283.01708
471,27,v24-scene-d27,Nari,1.276,1.18,2.15,0.32,17.316,0.1,0.05,0.02,1,71.438844
472,27,v24-scene-d27,Keth,1.248,1.12,2.23,0.08,17.316,0.1,0.12,0.02,1,189.970608
473,27,v24-scene-d27,Sova,1.26,1.12,2.45,0.08,18.216,0.1,0.12,0.02,1,330.102372
474,27,v24-scene-d27,Melo,1.382,1.23,2.67,0.32,17.316,0.1,0.05,0.02,1,133.034136
475,27,v24-scene-d27,Melo,1.284,1.12,2.78,0.08,17.316,0.1,0.12,0.02,1,249.1559
476,27,v24-scene-d27,Vonn,1.336,1.22,2.81,0.24,16.816,0.24,0.02,0.02,1,42.657664
477,27,v24-scene-d27,Vonn,1.308,1.16,2.92,0.08,16.816,0.24,0.12,0.02,1,167.359428
478,27,v24-scene-d27,Keth,1.43,1.23,2.89,0.32,17.316,0.1,0.05,0.02,1,326.301192
479,27,v24-scene-d27,Ori,1.332,1.12,2.89,0.08,17.316,0.1,0.12,0.02,1,81.212956
480,27,v24-scene-d27,Sova,1.344,1.12,2.34,0.08,18.216,0.1,0.12,0.02,1,212.87472
481,27,v24-scene-d27,Keth,1.356,1.12,2.12,0.08,17.316,0.1,0.12,0.02,1,348.166484
482,27,v24-scene-d27,Ori,1.478,1.23,2.12,0.24,17.316,0.1,0.02,0.02,1,142.838248
483,27,v24-scene-d27,Sova,1.42,1.18,2.45,0.24,18.216,0.1,0.02,0.02,1,281.440012
484,27,v24-scene-d27,Vonn,1.392,1.16,2.59,0.08,16.816,0.24,0.12,0.02,1,47.711776
485,27,v24-scene-d27,Ori,1.514,1.23,2.45,0.32,17.316,0.1,0.05,0.02,1,205.44354
486,28,v24-scene-d28,Sova,1.2,1.12,2.78,0.08,18.224,0.1,0.12,0.02,1,320.313304
487,28,v24-scene-d28,Ori,1.212,1.12,2.67,0.08,17.324,0.1,0.12,0.02,1,96.815068
488,28,v24-scene-d28,Keth,1.224,1.12,2.89,0.08,17.324,0.1,0.12,0.02,1,236.946832
489,28,v24-scene-d28,Ori,1.236,1.12,2.81,0.12,17.324,0.1,0.05,0.02,0,16.698596
490,28,v24-scene-d28,Nari,1.248,1.16,2.04,0.08,17.324,0.1,0.12,0.02,0,144.26036
491,28,v24-scene-d28,Keth,1.26,1.12,2.12,0.08,17.324,0.1,0.12,0.02,1,281.612124
492,28,v24-scene-d28,Melo,1.272,1.12,2.45,0.08,17.324,0.1,0.12,0.02,1,62.953888
