tick_id,settlement_id,ritual_anchor,technology_stage,practical_use,dialect_id,inherited_from_deep_time,bound_to_play_action,continuity_hash
275,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-601156
276,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493894
277,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-783407
278,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-739795
279,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-646615
280,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-653398
281,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-519619
282,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-663401
283,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-728806
284,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-796916
285,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-819302
286,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-601547
287,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-465185
288,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-532140
289,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-775018
290,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-039451
291,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-683811
292,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-645179
293,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-591300
294,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493802
295,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-666016
296,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-871277
297,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-646523
298,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-539927
299,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-755809
300,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-614978
301,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-655887
302,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-794096
303,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-770019
304,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-529943
305,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-688747
306,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-563324
307,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-600403
308,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-972364
309,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-717380
310,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-473744
311,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-517426
312,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-606793
313,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-728908
314,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-833915
315,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-761664
316,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-601624
317,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-518512
318,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-501938
319,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-896427
320,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-794004
321,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-653059
322,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-764368
323,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-555815
324,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493739
325,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-829931
326,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-923805
327,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-646480
328,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-700827
329,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-590057
330,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-437750
331,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-655430
332,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-868219
333,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-589441
334,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-529506
335,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-642495
336,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-565152
337,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656516
338,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-915246
339,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-719233
340,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-528827
341,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-526672
342,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-727294
343,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-694534
344,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-804259
345,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-884385
346,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-567895
347,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-634276
348,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656907
349,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-915637
350,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-717859
351,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-529218
352,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-527063
353,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-727685
354,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-694925
355,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-804650
356,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-884776
357,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-568286
358,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-634667
359,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-566130
360,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-728022
361,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-796132
362,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-818518
363,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-600763
364,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-464401
365,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493697
366,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-783210
367,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-739598
368,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-646418
369,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-654966
370,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-519422
371,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-663204
372,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-665232
373,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-870493
374,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-645739
375,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-539143
376,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-755025
377,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-531943
378,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-774821
379,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-041019
380,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-683614
381,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-644982
382,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-591103
383,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493605
384,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-601375
385,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-973336
386,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-718352
387,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-476481
388,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-520163
389,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-618302
390,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-657446
391,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-795655
392,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-771578
393,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-531502
394,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-690306
395,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-564883
396,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-897399
397,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-796741
398,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-655796
399,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-767105
400,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-555031
401,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-606596
402,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-728711
403,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-833718
404,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-761467
405,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-601427
406,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-518315
407,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-501741
408,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656411
409,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-869200
410,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-588657
411,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-528722
412,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-641711
413,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493542
414,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-829734
415,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-923608
416,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-646283
417,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-700630
418,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-589860
419,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-439318
420,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-867826
421,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-589048
422,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-529113
423,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-642102
424,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493933
425,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-830125
426,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-923999
427,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-646674
428,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-701021
429,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-590251
430,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-437944
431,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-655624
432,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-803866
433,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-883992
434,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-567502
435,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-633883
436,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-565346
437,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656710
438,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-915440
439,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-719427
440,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-529021
441,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-526866
442,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-727488
443,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-694728
444,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-738814
445,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-645634
446,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-654182
447,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-520403
448,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-664185
449,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-729590
450,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-795935
451,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-818321
452,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-600566
453,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-464204
454,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493500
455,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-783013
456,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-040235
457,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-684595
458,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-645963
459,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-592084
460,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-492821
461,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-665035
462,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-870296
463,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-645542
464,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-538946
465,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-754828
466,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-531746
467,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-774624
468,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-796636
469,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-772559
470,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-530718
471,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-689522
472,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-564099
473,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-601178
474,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-973139
475,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-718155
476,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-476284
477,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-519966
478,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-618105
479,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-659014
480,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-834690
481,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-762439
482,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-602399
483,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-519287
484,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-502713
485,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-897202
486,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-796544
487,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-655599
488,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-766908
489,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-558355
490,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-608155
491,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-730270
492,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-762830
493,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-602790
494,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-519678
495,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-503104
496,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-897593
497,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-796935
498,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-655990
499,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-767299
500,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-555225
501,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-606790
502,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-728905
503,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-833912
504,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-645890
505,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-700237
506,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-589467
507,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-438925
508,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656605
509,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-869394
510,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-588851
511,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-528916
512,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-641905
513,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493736
514,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-829928
515,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-923802
516,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-718643
517,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-530002
518,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-527847
519,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-728469
520,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-693944
521,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-803669
522,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-883795
523,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-567305
524,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-633686
525,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-565149
526,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656513
527,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-915243
528,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-819302
529,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-601547
530,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-463420
531,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-492716
532,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-782229
533,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-738617
534,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-645437
535,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-653985
536,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-520206
537,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-663988
538,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-729393
539,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-797503
540,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-644758
541,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-538162
542,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-754044
543,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-530962
544,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-773840
545,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-040038
546,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-684398
547,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-645766
548,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-591887
549,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-494389
550,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-664838
