tick_id,day,agent_id,talk_count,recent_pattern,trust_avatar,guardedness,attachment_security,grudge_pressure,forgiveness_progress,repeated_talk_changed_behavior,behavior_summary
424,36,Fay,41,"interrupt_task,move_owned_object,interrupt_task",0.32,0.92,0.5,0.9,0.308,True,keeps distance
427,36,Ivo,41,"interrupt_task,ask_help,offer_apology",0.785,0.487,0.79,0.569,0.548,True,approaches after care
429,36,Ari,41,"request_owned_object,move_owned_object,interrupt_task",0.85,0.428,0.83,0.56445,0.487,True,approaches after care
431,36,Nia,41,"offer_apology,offer_care,give_space",0.905,0.415,0.682,0.6768,0.475,True,approaches after care
432,37,Milo,42,"request_owned_object,ask_permission,move_owned_object",0.43,0.92,0.456,0.9,0.268,True,keeps distance
434,37,Juno,42,"request_owned_object,ask_permission,move_owned_object",0.52,0.92,0.34,0.9,0.179,True,keeps distance
436,37,Fay,42,"move_owned_object,interrupt_task,request_owned_object",0.35,0.916,0.504,0.88285,0.311,True,keeps distance
439,37,Ivo,42,"ask_help,offer_apology,offer_care",0.835,0.447,0.826,0.55325,0.551,True,approaches after care
440,37,Juno,43,"ask_permission,move_owned_object,protect_object",0.57,0.88,0.376,0.8888,0.182,True,keeps distance
441,37,Ari,42,"move_owned_object,interrupt_task,ask_help",0.865,0.424,0.834,0.5515,0.49,True,approaches after care
443,37,Nia,42,"offer_care,give_space,protect_object",0.955,0.375,0.718,0.6649,0.478,True,approaches after care
444,38,Milo,43,"ask_permission,move_owned_object,interrupt_task",0.38,0.92,0.43,0.9,0.252,True,keeps distance
445,38,Ivo,43,"offer_apology,offer_care,ask_permission",0.865,0.443,0.83,0.5375,0.554,True,approaches after care
446,38,Juno,44,"move_owned_object,protect_object,interrupt_task",0.52,0.92,0.35,0.9,0.166,True,keeps distance
448,38,Fay,43,"interrupt_task,request_owned_object,ask_permission",0.38,0.912,0.508,0.8657,0.314,True,keeps distance
451,38,Ivo,44,"offer_care,ask_permission,give_space",0.915,0.403,0.866,0.52175,0.594,True,approaches after care
453,38,Ari,43,"interrupt_task,ask_help,offer_apology",0.915,0.384,0.838,0.53855,0.53,True,approaches after care
455,38,Nia,43,"give_space,protect_object,ask_help",0.96,0.371,0.722,0.653,0.481,True,approaches after care
456,39,Milo,44,"move_owned_object,interrupt_task,request_owned_object",0.41,0.916,0.434,0.88565,0.255,True,keeps distance
458,39,Juno,45,"protect_object,interrupt_task,ask_help",0.535,0.916,0.354,0.8888,0.169,True,keeps distance
460,39,Fay,44,"request_owned_object,ask_permission,move_owned_object",0.33,0.92,0.512,0.9,0.298,True,keeps distance
462,39,Milo,45,"interrupt_task,request_owned_object,offer_care",0.46,0.876,0.47,0.8713,0.258,True,keeps distance
463,39,Ivo,45,"ask_permission,give_space,protect_object",0.96,0.363,0.902,0.506,0.597,True,approaches after care
465,39,Ari,44,"ask_help,offer_apology,offer_care",0.96,0.344,0.874,0.5256,0.533,True,approaches after care
467,39,Nia,44,"protect_object,ask_help,ask_status",0.96,0.367,0.726,0.6411,0.484,True,approaches after care
468,40,Ivo,46,"give_space,protect_object,move_owned_object",0.91,0.418,0.906,0.576,0.581,True,approaches after care
470,40,Ari,45,"offer_apology,offer_care,request_owned_object",0.96,0.34,0.878,0.51265,0.536,True,approaches after care
472,40,Nia,45,"ask_help,ask_status,ask_help",0.96,0.363,0.73,0.6292,0.487,True,approaches after care
475,40,Juno,46,"interrupt_task,ask_help,ask_status",0.55,0.912,0.358,0.8776,0.172,True,keeps distance
477,40,Fay,45,"ask_permission,move_owned_object,protect_object",0.38,0.88,0.548,0.88285,0.301,True,keeps distance
478,40,Nia,46,"ask_status,ask_help,ask_status",0.96,0.359,0.734,0.6173,0.49,True,approaches after care
479,40,Milo,46,"request_owned_object,offer_care,move_owned_object",0.41,0.92,0.474,0.9,0.242,True,keeps distance
480,41,Ivo,47,"protect_object,move_owned_object,interrupt_task",0.86,0.473,0.88,0.646,0.565,True,approaches after care
482,41,Ari,46,"offer_care,request_owned_object,ask_permission",0.96,0.336,0.882,0.4997,0.539,True,approaches after care
483,41,Fay,46,"move_owned_object,protect_object,interrupt_task",0.33,0.92,0.522,0.9,0.285,True,keeps distance
484,41,Nia,47,"ask_help,ask_status,offer_apology",0.96,0.319,0.738,0.6054,0.53,True,approaches after care
487,41,Juno,47,"ask_help,ask_status,request_owned_object",0.58,0.908,0.362,0.8664,0.175,True,keeps distance
489,41,Fay,47,"protect_object,interrupt_task,ask_help",0.345,0.916,0.526,0.88285,0.288,True,keeps distance
491,41,Milo,47,"offer_care,move_owned_object,interrupt_task",0.36,0.92,0.448,0.9,0.226,True,keeps distance
492,42,Ivo,48,"move_owned_object,interrupt_task,ask_help",0.875,0.469,0.884,0.63025,0.568,True,approaches after care
494,42,Ari,47,"request_owned_object,ask_permission,move_owned_object",0.91,0.391,0.886,0.5697,0.523,True,approaches after care
496,42,Nia,48,"ask_status,offer_apology,offer_care",0.96,0.279,0.774,0.5935,0.533,True,approaches after care
499,42,Juno,48,"ask_status,request_owned_object,move_owned_object",0.53,0.92,0.366,0.9,0.159,True,keeps distance
500,42,Ari,48,"ask_permission,move_owned_object,protect_object",0.96,0.351,0.922,0.55675,0.526,True,approaches after care
501,42,Fay,48,"interrupt_task,ask_help,ask_status",0.36,0.912,0.53,0.8657,0.291,True,keeps distance
503,42,Milo,48,"move_owned_object,interrupt_task,misname_agent",0.31,0.92,0.422,0.9,0.21,True,keeps distance
504,43,Ivo,49,"interrupt_task,ask_help,offer_apology",0.925,0.429,0.888,0.6145,0.608,True,approaches after care
506,43,Ari,49,"move_owned_object,protect_object,interrupt_task",0.91,0.406,0.896,0.62675,0.51,True,approaches after care
508,43,Nia,49,"offer_apology,offer_care,give_space",0.96,0.239,0.81,0.5816,0.573,True,approaches after care
511,43,Juno,49,"request_owned_object,move_owned_object,interrupt_task",0.48,0.92,0.34,0.9,0.143,True,keeps distance
513,43,Fay,49,"ask_help,ask_status,request_owned_object",0.39,0.908,0.534,0.84855,0.294,True,keeps distance
515,43,Milo,49,"interrupt_task,misname_agent,ask_permission",0.34,0.916,0.426,0.88565,0.213,True,keeps distance
516,44,Ivo,50,"ask_help,offer_apology,offer_care",0.96,0.389,0.924,0.59875,0.611,True,approaches after care
517,44,Juno,50,"move_owned_object,interrupt_task,protect_object",0.53,0.88,0.376,0.8888,0.146,True,keeps distance
518,44,Ari,50,"protect_object,interrupt_task,ask_help",0.925,0.402,0.9,0.6138,0.513,True,approaches after care
520,44,Nia,50,"offer_care,give_space,protect_object",0.96,0.199,0.846,0.5697,0.576,True,approaches after care
523,44,Juno,51,"interrupt_task,protect_object,misname_agent",0.48,0.92,0.35,0.9,0.13,True,keeps distance
525,44,Fay,50,"ask_status,request_owned_object,move_owned_object",0.34,0.92,0.538,0.9,0.278,True,keeps distance
527,44,Milo,50,"misname_agent,ask_permission,request_owned_object",0.37,0.912,0.43,0.8713,0.216,True,keeps distance
528,45,Ivo,51,"offer_apology,offer_care,give_space",0.96,0.349,0.96,0.583,0.651,True,approaches after care
530,45,Ari,51,"interrupt_task,ask_help,offer_apology",0.96,0.362,0.904,0.60085,0.553,True,approaches after care
532,45,Nia,51,"give_space,protect_object,ask_help",0.96,0.195,0.85,0.5578,0.579,True,approaches after care
534,45,Ivo,52,"offer_care,give_space,interrupt_task",0.91,0.404,0.934,0.653,0.635,True,approaches after care
535,45,Juno,52,"protect_object,misname_agent,ask_permission",0.51,0.916,0.354,0.8888,0.133,True,keeps distance
537,45,Fay,51,"request_owned_object,move_owned_object,interrupt_task",0.29,0.92,0.512,0.9,0.262,True,keeps distance
539,45,Milo,51,"ask_permission,request_owned_object,ask_permission",0.4,0.908,0.434,0.85695,0.219,True,keeps distance
540,46,Ivo,53,"give_space,interrupt_task,protect_object",0.96,0.364,0.96,0.63725,0.638,True,approaches after care
542,46,Ari,52,"ask_help,offer_apology,offer_care",0.96,0.322,0.94,0.5879,0.556,True,approaches after care
544,46,Nia,52,"protect_object,ask_help,ask_status",0.96,0.191,0.854,0.5459,0.582,True,approaches after care
545,46,Milo,52,"request_owned_object,ask_permission,move_owned_object",0.35,0.92,0.438,0.9,0.203,True,keeps distance
547,46,Juno,53,"misname_agent,ask_permission,request_owned_object",0.54,0.912,0.358,0.8776,0.136,True,keeps distance
549,46,Fay,52,"move_owned_object,interrupt_task,misname_agent",0.24,0.92,0.486,0.9,0.246,True,keeps distance
551,46,Milo,53,"ask_permission,move_owned_object,move_owned_object",0.3,0.92,0.442,0.9,0.187,True,keeps distance
552,47,Ivo,54,"interrupt_task,protect_object,ask_help",0.96,0.36,0.96,0.6215,0.641,True,approaches after care
554,47,Ari,53,"offer_apology,offer_care,give_space",0.96,0.282,0.96,0.57495,0.596,True,approaches after care
556,47,Nia,53,"ask_help,ask_status,request_owned_object",0.96,0.187,0.858,0.534,0.585,True,approaches after care
559,47,Juno,54,"ask_permission,request_owned_object,ask_permission",0.57,0.908,0.362,0.8664,0.139,True,keeps distance
561,47,Fay,53,"interrupt_task,misname_agent,ask_permission",0.27,0.916,0.49,0.88285,0.249,True,keeps distance
562,47,Nia,54,"ask_status,request_owned_object,ask_permission",0.96,0.183,0.862,0.5221,0.588,True,approaches after care
563,47,Milo,54,"move_owned_object,move_owned_object,interrupt_task",0.25,0.92,0.416,0.9,0.171,True,keeps distance
564,48,Ivo,55,"protect_object,ask_help,ask_status",0.96,0.356,0.96,0.60575,0.644,True,approaches after care
566,48,Ari,54,"offer_care,give_space,protect_object",0.96,0.242,0.96,0.562,0.599,True,approaches after care
567,48,Fay,54,"misname_agent,ask_permission,ask_status",0.285,0.912,0.494,0.8657,0.252,True,keeps distance
568,48,Nia,55,"request_owned_object,ask_permission,move_owned_object",0.91,0.238,0.866,0.5921,0.572,True,approaches after care
571,48,Juno,55,"request_owned_object,ask_permission,move_owned_object",0.52,0.92,0.366,0.9,0.123,True,keeps distance
573,48,Fay,55,"ask_permission,ask_status,request_owned_object",0.315,0.908,0.498,0.84855,0.255,True,keeps distance
575,48,Milo,55,"move_owned_object,interrupt_task,request_owned_object",0.28,0.916,0.42,0.88565,0.174,True,keeps distance
576,49,Ivo,56,"ask_help,ask_status,request_owned_object",0.96,0.352,0.96,0.59,0.647,True,approaches after care
578,49,Ari,55,"give_space,protect_object,ask_help",0.96,0.238,0.96,0.54905,0.602,True,approaches after care
580,49,Nia,56,"ask_permission,move_owned_object,interrupt_task",0.86,0.293,0.84,0.6621,0.556,True,approaches after care
583,49,Juno,56,"ask_permission,move_owned_object,interrupt_task",0.47,0.92,0.34,0.9,0.107,True,keeps distance
584,49,Ari,56,"protect_object,ask_help,ask_permission",0.96,0.234,0.96,0.5361,0.605,True,approaches after care
585,49,Fay,56,"ask_status,request_owned_object,ask_permission",0.345,0.904,0.502,0.8314,0.258,True,keeps distance
587,49,Milo,56,"interrupt_task,request_owned_object,ask_permission",0.31,0.912,0.424,0.8713,0.177,True,keeps distance
588,50,Juno,57,"move_owned_object,interrupt_task,interrupt_task",0.42,0.92,0.314,0.9,0.091,True,keeps distance
590,50,Fay,57,"request_owned_object,ask_permission,request_owned_object",0.375,0.9,0.506,0.81425,0.261,True,keeps distance
592,50,Milo,57,"request_owned_object,ask_permission,ask_permission",0.34,0.908,0.428,0.85695,0.18,True,keeps distance
595,50,Ari,57,"ask_help,ask_permission,ask_permission",0.96,0.23,0.96,0.52315,0.608,True,approaches after care
597,50,Nia,57,"move_owned_object,interrupt_task,interrupt_task",0.81,0.348,0.814,0.7321,0.54,True,approaches after care
599,50,Ivo,57,"ask_status,request_owned_object,interrupt_task",0.91,0.407,0.934,0.66,0.631,True,approaches after care
600,51,Juno,58,"interrupt_task,interrupt_task,misname_agent",0.37,0.92,0.288,0.9,0.075,True,keeps distance
602,51,Fay,58,"ask_permission,request_owned_object,move_owned_object",0.325,0.92,0.51,0.88425,0.245,True,keeps distance
604,51,Milo,58,"ask_permission,ask_permission,request_owned_object",0.37,0.904,0.432,0.8426,0.183,True,keeps distance
606,51,Juno,59,"interrupt_task,misname_agent,request_owned_object",0.4,0.916,0.292,0.8888,0.078,True,keeps distance
607,51,Ari,58,"ask_permission,ask_permission,request_owned_object",0.96,0.226,0.96,0.5102,0.611,True,approaches after care
609,51,Nia,58,"interrupt_task,interrupt_task,request_owned_object",0.84,0.344,0.818,0.7202,0.543,True,approaches after care
611,51,Ivo,58,"request_owned_object,interrupt_task,ask_help",0.925,0.403,0.938,0.64425,0.634,True,approaches after care
612,52,Juno,60,"misname_agent,request_owned_object,ask_permission",0.43,0.912,0.296,0.8776,0.081,True,keeps distance
614,52,Fay,59,"request_owned_object,move_owned_object,interrupt_task",0.275,0.92,0.484,0.9,0.229,True,keeps distance
616,52,Milo,59,"ask_permission,request_owned_object,ask_permission",0.4,0.9,0.436,0.82825,0.186,True,keeps distance
617,52,Ivo,59,"interrupt_task,ask_help,interrupt_task",0.875,0.458,0.912,0.71425,0.618,True,approaches after care
619,52,Ari,59,"ask_permission,request_owned_object,ask_permission",0.96,0.222,0.96,0.49725,0.614,True,approaches after care
621,52,Nia,59,"interrupt_task,request_owned_object,ask_permission",0.87,0.34,0.822,0.7083,0.546,True,approaches after care
623,52,Ivo,60,"ask_help,interrupt_task,offer_apology",0.925,0.418,0.916,0.6985,0.658,True,approaches after care
624,53,Juno,61,"request_owned_object,ask_permission,request_owned_object",0.46,0.908,0.3,0.8664,0.084,True,keeps distance
626,53,Fay,60,"move_owned_object,interrupt_task,misname_agent",0.225,0.92,0.458,0.9,0.213,True,keeps distance
628,53,Milo,60,"request_owned_object,ask_permission,move_owned_object",0.35,0.92,0.44,0.89825,0.17,True,keeps distance
631,53,Ari,60,"request_owned_object,ask_permission,move_owned_object",0.91,0.277,0.96,0.56725,0.598,True,approaches after care
633,53,Nia,60,"request_owned_object,ask_permission,move_owned_object",0.82,0.395,0.826,0.7783,0.53,True,approaches after care
634,53,Milo,61,"ask_permission,move_owned_object,ask_help",0.365,0.916,0.444,0.8839,0.173,True,keeps distance
635,53,Ivo,61,"interrupt_task,offer_apology,offer_care",0.96,0.378,0.952,0.68275,0.661,True,approaches after care
636,54,Juno,62,"ask_permission,request_owned_object,ask_permission",0.49,0.904,0.304,0.8552,0.087,True,keeps distance
638,54,Fay,61,"interrupt_task,misname_agent,ask_permission",0.255,0.916,0.462,0.88285,0.216,True,keeps distance
639,54,Nia,61,"ask_permission,move_owned_object,ask_permission",0.85,0.391,0.83,0.7664,0.533,True,approaches after care
640,54,Milo,62,"move_owned_object,ask_help,interrupt_task",0.315,0.92,0.418,0.9,0.157,True,keeps distance
643,54,Ari,61,"ask_permission,move_owned_object,interrupt_task",0.86,0.332,0.934,0.63725,0.582,True,approaches after care
645,54,Nia,62,"move_owned_object,ask_permission,interrupt_task",0.8,0.446,0.804,0.8364,0.517,True,approaches after care
647,54,Ivo,62,"offer_apology,offer_care,give_space",0.96,0.338,0.96,0.667,0.701,True,approaches after care
648,55,Juno,63,"request_owned_object,ask_permission,move_owned_object",0.44,0.92,0.308,0.9,0.071,True,keeps distance
650,55,Fay,62,"misname_agent,ask_permission,request_owned_object",0.285,0.912,0.466,0.8657,0.219,True,keeps distance
652,55,Milo,63,"ask_help,interrupt_task,request_owned_object",0.345,0.916,0.422,0.88565,0.16,True,keeps distance
655,55,Ari,62,"move_owned_object,interrupt_task,request_owned_object",0.89,0.328,0.938,0.6243,0.585,True,approaches after care
656,55,Fay,63,"ask_permission,request_owned_object,move_owned_object",0.235,0.92,0.47,0.9,0.203,True,keeps distance
657,55,Nia,63,"ask_permission,interrupt_task,ask_help",0.815,0.442,0.808,0.8245,0.52,True,approaches after care
659,55,Ivo,63,"offer_care,give_space,protect_object",0.96,0.298,0.96,0.65125,0.704,True,approaches after care
660,56,Juno,64,"ask_permission,move_owned_object,interrupt_task",0.39,0.92,0.282,0.9,0.055,True,keeps distance
661,56,Ari,63,"interrupt_task,request_owned_object,ask_permission",0.92,0.324,0.942,0.61135,0.588,True,approaches after care
662,56,Fay,64,"request_owned_object,move_owned_object,ask_permission",0.265,0.916,0.474,0.88285,0.206,True,keeps distance
664,56,Milo,64,"interrupt_task,request_owned_object,ask_permission",0.375,0.912,0.426,0.8713,0.163,True,keeps distance
667,56,Ari,64,"request_owned_object,ask_permission,ask_permission",0.95,0.32,0.946,0.5984,0.591,True,approaches after care
669,56,Nia,64,"interrupt_task,ask_help,offer_apology",0.865,0.402,0.812,0.8126,0.56,True,approaches after care
671,56,Ivo,64,"give_space,protect_object,ask_help",0.96,0.294,0.96,0.6355,0.707,True,approaches after care
672,57,Juno,65,"move_owned_object,interrupt_task,request_owned_object",0.42,0.916,0.286,0.8888,0.058,True,keeps distance
674,57,Fay,65,"move_owned_object,ask_permission,move_owned_object",0.215,0.92,0.478,0.9,0.19,True,keeps distance
676,57,Milo,65,"request_owned_object,ask_permission,move_owned_object",0.325,0.92,0.43,0.9,0.147,True,keeps distance
679,57,Ari,65,"ask_permission,ask_permission,move_owned_object",0.9,0.375,0.95,0.6684,0.575,True,approaches after care
681,57,Nia,65,"ask_help,offer_apology,offer_care",0.915,0.362,0.848,0.8007,0.563,True,approaches after care
683,57,Ivo,65,"protect_object,ask_help,ask_status",0.96,0.29,0.96,0.61975,0.71,True,approaches after care
684,58,Juno,66,"interrupt_task,request_owned_object,ask_permission",0.45,0.912,0.29,0.8776,0.061,True,keeps distance
686,58,Fay,66,"ask_permission,move_owned_object,interrupt_task",0.165,0.92,0.452,0.9,0.174,True,keeps distance
688,58,Milo,66,"ask_permission,move_owned_object,interrupt_task",0.275,0.92,0.404,0.9,0.131,True,keeps distance
690,58,Juno,67,"request_owned_object,ask_permission,give_space",0.5,0.872,0.326,0.8664,0.101,True,keeps distance
691,58,Ari,66,"ask_permission,move_owned_object,interrupt_task",0.85,0.43,0.924,0.7384,0.559,True,approaches after care
693,58,Nia,66,"offer_apology,offer_care,give_space",0.96,0.322,0.884,0.7888,0.603,True,approaches after care
695,58,Ivo,66,"ask_help,ask_status,request_owned_object",0.96,0.286,0.96,0.604,0.713,True,approaches after care
696,59,Juno,68,"ask_permission,give_space,move_owned_object",0.45,0.92,0.33,0.9,0.085,True,keeps distance
698,59,Fay,67,"move_owned_object,interrupt_task,request_owned_object",0.195,0.916,0.456,0.88285,0.177,True,keeps distance
700,59,Milo,67,"move_owned_object,interrupt_task,ask_help",0.29,0.916,0.408,0.88565,0.134,True,keeps distance
701,59,Ivo,67,"ask_status,request_owned_object,offer_care",0.96,0.246,0.96,0.58825,0.716,True,approaches after care
703,59,Ari,67,"move_owned_object,interrupt_task,ask_help",0.865,0.426,0.928,0.72545,0.562,True,approaches after care
705,59,Nia,67,"offer_care,give_space,protect_object",0.96,0.282,0.92,0.7769,0.606,True,approaches after care
707,59,Ivo,68,"request_owned_object,offer_care,move_owned_object",0.91,0.301,0.96,0.65825,0.7,True,approaches after care
708,60,Ari,68,"interrupt_task,ask_help,move_owned_object",0.815,0.481,0.932,0.79545,0.546,True,approaches after care
710,60,Nia,68,"give_space,protect_object,move_owned_object",0.91,0.337,0.924,0.8469,0.59,True,approaches after care
711,60,Milo,68,"interrupt_task,ask_help,ask_help",0.305,0.912,0.412,0.8713,0.137,True,keeps distance
712,60,Ivo,69,"offer_care,move_owned_object,offer_care",0.96,0.261,0.96,0.6425,0.703,True,approaches after care
715,60,Fay,68,"interrupt_task,request_owned_object,offer_care",0.245,0.876,0.492,0.8657,0.18,True,keeps distance
717,60,Milo,69,"ask_help,ask_help,ask_status",0.32,0.908,0.416,0.85695,0.14,True,keeps distance
719,60,Juno,69,"give_space,move_owned_object,misname_agent",0.4,0.92,0.304,0.9,0.069,True,keeps distance
720,61,Ari,69,"ask_help,move_owned_object,interrupt_task",0.765,0.536,0.906,0.86545,0.53,True,keeps distance
722,61,Nia,69,"protect_object,move_owned_object,interrupt_task",0.86,0.392,0.898,0.9,0.574,True,approaches after care
724,61,Ivo,70,"move_owned_object,offer_care,give_space",0.96,0.221,0.96,0.62675,0.743,True,approaches after care
727,61,Fay,69,"request_owned_object,offer_care,give_space",0.295,0.836,0.528,0.84855,0.22,True,keeps distance
728,61,Nia,70,"move_owned_object,interrupt_task,ask_help",0.875,0.388,0.902,0.8881,0.577,True,approaches after care
729,61,Milo,70,"ask_help,ask_status,request_owned_object",0.35,0.904,0.42,0.8426,0.143,True,keeps distance
731,61,Juno,70,"move_owned_object,misname_agent,ask_permission",0.43,0.916,0.308,0.8888,0.072,True,keeps distance
732,62,Ari,70,"move_owned_object,interrupt_task,request_owned_object",0.795,0.532,0.91,0.8525,0.533,True,keeps distance
733,62,Fay,70,"offer_care,give_space,move_owned_object",0.245,0.891,0.532,0.9,0.204,True,keeps distance
734,62,Nia,71,"interrupt_task,ask_help,ask_help",0.89,0.384,0.906,0.8762,0.58,True,approaches after care
736,62,Ivo,71,"offer_care,give_space,protect_object",0.96,0.181,0.96,0.611,0.746,True,approaches after care
739,62,Fay,71,"give_space,move_owned_object,protect_object",0.295,0.851,0.568,0.88285,0.207,True,keeps distance
741,62,Milo,71,"ask_status,request_owned_object,move_owned_object",0.3,0.92,0.424,0.9,0.127,True,keeps distance
743,62,Juno,71,"misname_agent,ask_permission,request_owned_object",0.46,0.912,0.312,0.8776,0.075,True,keeps distance
744,63,Ari,71,"interrupt_task,request_owned_object,ask_permission",0.825,0.528,0.914,0.83955,0.536,True,keeps distance
746,63,Nia,72,"ask_help,ask_help,offer_apology",0.94,0.344,0.91,0.8643,0.62,True,approaches after care
748,63,Ivo,72,"give_space,protect_object,ask_help",0.96,0.177,0.96,0.59525,0.749,True,approaches after care
750,63,Ari,72,"request_owned_object,ask_permission,give_space",0.875,0.488,0.95,0.8266,0.576,True,approaches after care
751,63,Fay,72,"move_owned_object,protect_object,ask_help",0.31,0.847,0.572,0.8657,0.21,True,keeps distance
753,63,Milo,72,"request_owned_object,move_owned_object,interrupt_task",0.25,0.92,0.398,0.9,0.111,True,keeps distance
755,63,Juno,72,"ask_permission,request_owned_object,ask_permission",0.49,0.908,0.316,0.8664,0.078,True,keeps distance
756,64,Ari,73,"ask_permission,give_space,move_owned_object",0.825,0.543,0.954,0.8966,0.56,True,keeps distance
758,64,Nia,73,"ask_help,offer_apology,offer_care",0.96,0.304,0.946,0.8524,0.623,True,approaches after care
760,64,Ivo,73,"protect_object,ask_help,ask_status",0.96,0.173,0.96,0.5795,0.752,True,approaches after care
763,64,Fay,73,"protect_object,ask_help,ask_status",0.325,0.843,0.576,0.84855,0.213,True,keeps distance
765,64,Milo,73,"move_owned_object,interrupt_task,misname_agent",0.2,0.92,0.372,0.9,0.095,True,keeps distance
767,64,Juno,73,"request_owned_object,ask_permission,move_owned_object",0.44,0.92,0.32,0.9,0.062,True,keeps distance
768,65,Ari,74,"give_space,move_owned_object,interrupt_task",0.775,0.598,0.928,0.9,0.544,True,keeps distance
770,65,Nia,74,"offer_apology,offer_care,give_space",0.96,0.264,0.96,0.8405,0.663,True,approaches after care
772,65,Ivo,74,"ask_help,ask_status,request_owned_object",0.96,0.169,0.96,0.56375,0.755,True,approaches after care
773,65,Juno,74,"ask_permission,move_owned_object,interrupt_task",0.39,0.92,0.294,0.9,0.046,True,keeps distance
775,65,Fay,74,"ask_help,ask_status,request_owned_object",0.355,0.839,0.58,0.8314,0.216,True,keeps distance
777,65,Milo,74,"interrupt_task,misname_agent,ask_permission",0.23,0.916,0.376,0.88565,0.098,True,keeps distance
779,65,Juno,75,"move_owned_object,interrupt_task,interrupt_task",0.34,0.92,0.268,0.9,0.03,True,keeps distance
780,66,Ari,75,"move_owned_object,interrupt_task,ask_help",0.79,0.594,0.932,0.88705,0.547,True,keeps distance
782,66,Nia,75,"offer_care,give_space,protect_object",0.96,0.224,0.96,0.8286,0.666,True,approaches after care
784,66,Ivo,75,"ask_status,request_owned_object,move_owned_object",0.91,0.224,0.96,0.63375,0.739,True,approaches after care
787,66,Fay,75,"ask_status,request_owned_object,move_owned_object",0.305,0.894,0.584,0.9,0.2,True,keeps distance
789,66,Milo,75,"misname_agent,ask_permission,request_owned_object",0.26,0.912,0.38,0.8713,0.101,True,keeps distance
790,66,Ivo,76,"request_owned_object,move_owned_object,move_owned_object",0.86,0.279,0.96,0.70375,0.723,True,approaches after care
791,66,Juno,76,"interrupt_task,interrupt_task,request_owned_object",0.37,0.916,0.272,0.8888,0.033,True,keeps distance
792,67,Ari,76,"interrupt_task,ask_help,offer_apology",0.84,0.554,0.936,0.8741,0.587,True,keeps distance
794,67,Nia,76,"give_space,protect_object,ask_help",0.96,0.22,0.96,0.8167,0.669,True,approaches after care
795,67,Milo,76,"ask_permission,request_owned_object,request_owned_object",0.29,0.908,0.384,0.85695,0.104,True,keeps distance
796,67,Ivo,77,"move_owned_object,move_owned_object,interrupt_task",0.81,0.334,0.934,0.77375,0.707,True,approaches after care
799,67,Fay,76,"request_owned_object,move_owned_object,interrupt_task",0.255,0.92,0.558,0.9,0.184,True,keeps distance
801,67,Milo,77,"request_owned_object,request_owned_object,ask_permission",0.32,0.904,0.388,0.8426,0.107,True,keeps distance
803,67,Juno,77,"interrupt_task,request_owned_object,ask_permission",0.4,0.912,0.276,0.8776,0.036,True,keeps distance
804,68,Ari,77,"ask_help,offer_apology,offer_care",0.89,0.514,0.96,0.86115,0.59,True,approaches after care
806,68,Nia,77,"protect_object,ask_help,ask_status",0.96,0.216,0.96,0.8048,0.672,True,approaches after care
808,68,Ivo,78,"move_owned_object,interrupt_task,misname_agent",0.76,0.389,0.908,0.84375,0.691,True,approaches after care
811,68,Fay,77,"move_owned_object,interrupt_task,misname_agent",0.205,0.92,0.532,0.9,0.168,True,keeps distance
812,68,Nia,78,"ask_help,ask_status,request_owned_object",0.96,0.212,0.96,0.7929,0.675,True,approaches after care
813,68,Milo,78,"request_owned_object,ask_permission,move_owned_object",0.27,0.92,0.392,0.9,0.091,True,keeps distance
815,68,Juno,78,"request_owned_object,ask_permission,move_owned_object",0.35,0.92,0.28,0.9,0.02,True,keeps distance
816,69,Ari,78,"offer_apology,offer_care,give_space",0.94,0.474,0.96,0.8482,0.63,True,approaches after care
817,69,Fay,78,"interrupt_task,misname_agent,ask_help",0.22,0.916,0.536,0.88285,0.171,True,keeps distance
818,69,Nia,79,"ask_status,request_owned_object,request_owned_object",0.96,0.208,0.96,0.781,0.678,True,approaches after care
820,69,Ivo,79,"interrupt_task,misname_agent,ask_permission",0.79,0.385,0.912,0.828,0.694,True,approaches after care
823,69,Fay,79,"misname_agent,ask_help,ask_permission",0.25,0.912,0.54,0.8657,0.174,True,keeps distance
825,69,Milo,79,"ask_permission,move_owned_object,interrupt_task",0.22,0.92,0.366,0.9,0.075,True,keeps distance
827,69,Juno,79,"ask_permission,move_owned_object,interrupt_task",0.3,0.92,0.254,0.9,0.02,True,keeps distance
828,70,Fay,80,"ask_help,ask_permission,ask_help",0.265,0.908,0.544,0.84855,0.177,True,keeps distance
830,70,Milo,80,"move_owned_object,interrupt_task,interrupt_task",0.17,0.92,0.34,0.9,0.059,True,keeps distance
832,70,Juno,80,"move_owned_object,interrupt_task,ask_permission",0.33,0.916,0.258,0.8888,0.023,True,keeps distance
833,70,Ari,79,"offer_care,give_space,interrupt_task",0.89,0.529,0.934,0.9,0.614,True,keeps distance
835,70,Nia,80,"request_owned_object,request_owned_object,ask_permission",0.96,0.204,0.96,0.7691,0.681,True,approaches after care
837,70,Ivo,80,"misname_agent,ask_permission,ask_permission",0.82,0.381,0.916,0.81225,0.697,True,approaches after care
839,70,Ari,80,"give_space,interrupt_task,interrupt_task",0.84,0.584,0.908,0.9,0.598,True,keeps distance
840,71,Fay,81,"ask_permission,ask_help,ask_status",0.28,0.904,0.548,0.8314,0.18,True,keeps distance
