tick_id,day,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_control
251,16,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
252,16,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
253,16,signal_orchard,direct route glow,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
254,16,orchard_riverbend,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
255,16,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
256,17,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
257,17,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
258,17,archive_signal,highlighted detour path,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
259,17,signal_orchard,direct route glow,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
260,17,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
261,17,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
262,17,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
263,17,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
264,17,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
265,17,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
266,17,orchard_riverbend,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
267,17,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
268,17,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
269,17,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
270,17,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
271,17,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
272,18,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
273,18,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
274,18,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
275,18,archive_signal,direct route glow,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
276,18,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
277,18,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
278,18,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
279,18,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
280,18,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
281,18,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
282,18,signal_orchard,highlighted detour path,caravan bell,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
283,18,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
284,18,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
285,18,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
286,18,roofward_archive,direct route glow,control click,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
287,18,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
288,19,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
289,19,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
290,19,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
291,19,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
292,19,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,flower-node,True
293,19,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
294,19,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
295,19,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
296,19,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
297,19,riverbend_roofward,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
298,19,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
299,19,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,control-pulse,True
300,19,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
301,19,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
302,19,central_repair_ring,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
303,19,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
304,20,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
305,20,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
306,20,signal_orchard,highlighted detour path,caravan bell,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
307,20,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
308,20,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
309,20,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
310,20,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
311,20,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,control-pulse,True
312,20,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
313,20,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
314,20,central_repair_ring,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
315,20,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
316,20,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
317,20,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
318,20,signal_orchard,highlighted detour path,caravan bell,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
319,20,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
320,21,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
321,21,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
322,21,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
323,21,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,control-pulse,True
324,21,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
325,21,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
326,21,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
327,21,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
328,21,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
329,21,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
330,21,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
331,21,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
332,21,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
333,21,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
334,21,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
335,21,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
336,22,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
337,22,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
338,22,central_repair_ring,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
339,22,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
340,22,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
341,22,archive_signal,direct route glow,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
342,22,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
343,22,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
344,22,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
345,22,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
346,22,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
347,22,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
348,22,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
349,22,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
350,22,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
351,22,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
352,23,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
353,23,archive_signal,direct route glow,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
354,23,signal_orchard,highlighted detour path,caravan bell,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
355,23,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
356,23,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
357,23,riverbend_roofward,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
358,23,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
359,23,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,control-pulse,True
360,23,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
361,23,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
362,23,central_repair_ring,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
363,23,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
364,23,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
365,23,archive_signal,direct route glow,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
366,23,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
367,23,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
368,24,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
369,24,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
370,24,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
371,24,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
372,24,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
373,24,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
374,24,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
375,24,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
376,24,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
377,24,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
378,24,orchard_riverbend,highlighted detour path,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
379,24,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
380,24,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
381,24,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
382,24,archive_signal,direct route glow,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
383,24,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
384,25,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
385,25,central_repair_ring,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
386,25,riverbend_roofward,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
387,25,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
388,25,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
389,25,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
390,25,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
391,25,central_repair_ring,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
392,25,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
393,25,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
394,25,archive_signal,direct route glow,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
395,25,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
396,25,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
397,25,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
398,25,riverbend_roofward,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
399,25,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
400,26,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
401,26,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
402,26,orchard_riverbend,highlighted detour path,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
403,26,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
404,26,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
405,26,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
406,26,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
407,26,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,control-pulse,True
408,26,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
409,26,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
410,26,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
411,26,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
412,26,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
413,26,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
414,26,orchard_riverbend,highlighted detour path,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
415,26,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
416,27,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
417,27,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
418,27,archive_signal,direct route glow,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
419,27,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,control-pulse,True
420,27,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
421,27,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
422,27,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
423,27,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
424,27,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
425,27,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
426,27,orchard_riverbend,highlighted detour path,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
427,27,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
428,27,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,flower-node,True
429,27,roofward_archive,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
430,27,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
431,27,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
432,28,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
433,28,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
434,28,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
435,28,roofward_archive,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
436,28,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
437,28,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
438,28,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
439,28,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
440,28,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
441,28,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
442,28,archive_signal,direct route glow,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
443,28,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,control-pulse,True
444,28,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
445,28,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
446,28,riverbend_roofward,highlighted detour path,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
447,28,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
448,29,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
449,29,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
450,29,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
451,29,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
452,29,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
453,29,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
454,29,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
455,29,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
456,29,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
457,29,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
458,29,riverbend_roofward,highlighted detour path,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
459,29,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
460,29,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
461,29,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
462,29,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
463,29,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
464,30,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
465,30,archive_signal,direct route glow,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
466,30,signal_orchard,highlighted detour path,caravan bell,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
467,30,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
468,30,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
469,30,riverbend_roofward,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
470,30,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
471,30,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
472,30,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
473,30,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
474,30,central_repair_ring,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
475,30,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
476,30,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
477,30,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
478,30,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
479,30,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
480,31,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
481,31,riverbend_roofward,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
482,31,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
483,31,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,control-pulse,True
484,31,signal_orchard,direct route glow,control click,oil and paper,mild route air,wet crossing,careful planning posture,flower-node,True
485,31,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
486,31,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
487,31,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
488,31,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
489,31,archive_signal,direct route glow,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
490,31,signal_orchard,direct route glow,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
491,31,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
492,31,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
493,31,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
494,31,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
495,31,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
496,32,signal_orchard,direct route glow,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
497,32,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
498,32,central_repair_ring,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
499,32,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
500,32,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
501,32,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
