tick,day,resident,schedule_before,schedule_after,debt_before,debt_after,trust_before,trust_after,memory_note,history_not_erased,non_magical_trust_repair
0,1,Tovan,sort herbs,carry water,0.56,0.558,0.357947,0.360947,enter linked to v60:tovan:water_carry:d001:s00; prehistory remains locked,True,True
1367,76,Sera,sort herbs,carry water,0.311721,0.289721,0.631582,0.649582,offer_help linked to v60:sera:missed_greeting:d076:s17; prehistory remains locked,True,True
1368,77,Tovan,dry cloaks,map safe route,0.31916,0.31716,0.693239,0.696239,inspect_memory linked to v60:tovan:route_warning:d077:s00; prehistory remains locked,True,True
1369,77,Nia,map safe route,rest after rain,0.326599,0.324599,0.589631,0.592631,enter linked to v60:nia:tool_loan:d077:s01; prehistory remains locked,True,True
1370,77,Ari,rest after rain,recover focus,0.334032,0.332032,0.37905,0.39705,talk linked to v60:ari:water_carry:d077:s02; prehistory remains locked,True,True
1371,77,Fay,recover focus,repair awning,0.341451,0.319451,0.344462,0.362462,offer_help linked to v60:fay:repair_promise:d077:s03; prehistory remains locked,True,True
1372,77,Milo,repair awning,sort herbs,0.34885,0.32685,0.458457,0.476457,return_tool linked to v60:milo:missed_greeting:d077:s04; prehistory remains locked,True,True
1373,77,Sera,sort herbs,carry water,0.356221,0.354221,0.638791,0.641791,inspect_memory linked to v60:sera:care_favor:d077:s05; prehistory remains locked,True,True
1374,77,Tovan,carry water,dry cloaks,0.363557,0.361557,0.6909,0.6939,enter linked to v60:tovan:route_warning:d077:s06; prehistory remains locked,True,True
1375,77,Nia,dry cloaks,map safe route,0.370851,0.368851,0.594272,0.612272,talk linked to v60:nia:tool_loan:d077:s07; prehistory remains locked,True,True
1376,77,Ari,map safe route,rest after rain,0.378097,0.356097,0.370954,0.388954,offer_help linked to v60:ari:water_carry:d077:s08; prehistory remains locked,True,True
1377,77,Fay,rest after rain,recover focus,0.385287,0.363287,0.331712,0.349712,return_tool linked to v60:fay:repair_promise:d077:s09; prehistory remains locked,True,True
1378,77,Milo,recover focus,repair awning,0.392413,0.390413,0.471685,0.474685,inspect_memory linked to v60:milo:missed_greeting:d077:s10; prehistory remains locked,True,True
1379,77,Sera,repair awning,sort herbs,0.399471,0.397471,0.619505,0.622505,enter linked to v60:sera:care_favor:d077:s11; prehistory remains locked,True,True
1380,77,Tovan,sort herbs,carry water,0.406452,0.404452,0.68497,0.70297,talk linked to v60:tovan:route_warning:d077:s12; prehistory remains locked,True,True
1381,77,Nia,carry water,dry cloaks,0.41335,0.39135,0.592671,0.610671,offer_help linked to v60:nia:tool_loan:d077:s13; prehistory remains locked,True,True
1382,77,Ari,dry cloaks,map safe route,0.420158,0.398158,0.371191,0.389191,return_tool linked to v60:ari:water_carry:d077:s14; prehistory remains locked,True,True
1383,77,Fay,map safe route,rest after rain,0.42687,0.42487,0.349578,0.352578,inspect_memory linked to v60:fay:repair_promise:d077:s15; prehistory remains locked,True,True
1384,77,Milo,rest after rain,recover focus,0.433479,0.431479,0.459398,0.462398,enter linked to v60:milo:missed_greeting:d077:s16; prehistory remains locked,True,True
1385,77,Sera,recover focus,repair awning,0.439979,0.437979,0.627024,0.645024,talk linked to v60:sera:care_favor:d077:s17; prehistory remains locked,True,True
1386,78,Tovan,sort herbs,carry water,0.446364,0.424364,0.681059,0.699059,return_tool linked to v60:tovan:tool_loan:d078:s00; prehistory remains locked,True,True
1387,78,Nia,carry water,dry cloaks,0.452628,0.450628,0.565103,0.568103,inspect_memory linked to v60:nia:water_carry:d078:s01; prehistory remains locked,True,True
1388,78,Ari,dry cloaks,map safe route,0.458764,0.456764,0.363561,0.366561,enter linked to v60:ari:repair_promise:d078:s02; prehistory remains locked,True,True
1389,78,Fay,map safe route,rest after rain,0.464766,0.462766,0.344129,0.362129,talk linked to v60:fay:missed_greeting:d078:s03; prehistory remains locked,True,True
1390,78,Milo,rest after rain,recover focus,0.47063,0.44863,0.473102,0.491102,offer_help linked to v60:milo:care_favor:d078:s04; prehistory remains locked,True,True
1391,78,Sera,recover focus,repair awning,0.476349,0.454349,0.640783,0.658783,return_tool linked to v60:sera:route_warning:d078:s05; prehistory remains locked,True,True
1392,78,Tovan,repair awning,sort herbs,0.481918,0.479918,0.687058,0.690058,inspect_memory linked to v60:tovan:tool_loan:d078:s06; prehistory remains locked,True,True
1393,78,Nia,sort herbs,carry water,0.487331,0.485331,0.584036,0.587036,enter linked to v60:nia:water_carry:d078:s07; prehistory remains locked,True,True
1394,78,Ari,carry water,dry cloaks,0.492583,0.490583,0.370349,0.388349,talk linked to v60:ari:repair_promise:d078:s08; prehistory remains locked,True,True
1395,78,Fay,dry cloaks,map safe route,0.497669,0.475669,0.346397,0.364397,offer_help linked to v60:fay:missed_greeting:d078:s09; prehistory remains locked,True,True
1396,78,Milo,map safe route,rest after rain,0.502585,0.480585,0.468896,0.486896,return_tool linked to v60:milo:care_favor:d078:s10; prehistory remains locked,True,True
1397,78,Sera,rest after rain,recover focus,0.507325,0.505325,0.64386,0.64686,inspect_memory linked to v60:sera:route_warning:d078:s11; prehistory remains locked,True,True
1398,78,Tovan,recover focus,repair awning,0.511885,0.509885,0.691269,0.694269,enter linked to v60:tovan:tool_loan:d078:s12; prehistory remains locked,True,True
1399,78,Nia,repair awning,sort herbs,0.516261,0.514261,0.574794,0.592794,talk linked to v60:nia:water_carry:d078:s13; prehistory remains locked,True,True
1400,78,Ari,sort herbs,carry water,0.520448,0.498448,0.361034,0.379034,offer_help linked to v60:ari:repair_promise:d078:s14; prehistory remains locked,True,True
1401,78,Fay,carry water,dry cloaks,0.524443,0.502443,0.352459,0.370459,return_tool linked to v60:fay:missed_greeting:d078:s15; prehistory remains locked,True,True
1402,78,Milo,dry cloaks,map safe route,0.528241,0.526241,0.459543,0.462543,inspect_memory linked to v60:milo:care_favor:d078:s16; prehistory remains locked,True,True
1403,78,Sera,map safe route,rest after rain,0.531839,0.529839,0.645651,0.648651,enter linked to v60:sera:route_warning:d078:s17; prehistory remains locked,True,True
1404,79,Tovan,recover focus,repair awning,0.535234,0.513234,0.693567,0.711567,offer_help linked to v60:tovan:water_carry:d079:s00; prehistory remains locked,True,True
1405,79,Nia,repair awning,sort herbs,0.538421,0.516421,0.565496,0.583496,return_tool linked to v60:nia:repair_promise:d079:s01; prehistory remains locked,True,True
1406,79,Ari,sort herbs,carry water,0.541399,0.539399,0.372134,0.375134,inspect_memory linked to v60:ari:missed_greeting:d079:s02; prehistory remains locked,True,True
1407,79,Fay,carry water,dry cloaks,0.544164,0.542164,0.340692,0.343692,enter linked to v60:fay:care_favor:d079:s03; prehistory remains locked,True,True
1408,79,Milo,dry cloaks,map safe route,0.546714,0.544714,0.488539,0.506539,talk linked to v60:milo:route_warning:d079:s04; prehistory remains locked,True,True
1409,79,Sera,map safe route,rest after rain,0.549046,0.527046,0.638175,0.656175,offer_help linked to v60:sera:tool_loan:d079:s05; prehistory remains locked,True,True
1410,79,Tovan,rest after rain,recover focus,0.551157,0.529157,0.682018,0.700018,return_tool linked to v60:tovan:water_carry:d079:s06; prehistory remains locked,True,True
1411,79,Nia,recover focus,repair awning,0.553047,0.551047,0.571548,0.574548,inspect_memory linked to v60:nia:repair_promise:d079:s07; prehistory remains locked,True,True
1412,79,Ari,repair awning,sort herbs,0.554713,0.552713,0.367873,0.370873,enter linked to v60:ari:missed_greeting:d079:s08; prehistory remains locked,True,True
1413,79,Fay,sort herbs,carry water,0.556153,0.554153,0.344308,0.362308,talk linked to v60:fay:care_favor:d079:s09; prehistory remains locked,True,True
1414,79,Milo,carry water,dry cloaks,0.557366,0.535366,0.481293,0.499293,offer_help linked to v60:milo:route_warning:d079:s10; prehistory remains locked,True,True
1415,79,Sera,dry cloaks,map safe route,0.558351,0.536351,0.642451,0.660451,return_tool linked to v60:sera:tool_loan:d079:s11; prehistory remains locked,True,True
1416,79,Tovan,map safe route,rest after rain,0.559107,0.557107,0.681835,0.684835,inspect_memory linked to v60:tovan:water_carry:d079:s12; prehistory remains locked,True,True
1417,79,Nia,rest after rain,recover focus,0.559633,0.557633,0.574219,0.577219,enter linked to v60:nia:repair_promise:d079:s13; prehistory remains locked,True,True
1418,79,Ari,recover focus,repair awning,0.559929,0.557929,0.366382,0.384382,talk linked to v60:ari:missed_greeting:d079:s14; prehistory remains locked,True,True
1419,79,Fay,repair awning,sort herbs,0.559995,0.537995,0.348538,0.366538,offer_help linked to v60:fay:care_favor:d079:s15; prehistory remains locked,True,True
1420,79,Milo,sort herbs,carry water,0.559829,0.537829,0.475054,0.493054,return_tool linked to v60:milo:route_warning:d079:s16; prehistory remains locked,True,True
1421,79,Sera,carry water,dry cloaks,0.559434,0.557434,0.648017,0.651017,inspect_memory linked to v60:sera:tool_loan:d079:s17; prehistory remains locked,True,True
1422,80,Tovan,map safe route,rest after rain,0.558808,0.556808,0.672895,0.690895,talk linked to v60:tovan:repair_promise:d080:s00; prehistory remains locked,True,True
1423,80,Nia,rest after rain,recover focus,0.557953,0.535953,0.560791,0.578791,offer_help linked to v60:nia:missed_greeting:d080:s01; prehistory remains locked,True,True
1424,80,Ari,recover focus,repair awning,0.556869,0.534869,0.364865,0.382865,return_tool linked to v60:ari:care_favor:d080:s02; prehistory remains locked,True,True
1425,80,Fay,repair awning,sort herbs,0.555558,0.553558,0.353543,0.356543,inspect_memory linked to v60:fay:route_warning:d080:s03; prehistory remains locked,True,True
1426,80,Milo,sort herbs,carry water,0.55402,0.55202,0.482925,0.485925,enter linked to v60:milo:tool_loan:d080:s04; prehistory remains locked,True,True
1427,80,Sera,carry water,dry cloaks,0.552257,0.550257,0.640058,0.658058,talk linked to v60:sera:water_carry:d080:s05; prehistory remains locked,True,True
1428,80,Tovan,dry cloaks,map safe route,0.550271,0.528271,0.680284,0.698284,offer_help linked to v60:tovan:repair_promise:d080:s06; prehistory remains locked,True,True
1429,80,Nia,map safe route,rest after rain,0.548064,0.526064,0.550737,0.568737,return_tool linked to v60:nia:missed_greeting:d080:s07; prehistory remains locked,True,True
1430,80,Ari,rest after rain,recover focus,0.545638,0.543638,0.355314,0.358314,inspect_memory linked to v60:ari:care_favor:d080:s08; prehistory remains locked,True,True
1431,80,Fay,recover focus,repair awning,0.542995,0.540995,0.358082,0.361082,enter linked to v60:fay:route_warning:d080:s09; prehistory remains locked,True,True
1432,80,Milo,repair awning,sort herbs,0.540137,0.538137,0.484399,0.502399,talk linked to v60:milo:tool_loan:d080:s10; prehistory remains locked,True,True
1433,80,Sera,sort herbs,carry water,0.537068,0.515068,0.642688,0.660688,offer_help linked to v60:sera:water_carry:d080:s11; prehistory remains locked,True,True
1434,80,Tovan,carry water,dry cloaks,0.533791,0.511791,0.678822,0.696822,return_tool linked to v60:tovan:repair_promise:d080:s12; prehistory remains locked,True,True
1435,80,Nia,dry cloaks,map safe route,0.530308,0.528308,0.557867,0.560867,inspect_memory linked to v60:nia:missed_greeting:d080:s13; prehistory remains locked,True,True
1436,80,Ari,map safe route,rest after rain,0.526623,0.524623,0.363007,0.366007,enter linked to v60:ari:care_favor:d080:s14; prehistory remains locked,True,True
1437,80,Fay,rest after rain,recover focus,0.522739,0.520739,0.341253,0.359253,talk linked to v60:fay:route_warning:d080:s15; prehistory remains locked,True,True
1438,80,Milo,recover focus,repair awning,0.518661,0.496661,0.498396,0.516396,offer_help linked to v60:milo:tool_loan:d080:s16; prehistory remains locked,True,True
1439,80,Sera,repair awning,sort herbs,0.514392,0.492392,0.659057,0.677057,return_tool linked to v60:sera:water_carry:d080:s17; prehistory remains locked,True,True
1440,81,Tovan,carry water,dry cloaks,0.509936,0.507936,0.689543,0.692543,enter linked to v60:tovan:missed_greeting:d081:s00; prehistory remains locked,True,True
1441,81,Nia,dry cloaks,map safe route,0.505297,0.503297,0.539491,0.557491,talk linked to v60:nia:care_favor:d081:s01; prehistory remains locked,True,True
1442,81,Ari,map safe route,rest after rain,0.50048,0.47848,0.350569,0.368569,offer_help linked to v60:ari:route_warning:d081:s02; prehistory remains locked,True,True
1443,81,Fay,rest after rain,recover focus,0.49549,0.47349,0.350518,0.368518,return_tool linked to v60:fay:tool_loan:d081:s03; prehistory remains locked,True,True
1444,81,Milo,recover focus,repair awning,0.490332,0.488332,0.490459,0.493459,inspect_memory linked to v60:milo:water_carry:d081:s04; prehistory remains locked,True,True
1445,81,Sera,repair awning,sort herbs,0.485009,0.483009,0.664861,0.667861,enter linked to v60:sera:repair_promise:d081:s05; prehistory remains locked,True,True
1446,81,Tovan,sort herbs,carry water,0.479528,0.477528,0.681984,0.699984,talk linked to v60:tovan:missed_greeting:d081:s06; prehistory remains locked,True,True
1447,81,Nia,carry water,dry cloaks,0.473894,0.451894,0.545727,0.563727,offer_help linked to v60:nia:care_favor:d081:s07; prehistory remains locked,True,True
1448,81,Ari,dry cloaks,map safe route,0.468112,0.446112,0.343154,0.361154,return_tool linked to v60:ari:route_warning:d081:s08; prehistory remains locked,True,True
1449,81,Fay,map safe route,rest after rain,0.462187,0.460187,0.344603,0.347603,inspect_memory linked to v60:fay:tool_loan:d081:s09; prehistory remains locked,True,True
1450,81,Milo,rest after rain,recover focus,0.456126,0.454126,0.488577,0.491577,enter linked to v60:milo:water_carry:d081:s10; prehistory remains locked,True,True
1451,81,Sera,recover focus,repair awning,0.449934,0.447934,0.663914,0.681914,talk linked to v60:sera:repair_promise:d081:s11; prehistory remains locked,True,True
1452,81,Tovan,repair awning,sort herbs,0.443618,0.421618,0.689952,0.707952,offer_help linked to v60:tovan:missed_greeting:d081:s12; prehistory remains locked,True,True
1453,81,Nia,sort herbs,carry water,0.437182,0.415182,0.549119,0.567119,return_tool linked to v60:nia:care_favor:d081:s13; prehistory remains locked,True,True
1454,81,Ari,carry water,dry cloaks,0.430634,0.428634,0.348122,0.351122,inspect_memory linked to v60:ari:route_warning:d081:s14; prehistory remains locked,True,True
1455,81,Fay,dry cloaks,map safe route,0.42398,0.42198,0.363827,0.366827,enter linked to v60:fay:tool_loan:d081:s15; prehistory remains locked,True,True
1456,81,Milo,map safe route,rest after rain,0.417225,0.415225,0.49136,0.50936,talk linked to v60:milo:water_carry:d081:s16; prehistory remains locked,True,True
1457,81,Sera,rest after rain,recover focus,0.410377,0.388377,0.662769,0.680769,offer_help linked to v60:sera:repair_promise:d081:s17; prehistory remains locked,True,True
1458,82,Tovan,repair awning,sort herbs,0.403443,0.401443,0.685364,0.688364,inspect_memory linked to v60:tovan:care_favor:d082:s00; prehistory remains locked,True,True
1459,82,Nia,sort herbs,carry water,0.396428,0.394428,0.539942,0.542942,enter linked to v60:nia:route_warning:d082:s01; prehistory remains locked,True,True
1460,82,Ari,carry water,dry cloaks,0.38934,0.38734,0.343861,0.361861,talk linked to v60:ari:tool_loan:d082:s02; prehistory remains locked,True,True
1461,82,Fay,dry cloaks,map safe route,0.382185,0.360185,0.361936,0.379936,offer_help linked to v60:fay:water_carry:d082:s03; prehistory remains locked,True,True
1462,82,Milo,map safe route,rest after rain,0.37497,0.35297,0.506344,0.524344,return_tool linked to v60:milo:repair_promise:d082:s04; prehistory remains locked,True,True
1463,82,Sera,rest after rain,recover focus,0.367703,0.365703,0.656989,0.659989,inspect_memory linked to v60:sera:missed_greeting:d082:s05; prehistory remains locked,True,True
1464,82,Tovan,recover focus,repair awning,0.360389,0.358389,0.666138,0.669138,enter linked to v60:tovan:care_favor:d082:s06; prehistory remains locked,True,True
1465,82,Nia,repair awning,sort herbs,0.353037,0.351037,0.534167,0.552167,talk linked to v60:nia:route_warning:d082:s07; prehistory remains locked,True,True
1466,82,Ari,sort herbs,carry water,0.345653,0.323653,0.355373,0.373373,offer_help linked to v60:ari:tool_loan:d082:s08; prehistory remains locked,True,True
1467,82,Fay,carry water,dry cloaks,0.338245,0.316245,0.3515,0.3695,return_tool linked to v60:fay:water_carry:d082:s09; prehistory remains locked,True,True
1468,82,Milo,dry cloaks,map safe route,0.330819,0.328819,0.508077,0.511077,inspect_memory linked to v60:milo:repair_promise:d082:s10; prehistory remains locked,True,True
1469,82,Sera,map safe route,rest after rain,0.323382,0.321382,0.656746,0.659746,enter linked to v60:sera:missed_greeting:d082:s11; prehistory remains locked,True,True
1470,82,Tovan,rest after rain,recover focus,0.315943,0.313943,0.668835,0.686835,talk linked to v60:tovan:care_favor:d082:s12; prehistory remains locked,True,True
1471,82,Nia,recover focus,repair awning,0.308507,0.286507,0.535449,0.553449,offer_help linked to v60:nia:route_warning:d082:s13; prehistory remains locked,True,True
1472,82,Ari,repair awning,sort herbs,0.301082,0.279082,0.349446,0.367446,return_tool linked to v60:ari:tool_loan:d082:s14; prehistory remains locked,True,True
1473,82,Fay,sort herbs,carry water,0.293676,0.291676,0.352336,0.355336,inspect_memory linked to v60:fay:water_carry:d082:s15; prehistory remains locked,True,True
1474,82,Milo,carry water,dry cloaks,0.286294,0.284294,0.504301,0.507301,enter linked to v60:milo:repair_promise:d082:s16; prehistory remains locked,True,True
1475,82,Sera,dry cloaks,map safe route,0.278945,0.276945,0.653289,0.671289,talk linked to v60:sera:missed_greeting:d082:s17; prehistory remains locked,True,True
1476,83,Tovan,rest after rain,recover focus,0.271636,0.249636,0.667037,0.685037,return_tool linked to v60:tovan:route_warning:d083:s00; prehistory remains locked,True,True
1477,83,Nia,recover focus,repair awning,0.264373,0.262373,0.521168,0.524168,inspect_memory linked to v60:nia:tool_loan:d083:s01; prehistory remains locked,True,True
1478,83,Ari,repair awning,sort herbs,0.257163,0.255163,0.335716,0.338716,enter linked to v60:ari:water_carry:d083:s02; prehistory remains locked,True,True
1479,83,Fay,sort herbs,carry water,0.250014,0.248014,0.358988,0.376988,talk linked to v60:fay:repair_promise:d083:s03; prehistory remains locked,True,True
1480,83,Milo,carry water,dry cloaks,0.242932,0.220932,0.508798,0.526798,offer_help linked to v60:milo:missed_greeting:d083:s04; prehistory remains locked,True,True
1481,83,Sera,dry cloaks,map safe route,0.235925,0.213925,0.674374,0.692374,return_tool linked to v60:sera:care_favor:d083:s05; prehistory remains locked,True,True
1482,83,Tovan,map safe route,rest after rain,0.228998,0.226998,0.667371,0.670371,inspect_memory linked to v60:tovan:route_warning:d083:s06; prehistory remains locked,True,True
1483,83,Nia,rest after rain,recover focus,0.222158,0.220158,0.5218,0.5248,enter linked to v60:nia:tool_loan:d083:s07; prehistory remains locked,True,True
1484,83,Ari,recover focus,repair awning,0.215412,0.213412,0.353512,0.371512,talk linked to v60:ari:water_carry:d083:s08; prehistory remains locked,True,True
1485,83,Fay,repair awning,sort herbs,0.208767,0.186767,0.357181,0.375181,offer_help linked to v60:fay:repair_promise:d083:s09; prehistory remains locked,True,True
1486,83,Milo,sort herbs,carry water,0.202229,0.180229,0.515014,0.533014,return_tool linked to v60:milo:missed_greeting:d083:s10; prehistory remains locked,True,True
1487,83,Sera,carry water,dry cloaks,0.195804,0.193804,0.67295,0.67595,inspect_memory linked to v60:sera:care_favor:d083:s11; prehistory remains locked,True,True
1488,83,Tovan,dry cloaks,map safe route,0.189498,0.187498,0.667735,0.670735,enter linked to v60:tovan:route_warning:d083:s12; prehistory remains locked,True,True
1489,83,Nia,map safe route,rest after rain,0.183318,0.181318,0.537148,0.555148,talk linked to v60:nia:tool_loan:d083:s13; prehistory remains locked,True,True
1490,83,Ari,rest after rain,recover focus,0.177269,0.155269,0.350852,0.368852,offer_help linked to v60:ari:water_carry:d083:s14; prehistory remains locked,True,True
1491,83,Fay,recover focus,repair awning,0.171358,0.149358,0.353702,0.371702,return_tool linked to v60:fay:repair_promise:d083:s15; prehistory remains locked,True,True
1492,83,Milo,repair awning,sort herbs,0.165589,0.163589,0.511675,0.514675,inspect_memory linked to v60:milo:missed_greeting:d083:s16; prehistory remains locked,True,True
1493,83,Sera,sort herbs,carry water,0.159968,0.157968,0.660702,0.663702,enter linked to v60:sera:care_favor:d083:s17; prehistory remains locked,True,True
1494,84,Tovan,dry cloaks,map safe route,0.154501,0.132501,0.666349,0.684349,offer_help linked to v60:tovan:tool_loan:d084:s00; prehistory remains locked,True,True
1495,84,Nia,map safe route,rest after rain,0.149193,0.127193,0.522337,0.540337,return_tool linked to v60:nia:water_carry:d084:s01; prehistory remains locked,True,True
1496,84,Ari,rest after rain,recover focus,0.14405,0.14205,0.333619,0.336619,inspect_memory linked to v60:ari:repair_promise:d084:s02; prehistory remains locked,True,True
1497,84,Fay,recover focus,repair awning,0.139075,0.137075,0.372998,0.375998,enter linked to v60:fay:missed_greeting:d084:s03; prehistory remains locked,True,True
1498,84,Milo,repair awning,sort herbs,0.134275,0.132275,0.531301,0.549301,talk linked to v60:milo:care_favor:d084:s04; prehistory remains locked,True,True
1499,84,Sera,sort herbs,carry water,0.129652,0.107652,0.669738,0.687738,offer_help linked to v60:sera:route_warning:d084:s05; prehistory remains locked,True,True
1500,84,Tovan,carry water,dry cloaks,0.125213,0.103213,0.662521,0.680521,return_tool linked to v60:tovan:tool_loan:d084:s06; prehistory remains locked,True,True
1501,84,Nia,dry cloaks,map safe route,0.120961,0.118961,0.518184,0.521184,inspect_memory linked to v60:nia:water_carry:d084:s07; prehistory remains locked,True,True
1502,84,Ari,map safe route,rest after rain,0.1169,0.1149,0.34386,0.34686,enter linked to v60:ari:repair_promise:d084:s08; prehistory remains locked,True,True
1503,84,Fay,rest after rain,recover focus,0.113034,0.111034,0.377855,0.395855,talk linked to v60:fay:missed_greeting:d084:s09; prehistory remains locked,True,True
1504,84,Milo,recover focus,repair awning,0.109368,0.087368,0.530278,0.548278,offer_help linked to v60:milo:care_favor:d084:s10; prehistory remains locked,True,True
1505,84,Sera,repair awning,sort herbs,0.105903,0.083903,0.672472,0.690472,return_tool linked to v60:sera:route_warning:d084:s11; prehistory remains locked,True,True
1506,84,Tovan,sort herbs,carry water,0.102644,0.100644,0.673905,0.676905,inspect_memory linked to v60:tovan:tool_loan:d084:s12; prehistory remains locked,True,True
1507,84,Nia,carry water,dry cloaks,0.099595,0.097595,0.529615,0.532615,enter linked to v60:nia:water_carry:d084:s13; prehistory remains locked,True,True
1508,84,Ari,dry cloaks,map safe route,0.096756,0.094756,0.346985,0.364985,talk linked to v60:ari:repair_promise:d084:s14; prehistory remains locked,True,True
1509,84,Fay,map safe route,rest after rain,0.094133,0.072133,0.378238,0.396238,offer_help linked to v60:fay:missed_greeting:d084:s15; prehistory remains locked,True,True
1510,84,Milo,rest after rain,recover focus,0.091726,0.069726,0.5237,0.5417,return_tool linked to v60:milo:care_favor:d084:s16; prehistory remains locked,True,True
1511,84,Sera,recover focus,repair awning,0.089539,0.087539,0.672592,0.675592,inspect_memory linked to v60:sera:route_warning:d084:s17; prehistory remains locked,True,True
1512,85,Tovan,sort herbs,carry water,0.087574,0.085574,0.653001,0.671001,talk linked to v60:tovan:water_carry:d085:s00; prehistory remains locked,True,True
1513,85,Nia,carry water,dry cloaks,0.085831,0.063831,0.507575,0.525575,offer_help linked to v60:nia:repair_promise:d085:s01; prehistory remains locked,True,True
1514,85,Ari,dry cloaks,map safe route,0.084314,0.062314,0.347269,0.365269,return_tool linked to v60:ari:missed_greeting:d085:s02; prehistory remains locked,True,True
1515,85,Fay,map safe route,rest after rain,0.083023,0.081023,0.384942,0.387942,inspect_memory linked to v60:fay:care_favor:d085:s03; prehistory remains locked,True,True
1516,85,Milo,rest after rain,recover focus,0.08196,0.07996,0.526842,0.529842,enter linked to v60:milo:route_warning:d085:s04; prehistory remains locked,True,True
1517,85,Sera,recover focus,repair awning,0.081126,0.079126,0.664012,0.682012,talk linked to v60:sera:tool_loan:d085:s05; prehistory remains locked,True,True
1518,85,Tovan,repair awning,sort herbs,0.080521,0.058521,0.669288,0.687288,offer_help linked to v60:tovan:water_carry:d085:s06; prehistory remains locked,True,True
1519,85,Nia,sort herbs,carry water,0.080146,0.058146,0.518008,0.536008,return_tool linked to v60:nia:repair_promise:d085:s07; prehistory remains locked,True,True
1520,85,Ari,carry water,dry cloaks,0.080002,0.078002,0.346776,0.349776,inspect_memory linked to v60:ari:missed_greeting:d085:s08; prehistory remains locked,True,True
1521,85,Fay,dry cloaks,map safe route,0.080088,0.078088,0.363654,0.366654,enter linked to v60:fay:care_favor:d085:s09; prehistory remains locked,True,True
1522,85,Milo,map safe route,rest after rain,0.080405,0.078405,0.544711,0.562711,talk linked to v60:milo:route_warning:d085:s10; prehistory remains locked,True,True
1523,85,Sera,rest after rain,recover focus,0.080952,0.058952,0.678038,0.696038,offer_help linked to v60:sera:tool_loan:d085:s11; prehistory remains locked,True,True
1524,85,Tovan,recover focus,repair awning,0.081729,0.059729,0.66357,0.68157,return_tool linked to v60:tovan:water_carry:d085:s12; prehistory remains locked,True,True
1525,85,Nia,repair awning,sort herbs,0.082735,0.080735,0.521449,0.524449,inspect_memory linked to v60:nia:repair_promise:d085:s13; prehistory remains locked,True,True
1526,85,Ari,sort herbs,carry water,0.083969,0.081969,0.347557,0.350557,enter linked to v60:ari:missed_greeting:d085:s14; prehistory remains locked,True,True
1527,85,Fay,carry water,dry cloaks,0.085429,0.083429,0.375421,0.393421,talk linked to v60:fay:care_favor:d085:s15; prehistory remains locked,True,True
1528,85,Milo,dry cloaks,map safe route,0.087115,0.065115,0.544666,0.562666,offer_help linked to v60:milo:route_warning:d085:s16; prehistory remains locked,True,True
1529,85,Sera,map safe route,rest after rain,0.089025,0.067025,0.672343,0.690343,return_tool linked to v60:sera:tool_loan:d085:s17; prehistory remains locked,True,True
1530,86,Tovan,recover focus,repair awning,0.091157,0.089157,0.658485,0.661485,enter linked to v60:tovan:repair_promise:d086:s00; prehistory remains locked,True,True
1531,86,Nia,repair awning,sort herbs,0.093509,0.091509,0.499801,0.517801,talk linked to v60:nia:missed_greeting:d086:s01; prehistory remains locked,True,True
1532,86,Ari,sort herbs,carry water,0.096078,0.074078,0.343461,0.361461,offer_help linked to v60:ari:care_favor:d086:s02; prehistory remains locked,True,True
1533,86,Fay,carry water,dry cloaks,0.098862,0.076862,0.387524,0.405524,return_tool linked to v60:fay:route_warning:d086:s03; prehistory remains locked,True,True
1534,86,Milo,dry cloaks,map safe route,0.101859,0.099859,0.540386,0.543386,inspect_memory linked to v60:milo:tool_loan:d086:s04; prehistory remains locked,True,True
1535,86,Sera,map safe route,rest after rain,0.105066,0.103066,0.683663,0.686663,enter linked to v60:sera:water_carry:d086:s05; prehistory remains locked,True,True
1536,86,Tovan,rest after rain,recover focus,0.108479,0.106479,0.650002,0.668002,talk linked to v60:tovan:repair_promise:d086:s06; prehistory remains locked,True,True
1537,86,Nia,recover focus,repair awning,0.112095,0.090095,0.511525,0.529525,offer_help linked to v60:nia:missed_greeting:d086:s07; prehistory remains locked,True,True
1538,86,Ari,repair awning,sort herbs,0.115911,0.093911,0.328832,0.346832,return_tool linked to v60:ari:care_favor:d086:s08; prehistory remains locked,True,True
1539,86,Fay,sort herbs,carry water,0.119924,0.117924,0.387192,0.390192,inspect_memory linked to v60:fay:route_warning:d086:s09; prehistory remains locked,True,True
1540,86,Milo,carry water,dry cloaks,0.124128,0.122128,0.5389,0.5419,enter linked to v60:milo:tool_loan:d086:s10; prehistory remains locked,True,True
1541,86,Sera,dry cloaks,map safe route,0.128521,0.126521,0.679168,0.697168,talk linked to v60:sera:water_carry:d086:s11; prehistory remains locked,True,True
1542,86,Tovan,map safe route,rest after rain,0.133098,0.111098,0.664779,0.682779,offer_help linked to v60:tovan:repair_promise:d086:s12; prehistory remains locked,True,True
1543,86,Nia,rest after rain,recover focus,0.137854,0.115854,0.512704,0.530704,return_tool linked to v60:nia:missed_greeting:d086:s13; prehistory remains locked,True,True
1544,86,Ari,recover focus,repair awning,0.142785,0.140785,0.340013,0.343013,inspect_memory linked to v60:ari:care_favor:d086:s14; prehistory remains locked,True,True
