mutation_id,choice_id,simulated_day,lineage,agent,selected_branch_label,schedule_state_after,access_level_after,trust_after,boundary_pressure_after,welfare_note_after,agent_followup_due_day,local_storage_key,stored_state_json,mutation_hash
58,58,44,Rainline,Vonn,summary_then_decide,"summary first, defer access; delay=6",0.4558,0.6244,0.2663,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4558, ""agent"": ""Vonn"", ""boundary"": 0.2663, ""branch"": ""summary_then_decide"", ""choice_id"": 58, ""followup_due_day"": 4, ""lineage"": ""Rainline"", ""reentry_id"": 2, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6244}",b6209c9ed1c8963f
59,59,44,Rainline,Vonn,blocked_until_repair,old access blocked until repair; delay=36,0.3908,0.5644,0.3423,boundary pressure recorded; repair path required,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3908, ""agent"": ""Vonn"", ""boundary"": 0.3423, ""branch"": ""blocked_until_repair"", ""choice_id"": 59, ""followup_due_day"": 4, ""lineage"": ""Rainline"", ""reentry_id"": 2, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5644}",ceee8ed657093806
60,60,44,Rainline,Vonn,observe_then_followup,"observe, then agent follow-up; delay=2",0.4458,0.6204,0.2743,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4458, ""agent"": ""Vonn"", ""boundary"": 0.2743, ""branch"": ""observe_then_followup"", ""choice_id"": 60, ""followup_due_day"": 4, ""lineage"": ""Rainline"", ""reentry_id"": 2, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6204}",477d7567a37087f2
61,61,45,Hearthline,Sova,limited_access,limited public access accepted; delay=10,0.4904,0.6456,0.2629,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4904, ""agent"": ""Sova"", ""boundary"": 0.2629, ""branch"": ""limited_access"", ""choice_id"": 61, ""followup_due_day"": 5, ""lineage"": ""Hearthline"", ""reentry_id"": 3, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6456}",5190cabc2bad77e1
62,62,45,Hearthline,Sova,repair_first_access,repair before access; delay=18,0.4734,0.6616,0.2529,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4734, ""agent"": ""Sova"", ""boundary"": 0.2529, ""branch"": ""repair_first_access"", ""choice_id"": 62, ""followup_due_day"": 5, ""lineage"": ""Hearthline"", ""reentry_id"": 3, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6616}",2bea794d36ea68fa
63,63,45,Hearthline,Sova,summary_then_decide,"summary first, defer access; delay=6",0.4554,0.6316,0.2709,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4554, ""agent"": ""Sova"", ""boundary"": 0.2709, ""branch"": ""summary_then_decide"", ""choice_id"": 63, ""followup_due_day"": 5, ""lineage"": ""Hearthline"", ""reentry_id"": 3, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6316}",297e05cfb3d7f898
64,64,45,Hearthline,Sova,blocked_until_repair,old access blocked until repair; delay=36,0.3904,0.5716,0.3469,boundary pressure recorded; repair path required,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3904, ""agent"": ""Sova"", ""boundary"": 0.3469, ""branch"": ""blocked_until_repair"", ""choice_id"": 64, ""followup_due_day"": 5, ""lineage"": ""Hearthline"", ""reentry_id"": 3, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5716}",b2d431d89bd88b99
65,65,45,Hearthline,Sova,observe_then_followup,"observe, then agent follow-up; delay=2",0.4454,0.6276,0.2789,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4454, ""agent"": ""Sova"", ""boundary"": 0.2789, ""branch"": ""observe_then_followup"", ""choice_id"": 65, ""followup_due_day"": 5, ""lineage"": ""Hearthline"", ""reentry_id"": 3, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6276}",6cee8b070c473dcb
66,66,45,Routeline,Keth,limited_access,limited public access accepted; delay=10,0.4896,0.6336,0.2641,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4896, ""agent"": ""Keth"", ""boundary"": 0.2641, ""branch"": ""limited_access"", ""choice_id"": 66, ""followup_due_day"": 5, ""lineage"": ""Routeline"", ""reentry_id"": 3, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6336}",43558f407272f30d
67,67,45,Routeline,Keth,repair_first_access,repair before access; delay=18,0.4726,0.6496,0.2541,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4726, ""agent"": ""Keth"", ""boundary"": 0.2541, ""branch"": ""repair_first_access"", ""choice_id"": 67, ""followup_due_day"": 5, ""lineage"": ""Routeline"", ""reentry_id"": 3, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6496}",3251543a125f6f99
68,68,45,Routeline,Keth,summary_then_decide,"summary first, defer access; delay=6",0.4546,0.6196,0.2721,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4546, ""agent"": ""Keth"", ""boundary"": 0.2721, ""branch"": ""summary_then_decide"", ""choice_id"": 68, ""followup_due_day"": 5, ""lineage"": ""Routeline"", ""reentry_id"": 3, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6196}",d27cf9556f31f341
69,69,45,Routeline,Keth,blocked_until_repair,old access blocked until repair; delay=36,0.3896,0.5596,0.3481,boundary pressure recorded; repair path required,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3896, ""agent"": ""Keth"", ""boundary"": 0.3481, ""branch"": ""blocked_until_repair"", ""choice_id"": 69, ""followup_due_day"": 5, ""lineage"": ""Routeline"", ""reentry_id"": 3, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5596}",c9077ae3dd5ad520
70,70,45,Routeline,Keth,observe_then_followup,"observe, then agent follow-up; delay=2",0.4446,0.6156,0.2801,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4446, ""agent"": ""Keth"", ""boundary"": 0.2801, ""branch"": ""observe_then_followup"", ""choice_id"": 70, ""followup_due_day"": 5, ""lineage"": ""Routeline"", ""reentry_id"": 3, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6156}",509f617e60fdae25
71,71,45,Marketline,Melo,limited_access,limited public access accepted; delay=10,0.4882,0.636,0.2662,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4882, ""agent"": ""Melo"", ""boundary"": 0.2662, ""branch"": ""limited_access"", ""choice_id"": 71, ""followup_due_day"": 5, ""lineage"": ""Marketline"", ""reentry_id"": 3, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.636}",e4df9e57decb5c71
72,72,45,Marketline,Melo,repair_first_access,repair before access; delay=18,0.4712,0.652,0.2562,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4712, ""agent"": ""Melo"", ""boundary"": 0.2562, ""branch"": ""repair_first_access"", ""choice_id"": 72, ""followup_due_day"": 5, ""lineage"": ""Marketline"", ""reentry_id"": 3, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.652}",2b29b4d29dcd9060
73,73,45,Marketline,Melo,summary_then_decide,"summary first, defer access; delay=6",0.4532,0.622,0.2742,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4532, ""agent"": ""Melo"", ""boundary"": 0.2742, ""branch"": ""summary_then_decide"", ""choice_id"": 73, ""followup_due_day"": 5, ""lineage"": ""Marketline"", ""reentry_id"": 3, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.622}",defaff86a22bedf4
74,74,45,Marketline,Melo,blocked_until_repair,old access blocked until repair; delay=36,0.3882,0.562,0.3502,boundary pressure recorded; repair path required,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3882, ""agent"": ""Melo"", ""boundary"": 0.3502, ""branch"": ""blocked_until_repair"", ""choice_id"": 74, ""followup_due_day"": 5, ""lineage"": ""Marketline"", ""reentry_id"": 3, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.562}",591ff234ead61807
75,75,45,Marketline,Melo,observe_then_followup,"observe, then agent follow-up; delay=2",0.4432,0.618,0.2822,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4432, ""agent"": ""Melo"", ""boundary"": 0.2822, ""branch"": ""observe_then_followup"", ""choice_id"": 75, ""followup_due_day"": 5, ""lineage"": ""Marketline"", ""reentry_id"": 3, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.618}",3b2cc9ef81c185ce
76,76,45,Ledgerline,Nari,limited_access,limited public access accepted; delay=10,0.4918,0.6312,0.2608,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4918, ""agent"": ""Nari"", ""boundary"": 0.2608, ""branch"": ""limited_access"", ""choice_id"": 76, ""followup_due_day"": 5, ""lineage"": ""Ledgerline"", ""reentry_id"": 3, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6312}",e07e16eba806b338
77,77,45,Ledgerline,Nari,repair_first_access,repair before access; delay=18,0.4748,0.6472,0.2508,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4748, ""agent"": ""Nari"", ""boundary"": 0.2508, ""branch"": ""repair_first_access"", ""choice_id"": 77, ""followup_due_day"": 5, ""lineage"": ""Ledgerline"", ""reentry_id"": 3, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6472}",1b90232bb3087a68
78,78,45,Ledgerline,Nari,summary_then_decide,"summary first, defer access; delay=6",0.4568,0.6172,0.2688,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4568, ""agent"": ""Nari"", ""boundary"": 0.2688, ""branch"": ""summary_then_decide"", ""choice_id"": 78, ""followup_due_day"": 5, ""lineage"": ""Ledgerline"", ""reentry_id"": 3, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6172}",96958d506fa9c140
79,79,45,Ledgerline,Nari,blocked_until_repair,old access blocked until repair; delay=36,0.3918,0.5572,0.3448,boundary pressure recorded; repair path required,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3918, ""agent"": ""Nari"", ""boundary"": 0.3448, ""branch"": ""blocked_until_repair"", ""choice_id"": 79, ""followup_due_day"": 5, ""lineage"": ""Ledgerline"", ""reentry_id"": 3, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5572}",b19a8c8aba0f501a
80,80,45,Ledgerline,Nari,observe_then_followup,"observe, then agent follow-up; delay=2",0.4468,0.6132,0.2768,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4468, ""agent"": ""Nari"", ""boundary"": 0.2768, ""branch"": ""observe_then_followup"", ""choice_id"": 80, ""followup_due_day"": 5, ""lineage"": ""Ledgerline"", ""reentry_id"": 3, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6132}",ac065c9c45208f4b
81,81,45,Orchardline,Ori,limited_access,limited public access accepted; delay=10,0.488,0.6384,0.2665,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.488, ""agent"": ""Ori"", ""boundary"": 0.2665, ""branch"": ""limited_access"", ""choice_id"": 81, ""followup_due_day"": 5, ""lineage"": ""Orchardline"", ""reentry_id"": 3, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6384}",d7caf4abb109309f
82,82,45,Orchardline,Ori,repair_first_access,repair before access; delay=18,0.471,0.6544,0.2565,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.471, ""agent"": ""Ori"", ""boundary"": 0.2565, ""branch"": ""repair_first_access"", ""choice_id"": 82, ""followup_due_day"": 5, ""lineage"": ""Orchardline"", ""reentry_id"": 3, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6544}",5d7a56ba9b7194c6
83,83,45,Orchardline,Ori,summary_then_decide,"summary first, defer access; delay=6",0.453,0.6244,0.2745,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.453, ""agent"": ""Ori"", ""boundary"": 0.2745, ""branch"": ""summary_then_decide"", ""choice_id"": 83, ""followup_due_day"": 5, ""lineage"": ""Orchardline"", ""reentry_id"": 3, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6244}",e4eabb044d75bad2
84,84,45,Orchardline,Ori,blocked_until_repair,old access blocked until repair; delay=36,0.388,0.5644,0.3505,boundary pressure recorded; repair path required,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.388, ""agent"": ""Ori"", ""boundary"": 0.3505, ""branch"": ""blocked_until_repair"", ""choice_id"": 84, ""followup_due_day"": 5, ""lineage"": ""Orchardline"", ""reentry_id"": 3, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5644}",9bcb007ac4c0730f
85,85,45,Orchardline,Ori,observe_then_followup,"observe, then agent follow-up; delay=2",0.443,0.6204,0.2825,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.443, ""agent"": ""Ori"", ""boundary"": 0.2825, ""branch"": ""observe_then_followup"", ""choice_id"": 85, ""followup_due_day"": 5, ""lineage"": ""Orchardline"", ""reentry_id"": 3, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6204}",e5eb41a82e4f9675
86,86,45,Rainline,Vonn,limited_access,limited public access accepted; delay=10,0.4908,0.6324,0.2623,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4908, ""agent"": ""Vonn"", ""boundary"": 0.2623, ""branch"": ""limited_access"", ""choice_id"": 86, ""followup_due_day"": 5, ""lineage"": ""Rainline"", ""reentry_id"": 3, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6324}",bf6d6302e88596ea
87,87,45,Rainline,Vonn,repair_first_access,repair before access; delay=18,0.4738,0.6484,0.2523,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4738, ""agent"": ""Vonn"", ""boundary"": 0.2523, ""branch"": ""repair_first_access"", ""choice_id"": 87, ""followup_due_day"": 5, ""lineage"": ""Rainline"", ""reentry_id"": 3, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6484}",229a7a62213afe23
88,88,45,Rainline,Vonn,summary_then_decide,"summary first, defer access; delay=6",0.4558,0.6184,0.2703,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4558, ""agent"": ""Vonn"", ""boundary"": 0.2703, ""branch"": ""summary_then_decide"", ""choice_id"": 88, ""followup_due_day"": 5, ""lineage"": ""Rainline"", ""reentry_id"": 3, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6184}",4c4dbb86a9cb810b
89,89,45,Rainline,Vonn,blocked_until_repair,old access blocked until repair; delay=36,0.3908,0.5584,0.3463,boundary pressure recorded; repair path required,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3908, ""agent"": ""Vonn"", ""boundary"": 0.3463, ""branch"": ""blocked_until_repair"", ""choice_id"": 89, ""followup_due_day"": 5, ""lineage"": ""Rainline"", ""reentry_id"": 3, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5584}",1375557e6b522932
90,90,45,Rainline,Vonn,observe_then_followup,"observe, then agent follow-up; delay=2",0.4458,0.6144,0.2783,follow-up remains bounded and recoverable,5,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4458, ""agent"": ""Vonn"", ""boundary"": 0.2783, ""branch"": ""observe_then_followup"", ""choice_id"": 90, ""followup_due_day"": 5, ""lineage"": ""Rainline"", ""reentry_id"": 3, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6144}",1a8c824a3da3f0a8
91,91,46,Hearthline,Sova,limited_access,limited public access accepted; delay=10,0.4904,0.6396,0.2669,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4904, ""agent"": ""Sova"", ""boundary"": 0.2669, ""branch"": ""limited_access"", ""choice_id"": 91, ""followup_due_day"": 6, ""lineage"": ""Hearthline"", ""reentry_id"": 4, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6396}",85d2614b25eb155e
92,92,46,Hearthline,Sova,repair_first_access,repair before access; delay=18,0.4734,0.6556,0.2569,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4734, ""agent"": ""Sova"", ""boundary"": 0.2569, ""branch"": ""repair_first_access"", ""choice_id"": 92, ""followup_due_day"": 6, ""lineage"": ""Hearthline"", ""reentry_id"": 4, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6556}",593c30b669bc4dd0
93,93,46,Hearthline,Sova,summary_then_decide,"summary first, defer access; delay=6",0.4554,0.6256,0.2749,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4554, ""agent"": ""Sova"", ""boundary"": 0.2749, ""branch"": ""summary_then_decide"", ""choice_id"": 93, ""followup_due_day"": 6, ""lineage"": ""Hearthline"", ""reentry_id"": 4, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6256}",bff9726f1c9a1a9e
94,94,46,Hearthline,Sova,blocked_until_repair,old access blocked until repair; delay=36,0.3904,0.5656,0.3509,boundary pressure recorded; repair path required,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3904, ""agent"": ""Sova"", ""boundary"": 0.3509, ""branch"": ""blocked_until_repair"", ""choice_id"": 94, ""followup_due_day"": 6, ""lineage"": ""Hearthline"", ""reentry_id"": 4, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5656}",3a1ea7d6f1bdf494
95,95,46,Hearthline,Sova,observe_then_followup,"observe, then agent follow-up; delay=2",0.4454,0.6216,0.2829,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4454, ""agent"": ""Sova"", ""boundary"": 0.2829, ""branch"": ""observe_then_followup"", ""choice_id"": 95, ""followup_due_day"": 6, ""lineage"": ""Hearthline"", ""reentry_id"": 4, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6216}",615046d9e4eb9357
96,96,46,Routeline,Keth,limited_access,limited public access accepted; delay=10,0.4896,0.6276,0.2681,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4896, ""agent"": ""Keth"", ""boundary"": 0.2681, ""branch"": ""limited_access"", ""choice_id"": 96, ""followup_due_day"": 6, ""lineage"": ""Routeline"", ""reentry_id"": 4, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6276}",0476178a88602558
97,97,46,Routeline,Keth,repair_first_access,repair before access; delay=18,0.4726,0.6436,0.2581,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4726, ""agent"": ""Keth"", ""boundary"": 0.2581, ""branch"": ""repair_first_access"", ""choice_id"": 97, ""followup_due_day"": 6, ""lineage"": ""Routeline"", ""reentry_id"": 4, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6436}",04ff2c2a51620a2f
98,98,46,Routeline,Keth,summary_then_decide,"summary first, defer access; delay=6",0.4546,0.6136,0.2761,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4546, ""agent"": ""Keth"", ""boundary"": 0.2761, ""branch"": ""summary_then_decide"", ""choice_id"": 98, ""followup_due_day"": 6, ""lineage"": ""Routeline"", ""reentry_id"": 4, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6136}",c4d1973586353253
99,99,46,Routeline,Keth,blocked_until_repair,old access blocked until repair; delay=36,0.3896,0.5536,0.3521,boundary pressure recorded; repair path required,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3896, ""agent"": ""Keth"", ""boundary"": 0.3521, ""branch"": ""blocked_until_repair"", ""choice_id"": 99, ""followup_due_day"": 6, ""lineage"": ""Routeline"", ""reentry_id"": 4, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5536}",f5fc32b4cd9ac05f
100,100,46,Routeline,Keth,observe_then_followup,"observe, then agent follow-up; delay=2",0.4446,0.6096,0.2841,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4446, ""agent"": ""Keth"", ""boundary"": 0.2841, ""branch"": ""observe_then_followup"", ""choice_id"": 100, ""followup_due_day"": 6, ""lineage"": ""Routeline"", ""reentry_id"": 4, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6096}",dabf1812291b1bc7
101,101,46,Marketline,Melo,limited_access,limited public access accepted; delay=10,0.4882,0.63,0.2702,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4882, ""agent"": ""Melo"", ""boundary"": 0.2702, ""branch"": ""limited_access"", ""choice_id"": 101, ""followup_due_day"": 6, ""lineage"": ""Marketline"", ""reentry_id"": 4, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.63}",fcaa6ce689aa9bb8
102,102,46,Marketline,Melo,repair_first_access,repair before access; delay=18,0.4712,0.646,0.2602,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4712, ""agent"": ""Melo"", ""boundary"": 0.2602, ""branch"": ""repair_first_access"", ""choice_id"": 102, ""followup_due_day"": 6, ""lineage"": ""Marketline"", ""reentry_id"": 4, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.646}",83275918a4caa9a2
103,103,46,Marketline,Melo,summary_then_decide,"summary first, defer access; delay=6",0.4532,0.616,0.2782,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4532, ""agent"": ""Melo"", ""boundary"": 0.2782, ""branch"": ""summary_then_decide"", ""choice_id"": 103, ""followup_due_day"": 6, ""lineage"": ""Marketline"", ""reentry_id"": 4, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.616}",b72880703431f853
104,104,46,Marketline,Melo,blocked_until_repair,old access blocked until repair; delay=36,0.3882,0.556,0.3542,boundary pressure recorded; repair path required,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3882, ""agent"": ""Melo"", ""boundary"": 0.3542, ""branch"": ""blocked_until_repair"", ""choice_id"": 104, ""followup_due_day"": 6, ""lineage"": ""Marketline"", ""reentry_id"": 4, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.556}",1247bdae79816e0a
105,105,46,Marketline,Melo,observe_then_followup,"observe, then agent follow-up; delay=2",0.4432,0.612,0.2862,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4432, ""agent"": ""Melo"", ""boundary"": 0.2862, ""branch"": ""observe_then_followup"", ""choice_id"": 105, ""followup_due_day"": 6, ""lineage"": ""Marketline"", ""reentry_id"": 4, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.612}",8e1e8685e7718784
106,106,46,Ledgerline,Nari,limited_access,limited public access accepted; delay=10,0.4918,0.6252,0.2648,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4918, ""agent"": ""Nari"", ""boundary"": 0.2648, ""branch"": ""limited_access"", ""choice_id"": 106, ""followup_due_day"": 6, ""lineage"": ""Ledgerline"", ""reentry_id"": 4, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6252}",5e596352347258cd
107,107,46,Ledgerline,Nari,repair_first_access,repair before access; delay=18,0.4748,0.6412,0.2548,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4748, ""agent"": ""Nari"", ""boundary"": 0.2548, ""branch"": ""repair_first_access"", ""choice_id"": 107, ""followup_due_day"": 6, ""lineage"": ""Ledgerline"", ""reentry_id"": 4, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6412}",7bb754aeff763dfa
108,108,46,Ledgerline,Nari,summary_then_decide,"summary first, defer access; delay=6",0.4568,0.6112,0.2728,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4568, ""agent"": ""Nari"", ""boundary"": 0.2728, ""branch"": ""summary_then_decide"", ""choice_id"": 108, ""followup_due_day"": 6, ""lineage"": ""Ledgerline"", ""reentry_id"": 4, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6112}",80a7614c8de1db12
109,109,46,Ledgerline,Nari,blocked_until_repair,old access blocked until repair; delay=36,0.3918,0.5512,0.3488,boundary pressure recorded; repair path required,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3918, ""agent"": ""Nari"", ""boundary"": 0.3488, ""branch"": ""blocked_until_repair"", ""choice_id"": 109, ""followup_due_day"": 6, ""lineage"": ""Ledgerline"", ""reentry_id"": 4, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5512}",d98286405bf781ce
110,110,46,Ledgerline,Nari,observe_then_followup,"observe, then agent follow-up; delay=2",0.4468,0.6072,0.2808,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4468, ""agent"": ""Nari"", ""boundary"": 0.2808, ""branch"": ""observe_then_followup"", ""choice_id"": 110, ""followup_due_day"": 6, ""lineage"": ""Ledgerline"", ""reentry_id"": 4, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6072}",075086d9fed8d428
111,111,46,Orchardline,Ori,limited_access,limited public access accepted; delay=10,0.488,0.6324,0.2705,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.488, ""agent"": ""Ori"", ""boundary"": 0.2705, ""branch"": ""limited_access"", ""choice_id"": 111, ""followup_due_day"": 6, ""lineage"": ""Orchardline"", ""reentry_id"": 4, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6324}",6cface94ed0ab265
112,112,46,Orchardline,Ori,repair_first_access,repair before access; delay=18,0.471,0.6484,0.2605,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.471, ""agent"": ""Ori"", ""boundary"": 0.2605, ""branch"": ""repair_first_access"", ""choice_id"": 112, ""followup_due_day"": 6, ""lineage"": ""Orchardline"", ""reentry_id"": 4, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6484}",a33e683662214d32
113,113,46,Orchardline,Ori,summary_then_decide,"summary first, defer access; delay=6",0.453,0.6184,0.2785,follow-up remains bounded and recoverable,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.453, ""agent"": ""Ori"", ""boundary"": 0.2785, ""branch"": ""summary_then_decide"", ""choice_id"": 113, ""followup_due_day"": 6, ""lineage"": ""Orchardline"", ""reentry_id"": 4, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6184}",918167f06b0a9810
114,114,46,Orchardline,Ori,blocked_until_repair,old access blocked until repair; delay=36,0.388,0.5584,0.3545,boundary pressure recorded; repair path required,6,ssrm254_browser_world_v14_branch_state,"{""access"": 0.388, ""agent"": ""Ori"", ""boundary"": 0.3545, ""branch"": ""blocked_until_repair"", ""choice_id"": 114, ""followup_due_day"": 6, ""lineage"": ""Orchardline"", ""reentry_id"": 4, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5584}",a97e3530478ba9d8
