tick,day,scene_id,sound_rate_hz,movement_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_mutation,flower_phase
288,20,v21-scene-d20,1.45,1.26,0.22,17.7,0.13,0.18,0.03,1,68.846032
289,20,v21-scene-d20,1.48,1.26,0.22,17.7,0.13,0.18,0.03,1,206.923796
290,20,v21-scene-d20,1.51,1.26,0.22,17.7,0.13,0.18,0.09,1,345.00156
291,20,v21-scene-d20,1.48,1.26,0.28,16.7,0.28,0.18,0.03,1,121.939324
292,20,v21-scene-d20,1.57,1.26,0.28,19.1,0.13,0.18,0.03,1,261.157088
293,20,v21-scene-d20,1.6,1.1,0.22,17.7,0.13,0.18,0.03,1,34.274852
294,20,v21-scene-d20,1.63,1.26,0.22,17.7,0.13,0.18,0.03,1,177.312616
295,20,v21-scene-d20,1.66,1.26,0.22,17.7,0.13,0.18,0.03,1,315.39038
296,20,v21-scene-d20,1.69,1.26,0.22,17.7,0.13,0.18,0.09,1,93.468144
297,20,v21-scene-d20,1.72,1.26,0.28,16.7,0.28,0.18,0.03,1,231.545908
298,20,v21-scene-d20,1.75,1.26,0.28,19.1,0.13,0.18,0.03,1,9.623672
299,20,v21-scene-d20,1.78,1.26,0.22,17.7,0.13,0.18,0.03,1,147.701436
300,21,v21-scene-d21,1.36,1.1,0.22,17.73,0.17,0.18,0.03,1,272.2692
301,21,v21-scene-d21,1.39,1.1,0.22,17.73,0.17,0.18,0.09,1,50.346964
302,21,v21-scene-d21,1.42,1.1,0.28,16.73,0.32,0.18,0.03,1,188.424728
303,21,v21-scene-d21,1.45,1.1,0.28,19.13,0.17,0.18,0.03,1,326.502492
304,21,v21-scene-d21,1.48,1.1,0.22,17.73,0.17,0.18,0.03,1,104.580256
305,21,v21-scene-d21,1.51,1.1,0.22,17.73,0.17,0.18,0.03,1,242.65802
306,21,v21-scene-d21,1.48,1.26,0.22,17.73,0.17,0.18,0.03,1,24.555784
307,21,v21-scene-d21,1.57,1.1,0.22,17.73,0.17,0.18,0.09,1,158.813548
308,21,v21-scene-d21,1.6,1.26,0.28,16.73,0.32,0.18,0.03,1,301.851312
309,21,v21-scene-d21,1.63,1.26,0.28,19.13,0.17,0.18,0.03,1,79.929076
310,21,v21-scene-d21,1.66,1.17,0.22,17.73,0.17,0.03,0.08,1,215.21684
311,21,v21-scene-d21,1.69,1.26,0.22,17.73,0.17,0.18,0.03,1,356.084604
312,21,v21-scene-d21,1.72,1.05,0.18,17.73,0.17,0.14,0.03,1,127.652368
313,21,v21-scene-d21,1.75,1.1,0.22,17.73,0.17,0.18,0.09,0,267.280132
314,21,v21-scene-d21,1.72,1.1,0.28,16.73,0.32,0.18,0.03,1,44.217896
315,22,v21-scene-d22,1.36,1.1,0.22,17.76,0.13,0.18,0.03,1,174.88566
316,22,v21-scene-d22,1.39,1.26,0.22,17.76,0.13,0.18,0.03,1,317.923424
317,22,v21-scene-d22,1.42,1.26,0.22,17.76,0.13,0.18,0.03,1,96.001188
318,22,v21-scene-d22,1.45,1.1,0.22,17.76,0.13,0.18,0.09,1,229.118952
319,22,v21-scene-d22,1.48,1.26,0.28,16.76,0.28,0.18,0.03,1,12.156716
320,22,v21-scene-d22,1.51,1.26,0.28,19.16,0.13,0.18,0.03,1,150.23448
321,22,v21-scene-d22,1.54,1.17,0.22,17.76,0.13,0.03,0.08,1,285.522244
322,22,v21-scene-d22,1.57,1.26,0.22,17.76,0.13,0.18,0.03,1,66.390008
323,22,v21-scene-d22,1.6,1.1,0.22,17.76,0.13,0.18,0.03,1,199.507772
324,22,v21-scene-d22,1.63,1.1,0.22,17.76,0.13,0.18,0.09,1,337.585536
325,22,v21-scene-d22,1.66,1.26,0.28,16.76,0.28,0.18,0.03,1,120.6233
326,22,v21-scene-d22,1.69,1.26,0.28,19.16,0.13,0.18,0.03,1,258.701064
327,22,v21-scene-d22,1.72,1.1,0.22,17.76,0.13,0.18,0.03,1,31.818828
328,22,v21-scene-d22,1.75,1.1,0.22,17.76,0.13,0.18,0.03,1,169.896592
329,22,v21-scene-d22,1.78,1.26,0.22,17.76,0.13,0.18,0.03,1,312.934356
330,23,v21-scene-d23,1.36,1.1,0.28,16.79,0.28,0.18,0.03,1,77.50212
331,23,v21-scene-d23,1.39,1.26,0.28,19.19,0.13,0.18,0.03,1,220.539884
332,23,v21-scene-d23,1.42,1.1,0.22,17.79,0.13,0.18,0.03,1,353.657648
333,23,v21-scene-d23,1.45,1.26,0.22,17.79,0.13,0.18,0.03,1,136.695412
334,23,v21-scene-d23,1.48,1.1,0.22,17.79,0.13,0.18,0.03,1,269.813176
335,23,v21-scene-d23,1.51,1.1,0.22,17.79,0.13,0.18,0.09,1,47.89094
336,23,v21-scene-d23,1.54,1.1,0.28,16.79,0.28,0.18,0.03,1,185.968704
337,23,v21-scene-d23,1.57,1.26,0.28,19.19,0.13,0.18,0.03,1,329.006468
338,23,v21-scene-d23,1.6,1.1,0.22,17.79,0.13,0.18,0.03,1,102.124232
339,23,v21-scene-d23,1.63,1.26,0.22,17.79,0.13,0.18,0.03,1,245.161996
340,23,v21-scene-d23,1.66,1.26,0.22,17.79,0.13,0.18,0.03,1,23.23976
341,23,v21-scene-d23,1.69,1.12,0.18,17.79,0.13,-0.01,0.14,1,156.977524
342,23,v21-scene-d23,1.72,1.1,0.28,16.79,0.28,0.18,0.03,1,294.435288
343,23,v21-scene-d23,1.75,1.21,0.24,19.19,0.13,0.14,0.03,1,75.923052
344,23,v21-scene-d23,1.78,1.26,0.22,17.79,0.13,0.18,0.03,0,215.550816
345,24,v21-scene-d24,1.3,1.1,0.22,17.82,0.13,0.18,0.03,1,338.97858
346,24,v21-scene-d24,1.39,1.1,0.22,17.82,0.13,0.18,0.09,1,118.196344
347,24,v21-scene-d24,1.42,1.1,0.28,16.82,0.28,0.18,0.03,1,256.274108
348,24,v21-scene-d24,1.45,1.26,0.28,19.22,0.13,0.18,0.03,1,39.311872
349,24,v21-scene-d24,1.48,1.1,0.22,17.82,0.13,0.18,0.03,1,172.429636
350,24,v21-scene-d24,1.51,1.1,0.22,17.82,0.13,0.18,0.03,1,310.5074
351,24,v21-scene-d24,1.48,1.26,0.22,17.82,0.13,0.18,0.03,1,92.405164
352,24,v21-scene-d24,1.57,1.1,0.22,17.82,0.13,0.18,0.09,1,226.662928
353,24,v21-scene-d24,1.6,1.26,0.28,16.82,0.28,0.18,0.03,1,9.700692
354,24,v21-scene-d24,1.63,1.1,0.28,19.22,0.13,0.18,0.03,1,142.818456
355,24,v21-scene-d24,1.66,1.1,0.22,17.82,0.13,0.18,0.03,1,280.89622
356,24,v21-scene-d24,1.69,1.1,0.22,17.82,0.13,0.18,0.03,1,58.973984
357,24,v21-scene-d24,1.72,1.1,0.22,17.82,0.13,0.18,0.03,1,197.051748
358,24,v21-scene-d24,1.75,1.1,0.22,17.82,0.13,0.18,0.09,1,335.129512
359,24,v21-scene-d24,1.78,1.1,0.28,16.82,0.28,0.18,0.03,1,113.207276
