tick,day,slot,selected_tick,selected_resident,event_key,event_kind,previous_event_key,next_event_key,scrubber_position,replay_row_visible,same_loop_reference
391,22,13,391,Ari,v58-loop-event-00391,interrupt_work,v58-loop-event-00390:return_tool,v58-loop-event-00392:wait_offscreen,0.077595,True,v58_consolidated_playable_consequence_loop
392,22,14,392,Fay,v58-loop-event-00392,wait_offscreen,v58-loop-event-00391:interrupt_work,v58-loop-event-00393:repair_trust,0.077793,True,v58_consolidated_playable_consequence_loop
393,22,15,393,Milo,v58-loop-event-00393,repair_trust,v58-loop-event-00392:wait_offscreen,v58-loop-event-00394:move,0.077992,True,v58_consolidated_playable_consequence_loop
394,22,16,394,Sera,v58-loop-event-00394,move,v58-loop-event-00393:repair_trust,v58-loop-event-00395:talk,0.07819,True,v58_consolidated_playable_consequence_loop
395,22,17,395,Tovan,v58-loop-event-00395,talk,v58-loop-event-00394:move,v58-loop-event-00396:offer_help,0.078389,True,v58_consolidated_playable_consequence_loop
396,23,0,396,Nia,v58-loop-event-00396,borrow_tool,v58-loop-event-00395:offer_help,v58-loop-event-00397:return_tool,0.078587,True,v58_consolidated_playable_consequence_loop
397,23,1,397,Ari,v58-loop-event-00397,return_tool,v58-loop-event-00396:borrow_tool,v58-loop-event-00398:interrupt_work,0.078785,True,v58_consolidated_playable_consequence_loop
398,23,2,398,Fay,v58-loop-event-00398,interrupt_work,v58-loop-event-00397:return_tool,v58-loop-event-00399:wait_offscreen,0.078984,True,v58_consolidated_playable_consequence_loop
399,23,3,399,Milo,v58-loop-event-00399,wait_offscreen,v58-loop-event-00398:interrupt_work,v58-loop-event-00400:repair_trust,0.079182,True,v58_consolidated_playable_consequence_loop
400,23,4,400,Sera,v58-loop-event-00400,repair_trust,v58-loop-event-00399:wait_offscreen,v58-loop-event-00401:move,0.079381,True,v58_consolidated_playable_consequence_loop
401,23,5,401,Tovan,v58-loop-event-00401,move,v58-loop-event-00400:repair_trust,v58-loop-event-00402:talk,0.079579,True,v58_consolidated_playable_consequence_loop
402,23,6,402,Nia,v58-loop-event-00402,talk,v58-loop-event-00401:move,v58-loop-event-00403:offer_help,0.079778,True,v58_consolidated_playable_consequence_loop
403,23,7,403,Ari,v58-loop-event-00403,offer_help,v58-loop-event-00402:talk,v58-loop-event-00404:borrow_tool,0.079976,True,v58_consolidated_playable_consequence_loop
404,23,8,404,Fay,v58-loop-event-00404,borrow_tool,v58-loop-event-00403:offer_help,v58-loop-event-00405:return_tool,0.080175,True,v58_consolidated_playable_consequence_loop
405,23,9,405,Milo,v58-loop-event-00405,return_tool,v58-loop-event-00404:borrow_tool,v58-loop-event-00406:interrupt_work,0.080373,True,v58_consolidated_playable_consequence_loop
406,23,10,406,Sera,v58-loop-event-00406,interrupt_work,v58-loop-event-00405:return_tool,v58-loop-event-00407:wait_offscreen,0.080572,True,v58_consolidated_playable_consequence_loop
407,23,11,407,Tovan,v58-loop-event-00407,wait_offscreen,v58-loop-event-00406:interrupt_work,v58-loop-event-00408:repair_trust,0.08077,True,v58_consolidated_playable_consequence_loop
408,23,12,408,Nia,v58-loop-event-00408,repair_trust,v58-loop-event-00407:wait_offscreen,v58-loop-event-00409:move,0.080968,True,v58_consolidated_playable_consequence_loop
409,23,13,409,Ari,v58-loop-event-00409,move,v58-loop-event-00408:repair_trust,v58-loop-event-00410:talk,0.081167,True,v58_consolidated_playable_consequence_loop
410,23,14,410,Fay,v58-loop-event-00410,talk,v58-loop-event-00409:move,v58-loop-event-00411:offer_help,0.081365,True,v58_consolidated_playable_consequence_loop
411,23,15,411,Milo,v58-loop-event-00411,offer_help,v58-loop-event-00410:talk,v58-loop-event-00412:borrow_tool,0.081564,True,v58_consolidated_playable_consequence_loop
412,23,16,412,Sera,v58-loop-event-00412,borrow_tool,v58-loop-event-00411:offer_help,v58-loop-event-00413:return_tool,0.081762,True,v58_consolidated_playable_consequence_loop
413,23,17,413,Tovan,v58-loop-event-00413,return_tool,v58-loop-event-00412:borrow_tool,v58-loop-event-00414:interrupt_work,0.081961,True,v58_consolidated_playable_consequence_loop
414,24,0,414,Nia,v58-loop-event-00414,wait_offscreen,v58-loop-event-00413:interrupt_work,v58-loop-event-00415:repair_trust,0.082159,True,v58_consolidated_playable_consequence_loop
415,24,1,415,Ari,v58-loop-event-00415,repair_trust,v58-loop-event-00414:wait_offscreen,v58-loop-event-00416:move,0.082358,True,v58_consolidated_playable_consequence_loop
416,24,2,416,Fay,v58-loop-event-00416,move,v58-loop-event-00415:repair_trust,v58-loop-event-00417:talk,0.082556,True,v58_consolidated_playable_consequence_loop
417,24,3,417,Milo,v58-loop-event-00417,talk,v58-loop-event-00416:move,v58-loop-event-00418:offer_help,0.082755,True,v58_consolidated_playable_consequence_loop
418,24,4,418,Sera,v58-loop-event-00418,offer_help,v58-loop-event-00417:talk,v58-loop-event-00419:borrow_tool,0.082953,True,v58_consolidated_playable_consequence_loop
419,24,5,419,Tovan,v58-loop-event-00419,borrow_tool,v58-loop-event-00418:offer_help,v58-loop-event-00420:return_tool,0.083151,True,v58_consolidated_playable_consequence_loop
420,24,6,420,Nia,v58-loop-event-00420,return_tool,v58-loop-event-00419:borrow_tool,v58-loop-event-00421:interrupt_work,0.08335,True,v58_consolidated_playable_consequence_loop
421,24,7,421,Ari,v58-loop-event-00421,interrupt_work,v58-loop-event-00420:return_tool,v58-loop-event-00422:wait_offscreen,0.083548,True,v58_consolidated_playable_consequence_loop
422,24,8,422,Fay,v58-loop-event-00422,wait_offscreen,v58-loop-event-00421:interrupt_work,v58-loop-event-00423:repair_trust,0.083747,True,v58_consolidated_playable_consequence_loop
423,24,9,423,Milo,v58-loop-event-00423,repair_trust,v58-loop-event-00422:wait_offscreen,v58-loop-event-00424:move,0.083945,True,v58_consolidated_playable_consequence_loop
424,24,10,424,Sera,v58-loop-event-00424,move,v58-loop-event-00423:repair_trust,v58-loop-event-00425:talk,0.084144,True,v58_consolidated_playable_consequence_loop
425,24,11,425,Tovan,v58-loop-event-00425,talk,v58-loop-event-00424:move,v58-loop-event-00426:offer_help,0.084342,True,v58_consolidated_playable_consequence_loop
426,24,12,426,Nia,v58-loop-event-00426,offer_help,v58-loop-event-00425:talk,v58-loop-event-00427:borrow_tool,0.084541,True,v58_consolidated_playable_consequence_loop
427,24,13,427,Ari,v58-loop-event-00427,borrow_tool,v58-loop-event-00426:offer_help,v58-loop-event-00428:return_tool,0.084739,True,v58_consolidated_playable_consequence_loop
428,24,14,428,Fay,v58-loop-event-00428,return_tool,v58-loop-event-00427:borrow_tool,v58-loop-event-00429:interrupt_work,0.084937,True,v58_consolidated_playable_consequence_loop
429,24,15,429,Milo,v58-loop-event-00429,interrupt_work,v58-loop-event-00428:return_tool,v58-loop-event-00430:wait_offscreen,0.085136,True,v58_consolidated_playable_consequence_loop
430,24,16,430,Sera,v58-loop-event-00430,wait_offscreen,v58-loop-event-00429:interrupt_work,v58-loop-event-00431:repair_trust,0.085334,True,v58_consolidated_playable_consequence_loop
431,24,17,431,Tovan,v58-loop-event-00431,repair_trust,v58-loop-event-00430:wait_offscreen,v58-loop-event-00432:move,0.085533,True,v58_consolidated_playable_consequence_loop
432,25,0,432,Nia,v58-loop-event-00432,talk,v58-loop-event-00431:move,v58-loop-event-00433:offer_help,0.085731,True,v58_consolidated_playable_consequence_loop
433,25,1,433,Ari,v58-loop-event-00433,offer_help,v58-loop-event-00432:talk,v58-loop-event-00434:borrow_tool,0.08593,True,v58_consolidated_playable_consequence_loop
434,25,2,434,Fay,v58-loop-event-00434,borrow_tool,v58-loop-event-00433:offer_help,v58-loop-event-00435:return_tool,0.086128,True,v58_consolidated_playable_consequence_loop
435,25,3,435,Milo,v58-loop-event-00435,return_tool,v58-loop-event-00434:borrow_tool,v58-loop-event-00436:interrupt_work,0.086327,True,v58_consolidated_playable_consequence_loop
436,25,4,436,Sera,v58-loop-event-00436,interrupt_work,v58-loop-event-00435:return_tool,v58-loop-event-00437:wait_offscreen,0.086525,True,v58_consolidated_playable_consequence_loop
437,25,5,437,Tovan,v58-loop-event-00437,wait_offscreen,v58-loop-event-00436:interrupt_work,v58-loop-event-00438:repair_trust,0.086724,True,v58_consolidated_playable_consequence_loop
438,25,6,438,Nia,v58-loop-event-00438,repair_trust,v58-loop-event-00437:wait_offscreen,v58-loop-event-00439:move,0.086922,True,v58_consolidated_playable_consequence_loop
439,25,7,439,Ari,v58-loop-event-00439,move,v58-loop-event-00438:repair_trust,v58-loop-event-00440:talk,0.08712,True,v58_consolidated_playable_consequence_loop
440,25,8,440,Fay,v58-loop-event-00440,talk,v58-loop-event-00439:move,v58-loop-event-00441:offer_help,0.087319,True,v58_consolidated_playable_consequence_loop
441,25,9,441,Milo,v58-loop-event-00441,offer_help,v58-loop-event-00440:talk,v58-loop-event-00442:borrow_tool,0.087517,True,v58_consolidated_playable_consequence_loop
442,25,10,442,Sera,v58-loop-event-00442,borrow_tool,v58-loop-event-00441:offer_help,v58-loop-event-00443:return_tool,0.087716,True,v58_consolidated_playable_consequence_loop
443,25,11,443,Tovan,v58-loop-event-00443,return_tool,v58-loop-event-00442:borrow_tool,v58-loop-event-00444:interrupt_work,0.087914,True,v58_consolidated_playable_consequence_loop
444,25,12,444,Nia,v58-loop-event-00444,interrupt_work,v58-loop-event-00443:return_tool,v58-loop-event-00445:wait_offscreen,0.088113,True,v58_consolidated_playable_consequence_loop
445,25,13,445,Ari,v58-loop-event-00445,wait_offscreen,v58-loop-event-00444:interrupt_work,v58-loop-event-00446:repair_trust,0.088311,True,v58_consolidated_playable_consequence_loop
446,25,14,446,Fay,v58-loop-event-00446,repair_trust,v58-loop-event-00445:wait_offscreen,v58-loop-event-00447:move,0.08851,True,v58_consolidated_playable_consequence_loop
447,25,15,447,Milo,v58-loop-event-00447,move,v58-loop-event-00446:repair_trust,v58-loop-event-00448:talk,0.088708,True,v58_consolidated_playable_consequence_loop
448,25,16,448,Sera,v58-loop-event-00448,talk,v58-loop-event-00447:move,v58-loop-event-00449:offer_help,0.088907,True,v58_consolidated_playable_consequence_loop
449,25,17,449,Tovan,v58-loop-event-00449,offer_help,v58-loop-event-00448:talk,v58-loop-event-00450:borrow_tool,0.089105,True,v58_consolidated_playable_consequence_loop
450,26,0,450,Nia,v58-loop-event-00450,return_tool,v58-loop-event-00449:borrow_tool,v58-loop-event-00451:interrupt_work,0.089303,True,v58_consolidated_playable_consequence_loop
451,26,1,451,Ari,v58-loop-event-00451,interrupt_work,v58-loop-event-00450:return_tool,v58-loop-event-00452:wait_offscreen,0.089502,True,v58_consolidated_playable_consequence_loop
452,26,2,452,Fay,v58-loop-event-00452,wait_offscreen,v58-loop-event-00451:interrupt_work,v58-loop-event-00453:repair_trust,0.0897,True,v58_consolidated_playable_consequence_loop
453,26,3,453,Milo,v58-loop-event-00453,repair_trust,v58-loop-event-00452:wait_offscreen,v58-loop-event-00454:move,0.089899,True,v58_consolidated_playable_consequence_loop
454,26,4,454,Sera,v58-loop-event-00454,move,v58-loop-event-00453:repair_trust,v58-loop-event-00455:talk,0.090097,True,v58_consolidated_playable_consequence_loop
455,26,5,455,Tovan,v58-loop-event-00455,talk,v58-loop-event-00454:move,v58-loop-event-00456:offer_help,0.090296,True,v58_consolidated_playable_consequence_loop
456,26,6,456,Nia,v58-loop-event-00456,offer_help,v58-loop-event-00455:talk,v58-loop-event-00457:borrow_tool,0.090494,True,v58_consolidated_playable_consequence_loop
457,26,7,457,Ari,v58-loop-event-00457,borrow_tool,v58-loop-event-00456:offer_help,v58-loop-event-00458:return_tool,0.090693,True,v58_consolidated_playable_consequence_loop
458,26,8,458,Fay,v58-loop-event-00458,return_tool,v58-loop-event-00457:borrow_tool,v58-loop-event-00459:interrupt_work,0.090891,True,v58_consolidated_playable_consequence_loop
459,26,9,459,Milo,v58-loop-event-00459,interrupt_work,v58-loop-event-00458:return_tool,v58-loop-event-00460:wait_offscreen,0.09109,True,v58_consolidated_playable_consequence_loop
460,26,10,460,Sera,v58-loop-event-00460,wait_offscreen,v58-loop-event-00459:interrupt_work,v58-loop-event-00461:repair_trust,0.091288,True,v58_consolidated_playable_consequence_loop
461,26,11,461,Tovan,v58-loop-event-00461,repair_trust,v58-loop-event-00460:wait_offscreen,v58-loop-event-00462:move,0.091486,True,v58_consolidated_playable_consequence_loop
462,26,12,462,Nia,v58-loop-event-00462,move,v58-loop-event-00461:repair_trust,v58-loop-event-00463:talk,0.091685,True,v58_consolidated_playable_consequence_loop
463,26,13,463,Ari,v58-loop-event-00463,talk,v58-loop-event-00462:move,v58-loop-event-00464:offer_help,0.091883,True,v58_consolidated_playable_consequence_loop
464,26,14,464,Fay,v58-loop-event-00464,offer_help,v58-loop-event-00463:talk,v58-loop-event-00465:borrow_tool,0.092082,True,v58_consolidated_playable_consequence_loop
465,26,15,465,Milo,v58-loop-event-00465,borrow_tool,v58-loop-event-00464:offer_help,v58-loop-event-00466:return_tool,0.09228,True,v58_consolidated_playable_consequence_loop
466,26,16,466,Sera,v58-loop-event-00466,return_tool,v58-loop-event-00465:borrow_tool,v58-loop-event-00467:interrupt_work,0.092479,True,v58_consolidated_playable_consequence_loop
467,26,17,467,Tovan,v58-loop-event-00467,interrupt_work,v58-loop-event-00466:return_tool,v58-loop-event-00468:wait_offscreen,0.092677,True,v58_consolidated_playable_consequence_loop
468,27,0,468,Nia,v58-loop-event-00468,repair_trust,v58-loop-event-00467:wait_offscreen,v58-loop-event-00469:move,0.092876,True,v58_consolidated_playable_consequence_loop
469,27,1,469,Ari,v58-loop-event-00469,move,v58-loop-event-00468:repair_trust,v58-loop-event-00470:talk,0.093074,True,v58_consolidated_playable_consequence_loop
470,27,2,470,Fay,v58-loop-event-00470,talk,v58-loop-event-00469:move,v58-loop-event-00471:offer_help,0.093272,True,v58_consolidated_playable_consequence_loop
471,27,3,471,Milo,v58-loop-event-00471,offer_help,v58-loop-event-00470:talk,v58-loop-event-00472:borrow_tool,0.093471,True,v58_consolidated_playable_consequence_loop
472,27,4,472,Sera,v58-loop-event-00472,borrow_tool,v58-loop-event-00471:offer_help,v58-loop-event-00473:return_tool,0.093669,True,v58_consolidated_playable_consequence_loop
473,27,5,473,Tovan,v58-loop-event-00473,return_tool,v58-loop-event-00472:borrow_tool,v58-loop-event-00474:interrupt_work,0.093868,True,v58_consolidated_playable_consequence_loop
474,27,6,474,Nia,v58-loop-event-00474,interrupt_work,v58-loop-event-00473:return_tool,v58-loop-event-00475:wait_offscreen,0.094066,True,v58_consolidated_playable_consequence_loop
475,27,7,475,Ari,v58-loop-event-00475,wait_offscreen,v58-loop-event-00474:interrupt_work,v58-loop-event-00476:repair_trust,0.094265,True,v58_consolidated_playable_consequence_loop
476,27,8,476,Fay,v58-loop-event-00476,repair_trust,v58-loop-event-00475:wait_offscreen,v58-loop-event-00477:move,0.094463,True,v58_consolidated_playable_consequence_loop
477,27,9,477,Milo,v58-loop-event-00477,move,v58-loop-event-00476:repair_trust,v58-loop-event-00478:talk,0.094662,True,v58_consolidated_playable_consequence_loop
478,27,10,478,Sera,v58-loop-event-00478,talk,v58-loop-event-00477:move,v58-loop-event-00479:offer_help,0.09486,True,v58_consolidated_playable_consequence_loop
479,27,11,479,Tovan,v58-loop-event-00479,offer_help,v58-loop-event-00478:talk,v58-loop-event-00480:borrow_tool,0.095059,True,v58_consolidated_playable_consequence_loop
480,27,12,480,Nia,v58-loop-event-00480,borrow_tool,v58-loop-event-00479:offer_help,v58-loop-event-00481:return_tool,0.095257,True,v58_consolidated_playable_consequence_loop
481,27,13,481,Ari,v58-loop-event-00481,return_tool,v58-loop-event-00480:borrow_tool,v58-loop-event-00482:interrupt_work,0.095455,True,v58_consolidated_playable_consequence_loop
482,27,14,482,Fay,v58-loop-event-00482,interrupt_work,v58-loop-event-00481:return_tool,v58-loop-event-00483:wait_offscreen,0.095654,True,v58_consolidated_playable_consequence_loop
483,27,15,483,Milo,v58-loop-event-00483,wait_offscreen,v58-loop-event-00482:interrupt_work,v58-loop-event-00484:repair_trust,0.095852,True,v58_consolidated_playable_consequence_loop
484,27,16,484,Sera,v58-loop-event-00484,repair_trust,v58-loop-event-00483:wait_offscreen,v58-loop-event-00485:move,0.096051,True,v58_consolidated_playable_consequence_loop
485,27,17,485,Tovan,v58-loop-event-00485,move,v58-loop-event-00484:repair_trust,v58-loop-event-00486:talk,0.096249,True,v58_consolidated_playable_consequence_loop
486,28,0,486,Nia,v58-loop-event-00486,offer_help,v58-loop-event-00485:talk,v58-loop-event-00487:borrow_tool,0.096448,True,v58_consolidated_playable_consequence_loop
487,28,1,487,Ari,v58-loop-event-00487,borrow_tool,v58-loop-event-00486:offer_help,v58-loop-event-00488:return_tool,0.096646,True,v58_consolidated_playable_consequence_loop
488,28,2,488,Fay,v58-loop-event-00488,return_tool,v58-loop-event-00487:borrow_tool,v58-loop-event-00489:interrupt_work,0.096845,True,v58_consolidated_playable_consequence_loop
489,28,3,489,Milo,v58-loop-event-00489,interrupt_work,v58-loop-event-00488:return_tool,v58-loop-event-00490:wait_offscreen,0.097043,True,v58_consolidated_playable_consequence_loop
490,28,4,490,Sera,v58-loop-event-00490,wait_offscreen,v58-loop-event-00489:interrupt_work,v58-loop-event-00491:repair_trust,0.097242,True,v58_consolidated_playable_consequence_loop
491,28,5,491,Tovan,v58-loop-event-00491,repair_trust,v58-loop-event-00490:wait_offscreen,v58-loop-event-00492:move,0.09744,True,v58_consolidated_playable_consequence_loop
492,28,6,492,Nia,v58-loop-event-00492,move,v58-loop-event-00491:repair_trust,v58-loop-event-00493:talk,0.097638,True,v58_consolidated_playable_consequence_loop
493,28,7,493,Ari,v58-loop-event-00493,talk,v58-loop-event-00492:move,v58-loop-event-00494:offer_help,0.097837,True,v58_consolidated_playable_consequence_loop
494,28,8,494,Fay,v58-loop-event-00494,offer_help,v58-loop-event-00493:talk,v58-loop-event-00495:borrow_tool,0.098035,True,v58_consolidated_playable_consequence_loop
495,28,9,495,Milo,v58-loop-event-00495,borrow_tool,v58-loop-event-00494:offer_help,v58-loop-event-00496:return_tool,0.098234,True,v58_consolidated_playable_consequence_loop
496,28,10,496,Sera,v58-loop-event-00496,return_tool,v58-loop-event-00495:borrow_tool,v58-loop-event-00497:interrupt_work,0.098432,True,v58_consolidated_playable_consequence_loop
497,28,11,497,Tovan,v58-loop-event-00497,interrupt_work,v58-loop-event-00496:return_tool,v58-loop-event-00498:wait_offscreen,0.098631,True,v58_consolidated_playable_consequence_loop
498,28,12,498,Nia,v58-loop-event-00498,wait_offscreen,v58-loop-event-00497:interrupt_work,v58-loop-event-00499:repair_trust,0.098829,True,v58_consolidated_playable_consequence_loop
499,28,13,499,Ari,v58-loop-event-00499,repair_trust,v58-loop-event-00498:wait_offscreen,v58-loop-event-00500:move,0.099028,True,v58_consolidated_playable_consequence_loop
500,28,14,500,Fay,v58-loop-event-00500,move,v58-loop-event-00499:repair_trust,v58-loop-event-00501:talk,0.099226,True,v58_consolidated_playable_consequence_loop
501,28,15,501,Milo,v58-loop-event-00501,talk,v58-loop-event-00500:move,v58-loop-event-00502:offer_help,0.099424,True,v58_consolidated_playable_consequence_loop
502,28,16,502,Sera,v58-loop-event-00502,offer_help,v58-loop-event-00501:talk,v58-loop-event-00503:borrow_tool,0.099623,True,v58_consolidated_playable_consequence_loop
503,28,17,503,Tovan,v58-loop-event-00503,borrow_tool,v58-loop-event-00502:offer_help,v58-loop-event-00504:return_tool,0.099821,True,v58_consolidated_playable_consequence_loop
504,29,0,504,Nia,v58-loop-event-00504,interrupt_work,v58-loop-event-00503:return_tool,v58-loop-event-00505:wait_offscreen,0.10002,True,v58_consolidated_playable_consequence_loop
505,29,1,505,Ari,v58-loop-event-00505,wait_offscreen,v58-loop-event-00504:interrupt_work,v58-loop-event-00506:repair_trust,0.100218,True,v58_consolidated_playable_consequence_loop
506,29,2,506,Fay,v58-loop-event-00506,repair_trust,v58-loop-event-00505:wait_offscreen,v58-loop-event-00507:move,0.100417,True,v58_consolidated_playable_consequence_loop
507,29,3,507,Milo,v58-loop-event-00507,move,v58-loop-event-00506:repair_trust,v58-loop-event-00508:talk,0.100615,True,v58_consolidated_playable_consequence_loop
508,29,4,508,Sera,v58-loop-event-00508,talk,v58-loop-event-00507:move,v58-loop-event-00509:offer_help,0.100814,True,v58_consolidated_playable_consequence_loop
509,29,5,509,Tovan,v58-loop-event-00509,offer_help,v58-loop-event-00508:talk,v58-loop-event-00510:borrow_tool,0.101012,True,v58_consolidated_playable_consequence_loop
510,29,6,510,Nia,v58-loop-event-00510,borrow_tool,v58-loop-event-00509:offer_help,v58-loop-event-00511:return_tool,0.101211,True,v58_consolidated_playable_consequence_loop
511,29,7,511,Ari,v58-loop-event-00511,return_tool,v58-loop-event-00510:borrow_tool,v58-loop-event-00512:interrupt_work,0.101409,True,v58_consolidated_playable_consequence_loop
512,29,8,512,Fay,v58-loop-event-00512,interrupt_work,v58-loop-event-00511:return_tool,v58-loop-event-00513:wait_offscreen,0.101607,True,v58_consolidated_playable_consequence_loop
513,29,9,513,Milo,v58-loop-event-00513,wait_offscreen,v58-loop-event-00512:interrupt_work,v58-loop-event-00514:repair_trust,0.101806,True,v58_consolidated_playable_consequence_loop
514,29,10,514,Sera,v58-loop-event-00514,repair_trust,v58-loop-event-00513:wait_offscreen,v58-loop-event-00515:move,0.102004,True,v58_consolidated_playable_consequence_loop
515,29,11,515,Tovan,v58-loop-event-00515,move,v58-loop-event-00514:repair_trust,v58-loop-event-00516:talk,0.102203,True,v58_consolidated_playable_consequence_loop
516,29,12,516,Nia,v58-loop-event-00516,talk,v58-loop-event-00515:move,v58-loop-event-00517:offer_help,0.102401,True,v58_consolidated_playable_consequence_loop
517,29,13,517,Ari,v58-loop-event-00517,offer_help,v58-loop-event-00516:talk,v58-loop-event-00518:borrow_tool,0.1026,True,v58_consolidated_playable_consequence_loop
518,29,14,518,Fay,v58-loop-event-00518,borrow_tool,v58-loop-event-00517:offer_help,v58-loop-event-00519:return_tool,0.102798,True,v58_consolidated_playable_consequence_loop
519,29,15,519,Milo,v58-loop-event-00519,return_tool,v58-loop-event-00518:borrow_tool,v58-loop-event-00520:interrupt_work,0.102997,True,v58_consolidated_playable_consequence_loop
520,29,16,520,Sera,v58-loop-event-00520,interrupt_work,v58-loop-event-00519:return_tool,v58-loop-event-00521:wait_offscreen,0.103195,True,v58_consolidated_playable_consequence_loop
521,29,17,521,Tovan,v58-loop-event-00521,wait_offscreen,v58-loop-event-00520:interrupt_work,v58-loop-event-00522:repair_trust,0.103394,True,v58_consolidated_playable_consequence_loop
522,30,0,522,Nia,v58-loop-event-00522,move,v58-loop-event-00521:repair_trust,v58-loop-event-00523:talk,0.103592,True,v58_consolidated_playable_consequence_loop
523,30,1,523,Ari,v58-loop-event-00523,talk,v58-loop-event-00522:move,v58-loop-event-00524:offer_help,0.10379,True,v58_consolidated_playable_consequence_loop
524,30,2,524,Fay,v58-loop-event-00524,offer_help,v58-loop-event-00523:talk,v58-loop-event-00525:borrow_tool,0.103989,True,v58_consolidated_playable_consequence_loop
525,30,3,525,Milo,v58-loop-event-00525,borrow_tool,v58-loop-event-00524:offer_help,v58-loop-event-00526:return_tool,0.104187,True,v58_consolidated_playable_consequence_loop
526,30,4,526,Sera,v58-loop-event-00526,return_tool,v58-loop-event-00525:borrow_tool,v58-loop-event-00527:interrupt_work,0.104386,True,v58_consolidated_playable_consequence_loop
527,30,5,527,Tovan,v58-loop-event-00527,interrupt_work,v58-loop-event-00526:return_tool,v58-loop-event-00528:wait_offscreen,0.104584,True,v58_consolidated_playable_consequence_loop
528,30,6,528,Nia,v58-loop-event-00528,wait_offscreen,v58-loop-event-00527:interrupt_work,v58-loop-event-00529:repair_trust,0.104783,True,v58_consolidated_playable_consequence_loop
529,30,7,529,Ari,v58-loop-event-00529,repair_trust,v58-loop-event-00528:wait_offscreen,v58-loop-event-00530:move,0.104981,True,v58_consolidated_playable_consequence_loop
530,30,8,530,Fay,v58-loop-event-00530,move,v58-loop-event-00529:repair_trust,v58-loop-event-00531:talk,0.10518,True,v58_consolidated_playable_consequence_loop
531,30,9,531,Milo,v58-loop-event-00531,talk,v58-loop-event-00530:move,v58-loop-event-00532:offer_help,0.105378,True,v58_consolidated_playable_consequence_loop
532,30,10,532,Sera,v58-loop-event-00532,offer_help,v58-loop-event-00531:talk,v58-loop-event-00533:borrow_tool,0.105577,True,v58_consolidated_playable_consequence_loop
533,30,11,533,Tovan,v58-loop-event-00533,borrow_tool,v58-loop-event-00532:offer_help,v58-loop-event-00534:return_tool,0.105775,True,v58_consolidated_playable_consequence_loop
534,30,12,534,Nia,v58-loop-event-00534,return_tool,v58-loop-event-00533:borrow_tool,v58-loop-event-00535:interrupt_work,0.105973,True,v58_consolidated_playable_consequence_loop
535,30,13,535,Ari,v58-loop-event-00535,interrupt_work,v58-loop-event-00534:return_tool,v58-loop-event-00536:wait_offscreen,0.106172,True,v58_consolidated_playable_consequence_loop
536,30,14,536,Fay,v58-loop-event-00536,wait_offscreen,v58-loop-event-00535:interrupt_work,v58-loop-event-00537:repair_trust,0.10637,True,v58_consolidated_playable_consequence_loop
537,30,15,537,Milo,v58-loop-event-00537,repair_trust,v58-loop-event-00536:wait_offscreen,v58-loop-event-00538:move,0.106569,True,v58_consolidated_playable_consequence_loop
538,30,16,538,Sera,v58-loop-event-00538,move,v58-loop-event-00537:repair_trust,v58-loop-event-00539:talk,0.106767,True,v58_consolidated_playable_consequence_loop
539,30,17,539,Tovan,v58-loop-event-00539,talk,v58-loop-event-00538:move,v58-loop-event-00540:offer_help,0.106966,True,v58_consolidated_playable_consequence_loop
540,31,0,540,Nia,v58-loop-event-00540,borrow_tool,v58-loop-event-00539:offer_help,v58-loop-event-00541:return_tool,0.107164,True,v58_consolidated_playable_consequence_loop
541,31,1,541,Ari,v58-loop-event-00541,return_tool,v58-loop-event-00540:borrow_tool,v58-loop-event-00542:interrupt_work,0.107363,True,v58_consolidated_playable_consequence_loop
542,31,2,542,Fay,v58-loop-event-00542,interrupt_work,v58-loop-event-00541:return_tool,v58-loop-event-00543:wait_offscreen,0.107561,True,v58_consolidated_playable_consequence_loop
543,31,3,543,Milo,v58-loop-event-00543,wait_offscreen,v58-loop-event-00542:interrupt_work,v58-loop-event-00544:repair_trust,0.107759,True,v58_consolidated_playable_consequence_loop
544,31,4,544,Sera,v58-loop-event-00544,repair_trust,v58-loop-event-00543:wait_offscreen,v58-loop-event-00545:move,0.107958,True,v58_consolidated_playable_consequence_loop
545,31,5,545,Tovan,v58-loop-event-00545,move,v58-loop-event-00544:repair_trust,v58-loop-event-00546:talk,0.108156,True,v58_consolidated_playable_consequence_loop
546,31,6,546,Nia,v58-loop-event-00546,talk,v58-loop-event-00545:move,v58-loop-event-00547:offer_help,0.108355,True,v58_consolidated_playable_consequence_loop
547,31,7,547,Ari,v58-loop-event-00547,offer_help,v58-loop-event-00546:talk,v58-loop-event-00548:borrow_tool,0.108553,True,v58_consolidated_playable_consequence_loop
548,31,8,548,Fay,v58-loop-event-00548,borrow_tool,v58-loop-event-00547:offer_help,v58-loop-event-00549:return_tool,0.108752,True,v58_consolidated_playable_consequence_loop
549,31,9,549,Milo,v58-loop-event-00549,return_tool,v58-loop-event-00548:borrow_tool,v58-loop-event-00550:interrupt_work,0.10895,True,v58_consolidated_playable_consequence_loop
550,31,10,550,Sera,v58-loop-event-00550,interrupt_work,v58-loop-event-00549:return_tool,v58-loop-event-00551:wait_offscreen,0.109149,True,v58_consolidated_playable_consequence_loop
551,31,11,551,Tovan,v58-loop-event-00551,wait_offscreen,v58-loop-event-00550:interrupt_work,v58-loop-event-00552:repair_trust,0.109347,True,v58_consolidated_playable_consequence_loop
