tick,day,scene_id,agent,reaction_label,trust_in_avatar,guardedness,curiosity,boundary_pressure,body_marker,behavior_bound_to_reaction,reaction_persisted,private_workspace_sealed,reaction_state_score
252,16,v22-scene-d16,Sova,approaches,0.692,0.264,0.54,0.18,walks closer,1,1,1,1.0
253,16,v22-scene-d16,Sova,approaches,0.702,0.264,0.54,0.18,walks closer,1,1,1,1.0
254,16,v22-scene-d16,Sova,approaches,0.702,0.264,0.558,0.18,walks closer,1,1,1,1.0
255,16,v22-scene-d16,Sova,approaches,0.702,0.264,0.576,0.18,walks closer,1,1,1,1.0
256,17,v22-scene-d17,Sova,softens,0.73,0.25,0.576,0.18,faces avatar with lowered shoulders,1,1,1,1.0
257,17,v22-scene-d17,Sova,approaches,0.74,0.25,0.576,0.18,walks closer,1,1,1,1.0
258,17,v22-scene-d17,Keth,curious,1.0,0.194,1.0,0.18,leans toward object,1,1,1,1.0
259,17,v22-scene-d17,Keth,curious,1.0,0.194,1.0,0.18,leans toward object,1,1,1,1.0
260,17,v22-scene-d17,Keth,softens,1.0,0.18,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
261,17,v22-scene-d17,Sova,curious,0.74,0.25,0.594,0.18,leans toward object,1,1,1,1.0
262,17,v22-scene-d17,Sova,curious,0.74,0.25,0.594,0.18,leans toward object,1,0,1,0.8
263,17,v22-scene-d17,Sova,softens,0.768,0.236,0.594,0.18,faces avatar with lowered shoulders,1,1,1,1.0
264,17,v22-scene-d17,Sova,softens,0.778,0.222,0.594,0.18,faces avatar with lowered shoulders,1,1,1,1.0
265,17,v22-scene-d17,Sova,curious,0.778,0.222,0.612,0.18,leans toward object,1,1,1,1.0
266,17,v22-scene-d17,Sova,approaches,0.796,0.222,0.612,0.18,walks closer,1,1,1,1.0
267,17,v22-scene-d17,Sova,curious,0.796,0.222,0.63,0.18,leans toward object,1,1,1,1.0
268,17,v22-scene-d17,Sova,curious,0.772,0.252,0.63,0.4,leans toward object,1,1,1,1.0
269,17,v22-scene-d17,Sova,curious,0.748,0.282,0.63,0.4,leans toward object,1,1,1,1.0
270,17,v22-scene-d17,Sova,curious,0.734,0.312,0.63,0.4,leans toward object,1,1,1,1.0
271,17,v22-scene-d17,Sova,curious,0.744,0.312,0.648,0.18,leans toward object,1,1,1,1.0
272,18,v22-scene-d18,Sova,curious,0.73,0.342,0.648,0.4,leans toward object,1,1,1,1.0
273,18,v22-scene-d18,Sova,curious,0.73,0.342,0.648,0.18,leans toward object,1,1,1,1.0
274,18,v22-scene-d18,Sova,softens,0.748,0.328,0.648,0.18,faces avatar with lowered shoulders,1,1,1,1.0
275,18,v22-scene-d18,Sova,softens,0.748,0.314,0.648,0.18,faces avatar with lowered shoulders,1,1,1,1.0
276,18,v22-scene-d18,Sova,softens,0.758,0.3,0.648,0.18,faces avatar with lowered shoulders,1,1,1,1.0
277,18,v22-scene-d18,Sova,softens,0.786,0.286,0.648,0.18,faces avatar with lowered shoulders,1,1,1,1.0
278,18,v22-scene-d18,Sova,curious,0.786,0.286,0.648,0.18,leans toward object,1,1,1,1.0
279,18,v22-scene-d18,Sova,curious,0.786,0.286,0.648,0.18,leans toward object,1,1,1,1.0
280,18,v22-scene-d18,Sova,curious,0.786,0.286,0.666,0.18,leans toward object,1,1,1,1.0
281,18,v22-scene-d18,Sova,curious,0.796,0.286,0.684,0.18,leans toward object,1,1,1,1.0
282,18,v22-scene-d18,Sova,curious,0.806,0.286,0.684,0.18,leans toward object,1,1,1,1.0
283,18,v22-scene-d18,Sova,approaches,0.824,0.286,0.684,0.18,walks closer,1,1,1,1.0
284,18,v22-scene-d18,Sova,curious,0.8,0.316,0.684,0.4,leans toward object,1,1,1,1.0
285,18,v22-scene-d18,Sova,softens,0.828,0.302,0.684,0.18,faces avatar with lowered shoulders,1,1,1,1.0
286,18,v22-scene-d18,Sova,curious,0.804,0.332,0.684,0.4,leans toward object,1,1,1,1.0
287,18,v22-scene-d18,Sova,curious,0.804,0.332,0.684,0.18,leans toward object,1,1,1,1.0
288,19,v22-scene-d19,Sova,curious,0.804,0.332,0.702,0.18,leans toward object,1,1,1,1.0
289,19,v22-scene-d19,Sova,curious,0.814,0.332,0.702,0.18,leans toward object,1,1,1,1.0
290,19,v22-scene-d19,Sova,curious,0.824,0.332,0.72,0.18,leans toward object,1,1,1,1.0
291,19,v22-scene-d19,Sova,curious,0.824,0.332,0.72,0.18,leans toward object,1,1,1,1.0
292,19,v22-scene-d19,Sova,softens,0.834,0.318,0.72,0.18,faces avatar with lowered shoulders,1,1,1,1.0
293,19,v22-scene-d19,Sova,softens,0.852,0.304,0.72,0.18,faces avatar with lowered shoulders,1,1,1,1.0
294,19,v22-scene-d19,Sova,curious,0.852,0.304,0.72,0.18,leans toward object,1,1,1,1.0
295,19,v22-scene-d19,Sova,curious,0.852,0.304,0.738,0.18,leans toward object,1,1,1,1.0
296,19,v22-scene-d19,Sova,curious,0.862,0.304,0.756,0.18,leans toward object,1,1,1,1.0
297,19,v22-scene-d19,Sova,approaches,0.862,0.304,0.756,0.18,walks closer,1,1,1,1.0
298,19,v22-scene-d19,Sova,softens,0.862,0.29,0.756,0.18,faces avatar with lowered shoulders,1,1,1,1.0
299,19,v22-scene-d19,Sova,curious,0.872,0.29,0.774,0.18,leans toward object,1,1,1,1.0
300,19,v22-scene-d19,Sova,softens,0.89,0.276,0.774,0.18,faces avatar with lowered shoulders,1,1,1,1.0
301,19,v22-scene-d19,Sova,curious,0.89,0.276,0.792,0.18,leans toward object,1,1,1,1.0
302,19,v22-scene-d19,Sova,softens,0.89,0.262,0.792,0.18,faces avatar with lowered shoulders,1,1,1,1.0
303,19,v22-scene-d19,Sova,softens,0.918,0.248,0.792,0.18,faces avatar with lowered shoulders,1,0,1,0.8
304,20,v22-scene-d20,Sova,curious,0.918,0.248,0.792,0.18,leans toward object,1,1,1,1.0
305,20,v22-scene-d20,Sova,softens,0.946,0.234,0.792,0.18,faces avatar with lowered shoulders,1,1,1,1.0
306,20,v22-scene-d20,Sova,curious,0.922,0.264,0.792,0.4,leans toward object,1,1,1,1.0
307,20,v22-scene-d20,Sova,approaches,0.922,0.264,0.792,0.18,walks closer,1,1,1,1.0
308,20,v22-scene-d20,Sova,approaches,0.922,0.264,0.792,0.18,walks closer,1,1,1,1.0
309,20,v22-scene-d20,Sova,softens,0.95,0.25,0.792,0.18,faces avatar with lowered shoulders,1,1,1,1.0
310,20,v22-scene-d20,Sova,curious,0.96,0.25,0.792,0.18,leans toward object,1,1,1,1.0
311,20,v22-scene-d20,Keth,curious,1.0,0.18,1.0,0.18,leans toward object,1,1,1,1.0
312,20,v22-scene-d20,Sova,curious,0.97,0.25,0.792,0.18,leans toward object,1,1,1,1.0
313,20,v22-scene-d20,Sova,softens,0.988,0.236,0.792,0.18,faces avatar with lowered shoulders,1,1,1,1.0
314,20,v22-scene-d20,Sova,approaches,0.988,0.236,0.792,0.18,walks closer,1,1,1,1.0
315,20,v22-scene-d20,Sova,curious,0.964,0.266,0.792,0.4,leans toward object,1,1,1,1.0
316,20,v22-scene-d20,Sova,curious,0.974,0.266,0.81,0.18,leans toward object,1,1,1,1.0
317,20,v22-scene-d20,Sova,curious,0.984,0.266,0.81,0.18,leans toward object,1,1,1,1.0
318,20,v22-scene-d20,Sova,softens,1.0,0.252,0.81,0.18,faces avatar with lowered shoulders,1,1,1,1.0
319,20,v22-scene-d20,Sova,approaches,1.0,0.252,0.81,0.18,walks closer,1,1,1,1.0
320,21,v22-scene-d21,Sova,approaches,1.0,0.252,0.81,0.18,walks closer,1,1,1,1.0
321,21,v22-scene-d21,Keth,approaches,1.0,0.18,1.0,0.18,walks closer,1,1,1,1.0
322,21,v22-scene-d21,Keth,softens,1.0,0.166,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
323,21,v22-scene-d21,Keth,curious,0.986,0.196,1.0,0.4,leans toward object,1,1,1,1.0
324,21,v22-scene-d21,Keth,softens,1.0,0.182,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
325,21,v22-scene-d21,Keth,curious,1.0,0.182,1.0,0.18,leans toward object,1,1,1,1.0
326,21,v22-scene-d21,Keth,softens,1.0,0.168,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
327,21,v22-scene-d21,Keth,curious,1.0,0.168,1.0,0.18,leans toward object,1,1,1,1.0
328,21,v22-scene-d21,Sova,approaches,1.0,0.252,0.81,0.18,walks closer,1,1,1,1.0
329,21,v22-scene-d21,Sova,softens,1.0,0.238,0.81,0.18,faces avatar with lowered shoulders,1,1,1,1.0
330,21,v22-scene-d21,Sova,softens,1.0,0.224,0.81,0.18,faces avatar with lowered shoulders,1,1,1,1.0
331,21,v22-scene-d21,Sova,softens,1.0,0.21,0.81,0.18,faces avatar with lowered shoulders,1,1,1,1.0
332,21,v22-scene-d21,Keth,approaches,1.0,0.168,1.0,0.18,walks closer,1,1,1,1.0
333,21,v22-scene-d21,Keth,approaches,1.0,0.168,1.0,0.18,walks closer,1,1,1,1.0
334,21,v22-scene-d21,Keth,softens,1.0,0.154,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
335,21,v22-scene-d21,Keth,softens,1.0,0.14,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
336,22,v22-scene-d22,Keth,curious,1.0,0.14,1.0,0.18,leans toward object,1,1,1,1.0
337,22,v22-scene-d22,Keth,softens,1.0,0.126,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
338,22,v22-scene-d22,Keth,curious,0.986,0.156,1.0,0.4,leans toward object,1,1,1,1.0
339,22,v22-scene-d22,Keth,curious,0.986,0.156,1.0,0.18,leans toward object,1,1,1,1.0
340,22,v22-scene-d22,Keth,curious,0.986,0.156,1.0,0.18,leans toward object,1,1,1,1.0
341,22,v22-scene-d22,Keth,curious,0.962,0.186,1.0,0.4,leans toward object,1,1,1,1.0
342,22,v22-scene-d22,Keth,curious,0.972,0.186,1.0,0.18,leans toward object,1,1,1,1.0
343,22,v22-scene-d22,Keth,curious,0.958,0.216,1.0,0.4,leans toward object,1,1,1,1.0
344,22,v22-scene-d22,Keth,curious,0.958,0.216,1.0,0.18,leans toward object,1,0,1,0.8
345,22,v22-scene-d22,Keth,approaches,0.958,0.216,1.0,0.18,walks closer,1,1,1,1.0
346,22,v22-scene-d22,Keth,curious,0.934,0.246,1.0,0.4,leans toward object,1,1,1,1.0
347,22,v22-scene-d22,Keth,curious,0.934,0.246,1.0,0.18,leans toward object,1,1,1,1.0
348,22,v22-scene-d22,Keth,curious,0.91,0.276,1.0,0.4,leans toward object,1,1,1,1.0
349,22,v22-scene-d22,Keth,curious,0.92,0.276,1.0,0.18,leans toward object,1,1,1,1.0
350,22,v22-scene-d22,Keth,softens,0.93,0.262,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
351,22,v22-scene-d22,Keth,softens,0.948,0.248,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
352,23,v22-scene-d23,Keth,curious,0.948,0.248,1.0,0.18,leans toward object,1,1,1,1.0
353,23,v22-scene-d23,Keth,softens,0.966,0.234,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
354,23,v22-scene-d23,Keth,curious,0.966,0.234,1.0,0.18,leans toward object,1,1,1,1.0
355,23,v22-scene-d23,Keth,curious,0.976,0.234,1.0,0.18,leans toward object,1,1,1,1.0
356,23,v22-scene-d23,Keth,approaches,0.976,0.234,1.0,0.18,walks closer,1,1,1,1.0
357,23,v22-scene-d23,Keth,approaches,0.976,0.234,1.0,0.18,walks closer,1,1,1,1.0
358,23,v22-scene-d23,Keth,approaches,0.976,0.234,1.0,0.18,walks closer,1,1,1,1.0
359,23,v22-scene-d23,Keth,approaches,0.976,0.234,1.0,0.18,walks closer,1,1,1,1.0
360,23,v22-scene-d23,Keth,softens,0.976,0.22,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
361,23,v22-scene-d23,Keth,curious,0.976,0.22,1.0,0.18,leans toward object,1,1,1,1.0
362,23,v22-scene-d23,Keth,softens,1.0,0.206,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
363,23,v22-scene-d23,Keth,curious,1.0,0.206,1.0,0.18,leans toward object,1,1,1,1.0
364,23,v22-scene-d23,Keth,softens,1.0,0.192,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
365,23,v22-scene-d23,Keth,softens,1.0,0.178,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
366,23,v22-scene-d23,Keth,curious,1.0,0.178,1.0,0.18,leans toward object,1,1,1,1.0
367,23,v22-scene-d23,Keth,curious,1.0,0.178,1.0,0.18,leans toward object,1,1,1,1.0
368,24,v22-scene-d24,Keth,curious,1.0,0.178,1.0,0.18,leans toward object,1,1,1,1.0
369,24,v22-scene-d24,Keth,approaches,1.0,0.178,1.0,0.18,walks closer,1,1,1,1.0
370,24,v22-scene-d24,Keth,approaches,1.0,0.178,1.0,0.18,walks closer,1,1,1,1.0
371,24,v22-scene-d24,Keth,softens,1.0,0.164,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
372,24,v22-scene-d24,Keth,softens,1.0,0.15,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
373,24,v22-scene-d24,Keth,approaches,1.0,0.15,1.0,0.18,walks closer,1,1,1,1.0
374,24,v22-scene-d24,Keth,softens,1.0,0.136,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
375,24,v22-scene-d24,Keth,softens,1.0,0.122,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
376,24,v22-scene-d24,Keth,approaches,1.0,0.122,1.0,0.18,walks closer,1,1,1,1.0
377,24,v22-scene-d24,Keth,softens,1.0,0.108,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
378,24,v22-scene-d24,Keth,curious,1.0,0.108,1.0,0.18,leans toward object,1,1,1,1.0
379,24,v22-scene-d24,Keth,curious,1.0,0.108,1.0,0.18,leans toward object,1,1,1,1.0
380,24,v22-scene-d24,Keth,softens,1.0,0.094,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
381,24,v22-scene-d24,Keth,curious,1.0,0.094,1.0,0.18,leans toward object,1,1,1,1.0
382,24,v22-scene-d24,Keth,curious,0.986,0.124,1.0,0.4,leans toward object,1,1,1,1.0
383,24,v22-scene-d24,Keth,curious,0.996,0.124,1.0,0.18,leans toward object,1,1,1,1.0
