tick_id,day,agent_id,owned_object,avatar_event,ownership_appraisal,memory_episode_public,trust_delta,respect_delta,resentment_delta,gratitude_delta,memory_written,recall_key
364,31,Fay,herb ledger,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:364
367,31,Ivo,seed satchel,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near seed satchel: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ivo:367
369,31,Ari,cedar repair kit,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:369
371,31,Nia,signal spool,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:371
372,32,Milo,oil lantern,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:372
374,32,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:374
376,32,Fay,herb ledger,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:376
378,32,Milo,oil lantern,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:378
379,32,Ivo,seed satchel,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near seed satchel: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ivo:379
381,32,Ari,cedar repair kit,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:381
383,32,Nia,signal spool,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:383
384,33,Milo,oil lantern,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:384
386,33,Juno,copper wire,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:386
388,33,Fay,herb ledger,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:388
389,33,Nia,signal spool,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:389
391,33,Ivo,seed satchel,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:391
393,33,Ari,cedar repair kit,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:393
395,33,Nia,signal spool,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:395
396,34,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:396
398,34,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:398
400,34,Fay,herb ledger,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:400
403,34,Ivo,seed satchel,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:403
405,34,Ari,cedar repair kit,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:405
406,34,Fay,herb ledger,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:406
407,34,Nia,signal spool,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:407
408,35,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:408
410,35,Juno,copper wire,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:410
411,35,Ari,cedar repair kit,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:411
412,35,Fay,herb ledger,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:412
415,35,Ivo,seed satchel,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:415
417,35,Ari,cedar repair kit,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:417
419,35,Nia,signal spool,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:419
420,36,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:420
422,36,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:422
424,36,Fay,herb ledger,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:424
427,36,Ivo,seed satchel,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:427
429,36,Ari,cedar repair kit,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:429
431,36,Nia,signal spool,give_space,repairs or protects self-boundary,Avatar event `give_space` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:431
432,37,Milo,oil lantern,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:432
434,37,Juno,copper wire,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:434
436,37,Fay,herb ledger,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:436
439,37,Ivo,seed satchel,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:439
440,37,Juno,copper wire,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near copper wire: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Juno:440
441,37,Ari,cedar repair kit,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near cedar repair kit: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ari:441
443,37,Nia,signal spool,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:443
444,38,Milo,oil lantern,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:444
445,38,Ivo,seed satchel,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near seed satchel: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ivo:445
446,38,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:446
448,38,Fay,herb ledger,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:448
451,38,Ivo,seed satchel,give_space,repairs or protects self-boundary,Avatar event `give_space` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:451
453,38,Ari,cedar repair kit,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:453
455,38,Nia,signal spool,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:455
456,39,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:456
458,39,Juno,copper wire,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near copper wire: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Juno:458
460,39,Fay,herb ledger,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:460
462,39,Milo,oil lantern,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near oil lantern: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Milo:462
463,39,Ivo,seed satchel,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:463
465,39,Ari,cedar repair kit,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:465
467,39,Nia,signal spool,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:467
468,40,Ivo,seed satchel,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:468
470,40,Ari,cedar repair kit,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:470
472,40,Nia,signal spool,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:472
475,40,Juno,copper wire,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near copper wire: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Juno:475
477,40,Fay,herb ledger,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near herb ledger: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Fay:477
478,40,Nia,signal spool,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:478
479,40,Milo,oil lantern,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:479
480,41,Ivo,seed satchel,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:480
482,41,Ari,cedar repair kit,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:482
483,41,Fay,herb ledger,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:483
484,41,Nia,signal spool,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:484
487,41,Juno,copper wire,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:487
489,41,Fay,herb ledger,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near herb ledger: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Fay:489
491,41,Milo,oil lantern,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:491
492,42,Ivo,seed satchel,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:492
494,42,Ari,cedar repair kit,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:494
496,42,Nia,signal spool,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:496
499,42,Juno,copper wire,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:499
500,42,Ari,cedar repair kit,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:500
501,42,Fay,herb ledger,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near herb ledger: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Fay:501
503,42,Milo,oil lantern,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:503
504,43,Ivo,seed satchel,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:504
506,43,Ari,cedar repair kit,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:506
508,43,Nia,signal spool,give_space,repairs or protects self-boundary,Avatar event `give_space` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:508
511,43,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:511
513,43,Fay,herb ledger,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:513
515,43,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:515
516,44,Ivo,seed satchel,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:516
517,44,Juno,copper wire,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near copper wire: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Juno:517
518,44,Ari,cedar repair kit,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near cedar repair kit: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ari:518
520,44,Nia,signal spool,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:520
523,44,Juno,copper wire,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:523
525,44,Fay,herb ledger,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:525
527,44,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:527
528,45,Ivo,seed satchel,give_space,repairs or protects self-boundary,Avatar event `give_space` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:528
530,45,Ari,cedar repair kit,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:530
532,45,Nia,signal spool,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:532
534,45,Ivo,seed satchel,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:534
535,45,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:535
537,45,Fay,herb ledger,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:537
539,45,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:539
540,46,Ivo,seed satchel,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:540
542,46,Ari,cedar repair kit,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:542
544,46,Nia,signal spool,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:544
545,46,Milo,oil lantern,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:545
547,46,Juno,copper wire,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:547
549,46,Fay,herb ledger,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:549
551,46,Milo,oil lantern,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:551
552,47,Ivo,seed satchel,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:552
554,47,Ari,cedar repair kit,give_space,repairs or protects self-boundary,Avatar event `give_space` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:554
556,47,Nia,signal spool,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:556
559,47,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:559
561,47,Fay,herb ledger,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:561
562,47,Nia,signal spool,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:562
563,47,Milo,oil lantern,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:563
564,48,Ivo,seed satchel,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:564
566,48,Ari,cedar repair kit,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:566
567,48,Fay,herb ledger,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near herb ledger: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Fay:567
568,48,Nia,signal spool,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:568
571,48,Juno,copper wire,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:571
573,48,Fay,herb ledger,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:573
575,48,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:575
576,49,Ivo,seed satchel,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near seed satchel: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ivo:576
578,49,Ari,cedar repair kit,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near cedar repair kit: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ari:578
580,49,Nia,signal spool,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:580
583,49,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:583
584,49,Ari,cedar repair kit,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:584
585,49,Fay,herb ledger,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:585
587,49,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:587
588,50,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:588
590,50,Fay,herb ledger,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:590
592,50,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:592
595,50,Ari,cedar repair kit,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:595
597,50,Nia,signal spool,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:597
599,50,Ivo,seed satchel,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:599
600,51,Juno,copper wire,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:600
602,51,Fay,herb ledger,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:602
604,51,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:604
606,51,Juno,copper wire,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:606
607,51,Ari,cedar repair kit,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:607
609,51,Nia,signal spool,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:609
611,51,Ivo,seed satchel,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:611
612,52,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:612
614,52,Fay,herb ledger,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:614
616,52,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:616
