tick_id,day,settlement_id,resident_id,gesture,mismatch_type,repair_action,repair_success,risk_before,risk_after,visible_gesture_marker,bounded_repair
434,25,orchid_engine,Dax,open palms,meaning,slow repeat with resident correction,True,0.198,0.038,Dax:open palms:meaning,True
436,25,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.06,0.02,Nia:net-hand open:none,True
437,25,cinder_garden,Pax,shade bow,none,gesture accepted,True,0.062,0.02,Pax:shade bow:none,True
438,25,lichen_bridge,Rin,signal hush,none,gesture accepted,True,0.134,0.02,Rin:signal hush:none,True
440,25,moss_ward,Ari,empty hands,timing,slow repeat with resident correction,True,0.134,0.02,Ari:empty hands:timing,True
442,25,cinder_garden,Vale,seed-step stop,none,gesture accepted,True,0.128,0.02,Vale:seed-step stop:none,True
443,25,lichen_bridge,Sol,rope touch,none,gesture accepted,True,0.132,0.02,Sol:rope touch:none,True
444,25,orchid_engine,Bea,valve pause,none,gesture accepted,True,0.066,0.02,Bea:valve pause:none,True
446,25,glass_harbor,Puck,lantern tap,none,gesture accepted,True,0.124,0.02,Puck:lantern tap:none,True
448,25,lichen_bridge,Kio,shared bowl,meaning,slow repeat with resident correction,True,0.138,0.02,Kio:shared bowl:meaning,True
449,25,orchid_engine,Cai,open palms,none,gesture accepted,True,0.082,0.02,Cai:open palms:none,True
450,26,glass_harbor,Nia,net-hand open,timing,slow repeat with resident correction,False,0.122,0.082,Nia:net-hand open:timing,True
452,26,lichen_bridge,Rin,signal hush,none,gesture accepted,True,0.156,0.02,Rin:signal hush:none,True
454,26,moss_ward,Ari,empty hands,none,gesture accepted,True,0.044,0.02,Ari:empty hands:none,True
456,26,cinder_garden,Vale,seed-step stop,none,gesture accepted,True,0.11,0.02,Vale:seed-step stop:none,True
458,26,orchid_engine,Bea,valve pause,none,gesture accepted,True,0.088,0.02,Bea:valve pause:none,True
460,26,glass_harbor,Puck,lantern tap,timing,slow repeat with resident correction,True,0.194,0.034,Puck:lantern tap:timing,True
462,26,lichen_bridge,Kio,shared bowl,meaning,slow repeat with resident correction,False,0.12,0.08,Kio:shared bowl:meaning,True
464,26,moss_ward,Milo,door-path step,none,gesture accepted,True,0.152,0.02,Milo:door-path step:none,True
466,26,cinder_garden,Juno,shade bow,none,gesture accepted,True,0.064,0.02,Juno:shade bow:none,True
468,27,moss_ward,Ari,empty hands,none,gesture accepted,True,0.04,0.02,Ari:empty hands:none,True
470,27,cinder_garden,Vale,seed-step stop,timing,slow repeat with resident correction,True,0.186,0.026,Vale:seed-step stop:timing,True
471,27,lichen_bridge,Sol,rope touch,none,gesture accepted,True,0.104,0.02,Sol:rope touch:none,True
472,27,orchid_engine,Bea,valve pause,none,gesture accepted,True,0.042,0.02,Bea:valve pause:none,True
474,27,glass_harbor,Puck,lantern tap,none,gesture accepted,True,0.096,0.02,Puck:lantern tap:none,True
476,27,lichen_bridge,Kio,shared bowl,meaning,slow repeat with resident correction,True,0.12,0.02,Kio:shared bowl:meaning,True
477,27,orchid_engine,Cai,open palms,none,gesture accepted,True,0.054,0.02,Cai:open palms:none,True
478,27,moss_ward,Milo,door-path step,none,gesture accepted,True,0.106,0.02,Milo:door-path step:none,True
480,27,cinder_garden,Juno,shade bow,timing,slow repeat with resident correction,False,0.126,0.086,Juno:shade bow:timing,True
482,27,orchid_engine,Dax,orchid cup,none,gesture accepted,True,0.108,0.02,Dax:orchid cup:none,True
483,27,moss_ward,Tala,empty hands,meaning,slow repeat with resident correction,True,0.2,0.04,Tala:empty hands:meaning,True
484,27,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.04,0.02,Nia:tea hold:none,True
486,28,orchid_engine,Bea,valve pause,none,gesture accepted,True,0.064,0.02,Bea:valve pause:none,True
488,28,glass_harbor,Puck,lantern tap,none,gesture accepted,True,0.086,0.02,Puck:lantern tap:none,True
490,28,lichen_bridge,Kio,shared bowl,timing,slow repeat with resident correction,True,0.12,0.02,Kio:shared bowl:timing,True
492,28,moss_ward,Milo,door-path step,none,gesture accepted,True,0.128,0.02,Milo:door-path step:none,True
494,28,cinder_garden,Juno,shade bow,none,gesture accepted,True,0.04,0.02,Juno:shade bow:none,True
496,28,orchid_engine,Dax,orchid cup,none,gesture accepted,True,0.09,0.02,Dax:orchid cup:none,True
498,28,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.06,0.02,Nia:tea hold:none,True
500,28,lichen_bridge,Rin,rope touch,timing,slow repeat with resident correction,True,0.19,0.03,Rin:rope touch:timing,True
502,28,moss_ward,Ari,cup pause,none,gesture accepted,True,0.04,0.02,Ari:cup pause:none,True
504,29,lichen_bridge,Kio,shared bowl,meaning,slow repeat with resident correction,True,0.12,0.02,Kio:shared bowl:meaning,True
505,29,orchid_engine,Cai,open palms,timing,slow repeat with resident correction,True,0.12,0.02,Cai:open palms:timing,True
506,29,moss_ward,Milo,door-path step,none,gesture accepted,True,0.082,0.02,Milo:door-path step:none,True
508,29,cinder_garden,Juno,shade bow,none,gesture accepted,True,0.04,0.02,Juno:shade bow:none,True
510,29,orchid_engine,Dax,orchid cup,timing,slow repeat with resident correction,True,0.166,0.02,Dax:orchid cup:timing,True
511,29,moss_ward,Tala,empty hands,meaning,slow repeat with resident correction,True,0.172,0.02,Tala:empty hands:meaning,True
512,29,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.04,0.02,Nia:tea hold:none,True
514,29,lichen_bridge,Rin,rope touch,none,gesture accepted,True,0.092,0.02,Rin:rope touch:none,True
516,29,moss_ward,Ari,cup pause,none,gesture accepted,True,0.04,0.02,Ari:cup pause:none,True
517,29,glass_harbor,Oren,lantern tap,none,gesture accepted,True,0.04,0.02,Oren:lantern tap:none,True
518,29,cinder_garden,Vale,cool hand,meaning,slow repeat with resident correction,True,0.168,0.02,Vale:cool hand:meaning,True
520,29,orchid_engine,Bea,open palms,timing,slow repeat with resident correction,True,0.12,0.02,Bea:open palms:timing,True
522,30,cinder_garden,Juno,shade bow,none,gesture accepted,True,0.04,0.02,Juno:shade bow:none,True
524,30,orchid_engine,Dax,orchid cup,none,gesture accepted,True,0.068,0.02,Dax:orchid cup:none,True
526,30,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.04,0.02,Nia:tea hold:none,True
528,30,lichen_bridge,Rin,rope touch,none,gesture accepted,True,0.082,0.02,Rin:rope touch:none,True
530,30,moss_ward,Ari,cup pause,timing,slow repeat with resident correction,True,0.12,0.02,Ari:cup pause:timing,True
532,30,cinder_garden,Vale,cool hand,meaning,slow repeat with resident correction,True,0.19,0.03,Vale:cool hand:meaning,True
534,30,orchid_engine,Bea,open palms,none,gesture accepted,True,0.04,0.02,Bea:open palms:none,True
536,30,glass_harbor,Puck,net-hand open,none,gesture accepted,True,0.068,0.02,Puck:net-hand open:none,True
538,30,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.04,0.02,Kio:signal hush:none,True
540,31,glass_harbor,Nia,tea hold,timing,slow repeat with resident correction,True,0.12,0.02,Nia:tea hold:timing,True
542,31,lichen_bridge,Rin,rope touch,none,gesture accepted,True,0.064,0.02,Rin:rope touch:none,True
544,31,moss_ward,Ari,cup pause,none,gesture accepted,True,0.04,0.02,Ari:cup pause:none,True
545,31,glass_harbor,Oren,lantern tap,timing,slow repeat with resident correction,True,0.12,0.02,Oren:lantern tap:timing,True
546,31,cinder_garden,Vale,cool hand,meaning,slow repeat with resident correction,True,0.144,0.02,Vale:cool hand:meaning,True
548,31,orchid_engine,Bea,open palms,none,gesture accepted,True,0.04,0.02,Bea:open palms:none,True
550,31,glass_harbor,Puck,net-hand open,timing,slow repeat with resident correction,True,0.144,0.02,Puck:net-hand open:timing,True
551,31,cinder_garden,Wren,shade bow,none,gesture accepted,True,0.064,0.02,Wren:shade bow:none,True
552,31,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.04,0.02,Kio:signal hush:none,True
554,31,moss_ward,Milo,empty hands,none,gesture accepted,True,0.064,0.02,Milo:empty hands:none,True
556,31,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.04,0.02,Juno:seed-step stop:none,True
557,31,lichen_bridge,Luma,rope touch,none,gesture accepted,True,0.04,0.02,Luma:rope touch:none,True
558,32,moss_ward,Ari,cup pause,none,gesture accepted,True,0.04,0.02,Ari:cup pause:none,True
560,32,cinder_garden,Vale,cool hand,timing,slow repeat with resident correction,True,0.166,0.02,Vale:cool hand:timing,True
562,32,orchid_engine,Bea,open palms,none,gesture accepted,True,0.04,0.02,Bea:open palms:none,True
564,32,glass_harbor,Puck,net-hand open,none,gesture accepted,True,0.046,0.02,Puck:net-hand open:none,True
566,32,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.04,0.02,Kio:signal hush:none,True
568,32,moss_ward,Milo,empty hands,none,gesture accepted,True,0.054,0.02,Milo:empty hands:none,True
570,32,cinder_garden,Juno,seed-step stop,timing,slow repeat with resident correction,False,0.12,0.08,Juno:seed-step stop:timing,True
572,32,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.104,0.02,Dax:valve pause:none,True
574,32,glass_harbor,Nia,lantern tap,meaning,slow repeat with resident correction,True,0.12,0.02,Nia:lantern tap:meaning,True
576,33,orchid_engine,Bea,open palms,none,gesture accepted,True,0.04,0.02,Bea:open palms:none,True
578,33,glass_harbor,Puck,net-hand open,none,gesture accepted,True,0.042,0.02,Puck:net-hand open:none,True
579,33,cinder_garden,Wren,shade bow,none,gesture accepted,True,0.04,0.02,Wren:shade bow:none,True
580,33,lichen_bridge,Kio,signal hush,timing,slow repeat with resident correction,True,0.12,0.02,Kio:signal hush:timing,True
582,33,moss_ward,Milo,empty hands,none,gesture accepted,True,0.04,0.02,Milo:empty hands:none,True
584,33,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.04,0.02,Juno:seed-step stop:none,True
585,33,lichen_bridge,Luma,rope touch,timing,slow repeat with resident correction,True,0.12,0.02,Luma:rope touch:timing,True
586,33,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.058,0.02,Dax:valve pause:none,True
588,33,glass_harbor,Nia,lantern tap,meaning,slow repeat with resident correction,False,0.12,0.08,Nia:lantern tap:meaning,True
590,33,lichen_bridge,Rin,shared bowl,timing,slow repeat with resident correction,True,0.134,0.02,Rin:shared bowl:timing,True
591,33,orchid_engine,Eli,open palms,none,gesture accepted,True,0.058,0.02,Eli:open palms:none,True
592,33,moss_ward,Ari,door-path step,none,gesture accepted,True,0.04,0.02,Ari:door-path step:none,True
594,34,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.04,0.02,Kio:signal hush:none,True
596,34,moss_ward,Milo,empty hands,none,gesture accepted,True,0.04,0.02,Milo:empty hands:none,True
598,34,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.04,0.02,Juno:seed-step stop:none,True
600,34,orchid_engine,Dax,valve pause,timing,slow repeat with resident correction,False,0.16,0.12,Dax:valve pause:timing,True
602,34,glass_harbor,Nia,lantern tap,meaning,slow repeat with resident correction,True,0.12,0.02,Nia:lantern tap:meaning,True
604,34,lichen_bridge,Rin,shared bowl,none,gesture accepted,True,0.04,0.02,Rin:shared bowl:none,True
606,34,moss_ward,Ari,door-path step,none,gesture accepted,True,0.04,0.02,Ari:door-path step:none,True
608,34,cinder_garden,Vale,shade bow,none,gesture accepted,True,0.04,0.02,Vale:shade bow:none,True
610,34,orchid_engine,Bea,orchid cup,timing,slow repeat with resident correction,True,0.12,0.02,Bea:orchid cup:timing,True
612,35,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.04,0.02,Juno:seed-step stop:none,True
613,35,lichen_bridge,Luma,rope touch,none,gesture accepted,True,0.04,0.02,Luma:rope touch:none,True
614,35,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.04,0.02,Dax:valve pause:none,True
616,35,glass_harbor,Nia,lantern tap,meaning,slow repeat with resident correction,True,0.12,0.02,Nia:lantern tap:meaning,True
618,35,lichen_bridge,Rin,shared bowl,none,gesture accepted,True,0.04,0.02,Rin:shared bowl:none,True
619,35,orchid_engine,Eli,open palms,none,gesture accepted,True,0.04,0.02,Eli:open palms:none,True
620,35,moss_ward,Ari,door-path step,timing,slow repeat with resident correction,True,0.12,0.02,Ari:door-path step:timing,True
622,35,cinder_garden,Vale,shade bow,none,gesture accepted,True,0.04,0.02,Vale:shade bow:none,True
624,35,orchid_engine,Bea,orchid cup,none,gesture accepted,True,0.04,0.02,Bea:orchid cup:none,True
625,35,moss_ward,Fay,empty hands,timing,slow repeat with resident correction,True,0.12,0.02,Fay:empty hands:timing,True
626,35,glass_harbor,Puck,tea hold,none,gesture accepted,True,0.04,0.02,Puck:tea hold:none,True
628,35,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.04,0.02,Kio:rope touch:none,True
630,36,glass_harbor,Nia,lantern tap,timing,slow repeat with resident correction,True,0.12,0.02,Nia:lantern tap:timing,True
632,36,lichen_bridge,Rin,shared bowl,none,gesture accepted,True,0.04,0.02,Rin:shared bowl:none,True
634,36,moss_ward,Ari,door-path step,none,gesture accepted,True,0.04,0.02,Ari:door-path step:none,True
636,36,cinder_garden,Vale,shade bow,none,gesture accepted,True,0.04,0.02,Vale:shade bow:none,True
638,36,orchid_engine,Bea,orchid cup,none,gesture accepted,True,0.04,0.02,Bea:orchid cup:none,True
640,36,glass_harbor,Puck,tea hold,timing,slow repeat with resident correction,True,0.126,0.02,Puck:tea hold:timing,True
642,36,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.04,0.02,Kio:rope touch:none,True
644,36,moss_ward,Milo,cup pause,meaning,slow repeat with resident correction,True,0.12,0.02,Milo:cup pause:meaning,True
646,36,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.04,0.02,Juno:cool hand:none,True
648,37,moss_ward,Ari,door-path step,none,gesture accepted,True,0.04,0.02,Ari:door-path step:none,True
650,37,cinder_garden,Vale,shade bow,timing,slow repeat with resident correction,True,0.12,0.02,Vale:shade bow:timing,True
652,37,orchid_engine,Bea,orchid cup,none,gesture accepted,True,0.04,0.02,Bea:orchid cup:none,True
653,37,moss_ward,Fay,empty hands,none,gesture accepted,True,0.04,0.02,Fay:empty hands:none,True
654,37,glass_harbor,Puck,tea hold,none,gesture accepted,True,0.04,0.02,Puck:tea hold:none,True
656,37,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.04,0.02,Kio:rope touch:none,True
658,37,moss_ward,Milo,cup pause,meaning,slow repeat with resident correction,True,0.12,0.02,Milo:cup pause:meaning,True
659,37,glass_harbor,Sera,lantern tap,none,gesture accepted,True,0.04,0.02,Sera:lantern tap:none,True
660,37,cinder_garden,Juno,cool hand,timing,slow repeat with resident correction,True,0.12,0.02,Juno:cool hand:timing,True
662,37,orchid_engine,Dax,open palms,none,gesture accepted,True,0.04,0.02,Dax:open palms:none,True
664,37,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.04,0.02,Nia:net-hand open:none,True
665,37,cinder_garden,Pax,shade bow,timing,slow repeat with resident correction,True,0.12,0.02,Pax:shade bow:timing,True
666,38,orchid_engine,Bea,orchid cup,none,gesture accepted,True,0.04,0.02,Bea:orchid cup:none,True
668,38,glass_harbor,Puck,tea hold,none,gesture accepted,True,0.04,0.02,Puck:tea hold:none,True
670,38,lichen_bridge,Kio,rope touch,timing,slow repeat with resident correction,True,0.12,0.02,Kio:rope touch:timing,True
672,38,moss_ward,Milo,cup pause,meaning,slow repeat with resident correction,False,0.12,0.08,Milo:cup pause:meaning,True
674,38,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.04,0.02,Juno:cool hand:none,True
676,38,orchid_engine,Dax,open palms,none,gesture accepted,True,0.04,0.02,Dax:open palms:none,True
678,38,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.04,0.02,Nia:net-hand open:none,True
680,38,lichen_bridge,Rin,signal hush,timing,slow repeat with resident correction,True,0.13,0.02,Rin:signal hush:timing,True
682,38,moss_ward,Ari,empty hands,none,gesture accepted,True,0.04,0.02,Ari:empty hands:none,True
684,39,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.04,0.02,Kio:rope touch:none,True
686,39,moss_ward,Milo,cup pause,meaning,slow repeat with resident correction,True,0.12,0.02,Milo:cup pause:meaning,True
687,39,glass_harbor,Sera,lantern tap,none,gesture accepted,True,0.04,0.02,Sera:lantern tap:none,True
688,39,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.04,0.02,Juno:cool hand:none,True
690,39,orchid_engine,Dax,open palms,timing,slow repeat with resident correction,False,0.12,0.08,Dax:open palms:timing,True
692,39,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.04,0.02,Nia:net-hand open:none,True
693,39,cinder_garden,Pax,shade bow,meaning,slow repeat with resident correction,True,0.12,0.02,Pax:shade bow:meaning,True
694,39,lichen_bridge,Rin,signal hush,none,gesture accepted,True,0.04,0.02,Rin:signal hush:none,True
696,39,moss_ward,Ari,empty hands,none,gesture accepted,True,0.04,0.02,Ari:empty hands:none,True
698,39,cinder_garden,Vale,seed-step stop,none,gesture accepted,True,0.04,0.02,Vale:seed-step stop:none,True
699,39,lichen_bridge,Sol,rope touch,none,gesture accepted,True,0.04,0.02,Sol:rope touch:none,True
700,39,orchid_engine,Bea,valve pause,timing,slow repeat with resident correction,True,0.12,0.02,Bea:valve pause:timing,True
702,40,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.04,0.02,Juno:cool hand:none,True
704,40,orchid_engine,Dax,open palms,none,gesture accepted,True,0.04,0.02,Dax:open palms:none,True
706,40,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.04,0.02,Nia:net-hand open:none,True
708,40,lichen_bridge,Rin,signal hush,none,gesture accepted,True,0.04,0.02,Rin:signal hush:none,True
710,40,moss_ward,Ari,empty hands,timing,slow repeat with resident correction,True,0.12,0.02,Ari:empty hands:timing,True
712,40,cinder_garden,Vale,seed-step stop,none,gesture accepted,True,0.04,0.02,Vale:seed-step stop:none,True
714,40,orchid_engine,Bea,valve pause,meaning,slow repeat with resident correction,False,0.12,0.08,Bea:valve pause:meaning,True
716,40,glass_harbor,Puck,lantern tap,none,gesture accepted,True,0.04,0.02,Puck:lantern tap:none,True
718,40,lichen_bridge,Kio,shared bowl,none,gesture accepted,True,0.04,0.02,Kio:shared bowl:none,True
720,41,glass_harbor,Nia,net-hand open,timing,slow repeat with resident correction,True,0.12,0.02,Nia:net-hand open:timing,True
721,41,cinder_garden,Pax,shade bow,meaning,slow repeat with resident correction,True,0.12,0.02,Pax:shade bow:meaning,True
722,41,lichen_bridge,Rin,signal hush,none,gesture accepted,True,0.04,0.02,Rin:signal hush:none,True
724,41,moss_ward,Ari,empty hands,none,gesture accepted,True,0.04,0.02,Ari:empty hands:none,True
726,41,cinder_garden,Vale,seed-step stop,none,gesture accepted,True,0.04,0.02,Vale:seed-step stop:none,True
727,41,lichen_bridge,Sol,rope touch,none,gesture accepted,True,0.04,0.02,Sol:rope touch:none,True
728,41,orchid_engine,Bea,valve pause,meaning,slow repeat with resident correction,True,0.12,0.02,Bea:valve pause:meaning,True
730,41,glass_harbor,Puck,lantern tap,timing,slow repeat with resident correction,True,0.12,0.02,Puck:lantern tap:timing,True
732,41,lichen_bridge,Kio,shared bowl,none,gesture accepted,True,0.04,0.02,Kio:shared bowl:none,True
733,41,orchid_engine,Cai,open palms,none,gesture accepted,True,0.04,0.02,Cai:open palms:none,True
734,41,moss_ward,Milo,door-path step,none,gesture accepted,True,0.04,0.02,Milo:door-path step:none,True
736,41,cinder_garden,Juno,shade bow,none,gesture accepted,True,0.04,0.02,Juno:shade bow:none,True
738,42,moss_ward,Ari,empty hands,none,gesture accepted,True,0.04,0.02,Ari:empty hands:none,True
740,42,cinder_garden,Vale,seed-step stop,timing,slow repeat with resident correction,True,0.12,0.02,Vale:seed-step stop:timing,True
742,42,orchid_engine,Bea,valve pause,meaning,slow repeat with resident correction,True,0.12,0.02,Bea:valve pause:meaning,True
744,42,glass_harbor,Puck,lantern tap,none,gesture accepted,True,0.04,0.02,Puck:lantern tap:none,True
746,42,lichen_bridge,Kio,shared bowl,none,gesture accepted,True,0.04,0.02,Kio:shared bowl:none,True
748,42,moss_ward,Milo,door-path step,none,gesture accepted,True,0.04,0.02,Milo:door-path step:none,True
750,42,cinder_garden,Juno,shade bow,timing,slow repeat with resident correction,True,0.12,0.02,Juno:shade bow:timing,True
752,42,orchid_engine,Dax,orchid cup,none,gesture accepted,True,0.04,0.02,Dax:orchid cup:none,True
754,42,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.04,0.02,Nia:tea hold:none,True
756,43,orchid_engine,Bea,valve pause,meaning,slow repeat with resident correction,True,0.12,0.02,Bea:valve pause:meaning,True
758,43,glass_harbor,Puck,lantern tap,none,gesture accepted,True,0.04,0.02,Puck:lantern tap:none,True
760,43,lichen_bridge,Kio,shared bowl,timing,slow repeat with resident correction,True,0.12,0.02,Kio:shared bowl:timing,True
761,43,orchid_engine,Cai,open palms,none,gesture accepted,True,0.04,0.02,Cai:open palms:none,True
762,43,moss_ward,Milo,door-path step,none,gesture accepted,True,0.04,0.02,Milo:door-path step:none,True
764,43,cinder_garden,Juno,shade bow,none,gesture accepted,True,0.04,0.02,Juno:shade bow:none,True
766,43,orchid_engine,Dax,orchid cup,none,gesture accepted,True,0.04,0.02,Dax:orchid cup:none,True
767,43,moss_ward,Tala,empty hands,none,gesture accepted,True,0.04,0.02,Tala:empty hands:none,True
768,43,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.04,0.02,Nia:tea hold:none,True
770,43,lichen_bridge,Rin,rope touch,timing,slow repeat with resident correction,True,0.12,0.02,Rin:rope touch:timing,True
772,43,moss_ward,Ari,cup pause,none,gesture accepted,True,0.04,0.02,Ari:cup pause:none,True
773,43,glass_harbor,Oren,lantern tap,none,gesture accepted,True,0.04,0.02,Oren:lantern tap:none,True
774,44,lichen_bridge,Kio,shared bowl,none,gesture accepted,True,0.04,0.02,Kio:shared bowl:none,True
776,44,moss_ward,Milo,door-path step,none,gesture accepted,True,0.04,0.02,Milo:door-path step:none,True
778,44,cinder_garden,Juno,shade bow,none,gesture accepted,True,0.04,0.02,Juno:shade bow:none,True
780,44,orchid_engine,Dax,orchid cup,timing,slow repeat with resident correction,False,0.12,0.08,Dax:orchid cup:timing,True
782,44,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.04,0.02,Nia:tea hold:none,True
784,44,lichen_bridge,Rin,rope touch,meaning,slow repeat with resident correction,True,0.12,0.02,Rin:rope touch:meaning,True
786,44,moss_ward,Ari,cup pause,none,gesture accepted,True,0.04,0.02,Ari:cup pause:none,True
788,44,cinder_garden,Vale,cool hand,none,gesture accepted,True,0.04,0.02,Vale:cool hand:none,True
790,44,orchid_engine,Bea,open palms,timing,slow repeat with resident correction,True,0.12,0.02,Bea:open palms:timing,True
792,45,cinder_garden,Juno,shade bow,none,gesture accepted,True,0.04,0.02,Juno:shade bow:none,True
794,45,orchid_engine,Dax,orchid cup,none,gesture accepted,True,0.04,0.02,Dax:orchid cup:none,True
795,45,moss_ward,Tala,empty hands,timing,slow repeat with resident correction,True,0.12,0.02,Tala:empty hands:timing,True
796,45,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.04,0.02,Nia:tea hold:none,True
798,45,lichen_bridge,Rin,rope touch,meaning,slow repeat with resident correction,False,0.12,0.08,Rin:rope touch:meaning,True
800,45,moss_ward,Ari,cup pause,timing,slow repeat with resident correction,True,0.12,0.02,Ari:cup pause:timing,True
801,45,glass_harbor,Oren,lantern tap,none,gesture accepted,True,0.04,0.02,Oren:lantern tap:none,True
802,45,cinder_garden,Vale,cool hand,none,gesture accepted,True,0.04,0.02,Vale:cool hand:none,True
804,45,orchid_engine,Bea,open palms,none,gesture accepted,True,0.04,0.02,Bea:open palms:none,True
806,45,glass_harbor,Puck,net-hand open,none,gesture accepted,True,0.04,0.02,Puck:net-hand open:none,True
807,45,cinder_garden,Wren,shade bow,none,gesture accepted,True,0.04,0.02,Wren:shade bow:none,True
808,45,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.04,0.02,Kio:signal hush:none,True
810,46,glass_harbor,Nia,tea hold,timing,slow repeat with resident correction,False,0.12,0.08,Nia:tea hold:timing,True
812,46,lichen_bridge,Rin,rope touch,meaning,slow repeat with resident correction,True,0.12,0.02,Rin:rope touch:meaning,True
814,46,moss_ward,Ari,cup pause,none,gesture accepted,True,0.04,0.02,Ari:cup pause:none,True
816,46,cinder_garden,Vale,cool hand,none,gesture accepted,True,0.04,0.02,Vale:cool hand:none,True
818,46,orchid_engine,Bea,open palms,none,gesture accepted,True,0.04,0.02,Bea:open palms:none,True
820,46,glass_harbor,Puck,net-hand open,timing,slow repeat with resident correction,True,0.12,0.02,Puck:net-hand open:timing,True
822,46,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.04,0.02,Kio:signal hush:none,True
824,46,moss_ward,Milo,empty hands,none,gesture accepted,True,0.04,0.02,Milo:empty hands:none,True
826,46,cinder_garden,Juno,seed-step stop,meaning,slow repeat with resident correction,True,0.12,0.02,Juno:seed-step stop:meaning,True
828,47,moss_ward,Ari,cup pause,none,gesture accepted,True,0.04,0.02,Ari:cup pause:none,True
829,47,glass_harbor,Oren,lantern tap,none,gesture accepted,True,0.04,0.02,Oren:lantern tap:none,True
830,47,cinder_garden,Vale,cool hand,timing,slow repeat with resident correction,True,0.12,0.02,Vale:cool hand:timing,True
832,47,orchid_engine,Bea,open palms,none,gesture accepted,True,0.04,0.02,Bea:open palms:none,True
834,47,glass_harbor,Puck,net-hand open,none,gesture accepted,True,0.04,0.02,Puck:net-hand open:none,True
835,47,cinder_garden,Wren,shade bow,timing,slow repeat with resident correction,True,0.12,0.02,Wren:shade bow:timing,True
836,47,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.04,0.02,Kio:signal hush:none,True
838,47,moss_ward,Milo,empty hands,none,gesture accepted,True,0.04,0.02,Milo:empty hands:none,True
840,47,cinder_garden,Juno,seed-step stop,timing,slow repeat with resident correction,True,0.12,0.02,Juno:seed-step stop:timing,True
841,47,lichen_bridge,Luma,rope touch,none,gesture accepted,True,0.04,0.02,Luma:rope touch:none,True
842,47,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.04,0.02,Dax:valve pause:none,True
844,47,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.04,0.02,Nia:lantern tap:none,True
846,48,orchid_engine,Bea,open palms,none,gesture accepted,True,0.04,0.02,Bea:open palms:none,True
848,48,glass_harbor,Puck,net-hand open,none,gesture accepted,True,0.04,0.02,Puck:net-hand open:none,True
850,48,lichen_bridge,Kio,signal hush,timing,slow repeat with resident correction,True,0.12,0.02,Kio:signal hush:timing,True
852,48,moss_ward,Milo,empty hands,none,gesture accepted,True,0.04,0.02,Milo:empty hands:none,True
854,48,cinder_garden,Juno,seed-step stop,meaning,slow repeat with resident correction,True,0.12,0.02,Juno:seed-step stop:meaning,True
856,48,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.04,0.02,Dax:valve pause:none,True
858,48,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.04,0.02,Nia:lantern tap:none,True
860,48,lichen_bridge,Rin,shared bowl,timing,slow repeat with resident correction,True,0.12,0.02,Rin:shared bowl:timing,True
862,48,moss_ward,Ari,door-path step,none,gesture accepted,True,0.04,0.02,Ari:door-path step:none,True
864,49,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.04,0.02,Kio:signal hush:none,True
866,49,moss_ward,Milo,empty hands,none,gesture accepted,True,0.04,0.02,Milo:empty hands:none,True
868,49,cinder_garden,Juno,seed-step stop,meaning,slow repeat with resident correction,True,0.12,0.02,Juno:seed-step stop:meaning,True
