tick_id,day,tick,season,region_id,weather_pattern,intensity,temperature,wetness,production_modifier,collapse_pressure,migration_pressure,sensory_weather_marker
220,14,12,spring_rain,archive_quarter,wet surge,0.5,0.48,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
221,14,13,spring_rain,signal_ridge,wet surge,0.58,0.5,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
222,14,14,spring_rain,orchard_fen,wet surge,0.76,0.52,0.84,1.142,0.2418,0.416,spring_rain:wet surge:0.76
223,14,15,spring_rain,riverbend,wet surge,0.74,0.44,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
224,15,0,spring_rain,roofward,wet surge,0.42,0.44,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
225,15,1,spring_rain,archive_quarter,wet surge,0.5,0.46,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
226,15,2,spring_rain,signal_ridge,wet surge,0.58,0.48,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
227,15,3,spring_rain,orchard_fen,wet surge,0.66,0.5,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
228,15,4,spring_rain,riverbend,wet surge,0.84,0.52,0.81,1.138,0.2562,0.424,spring_rain:wet surge:0.84
229,15,5,spring_rain,roofward,wet surge,0.42,0.44,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
230,15,6,spring_rain,archive_quarter,wet surge,0.5,0.46,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
231,15,7,spring_rain,signal_ridge,wet surge,0.58,0.48,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
232,15,8,spring_rain,orchard_fen,wet surge,0.66,0.5,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
233,15,9,spring_rain,riverbend,wet surge,0.84,0.52,0.78,1.138,0.2562,0.424,spring_rain:wet surge:0.84
234,15,10,spring_rain,roofward,wet surge,0.42,0.44,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
235,15,11,spring_rain,archive_quarter,wet surge,0.5,0.46,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
236,15,12,spring_rain,signal_ridge,wet surge,0.58,0.48,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
237,15,13,spring_rain,orchard_fen,wet surge,0.66,0.5,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
238,15,14,spring_rain,riverbend,wet surge,0.84,0.52,0.84,1.138,0.2562,0.424,spring_rain:wet surge:0.84
239,15,15,spring_rain,roofward,wet surge,0.42,0.44,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
240,16,0,spring_rain,archive_quarter,wet surge,0.5,0.44,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
241,16,1,spring_rain,signal_ridge,wet surge,0.58,0.46,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
242,16,2,spring_rain,orchard_fen,wet surge,0.66,0.48,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
243,16,3,spring_rain,riverbend,wet surge,0.74,0.5,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
244,16,4,spring_rain,roofward,wet surge,0.52,0.52,0.81,1.154,0.1986,0.392,spring_rain:wet surge:0.52
245,16,5,spring_rain,archive_quarter,wet surge,0.5,0.44,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
246,16,6,spring_rain,signal_ridge,wet surge,0.58,0.46,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
247,16,7,spring_rain,orchard_fen,wet surge,0.66,0.48,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
248,16,8,spring_rain,riverbend,wet surge,0.74,0.5,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
249,16,9,spring_rain,roofward,wet surge,0.52,0.52,0.78,1.154,0.1986,0.392,spring_rain:wet surge:0.52
250,16,10,spring_rain,archive_quarter,wet surge,0.5,0.44,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
251,16,11,spring_rain,signal_ridge,wet surge,0.58,0.46,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
252,16,12,spring_rain,orchard_fen,wet surge,0.66,0.48,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
253,16,13,spring_rain,riverbend,wet surge,0.74,0.5,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
254,16,14,spring_rain,roofward,wet surge,0.52,0.52,0.84,1.154,0.1986,0.392,spring_rain:wet surge:0.52
255,16,15,spring_rain,archive_quarter,wet surge,0.5,0.44,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
256,17,0,summer_dry,signal_ridge,heat shimmer,0.66,0.74,0.22,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
257,17,1,summer_dry,orchard_fen,heat shimmer,0.74,0.76,0.25,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
258,17,2,summer_dry,riverbend,heat shimmer,0.42,0.78,0.28,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
259,17,3,summer_dry,roofward,heat shimmer,0.5,0.8,0.22,0.955,0.195,0.28,summer_dry:heat shimmer:0.50
260,17,4,summer_dry,archive_quarter,heat shimmer,0.68,0.82,0.25,0.946,0.2274,0.298,summer_dry:heat shimmer:0.68
261,17,5,summer_dry,signal_ridge,heat shimmer,0.66,0.74,0.28,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
262,17,6,summer_dry,orchard_fen,heat shimmer,0.74,0.76,0.22,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
263,17,7,summer_dry,riverbend,heat shimmer,0.42,0.78,0.25,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
264,17,8,summer_dry,roofward,heat shimmer,0.5,0.8,0.28,0.955,0.195,0.28,summer_dry:heat shimmer:0.50
265,17,9,summer_dry,archive_quarter,heat shimmer,0.68,0.82,0.22,0.946,0.2274,0.298,summer_dry:heat shimmer:0.68
266,17,10,summer_dry,signal_ridge,heat shimmer,0.66,0.74,0.25,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
267,17,11,summer_dry,orchard_fen,heat shimmer,0.74,0.76,0.28,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
268,17,12,summer_dry,riverbend,heat shimmer,0.42,0.78,0.22,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
269,17,13,summer_dry,roofward,heat shimmer,0.5,0.8,0.25,0.955,0.195,0.28,summer_dry:heat shimmer:0.50
270,17,14,summer_dry,archive_quarter,heat shimmer,0.68,0.82,0.28,0.946,0.2274,0.298,summer_dry:heat shimmer:0.68
271,17,15,summer_dry,signal_ridge,heat shimmer,0.66,0.74,0.22,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
272,18,0,summer_dry,riverbend,heat shimmer,0.74,0.74,0.22,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
273,18,1,summer_dry,roofward,heat shimmer,0.42,0.76,0.25,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
274,18,2,summer_dry,archive_quarter,heat shimmer,0.5,0.78,0.28,0.955,0.195,0.28,summer_dry:heat shimmer:0.50
275,18,3,summer_dry,signal_ridge,heat shimmer,0.58,0.8,0.22,0.951,0.2094,0.288,summer_dry:heat shimmer:0.58
276,18,4,summer_dry,orchard_fen,heat shimmer,0.76,0.82,0.25,0.942,0.2418,0.306,summer_dry:heat shimmer:0.76
277,18,5,summer_dry,riverbend,heat shimmer,0.74,0.74,0.28,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
278,18,6,summer_dry,roofward,heat shimmer,0.42,0.76,0.22,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
279,18,7,summer_dry,archive_quarter,heat shimmer,0.5,0.78,0.25,0.955,0.195,0.28,summer_dry:heat shimmer:0.50
280,18,8,summer_dry,signal_ridge,heat shimmer,0.58,0.8,0.28,0.951,0.2094,0.288,summer_dry:heat shimmer:0.58
281,18,9,summer_dry,orchard_fen,heat shimmer,0.76,0.82,0.22,0.942,0.2418,0.306,summer_dry:heat shimmer:0.76
282,18,10,summer_dry,riverbend,heat shimmer,0.74,0.74,0.25,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
283,18,11,summer_dry,roofward,heat shimmer,0.42,0.76,0.28,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
284,18,12,summer_dry,archive_quarter,heat shimmer,0.5,0.78,0.22,0.955,0.195,0.28,summer_dry:heat shimmer:0.50
285,18,13,summer_dry,signal_ridge,heat shimmer,0.58,0.8,0.25,0.951,0.2094,0.288,summer_dry:heat shimmer:0.58
286,18,14,summer_dry,orchard_fen,heat shimmer,0.76,0.82,0.28,0.942,0.2418,0.306,summer_dry:heat shimmer:0.76
287,18,15,summer_dry,riverbend,heat shimmer,0.74,0.74,0.22,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
288,19,0,summer_dry,roofward,heat shimmer,0.42,0.74,0.22,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
289,19,1,summer_dry,archive_quarter,heat shimmer,0.5,0.76,0.25,0.955,0.195,0.28,summer_dry:heat shimmer:0.50
290,19,2,summer_dry,signal_ridge,heat shimmer,0.58,0.78,0.28,0.951,0.2094,0.288,summer_dry:heat shimmer:0.58
291,19,3,summer_dry,orchard_fen,heat shimmer,0.66,0.8,0.22,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
292,19,4,summer_dry,riverbend,heat shimmer,0.84,0.82,0.25,0.938,0.2562,0.314,summer_dry:heat shimmer:0.84
293,19,5,summer_dry,roofward,heat shimmer,0.42,0.74,0.28,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
294,19,6,summer_dry,archive_quarter,heat shimmer,0.5,0.76,0.22,0.955,0.195,0.28,summer_dry:heat shimmer:0.50
295,19,7,summer_dry,signal_ridge,heat shimmer,0.58,0.78,0.25,0.951,0.2094,0.288,summer_dry:heat shimmer:0.58
296,19,8,summer_dry,orchard_fen,heat shimmer,0.66,0.8,0.28,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
297,19,9,summer_dry,riverbend,heat shimmer,0.84,0.82,0.22,0.938,0.2562,0.314,summer_dry:heat shimmer:0.84
298,19,10,summer_dry,roofward,heat shimmer,0.42,0.74,0.25,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
299,19,11,summer_dry,archive_quarter,heat shimmer,0.5,0.76,0.28,0.955,0.195,0.28,summer_dry:heat shimmer:0.50
300,19,12,summer_dry,signal_ridge,heat shimmer,0.58,0.78,0.22,0.951,0.2094,0.288,summer_dry:heat shimmer:0.58
301,19,13,summer_dry,orchard_fen,heat shimmer,0.66,0.8,0.25,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
302,19,14,summer_dry,riverbend,heat shimmer,0.84,0.82,0.28,0.938,0.2562,0.314,summer_dry:heat shimmer:0.84
303,19,15,summer_dry,roofward,heat shimmer,0.42,0.74,0.22,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
304,20,0,summer_dry,archive_quarter,heat shimmer,0.5,0.74,0.22,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
305,20,1,summer_dry,signal_ridge,heat shimmer,0.58,0.76,0.25,0.951,0.2094,0.288,summer_dry:heat shimmer:0.58
306,20,2,summer_dry,orchard_fen,heat shimmer,0.66,0.78,0.28,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
307,20,3,summer_dry,riverbend,heat shimmer,0.74,0.8,0.22,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
308,20,4,summer_dry,roofward,heat shimmer,0.52,0.82,0.25,0.954,0.1986,0.282,summer_dry:heat shimmer:0.52
309,20,5,summer_dry,archive_quarter,heat shimmer,0.5,0.74,0.28,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
310,20,6,summer_dry,signal_ridge,heat shimmer,0.58,0.76,0.22,0.951,0.2094,0.288,summer_dry:heat shimmer:0.58
311,20,7,summer_dry,orchard_fen,heat shimmer,0.66,0.78,0.25,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
312,20,8,summer_dry,riverbend,heat shimmer,0.74,0.8,0.28,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
313,20,9,summer_dry,roofward,heat shimmer,0.52,0.82,0.22,0.954,0.1986,0.282,summer_dry:heat shimmer:0.52
314,20,10,summer_dry,archive_quarter,heat shimmer,0.5,0.74,0.25,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
315,20,11,summer_dry,signal_ridge,heat shimmer,0.58,0.76,0.28,0.991,0.1744,0.288,summer_dry:heat shimmer:0.58
316,20,12,summer_dry,orchard_fen,heat shimmer,0.66,0.78,0.22,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
317,20,13,summer_dry,riverbend,heat shimmer,0.74,0.8,0.25,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
318,20,14,summer_dry,roofward,heat shimmer,0.52,0.82,0.28,0.954,0.1986,0.282,summer_dry:heat shimmer:0.52
319,20,15,summer_dry,archive_quarter,heat shimmer,0.5,0.74,0.22,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
320,21,0,summer_dry,signal_ridge,heat shimmer,0.58,0.74,0.22,0.991,0.1744,0.288,summer_dry:heat shimmer:0.58
321,21,1,summer_dry,orchard_fen,heat shimmer,0.66,0.76,0.25,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
322,21,2,summer_dry,riverbend,heat shimmer,0.74,0.78,0.28,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
323,21,3,summer_dry,roofward,heat shimmer,0.42,0.8,0.22,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
324,21,4,summer_dry,archive_quarter,heat shimmer,0.6,0.82,0.25,0.99,0.178,0.29,summer_dry:heat shimmer:0.60
325,21,5,summer_dry,signal_ridge,heat shimmer,0.58,0.74,0.28,0.991,0.1744,0.288,summer_dry:heat shimmer:0.58
326,21,6,summer_dry,orchard_fen,heat shimmer,0.66,0.76,0.22,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
327,21,7,summer_dry,riverbend,heat shimmer,0.74,0.78,0.25,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
328,21,8,summer_dry,roofward,heat shimmer,0.42,0.8,0.28,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
329,21,9,summer_dry,archive_quarter,heat shimmer,0.6,0.82,0.22,0.99,0.178,0.29,summer_dry:heat shimmer:0.60
330,21,10,summer_dry,signal_ridge,heat shimmer,0.58,0.74,0.25,0.991,0.1744,0.288,summer_dry:heat shimmer:0.58
331,21,11,summer_dry,orchard_fen,heat shimmer,0.66,0.76,0.28,0.987,0.1888,0.296,summer_dry:heat shimmer:0.66
332,21,12,summer_dry,riverbend,heat shimmer,0.74,0.78,0.22,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
333,21,13,summer_dry,roofward,heat shimmer,0.42,0.8,0.25,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
334,21,14,summer_dry,archive_quarter,heat shimmer,0.6,0.82,0.28,0.99,0.178,0.29,summer_dry:heat shimmer:0.60
335,21,15,summer_dry,signal_ridge,heat shimmer,0.58,0.74,0.22,0.991,0.1744,0.288,summer_dry:heat shimmer:0.58
336,22,0,summer_dry,orchard_fen,heat shimmer,0.66,0.74,0.22,1.027,0.1538,0.296,summer_dry:heat shimmer:0.66
337,22,1,summer_dry,riverbend,heat shimmer,0.74,0.76,0.25,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
338,22,2,summer_dry,roofward,heat shimmer,0.42,0.78,0.28,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
339,22,3,summer_dry,archive_quarter,heat shimmer,0.5,0.8,0.22,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
340,22,4,summer_dry,signal_ridge,heat shimmer,0.68,0.82,0.25,0.986,0.1924,0.298,summer_dry:heat shimmer:0.68
341,22,5,summer_dry,orchard_fen,heat shimmer,0.66,0.74,0.28,1.027,0.1538,0.296,summer_dry:heat shimmer:0.66
342,22,6,summer_dry,riverbend,heat shimmer,0.74,0.76,0.22,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
343,22,7,summer_dry,roofward,heat shimmer,0.42,0.78,0.25,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
344,22,8,summer_dry,archive_quarter,heat shimmer,0.5,0.8,0.28,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
345,22,9,summer_dry,signal_ridge,heat shimmer,0.68,0.82,0.22,0.986,0.1924,0.298,summer_dry:heat shimmer:0.68
346,22,10,summer_dry,orchard_fen,heat shimmer,0.66,0.74,0.25,1.027,0.1538,0.296,summer_dry:heat shimmer:0.66
347,22,11,summer_dry,riverbend,heat shimmer,0.74,0.76,0.28,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
348,22,12,summer_dry,roofward,heat shimmer,0.42,0.78,0.22,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
349,22,13,summer_dry,archive_quarter,heat shimmer,0.5,0.8,0.25,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
350,22,14,summer_dry,signal_ridge,heat shimmer,0.68,0.82,0.28,0.986,0.1924,0.298,summer_dry:heat shimmer:0.68
351,22,15,summer_dry,orchard_fen,heat shimmer,0.66,0.74,0.22,1.027,0.1538,0.296,summer_dry:heat shimmer:0.66
352,23,0,summer_dry,riverbend,heat shimmer,0.74,0.74,0.22,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
353,23,1,summer_dry,roofward,heat shimmer,0.42,0.76,0.25,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
354,23,2,summer_dry,archive_quarter,heat shimmer,0.5,0.78,0.28,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
355,23,3,summer_dry,signal_ridge,heat shimmer,0.58,0.8,0.22,0.991,0.1744,0.288,summer_dry:heat shimmer:0.58
356,23,4,summer_dry,orchard_fen,heat shimmer,0.76,0.82,0.25,1.022,0.1718,0.306,summer_dry:heat shimmer:0.76
357,23,5,summer_dry,riverbend,heat shimmer,0.74,0.74,0.28,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
358,23,6,summer_dry,roofward,heat shimmer,0.42,0.76,0.22,0.959,0.1806,0.272,summer_dry:heat shimmer:0.42
359,23,7,summer_dry,archive_quarter,heat shimmer,0.5,0.78,0.25,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
360,23,8,summer_dry,signal_ridge,heat shimmer,0.58,0.8,0.28,0.991,0.1744,0.288,summer_dry:heat shimmer:0.58
361,23,9,summer_dry,orchard_fen,heat shimmer,0.76,0.82,0.22,1.022,0.1718,0.306,summer_dry:heat shimmer:0.76
362,23,10,summer_dry,riverbend,heat shimmer,0.74,0.74,0.25,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
363,23,11,summer_dry,roofward,heat shimmer,0.42,0.76,0.28,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
364,23,12,summer_dry,archive_quarter,heat shimmer,0.5,0.78,0.22,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
365,23,13,summer_dry,signal_ridge,heat shimmer,0.58,0.8,0.25,0.991,0.1744,0.288,summer_dry:heat shimmer:0.58
366,23,14,summer_dry,orchard_fen,heat shimmer,0.76,0.82,0.28,1.022,0.1718,0.306,summer_dry:heat shimmer:0.76
367,23,15,summer_dry,riverbend,heat shimmer,0.74,0.74,0.22,0.943,0.2382,0.304,summer_dry:heat shimmer:0.74
368,24,0,summer_dry,archive_quarter,heat shimmer,0.42,0.74,0.22,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
369,24,1,summer_dry,signal_ridge,heat shimmer,0.5,0.76,0.25,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
370,24,2,summer_dry,orchard_fen,heat shimmer,0.58,0.78,0.28,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
371,24,3,summer_dry,riverbend,heat shimmer,0.66,0.8,0.22,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
372,24,4,summer_dry,roofward,heat shimmer,0.84,0.82,0.25,1.018,0.1862,0.314,summer_dry:heat shimmer:0.84
373,24,5,summer_dry,archive_quarter,heat shimmer,0.42,0.74,0.28,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
374,24,6,summer_dry,signal_ridge,heat shimmer,0.5,0.76,0.22,0.995,0.16,0.28,summer_dry:heat shimmer:0.50
375,24,7,summer_dry,orchard_fen,heat shimmer,0.58,0.78,0.25,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
376,24,8,summer_dry,riverbend,heat shimmer,0.66,0.8,0.28,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
377,24,9,summer_dry,roofward,heat shimmer,0.84,0.82,0.22,1.018,0.1862,0.314,summer_dry:heat shimmer:0.84
378,24,10,summer_dry,archive_quarter,heat shimmer,0.42,0.74,0.25,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
379,24,11,summer_dry,signal_ridge,heat shimmer,0.5,0.76,0.28,1.035,0.125,0.28,summer_dry:heat shimmer:0.50
380,24,12,summer_dry,orchard_fen,heat shimmer,0.58,0.78,0.22,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
381,24,13,summer_dry,riverbend,heat shimmer,0.66,0.8,0.25,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
382,24,14,summer_dry,roofward,heat shimmer,0.84,0.82,0.28,1.018,0.1862,0.314,summer_dry:heat shimmer:0.84
383,24,15,summer_dry,archive_quarter,heat shimmer,0.42,0.74,0.22,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
384,25,0,summer_dry,signal_ridge,heat shimmer,0.5,0.74,0.22,1.035,0.125,0.28,summer_dry:heat shimmer:0.50
385,25,1,summer_dry,orchard_fen,heat shimmer,0.58,0.76,0.25,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
386,25,2,summer_dry,riverbend,heat shimmer,0.66,0.78,0.28,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
387,25,3,summer_dry,roofward,heat shimmer,0.74,0.8,0.22,1.023,0.1682,0.304,summer_dry:heat shimmer:0.74
388,25,4,summer_dry,archive_quarter,heat shimmer,0.52,0.82,0.25,0.994,0.1636,0.282,summer_dry:heat shimmer:0.52
389,25,5,summer_dry,signal_ridge,heat shimmer,0.5,0.74,0.28,1.035,0.125,0.28,summer_dry:heat shimmer:0.50
390,25,6,summer_dry,orchard_fen,heat shimmer,0.58,0.76,0.22,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
391,25,7,summer_dry,riverbend,heat shimmer,0.66,0.78,0.25,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
392,25,8,summer_dry,roofward,heat shimmer,0.74,0.8,0.28,1.023,0.1682,0.304,summer_dry:heat shimmer:0.74
393,25,9,summer_dry,archive_quarter,heat shimmer,0.52,0.82,0.22,0.994,0.1636,0.282,summer_dry:heat shimmer:0.52
394,25,10,summer_dry,signal_ridge,heat shimmer,0.5,0.74,0.25,1.035,0.125,0.28,summer_dry:heat shimmer:0.50
395,25,11,summer_dry,orchard_fen,heat shimmer,0.58,0.76,0.28,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
396,25,12,summer_dry,riverbend,heat shimmer,0.66,0.78,0.22,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
397,25,13,summer_dry,roofward,heat shimmer,0.74,0.8,0.25,1.023,0.1682,0.304,summer_dry:heat shimmer:0.74
398,25,14,summer_dry,archive_quarter,heat shimmer,0.52,0.82,0.28,0.994,0.1636,0.282,summer_dry:heat shimmer:0.52
399,25,15,summer_dry,signal_ridge,heat shimmer,0.5,0.74,0.22,1.035,0.125,0.28,summer_dry:heat shimmer:0.50
400,26,0,summer_dry,orchard_fen,heat shimmer,0.58,0.74,0.22,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
401,26,1,summer_dry,riverbend,heat shimmer,0.66,0.76,0.25,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
402,26,2,summer_dry,roofward,heat shimmer,0.74,0.78,0.28,1.023,0.1682,0.304,summer_dry:heat shimmer:0.74
403,26,3,summer_dry,archive_quarter,heat shimmer,0.42,0.8,0.22,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
404,26,4,summer_dry,signal_ridge,heat shimmer,0.6,0.82,0.25,1.03,0.143,0.29,summer_dry:heat shimmer:0.60
405,26,5,summer_dry,orchard_fen,heat shimmer,0.58,0.74,0.28,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
406,26,6,summer_dry,riverbend,heat shimmer,0.66,0.76,0.22,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
407,26,7,summer_dry,roofward,heat shimmer,0.74,0.78,0.25,1.023,0.1682,0.304,summer_dry:heat shimmer:0.74
408,26,8,summer_dry,archive_quarter,heat shimmer,0.42,0.8,0.28,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
409,26,9,summer_dry,signal_ridge,heat shimmer,0.6,0.82,0.22,1.03,0.143,0.29,summer_dry:heat shimmer:0.60
410,26,10,summer_dry,orchard_fen,heat shimmer,0.58,0.74,0.25,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
411,26,11,summer_dry,riverbend,heat shimmer,0.66,0.76,0.28,0.947,0.2238,0.296,summer_dry:heat shimmer:0.66
412,26,12,summer_dry,roofward,heat shimmer,0.74,0.78,0.22,1.023,0.1682,0.304,summer_dry:heat shimmer:0.74
413,26,13,summer_dry,archive_quarter,heat shimmer,0.42,0.8,0.25,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
414,26,14,summer_dry,signal_ridge,heat shimmer,0.6,0.82,0.28,1.03,0.143,0.29,summer_dry:heat shimmer:0.60
415,26,15,summer_dry,orchard_fen,heat shimmer,0.58,0.74,0.22,1.031,0.1394,0.288,summer_dry:heat shimmer:0.58
416,27,0,summer_dry,riverbend,heat shimmer,0.66,0.74,0.22,0.987,0.1888,0.296,summer_dry:heat shimmer:0.66
417,27,1,summer_dry,roofward,heat shimmer,0.74,0.76,0.25,1.023,0.1682,0.304,summer_dry:heat shimmer:0.74
418,27,2,summer_dry,archive_quarter,heat shimmer,0.42,0.78,0.28,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
419,27,3,summer_dry,signal_ridge,heat shimmer,0.5,0.8,0.22,1.035,0.125,0.28,summer_dry:heat shimmer:0.50
420,27,4,summer_dry,orchard_fen,heat shimmer,0.68,0.82,0.25,1.026,0.1574,0.298,summer_dry:heat shimmer:0.68
421,27,5,summer_dry,riverbend,heat shimmer,0.66,0.74,0.28,0.987,0.1888,0.296,summer_dry:heat shimmer:0.66
422,27,6,summer_dry,roofward,heat shimmer,0.74,0.76,0.22,1.023,0.1682,0.304,summer_dry:heat shimmer:0.74
423,27,7,summer_dry,archive_quarter,heat shimmer,0.42,0.78,0.25,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
424,27,8,summer_dry,signal_ridge,heat shimmer,0.5,0.8,0.28,1.035,0.125,0.28,summer_dry:heat shimmer:0.50
425,27,9,summer_dry,orchard_fen,heat shimmer,0.68,0.82,0.22,1.026,0.1574,0.298,summer_dry:heat shimmer:0.68
426,27,10,summer_dry,riverbend,heat shimmer,0.66,0.74,0.25,0.987,0.1888,0.296,summer_dry:heat shimmer:0.66
427,27,11,summer_dry,roofward,heat shimmer,0.74,0.76,0.28,1.023,0.1682,0.304,summer_dry:heat shimmer:0.74
428,27,12,summer_dry,archive_quarter,heat shimmer,0.42,0.78,0.22,0.999,0.1456,0.272,summer_dry:heat shimmer:0.42
429,27,13,summer_dry,signal_ridge,heat shimmer,0.5,0.8,0.25,1.035,0.125,0.28,summer_dry:heat shimmer:0.50
