tick,day,loop_id,agent,negotiation_phase,animation_state,posture,animation_weight,state_matches_dialogue,transition_safe,private_workspace_sealed
307,26,v19-loop-039,Nari,ceremony,two_hand_object_mark,turns toward object,0.89,1,1,1
308,26,v19-loop-039,Ori,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
309,26,v19-loop-039,Vonn,listen,open_listen_idle,steps back,0.91,1,1,1
310,26,v19-loop-039,Sova,repair,palms_low_repair,steps back,0.65,0,1,1
311,26,v19-loop-039,Keth,revise,side_step_reconsider,turns toward object,0.88,1,1,1
312,27,v19-loop-040,Nari,revise,side_step_reconsider,turns toward object,0.89,1,1,1
313,27,v19-loop-040,Ori,revise,side_step_reconsider,turns toward object,0.9,1,1,1
314,27,v19-loop-040,Vonn,ceremony,two_hand_object_mark,turns toward object,0.91,1,1,1
315,27,v19-loop-040,Sova,repair,palms_low_repair,steps back,0.84,1,1,1
316,27,v19-loop-040,Keth,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
317,27,v19-loop-040,Melo,listen,open_listen_idle,steps back,0.89,1,1,1
318,27,v19-loop-040,Nari,revise,side_step_reconsider,turns toward object,0.9,1,1,1
319,27,v19-loop-040,Ori,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
320,27,v19-loop-041,Vonn,settle,shoulders_drop_settle,turns toward object,0.87,1,1,1
321,27,v19-loop-041,Sova,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
322,27,v19-loop-041,Keth,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
323,27,v19-loop-041,Melo,revise,side_step_reconsider,turns toward object,0.9,1,1,1
324,28,v19-loop-041,Ori,repair,palms_low_repair,steps back,0.88,1,1,1
325,28,v19-loop-041,Vonn,repair,palms_low_repair,steps back,0.84,1,1,1
326,28,v19-loop-041,Sova,revise,side_step_reconsider,turns toward object,0.88,1,1,1
327,28,v19-loop-041,Keth,repair,palms_low_repair,steps back,0.86,1,1,1
328,28,v19-loop-042,Melo,revise,side_step_reconsider,turns toward object,0.9,1,1,1
329,28,v19-loop-042,Nari,counteroffer,object_point_counteroffer,faces listener,0.91,1,1,1
330,28,v19-loop-042,Ori,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
331,28,v19-loop-042,Vonn,ceremony,two_hand_object_mark,turns toward object,0.88,1,1,1
332,28,v19-loop-042,Sova,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
333,28,v19-loop-042,Keth,ceremony,two_hand_object_mark,turns toward object,0.9,1,0,1
334,28,v19-loop-042,Melo,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
335,28,v19-loop-042,Nari,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
