tick_id,day,agent_id,cause_intent,energy,comfort,pain,safety,wetness,temperature,arousal,trust_avatar,sound_cue,smell_cue,temperature_cue,frequency_rate_hz,flower_node,body_delta_visible,localstorage_body_written
300,26,Nia,apologize,0.561,0.946,0.097,0.934,0.079,0.691,0.436,0.96,page flutter,ink linen,cool stone,0.58721,node-08,True,True
302,26,Ivo,ask_help,0.469,0.925,0.126,0.898,0.143,0.608,0.398,0.916,cart creak,apple soil,damp air,0.54298,node-01,True,True
303,26,Juno,ask_status,0.526,0.96,0.096,0.96,0.103,0.638,0.273,0.96,bell hum,hot copper,warm metal,0.59778,node-09,True,True
305,26,Fay,ask_help,0.473,0.925,0.145,0.718,0.097,0.645,0.707,0.856,hinges ticking,thyme paper,warm draft,0.60031,node-05,True,True
307,26,Milo,apologize,0.503,0.949,0.11,0.93,0.116,0.64,0.34,0.96,static crickets,lamp oil,cool dusk,0.4911,node-11,True,True
309,26,Juno,ask_status,0.522,0.96,0.096,0.96,0.103,0.638,0.263,0.96,bell hum,hot copper,warm metal,0.63598,node-09,True,True
310,26,Ari,apologize,0.541,0.96,0.101,0.96,0.061,0.683,0.462,0.96,river slap,cedar resin,cold spray,0.51225,node-03,True,True
312,27,Milo,protect_object,0.499,0.96,0.106,0.96,0.101,0.648,0.318,0.96,static crickets,lamp oil,cool dusk,0.60678,node-11,True,True
314,27,Juno,offer_care,0.54,0.96,0.086,0.96,0.083,0.658,0.218,0.96,bell hum,hot copper,warm metal,0.54698,node-09,True,True
315,27,Ari,ask_status,0.537,0.96,0.101,0.96,0.061,0.683,0.452,0.96,river slap,cedar resin,cold spray,0.63045,node-03,True,True
317,27,Nia,offer_care,0.579,0.96,0.087,0.96,0.059,0.711,0.391,0.96,page flutter,ink linen,cool stone,0.57821,node-08,True,True
319,27,Ivo,protect_object,0.465,0.96,0.122,0.958,0.128,0.616,0.376,0.96,cart creak,apple soil,damp air,0.53866,node-01,True,True
321,27,Ari,ask_status,0.533,0.96,0.101,0.96,0.061,0.683,0.442,0.96,river slap,cedar resin,cold spray,0.66865,node-03,True,True
322,27,Fay,protect_object,0.469,0.96,0.141,0.778,0.082,0.653,0.685,0.906,hinges ticking,thyme paper,warm draft,0.59599,node-05,True,True
324,28,Milo,ask_risky_action,0.464,0.905,0.126,0.88,0.121,0.638,0.408,0.9,static crickets,lamp oil,cool dusk,0.62478,node-11,True,True
326,28,Juno,ask_memory,0.534,0.96,0.086,0.96,0.083,0.658,0.236,0.96,bell hum,hot copper,warm metal,0.55022,node-09,True,True
327,28,Ari,ask_status,0.529,0.96,0.101,0.96,0.061,0.683,0.432,0.96,river slap,cedar resin,cold spray,0.62685,node-03,True,True
329,28,Nia,ask_memory,0.573,0.96,0.087,0.96,0.059,0.711,0.409,0.96,page flutter,ink linen,cool stone,0.58145,node-08,True,True
331,28,Ivo,ask_risky_action,0.43,0.905,0.142,0.878,0.148,0.606,0.466,0.9,cart creak,apple soil,damp air,0.55666,node-01,True,True
332,28,Juno,rush_agent,0.504,0.915,0.101,0.9,0.083,0.653,0.316,0.915,bell hum,hot copper,warm metal,0.60597,node-09,True,True
333,28,Ari,ask_status,0.525,0.96,0.101,0.96,0.061,0.683,0.422,0.96,river slap,cedar resin,cold spray,0.66505,node-03,True,True
334,28,Fay,ask_risky_action,0.434,0.905,0.161,0.698,0.102,0.643,0.775,0.846,hinges ticking,thyme paper,warm draft,0.61399,node-05,True,True
336,29,Milo,ask_help,0.454,0.925,0.126,0.898,0.121,0.638,0.414,0.916,static crickets,lamp oil,cool dusk,0.62586,node-11,True,True
337,29,Ivo,offer_care,0.448,0.96,0.132,0.928,0.128,0.626,0.421,0.94,cart creak,apple soil,damp air,0.50766,node-01,True,True
338,29,Juno,apologize,0.51,0.955,0.095,0.938,0.077,0.665,0.281,0.96,bell hum,hot copper,warm metal,0.55913,node-09,True,True
339,29,Ari,ask_status,0.521,0.96,0.101,0.96,0.061,0.683,0.412,0.96,river slap,cedar resin,cold spray,0.62325,node-03,True,True
341,29,Nia,apologize,0.579,0.96,0.081,0.96,0.053,0.723,0.374,0.96,page flutter,ink linen,cool stone,0.57461,node-08,True,True
343,29,Ivo,ask_help,0.438,0.96,0.132,0.946,0.128,0.626,0.427,0.956,cart creak,apple soil,damp air,0.54874,node-01,True,True
345,29,Ari,ask_status,0.517,0.96,0.101,0.96,0.061,0.683,0.402,0.96,river slap,cedar resin,cold spray,0.66145,node-03,True,True
346,29,Fay,ask_help,0.424,0.925,0.161,0.716,0.102,0.643,0.781,0.862,hinges ticking,thyme paper,warm draft,0.61507,node-05,True,True
348,30,Milo,rush_agent,0.424,0.88,0.141,0.838,0.121,0.633,0.494,0.871,static crickets,lamp oil,cool dusk,0.64161,node-11,True,True
350,30,Juno,ask_status,0.506,0.96,0.095,0.952,0.077,0.665,0.271,0.96,bell hum,hot copper,warm metal,0.55733,node-09,True,True
351,30,Ari,ask_status,0.513,0.96,0.101,0.96,0.061,0.683,0.392,0.96,river slap,cedar resin,cold spray,0.61965,node-03,True,True
353,30,Nia,ask_status,0.575,0.96,0.081,0.96,0.053,0.723,0.364,0.96,page flutter,ink linen,cool stone,0.57281,node-08,True,True
354,30,Milo,ask_risky_action,0.389,0.825,0.161,0.758,0.141,0.623,0.584,0.811,static crickets,lamp oil,cool dusk,0.69961,node-11,True,True
355,30,Ivo,rush_agent,0.408,0.915,0.147,0.886,0.128,0.621,0.507,0.911,cart creak,apple soil,damp air,0.56449,node-01,True,True
357,30,Ari,ask_status,0.509,0.96,0.101,0.96,0.061,0.683,0.382,0.96,river slap,cedar resin,cold spray,0.65785,node-03,True,True
358,30,Fay,rush_agent,0.394,0.88,0.176,0.656,0.102,0.638,0.861,0.817,hinges ticking,thyme paper,warm draft,0.63082,node-05,True,True
360,31,Milo,offer_care,0.407,0.88,0.151,0.808,0.121,0.643,0.539,0.851,static crickets,lamp oil,cool dusk,0.65061,node-11,True,True
362,31,Juno,protect_object,0.502,0.96,0.091,0.96,0.062,0.673,0.249,0.96,bell hum,hot copper,warm metal,0.55301,node-09,True,True
363,31,Ari,ask_status,0.505,0.96,0.101,0.96,0.061,0.683,0.372,0.96,river slap,cedar resin,cold spray,0.61605,node-03,True,True
365,31,Nia,protect_object,0.571,0.96,0.077,0.96,0.038,0.731,0.342,0.96,page flutter,ink linen,cool stone,0.56849,node-08,True,True
367,31,Ivo,offer_care,0.426,0.96,0.137,0.936,0.108,0.641,0.462,0.951,cart creak,apple soil,damp air,0.55549,node-01,True,True
369,31,Ari,ask_status,0.501,0.96,0.101,0.96,0.061,0.683,0.362,0.96,river slap,cedar resin,cold spray,0.65425,node-03,True,True
370,31,Fay,offer_care,0.412,0.935,0.166,0.706,0.082,0.658,0.816,0.857,hinges ticking,thyme paper,warm draft,0.62182,node-05,True,True
371,31,Nia,apologize,0.577,0.96,0.071,0.96,0.032,0.743,0.307,0.96,page flutter,ink linen,cool stone,0.60165,node-08,True,True
372,32,Milo,ask_memory,0.401,0.892,0.151,0.818,0.121,0.643,0.557,0.871,static crickets,lamp oil,cool dusk,0.65385,node-11,True,True
374,32,Juno,ask_risky_action,0.467,0.905,0.111,0.88,0.082,0.663,0.339,0.9,bell hum,hot copper,warm metal,0.57101,node-09,True,True
375,32,Ari,ask_status,0.497,0.96,0.101,0.96,0.061,0.683,0.352,0.96,river slap,cedar resin,cold spray,0.61245,node-03,True,True
376,32,Fay,ask_status,0.408,0.95,0.166,0.72,0.082,0.658,0.806,0.871,hinges ticking,thyme paper,warm draft,0.58002,node-05,True,True
377,32,Nia,ask_risky_action,0.542,0.905,0.091,0.88,0.052,0.733,0.397,0.9,page flutter,ink linen,cool stone,0.57965,node-08,True,True
379,32,Ivo,ask_memory,0.42,0.96,0.137,0.946,0.108,0.641,0.48,0.96,cart creak,apple soil,damp air,0.55873,node-01,True,True
381,32,Ari,ask_status,0.493,0.96,0.101,0.96,0.061,0.683,0.342,0.96,river slap,cedar resin,cold spray,0.65065,node-03,True,True
382,32,Fay,ask_memory,0.402,0.96,0.166,0.73,0.082,0.658,0.824,0.891,hinges ticking,thyme paper,warm draft,0.62326,node-05,True,True
384,33,Milo,apologize,0.407,0.932,0.145,0.856,0.115,0.655,0.522,0.926,static crickets,lamp oil,cool dusk,0.64701,node-11,True,True
386,33,Juno,ask_help,0.457,0.925,0.111,0.898,0.082,0.663,0.345,0.916,bell hum,hot copper,warm metal,0.57209,node-09,True,True
387,33,Ari,apologize,0.499,0.96,0.095,0.96,0.055,0.695,0.307,0.96,river slap,cedar resin,cold spray,0.60381,node-03,True,True
389,33,Nia,ask_help,0.532,0.925,0.091,0.898,0.052,0.733,0.403,0.916,page flutter,ink linen,cool stone,0.58073,node-08,True,True
391,33,Ivo,apologize,0.426,0.96,0.131,0.96,0.102,0.653,0.445,0.96,cart creak,apple soil,damp air,0.55189,node-01,True,True
393,33,Ari,offer_care,0.517,0.96,0.085,0.96,0.035,0.715,0.262,0.96,river slap,cedar resin,cold spray,0.63481,node-03,True,True
394,33,Fay,apologize,0.408,0.96,0.16,0.768,0.076,0.67,0.789,0.946,hinges ticking,thyme paper,warm draft,0.61642,node-05,True,True
396,34,Milo,ask_status,0.403,0.947,0.145,0.87,0.115,0.655,0.512,0.94,static crickets,lamp oil,cool dusk,0.64521,node-11,True,True
398,34,Juno,rush_agent,0.427,0.88,0.126,0.838,0.082,0.658,0.425,0.871,bell hum,hot copper,warm metal,0.58784,node-09,True,True
399,34,Ari,ask_status,0.513,0.96,0.085,0.96,0.035,0.715,0.252,0.96,river slap,cedar resin,cold spray,0.59301,node-03,True,True
401,34,Nia,rush_agent,0.502,0.88,0.106,0.838,0.052,0.728,0.483,0.871,page flutter,ink linen,cool stone,0.59648,node-08,True,True
403,34,Ivo,ask_status,0.422,0.96,0.131,0.96,0.102,0.653,0.435,0.96,cart creak,apple soil,damp air,0.55009,node-01,True,True
405,34,Ari,ask_status,0.509,0.96,0.085,0.96,0.035,0.715,0.242,0.96,river slap,cedar resin,cold spray,0.63121,node-03,True,True
406,34,Fay,ask_status,0.404,0.96,0.16,0.782,0.076,0.67,0.779,0.96,hinges ticking,thyme paper,warm draft,0.61462,node-05,True,True
408,35,Milo,protect_object,0.399,0.96,0.141,0.93,0.1,0.663,0.49,0.96,static crickets,lamp oil,cool dusk,0.64089,node-11,True,True
410,35,Juno,offer_care,0.445,0.935,0.116,0.888,0.062,0.678,0.38,0.911,bell hum,hot copper,warm metal,0.57884,node-09,True,True
411,35,Ari,ask_status,0.505,0.96,0.085,0.96,0.035,0.715,0.232,0.96,river slap,cedar resin,cold spray,0.58941,node-03,True,True
413,35,Nia,offer_care,0.52,0.935,0.096,0.888,0.032,0.748,0.438,0.911,page flutter,ink linen,cool stone,0.58748,node-08,True,True
415,35,Ivo,protect_object,0.418,0.96,0.127,0.96,0.087,0.661,0.413,0.96,cart creak,apple soil,damp air,0.54577,node-01,True,True
417,35,Ari,ask_status,0.501,0.96,0.085,0.96,0.035,0.715,0.222,0.96,river slap,cedar resin,cold spray,0.62761,node-03,True,True
418,35,Fay,protect_object,0.4,0.96,0.156,0.842,0.061,0.678,0.757,0.96,hinges ticking,thyme paper,warm draft,0.6103,node-05,True,True
420,36,Ivo,ask_help,0.408,0.96,0.127,0.96,0.087,0.661,0.419,0.96,cart creak,apple soil,damp air,0.66685,node-01,True,True
422,36,Ari,protect_object,0.497,0.96,0.081,0.96,0.02,0.723,0.2,0.96,river slap,cedar resin,cold spray,0.54329,node-03,True,True
423,36,Fay,ask_status,0.396,0.96,0.156,0.856,0.061,0.678,0.747,0.96,hinges ticking,thyme paper,warm draft,0.7285,node-05,True,True
425,36,Milo,apologize,0.405,0.96,0.135,0.96,0.094,0.675,0.455,0.96,static crickets,lamp oil,cool dusk,0.63405,node-11,True,True
427,36,Juno,ask_help,0.435,0.955,0.116,0.906,0.062,0.678,0.386,0.927,bell hum,hot copper,warm metal,0.57992,node-09,True,True
429,36,Fay,ask_status,0.392,0.96,0.156,0.87,0.061,0.678,0.737,0.96,hinges ticking,thyme paper,warm draft,0.5667,node-05,True,True
430,36,Nia,ask_help,0.51,0.955,0.096,0.906,0.032,0.748,0.444,0.927,page flutter,ink linen,cool stone,0.58856,node-08,True,True
432,37,Ivo,rush_agent,0.378,0.915,0.142,0.9,0.087,0.656,0.499,0.915,cart creak,apple soil,damp air,0.6826,node-01,True,True
434,37,Ari,ask_risky_action,0.462,0.905,0.101,0.88,0.04,0.713,0.29,0.9,river slap,cedar resin,cold spray,0.56129,node-03,True,True
435,37,Fay,ask_status,0.388,0.96,0.156,0.884,0.061,0.678,0.727,0.96,hinges ticking,thyme paper,warm draft,0.7249,node-05,True,True
437,37,Milo,ask_status,0.401,0.96,0.135,0.96,0.094,0.675,0.445,0.96,static crickets,lamp oil,cool dusk,0.63225,node-11,True,True
439,37,Juno,rush_agent,0.405,0.91,0.131,0.846,0.062,0.673,0.466,0.882,bell hum,hot copper,warm metal,0.59567,node-09,True,True
441,37,Fay,ask_status,0.384,0.96,0.156,0.898,0.061,0.678,0.717,0.96,hinges ticking,thyme paper,warm draft,0.5631,node-05,True,True
442,37,Nia,rush_agent,0.48,0.91,0.111,0.846,0.032,0.743,0.524,0.882,page flutter,ink linen,cool stone,0.60431,node-08,True,True
444,38,Ivo,offer_care,0.396,0.96,0.132,0.95,0.067,0.676,0.454,0.955,cart creak,apple soil,damp air,0.6736,node-01,True,True
446,38,Ari,ask_help,0.452,0.925,0.101,0.898,0.04,0.713,0.296,0.916,river slap,cedar resin,cold spray,0.56237,node-03,True,True
447,38,Fay,ask_status,0.38,0.96,0.156,0.912,0.061,0.678,0.707,0.96,hinges ticking,thyme paper,warm draft,0.7213,node-05,True,True
449,38,Milo,protect_object,0.397,0.96,0.131,0.96,0.079,0.683,0.423,0.96,static crickets,lamp oil,cool dusk,0.62793,node-11,True,True
451,38,Juno,offer_care,0.423,0.96,0.121,0.896,0.042,0.693,0.421,0.922,bell hum,hot copper,warm metal,0.58667,node-09,True,True
453,38,Fay,ask_status,0.376,0.96,0.156,0.926,0.061,0.678,0.697,0.96,hinges ticking,thyme paper,warm draft,0.5595,node-05,True,True
454,38,Nia,offer_care,0.498,0.96,0.101,0.896,0.012,0.763,0.479,0.922,page flutter,ink linen,cool stone,0.59531,node-08,True,True
456,39,Ivo,ask_memory,0.39,0.96,0.132,0.96,0.067,0.676,0.472,0.96,cart creak,apple soil,damp air,0.67684,node-01,True,True
457,39,Juno,ask_status,0.419,0.96,0.121,0.91,0.042,0.693,0.411,0.936,bell hum,hot copper,warm metal,0.54487,node-09,True,True
458,39,Ari,rush_agent,0.422,0.88,0.116,0.838,0.04,0.708,0.376,0.871,river slap,cedar resin,cold spray,0.57812,node-03,True,True
459,39,Fay,ask_status,0.372,0.96,0.156,0.94,0.061,0.678,0.687,0.96,hinges ticking,thyme paper,warm draft,0.7177,node-05,True,True
461,39,Milo,ask_risky_action,0.362,0.905,0.151,0.88,0.099,0.673,0.513,0.9,static crickets,lamp oil,cool dusk,0.64593,node-11,True,True
463,39,Juno,ask_memory,0.413,0.96,0.121,0.92,0.042,0.693,0.429,0.956,bell hum,hot copper,warm metal,0.58811,node-09,True,True
465,39,Fay,ask_status,0.368,0.96,0.156,0.954,0.061,0.678,0.677,0.96,hinges ticking,thyme paper,warm draft,0.5559,node-05,True,True
466,39,Nia,ask_memory,0.492,0.96,0.101,0.906,0.012,0.763,0.497,0.942,page flutter,ink linen,cool stone,0.59855,node-08,True,True
468,40,Ivo,apologize,0.396,0.96,0.126,0.96,0.061,0.688,0.437,0.96,cart creak,apple soil,damp air,0.67,node-01,True,True
470,40,Ari,offer_care,0.44,0.935,0.106,0.888,0.02,0.728,0.331,0.911,river slap,cedar resin,cold spray,0.56912,node-03,True,True
471,40,Fay,ask_status,0.364,0.96,0.156,0.96,0.061,0.678,0.667,0.96,hinges ticking,thyme paper,warm draft,0.7141,node-05,True,True
473,40,Milo,ask_help,0.352,0.925,0.151,0.898,0.099,0.673,0.519,0.916,static crickets,lamp oil,cool dusk,0.64701,node-11,True,True
474,40,Ivo,offer_care,0.414,0.96,0.116,0.96,0.041,0.708,0.392,0.96,cart creak,apple soil,damp air,0.501,node-01,True,True
475,40,Juno,apologize,0.419,0.96,0.115,0.958,0.036,0.705,0.394,0.96,bell hum,hot copper,warm metal,0.58127,node-09,True,True
477,40,Fay,ask_status,0.36,0.96,0.156,0.96,0.061,0.678,0.657,0.96,hinges ticking,thyme paper,warm draft,0.5523,node-05,True,True
478,40,Nia,apologize,0.498,0.96,0.095,0.944,0.006,0.775,0.462,0.96,page flutter,ink linen,cool stone,0.59171,node-08,True,True
480,41,Ivo,ask_status,0.41,0.96,0.116,0.96,0.041,0.708,0.382,0.96,cart creak,apple soil,damp air,0.6592,node-01,True,True
482,41,Ari,ask_memory,0.434,0.947,0.106,0.898,0.02,0.728,0.349,0.931,river slap,cedar resin,cold spray,0.57236,node-03,True,True
483,41,Fay,ask_status,0.356,0.96,0.156,0.96,0.061,0.678,0.647,0.96,hinges ticking,thyme paper,warm draft,0.7105,node-05,True,True
485,41,Milo,rush_agent,0.322,0.88,0.166,0.838,0.099,0.668,0.599,0.871,static crickets,lamp oil,cool dusk,0.66276,node-11,True,True
487,41,Juno,ask_status,0.415,0.96,0.115,0.96,0.036,0.705,0.384,0.96,bell hum,hot copper,warm metal,0.57947,node-09,True,True
489,41,Fay,ask_status,0.352,0.96,0.156,0.96,0.061,0.678,0.637,0.96,hinges ticking,thyme paper,warm draft,0.5487,node-05,True,True
490,41,Nia,ask_status,0.494,0.96,0.095,0.958,0.006,0.775,0.452,0.96,page flutter,ink linen,cool stone,0.58991,node-08,True,True
491,41,Milo,ask_risky_action,0.287,0.825,0.186,0.758,0.119,0.658,0.689,0.811,static crickets,lamp oil,cool dusk,0.72076,node-11,True,True
492,42,Ivo,protect_object,0.406,0.96,0.112,0.96,0.026,0.716,0.36,0.96,cart creak,apple soil,damp air,0.65488,node-01,True,True
494,42,Ari,apologize,0.44,0.96,0.1,0.936,0.014,0.74,0.314,0.96,river slap,cedar resin,cold spray,0.56552,node-03,True,True
495,42,Fay,ask_status,0.348,0.96,0.156,0.96,0.061,0.678,0.627,0.96,hinges ticking,thyme paper,warm draft,0.7069,node-05,True,True
496,42,Nia,ask_help,0.484,0.96,0.095,0.96,0.006,0.775,0.458,0.96,page flutter,ink linen,cool stone,0.55099,node-08,True,True
497,42,Milo,offer_care,0.305,0.88,0.176,0.808,0.099,0.678,0.644,0.851,static crickets,lamp oil,cool dusk,0.67176,node-11,True,True
499,42,Juno,protect_object,0.411,0.96,0.111,0.96,0.021,0.713,0.362,0.96,bell hum,hot copper,warm metal,0.57515,node-09,True,True
501,42,Fay,ask_status,0.344,0.96,0.156,0.96,0.061,0.678,0.617,0.96,hinges ticking,thyme paper,warm draft,0.5451,node-05,True,True
502,42,Nia,protect_object,0.48,0.96,0.091,0.96,0.0,0.783,0.436,0.96,page flutter,ink linen,cool stone,0.58667,node-08,True,True
504,43,Ivo,ask_risky_action,0.371,0.905,0.132,0.88,0.046,0.706,0.45,0.9,cart creak,apple soil,damp air,0.67288,node-01,True,True
506,43,Ari,ask_status,0.436,0.96,0.1,0.95,0.014,0.74,0.304,0.96,river slap,cedar resin,cold spray,0.56372,node-03,True,True
507,43,Fay,ask_risky_action,0.309,0.905,0.176,0.88,0.081,0.668,0.707,0.9,hinges ticking,thyme paper,warm draft,0.7231,node-05,True,True
509,43,Milo,ask_memory,0.299,0.892,0.176,0.818,0.099,0.678,0.662,0.871,static crickets,lamp oil,cool dusk,0.675,node-11,True,True
511,43,Juno,ask_risky_action,0.376,0.905,0.131,0.88,0.041,0.703,0.452,0.9,bell hum,hot copper,warm metal,0.59315,node-09,True,True
513,43,Fay,ask_status,0.305,0.92,0.176,0.894,0.081,0.668,0.697,0.914,hinges ticking,thyme paper,warm draft,0.5613,node-05,True,True
514,43,Nia,ask_risky_action,0.445,0.905,0.111,0.88,0.02,0.773,0.526,0.9,page flutter,ink linen,cool stone,0.60467,node-08,True,True
516,44,Ivo,ask_help,0.361,0.925,0.132,0.898,0.046,0.706,0.456,0.916,cart creak,apple soil,damp air,0.67396,node-01,True,True
518,44,Ari,protect_object,0.432,0.96,0.096,0.96,0.0,0.748,0.282,0.96,river slap,cedar resin,cold spray,0.5594,node-03,True,True
519,44,Fay,ask_status,0.301,0.935,0.176,0.908,0.081,0.668,0.687,0.928,hinges ticking,thyme paper,warm draft,0.7195,node-05,True,True
521,44,Milo,apologize,0.305,0.932,0.17,0.856,0.093,0.69,0.627,0.926,static crickets,lamp oil,cool dusk,0.66816,node-11,True,True
523,44,Juno,ask_help,0.366,0.925,0.131,0.898,0.041,0.703,0.458,0.916,bell hum,hot copper,warm metal,0.59423,node-09,True,True
524,44,Ari,apologize,0.438,0.96,0.09,0.96,0.0,0.76,0.247,0.96,river slap,cedar resin,cold spray,0.59256,node-03,True,True
525,44,Fay,ask_status,0.297,0.95,0.176,0.922,0.081,0.668,0.677,0.942,hinges ticking,thyme paper,warm draft,0.5577,node-05,True,True
526,44,Nia,ask_help,0.435,0.925,0.111,0.898,0.02,0.773,0.532,0.916,page flutter,ink linen,cool stone,0.60575,node-08,True,True
528,45,Juno,offer_care,0.384,0.96,0.121,0.948,0.021,0.723,0.413,0.956,bell hum,hot copper,warm metal,0.50523,node-09,True,True
530,45,Fay,ask_help,0.287,0.96,0.176,0.94,0.081,0.668,0.683,0.958,hinges ticking,thyme paper,warm draft,0.67878,node-05,True,True
531,45,Nia,ask_status,0.431,0.94,0.111,0.912,0.02,0.773,0.522,0.93,page flutter,ink linen,cool stone,0.52395,node-08,True,True
533,45,Ivo,protect_object,0.357,0.96,0.128,0.958,0.031,0.714,0.434,0.96,cart creak,apple soil,damp air,0.66964,node-01,True,True
535,45,Ari,apologize,0.444,0.96,0.084,0.96,0.0,0.772,0.212,0.96,river slap,cedar resin,cold spray,0.54572,node-03,True,True
537,45,Nia,ask_status,0.427,0.955,0.111,0.926,0.02,0.773,0.512,0.944,page flutter,ink linen,cool stone,0.56215,node-08,True,True
538,45,Milo,offer_care,0.323,0.96,0.16,0.906,0.073,0.71,0.582,0.96,static crickets,lamp oil,cool dusk,0.65916,node-11,True,True
540,46,Juno,ask_memory,0.378,0.96,0.121,0.958,0.021,0.723,0.431,0.96,bell hum,hot copper,warm metal,0.50847,node-09,True,True
542,46,Fay,rush_agent,0.257,0.915,0.191,0.88,0.081,0.663,0.763,0.913,hinges ticking,thyme paper,warm draft,0.69453,node-05,True,True
543,46,Nia,ask_status,0.423,0.96,0.111,0.94,0.02,0.773,0.502,0.958,page flutter,ink linen,cool stone,0.52035,node-08,True,True
545,46,Ivo,ask_risky_action,0.322,0.905,0.148,0.878,0.051,0.704,0.524,0.9,cart creak,apple soil,damp air,0.68764,node-01,True,True
547,46,Ari,ask_status,0.44,0.96,0.084,0.96,0.0,0.772,0.202,0.96,river slap,cedar resin,cold spray,0.54392,node-03,True,True
549,46,Nia,ask_status,0.419,0.96,0.111,0.954,0.02,0.773,0.492,0.96,page flutter,ink linen,cool stone,0.55855,node-08,True,True
550,46,Milo,ask_memory,0.317,0.96,0.16,0.916,0.073,0.71,0.6,0.96,static crickets,lamp oil,cool dusk,0.6624,node-11,True,True
552,47,Juno,apologize,0.384,0.96,0.115,0.96,0.015,0.735,0.396,0.96,bell hum,hot copper,warm metal,0.50163,node-09,True,True
554,47,Fay,offer_care,0.275,0.96,0.181,0.93,0.061,0.683,0.718,0.953,hinges ticking,thyme paper,warm draft,0.68553,node-05,True,True
555,47,Nia,ask_status,0.415,0.96,0.111,0.96,0.02,0.773,0.482,0.96,page flutter,ink linen,cool stone,0.51675,node-08,True,True
557,47,Ivo,ask_help,0.312,0.925,0.148,0.896,0.051,0.704,0.53,0.916,cart creak,apple soil,damp air,0.68872,node-01,True,True
559,47,Ari,protect_object,0.436,0.96,0.08,0.96,0.0,0.78,0.18,0.96,river slap,cedar resin,cold spray,0.5396,node-03,True,True
561,47,Nia,ask_status,0.411,0.96,0.111,0.96,0.02,0.773,0.472,0.96,page flutter,ink linen,cool stone,0.55495,node-08,True,True
562,47,Milo,apologize,0.323,0.96,0.154,0.954,0.067,0.722,0.565,0.96,static crickets,lamp oil,cool dusk,0.65556,node-11,True,True
564,48,Juno,ask_status,0.38,0.96,0.115,0.96,0.015,0.735,0.386,0.96,bell hum,hot copper,warm metal,0.49983,node-09,True,True
566,48,Fay,ask_memory,0.269,0.96,0.181,0.94,0.061,0.683,0.736,0.96,hinges ticking,thyme paper,warm draft,0.68877,node-05,True,True
567,48,Nia,ask_status,0.407,0.96,0.111,0.96,0.02,0.773,0.462,0.96,page flutter,ink linen,cool stone,0.51315,node-08,True,True
569,48,Ivo,rush_agent,0.282,0.88,0.163,0.836,0.051,0.699,0.61,0.871,cart creak,apple soil,damp air,0.70447,node-01,True,True
571,48,Ari,ask_risky_action,0.401,0.905,0.1,0.88,0.02,0.77,0.27,0.9,river slap,cedar resin,cold spray,0.5576,node-03,True,True
573,48,Nia,ask_status,0.403,0.96,0.111,0.96,0.02,0.773,0.452,0.96,page flutter,ink linen,cool stone,0.55135,node-08,True,True
574,48,Milo,ask_status,0.319,0.96,0.154,0.96,0.067,0.722,0.555,0.96,static crickets,lamp oil,cool dusk,0.65376,node-11,True,True
576,49,Juno,protect_object,0.376,0.96,0.111,0.96,0.0,0.743,0.364,0.96,bell hum,hot copper,warm metal,0.49551,node-09,True,True
578,49,Fay,apologize,0.275,0.96,0.175,0.96,0.055,0.695,0.701,0.96,hinges ticking,thyme paper,warm draft,0.68193,node-05,True,True
579,49,Nia,ask_status,0.399,0.96,0.111,0.96,0.02,0.773,0.442,0.96,page flutter,ink linen,cool stone,0.50955,node-08,True,True
581,49,Ivo,offer_care,0.3,0.935,0.153,0.886,0.031,0.719,0.565,0.911,cart creak,apple soil,damp air,0.69547,node-01,True,True
583,49,Ari,ask_help,0.391,0.925,0.1,0.898,0.02,0.77,0.276,0.916,river slap,cedar resin,cold spray,0.55868,node-03,True,True
585,49,Nia,ask_status,0.395,0.96,0.111,0.96,0.02,0.773,0.432,0.96,page flutter,ink linen,cool stone,0.54775,node-08,True,True
586,49,Milo,protect_object,0.315,0.96,0.15,0.96,0.052,0.73,0.533,0.96,static crickets,lamp oil,cool dusk,0.64944,node-11,True,True
588,50,Juno,ask_risky_action,0.341,0.905,0.131,0.88,0.02,0.733,0.454,0.9,bell hum,hot copper,warm metal,0.51351,node-09,True,True
590,50,Fay,ask_status,0.271,0.96,0.175,0.96,0.055,0.695,0.691,0.96,hinges ticking,thyme paper,warm draft,0.68013,node-05,True,True
591,50,Nia,ask_status,0.391,0.96,0.111,0.96,0.02,0.773,0.422,0.96,page flutter,ink linen,cool stone,0.50595,node-08,True,True
593,50,Ivo,ask_memory,0.294,0.947,0.153,0.896,0.031,0.719,0.583,0.931,cart creak,apple soil,damp air,0.69871,node-01,True,True
594,50,Juno,ask_status,0.337,0.92,0.131,0.894,0.02,0.733,0.444,0.914,bell hum,hot copper,warm metal,0.55171,node-09,True,True
595,50,Ari,rush_agent,0.361,0.88,0.115,0.838,0.02,0.765,0.356,0.871,river slap,cedar resin,cold spray,0.57443,node-03,True,True
597,50,Nia,ask_status,0.387,0.96,0.111,0.96,0.02,0.773,0.412,0.96,page flutter,ink linen,cool stone,0.54415,node-08,True,True
598,50,Milo,ask_risky_action,0.28,0.905,0.17,0.88,0.072,0.72,0.623,0.9,static crickets,lamp oil,cool dusk,0.66744,node-11,True,True
600,51,Juno,ask_help,0.327,0.94,0.131,0.912,0.02,0.733,0.45,0.93,bell hum,hot copper,warm metal,0.51279,node-09,True,True
