tick_id,route_id,agent,sound_cue,smell_cue,temperature_cue,rhythm_marker,flower_node,sensory_bound_to_click,sensory_bound_to_body_reaction
270,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-7,True,True
271,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-9,False,True
272,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,flower-node,node-11,True,True
273,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-1,True,True
274,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-9,False,True
275,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-11,False,True
276,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-3,True,True
277,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-5,False,True
278,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-7,True,True
279,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-3,True,True
280,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,flower-node,node-5,False,True
281,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-7,True,True
282,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-9,True,True
283,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-11,False,True
284,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-1,True,True
285,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-9,True,True
286,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-11,False,True
287,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-1,False,True
288,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-4,True,True
289,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-6,False,True
290,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-8,True,True
291,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-4,True,True
292,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-6,False,True
293,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-8,True,True
294,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-10,True,True
295,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-0,False,True
296,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,flower-node,node-2,True,True
297,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-10,True,True
298,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-0,False,True
299,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-2,False,True
300,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-5,True,True
301,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-7,False,True
302,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-9,True,True
303,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-5,True,True
304,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,flower-node,node-7,False,True
305,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-9,True,True
306,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-11,True,True
307,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-1,False,True
308,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-3,True,True
309,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-11,True,True
310,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-1,False,True
311,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-3,False,True
312,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-6,True,True
313,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-8,False,True
314,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-10,True,True
315,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-6,True,True
316,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-8,False,True
317,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-10,True,True
318,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-0,True,True
319,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-2,False,True
320,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,flower-node,node-4,True,True
321,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-0,True,True
322,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-2,False,True
323,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-4,False,True
324,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-7,True,True
325,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-9,False,True
326,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-11,True,True
327,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-7,True,True
328,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,flower-node,node-9,False,True
329,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-11,True,True
330,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-1,True,True
331,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-3,False,True
332,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-5,True,True
333,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-1,True,True
334,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-3,False,True
335,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-5,False,True
336,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-8,True,True
337,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-10,False,True
338,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-0,True,True
339,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-8,True,True
340,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-10,False,True
341,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-0,True,True
342,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-2,True,True
343,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-4,False,True
344,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,flower-node,node-6,True,True
345,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-2,True,True
346,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-4,False,True
347,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-6,False,True
348,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-9,True,True
349,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-11,False,True
350,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-1,True,True
351,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-9,True,True
352,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,flower-node,node-11,False,True
353,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-1,True,True
354,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-3,True,True
355,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-5,False,True
356,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-7,True,True
357,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-3,True,True
358,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-5,False,True
359,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-7,False,True
360,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-10,True,True
361,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-0,False,True
362,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-2,True,True
363,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-10,True,True
364,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-0,False,True
365,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-2,True,True
366,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-4,True,True
367,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-6,False,True
368,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-8,True,True
369,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-4,True,True
370,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-6,False,True
371,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-8,False,True
372,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-0,True,True
373,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-2,False,True
374,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-10,True,True
375,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-0,True,True
376,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,flower-node,node-2,False,True
377,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-4,True,True
378,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-6,True,True
379,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-8,False,True
380,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-4,True,True
381,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-6,True,True
382,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-8,False,True
383,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-10,False,True
384,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-1,True,True
385,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-3,False,True
386,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-11,True,True
387,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-1,True,True
388,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-3,False,True
389,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-5,True,True
390,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-7,True,True
391,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-9,False,True
392,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,flower-node,node-5,True,True
393,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-7,True,True
394,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-9,False,True
395,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-11,True,True
396,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-2,True,True
397,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-4,False,True
398,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-0,True,True
399,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-2,True,True
400,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-4,True,True
401,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-6,True,True
402,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-8,True,True
403,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-10,False,True
404,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-6,True,True
405,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-8,True,True
406,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-10,True,True
407,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-0,False,True
408,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-3,True,True
409,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-5,False,True
410,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-1,True,True
411,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-3,True,True
412,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-5,False,True
413,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-7,True,True
414,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-9,True,True
415,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-11,False,True
416,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,flower-node,node-7,True,True
417,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-9,True,True
418,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-11,False,True
419,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-1,False,True
420,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-4,True,True
421,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-6,False,True
422,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-2,True,True
423,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-4,True,True
424,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,flower-node,node-6,False,True
425,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-8,True,True
426,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-10,True,True
427,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-0,False,True
428,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-8,True,True
429,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-10,True,True
430,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-0,False,True
431,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-2,False,True
432,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-5,True,True
433,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-7,False,True
434,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-3,True,True
435,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-5,True,True
436,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-7,False,True
437,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-9,True,True
438,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-11,True,True
439,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-1,False,True
440,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,flower-node,node-9,True,True
441,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-11,True,True
442,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-1,False,True
443,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-3,False,True
444,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-6,True,True
445,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-8,False,True
446,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-4,True,True
447,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-6,True,True
448,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,flower-node,node-8,False,True
449,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-10,True,True
450,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-0,True,True
451,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-2,False,True
452,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-10,True,True
453,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-0,True,True
454,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-2,False,True
455,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-4,False,True
456,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-7,True,True
457,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-9,False,True
458,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-5,True,True
459,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-7,True,True
460,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-9,False,True
461,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-11,True,True
462,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-1,True,True
463,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-3,False,True
464,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,flower-node,node-11,True,True
465,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-1,True,True
466,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-3,False,True
467,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-5,False,True
468,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-9,True,True
469,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-5,False,True
470,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-7,True,True
471,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-9,True,True
472,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,flower-node,node-11,False,True
473,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-1,True,True
474,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-3,True,True
475,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-11,False,True
476,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-1,True,True
477,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-3,True,True
478,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-5,False,True
479,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-7,False,True
480,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-10,True,True
481,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-6,False,True
482,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-8,True,True
483,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-10,True,True
484,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-0,False,True
485,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-2,True,True
486,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-4,True,True
487,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-0,False,True
488,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,flower-node,node-2,True,True
489,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-4,True,True
490,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-6,False,True
491,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-8,False,True
492,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-11,True,True
493,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-7,True,True
494,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-9,True,True
495,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-11,True,True
496,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,flower-node,node-1,False,True
497,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-3,True,True
498,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-5,True,True
499,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-1,False,True
500,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-3,True,True
501,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-5,True,True
502,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-7,False,True
503,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-9,False,True
504,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-0,True,True
505,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-8,False,True
506,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-10,True,True
507,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-0,True,True
508,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-2,False,True
509,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-4,True,True
510,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-6,True,True
511,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-2,False,True
512,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,flower-node,node-4,True,True
513,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-6,True,True
514,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-8,False,True
515,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-10,False,True
516,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-1,True,True
517,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-9,False,True
518,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-11,True,True
519,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-1,True,True
520,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,flower-node,node-3,False,True
521,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-5,True,True
522,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-7,True,True
523,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-3,False,True
524,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-5,True,True
525,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-7,True,True
526,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-9,False,True
527,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-11,False,True
528,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-2,True,True
529,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-10,False,True
530,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-0,True,True
531,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-2,True,True
532,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-4,False,True
533,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-6,True,True
534,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-8,True,True
535,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-4,False,True
536,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,flower-node,node-6,True,True
537,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-8,True,True
538,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-10,False,True
539,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-0,False,True
540,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-3,True,True
541,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-11,False,True
