tick,day,snapshot_key,avatar_room,selected_resident,resident_state_digest,resource_state_digest,replay_event_count,snapshot_size_bytes,restored_ok,storage_keys_present
270,16,ssrm:v59:audit:snapshot:d016:t00270,west hearth,Nia,"{""debt"": 0.1302, ""memory"": ""nia:tool_loan:audit:d016:s00"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.4247}","{""care"": 15, ""fiber"": 25, ""herb"": 12, ""tool time"": 18, ""water"": 22, ""wood"": 28}",160,234,True,True
271,16,ssrm:v59:audit:snapshot:d016:t00271,river gate,Ari,"{""debt"": 0.1207, ""memory"": ""ari:repair_promise:audit:d016:s01"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.6788}","{""care"": 16, ""fiber"": 26, ""herb"": 13, ""tool time"": 19, ""water"": 23, ""wood"": 10}",160,239,True,True
272,16,ssrm:v59:audit:snapshot:d016:t00272,arrival court,Fay,"{""debt"": 0.1394, ""memory"": ""fay:care_favor:audit:d016:s02"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.6906}","{""care"": 17, ""fiber"": 27, ""herb"": 14, ""tool time"": 20, ""water"": 24, ""wood"": 11}",160,245,True,True
273,16,ssrm:v59:audit:snapshot:d016:t00273,tool alcove,Milo,"{""debt"": 0.1444, ""memory"": ""milo:tool_loan:audit:d016:s03"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.5346}","{""care"": 18, ""fiber"": 28, ""herb"": 15, ""tool time"": 21, ""water"": 25, ""wood"": 12}",160,241,True,True
274,16,ssrm:v59:audit:snapshot:d016:t00274,rain court,Sera,"{""debt"": 0.1356, ""memory"": ""sera:repair_promise:audit:d016:s04"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.352}","{""care"": 19, ""fiber"": 10, ""herb"": 16, ""tool time"": 22, ""water"": 26, ""wood"": 13}",160,245,True,True
275,16,ssrm:v59:audit:snapshot:d016:t00275,fiber loft,Tovan,"{""debt"": 0.1831, ""memory"": ""tovan:care_favor:audit:d016:s05"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.2936}","{""care"": 20, ""fiber"": 11, ""herb"": 17, ""tool time"": 23, ""water"": 27, ""wood"": 14}",160,248,True,True
276,16,ssrm:v59:audit:snapshot:d016:t00276,west hearth,Nia,"{""debt"": 0.1467, ""memory"": ""nia:tool_loan:audit:d016:s06"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.4572}","{""care"": 21, ""fiber"": 12, ""herb"": 18, ""tool time"": 24, ""water"": 28, ""wood"": 15}",160,243,True,True
277,16,ssrm:v59:audit:snapshot:d016:t00277,river gate,Ari,"{""debt"": 0.1946, ""memory"": ""ari:repair_promise:audit:d016:s07"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.65}","{""care"": 22, ""fiber"": 13, ""herb"": 19, ""tool time"": 25, ""water"": 10, ""wood"": 16}",160,237,True,True
278,16,ssrm:v59:audit:snapshot:d016:t00278,arrival court,Fay,"{""debt"": 0.1727, ""memory"": ""fay:care_favor:audit:d016:s08"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.6847}","{""care"": 23, ""fiber"": 14, ""herb"": 20, ""tool time"": 26, ""water"": 11, ""wood"": 17}",160,235,True,True
279,16,ssrm:v59:audit:snapshot:d016:t00279,tool alcove,Milo,"{""debt"": 0.1649, ""memory"": ""milo:tool_loan:audit:d016:s09"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.538}","{""care"": 24, ""fiber"": 15, ""herb"": 21, ""tool time"": 27, ""water"": 12, ""wood"": 18}",160,245,True,True
280,16,ssrm:v59:audit:snapshot:d016:t00280,rain court,Sera,"{""debt"": 0.1854, ""memory"": ""sera:repair_promise:audit:d016:s10"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.3544}","{""care"": 25, ""fiber"": 16, ""herb"": 22, ""tool time"": 28, ""water"": 13, ""wood"": 19}",160,246,True,True
281,16,ssrm:v59:audit:snapshot:d016:t00281,fiber loft,Tovan,"{""debt"": 0.192, ""memory"": ""tovan:care_favor:audit:d016:s11"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.3115}","{""care"": 26, ""fiber"": 17, ""herb"": 23, ""tool time"": 10, ""water"": 14, ""wood"": 20}",160,243,True,True
282,16,ssrm:v59:audit:snapshot:d016:t00282,west hearth,Nia,"{""debt"": 0.1848, ""memory"": ""nia:tool_loan:audit:d016:s12"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.4482}","{""care"": 27, ""fiber"": 18, ""herb"": 24, ""tool time"": 11, ""water"": 15, ""wood"": 21}",160,242,True,True
283,16,ssrm:v59:audit:snapshot:d016:t00283,river gate,Ari,"{""debt"": 0.2338, ""memory"": ""ari:repair_promise:audit:d016:s13"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.641}","{""care"": 28, ""fiber"": 19, ""herb"": 25, ""tool time"": 12, ""water"": 16, ""wood"": 22}",160,238,True,True
284,16,ssrm:v59:audit:snapshot:d016:t00284,arrival court,Fay,"{""debt"": 0.1989, ""memory"": ""fay:care_favor:audit:d016:s14"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.693}","{""care"": 10, ""fiber"": 20, ""herb"": 26, ""tool time"": 13, ""water"": 17, ""wood"": 23}",160,234,True,True
285,16,ssrm:v59:audit:snapshot:d016:t00285,tool alcove,Milo,"{""debt"": 0.2482, ""memory"": ""milo:tool_loan:audit:d016:s15"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.5153}","{""care"": 11, ""fiber"": 21, ""herb"": 27, ""tool time"": 14, ""water"": 18, ""wood"": 24}",160,246,True,True
286,16,ssrm:v59:audit:snapshot:d016:t00286,rain court,Sera,"{""debt"": 0.2276, ""memory"": ""sera:repair_promise:audit:d016:s16"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.3578}","{""care"": 12, ""fiber"": 22, ""herb"": 28, ""tool time"": 15, ""water"": 19, ""wood"": 25}",160,251,True,True
287,16,ssrm:v59:audit:snapshot:d016:t00287,fiber loft,Tovan,"{""debt"": 0.2211, ""memory"": ""tovan:care_favor:audit:d016:s17"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.3211}","{""care"": 13, ""fiber"": 23, ""herb"": 10, ""tool time"": 16, ""water"": 20, ""wood"": 26}",160,244,True,True
288,17,ssrm:v59:audit:snapshot:d017:t00288,river gate,Nia,"{""debt"": 0.2427, ""memory"": ""nia:tool_loan:audit:d017:s00"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.4504}","{""care"": 14, ""fiber"": 24, ""herb"": 11, ""tool time"": 17, ""water"": 21, ""wood"": 27}",160,242,True,True
289,17,ssrm:v59:audit:snapshot:d017:t00289,arrival court,Ari,"{""debt"": 0.2364, ""memory"": ""ari:repair_promise:audit:d017:s01"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.6797}","{""care"": 15, ""fiber"": 25, ""herb"": 12, ""tool time"": 18, ""water"": 22, ""wood"": 28}",160,248,True,True
290,17,ssrm:v59:audit:snapshot:d017:t00290,tool alcove,Fay,"{""debt"": 0.2863, ""memory"": ""fay:care_favor:audit:d017:s02"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.665}","{""care"": 16, ""fiber"": 26, ""herb"": 13, ""tool time"": 19, ""water"": 23, ""wood"": 10}",160,234,True,True
291,17,ssrm:v59:audit:snapshot:d017:t00291,rain court,Milo,"{""debt"": 0.2522, ""memory"": ""milo:tool_loan:audit:d017:s03"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.5406}","{""care"": 17, ""fiber"": 27, ""herb"": 14, ""tool time"": 20, ""water"": 24, ""wood"": 11}",160,236,True,True
292,17,ssrm:v59:audit:snapshot:d017:t00292,fiber loft,Sera,"{""debt"": 0.3021, ""memory"": ""sera:repair_promise:audit:d017:s04"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.3096}","{""care"": 18, ""fiber"": 28, ""herb"": 15, ""tool time"": 21, ""water"": 25, ""wood"": 12}",160,246,True,True
293,17,ssrm:v59:audit:snapshot:d017:t00293,west hearth,Tovan,"{""debt"": 0.2821, ""memory"": ""tovan:care_favor:audit:d017:s05"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.2927}","{""care"": 19, ""fiber"": 10, ""herb"": 16, ""tool time"": 22, ""water"": 26, ""wood"": 13}",160,244,True,True
294,17,ssrm:v59:audit:snapshot:d017:t00294,river gate,Nia,"{""debt"": 0.2762, ""memory"": ""nia:tool_loan:audit:d017:s06"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.4505}","{""care"": 20, ""fiber"": 11, ""herb"": 17, ""tool time"": 23, ""water"": 27, ""wood"": 14}",160,239,True,True
295,17,ssrm:v59:audit:snapshot:d017:t00295,arrival court,Ari,"{""debt"": 0.2983, ""memory"": ""ari:repair_promise:audit:d017:s07"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.6644}","{""care"": 21, ""fiber"": 12, ""herb"": 18, ""tool time"": 24, ""water"": 28, ""wood"": 15}",160,247,True,True
296,17,ssrm:v59:audit:snapshot:d017:t00296,tool alcove,Fay,"{""debt"": 0.3064, ""memory"": ""fay:care_favor:audit:d017:s08"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.681}","{""care"": 22, ""fiber"": 13, ""herb"": 19, ""tool time"": 25, ""water"": 10, ""wood"": 16}",160,243,True,True
297,17,ssrm:v59:audit:snapshot:d017:t00297,rain court,Milo,"{""debt"": 0.3006, ""memory"": ""milo:tool_loan:audit:d017:s09"", ""resident"": ""Milo"", ""schedule"": ""work"", ""trust"": 0.5399}","{""care"": 23, ""fiber"": 14, ""herb"": 20, ""tool time"": 26, ""water"": 11, ""wood"": 17}",160,236,True,True
298,17,ssrm:v59:audit:snapshot:d017:t00298,fiber loft,Sera,"{""debt"": 0.3507, ""memory"": ""sera:repair_promise:audit:d017:s10"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.3291}","{""care"": 24, ""fiber"": 15, ""herb"": 21, ""tool time"": 27, ""water"": 12, ""wood"": 18}",160,251,True,True
299,17,ssrm:v59:audit:snapshot:d017:t00299,west hearth,Tovan,"{""debt"": 0.3168, ""memory"": ""tovan:care_favor:audit:d017:s11"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.3147}","{""care"": 25, ""fiber"": 16, ""herb"": 22, ""tool time"": 28, ""water"": 13, ""wood"": 19}",160,249,True,True
300,17,ssrm:v59:audit:snapshot:d017:t00300,river gate,Nia,"{""debt"": 0.3669, ""memory"": ""nia:tool_loan:audit:d017:s12"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.4353}","{""care"": 26, ""fiber"": 17, ""herb"": 23, ""tool time"": 10, ""water"": 14, ""wood"": 20}",160,239,True,True
301,17,ssrm:v59:audit:snapshot:d017:t00301,arrival court,Ari,"{""debt"": 0.347, ""memory"": ""ari:repair_promise:audit:d017:s13"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.6703}","{""care"": 27, ""fiber"": 18, ""herb"": 24, ""tool time"": 11, ""water"": 15, ""wood"": 21}",160,243,True,True
302,17,ssrm:v59:audit:snapshot:d017:t00302,tool alcove,Fay,"{""debt"": 0.341, ""memory"": ""fay:care_favor:audit:d017:s14"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.6944}","{""care"": 28, ""fiber"": 19, ""herb"": 25, ""tool time"": 12, ""water"": 16, ""wood"": 22}",160,242,True,True
303,17,ssrm:v59:audit:snapshot:d017:t00303,rain court,Milo,"{""debt"": 0.363, ""memory"": ""milo:tool_loan:audit:d017:s15"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.5075}","{""care"": 10, ""fiber"": 20, ""herb"": 26, ""tool time"": 13, ""water"": 17, ""wood"": 23}",160,244,True,True
304,17,ssrm:v59:audit:snapshot:d017:t00304,fiber loft,Sera,"{""debt"": 0.3709, ""memory"": ""sera:repair_promise:audit:d017:s16"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.3569}","{""care"": 11, ""fiber"": 21, ""herb"": 27, ""tool time"": 14, ""water"": 18, ""wood"": 24}",160,241,True,True
305,17,ssrm:v59:audit:snapshot:d017:t00305,west hearth,Tovan,"{""debt"": 0.3648, ""memory"": ""tovan:care_favor:audit:d017:s17"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.3241}","{""care"": 12, ""fiber"": 22, ""herb"": 28, ""tool time"": 15, ""water"": 19, ""wood"": 25}",160,239,True,True
306,18,ssrm:v59:audit:snapshot:d018:t00306,arrival court,Nia,"{""debt"": 0.3725, ""memory"": ""nia:tool_loan:audit:d018:s00"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.4605}","{""care"": 13, ""fiber"": 23, ""herb"": 10, ""tool time"": 16, ""water"": 20, ""wood"": 26}",160,239,True,True
307,18,ssrm:v59:audit:snapshot:d018:t00307,tool alcove,Ari,"{""debt"": 0.4222, ""memory"": ""ari:repair_promise:audit:d018:s01"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.6555}","{""care"": 14, ""fiber"": 24, ""herb"": 11, ""tool time"": 17, ""water"": 21, ""wood"": 27}",160,247,True,True
308,18,ssrm:v59:audit:snapshot:d018:t00308,rain court,Fay,"{""debt"": 0.4018, ""memory"": ""fay:care_favor:audit:d018:s02"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.6611}","{""care"": 15, ""fiber"": 25, ""herb"": 12, ""tool time"": 18, ""water"": 22, ""wood"": 28}",160,243,True,True
309,18,ssrm:v59:audit:snapshot:d018:t00309,fiber loft,Milo,"{""debt"": 0.3952, ""memory"": ""milo:tool_loan:audit:d018:s03"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.5105}","{""care"": 16, ""fiber"": 26, ""herb"": 13, ""tool time"": 19, ""water"": 23, ""wood"": 10}",160,245,True,True
310,18,ssrm:v59:audit:snapshot:d018:t00310,west hearth,Sera,"{""debt"": 0.4165, ""memory"": ""sera:repair_promise:audit:d018:s04"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.3227}","{""care"": 17, ""fiber"": 27, ""herb"": 14, ""tool time"": 20, ""water"": 24, ""wood"": 11}",160,241,True,True
311,18,ssrm:v59:audit:snapshot:d018:t00311,river gate,Tovan,"{""debt"": 0.4237, ""memory"": ""tovan:care_favor:audit:d018:s05"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.3316}","{""care"": 18, ""fiber"": 28, ""herb"": 15, ""tool time"": 21, ""water"": 25, ""wood"": 12}",160,239,True,True
312,18,ssrm:v59:audit:snapshot:d018:t00312,arrival court,Nia,"{""debt"": 0.4167, ""memory"": ""nia:tool_loan:audit:d018:s06"", ""resident"": ""Nia"", ""schedule"": ""negotiate debt"", ""trust"": 0.4726}","{""care"": 19, ""fiber"": 10, ""herb"": 16, ""tool time"": 22, ""water"": 26, ""wood"": 13}",160,244,True,True
313,18,ssrm:v59:audit:snapshot:d018:t00313,tool alcove,Ari,"{""debt"": 0.4656, ""memory"": ""ari:repair_promise:audit:d018:s07"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.6635}","{""care"": 20, ""fiber"": 11, ""herb"": 17, ""tool time"": 23, ""water"": 27, ""wood"": 14}",160,244,True,True
314,18,ssrm:v59:audit:snapshot:d018:t00314,rain court,Fay,"{""debt"": 0.4303, ""memory"": ""fay:care_favor:audit:d018:s08"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.6855}","{""care"": 21, ""fiber"": 12, ""herb"": 18, ""tool time"": 24, ""water"": 28, ""wood"": 15}",160,240,True,True
315,18,ssrm:v59:audit:snapshot:d018:t00315,fiber loft,Milo,"{""debt"": 0.4788, ""memory"": ""milo:tool_loan:audit:d018:s09"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.4729}","{""care"": 22, ""fiber"": 13, ""herb"": 19, ""tool time"": 25, ""water"": 10, ""wood"": 16}",160,245,True,True
316,18,ssrm:v59:audit:snapshot:d018:t00316,west hearth,Sera,"{""debt"": 0.4571, ""memory"": ""sera:repair_promise:audit:d018:s10"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.3248}","{""care"": 23, ""fiber"": 14, ""herb"": 20, ""tool time"": 26, ""water"": 11, ""wood"": 17}",160,250,True,True
317,18,ssrm:v59:audit:snapshot:d018:t00317,river gate,Tovan,"{""debt"": 0.4493, ""memory"": ""tovan:care_favor:audit:d018:s11"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.33}","{""care"": 24, ""fiber"": 15, ""herb"": 21, ""tool time"": 27, ""water"": 12, ""wood"": 18}",160,237,True,True
318,18,ssrm:v59:audit:snapshot:d018:t00318,arrival court,Nia,"{""debt"": 0.4692, ""memory"": ""nia:tool_loan:audit:d018:s12"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.451}","{""care"": 25, ""fiber"": 16, ""herb"": 22, ""tool time"": 28, ""water"": 13, ""wood"": 19}",160,233,True,True
319,18,ssrm:v59:audit:snapshot:d018:t00319,tool alcove,Ari,"{""debt"": 0.475, ""memory"": ""ari:repair_promise:audit:d018:s13"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.6809}","{""care"": 26, ""fiber"": 17, ""herb"": 23, ""tool time"": 10, ""water"": 14, ""wood"": 20}",160,248,True,True
320,18,ssrm:v59:audit:snapshot:d018:t00320,rain court,Fay,"{""debt"": 0.4665, ""memory"": ""fay:care_favor:audit:d018:s14"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.684}","{""care"": 27, ""fiber"": 18, ""herb"": 24, ""tool time"": 11, ""water"": 15, ""wood"": 21}",160,239,True,True
321,18,ssrm:v59:audit:snapshot:d018:t00321,fiber loft,Milo,"{""debt"": 0.5138, ""memory"": ""milo:tool_loan:audit:d018:s15"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.4731}","{""care"": 28, ""fiber"": 19, ""herb"": 25, ""tool time"": 12, ""water"": 16, ""wood"": 22}",160,244,True,True
322,18,ssrm:v59:audit:snapshot:d018:t00322,west hearth,Sera,"{""debt"": 0.4768, ""memory"": ""sera:repair_promise:audit:d018:s16"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.3475}","{""care"": 10, ""fiber"": 20, ""herb"": 26, ""tool time"": 13, ""water"": 17, ""wood"": 23}",160,249,True,True
323,18,ssrm:v59:audit:snapshot:d018:t00323,river gate,Tovan,"{""debt"": 0.5236, ""memory"": ""tovan:care_favor:audit:d018:s17"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.2955}","{""care"": 11, ""fiber"": 21, ""herb"": 27, ""tool time"": 14, ""water"": 18, ""wood"": 24}",160,239,True,True
324,19,ssrm:v59:audit:snapshot:d019:t00324,tool alcove,Nia,"{""debt"": 0.4862, ""memory"": ""nia:tool_loan:audit:d019:s00"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.4858}","{""care"": 12, ""fiber"": 22, ""herb"": 28, ""tool time"": 15, ""water"": 19, ""wood"": 25}",160,234,True,True
325,19,ssrm:v59:audit:snapshot:d019:t00325,rain court,Ari,"{""debt"": 0.5045, ""memory"": ""ari:repair_promise:audit:d019:s01"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.6821}","{""care"": 13, ""fiber"": 23, ""herb"": 10, ""tool time"": 16, ""water"": 20, ""wood"": 26}",160,249,True,True
326,19,ssrm:v59:audit:snapshot:d019:t00326,fiber loft,Fay,"{""debt"": 0.5086, ""memory"": ""fay:care_favor:audit:d019:s02"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.6689}","{""care"": 14, ""fiber"": 24, ""herb"": 11, ""tool time"": 17, ""water"": 21, ""wood"": 27}",160,240,True,True
327,19,ssrm:v59:audit:snapshot:d019:t00327,west hearth,Milo,"{""debt"": 0.4984, ""memory"": ""milo:tool_loan:audit:d019:s03"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.4961}","{""care"": 15, ""fiber"": 25, ""herb"": 12, ""tool time"": 18, ""water"": 22, ""wood"": 28}",160,241,True,True
328,19,ssrm:v59:audit:snapshot:d019:t00328,river gate,Sera,"{""debt"": 0.5439, ""memory"": ""sera:repair_promise:audit:d019:s04"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.3154}","{""care"": 16, ""fiber"": 26, ""herb"": 13, ""tool time"": 19, ""water"": 23, ""wood"": 10}",160,250,True,True
329,19,ssrm:v59:audit:snapshot:d019:t00329,arrival court,Tovan,"{""debt"": 0.5052, ""memory"": ""tovan:care_favor:audit:d019:s05"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.3304}","{""care"": 17, ""fiber"": 27, ""herb"": 14, ""tool time"": 20, ""water"": 24, ""wood"": 11}",160,248,True,True
330,19,ssrm:v59:audit:snapshot:d019:t00330,tool alcove,Nia,"{""debt"": 0.5502, ""memory"": ""nia:tool_loan:audit:d019:s06"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.4472}","{""care"": 18, ""fiber"": 28, ""herb"": 15, ""tool time"": 21, ""water"": 25, ""wood"": 12}",160,234,True,True
331,19,ssrm:v59:audit:snapshot:d019:t00331,rain court,Ari,"{""debt"": 0.5249, ""memory"": ""ari:repair_promise:audit:d019:s07"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.6721}","{""care"": 19, ""fiber"": 10, ""herb"": 16, ""tool time"": 22, ""water"": 26, ""wood"": 13}",160,239,True,True
332,19,ssrm:v59:audit:snapshot:d019:t00332,fiber loft,Fay,"{""debt"": 0.5133, ""memory"": ""fay:care_favor:audit:d019:s08"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.6756}","{""care"": 20, ""fiber"": 11, ""herb"": 17, ""tool time"": 23, ""water"": 27, ""wood"": 14}",160,245,True,True
333,19,ssrm:v59:audit:snapshot:d019:t00333,west hearth,Milo,"{""debt"": 0.5294, ""memory"": ""milo:tool_loan:audit:d019:s09"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.4803}","{""care"": 21, ""fiber"": 12, ""herb"": 18, ""tool time"": 24, ""water"": 28, ""wood"": 15}",160,241,True,True
334,19,ssrm:v59:audit:snapshot:d019:t00334,river gate,Sera,"{""debt"": 0.5312, ""memory"": ""sera:repair_promise:audit:d019:s10"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.3355}","{""care"": 22, ""fiber"": 13, ""herb"": 19, ""tool time"": 25, ""water"": 10, ""wood"": 16}",160,246,True,True
335,19,ssrm:v59:audit:snapshot:d019:t00335,arrival court,Tovan,"{""debt"": 0.5188, ""memory"": ""tovan:care_favor:audit:d019:s11"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.3335}","{""care"": 23, ""fiber"": 14, ""herb"": 20, ""tool time"": 26, ""water"": 11, ""wood"": 17}",160,247,True,True
336,19,ssrm:v59:audit:snapshot:d019:t00336,tool alcove,Nia,"{""debt"": 0.562, ""memory"": ""nia:tool_loan:audit:d019:s12"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.441}","{""care"": 24, ""fiber"": 15, ""herb"": 21, ""tool time"": 27, ""water"": 12, ""wood"": 18}",160,232,True,True
337,19,ssrm:v59:audit:snapshot:d019:t00337,rain court,Ari,"{""debt"": 0.521, ""memory"": ""ari:repair_promise:audit:d019:s13"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.6843}","{""care"": 25, ""fiber"": 16, ""herb"": 22, ""tool time"": 28, ""water"": 13, ""wood"": 19}",160,238,True,True
338,19,ssrm:v59:audit:snapshot:d019:t00338,fiber loft,Fay,"{""debt"": 0.5636, ""memory"": ""fay:care_favor:audit:d019:s14"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.6487}","{""care"": 26, ""fiber"": 17, ""herb"": 23, ""tool time"": 10, ""water"": 14, ""wood"": 20}",160,245,True,True
339,19,ssrm:v59:audit:snapshot:d019:t00339,west hearth,Milo,"{""debt"": 0.5359, ""memory"": ""milo:tool_loan:audit:d019:s15"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.4902}","{""care"": 27, ""fiber"": 18, ""herb"": 24, ""tool time"": 11, ""water"": 15, ""wood"": 21}",160,246,True,True
340,19,ssrm:v59:audit:snapshot:d019:t00340,river gate,Sera,"{""debt"": 0.522, ""memory"": ""sera:repair_promise:audit:d019:s16"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.3295}","{""care"": 28, ""fiber"": 19, ""herb"": 25, ""tool time"": 12, ""water"": 16, ""wood"": 22}",160,245,True,True
341,19,ssrm:v59:audit:snapshot:d019:t00341,arrival court,Tovan,"{""debt"": 0.5357, ""memory"": ""tovan:care_favor:audit:d019:s17"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.3136}","{""care"": 10, ""fiber"": 20, ""herb"": 26, ""tool time"": 13, ""water"": 17, ""wood"": 23}",160,244,True,True
342,20,ssrm:v59:audit:snapshot:d020:t00342,rain court,Nia,"{""debt"": 0.5212, ""memory"": ""nia:tool_loan:audit:d020:s00"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.5001}","{""care"": 11, ""fiber"": 21, ""herb"": 27, ""tool time"": 14, ""water"": 18, ""wood"": 24}",160,243,True,True
343,20,ssrm:v59:audit:snapshot:d020:t00343,fiber loft,Ari,"{""debt"": 0.5623, ""memory"": ""ari:repair_promise:audit:d020:s01"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.669}","{""care"": 12, ""fiber"": 22, ""herb"": 28, ""tool time"": 15, ""water"": 19, ""wood"": 25}",160,238,True,True
344,20,ssrm:v59:audit:snapshot:d020:t00344,west hearth,Fay,"{""debt"": 0.5191, ""memory"": ""fay:care_favor:audit:d020:s02"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.6696}","{""care"": 13, ""fiber"": 23, ""herb"": 10, ""tool time"": 16, ""water"": 20, ""wood"": 26}",160,235,True,True
345,20,ssrm:v59:audit:snapshot:d020:t00345,river gate,Milo,"{""debt"": 0.5597, ""memory"": ""milo:tool_loan:audit:d020:s03"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.4664}","{""care"": 14, ""fiber"": 24, ""herb"": 11, ""tool time"": 17, ""water"": 21, ""wood"": 27}",160,241,True,True
346,20,ssrm:v59:audit:snapshot:d020:t00346,arrival court,Sera,"{""debt"": 0.5299, ""memory"": ""sera:repair_promise:audit:d020:s04"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.3259}","{""care"": 15, ""fiber"": 25, ""herb"": 12, ""tool time"": 18, ""water"": 22, ""wood"": 28}",160,246,True,True
