rehearsal_id,day,lineage,agent,rehearsal_seed_memory,rehearsal_theme,updated_plan,relationship_memory_touched,schedule_adjustment,private_workspace_sealed,public_trace,rehearsal_specificity
108,18,Rainline,Vonn,Vonn remembers avatar absence age 3 and prior rest before work.,rest before work,next wake: adjust weather bells work around rest before work.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8342
109,19,Hearthline,Sova,Sova remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
110,19,Routeline,Keth,Keth remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
111,19,Marketline,Melo,Melo remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
112,19,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
113,19,Orchardline,Ori,Ori remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
114,19,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
115,20,Hearthline,Sova,Sova remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
116,20,Routeline,Keth,Keth remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
117,20,Marketline,Melo,Melo remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
118,20,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
119,20,Orchardline,Ori,Ori remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
120,20,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
121,21,Hearthline,Sova,Sova remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust hearth ceramics work around weather bell caution.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
122,21,Routeline,Keth,Keth remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust stone bridge joints work around market fairness.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
123,21,Marketline,Melo,Melo remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust measure weights work around rest before work.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
124,21,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust seed ledgers work around repair apology.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
125,21,Orchardline,Ori,Ori remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust water terraces work around route safety.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
126,21,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust weather bells work around public token teaching.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
127,22,Hearthline,Sova,Sova remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust hearth ceramics work around market fairness.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
128,22,Routeline,Keth,Keth remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust stone bridge joints work around rest before work.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
129,22,Marketline,Melo,Melo remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust measure weights work around repair apology.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
130,22,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust seed ledgers work around route safety.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
131,22,Orchardline,Ori,Ori remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust water terraces work around public token teaching.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
132,22,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust weather bells work around weather bell caution.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
133,23,Hearthline,Sova,Sova remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust hearth ceramics work around rest before work.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
134,23,Routeline,Keth,Keth remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust stone bridge joints work around repair apology.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
135,23,Marketline,Melo,Melo remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust measure weights work around route safety.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
136,23,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust seed ledgers work around public token teaching.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
137,23,Orchardline,Ori,Ori remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust water terraces work around weather bell caution.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
138,23,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust weather bells work around market fairness.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
139,24,Hearthline,Sova,Sova remembers avatar absence age 1 and prior repair apology.,repair apology,next wake: adjust hearth ceramics work around repair apology.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8786
140,24,Routeline,Keth,Keth remembers avatar absence age 1 and prior route safety.,route safety,next wake: adjust stone bridge joints work around route safety.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8754
141,24,Marketline,Melo,Melo remembers avatar absence age 1 and prior public token teaching.,public token teaching,next wake: adjust measure weights work around public token teaching.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8698
142,24,Ledgerline,Nari,Nari remembers avatar absence age 1 and prior weather bell caution.,weather bell caution,next wake: adjust seed ledgers work around weather bell caution.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8842
143,24,Orchardline,Ori,Ori remembers avatar absence age 1 and prior market fairness.,market fairness,next wake: adjust water terraces work around market fairness.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.869
144,24,Rainline,Vonn,Vonn remembers avatar absence age 1 and prior rest before work.,rest before work,next wake: adjust weather bells work around rest before work.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8802
145,25,Hearthline,Sova,Sova remembers avatar absence age 2 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8556
146,25,Routeline,Keth,Keth remembers avatar absence age 2 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8524
147,25,Marketline,Melo,Melo remembers avatar absence age 2 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8468
148,25,Ledgerline,Nari,Nari remembers avatar absence age 2 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8612
149,25,Orchardline,Ori,Ori remembers avatar absence age 2 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.846
150,25,Rainline,Vonn,Vonn remembers avatar absence age 2 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8572
151,26,Hearthline,Sova,Sova remembers avatar absence age 3 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8326
152,26,Routeline,Keth,Keth remembers avatar absence age 3 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8294
153,26,Marketline,Melo,Melo remembers avatar absence age 3 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8238
154,26,Ledgerline,Nari,Nari remembers avatar absence age 3 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8382
155,26,Orchardline,Ori,Ori remembers avatar absence age 3 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.823
156,26,Rainline,Vonn,Vonn remembers avatar absence age 3 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8342
157,27,Hearthline,Sova,Sova remembers avatar absence age 4 and prior weather bell caution.,weather bell caution,next wake: adjust hearth ceramics work around weather bell caution.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8096
158,27,Routeline,Keth,Keth remembers avatar absence age 4 and prior market fairness.,market fairness,next wake: adjust stone bridge joints work around market fairness.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8064
159,27,Marketline,Melo,Melo remembers avatar absence age 4 and prior rest before work.,rest before work,next wake: adjust measure weights work around rest before work.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8008
160,27,Ledgerline,Nari,Nari remembers avatar absence age 4 and prior repair apology.,repair apology,next wake: adjust seed ledgers work around repair apology.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8152
161,27,Orchardline,Ori,Ori remembers avatar absence age 4 and prior route safety.,route safety,next wake: adjust water terraces work around route safety.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.8
162,27,Rainline,Vonn,Vonn remembers avatar absence age 4 and prior public token teaching.,public token teaching,next wake: adjust weather bells work around public token teaching.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8112
163,28,Hearthline,Sova,Sova remembers avatar absence age 5 and prior market fairness.,market fairness,next wake: adjust hearth ceramics work around market fairness.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.7866
164,28,Routeline,Keth,Keth remembers avatar absence age 5 and prior rest before work.,rest before work,next wake: adjust stone bridge joints work around rest before work.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.7834
165,28,Marketline,Melo,Melo remembers avatar absence age 5 and prior repair apology.,repair apology,next wake: adjust measure weights work around repair apology.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.7778
166,28,Ledgerline,Nari,Nari remembers avatar absence age 5 and prior route safety.,route safety,next wake: adjust seed ledgers work around route safety.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.7922
167,28,Orchardline,Ori,Ori remembers avatar absence age 5 and prior public token teaching.,public token teaching,next wake: adjust water terraces work around public token teaching.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.777
168,28,Rainline,Vonn,Vonn remembers avatar absence age 5 and prior weather bell caution.,weather bell caution,next wake: adjust weather bells work around weather bell caution.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.7882
169,29,Hearthline,Sova,Sova remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust hearth ceramics work around rest before work.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
170,29,Routeline,Keth,Keth remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust stone bridge joints work around repair apology.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
171,29,Marketline,Melo,Melo remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust measure weights work around route safety.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
172,29,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust seed ledgers work around public token teaching.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
173,29,Orchardline,Ori,Ori remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust water terraces work around weather bell caution.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
174,29,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust weather bells work around market fairness.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
175,30,Hearthline,Sova,Sova remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust hearth ceramics work around repair apology.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
176,30,Routeline,Keth,Keth remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust stone bridge joints work around route safety.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
177,30,Marketline,Melo,Melo remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust measure weights work around public token teaching.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
178,30,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust seed ledgers work around weather bell caution.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
179,30,Orchardline,Ori,Ori remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust water terraces work around market fairness.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
180,30,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust weather bells work around rest before work.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
181,31,Hearthline,Sova,Sova remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
182,31,Routeline,Keth,Keth remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
183,31,Marketline,Melo,Melo remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
184,31,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
185,31,Orchardline,Ori,Ori remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
186,31,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
187,32,Hearthline,Sova,Sova remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
188,32,Routeline,Keth,Keth remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
189,32,Marketline,Melo,Melo remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
190,32,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
191,32,Orchardline,Ori,Ori remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
192,32,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
193,33,Hearthline,Sova,Sova remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust hearth ceramics work around weather bell caution.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
194,33,Routeline,Keth,Keth remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust stone bridge joints work around market fairness.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
195,33,Marketline,Melo,Melo remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust measure weights work around rest before work.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
196,33,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust seed ledgers work around repair apology.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
197,33,Orchardline,Ori,Ori remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust water terraces work around route safety.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
198,33,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust weather bells work around public token teaching.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
199,34,Hearthline,Sova,Sova remembers avatar absence age 1 and prior market fairness.,market fairness,next wake: adjust hearth ceramics work around market fairness.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8786
200,34,Routeline,Keth,Keth remembers avatar absence age 1 and prior rest before work.,rest before work,next wake: adjust stone bridge joints work around rest before work.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8754
201,34,Marketline,Melo,Melo remembers avatar absence age 1 and prior repair apology.,repair apology,next wake: adjust measure weights work around repair apology.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8698
202,34,Ledgerline,Nari,Nari remembers avatar absence age 1 and prior route safety.,route safety,next wake: adjust seed ledgers work around route safety.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8842
203,34,Orchardline,Ori,Ori remembers avatar absence age 1 and prior public token teaching.,public token teaching,next wake: adjust water terraces work around public token teaching.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.869
204,34,Rainline,Vonn,Vonn remembers avatar absence age 1 and prior weather bell caution.,weather bell caution,next wake: adjust weather bells work around weather bell caution.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8802
205,35,Hearthline,Sova,Sova remembers avatar absence age 2 and prior rest before work.,rest before work,next wake: adjust hearth ceramics work around rest before work.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8556
206,35,Routeline,Keth,Keth remembers avatar absence age 2 and prior repair apology.,repair apology,next wake: adjust stone bridge joints work around repair apology.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8524
207,35,Marketline,Melo,Melo remembers avatar absence age 2 and prior route safety.,route safety,next wake: adjust measure weights work around route safety.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8468
208,35,Ledgerline,Nari,Nari remembers avatar absence age 2 and prior public token teaching.,public token teaching,next wake: adjust seed ledgers work around public token teaching.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8612
209,35,Orchardline,Ori,Ori remembers avatar absence age 2 and prior weather bell caution.,weather bell caution,next wake: adjust water terraces work around weather bell caution.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.846
210,35,Rainline,Vonn,Vonn remembers avatar absence age 2 and prior market fairness.,market fairness,next wake: adjust weather bells work around market fairness.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8572
211,36,Hearthline,Sova,Sova remembers avatar absence age 3 and prior repair apology.,repair apology,next wake: adjust hearth ceramics work around repair apology.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8326
212,36,Routeline,Keth,Keth remembers avatar absence age 3 and prior route safety.,route safety,next wake: adjust stone bridge joints work around route safety.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8294
213,36,Marketline,Melo,Melo remembers avatar absence age 3 and prior public token teaching.,public token teaching,next wake: adjust measure weights work around public token teaching.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8238
214,36,Ledgerline,Nari,Nari remembers avatar absence age 3 and prior weather bell caution.,weather bell caution,next wake: adjust seed ledgers work around weather bell caution.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8382
215,36,Orchardline,Ori,Ori remembers avatar absence age 3 and prior market fairness.,market fairness,next wake: adjust water terraces work around market fairness.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.823
