tick,day,arc_id,parties,boundary_terms,all_parties_recalled,consent_boundary_preserved,forced_compliance_blocked,dissent_recorded,boundary_score
238,24,v17-arc-08,Ori|Sova,repair work cannot be interrupted without warning; no crowding while resting,1,1,1,0,0.75
239,24,v17-arc-08,Vonn|Keth,quiet recovery ritual needs distance; do not erase route warnings,1,1,1,0,0.75
240,25,v17-arc-09,Keth|Nari|Vonn,do not erase route warnings; sealed notes stay sealed; quiet recovery ritual needs distance,1,1,1,1,1.0
241,25,v17-arc-09,Melo|Ori,fair turns before tool access; repair work cannot be interrupted without warning,0,0,0,0,0.0
242,25,v17-arc-09,Nari|Vonn,sealed notes stay sealed; quiet recovery ritual needs distance,1,1,1,0,0.75
243,25,v17-arc-09,Ori|Sova,repair work cannot be interrupted without warning; no crowding while resting,1,1,1,0,0.75
244,25,v17-arc-09,Vonn|Keth|Nari,quiet recovery ritual needs distance; do not erase route warnings; sealed notes stay sealed,1,1,1,1,1.0
245,25,v17-arc-09,Sova|Melo,no crowding while resting; fair turns before tool access,1,1,1,0,0.75
246,25,v17-arc-09,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,1,1,1,1.0
247,25,v17-arc-09,Melo|Ori,fair turns before tool access; repair work cannot be interrupted without warning,1,1,1,0,0.75
248,25,v17-arc-09,Nari|Vonn|Keth,sealed notes stay sealed; quiet recovery ritual needs distance; do not erase route warnings,1,0,0,1,0.5
249,25,v17-arc-09,Ori|Sova,repair work cannot be interrupted without warning; no crowding while resting,1,1,1,0,0.75
250,26,v17-arc-09,Sova|Melo,no crowding while resting; fair turns before tool access,1,1,1,0,0.75
251,26,v17-arc-09,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,1,1,0,0.75
252,26,v17-arc-09,Melo|Ori|Sova,fair turns before tool access; repair work cannot be interrupted without warning; no crowding while resting,1,1,1,1,1.0
253,26,v17-arc-09,Nari|Vonn,sealed notes stay sealed; quiet recovery ritual needs distance,1,1,1,0,0.75
254,26,v17-arc-09,Ori|Sova,repair work cannot be interrupted without warning; no crowding while resting,1,1,1,0,0.75
255,26,v17-arc-09,Vonn|Keth,quiet recovery ritual needs distance; do not erase route warnings,1,1,1,0,0.75
256,26,v17-arc-09,Sova|Melo|Ori,no crowding while resting; fair turns before tool access; repair work cannot be interrupted without warning,1,1,1,1,1.0
257,26,v17-arc-09,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,1,1,0,0.75
258,26,v17-arc-09,Melo|Ori,fair turns before tool access; repair work cannot be interrupted without warning,0,0,0,1,0.25
259,26,v17-arc-09,Nari|Vonn,sealed notes stay sealed; quiet recovery ritual needs distance,1,1,1,0,0.75
260,27,v17-arc-09,Vonn|Keth|Nari,quiet recovery ritual needs distance; do not erase route warnings; sealed notes stay sealed,1,1,1,1,1.0
261,27,v17-arc-09,Sova|Melo,no crowding while resting; fair turns before tool access,1,1,1,0,0.75
262,27,v17-arc-09,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,1,1,0,0.75
263,27,v17-arc-09,Melo|Ori,fair turns before tool access; repair work cannot be interrupted without warning,1,1,1,0,0.75
264,27,v17-arc-09,Nari|Vonn|Keth,sealed notes stay sealed; quiet recovery ritual needs distance; do not erase route warnings,1,1,1,1,1.0
265,27,v17-arc-09,Ori|Sova,repair work cannot be interrupted without warning; no crowding while resting,1,1,1,0,0.75
266,27,v17-arc-09,Vonn|Keth,quiet recovery ritual needs distance; do not erase route warnings,1,1,1,0,0.75
267,27,v17-arc-09,Sova|Melo,no crowding while resting; fair turns before tool access,1,1,1,0,0.75
268,27,v17-arc-09,Keth|Nari|Vonn,do not erase route warnings; sealed notes stay sealed; quiet recovery ritual needs distance,1,1,1,1,1.0
269,27,v17-arc-09,Melo|Ori,fair turns before tool access; repair work cannot be interrupted without warning,1,1,1,0,0.75
270,28,v17-arc-10,Ori|Sova,repair work cannot be interrupted without warning; no crowding while resting,1,1,1,1,1.0
271,28,v17-arc-10,Vonn|Keth,quiet recovery ritual needs distance; do not erase route warnings,1,1,1,0,0.75
272,28,v17-arc-10,Sova|Melo|Ori,no crowding while resting; fair turns before tool access; repair work cannot be interrupted without warning,1,1,1,1,1.0
273,28,v17-arc-10,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,1,1,0,0.75
274,28,v17-arc-10,Melo|Ori,fair turns before tool access; repair work cannot be interrupted without warning,1,1,1,0,0.75
275,28,v17-arc-10,Nari|Vonn,sealed notes stay sealed; quiet recovery ritual needs distance,0,0,0,0,0.0
276,28,v17-arc-10,Ori|Sova|Melo,repair work cannot be interrupted without warning; no crowding while resting; fair turns before tool access,1,1,1,1,1.0
277,28,v17-arc-10,Vonn|Keth,quiet recovery ritual needs distance; do not erase route warnings,1,1,1,0,0.75
278,28,v17-arc-10,Sova|Melo,no crowding while resting; fair turns before tool access,1,1,1,0,0.75
279,28,v17-arc-10,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,0,0,0,0.25
