tick_id,day,settlement_id,caregiver_id,recipient_id,duty,care_tool,need_addressed,care_quality_before,care_quality_after,welfare_before,welfare_after,burden_before,burden_after,accepted_or_refused,visible_care_card,reciprocal_memory,bounded_care
704,40,moss_ward,Ari,Milo,Ari uses quiet mat for Milo,quiet mat,fatigue,0.596,0.666,0.816255,0.868855,0.7,0.7,accepted,True,Milo remembers Ari care: accepted,True
705,40,glass_harbor,Oren,Sera,Oren uses salve for Sera,salve,pain,0.64688,0.71688,0.814265,0.866865,0.382,0.4,accepted,True,Sera remembers Oren care: accepted,True
706,40,cinder_garden,Vale,Juno,Vale uses cool water for Juno,cool water,temperature,0.596,0.666,0.833291,0.885891,0.7,0.7,accepted,True,Juno remembers Vale care: accepted,True
707,40,lichen_bridge,Sol,Luma,Sol uses rope splint for Luma,rope splint,injury,0.64016,0.71016,0.810683,0.863283,0.424,0.442,accepted,True,Luma remembers Sol care: accepted,True
708,40,orchid_engine,Bea,Dax,Bea uses gear glove for Dax,gear glove,pain,0.596,0.666,0.813364,0.865964,0.7,0.7,accepted,True,Dax remembers Bea care: accepted,True
709,40,moss_ward,Fay,Tala,Fay uses bandage for Tala,bandage,pain,0.64688,0.71688,0.825425,0.878025,0.382,0.4,accepted,True,Tala remembers Fay care: accepted,True
710,40,glass_harbor,Puck,Nia,Puck uses salt tea for Nia,salt tea,thirst,0.596,0.666,0.81076,0.86336,0.7,0.7,accepted,True,Nia remembers Puck care: accepted,True
712,40,lichen_bridge,Kio,Rin,Kio uses rest alcove for Rin,rest alcove,fatigue,0.596,0.666,0.815642,0.868242,0.7,0.7,accepted,True,Rin remembers Kio care: accepted,True
713,40,orchid_engine,Cai,Eli,Cai uses heat vent for Eli,heat vent,temperature,0.64688,0.71688,0.809718,0.862318,0.382,0.4,accepted,True,Eli remembers Cai care: accepted,True
714,40,moss_ward,Milo,Ari,Milo uses warm broth for Ari,warm broth,hunger,0.596,0.666,0.815636,0.868236,0.7,0.7,accepted,True,Ari remembers Milo care: accepted,True
715,40,glass_harbor,Sera,Oren,Sera uses steam wrap for Oren,steam wrap,temperature,0.62576,0.69576,0.809821,0.862421,0.514,0.532,accepted,True,Oren remembers Sera care: accepted,True
716,40,cinder_garden,Juno,Vale,Juno uses seed meal for Vale,seed meal,hunger,0.596,0.666,0.842503,0.895103,0.7,0.7,accepted,True,Vale remembers Juno care: accepted,True
717,40,lichen_bridge,Luma,Sol,Luma uses hand warmer for Sol,hand warmer,temperature,0.64976,0.71976,0.81185,0.86445,0.364,0.382,accepted,True,Sol remembers Luma care: accepted,True
718,40,orchid_engine,Dax,Bea,Dax uses orchid tea for Bea,orchid tea,thirst,0.596,0.666,0.810771,0.863371,0.7,0.7,accepted,True,Bea remembers Dax care: accepted,True
720,41,cinder_garden,Vale,Juno,Vale uses shade cloth for Juno,shade cloth,safety,0.596,0.636,0.832365,0.867565,0.7,0.7,deferred with consent,True,Juno remembers Vale care: deferred with consent,True
721,41,lichen_bridge,Sol,Luma,Sol uses rest alcove for Luma,rest alcove,fatigue,0.63728,0.70728,0.810873,0.863473,0.442,0.46,accepted,True,Luma remembers Sol care: accepted,True
722,41,orchid_engine,Bea,Dax,Bea uses heat vent for Dax,heat vent,temperature,0.596,0.666,0.815064,0.867664,0.7,0.7,accepted,True,Dax remembers Bea care: accepted,True
723,41,moss_ward,Fay,Tala,Fay uses warm broth for Tala,warm broth,hunger,0.644,0.714,0.827907,0.880507,0.4,0.418,accepted,True,Tala remembers Fay care: accepted,True
724,41,glass_harbor,Puck,Nia,Puck uses steam wrap for Nia,steam wrap,temperature,0.596,0.666,0.810104,0.862704,0.7,0.7,accepted,True,Nia remembers Puck care: accepted,True
726,41,lichen_bridge,Kio,Rin,Kio uses hand warmer for Rin,hand warmer,temperature,0.596,0.666,0.815864,0.868464,0.7,0.7,accepted,True,Rin remembers Kio care: accepted,True
727,41,orchid_engine,Cai,Eli,Cai uses orchid tea for Eli,orchid tea,thirst,0.644,0.714,0.812486,0.865086,0.4,0.418,accepted,True,Eli remembers Cai care: accepted,True
728,41,moss_ward,Milo,Ari,Milo uses dry cloak for Ari,dry cloak,wetness,0.596,0.666,0.817973,0.870573,0.7,0.7,accepted,True,Ari remembers Milo care: accepted,True
729,41,glass_harbor,Sera,Oren,Sera uses soft bunk for Oren,soft bunk,rest_debt,0.62288,0.66288,0.808535,0.843735,0.532,0.538,deferred with consent,True,Oren remembers Sera care: deferred with consent,True
730,41,cinder_garden,Juno,Vale,Juno uses soft glove for Vale,soft glove,pain,0.596,0.666,0.839907,0.892507,0.7,0.7,accepted,True,Vale remembers Juno care: accepted,True
731,41,lichen_bridge,Luma,Sol,Luma uses lichen soup for Sol,lichen soup,hunger,0.64688,0.71688,0.810268,0.862868,0.382,0.4,accepted,True,Sol remembers Luma care: accepted,True
732,41,orchid_engine,Dax,Bea,Dax uses cot pass for Bea,cot pass,rest_debt,0.596,0.666,0.812426,0.865026,0.7,0.7,accepted,True,Bea remembers Dax care: accepted,True
733,41,moss_ward,Tala,Fay,Tala uses quiet mat for Fay,quiet mat,fatigue,0.62864,0.69864,0.809085,0.861685,0.496,0.514,accepted,True,Fay remembers Tala care: accepted,True
734,41,glass_harbor,Nia,Puck,Nia uses salve for Puck,salve,pain,0.596,0.666,0.81149,0.86409,0.7,0.7,accepted,True,Puck remembers Nia care: accepted,True
736,41,lichen_bridge,Rin,Kio,Rin uses rope splint for Kio,rope splint,injury,0.596,0.666,0.815863,0.868463,0.7,0.7,accepted,True,Kio remembers Rin care: accepted,True
737,41,orchid_engine,Eli,Cai,Eli uses gear glove for Cai,gear glove,pain,0.63152,0.70152,0.809655,0.862255,0.478,0.496,accepted,True,Cai remembers Eli care: accepted,True
738,42,glass_harbor,Puck,Nia,Puck uses soft bunk for Nia,soft bunk,rest_debt,0.596,0.636,0.80892,0.84412,0.7,0.7,deferred with consent,True,Nia remembers Puck care: deferred with consent,True
740,42,lichen_bridge,Kio,Rin,Kio uses lichen soup for Rin,lichen soup,hunger,0.596,0.666,0.815604,0.868204,0.7,0.7,accepted,True,Rin remembers Kio care: accepted,True
741,42,orchid_engine,Cai,Eli,Cai uses cot pass for Eli,cot pass,rest_debt,0.64112,0.71112,0.808877,0.861477,0.418,0.436,accepted,True,Eli remembers Cai care: accepted,True
742,42,moss_ward,Milo,Ari,Milo uses quiet mat for Ari,quiet mat,fatigue,0.596,0.666,0.816993,0.869593,0.7,0.7,accepted,True,Ari remembers Milo care: accepted,True
743,42,glass_harbor,Sera,Oren,Sera uses salve for Oren,salve,pain,0.62192,0.69192,0.807393,0.859993,0.538,0.556,accepted,True,Oren remembers Sera care: accepted,True
744,42,cinder_garden,Juno,Vale,Juno uses cool water for Vale,cool water,temperature,0.596,0.666,0.841775,0.894375,0.7,0.7,accepted,True,Vale remembers Juno care: accepted,True
745,42,lichen_bridge,Luma,Sol,Luma uses rope splint for Sol,rope splint,injury,0.644,0.714,0.809976,0.862576,0.4,0.418,accepted,True,Sol remembers Luma care: accepted,True
746,42,orchid_engine,Dax,Bea,Dax uses gear glove for Bea,gear glove,pain,0.596,0.666,0.808817,0.861417,0.7,0.7,accepted,True,Bea remembers Dax care: accepted,True
747,42,moss_ward,Tala,Fay,Tala uses bandage for Fay,bandage,pain,0.62576,0.66576,0.80996,0.84516,0.514,0.52,deferred with consent,True,Fay remembers Tala care: deferred with consent,True
748,42,glass_harbor,Nia,Puck,Nia uses salt tea for Puck,salt tea,thirst,0.596,0.666,0.809262,0.861862,0.7,0.7,accepted,True,Puck remembers Nia care: accepted,True
750,42,lichen_bridge,Rin,Kio,Rin uses rest alcove for Kio,rest alcove,fatigue,0.596,0.666,0.816059,0.868659,0.7,0.7,accepted,True,Kio remembers Rin care: accepted,True
751,42,orchid_engine,Eli,Cai,Eli uses heat vent for Cai,heat vent,temperature,0.62864,0.69864,0.804979,0.857579,0.496,0.514,accepted,True,Cai remembers Eli care: accepted,True
752,42,moss_ward,Ari,Milo,Ari uses warm broth for Milo,warm broth,hunger,0.596,0.666,0.819144,0.871744,0.7,0.7,accepted,True,Milo remembers Ari care: accepted,True
753,42,glass_harbor,Oren,Sera,Oren uses steam wrap for Sera,steam wrap,temperature,0.644,0.714,0.814985,0.867585,0.4,0.418,accepted,True,Sera remembers Oren care: accepted,True
754,42,cinder_garden,Vale,Juno,Vale uses seed meal for Juno,seed meal,hunger,0.596,0.666,0.835831,0.888431,0.7,0.7,accepted,True,Juno remembers Vale care: accepted,True
756,43,moss_ward,Milo,Ari,Milo uses bandage for Ari,bandage,pain,0.596,0.636,0.816109,0.851309,0.7,0.7,deferred with consent,True,Ari remembers Milo care: deferred with consent,True
757,43,glass_harbor,Sera,Oren,Sera uses salt tea for Oren,salt tea,thirst,0.61904,0.68904,0.805025,0.857625,0.556,0.574,accepted,True,Oren remembers Sera care: accepted,True
758,43,cinder_garden,Juno,Vale,Juno uses shade cloth for Vale,shade cloth,safety,0.596,0.666,0.8397,0.8923,0.7,0.7,accepted,True,Vale remembers Juno care: accepted,True
760,43,orchid_engine,Dax,Bea,Dax uses heat vent for Bea,heat vent,temperature,0.596,0.666,0.808512,0.861112,0.7,0.7,accepted,True,Bea remembers Dax care: accepted,True
761,43,moss_ward,Tala,Fay,Tala uses warm broth for Fay,warm broth,hunger,0.6248,0.6948,0.810996,0.863596,0.52,0.538,accepted,True,Fay remembers Tala care: accepted,True
762,43,glass_harbor,Nia,Puck,Nia uses steam wrap for Puck,steam wrap,temperature,0.596,0.666,0.80948,0.86208,0.7,0.7,accepted,True,Puck remembers Nia care: accepted,True
764,43,lichen_bridge,Rin,Kio,Rin uses hand warmer for Kio,hand warmer,temperature,0.596,0.666,0.817008,0.869608,0.7,0.7,accepted,True,Kio remembers Rin care: accepted,True
765,43,orchid_engine,Eli,Cai,Eli uses orchid tea for Cai,orchid tea,thirst,0.62576,0.66576,0.808127,0.843327,0.514,0.52,deferred with consent,True,Cai remembers Eli care: deferred with consent,True
766,43,moss_ward,Ari,Milo,Ari uses dry cloak for Milo,dry cloak,wetness,0.596,0.666,0.815656,0.868256,0.7,0.7,accepted,True,Milo remembers Ari care: accepted,True
767,43,glass_harbor,Oren,Sera,Oren uses soft bunk for Sera,soft bunk,rest_debt,0.64112,0.71112,0.814662,0.867262,0.418,0.436,accepted,True,Sera remembers Oren care: accepted,True
768,43,cinder_garden,Vale,Juno,Vale uses soft glove for Juno,soft glove,pain,0.596,0.666,0.833562,0.886162,0.7,0.7,accepted,True,Juno remembers Vale care: accepted,True
769,43,lichen_bridge,Sol,Luma,Sol uses lichen soup for Luma,lichen soup,hunger,0.6344,0.7044,0.783649,0.836249,0.46,0.478,accepted,True,Luma remembers Sol care: accepted,True
770,43,orchid_engine,Bea,Dax,Bea uses cot pass for Dax,cot pass,rest_debt,0.596,0.666,0.812163,0.864763,0.7,0.7,accepted,True,Dax remembers Bea care: accepted,True
771,43,moss_ward,Fay,Tala,Fay uses quiet mat for Tala,quiet mat,fatigue,0.64112,0.71112,0.827463,0.880063,0.418,0.436,accepted,True,Tala remembers Fay care: accepted,True
772,43,glass_harbor,Puck,Nia,Puck uses salve for Nia,salve,pain,0.596,0.666,0.808662,0.861262,0.7,0.7,accepted,True,Nia remembers Puck care: accepted,True
774,44,orchid_engine,Dax,Bea,Dax uses orchid tea for Bea,orchid tea,thirst,0.596,0.636,0.808879,0.844079,0.7,0.7,deferred with consent,True,Bea remembers Dax care: deferred with consent,True
775,44,moss_ward,Tala,Fay,Tala uses dry cloak for Fay,dry cloak,wetness,0.62192,0.69192,0.810572,0.863172,0.538,0.556,accepted,True,Fay remembers Tala care: accepted,True
776,44,glass_harbor,Nia,Puck,Nia uses soft bunk for Puck,soft bunk,rest_debt,0.596,0.666,0.809219,0.861819,0.7,0.7,accepted,True,Puck remembers Nia care: accepted,True
778,44,lichen_bridge,Rin,Kio,Rin uses lichen soup for Kio,lichen soup,hunger,0.596,0.666,0.818634,0.871234,0.7,0.7,accepted,True,Kio remembers Rin care: accepted,True
779,44,orchid_engine,Eli,Cai,Eli uses cot pass for Cai,cot pass,rest_debt,0.6248,0.6948,0.807914,0.860514,0.52,0.538,accepted,True,Cai remembers Eli care: accepted,True
780,44,moss_ward,Ari,Milo,Ari uses quiet mat for Milo,quiet mat,fatigue,0.596,0.666,0.816636,0.869236,0.7,0.7,accepted,True,Milo remembers Ari care: accepted,True
781,44,glass_harbor,Oren,Sera,Oren uses salve for Sera,salve,pain,0.63824,0.70824,0.810317,0.862917,0.436,0.454,accepted,True,Sera remembers Oren care: accepted,True
782,44,cinder_garden,Vale,Juno,Vale uses cool water for Juno,cool water,temperature,0.596,0.666,0.832446,0.885046,0.7,0.7,accepted,True,Juno remembers Vale care: accepted,True
783,44,lichen_bridge,Sol,Luma,Sol uses rope splint for Luma,rope splint,injury,0.63152,0.67152,0.813648,0.848848,0.478,0.484,deferred with consent,True,Luma remembers Sol care: deferred with consent,True
784,44,orchid_engine,Bea,Dax,Bea uses gear glove for Dax,gear glove,pain,0.596,0.666,0.810419,0.863019,0.7,0.7,accepted,True,Dax remembers Bea care: accepted,True
785,44,moss_ward,Fay,Tala,Fay uses bandage for Tala,bandage,pain,0.63824,0.70824,0.828903,0.881503,0.436,0.454,accepted,True,Tala remembers Fay care: accepted,True
786,44,glass_harbor,Puck,Nia,Puck uses salt tea for Nia,salt tea,thirst,0.596,0.666,0.808378,0.860978,0.7,0.7,accepted,True,Nia remembers Puck care: accepted,True
788,44,lichen_bridge,Kio,Rin,Kio uses rest alcove for Rin,rest alcove,fatigue,0.596,0.666,0.81585,0.86845,0.7,0.7,accepted,True,Rin remembers Kio care: accepted,True
789,44,orchid_engine,Cai,Eli,Cai uses heat vent for Eli,heat vent,temperature,0.63824,0.70824,0.808641,0.861241,0.436,0.454,accepted,True,Eli remembers Cai care: accepted,True
790,44,moss_ward,Milo,Ari,Milo uses warm broth for Ari,warm broth,hunger,0.596,0.666,0.816692,0.869292,0.7,0.7,accepted,True,Ari remembers Milo care: accepted,True
792,45,lichen_bridge,Rin,Kio,Rin uses rope splint for Kio,rope splint,injury,0.596,0.636,0.81589,0.85109,0.7,0.7,deferred with consent,True,Kio remembers Rin care: deferred with consent,True
793,45,orchid_engine,Eli,Cai,Eli uses gear glove for Cai,gear glove,pain,0.62192,0.69192,0.807267,0.859867,0.538,0.556,accepted,True,Cai remembers Eli care: accepted,True
794,45,moss_ward,Ari,Milo,Ari uses bandage for Milo,bandage,pain,0.596,0.666,0.815536,0.868136,0.7,0.7,accepted,True,Milo remembers Ari care: accepted,True
795,45,glass_harbor,Oren,Sera,Oren uses salt tea for Sera,salt tea,thirst,0.63536,0.70536,0.814237,0.866837,0.454,0.472,accepted,True,Sera remembers Oren care: accepted,True
796,45,cinder_garden,Vale,Juno,Vale uses shade cloth for Juno,shade cloth,safety,0.596,0.666,0.832299,0.884899,0.7,0.7,accepted,True,Juno remembers Vale care: accepted,True
797,45,lichen_bridge,Sol,Luma,Sol uses rest alcove for Luma,rest alcove,fatigue,0.63056,0.70056,0.811785,0.864385,0.484,0.502,accepted,True,Luma remembers Sol care: accepted,True
798,45,orchid_engine,Bea,Dax,Bea uses heat vent for Dax,heat vent,temperature,0.596,0.666,0.811605,0.864205,0.7,0.7,accepted,True,Dax remembers Bea care: accepted,True
800,45,glass_harbor,Puck,Nia,Puck uses steam wrap for Nia,steam wrap,temperature,0.596,0.666,0.810725,0.863325,0.7,0.7,accepted,True,Nia remembers Puck care: accepted,True
802,45,lichen_bridge,Kio,Rin,Kio uses hand warmer for Rin,hand warmer,temperature,0.596,0.666,0.815841,0.868441,0.7,0.7,accepted,True,Rin remembers Kio care: accepted,True
803,45,orchid_engine,Cai,Eli,Cai uses orchid tea for Eli,orchid tea,thirst,0.63536,0.70536,0.809852,0.862452,0.454,0.472,accepted,True,Eli remembers Cai care: accepted,True
804,45,moss_ward,Milo,Ari,Milo uses dry cloak for Ari,dry cloak,wetness,0.596,0.666,0.816208,0.868808,0.7,0.7,accepted,True,Ari remembers Milo care: accepted,True
805,45,glass_harbor,Sera,Oren,Sera uses soft bunk for Oren,soft bunk,rest_debt,0.61616,0.68616,0.805145,0.857745,0.574,0.592,accepted,True,Oren remembers Sera care: accepted,True
806,45,cinder_garden,Juno,Vale,Juno uses soft glove for Vale,soft glove,pain,0.596,0.666,0.840705,0.893305,0.7,0.7,accepted,True,Vale remembers Juno care: accepted,True
807,45,lichen_bridge,Luma,Sol,Luma uses lichen soup for Sol,lichen soup,hunger,0.64112,0.71112,0.808187,0.860787,0.418,0.436,accepted,True,Sol remembers Luma care: accepted,True
808,45,orchid_engine,Dax,Bea,Dax uses cot pass for Bea,cot pass,rest_debt,0.596,0.666,0.810073,0.862673,0.7,0.7,accepted,True,Bea remembers Dax care: accepted,True
809,45,moss_ward,Tala,Fay,Tala uses quiet mat for Fay,quiet mat,fatigue,0.61904,0.68904,0.811924,0.864524,0.556,0.574,accepted,True,Fay remembers Tala care: accepted,True
810,46,cinder_garden,Vale,Juno,Vale uses seed meal for Juno,seed meal,hunger,0.596,0.636,0.836524,0.871724,0.7,0.7,deferred with consent,True,Juno remembers Vale care: deferred with consent,True
811,46,lichen_bridge,Sol,Luma,Sol uses hand warmer for Luma,hand warmer,temperature,0.62768,0.69768,0.809143,0.861743,0.502,0.52,accepted,True,Luma remembers Sol care: accepted,True
812,46,orchid_engine,Bea,Dax,Bea uses orchid tea for Dax,orchid tea,thirst,0.596,0.666,0.813694,0.866294,0.7,0.7,accepted,True,Dax remembers Bea care: accepted,True
813,46,moss_ward,Fay,Tala,Fay uses dry cloak for Tala,dry cloak,wetness,0.63536,0.70536,0.826897,0.879497,0.454,0.472,accepted,True,Tala remembers Fay care: accepted,True
814,46,glass_harbor,Puck,Nia,Puck uses soft bunk for Nia,soft bunk,rest_debt,0.596,0.666,0.809397,0.861997,0.7,0.7,accepted,True,Nia remembers Puck care: accepted,True
816,46,lichen_bridge,Kio,Rin,Kio uses lichen soup for Rin,lichen soup,hunger,0.596,0.666,0.815557,0.868157,0.7,0.7,accepted,True,Rin remembers Kio care: accepted,True
817,46,orchid_engine,Cai,Eli,Cai uses cot pass for Eli,cot pass,rest_debt,0.63248,0.70248,0.811504,0.864104,0.472,0.49,accepted,True,Eli remembers Cai care: accepted,True
818,46,moss_ward,Milo,Ari,Milo uses quiet mat for Ari,quiet mat,fatigue,0.596,0.666,0.818405,0.871005,0.7,0.7,accepted,True,Ari remembers Milo care: accepted,True
819,46,glass_harbor,Sera,Oren,Sera uses salve for Oren,salve,pain,0.61328,0.65328,0.806628,0.841828,0.592,0.598,deferred with consent,True,Oren remembers Sera care: deferred with consent,True
820,46,cinder_garden,Juno,Vale,Juno uses cool water for Vale,cool water,temperature,0.596,0.666,0.83811,0.89071,0.7,0.7,accepted,True,Vale remembers Juno care: accepted,True
821,46,lichen_bridge,Luma,Sol,Luma uses rope splint for Sol,rope splint,injury,0.63824,0.70824,0.811194,0.863794,0.436,0.454,accepted,True,Sol remembers Luma care: accepted,True
822,46,orchid_engine,Dax,Bea,Dax uses gear glove for Bea,gear glove,pain,0.596,0.666,0.811727,0.864327,0.7,0.7,accepted,True,Bea remembers Dax care: accepted,True
823,46,moss_ward,Tala,Fay,Tala uses bandage for Fay,bandage,pain,0.61616,0.68616,0.812261,0.864861,0.574,0.592,accepted,True,Fay remembers Tala care: accepted,True
824,46,glass_harbor,Nia,Puck,Nia uses salt tea for Puck,salt tea,thirst,0.596,0.666,0.810848,0.863448,0.7,0.7,accepted,True,Puck remembers Nia care: accepted,True
826,46,lichen_bridge,Rin,Kio,Rin uses rest alcove for Kio,rest alcove,fatigue,0.596,0.666,0.816182,0.868782,0.7,0.7,accepted,True,Kio remembers Rin care: accepted,True
827,46,orchid_engine,Eli,Cai,Eli uses heat vent for Cai,heat vent,temperature,0.61904,0.68904,0.809496,0.862096,0.556,0.574,accepted,True,Cai remembers Eli care: accepted,True
828,47,glass_harbor,Puck,Nia,Puck uses salve for Nia,salve,pain,0.596,0.636,0.808213,0.843413,0.7,0.7,deferred with consent,True,Nia remembers Puck care: deferred with consent,True
830,47,lichen_bridge,Kio,Rin,Kio uses rope splint for Rin,rope splint,injury,0.596,0.666,0.815297,0.867897,0.7,0.7,accepted,True,Rin remembers Kio care: accepted,True
831,47,orchid_engine,Cai,Eli,Cai uses gear glove for Eli,gear glove,pain,0.6296,0.6996,0.805603,0.858203,0.49,0.508,accepted,True,Eli remembers Cai care: accepted,True
832,47,moss_ward,Milo,Ari,Milo uses bandage for Ari,bandage,pain,0.596,0.666,0.816973,0.869573,0.7,0.7,accepted,True,Ari remembers Milo care: accepted,True
833,47,glass_harbor,Sera,Oren,Sera uses salt tea for Oren,salt tea,thirst,0.61232,0.68232,0.807166,0.859766,0.598,0.616,accepted,True,Oren remembers Sera care: accepted,True
834,47,cinder_garden,Juno,Vale,Juno uses shade cloth for Vale,shade cloth,safety,0.596,0.666,0.839311,0.891911,0.7,0.7,accepted,True,Vale remembers Juno care: accepted,True
836,47,orchid_engine,Dax,Bea,Dax uses heat vent for Bea,heat vent,temperature,0.596,0.666,0.808118,0.860718,0.7,0.7,accepted,True,Bea remembers Dax care: accepted,True
837,47,moss_ward,Tala,Fay,Tala uses warm broth for Fay,warm broth,hunger,0.61328,0.65328,0.810038,0.845238,0.592,0.598,deferred with consent,True,Fay remembers Tala care: deferred with consent,True
838,47,glass_harbor,Nia,Puck,Nia uses steam wrap for Puck,steam wrap,temperature,0.596,0.666,0.80862,0.86122,0.7,0.7,accepted,True,Puck remembers Nia care: accepted,True
840,47,lichen_bridge,Rin,Kio,Rin uses hand warmer for Kio,hand warmer,temperature,0.596,0.666,0.816537,0.869137,0.7,0.7,accepted,True,Kio remembers Rin care: accepted,True
841,47,orchid_engine,Eli,Cai,Eli uses orchid tea for Cai,orchid tea,thirst,0.61616,0.68616,0.808234,0.860834,0.574,0.592,accepted,True,Cai remembers Eli care: accepted,True
842,47,moss_ward,Ari,Milo,Ari uses dry cloak for Milo,dry cloak,wetness,0.596,0.666,0.817156,0.869756,0.7,0.7,accepted,True,Milo remembers Ari care: accepted,True
843,47,glass_harbor,Oren,Sera,Oren uses soft bunk for Sera,soft bunk,rest_debt,0.63248,0.70248,0.814097,0.866697,0.472,0.49,accepted,True,Sera remembers Oren care: accepted,True
844,47,cinder_garden,Vale,Juno,Vale uses soft glove for Juno,soft glove,pain,0.596,0.666,0.837589,0.890189,0.7,0.7,accepted,True,Juno remembers Vale care: accepted,True
845,47,lichen_bridge,Sol,Luma,Sol uses lichen soup for Luma,lichen soup,hunger,0.6248,0.6948,0.808277,0.860877,0.52,0.538,accepted,True,Luma remembers Sol care: accepted,True
846,48,moss_ward,Milo,Ari,Milo uses warm broth for Ari,warm broth,hunger,0.596,0.636,0.815894,0.851094,0.7,0.7,deferred with consent,True,Ari remembers Milo care: deferred with consent,True
847,48,glass_harbor,Sera,Oren,Sera uses steam wrap for Oren,steam wrap,temperature,0.60944,0.67944,0.805685,0.858285,0.616,0.634,accepted,True,Oren remembers Sera care: accepted,True
848,48,cinder_garden,Juno,Vale,Juno uses seed meal for Vale,seed meal,hunger,0.596,0.666,0.841263,0.893863,0.7,0.7,accepted,True,Vale remembers Juno care: accepted,True
850,48,orchid_engine,Dax,Bea,Dax uses orchid tea for Bea,orchid tea,thirst,0.596,0.666,0.808433,0.861033,0.7,0.7,accepted,True,Bea remembers Dax care: accepted,True
851,48,moss_ward,Tala,Fay,Tala uses dry cloak for Fay,dry cloak,wetness,0.61232,0.68232,0.812255,0.864855,0.598,0.616,accepted,True,Fay remembers Tala care: accepted,True
852,48,glass_harbor,Nia,Puck,Nia uses soft bunk for Puck,soft bunk,rest_debt,0.596,0.666,0.808354,0.860954,0.7,0.7,accepted,True,Puck remembers Nia care: accepted,True
854,48,lichen_bridge,Rin,Kio,Rin uses lichen soup for Kio,lichen soup,hunger,0.596,0.666,0.816822,0.869422,0.7,0.7,accepted,True,Kio remembers Rin care: accepted,True
855,48,orchid_engine,Eli,Cai,Eli uses cot pass for Cai,cot pass,rest_debt,0.61328,0.65328,0.807972,0.843172,0.592,0.598,deferred with consent,True,Cai remembers Eli care: deferred with consent,True
856,48,moss_ward,Ari,Milo,Ari uses quiet mat for Milo,quiet mat,fatigue,0.596,0.666,0.816047,0.868647,0.7,0.7,accepted,True,Milo remembers Ari care: accepted,True
858,48,cinder_garden,Vale,Juno,Vale uses cool water for Juno,cool water,temperature,0.596,0.666,0.835801,0.888401,0.7,0.7,accepted,True,Juno remembers Vale care: accepted,True
859,48,lichen_bridge,Sol,Luma,Sol uses rope splint for Luma,rope splint,injury,0.62192,0.69192,0.812127,0.864727,0.538,0.556,accepted,True,Luma remembers Sol care: accepted,True
860,48,orchid_engine,Bea,Dax,Bea uses gear glove for Dax,gear glove,pain,0.596,0.666,0.810418,0.863018,0.7,0.7,accepted,True,Dax remembers Bea care: accepted,True
861,48,moss_ward,Fay,Tala,Fay uses bandage for Tala,bandage,pain,0.63248,0.70248,0.827492,0.880092,0.472,0.49,accepted,True,Tala remembers Fay care: accepted,True
862,48,glass_harbor,Puck,Nia,Puck uses salt tea for Nia,salt tea,thirst,0.596,0.666,0.807953,0.860553,0.7,0.7,accepted,True,Nia remembers Puck care: accepted,True
864,49,orchid_engine,Dax,Bea,Dax uses cot pass for Bea,cot pass,rest_debt,0.596,0.636,0.808174,0.843374,0.7,0.7,deferred with consent,True,Bea remembers Dax care: deferred with consent,True
865,49,moss_ward,Tala,Fay,Tala uses quiet mat for Fay,quiet mat,fatigue,0.60944,0.67944,0.813289,0.865889,0.616,0.634,accepted,True,Fay remembers Tala care: accepted,True
866,49,glass_harbor,Nia,Puck,Nia uses salve for Puck,salve,pain,0.596,0.666,0.808113,0.860713,0.7,0.7,accepted,True,Puck remembers Nia care: accepted,True
868,49,lichen_bridge,Rin,Kio,Rin uses rope splint for Kio,rope splint,injury,0.596,0.666,0.818457,0.871057,0.7,0.7,accepted,True,Kio remembers Rin care: accepted,True
869,49,orchid_engine,Eli,Cai,Eli uses gear glove for Cai,gear glove,pain,0.61232,0.68232,0.807752,0.860352,0.598,0.616,accepted,True,Cai remembers Eli care: accepted,True
870,49,moss_ward,Ari,Milo,Ari uses bandage for Milo,bandage,pain,0.596,0.666,0.817789,0.870389,0.7,0.7,accepted,True,Milo remembers Ari care: accepted,True
871,49,glass_harbor,Oren,Sera,Oren uses salt tea for Sera,salt tea,thirst,0.6296,0.6996,0.786983,0.839583,0.49,0.508,accepted,True,Sera remembers Oren care: accepted,True
872,49,cinder_garden,Vale,Juno,Vale uses shade cloth for Juno,shade cloth,safety,0.596,0.666,0.832828,0.885428,0.7,0.7,accepted,True,Juno remembers Vale care: accepted,True
873,49,lichen_bridge,Sol,Luma,Sol uses rest alcove for Luma,rest alcove,fatigue,0.61904,0.65904,0.814637,0.849837,0.556,0.562,deferred with consent,True,Luma remembers Sol care: deferred with consent,True
874,49,orchid_engine,Bea,Dax,Bea uses heat vent for Dax,heat vent,temperature,0.596,0.666,0.808737,0.861337,0.7,0.7,accepted,True,Dax remembers Bea care: accepted,True
875,49,moss_ward,Fay,Tala,Fay uses warm broth for Tala,warm broth,hunger,0.6296,0.6996,0.828094,0.880694,0.49,0.508,accepted,True,Tala remembers Fay care: accepted,True
876,49,glass_harbor,Puck,Nia,Puck uses steam wrap for Nia,steam wrap,temperature,0.596,0.666,0.808309,0.860909,0.7,0.7,accepted,True,Nia remembers Puck care: accepted,True
878,49,lichen_bridge,Kio,Rin,Kio uses hand warmer for Rin,hand warmer,temperature,0.596,0.666,0.816037,0.868637,0.7,0.7,accepted,True,Rin remembers Kio care: accepted,True
