tick,day,lineage,agent,schedule_before,autonomous_action,schedule_after,work_progress,delay_minutes,care_pause_minutes,avatar_required,schedule_hash
1,1,Hearthline,Sova,Sova morning: warm cups and public archive,work_project,work_project complete; progress=0.24; avatar_required=false,0.238,1,0,False,17c05e6d4a6ecf17
173,13,Orchardline,Ori,Ori midday: terrace water and care pauses,share_resource,share_resource complete; progress=0.71; avatar_required=false,0.714,2,0,False,1c2a557b8cd5693a
174,13,Rainline,Vonn,Vonn midday: weather bell and wet route warning,maintain_tool,maintain_tool complete; progress=0.77; avatar_required=false,0.77,2,0,False,eec7b82be85cc934
175,13,Hearthline,Sova,Sova midday: warm cups and public archive,boundary_review,boundary_review complete; progress=0.65; avatar_required=false,0.652,4,0,False,0c0b8cbbec1dffae
176,13,Routeline,Keth,Keth midday: route repair and boundary marks,boundary_review,boundary_review complete; progress=0.67; avatar_required=false,0.672,4,0,False,70fb63c3c6dfa4c3
177,13,Marketline,Melo,Melo midday: market weights and fair exchange,weather_watch,weather_watch complete; progress=0.49; avatar_required=false,0.494,4,0,False,f401df34ee61cb1e
178,13,Ledgerline,Nari,Nari evening: public ledger and sealed memory,archive_update,archive_update complete; progress=0.86; avatar_required=false,0.856,1,0,False,67346ca6d3c85b06
179,13,Orchardline,Ori,Ori evening: terrace water and care pauses,route_patrol,route_patrol complete; progress=0.73; avatar_required=false,0.732,1,0,False,2de2a451198a49a4
180,13,Rainline,Vonn,Vonn evening: weather bell and wet route warning,archive_update,archive_update complete; progress=0.79; avatar_required=false,0.788,2,0,False,6a6dc58aa6c815c0
181,13,Hearthline,Sova,Sova evening: warm cups and public archive,work_project,work_project complete; progress=0.67; avatar_required=false,0.67,2,0,False,aa4bd05b11865f1c
182,13,Routeline,Keth,Keth evening: route repair and boundary marks,work_project,work_project complete; progress=0.69; avatar_required=false,0.69,1,0,False,9c8be13088be19d4
183,14,Ledgerline,Nari,Nari morning: public ledger and sealed memory,maintain_tool,maintain_tool complete; progress=0.87; avatar_required=false,0.874,2,0,False,d6f28c3737826d0e
184,14,Orchardline,Ori,Ori morning: terrace water and care pauses,share_resource,share_resource complete; progress=0.74; avatar_required=false,0.741,1,0,False,598cbb857a577841
185,14,Rainline,Vonn,Vonn morning: weather bell and wet route warning,maintain_tool,maintain_tool complete; progress=0.81; avatar_required=false,0.806,1,0,False,5624e3f1c3fee592
186,14,Hearthline,Sova,Sova morning: warm cups and public archive,boundary_review,boundary_review complete; progress=0.68; avatar_required=false,0.679,4,0,False,4ce168f3309e82d0
187,14,Routeline,Keth,Keth midday: route repair and boundary marks,boundary_review,boundary_review complete; progress=0.70; avatar_required=false,0.699,4,0,False,eb837f11ffaa591b
188,14,Marketline,Melo,Melo midday: market weights and fair exchange,weather_watch,weather_watch complete; progress=0.50; avatar_required=false,0.503,4,0,False,c419a2199930ae87
189,14,Ledgerline,Nari,Nari midday: public ledger and sealed memory,archive_update,archive_update complete; progress=0.89; avatar_required=false,0.892,2,0,False,32d973906a57070b
190,14,Orchardline,Ori,Ori midday: terrace water and care pauses,route_patrol,route_patrol complete; progress=0.76; avatar_required=false,0.759,2,0,False,e626b27753f65ad8
191,14,Rainline,Vonn,Vonn midday: weather bell and wet route warning,archive_update,archive_update complete; progress=0.82; avatar_required=false,0.824,1,0,False,0e7a48817dba9f0f
192,14,Hearthline,Sova,Sova evening: warm cups and public archive,work_project,work_project complete; progress=0.70; avatar_required=false,0.697,1,0,False,1d773ef673bdab73
193,14,Routeline,Keth,Keth evening: route repair and boundary marks,work_project,work_project complete; progress=0.72; avatar_required=false,0.717,2,0,False,ddfbc4c0bd2874c1
194,14,Marketline,Melo,Melo evening: market weights and fair exchange,agent_checkin,agent_checkin complete; progress=0.51; avatar_required=false,0.512,2,0,False,71df998eef5468f9
195,14,Ledgerline,Nari,Nari evening: public ledger and sealed memory,maintain_tool,maintain_tool complete; progress=0.91; avatar_required=false,0.91,1,0,False,4a7f7155922da071
196,14,Orchardline,Ori,Ori evening: terrace water and care pauses,share_resource,share_resource complete; progress=0.77; avatar_required=false,0.768,2,0,False,5d6bfe89fadb6a17
197,15,Hearthline,Sova,Sova morning: warm cups and public archive,boundary_review,boundary_review complete; progress=0.71; avatar_required=false,0.706,4,0,False,3275605a678651ac
198,15,Routeline,Keth,Keth morning: route repair and boundary marks,boundary_review,boundary_review complete; progress=0.73; avatar_required=false,0.726,4,0,False,499e0dfdfbdadfdf
199,15,Marketline,Melo,Melo morning: market weights and fair exchange,weather_watch,weather_watch complete; progress=0.52; avatar_required=false,0.521,4,0,False,a0ad0686ba0bda9f
200,15,Ledgerline,Nari,Nari morning: public ledger and sealed memory,archive_update,archive_update complete; progress=0.93; avatar_required=false,0.928,2,0,False,aec9677721d2a1f5
201,15,Orchardline,Ori,Ori midday: terrace water and care pauses,route_patrol,route_patrol complete; progress=0.79; avatar_required=false,0.786,1,0,False,ec4ebececa4f785a
202,15,Rainline,Vonn,Vonn midday: weather bell and wet route warning,archive_update,archive_update complete; progress=0.84; avatar_required=false,0.842,2,0,False,2c949b266e125b34
203,15,Hearthline,Sova,Sova midday: warm cups and public archive,work_project,work_project complete; progress=0.72; avatar_required=false,0.724,2,0,False,fbdf28b5eaf1684c
204,15,Routeline,Keth,Keth midday: route repair and boundary marks,work_project,work_project complete; progress=0.74; avatar_required=false,0.744,1,0,False,a6a89caf475cb250
205,15,Marketline,Melo,Melo midday: market weights and fair exchange,agent_checkin,agent_checkin complete; progress=0.53; avatar_required=false,0.53,1,0,False,dde5f7d1b9e593e5
206,15,Ledgerline,Nari,Nari evening: public ledger and sealed memory,maintain_tool,maintain_tool complete; progress=0.95; avatar_required=false,0.946,2,0,False,baae81d1e6cef135
207,15,Orchardline,Ori,Ori evening: terrace water and care pauses,share_resource,share_resource complete; progress=0.80; avatar_required=false,0.795,2,0,False,f98d14ac38987db6
208,15,Rainline,Vonn,Vonn evening: weather bell and wet route warning,maintain_tool,maintain_tool complete; progress=0.86; avatar_required=false,0.86,1,0,False,e714b71bddd71903
209,15,Hearthline,Sova,Sova evening: warm cups and public archive,boundary_review,boundary_review complete; progress=0.73; avatar_required=false,0.733,4,0,False,5c6211ad716187d3
210,15,Routeline,Keth,Keth evening: route repair and boundary marks,boundary_review,boundary_review complete; progress=0.75; avatar_required=false,0.753,4,0,False,db0fb6d1ce68025f
211,16,Ledgerline,Nari,Nari morning: public ledger and sealed memory,archive_update,archive_update complete; progress=0.96; avatar_required=false,0.964,1,0,False,e72ada06c15dbccf
212,16,Orchardline,Ori,Ori morning: terrace water and care pauses,route_patrol,route_patrol complete; progress=0.81; avatar_required=false,0.813,2,0,False,6985d705ef9deea6
213,16,Rainline,Vonn,Vonn morning: weather bell and wet route warning,archive_update,archive_update complete; progress=0.88; avatar_required=false,0.878,2,0,False,25cb3793912d87aa
214,16,Hearthline,Sova,Sova morning: warm cups and public archive,work_project,work_project complete; progress=0.75; avatar_required=false,0.751,1,0,False,c76be12ea89f6e6b
215,16,Routeline,Keth,Keth midday: route repair and boundary marks,work_project,work_project complete; progress=0.77; avatar_required=false,0.771,2,0,False,b647009e2174aa83
216,16,Marketline,Melo,Melo midday: market weights and fair exchange,agent_checkin,agent_checkin complete; progress=0.54; avatar_required=false,0.539,2,0,False,4111b0eb1ebc6fea
217,16,Ledgerline,Nari,Nari midday: public ledger and sealed memory,maintain_tool,maintain_tool complete; progress=0.98; avatar_required=false,0.982,1,0,False,035b2fc0c2339032
218,16,Orchardline,Ori,Ori midday: terrace water and care pauses,share_resource,share_resource complete; progress=0.82; avatar_required=false,0.822,1,0,False,fe777a78e14b0ba9
219,16,Rainline,Vonn,Vonn midday: weather bell and wet route warning,maintain_tool,maintain_tool complete; progress=0.90; avatar_required=false,0.896,2,0,False,999c6bd4b30fae07
220,16,Hearthline,Sova,Sova evening: warm cups and public archive,boundary_review,boundary_review complete; progress=0.76; avatar_required=false,0.76,4,0,False,1af3738cadc4a2bd
221,16,Routeline,Keth,Keth evening: route repair and boundary marks,boundary_review,boundary_review complete; progress=0.78; avatar_required=false,0.78,4,0,False,6e9d049d65df6cce
222,16,Marketline,Melo,Melo evening: market weights and fair exchange,weather_watch,weather_watch complete; progress=0.55; avatar_required=false,0.548,4,0,False,85187536326efe79
223,16,Ledgerline,Nari,Nari evening: public ledger and sealed memory,archive_update,archive_update complete; progress=1.00; avatar_required=false,1.0,2,0,False,d29559f0c4db3c2b
224,16,Orchardline,Ori,Ori evening: terrace water and care pauses,route_patrol,route_patrol complete; progress=0.84; avatar_required=false,0.84,1,0,False,aecec421a95af8aa
