tick,day,slot,resident,room,schedule_state,need_state,debt_focus,project_progress,offscreen,schedule_changed_by_avatar,agency_preserved
908,51,8,Nia,rain court,rest,relieved,route warning,0.826089,False,True,True
909,51,9,Ari,fiber loft,negotiate debt,tired,tool loan,0.797227,False,False,True
910,51,10,Fay,west hearth,seek tool,hungry,water carry,0.74942,False,False,True
911,51,11,Milo,river gate,care duty,guarded,repair promise,0.726621,False,True,True
912,51,12,Sera,arrival court,recover focus,steady,missed greeting,0.749792,False,True,False
913,51,13,Tovan,tool alcove,recover focus,wet,care favor,0.797629,False,True,True
914,51,14,Nia,rain court,rest,focused,route warning,0.796151,False,True,True
915,51,15,Ari,fiber loft,rest,relieved,tool loan,0.809135,True,False,True
916,51,16,Fay,west hearth,negotiate debt,tired,water carry,0.762226,False,True,True
917,51,17,Milo,river gate,seek tool,hungry,repair promise,0.728551,True,False,True
918,52,0,Sera,tool alcove,private task,tired,care favor,0.811103,False,True,True
919,52,1,Tovan,rain court,work,hungry,route warning,0.853177,False,True,True
920,52,2,Nia,fiber loft,work,guarded,tool loan,0.856568,False,True,True
921,52,3,Ari,west hearth,negotiate debt,steady,water carry,0.788159,False,True,True
922,52,4,Fay,river gate,negotiate debt,wet,repair promise,0.773263,True,False,True
923,52,5,Milo,arrival court,seek tool,focused,missed greeting,0.763157,False,True,True
924,52,6,Sera,tool alcove,care duty,relieved,care favor,0.797133,False,False,True
925,52,7,Tovan,rain court,private task,tired,route warning,0.843953,False,False,True
926,52,8,Nia,fiber loft,recover focus,hungry,tool loan,0.860571,False,True,True
927,52,9,Ari,west hearth,rest,guarded,water carry,0.831709,False,True,True
928,52,10,Fay,river gate,rest,steady,repair promise,0.783902,False,True,True
929,52,11,Milo,arrival court,seek tool,wet,missed greeting,0.731104,False,True,True
930,52,12,Sera,tool alcove,seek tool,focused,care favor,0.784275,True,False,True
931,52,13,Tovan,rain court,care duty,relieved,route warning,0.832112,False,True,True
932,52,14,Nia,fiber loft,private task,tired,tool loan,0.860634,False,False,True
933,52,15,Ari,west hearth,recover focus,hungry,water carry,0.843618,False,False,True
934,52,16,Fay,river gate,work,guarded,repair promise,0.796708,False,True,True
935,52,17,Milo,arrival court,negotiate debt,steady,missed greeting,0.763034,False,True,True
936,53,0,Sera,rain court,care duty,guarded,route warning,0.815586,False,True,False
937,53,1,Tovan,fiber loft,care duty,steady,tool loan,0.88766,True,False,True
938,53,2,Nia,west hearth,private task,wet,water carry,0.891051,False,True,True
939,53,3,Ari,river gate,recover focus,focused,repair promise,0.852642,False,False,True
940,53,4,Fay,arrival court,work,relieved,missed greeting,0.807746,False,False,True
941,53,5,Milo,tool alcove,rest,tired,care favor,0.79764,False,True,True
942,53,6,Sera,rain court,seek tool,hungry,route warning,0.831615,False,True,True
943,53,7,Tovan,fiber loft,seek tool,guarded,tool loan,0.878436,False,True,True
944,53,8,Nia,west hearth,private task,steady,water carry,0.865054,False,True,False
945,53,9,Ari,river gate,private task,wet,repair promise,0.866192,True,False,True
946,53,10,Fay,arrival court,recover focus,focused,missed greeting,0.818385,False,True,True
947,53,11,Milo,tool alcove,work,relieved,care favor,0.795587,False,False,True
948,53,12,Sera,rain court,rest,tired,route warning,0.818758,False,False,True
949,53,13,Tovan,fiber loft,negotiate debt,hungry,tool loan,0.866595,False,True,True
950,53,14,Nia,west hearth,care duty,guarded,water carry,0.895117,False,True,True
951,53,15,Ari,river gate,care duty,steady,repair promise,0.878101,False,True,True
952,53,16,Fay,arrival court,recover focus,wet,missed greeting,0.801191,False,True,False
953,53,17,Milo,tool alcove,recover focus,focused,care favor,0.797516,True,False,True
954,54,0,Sera,fiber loft,rest,wet,tool loan,0.880069,True,False,True
955,54,1,Tovan,west hearth,negotiate debt,focused,water carry,0.922143,False,False,True
956,54,2,Nia,river gate,seek tool,relieved,repair promise,0.925534,False,True,True
957,54,3,Ari,arrival court,private task,tired,missed greeting,0.887125,False,True,True
958,54,4,Fay,tool alcove,private task,hungry,care favor,0.842229,False,True,True
959,54,5,Milo,rain court,work,guarded,route warning,0.802123,False,True,True
960,54,6,Sera,fiber loft,work,steady,tool loan,0.866098,True,False,True
961,54,7,Tovan,west hearth,rest,wet,water carry,0.912918,False,True,True
962,54,8,Nia,river gate,negotiate debt,focused,repair promise,0.929537,False,False,True
963,54,9,Ari,arrival court,seek tool,relieved,missed greeting,0.900675,False,False,True
964,54,10,Fay,tool alcove,care duty,tired,care favor,0.852868,False,True,True
965,54,11,Milo,rain court,recover focus,hungry,route warning,0.830069,False,True,True
966,54,12,Sera,fiber loft,recover focus,guarded,tool loan,0.85324,False,True,True
967,54,13,Tovan,west hearth,rest,steady,water carry,0.871077,False,True,True
968,54,14,Nia,river gate,rest,wet,repair promise,0.929599,True,False,True
969,54,15,Ari,arrival court,negotiate debt,focused,missed greeting,0.912583,False,True,True
970,54,16,Fay,tool alcove,seek tool,relieved,care favor,0.865674,False,False,True
971,54,17,Milo,rain court,care duty,tired,route warning,0.831999,True,False,True
972,55,0,Sera,west hearth,work,relieved,water carry,0.914552,False,True,False
973,55,1,Tovan,river gate,work,tired,repair promise,0.956625,False,True,True
974,55,2,Nia,arrival court,negotiate debt,hungry,missed greeting,0.930017,False,True,True
975,55,3,Ari,tool alcove,negotiate debt,guarded,care favor,0.921608,True,False,True
976,55,4,Fay,rain court,seek tool,steady,route warning,0.876712,False,True,True
977,55,5,Milo,fiber loft,care duty,wet,tool loan,0.866606,False,False,True
978,55,6,Sera,west hearth,private task,focused,water carry,0.900581,False,False,True
979,55,7,Tovan,river gate,recover focus,relieved,repair promise,0.947401,False,True,True
980,55,8,Nia,arrival court,rest,tired,missed greeting,0.96402,False,True,False
981,55,9,Ari,tool alcove,rest,hungry,care favor,0.935158,False,True,True
982,55,10,Fay,rain court,seek tool,guarded,route warning,0.857351,False,True,True
983,55,11,Milo,fiber loft,seek tool,steady,tool loan,0.864552,True,False,True
984,55,12,Sera,west hearth,care duty,wet,water carry,0.887723,False,True,True
985,55,13,Tovan,river gate,private task,focused,repair promise,0.93556,False,False,True
986,55,14,Nia,arrival court,recover focus,relieved,missed greeting,0.964082,False,False,True
987,55,15,Ari,tool alcove,work,tired,care favor,0.947066,False,True,True
988,55,16,Fay,rain court,negotiate debt,hungry,route warning,0.900157,False,True,False
989,55,17,Milo,fiber loft,negotiate debt,guarded,tool loan,0.866482,False,True,True
990,56,0,Sera,river gate,care duty,hungry,repair promise,0.949034,True,False,True
991,56,1,Tovan,arrival court,private task,guarded,missed greeting,0.978,False,True,True
992,56,2,Nia,tool alcove,recover focus,steady,care favor,0.978,False,False,True
993,56,3,Ari,rain court,work,wet,route warning,0.95609,False,False,True
994,56,4,Fay,fiber loft,rest,focused,tool loan,0.911194,False,True,True
995,56,5,Milo,west hearth,seek tool,relieved,water carry,0.901088,False,True,True
996,56,6,Sera,river gate,seek tool,tired,repair promise,0.935064,False,True,True
997,56,7,Tovan,arrival court,private task,hungry,missed greeting,0.948,False,True,True
998,56,8,Nia,tool alcove,private task,guarded,care favor,0.978,True,False,True
999,56,9,Ari,rain court,recover focus,steady,route warning,0.96964,False,True,True
1000,56,10,Fay,fiber loft,work,wet,tool loan,0.921833,False,False,True
1001,56,11,Milo,west hearth,rest,focused,water carry,0.899035,False,False,True
1002,56,12,Sera,river gate,negotiate debt,relieved,repair promise,0.922206,False,True,True
1003,56,13,Tovan,arrival court,care duty,tired,missed greeting,0.970043,False,True,True
1004,56,14,Nia,tool alcove,care duty,hungry,care favor,0.978,False,True,True
1005,56,15,Ari,rain court,recover focus,guarded,route warning,0.948,False,True,True
1006,56,16,Fay,fiber loft,recover focus,steady,tool loan,0.934639,True,False,True
1007,56,17,Milo,west hearth,work,wet,water carry,0.900965,False,True,True
1008,57,0,Sera,arrival court,negotiate debt,steady,missed greeting,0.978,True,False,True
1009,57,1,Tovan,tool alcove,seek tool,wet,care favor,0.978,False,True,True
1010,57,2,Nia,rain court,private task,focused,route warning,0.978,False,True,True
1011,57,3,Ari,fiber loft,private task,relieved,tool loan,0.978,False,True,True
1012,57,4,Fay,west hearth,work,tired,water carry,0.915677,False,True,False
1013,57,5,Milo,river gate,work,hungry,repair promise,0.935571,True,False,True
1014,57,6,Sera,arrival court,rest,guarded,missed greeting,0.969546,False,True,True
1015,57,7,Tovan,tool alcove,negotiate debt,steady,care favor,0.978,False,False,True
1016,57,8,Nia,rain court,seek tool,wet,route warning,0.978,False,False,True
1017,57,9,Ari,fiber loft,care duty,focused,tool loan,0.978,False,True,True
1018,57,10,Fay,west hearth,recover focus,relieved,water carry,0.956316,False,True,True
1019,57,11,Milo,river gate,recover focus,tired,repair promise,0.933518,False,True,True
1020,57,12,Sera,arrival court,rest,hungry,missed greeting,0.926689,False,True,False
1021,57,13,Tovan,tool alcove,rest,guarded,care favor,0.978,True,False,True
1022,57,14,Nia,rain court,negotiate debt,steady,route warning,0.978,False,True,True
1023,57,15,Ari,fiber loft,seek tool,wet,tool loan,0.978,False,False,True
1024,57,16,Fay,west hearth,care duty,focused,water carry,0.969122,False,False,True
1025,57,17,Milo,river gate,private task,relieved,repair promise,0.935447,True,True,True
1026,58,0,Sera,tool alcove,work,focused,care favor,0.018,False,True,True
1027,58,1,Tovan,rain court,negotiate debt,relieved,route warning,0.030074,False,True,True
1028,58,2,Nia,fiber loft,negotiate debt,tired,tool loan,0.063465,True,False,True
1029,58,3,Ari,west hearth,seek tool,hungry,water carry,0.025056,False,True,True
1030,58,4,Fay,river gate,care duty,guarded,repair promise,0.018,False,False,True
1031,58,5,Milo,arrival court,private task,steady,missed greeting,0.018,False,False,True
1032,58,6,Sera,tool alcove,recover focus,wet,care favor,0.018,False,True,True
1033,58,7,Tovan,rain court,rest,focused,route warning,0.050849,False,True,True
1034,58,8,Nia,fiber loft,rest,relieved,tool loan,0.067468,False,True,True
1035,58,9,Ari,west hearth,seek tool,tired,water carry,0.008606,False,True,True
1036,58,10,Fay,river gate,seek tool,hungry,repair promise,0.018,True,False,True
1037,58,11,Milo,arrival court,care duty,guarded,missed greeting,0.018,False,True,True
1038,58,12,Sera,tool alcove,private task,steady,care favor,0.018,False,False,True
1039,58,13,Tovan,rain court,recover focus,wet,route warning,0.039008,False,False,True
1040,58,14,Nia,fiber loft,work,focused,tool loan,0.06753,False,True,True
1041,58,15,Ari,west hearth,negotiate debt,relieved,water carry,0.050514,False,True,True
1042,58,16,Fay,river gate,negotiate debt,tired,repair promise,0.018,False,True,True
1043,58,17,Milo,arrival court,care duty,hungry,missed greeting,0.0,False,True,True
1044,59,0,Sera,rain court,private task,tired,route warning,0.052483,False,True,True
1045,59,1,Tovan,fiber loft,recover focus,hungry,tool loan,0.094556,False,False,True
1046,59,2,Nia,west hearth,work,guarded,water carry,0.097948,False,False,True
1047,59,3,Ari,river gate,rest,steady,repair promise,0.059539,False,True,True
1048,59,4,Fay,arrival court,seek tool,wet,missed greeting,0.018,False,True,False
1049,59,5,Milo,tool alcove,seek tool,focused,care favor,0.018,False,True,True
1050,59,6,Sera,rain court,private task,relieved,route warning,0.008512,False,True,True
1051,59,7,Tovan,fiber loft,private task,tired,tool loan,0.085332,True,False,True
1052,59,8,Nia,west hearth,recover focus,hungry,water carry,0.101951,False,True,True
1053,59,9,Ari,river gate,work,guarded,repair promise,0.073089,False,False,True
1054,59,10,Fay,arrival court,rest,steady,missed greeting,0.025282,False,False,True
1055,59,11,Milo,tool alcove,negotiate debt,wet,care favor,0.018,False,True,True
1056,59,12,Sera,rain court,care duty,focused,route warning,0.025654,False,True,False
1057,59,13,Tovan,fiber loft,care duty,relieved,tool loan,0.073491,False,True,True
1058,59,14,Nia,west hearth,recover focus,tired,water carry,0.072013,False,True,True
1059,59,15,Ari,river gate,recover focus,hungry,repair promise,0.084997,True,False,True
1060,59,16,Fay,arrival court,work,guarded,missed greeting,0.038088,False,True,True
1061,59,17,Milo,tool alcove,rest,steady,care favor,0.018,False,False,True
1062,60,0,Sera,fiber loft,seek tool,guarded,tool loan,0.086966,True,True,True
1063,60,1,Tovan,west hearth,private task,steady,water carry,0.129039,False,True,True
1064,60,2,Nia,river gate,private task,wet,repair promise,0.13243,False,True,True
1065,60,3,Ari,arrival court,work,focused,missed greeting,0.064022,False,True,True
1066,60,4,Fay,tool alcove,work,relieved,care favor,0.049125,True,False,True
1067,60,5,Milo,rain court,rest,tired,route warning,0.039019,False,True,True
1068,60,6,Sera,fiber loft,negotiate debt,hungry,tool loan,0.072995,False,False,True
1069,60,7,Tovan,west hearth,seek tool,guarded,water carry,0.119815,False,False,True
1070,60,8,Nia,river gate,care duty,steady,repair promise,0.136433,False,True,True
1071,60,9,Ari,arrival court,recover focus,wet,missed greeting,0.107571,False,True,True
1072,60,10,Fay,tool alcove,recover focus,focused,care favor,0.059764,False,True,True
1073,60,11,Milo,rain court,rest,relieved,route warning,0.006966,False,True,True
1074,60,12,Sera,fiber loft,rest,tired,tool loan,0.060137,True,False,True
1075,60,13,Tovan,west hearth,negotiate debt,hungry,water carry,0.107974,False,True,True
1076,60,14,Nia,river gate,seek tool,guarded,repair promise,0.136496,False,False,True
1077,60,15,Ari,arrival court,care duty,steady,missed greeting,0.11948,False,False,True
1078,60,16,Fay,tool alcove,private task,wet,care favor,0.07257,False,True,True
1079,60,17,Milo,rain court,work,focused,route warning,0.038896,True,True,True
1080,61,0,Sera,west hearth,negotiate debt,wet,water carry,0.091448,False,True,False
1081,61,1,Tovan,river gate,negotiate debt,focused,repair promise,0.163522,True,False,True
1082,61,2,Nia,arrival court,seek tool,relieved,missed greeting,0.166913,False,True,True
1083,61,3,Ari,tool alcove,care duty,tired,care favor,0.128504,False,False,True
1084,61,4,Fay,rain court,private task,hungry,route warning,0.083608,False,False,True
1085,61,5,Milo,fiber loft,recover focus,guarded,tool loan,0.073502,False,True,True
1086,61,6,Sera,west hearth,rest,steady,water carry,0.107478,False,True,True
1087,61,7,Tovan,river gate,rest,wet,repair promise,0.154298,False,True,True
1088,61,8,Nia,arrival court,seek tool,focused,missed greeting,0.140916,False,True,False
1089,61,9,Ari,tool alcove,seek tool,relieved,care favor,0.142054,True,False,True
1090,61,10,Fay,rain court,care duty,tired,route warning,0.094247,False,True,True
1091,61,11,Milo,fiber loft,private task,hungry,tool loan,0.071449,False,False,True
1092,61,12,Sera,west hearth,recover focus,guarded,water carry,0.09462,False,False,True
1093,61,13,Tovan,river gate,work,steady,repair promise,0.142457,False,True,True
1094,61,14,Nia,arrival court,negotiate debt,wet,missed greeting,0.170979,False,True,True
1095,61,15,Ari,tool alcove,negotiate debt,focused,care favor,0.153963,False,True,True
1096,61,16,Fay,rain court,care duty,relieved,route warning,0.077053,False,True,False
1097,61,17,Milo,fiber loft,care duty,tired,tool loan,0.073378,True,False,True
1098,62,0,Sera,river gate,recover focus,relieved,repair promise,0.155931,False,False,True
1099,62,1,Tovan,arrival court,work,tired,missed greeting,0.198005,False,False,True
1100,62,2,Nia,tool alcove,rest,hungry,care favor,0.201396,False,True,True
1101,62,3,Ari,rain court,seek tool,guarded,route warning,0.162987,False,True,True
1102,62,4,Fay,fiber loft,seek tool,steady,tool loan,0.118091,False,True,True
1103,62,5,Milo,west hearth,private task,wet,water carry,0.077985,False,True,True
1104,62,6,Sera,river gate,private task,focused,repair promise,0.14196,True,False,True
1105,62,7,Tovan,arrival court,recover focus,relieved,missed greeting,0.18878,False,True,True
1106,62,8,Nia,tool alcove,work,tired,care favor,0.205399,False,False,True
1107,62,9,Ari,rain court,rest,hungry,route warning,0.176537,False,False,True
1108,62,10,Fay,fiber loft,negotiate debt,guarded,tool loan,0.12873,False,True,True
1109,62,11,Milo,west hearth,care duty,steady,water carry,0.105932,False,True,True
1110,62,12,Sera,river gate,care duty,wet,repair promise,0.129102,False,True,True
1111,62,13,Tovan,arrival court,recover focus,focused,missed greeting,0.146939,False,True,True
1112,62,14,Nia,tool alcove,recover focus,relieved,care favor,0.205461,True,False,True
1113,62,15,Ari,rain court,work,tired,route warning,0.188445,False,True,True
1114,62,16,Fay,fiber loft,rest,hungry,tool loan,0.141536,False,False,True
1115,62,17,Milo,west hearth,negotiate debt,guarded,water carry,0.107861,False,False,True
1116,63,0,Sera,arrival court,private task,hungry,missed greeting,0.190414,True,True,False
1117,63,1,Tovan,tool alcove,private task,guarded,care favor,0.232487,False,True,True
1118,63,2,Nia,rain court,work,steady,route warning,0.205879,False,True,True
1119,63,3,Ari,fiber loft,work,wet,tool loan,0.19747,True,False,True
1120,63,4,Fay,west hearth,rest,focused,water carry,0.152574,False,True,True
1121,63,5,Milo,river gate,negotiate debt,relieved,repair promise,0.142468,False,False,True
1122,63,6,Sera,arrival court,seek tool,tired,missed greeting,0.176443,False,False,True
1123,63,7,Tovan,tool alcove,care duty,hungry,care favor,0.223263,False,True,True
1124,63,8,Nia,rain court,recover focus,guarded,route warning,0.239882,False,True,False
1125,63,9,Ari,fiber loft,recover focus,steady,tool loan,0.21102,False,True,True
1126,63,10,Fay,west hearth,rest,wet,water carry,0.133213,False,True,True
1127,63,11,Milo,river gate,rest,focused,repair promise,0.140414,True,False,True
1128,63,12,Sera,arrival court,negotiate debt,relieved,missed greeting,0.163585,False,True,True
1129,63,13,Tovan,tool alcove,seek tool,tired,care favor,0.211422,False,False,True
1130,63,14,Nia,rain court,care duty,hungry,route warning,0.239944,False,False,True
1131,63,15,Ari,fiber loft,private task,guarded,tool loan,0.222928,False,True,True
1132,63,16,Fay,west hearth,work,steady,water carry,0.176019,False,True,False
1133,63,17,Milo,river gate,work,wet,repair promise,0.142344,True,True,True
1134,64,0,Sera,tool alcove,negotiate debt,steady,care favor,0.224897,True,False,True
1135,64,1,Tovan,rain court,seek tool,wet,route warning,0.26697,False,True,True
1136,64,2,Nia,fiber loft,care duty,focused,tool loan,0.270361,False,False,True
1137,64,3,Ari,west hearth,private task,relieved,water carry,0.231953,False,False,True
1138,64,4,Fay,river gate,recover focus,tired,repair promise,0.187056,False,True,True
1139,64,5,Milo,arrival court,rest,hungry,missed greeting,0.17695,False,True,True
1140,64,6,Sera,tool alcove,rest,guarded,care favor,0.210926,False,True,True
1141,64,7,Tovan,rain court,seek tool,steady,route warning,0.227746,False,True,True
1142,64,8,Nia,fiber loft,seek tool,wet,tool loan,0.274364,True,False,True
1143,64,9,Ari,west hearth,care duty,focused,water carry,0.245502,False,True,True
1144,64,10,Fay,river gate,private task,relieved,repair promise,0.197695,False,False,True
1145,64,11,Milo,arrival court,recover focus,tired,missed greeting,0.174897,False,False,True
1146,64,12,Sera,tool alcove,work,hungry,care favor,0.198068,False,True,True
1147,64,13,Tovan,rain court,negotiate debt,guarded,route warning,0.245905,False,True,True
1148,64,14,Nia,fiber loft,negotiate debt,steady,tool loan,0.274427,False,True,True
1149,64,15,Ari,west hearth,care duty,wet,water carry,0.227411,False,True,True
1150,64,16,Fay,river gate,care duty,focused,repair promise,0.210501,True,False,True
1151,64,17,Milo,arrival court,private task,relieved,missed greeting,0.176827,False,True,True
1152,65,0,Sera,rain court,work,focused,route warning,0.259379,False,False,True
1153,65,1,Tovan,fiber loft,rest,relieved,tool loan,0.301453,False,True,True
1154,65,2,Nia,west hearth,seek tool,tired,water carry,0.304844,False,True,True
1155,65,3,Ari,river gate,seek tool,hungry,repair promise,0.266435,False,True,True
1156,65,4,Fay,arrival court,private task,guarded,missed greeting,0.191539,False,True,False
1157,65,5,Milo,tool alcove,private task,steady,care favor,0.211433,True,False,True
1158,65,6,Sera,rain court,recover focus,wet,route warning,0.245409,False,True,True
1159,65,7,Tovan,fiber loft,work,focused,tool loan,0.292229,False,False,True
1160,65,8,Nia,west hearth,rest,relieved,water carry,0.308847,False,False,True
1161,65,9,Ari,river gate,negotiate debt,tired,repair promise,0.279985,False,True,True
1162,65,10,Fay,arrival court,care duty,hungry,missed greeting,0.232178,False,True,True
1163,65,11,Milo,tool alcove,care duty,guarded,care favor,0.20938,False,True,True
1164,65,12,Sera,rain court,recover focus,steady,route warning,0.202551,False,True,False
1165,65,13,Tovan,fiber loft,recover focus,wet,tool loan,0.280388,True,False,True
1166,65,14,Nia,west hearth,work,focused,water carry,0.30891,False,True,True
1167,65,15,Ari,river gate,rest,relieved,repair promise,0.291894,False,False,True
1168,65,16,Fay,arrival court,negotiate debt,tired,missed greeting,0.244984,False,False,True
1169,65,17,Milo,tool alcove,seek tool,hungry,care favor,0.211309,False,True,True
1170,66,0,Sera,fiber loft,private task,tired,tool loan,0.293862,True,True,True
1171,66,1,Tovan,west hearth,work,hungry,water carry,0.305936,False,True,True
1172,66,2,Nia,river gate,work,guarded,repair promise,0.339327,True,False,True
1173,66,3,Ari,arrival court,rest,steady,missed greeting,0.300918,False,True,True
1174,66,4,Fay,tool alcove,negotiate debt,wet,care favor,0.256022,False,False,True
1175,66,5,Milo,rain court,seek tool,focused,route warning,0.245916,False,False,True
1176,66,6,Sera,fiber loft,care duty,relieved,tool loan,0.279891,False,True,True
1177,66,7,Tovan,west hearth,recover focus,tired,water carry,0.326711,False,True,True
1178,66,8,Nia,river gate,recover focus,hungry,repair promise,0.34333,False,True,True
1179,66,9,Ari,arrival court,rest,guarded,missed greeting,0.284468,False,True,True
1180,66,10,Fay,tool alcove,rest,steady,care favor,0.266661,True,False,True
1181,66,11,Milo,rain court,negotiate debt,wet,route warning,0.243863,False,True,True
1182,66,12,Sera,fiber loft,seek tool,focused,tool loan,0.267033,False,False,True
1183,66,13,Tovan,west hearth,care duty,relieved,water carry,0.31487,False,False,True
1184,66,14,Nia,river gate,private task,tired,repair promise,0.343392,False,True,True
1185,66,15,Ari,arrival court,work,hungry,missed greeting,0.326376,False,True,True
1186,66,16,Fay,tool alcove,work,guarded,care favor,0.279467,False,True,True
1187,66,17,Milo,rain court,negotiate debt,steady,route warning,0.215792,True,True,True
1188,67,0,Sera,west hearth,seek tool,guarded,water carry,0.328345,False,True,True
1189,67,1,Tovan,river gate,care duty,steady,repair promise,0.370418,False,False,True
1190,67,2,Nia,arrival court,private task,wet,missed greeting,0.37381,False,False,True
1191,67,3,Ari,tool alcove,recover focus,focused,care favor,0.335401,False,True,True
1192,67,4,Fay,rain court,rest,relieved,route warning,0.290505,False,True,False
1193,67,5,Milo,fiber loft,rest,tired,tool loan,0.280399,False,True,True
1194,67,6,Sera,west hearth,seek tool,hungry,water carry,0.284374,False,True,True
1195,67,7,Tovan,river gate,seek tool,guarded,repair promise,0.361194,True,False,True
1196,67,8,Nia,arrival court,care duty,steady,missed greeting,0.377813,False,True,True
1197,67,9,Ari,tool alcove,private task,wet,care favor,0.348951,False,False,True
1198,67,10,Fay,rain court,recover focus,focused,route warning,0.301144,False,False,True
1199,67,11,Milo,fiber loft,work,relieved,tool loan,0.278345,False,True,True
1200,67,12,Sera,west hearth,negotiate debt,tired,water carry,0.301516,False,True,False
1201,67,13,Tovan,river gate,negotiate debt,hungry,repair promise,0.349353,False,True,True
1202,67,14,Nia,arrival court,care duty,guarded,missed greeting,0.347875,False,True,True
1203,67,15,Ari,tool alcove,care duty,steady,care favor,0.360859,True,False,True
1204,67,16,Fay,rain court,private task,wet,route warning,0.31395,False,True,True
1205,67,17,Milo,fiber loft,recover focus,focused,tool loan,0.280275,False,False,True
1206,68,0,Sera,river gate,rest,wet,repair promise,0.362828,False,True,True
1207,68,1,Tovan,arrival court,seek tool,focused,missed greeting,0.404901,False,True,True
1208,68,2,Nia,tool alcove,seek tool,relieved,care favor,0.408292,False,True,True
1209,68,3,Ari,rain court,private task,tired,route warning,0.339884,False,True,True
1210,68,4,Fay,fiber loft,private task,hungry,tool loan,0.324987,True,False,True
1211,68,5,Milo,west hearth,recover focus,guarded,water carry,0.314881,False,True,True
1212,68,6,Sera,river gate,work,steady,repair promise,0.348857,False,False,True
1213,68,7,Tovan,arrival court,rest,wet,missed greeting,0.395677,False,False,True
1214,68,8,Nia,tool alcove,negotiate debt,focused,care favor,0.412295,False,True,True
1215,68,9,Ari,rain court,care duty,relieved,route warning,0.383434,False,True,True
1216,68,10,Fay,fiber loft,care duty,tired,tool loan,0.335627,False,True,True
1217,68,11,Milo,west hearth,recover focus,hungry,water carry,0.282828,False,True,True
1218,68,12,Sera,river gate,recover focus,guarded,repair promise,0.335999,True,False,True
1219,68,13,Tovan,arrival court,work,steady,missed greeting,0.383836,False,True,True
1220,68,14,Nia,tool alcove,rest,wet,care favor,0.412358,False,False,True
1221,68,15,Ari,rain court,negotiate debt,focused,route warning,0.395342,False,False,True
1222,68,16,Fay,fiber loft,seek tool,relieved,tool loan,0.348432,False,True,True
1223,68,17,Milo,west hearth,private task,tired,water carry,0.314758,False,True,True
1224,69,0,Sera,arrival court,work,relieved,missed greeting,0.36731,True,True,False
1225,69,1,Tovan,tool alcove,work,tired,care favor,0.439384,True,False,True
1226,69,2,Nia,rain court,rest,hungry,route warning,0.442775,False,True,True
1227,69,3,Ari,fiber loft,negotiate debt,guarded,tool loan,0.404366,False,False,True
1228,69,4,Fay,west hearth,seek tool,steady,water carry,0.35947,False,False,True
1229,69,5,Milo,river gate,care duty,wet,repair promise,0.349364,False,True,True
1230,69,6,Sera,arrival court,recover focus,focused,missed greeting,0.38334,False,True,True
1231,69,7,Tovan,tool alcove,recover focus,relieved,care favor,0.43016,False,True,True
1232,69,8,Nia,rain court,rest,tired,route warning,0.416778,False,True,False
1233,69,9,Ari,fiber loft,rest,hungry,tool loan,0.417916,True,False,True
1234,69,10,Fay,west hearth,negotiate debt,guarded,water carry,0.370109,False,True,True
1235,69,11,Milo,river gate,seek tool,steady,repair promise,0.347311,False,False,True
1236,69,12,Sera,arrival court,care duty,wet,missed greeting,0.370482,False,False,True
1237,69,13,Tovan,tool alcove,private task,focused,care favor,0.418319,False,True,True
1238,69,14,Nia,rain court,work,relieved,route warning,0.446841,False,True,True
1239,69,15,Ari,fiber loft,work,tired,tool loan,0.429825,False,True,True
1240,69,16,Fay,west hearth,negotiate debt,hungry,water carry,0.352915,False,True,False
1241,69,17,Milo,river gate,negotiate debt,guarded,repair promise,0.34924,True,False,True
1242,70,0,Sera,tool alcove,care duty,hungry,care favor,0.431793,False,False,True
1243,70,1,Tovan,rain court,private task,guarded,route warning,0.473867,False,False,True
1244,70,2,Nia,fiber loft,recover focus,steady,tool loan,0.477258,False,True,True
1245,70,3,Ari,west hearth,rest,wet,water carry,0.438849,False,True,True
1246,70,4,Fay,river gate,rest,focused,repair promise,0.393953,False,True,True
1247,70,5,Milo,arrival court,seek tool,relieved,missed greeting,0.353847,False,True,True
1248,70,6,Sera,tool alcove,seek tool,tired,care favor,0.417822,True,False,True
1249,70,7,Tovan,rain court,care duty,hungry,route warning,0.464642,False,True,True
1250,70,8,Nia,fiber loft,private task,guarded,tool loan,0.481261,False,False,True
1251,70,9,Ari,west hearth,recover focus,steady,water carry,0.452399,False,False,True
1252,70,10,Fay,river gate,work,wet,repair promise,0.404592,False,True,True
1253,70,11,Milo,arrival court,negotiate debt,focused,missed greeting,0.381794,False,True,True
1254,70,12,Sera,tool alcove,negotiate debt,relieved,care favor,0.404964,False,True,True
1255,70,13,Tovan,rain court,care duty,tired,route warning,0.422801,False,True,True
1256,70,14,Nia,fiber loft,care duty,hungry,tool loan,0.481323,True,False,True
1257,70,15,Ari,west hearth,private task,guarded,water carry,0.464307,False,True,True
1258,70,16,Fay,river gate,recover focus,steady,repair promise,0.417398,False,False,True
1259,70,17,Milo,arrival court,work,wet,missed greeting,0.383723,False,False,True
1260,71,0,Sera,rain court,seek tool,steady,route warning,0.466276,False,True,False
1261,71,1,Tovan,fiber loft,seek tool,wet,tool loan,0.508349,False,True,True
1262,71,2,Nia,west hearth,private task,focused,water carry,0.481741,False,True,True
1263,71,3,Ari,river gate,private task,relieved,repair promise,0.473332,True,False,True
