tick,day,hour,avatar_mode,lineage,agent,place,autonomous_action,routine_phase,avatar_required,action_reason,sound_rate,smell_intensity,temperature,wetness,ceremony_pulse_hz,flower_phase_deg,tick_hash
116,9,9,absent_saved,Ledgerline,Nari,Hearth Archive,maintain_tool,morning,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",0.365848,0.461218,0.517964,0.020299,2.06,329.280624,4caf7f20dd6e2ded
117,9,10,present_passive,Orchardline,Ori,Ceremony Center,share_resource,midday,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=present_passive.",0.371008,0.462519,0.515695,0.04198,2.4,114.608388,07f236f9387cc0c1
118,9,11,idle_nearby,Rainline,Vonn,Rainwalk Threshold,maintain_tool,midday,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=idle_nearby.",0.37591,0.475375,0.494639,0.256247,2.12,245.676152,d79ea762f74da36f
119,9,12,absent_saved,Hearthline,Sova,Hearth Archive,boundary_review,midday,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=absent_saved.",0.380492,0.281774,0.610306,0.029565,2.31,27.553916,0cf18f4665896524
120,9,13,absent_saved,Routeline,Keth,Gate Ring,boundary_review,midday,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",0.384698,0.28351,0.538179,0.058494,2.17,161.84168,72c85e60019a3824
121,9,14,idle_nearby,Marketline,Melo,Market Measure,weather_watch,midday,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=idle_nearby.",0.388476,0.282353,0.553465,0.039224,2.47,306.249444,45a2f7a6c1b037e4
122,9,15,present_passive,Ledgerline,Nari,Hearth Archive,archive_update,evening,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=present_passive.",0.391779,0.283578,0.56419,0.059638,2.06,74.327208,4055a5bbf635481f
123,9,16,absent_saved,Orchardline,Ori,Ceremony Center,route_patrol,evening,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",0.394567,0.283456,0.576359,0.057607,2.4,219.654972,31909b7ad5312bc5
124,9,17,present_passive,Rainline,Vonn,Rainwalk Threshold,archive_update,evening,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=present_passive.",0.396806,0.297723,0.557191,0.295376,2.12,350.722736,0bf7b14905372fac
125,9,18,idle_nearby,Hearthline,Sova,Hearth Archive,work_project,evening,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=idle_nearby.",0.398467,0.285263,0.66788,0.087725,2.31,132.6005,3f1dbad22c85c866
126,9,19,absent_saved,Routeline,Keth,Gate Ring,work_project,evening,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",0.39953,0.284745,0.590459,0.079085,2.17,266.888264,8e9e573436ebec01
127,10,6,idle_nearby,Ledgerline,Nari,Hearth Archive,maintain_tool,morning,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=idle_nearby.",0.399983,0.466054,0.531246,0.100901,2.06,60.866028,8b3115e17e6d6f3e
128,10,7,present_passive,Orchardline,Ori,Ceremony Center,share_resource,morning,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=present_passive.",0.399819,0.467052,0.518266,0.117529,2.4,206.193792,e01dae4cc67cffa8
129,10,8,absent_saved,Rainline,Vonn,Rainwalk Threshold,maintain_tool,morning,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=absent_saved.",0.399041,0.481434,0.481558,0.357241,2.12,337.261556,3d7e49d88dd322b7
130,10,9,present_passive,Hearthline,Sova,Hearth Archive,boundary_review,morning,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=present_passive.",0.397658,0.288955,0.58249,0.149255,2.31,119.13932,ce83a64a2616a832
131,10,10,idle_nearby,Routeline,Keth,Gate Ring,boundary_review,midday,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=idle_nearby.",0.395687,0.288801,0.50313,0.146692,2.17,253.427084,997f3730ac6a3002
132,10,11,absent_saved,Marketline,Melo,Market Measure,weather_watch,midday,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",0.393153,0.289821,0.505747,0.163682,2.47,37.834848,1eb3cac17db41e8c
133,10,12,absent_saved,Ledgerline,Nari,Hearth Archive,archive_update,midday,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=absent_saved.",0.390087,0.289251,0.515353,0.154178,2.06,165.912612,9eb0c17fa0102525
134,10,13,idle_nearby,Orchardline,Ori,Ceremony Center,route_patrol,midday,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=idle_nearby.",0.386526,0.290818,0.523562,0.180306,2.4,311.240376,7022f2cff0daf5e0
135,10,14,present_passive,Rainline,Vonn,Rainwalk Threshold,archive_update,midday,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=present_passive.",0.382514,0.30471,0.508751,0.411839,2.12,82.30814,70044535062ab815
136,10,15,absent_saved,Hearthline,Sova,Hearth Archive,work_project,evening,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",0.378102,0.291651,0.628044,0.194191,2.31,224.185904,88fa6de90f507d08
137,10,16,present_passive,Routeline,Keth,Gate Ring,work_project,evening,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=present_passive.",0.373343,0.292216,0.55884,0.203602,2.17,358.473668,7b851cfc2221c38d
138,10,17,idle_nearby,Marketline,Melo,Market Measure,agent_checkin,evening,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=idle_nearby.",0.488296,0.291322,0.569991,0.188708,2.47,142.881432,1a785f2ab9cf24a8
139,10,18,absent_saved,Ledgerline,Nari,Hearth Archive,maintain_tool,evening,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",0.363024,0.471291,0.575825,0.188181,2.06,270.959196,f2e519d7f71d46a6
140,10,19,absent_saved,Orchardline,Ori,Ceremony Center,share_resource,evening,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",0.357591,0.471901,0.576147,0.198357,2.4,56.28696,08e0e14cfce1272e
141,11,6,present_passive,Hearthline,Sova,Hearth Archive,boundary_review,morning,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=present_passive.",0.352064,0.293584,0.596186,0.226403,2.31,210.724724,e808f491d0cb3cd9
142,11,7,absent_saved,Routeline,Keth,Gate Ring,boundary_review,morning,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",0.346512,0.293905,0.50456,0.231746,2.17,345.012488,6184ce3d0100265b
143,11,8,present_passive,Marketline,Melo,Market Measure,weather_watch,morning,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=present_passive.",0.341003,0.292679,0.499069,0.21132,2.47,129.420252,2ee3d69f737ab181
144,11,9,idle_nearby,Ledgerline,Nari,Hearth Archive,archive_update,morning,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=idle_nearby.",0.335605,0.29368,0.493041,0.227997,2.06,257.498016,a6ba9e705bbbb03b
145,11,10,absent_saved,Orchardline,Ori,Ceremony Center,route_patrol,midday,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",0.330384,0.29291,0.494913,0.21517,2.4,42.82578,15da06ca0571e703
146,11,11,absent_saved,Rainline,Vonn,Rainwalk Threshold,archive_update,midday,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=absent_saved.",0.325406,0.307364,0.470661,0.456064,2.12,173.893544,8355e1749932273f
147,11,12,idle_nearby,Hearthline,Sova,Hearth Archive,work_project,midday,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=idle_nearby.",0.32073,0.293744,0.586367,0.229062,2.31,315.771308,75e604a5eae699ae
148,11,13,present_passive,Routeline,Keth,Gate Ring,work_project,midday,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=present_passive.",0.316416,0.292678,0.519842,0.2113,2.17,90.059072,c8e41a12f299c4a7
149,11,14,absent_saved,Marketline,Melo,Market Measure,agent_checkin,midday,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=absent_saved.",0.432516,0.293328,0.531516,0.222134,2.47,234.466836,f72e92fba1fd0451
150,11,15,present_passive,Ledgerline,Nari,Hearth Archive,maintain_tool,evening,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=present_passive.",0.309078,0.471681,0.547984,0.194685,2.06,2.5446,773a35e0ed0103e2
151,11,16,idle_nearby,Orchardline,Ori,Ceremony Center,share_resource,evening,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=idle_nearby.",0.306144,0.471473,0.560326,0.191219,2.4,147.872364,6199174c0fa4d700
152,11,17,absent_saved,Rainline,Vonn,Rainwalk Threshold,maintain_tool,evening,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=absent_saved.",0.303752,0.485681,0.541274,0.428012,2.12,278.940128,afef458904fa2b77
153,11,18,absent_saved,Hearthline,Sova,Hearth Archive,boundary_review,evening,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=absent_saved.",0.30193,0.29061,0.657186,0.17684,2.31,60.817892,fb796fa3681182e9
154,11,19,idle_nearby,Routeline,Keth,Gate Ring,boundary_review,evening,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=idle_nearby.",0.300701,0.290382,0.579186,0.173027,2.17,195.105656,4aa938ca5bda7b82
155,12,6,absent_saved,Ledgerline,Nari,Hearth Archive,archive_update,morning,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=absent_saved.",0.30008,0.290608,0.522139,0.176795,2.06,349.08342,f96a409e0c70a0a9
156,12,7,present_passive,Orchardline,Ori,Ceremony Center,route_patrol,morning,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=present_passive.",0.300074,0.29051,0.511351,0.175159,2.4,134.411184,4a33c5e91f771aaa
157,12,8,idle_nearby,Rainline,Vonn,Rainwalk Threshold,archive_update,morning,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=idle_nearby.",0.300685,0.302948,0.47853,0.382472,2.12,265.478948,c744c3c699c860a6
158,12,9,absent_saved,Hearthline,Sova,Hearth Archive,work_project,morning,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",0.301903,0.288001,0.584398,0.133352,2.31,47.356712,5f439b9dee95e855
159,12,10,absent_saved,Routeline,Keth,Gate Ring,work_project,midday,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",0.303715,0.288327,0.504079,0.138781,2.17,181.644476,686d897e88b30928
160,12,11,idle_nearby,Marketline,Melo,Market Measure,agent_checkin,midday,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=idle_nearby.",0.426097,0.288391,0.508607,0.139845,2.47,326.05224,8257dab8f3cb0a69
161,12,12,present_passive,Ledgerline,Nari,Hearth Archive,maintain_tool,midday,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=present_passive.",0.309021,0.467074,0.519707,0.117896,2.06,94.130004,10d7e61268ba337a
162,12,13,absent_saved,Orchardline,Ori,Ceremony Center,share_resource,midday,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",0.312451,0.466467,0.532264,0.107787,2.4,239.457768,7dae1026a3c8fcb4
163,12,14,present_passive,Rainline,Vonn,Rainwalk Threshold,maintain_tool,midday,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=present_passive.",0.316343,0.479673,0.518825,0.327888,2.12,10.525532,84687a42a6822a04
164,12,15,idle_nearby,Hearthline,Sova,Hearth Archive,boundary_review,evening,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=idle_nearby.",0.320651,0.285375,0.640597,0.089579,2.31,152.403296,64b24d55803f0de4
165,12,16,absent_saved,Routeline,Keth,Gate Ring,boundary_review,evening,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",0.32532,0.284109,0.575053,0.06849,2.17,286.69106,f49a319f12bf8f5e
166,12,17,absent_saved,Marketline,Melo,Market Measure,weather_watch,evening,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",0.330294,0.284681,0.583275,0.07801,2.47,71.098824,7f07fc7a375f34a9
167,12,18,idle_nearby,Ledgerline,Nari,Hearth Archive,archive_update,evening,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=idle_nearby.",0.335511,0.283536,0.591334,0.05894,2.06,199.176588,1d9a1a30bb4ff19b
168,12,19,present_passive,Orchardline,Ori,Ceremony Center,route_patrol,evening,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=present_passive.",0.340906,0.28333,0.593289,0.055503,2.4,344.504352,8cc9bc1fd75f3e04
169,13,6,present_passive,Hearthline,Sova,Hearth Archive,work_project,morning,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=present_passive.",0.346414,0.28353,0.616294,0.058838,2.31,138.942116,a98ed97730cb5c72
170,13,7,idle_nearby,Routeline,Keth,Gate Ring,work_project,morning,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=idle_nearby.",0.351966,0.282447,0.527475,0.040789,2.17,273.22988,ddce65da39ac7067
171,13,8,absent_saved,Marketline,Melo,Market Measure,agent_checkin,morning,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=absent_saved.",0.477494,0.281926,0.520575,0.032099,2.47,57.637644,665f33b0bbe02e1d
172,13,9,absent_saved,Ledgerline,Nari,Hearth Archive,maintain_tool,morning,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",0.362929,0.461602,0.517197,0.026694,2.06,185.715408,058d4634d183cdbf
173,13,10,idle_nearby,Orchardline,Ori,Ceremony Center,share_resource,midday,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=idle_nearby.",0.368205,0.460818,0.519098,0.013628,2.4,331.043172,0ce90d06ab534fb2
174,13,11,present_passive,Rainline,Vonn,Rainwalk Threshold,maintain_tool,midday,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=present_passive.",0.373256,0.474923,0.495542,0.248722,2.12,102.110936,af6e0b92ee17fc51
175,13,12,absent_saved,Hearthline,Sova,Hearth Archive,boundary_review,midday,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=absent_saved.",0.378021,0.281802,0.610249,0.030041,2.31,243.9887,0f30dd99dfcbe38c
176,13,13,present_passive,Routeline,Keth,Gate Ring,boundary_review,midday,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=present_passive.",0.38244,0.280513,0.544173,0.008544,2.17,18.276464,3b03d0a00ee03b38
177,13,14,idle_nearby,Marketline,Melo,Market Measure,weather_watch,midday,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=idle_nearby.",0.386459,0.28184,0.554492,0.030662,2.47,162.684228,bea351698ff641b0
178,13,15,absent_saved,Ledgerline,Nari,Hearth Archive,archive_update,evening,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=absent_saved.",0.390028,0.281066,0.569214,0.01777,2.06,290.761992,200d0d51fbf93ae9
179,13,16,absent_saved,Orchardline,Ori,Ceremony Center,route_patrol,evening,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",0.393103,0.281353,0.580566,0.022553,2.4,76.089756,7d893c692b83d703
180,13,17,idle_nearby,Rainline,Vonn,Rainwalk Threshold,archive_update,evening,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=idle_nearby.",0.395647,0.295462,0.561713,0.257694,2.12,207.15752,a2f618871456a421
181,13,18,present_passive,Hearthline,Sova,Hearth Archive,work_project,evening,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=present_passive.",0.397628,0.280705,0.676997,0.011746,2.31,349.035284,0d949807a5b98138
182,13,19,absent_saved,Routeline,Keth,Gate Ring,work_project,evening,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",0.399022,0.281505,0.596939,0.025086,2.17,123.323048,81c35c777e829f5e
183,14,6,idle_nearby,Ledgerline,Nari,Hearth Archive,maintain_tool,morning,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=idle_nearby.",0.399811,0.462661,0.538032,0.044347,2.06,277.300812,6dc70ad1e2bcf417
184,14,7,absent_saved,Orchardline,Ori,Ceremony Center,share_resource,morning,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",0.399985,0.462559,0.527251,0.042656,2.4,62.628576,bf9de659040280c5
185,14,8,absent_saved,Rainline,Vonn,Rainwalk Threshold,maintain_tool,morning,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=absent_saved.",0.399544,0.47699,0.490446,0.283171,2.12,193.69634,647fef7fd0b528c2
186,14,9,idle_nearby,Hearthline,Sova,Hearth Archive,boundary_review,morning,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=idle_nearby.",0.398491,0.283601,0.593199,0.060011,2.31,335.574104,0f9a997e624cf9e9
187,14,10,present_passive,Routeline,Keth,Gate Ring,boundary_review,midday,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=present_passive.",0.39684,0.28369,0.513352,0.061506,2.17,109.861868,94f09b5267c948f7
188,14,11,absent_saved,Marketline,Melo,Market Measure,weather_watch,midday,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",0.394612,0.284749,0.51589,0.079156,2.47,254.269632,2aef5183d93183f6
189,14,12,present_passive,Ledgerline,Nari,Hearth Archive,archive_update,midday,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=present_passive.",0.391833,0.285276,0.523302,0.087937,2.06,22.347396,810f2de4af7364e5
190,14,13,idle_nearby,Orchardline,Ori,Ceremony Center,route_patrol,midday,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=idle_nearby.",0.388538,0.284785,0.535628,0.079749,2.4,167.67516,c2ea39615f0c69da
191,14,14,absent_saved,Rainline,Vonn,Rainwalk Threshold,archive_update,midday,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=absent_saved.",0.384768,0.299144,0.519884,0.319065,2.12,298.742924,5813336ed1caf451
192,14,15,absent_saved,Hearthline,Sova,Hearth Archive,work_project,evening,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",0.380569,0.287277,0.636792,0.121288,2.31,80.620688,1ac7bd95eaa7a521
193,14,16,idle_nearby,Routeline,Keth,Gate Ring,work_project,evening,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=idle_nearby.",0.375994,0.287291,0.568691,0.121512,2.17,214.908452,09948b5916d644d5
194,14,17,present_passive,Marketline,Melo,Market Measure,agent_checkin,evening,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=present_passive.",0.491097,0.287023,0.57859,0.117047,2.47,359.316216,e158151b57e0ebe3
195,14,18,absent_saved,Ledgerline,Nari,Hearth Archive,maintain_tool,evening,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",0.365941,0.468843,0.580722,0.147378,2.06,127.39398,828cad9417d0270e
196,14,19,present_passive,Orchardline,Ori,Ceremony Center,share_resource,evening,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=present_passive.",0.360588,0.468609,0.582731,0.143487,2.4,272.721744,c223a76f10de22a4
197,15,6,absent_saved,Hearthline,Sova,Hearth Archive,boundary_review,morning,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=absent_saved.",0.355104,0.289108,0.605137,0.151806,2.31,67.159508,e8fa341f16d1697e
198,15,7,absent_saved,Routeline,Keth,Gate Ring,boundary_review,morning,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",0.349557,0.290668,0.511034,0.1778,2.17,201.447272,9ee04cfe61af9314
199,15,8,idle_nearby,Marketline,Melo,Market Measure,weather_watch,morning,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=idle_nearby.",0.344016,0.290368,0.503691,0.172797,2.47,345.855036,ea8fee82b1d3126f
200,15,9,present_passive,Ledgerline,Nari,Hearth Archive,archive_update,morning,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=present_passive.",0.338549,0.291674,0.497052,0.194573,2.06,113.9328,b543d086b6e25e6c
201,15,10,absent_saved,Orchardline,Ori,Ceremony Center,route_patrol,midday,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",0.333223,0.291628,0.497478,0.193794,2.4,259.260564,6938d41a51bf28aa
202,15,11,present_passive,Rainline,Vonn,Rainwalk Threshold,archive_update,midday,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=present_passive.",0.328103,0.305227,0.474934,0.420458,2.12,30.328328,0dd917d84cf84e2d
203,15,12,idle_nearby,Hearthline,Sova,Hearth Archive,work_project,midday,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=idle_nearby.",0.323254,0.291707,0.590439,0.195124,2.31,172.206092,5df8c4c46cc2ada0
204,15,13,absent_saved,Routeline,Keth,Gate Ring,work_project,midday,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",0.318735,0.292485,0.520229,0.20808,2.17,306.493856,bdc58c5b40478c23
205,15,14,absent_saved,Marketline,Melo,Market Measure,agent_checkin,midday,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=absent_saved.",0.434601,0.292728,0.532716,0.212134,2.47,90.90162,28ec6b0026da7378
206,15,15,idle_nearby,Ledgerline,Nari,Hearth Archive,maintain_tool,evening,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=idle_nearby.",0.310904,0.472968,0.545411,0.216127,2.06,218.979384,0c5bb7b7fe04f77e
207,15,16,present_passive,Orchardline,Ori,Ceremony Center,share_resource,evening,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=present_passive.",0.307689,0.47313,0.557013,0.218827,2.4,4.307148,02fe365e66b6763b
208,15,17,absent_saved,Rainline,Vonn,Rainwalk Threshold,maintain_tool,evening,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=absent_saved.",0.304996,0.48674,0.539155,0.445672,2.12,135.374912,1b80336a61481559
209,15,18,present_passive,Hearthline,Sova,Hearth Archive,boundary_review,evening,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=present_passive.",0.302858,0.293953,0.6505,0.232554,2.31,277.252676,a5681614c2fb04e2
210,15,19,idle_nearby,Routeline,Keth,Gate Ring,boundary_review,evening,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=idle_nearby.",0.301301,0.293665,0.57262,0.227748,2.17,51.54044,07ccaa2ce1931a2a
211,16,6,absent_saved,Ledgerline,Nari,Hearth Archive,archive_update,morning,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=absent_saved.",0.300345,0.293271,0.516812,0.22118,2.06,205.518204,84fddb1e3c9df5d4
212,16,7,idle_nearby,Orchardline,Ori,Ceremony Center,route_patrol,morning,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=idle_nearby.",0.300001,0.292054,0.508262,0.200894,2.4,350.845968,e067f9ce8adfc225
213,16,8,present_passive,Rainline,Vonn,Rainwalk Threshold,archive_update,morning,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=present_passive.",0.300274,0.306501,0.471424,0.44169,2.12,121.913732,0f17f68dc74161b2
214,16,9,absent_saved,Hearthline,Sova,Hearth Archive,work_project,morning,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",0.30116,0.291682,0.577036,0.194702,2.31,263.791496,8d5d678a8ae36428
215,16,10,present_passive,Routeline,Keth,Gate Ring,work_project,midday,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=present_passive.",0.302649,0.292343,0.496046,0.205721,2.17,38.07926,a94707cc5fff2248
216,16,11,idle_nearby,Marketline,Melo,Market Measure,agent_checkin,midday,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=idle_nearby.",0.424721,0.292444,0.5005,0.207405,2.47,182.487024,7aa90e5d59d164fe
217,16,12,absent_saved,Ledgerline,Nari,Hearth Archive,maintain_tool,midday,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",0.307352,0.471999,0.509857,0.19998,2.06,310.564788,42b510c4dda7c4c5
218,16,13,absent_saved,Orchardline,Ori,Ceremony Center,share_resource,midday,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",0.310509,0.471873,0.521453,0.197876,2.4,95.892552,b3fbf36f977cef0e
219,16,14,idle_nearby,Rainline,Vonn,Rainwalk Threshold,maintain_tool,midday,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=idle_nearby.",0.314153,0.485304,0.507564,0.421734,2.12,226.960316,0791f27316aca79d
220,16,15,present_passive,Hearthline,Sova,Hearth Archive,boundary_review,evening,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=present_passive.",0.318239,0.289401,0.632544,0.15669,2.31,8.83808,c8bbd8225fd07cd9
221,16,16,absent_saved,Routeline,Keth,Gate Ring,boundary_review,evening,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",0.322717,0.289272,0.564729,0.154525,2.17,143.125844,aece7cdf056820eb
222,16,17,present_passive,Marketline,Melo,Market Measure,weather_watch,evening,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=present_passive.",0.327531,0.288969,0.574697,0.149489,2.47,287.533608,b30161e8a1fcf608
223,16,18,idle_nearby,Ledgerline,Nari,Hearth Archive,archive_update,evening,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=idle_nearby.",0.332622,0.288308,0.58179,0.13847,2.06,55.611372,3bde4aba43fd2f50
224,16,19,absent_saved,Orchardline,Ori,Ceremony Center,route_patrol,evening,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",0.337928,0.287975,0.584,0.132913,2.4,200.939136,23ba674a4e55b48f
