tick,day,resident,absent_ticks,offscreen_activity,progress_before,progress_after,resource_delta,interaction_without_avatar,visible_after_return
843,47,Ari,19,ambient household tick,0.633357,0.647357,1,True,True
844,47,Fay,20,ambient household tick,0.586448,0.600448,0,True,True
845,47,Milo,21,ambient household tick,0.552773,0.566773,0,True,True
846,48,Sera,22,resident schedule advanced,0.64237,0.66837,1,True,True
847,48,Tovan,23,ambient household tick,0.684443,0.698443,0,True,True
848,48,Nia,24,ambient household tick,0.687834,0.701834,0,True,True
849,48,Ari,25,ambient household tick,0.649426,0.663426,0,True,True
850,48,Fay,26,ambient household tick,0.604529,0.618529,0,True,True
851,48,Milo,4,ambient household tick,0.594423,0.608423,1,True,True
852,48,Sera,5,ambient household tick,0.628399,0.642399,0,True,True
853,48,Tovan,6,ambient household tick,0.675219,0.689219,-1,True,True
854,48,Nia,7,resident schedule advanced,0.691837,0.717837,0,True,True
855,48,Ari,8,ambient household tick,0.662975,0.676975,0,True,True
856,48,Fay,9,ambient household tick,0.615168,0.629168,1,True,True
857,48,Milo,10,ambient household tick,0.59237,0.60637,0,True,True
858,48,Sera,11,ambient household tick,0.615541,0.629541,0,True,True
859,48,Tovan,12,ambient household tick,0.663378,0.677378,0,True,True
860,48,Nia,13,ambient household tick,0.6919,0.7059,0,True,True
861,48,Ari,14,ambient household tick,0.674884,0.688884,1,True,True
862,48,Fay,15,resident schedule advanced,0.627974,0.653974,0,True,True
863,48,Milo,16,resident schedule advanced,0.5943,0.6203,0,True,True
864,49,Sera,17,ambient household tick,0.695667,0.709667,1,True,True
865,49,Tovan,18,ambient household tick,0.737741,0.751741,0,True,True
866,49,Nia,19,ambient household tick,0.741132,0.755132,0,True,True
867,49,Ari,20,ambient household tick,0.702723,0.716723,0,True,True
868,49,Fay,21,ambient household tick,0.657827,0.671827,-1,True,True
869,49,Milo,22,resident schedule advanced,0.647721,0.673721,1,True,True
870,49,Sera,23,ambient household tick,0.681696,0.695696,0,True,True
871,49,Tovan,24,ambient household tick,0.728516,0.742516,0,True,True
872,49,Nia,25,ambient household tick,0.745135,0.759135,0,True,True
873,49,Ari,26,ambient household tick,0.716273,0.730273,0,True,True
874,49,Fay,4,ambient household tick,0.668466,0.682466,1,True,True
875,49,Milo,5,ambient household tick,0.645668,0.659668,0,True,True
876,49,Sera,6,ambient household tick,0.668838,0.682838,-1,True,True
877,49,Tovan,7,resident schedule advanced,0.716675,0.742675,0,True,True
878,49,Nia,8,ambient household tick,0.745197,0.759197,0,True,True
879,49,Ari,9,ambient household tick,0.728181,0.742181,1,True,True
880,49,Fay,10,ambient household tick,0.681272,0.695272,0,True,True
881,49,Milo,11,ambient household tick,0.647597,0.661597,0,True,True
882,50,Sera,12,ambient household tick,0.743437,0.757437,1,True,True
883,50,Tovan,13,ambient household tick,0.785511,0.799511,-1,True,True
884,50,Nia,14,resident schedule advanced,0.788902,0.814902,0,True,True
885,50,Ari,15,ambient household tick,0.750493,0.764493,0,True,True
886,50,Fay,16,ambient household tick,0.705597,0.719597,0,True,True
887,50,Milo,17,ambient household tick,0.695491,0.709491,1,True,True
888,50,Sera,18,ambient household tick,0.729466,0.743466,0,True,True
889,50,Tovan,19,ambient household tick,0.776287,0.790287,0,True,True
890,50,Nia,20,ambient household tick,0.792905,0.806905,0,True,True
891,50,Ari,21,ambient household tick,0.764043,0.778043,-1,True,True
892,50,Fay,22,resident schedule advanced,0.716236,0.742236,1,True,True
893,50,Milo,23,ambient household tick,0.693438,0.707438,0,True,True
894,50,Sera,24,ambient household tick,0.716609,0.730609,0,True,True
895,50,Tovan,25,ambient household tick,0.764446,0.778446,0,True,True
896,50,Nia,26,ambient household tick,0.792968,0.806968,0,True,True
897,50,Ari,4,ambient household tick,0.775952,0.789952,1,True,True
898,50,Fay,5,ambient household tick,0.729042,0.743042,0,True,True
899,50,Milo,6,ambient household tick,0.695367,0.709367,-1,True,True
900,51,Sera,7,resident schedule advanced,0.773464,0.799464,1,True,True
901,51,Tovan,8,ambient household tick,0.815537,0.829537,0,True,True
902,51,Nia,9,ambient household tick,0.818929,0.832929,0,True,True
903,51,Ari,10,ambient household tick,0.78052,0.79452,0,True,True
904,51,Fay,11,ambient household tick,0.735624,0.749624,0,True,True
905,51,Milo,12,ambient household tick,0.725518,0.739518,1,True,True
906,51,Sera,13,ambient household tick,0.759493,0.773493,-1,True,True
907,51,Tovan,14,resident schedule advanced,0.806313,0.832313,0,True,True
908,51,Nia,15,ambient household tick,0.822932,0.836932,0,True,True
909,51,Ari,16,ambient household tick,0.79407,0.80807,0,True,True
910,51,Fay,17,ambient household tick,0.746263,0.760263,1,True,True
911,51,Milo,18,ambient household tick,0.723464,0.737464,0,True,True
912,51,Sera,19,ambient household tick,0.746635,0.760635,0,True,True
913,51,Tovan,20,ambient household tick,0.794472,0.808472,0,True,True
914,51,Nia,21,ambient household tick,0.822994,0.836994,-1,True,True
915,51,Ari,22,resident schedule advanced,0.805978,0.831978,1,True,True
916,51,Fay,23,ambient household tick,0.759069,0.773069,0,True,True
917,51,Milo,24,resident schedule advanced,0.725394,0.751394,0,True,True
918,52,Sera,25,ambient household tick,0.789844,0.803844,1,True,True
919,52,Tovan,26,ambient household tick,0.831917,0.845917,0,True,True
920,52,Nia,4,ambient household tick,0.835309,0.849309,0,True,True
921,52,Ari,5,ambient household tick,0.7969,0.8109,-1,True,True
922,52,Fay,6,resident schedule advanced,0.752004,0.778004,0,True,True
923,52,Milo,7,ambient household tick,0.741897,0.755897,1,True,True
924,52,Sera,8,ambient household tick,0.775873,0.789873,0,True,True
925,52,Tovan,9,ambient household tick,0.822693,0.836693,0,True,True
926,52,Nia,10,ambient household tick,0.839312,0.853312,0,True,True
927,52,Ari,11,ambient household tick,0.81045,0.82445,0,True,True
928,52,Fay,12,ambient household tick,0.762643,0.776643,1,True,True
929,52,Milo,13,ambient household tick,0.739844,0.753844,-1,True,True
930,52,Sera,14,resident schedule advanced,0.763015,0.789015,0,True,True
931,52,Tovan,15,ambient household tick,0.810852,0.824852,0,True,True
932,52,Nia,16,ambient household tick,0.839374,0.853374,0,True,True
933,52,Ari,17,ambient household tick,0.822358,0.836358,1,True,True
934,52,Fay,18,ambient household tick,0.775448,0.789448,0,True,True
935,52,Milo,19,ambient household tick,0.741774,0.755774,0,True,True
936,53,Sera,20,ambient household tick,0.809221,0.823221,1,True,True
937,53,Tovan,21,resident schedule advanced,0.851294,0.877294,0,True,True
938,53,Nia,22,ambient household tick,0.854685,0.868685,0,True,True
939,53,Ari,23,ambient household tick,0.816277,0.830277,0,True,True
940,53,Fay,24,ambient household tick,0.77138,0.78538,0,True,True
941,53,Milo,25,ambient household tick,0.761274,0.775274,1,True,True
942,53,Sera,26,ambient household tick,0.79525,0.80925,0,True,True
943,53,Tovan,4,ambient household tick,0.84207,0.85607,0,True,True
944,53,Nia,5,ambient household tick,0.858688,0.872688,-1,True,True
945,53,Ari,6,resident schedule advanced,0.829826,0.855826,0,True,True
946,53,Fay,7,ambient household tick,0.782019,0.796019,1,True,True
947,53,Milo,8,ambient household tick,0.759221,0.773221,0,True,True
948,53,Sera,9,ambient household tick,0.782392,0.796392,0,True,True
949,53,Tovan,10,ambient household tick,0.830229,0.844229,0,True,True
950,53,Nia,11,ambient household tick,0.858751,0.872751,0,True,True
951,53,Ari,12,ambient household tick,0.841735,0.855735,1,True,True
952,53,Fay,13,ambient household tick,0.794825,0.808825,-1,True,True
953,53,Milo,14,resident schedule advanced,0.761151,0.787151,0,True,True
954,54,Sera,15,resident schedule advanced,0.845483,0.871483,1,True,True
955,54,Tovan,16,ambient household tick,0.887556,0.901556,0,True,True
956,54,Nia,17,ambient household tick,0.890948,0.904948,0,True,True
957,54,Ari,18,ambient household tick,0.852539,0.866539,0,True,True
958,54,Fay,19,ambient household tick,0.807643,0.821643,0,True,True
959,54,Milo,20,ambient household tick,0.797537,0.811537,1,True,True
960,54,Sera,21,resident schedule advanced,0.831512,0.857512,0,True,True
961,54,Tovan,22,ambient household tick,0.878332,0.892332,0,True,True
962,54,Nia,23,ambient household tick,0.894951,0.908951,0,True,True
963,54,Ari,24,ambient household tick,0.866089,0.880089,0,True,True
964,54,Fay,25,ambient household tick,0.818282,0.832282,1,True,True
965,54,Milo,26,ambient household tick,0.795483,0.809483,0,True,True
966,54,Sera,4,ambient household tick,0.818654,0.832654,0,True,True
967,54,Tovan,5,ambient household tick,0.866491,0.880491,-1,True,True
968,54,Nia,6,resident schedule advanced,0.895013,0.921013,0,True,True
969,54,Ari,7,ambient household tick,0.877997,0.891997,1,True,True
970,54,Fay,8,ambient household tick,0.831088,0.845088,0,True,True
971,54,Milo,9,resident schedule advanced,0.797413,0.823413,0,True,True
972,55,Sera,10,ambient household tick,0.896994,0.910994,1,True,True
973,55,Tovan,11,ambient household tick,0.939068,0.953068,0,True,True
974,55,Nia,12,ambient household tick,0.942459,0.956459,-1,True,True
975,55,Ari,13,resident schedule advanced,0.90405,0.93005,0,True,True
976,55,Fay,14,ambient household tick,0.859154,0.873154,0,True,True
977,55,Milo,15,ambient household tick,0.849048,0.863048,1,True,True
978,55,Sera,16,ambient household tick,0.883023,0.897023,0,True,True
979,55,Tovan,17,ambient household tick,0.929844,0.943844,0,True,True
980,55,Nia,18,ambient household tick,0.946462,0.960462,0,True,True
981,55,Ari,19,ambient household tick,0.9176,0.9316,0,True,True
982,55,Fay,20,ambient household tick,0.869793,0.883793,1,True,True
983,55,Milo,21,resident schedule advanced,0.846995,0.872995,0,True,True
984,55,Sera,22,ambient household tick,0.870166,0.884166,0,True,True
985,55,Tovan,23,ambient household tick,0.918003,0.932003,0,True,True
986,55,Nia,24,ambient household tick,0.946525,0.960525,0,True,True
987,55,Ari,25,ambient household tick,0.929509,0.943509,1,True,True
988,55,Fay,26,ambient household tick,0.882599,0.896599,0,True,True
989,55,Milo,4,ambient household tick,0.848924,0.862924,0,True,True
990,56,Sera,5,resident schedule advanced,0.948099,0.974099,1,True,True
991,56,Tovan,6,ambient household tick,0.977064,0.991064,0,True,True
992,56,Nia,7,ambient household tick,0.977064,0.991064,0,True,True
993,56,Ari,8,ambient household tick,0.955155,0.969155,0,True,True
994,56,Fay,9,ambient household tick,0.910259,0.924259,0,True,True
995,56,Milo,10,ambient household tick,0.900153,0.914153,1,True,True
996,56,Sera,11,ambient household tick,0.934128,0.948128,0,True,True
997,56,Tovan,12,ambient household tick,0.977064,0.991064,-1,True,True
998,56,Nia,13,resident schedule advanced,0.977064,1.0,0,True,True
999,56,Ari,14,ambient household tick,0.968705,0.982705,0,True,True
1000,56,Fay,15,ambient household tick,0.920898,0.934898,1,True,True
1001,56,Milo,16,ambient household tick,0.898099,0.912099,0,True,True
1002,56,Sera,17,ambient household tick,0.92127,0.93527,0,True,True
1003,56,Tovan,18,ambient household tick,0.969107,0.983107,0,True,True
1004,56,Nia,19,ambient household tick,0.977064,0.991064,0,True,True
1005,56,Ari,20,ambient household tick,0.977064,0.991064,1,True,True
1006,56,Fay,21,resident schedule advanced,0.933704,0.959704,0,True,True
1007,56,Milo,22,ambient household tick,0.900029,0.914029,0,True,True
1008,57,Sera,23,resident schedule advanced,0.977997,1.0,1,True,True
1009,57,Tovan,24,ambient household tick,0.977997,0.991997,0,True,True
1010,57,Nia,25,ambient household tick,0.977997,0.991997,0,True,True
1011,57,Ari,26,ambient household tick,0.977997,0.991997,0,True,True
1012,57,Fay,4,ambient household tick,0.945674,0.959674,-1,True,True
1013,57,Milo,5,resident schedule advanced,0.935568,0.961568,1,True,True
1014,57,Sera,6,ambient household tick,0.969544,0.983544,0,True,True
1015,57,Tovan,7,ambient household tick,0.977997,0.991997,0,True,True
1016,57,Nia,8,ambient household tick,0.977997,0.991997,0,True,True
1017,57,Ari,9,ambient household tick,0.977997,0.991997,0,True,True
1018,57,Fay,10,ambient household tick,0.956314,0.970314,1,True,True
1019,57,Milo,11,ambient household tick,0.933515,0.947515,0,True,True
1020,57,Sera,12,ambient household tick,0.956686,0.970686,-1,True,True
1021,57,Tovan,13,resident schedule advanced,0.977997,1.0,0,True,True
1022,57,Nia,14,ambient household tick,0.977997,0.991997,0,True,True
1023,57,Ari,15,ambient household tick,0.977997,0.991997,1,True,True
1024,57,Fay,16,ambient household tick,0.969119,0.983119,0,True,True
1025,57,Milo,17,resident schedule advanced,0.935445,0.961445,0,True,True
1026,58,Sera,18,ambient household tick,0.002384,0.016384,1,True,True
1027,58,Tovan,19,ambient household tick,0.044457,0.058457,-1,True,True
1028,58,Nia,20,resident schedule advanced,0.047848,0.073848,0,True,True
1029,58,Ari,21,ambient household tick,0.00944,0.02344,0,True,True
1030,58,Fay,22,ambient household tick,0.002384,0.016384,0,True,True
1031,58,Milo,23,ambient household tick,0.002384,0.016384,1,True,True
1032,58,Sera,24,ambient household tick,0.002384,0.016384,0,True,True
1033,58,Tovan,25,ambient household tick,0.035233,0.049233,0,True,True
1034,58,Nia,26,ambient household tick,0.051852,0.065852,0,True,True
1035,58,Ari,4,ambient household tick,0.02299,0.03699,-1,True,True
1036,58,Fay,5,resident schedule advanced,0.002384,0.028384,1,True,True
1037,58,Milo,6,ambient household tick,0.002384,0.016384,0,True,True
1038,58,Sera,7,ambient household tick,0.002384,0.016384,0,True,True
1039,58,Tovan,8,ambient household tick,0.023392,0.037392,0,True,True
1040,58,Nia,9,ambient household tick,0.051914,0.065914,0,True,True
1041,58,Ari,10,ambient household tick,0.034898,0.048898,1,True,True
1042,58,Fay,11,ambient household tick,0.002384,0.016384,0,True,True
1043,58,Milo,12,ambient household tick,0.002384,0.016384,-1,True,True
1044,59,Sera,13,ambient household tick,0.019061,0.033061,1,True,True
1045,59,Tovan,14,ambient household tick,0.061135,0.075135,0,True,True
1046,59,Nia,15,ambient household tick,0.064526,0.078526,0,True,True
1047,59,Ari,16,ambient household tick,0.026117,0.040117,0,True,True
1048,59,Fay,17,ambient household tick,0.0,0.014,0,True,True
1049,59,Milo,18,ambient household tick,0.0,0.014,1,True,True
1050,59,Sera,19,ambient household tick,0.00509,0.01909,-1,True,True
1051,59,Tovan,20,resident schedule advanced,0.05191,0.07791,0,True,True
1052,59,Nia,21,ambient household tick,0.068529,0.082529,0,True,True
1053,59,Ari,22,ambient household tick,0.039667,0.053667,0,True,True
1054,59,Fay,23,ambient household tick,0.0,0.014,1,True,True
1055,59,Milo,24,ambient household tick,0.0,0.014,0,True,True
1056,59,Sera,25,ambient household tick,0.0,0.014,0,True,True
1057,59,Tovan,26,ambient household tick,0.04007,0.05407,0,True,True
1058,59,Nia,4,ambient household tick,0.068592,0.082592,-1,True,True
1059,59,Ari,5,resident schedule advanced,0.051576,0.077576,1,True,True
1060,59,Fay,6,ambient household tick,0.004666,0.018666,0,True,True
1061,59,Milo,7,ambient household tick,0.0,0.014,0,True,True
1062,60,Sera,8,resident schedule advanced,0.049917,0.075917,1,True,True
1063,60,Tovan,9,ambient household tick,0.091991,0.105991,0,True,True
1064,60,Nia,10,ambient household tick,0.095382,0.109382,0,True,True
1065,60,Ari,11,ambient household tick,0.056973,0.070973,-1,True,True
1066,60,Fay,12,resident schedule advanced,0.012077,0.038077,0,True,True
1067,60,Milo,13,ambient household tick,0.001971,0.015971,1,True,True
1068,60,Sera,14,ambient household tick,0.035946,0.049946,0,True,True
1069,60,Tovan,15,ambient household tick,0.082767,0.096767,0,True,True
1070,60,Nia,16,ambient household tick,0.099385,0.113385,0,True,True
1071,60,Ari,17,ambient household tick,0.070523,0.084523,0,True,True
1072,60,Fay,18,ambient household tick,0.022716,0.036716,1,True,True
1073,60,Milo,19,ambient household tick,0.0,0.014,-1,True,True
1074,60,Sera,20,resident schedule advanced,0.023089,0.049089,0,True,True
1075,60,Tovan,21,ambient household tick,0.070926,0.084926,0,True,True
1076,60,Nia,22,ambient household tick,0.099448,0.113448,0,True,True
1077,60,Ari,23,ambient household tick,0.082432,0.096432,1,True,True
1078,60,Fay,24,ambient household tick,0.035522,0.049522,0,True,True
1079,60,Milo,25,resident schedule advanced,0.001847,0.027847,0,True,True
1080,61,Sera,26,ambient household tick,0.098286,0.112286,1,True,True
1081,61,Tovan,4,resident schedule advanced,0.14036,0.16636,0,True,True
1082,61,Nia,5,ambient household tick,0.143751,0.157751,0,True,True
1083,61,Ari,6,ambient household tick,0.105342,0.119342,0,True,True
1084,61,Fay,7,ambient household tick,0.060446,0.074446,0,True,True
1085,61,Milo,8,ambient household tick,0.05034,0.06434,1,True,True
1086,61,Sera,9,ambient household tick,0.084315,0.098315,0,True,True
1087,61,Tovan,10,ambient household tick,0.131136,0.145136,0,True,True
1088,61,Nia,11,ambient household tick,0.147754,0.161754,-1,True,True
1089,61,Ari,12,resident schedule advanced,0.118892,0.144892,0,True,True
1090,61,Fay,13,ambient household tick,0.071085,0.085085,1,True,True
1091,61,Milo,14,ambient household tick,0.048287,0.062287,0,True,True
1092,61,Sera,15,ambient household tick,0.071458,0.085458,0,True,True
1093,61,Tovan,16,ambient household tick,0.119295,0.133295,0,True,True
1094,61,Nia,17,ambient household tick,0.147817,0.161817,0,True,True
1095,61,Ari,18,ambient household tick,0.130801,0.144801,1,True,True
1096,61,Fay,19,ambient household tick,0.083891,0.097891,-1,True,True
1097,61,Milo,20,resident schedule advanced,0.050216,0.076216,0,True,True
1098,62,Sera,21,ambient household tick,0.151401,0.165401,1,True,True
1099,62,Tovan,22,ambient household tick,0.193475,0.207475,0,True,True
1100,62,Nia,23,ambient household tick,0.196866,0.210866,0,True,True
1101,62,Ari,24,ambient household tick,0.158457,0.172457,0,True,True
1102,62,Fay,25,ambient household tick,0.113561,0.127561,0,True,True
1103,62,Milo,26,ambient household tick,0.103455,0.117455,1,True,True
1104,62,Sera,4,resident schedule advanced,0.13743,0.16343,0,True,True
1105,62,Tovan,5,ambient household tick,0.184251,0.198251,0,True,True
1106,62,Nia,6,ambient household tick,0.200869,0.214869,0,True,True
1107,62,Ari,7,ambient household tick,0.172007,0.186007,0,True,True
1108,62,Fay,8,ambient household tick,0.1242,0.1382,1,True,True
1109,62,Milo,9,ambient household tick,0.101402,0.115402,0,True,True
1110,62,Sera,10,ambient household tick,0.124573,0.138573,0,True,True
1111,62,Tovan,11,ambient household tick,0.17241,0.18641,-1,True,True
1112,62,Nia,12,resident schedule advanced,0.200932,0.226932,0,True,True
1113,62,Ari,13,ambient household tick,0.183916,0.197916,1,True,True
1114,62,Fay,14,ambient household tick,0.137006,0.151006,0,True,True
1115,62,Milo,15,ambient household tick,0.103331,0.117331,0,True,True
1116,63,Sera,16,resident schedule advanced,0.192132,0.218132,1,True,True
1117,63,Tovan,17,ambient household tick,0.234205,0.248205,0,True,True
1118,63,Nia,18,ambient household tick,0.237597,0.251597,-1,True,True
1119,63,Ari,19,resident schedule advanced,0.199188,0.225188,0,True,True
1120,63,Fay,20,ambient household tick,0.154292,0.168292,0,True,True
1121,63,Milo,21,ambient household tick,0.144186,0.158186,1,True,True
1122,63,Sera,22,ambient household tick,0.178161,0.192161,0,True,True
1123,63,Tovan,23,ambient household tick,0.224981,0.238981,0,True,True
1124,63,Nia,24,ambient household tick,0.2416,0.2556,0,True,True
1125,63,Ari,25,ambient household tick,0.212738,0.226738,0,True,True
1126,63,Fay,26,ambient household tick,0.164931,0.178931,1,True,True
1127,63,Milo,4,resident schedule advanced,0.142132,0.168132,0,True,True
1128,63,Sera,5,ambient household tick,0.165303,0.179303,0,True,True
1129,63,Tovan,6,ambient household tick,0.21314,0.22714,0,True,True
1130,63,Nia,7,ambient household tick,0.241662,0.255662,0,True,True
1131,63,Ari,8,ambient household tick,0.224646,0.238646,1,True,True
1132,63,Fay,9,ambient household tick,0.177737,0.191737,0,True,True
1133,63,Milo,10,resident schedule advanced,0.144062,0.170062,0,True,True
1134,64,Sera,11,resident schedule advanced,0.214734,0.240734,1,True,True
1135,64,Tovan,12,ambient household tick,0.256807,0.270807,0,True,True
1136,64,Nia,13,ambient household tick,0.260199,0.274199,0,True,True
1137,64,Ari,14,ambient household tick,0.22179,0.23579,0,True,True
1138,64,Fay,15,ambient household tick,0.176894,0.190894,0,True,True
1139,64,Milo,16,ambient household tick,0.166787,0.180787,1,True,True
1140,64,Sera,17,ambient household tick,0.200763,0.214763,0,True,True
1141,64,Tovan,18,ambient household tick,0.247583,0.261583,-1,True,True
1142,64,Nia,19,resident schedule advanced,0.264202,0.290202,0,True,True
1143,64,Ari,20,ambient household tick,0.23534,0.24934,0,True,True
1144,64,Fay,21,ambient household tick,0.187533,0.201533,1,True,True
1145,64,Milo,22,ambient household tick,0.164734,0.178734,0,True,True
1146,64,Sera,23,ambient household tick,0.187905,0.201905,0,True,True
1147,64,Tovan,24,ambient household tick,0.235742,0.249742,0,True,True
1148,64,Nia,25,ambient household tick,0.264264,0.278264,0,True,True
1149,64,Ari,26,ambient household tick,0.247248,0.261248,1,True,True
1150,64,Fay,4,resident schedule advanced,0.200339,0.226339,0,True,True
1151,64,Milo,5,ambient household tick,0.166664,0.180664,0,True,True
1152,65,Sera,6,ambient household tick,0.23013,0.24413,1,True,True
1153,65,Tovan,7,ambient household tick,0.272204,0.286204,0,True,True
1154,65,Nia,8,ambient household tick,0.275595,0.289595,0,True,True
1155,65,Ari,9,ambient household tick,0.237186,0.251186,0,True,True
1156,65,Fay,10,ambient household tick,0.19229,0.20629,-1,True,True
1157,65,Milo,11,resident schedule advanced,0.182184,0.208184,1,True,True
1158,65,Sera,12,ambient household tick,0.216159,0.230159,0,True,True
1159,65,Tovan,13,ambient household tick,0.26298,0.27698,0,True,True
1160,65,Nia,14,ambient household tick,0.279598,0.293598,0,True,True
1161,65,Ari,15,ambient household tick,0.250736,0.264736,0,True,True
1162,65,Fay,16,ambient household tick,0.202929,0.216929,1,True,True
1163,65,Milo,17,ambient household tick,0.180131,0.194131,0,True,True
1164,65,Sera,18,ambient household tick,0.203302,0.217302,-1,True,True
1165,65,Tovan,19,resident schedule advanced,0.251139,0.277139,0,True,True
1166,65,Nia,20,ambient household tick,0.279661,0.293661,0,True,True
1167,65,Ari,21,ambient household tick,0.262645,0.276645,1,True,True
1168,65,Fay,22,ambient household tick,0.215735,0.229735,0,True,True
1169,65,Milo,23,ambient household tick,0.18206,0.19606,0,True,True
1170,66,Sera,24,resident schedule advanced,0.255869,0.281869,1,True,True
1171,66,Tovan,25,ambient household tick,0.297943,0.311943,-1,True,True
1172,66,Nia,26,resident schedule advanced,0.301334,0.327334,0,True,True
1173,66,Ari,4,ambient household tick,0.262925,0.276925,0,True,True
1174,66,Fay,5,ambient household tick,0.218029,0.232029,0,True,True
1175,66,Milo,6,ambient household tick,0.207923,0.221923,1,True,True
1176,66,Sera,7,ambient household tick,0.241898,0.255898,0,True,True
1177,66,Tovan,8,ambient household tick,0.288718,0.302718,0,True,True
1178,66,Nia,9,ambient household tick,0.305337,0.319337,0,True,True
1179,66,Ari,10,ambient household tick,0.276475,0.290475,-1,True,True
1180,66,Fay,11,resident schedule advanced,0.228668,0.254668,1,True,True
1181,66,Milo,12,ambient household tick,0.20587,0.21987,0,True,True
1182,66,Sera,13,ambient household tick,0.22904,0.24304,0,True,True
1183,66,Tovan,14,ambient household tick,0.276877,0.290877,0,True,True
1184,66,Nia,15,ambient household tick,0.305399,0.319399,0,True,True
1185,66,Ari,16,ambient household tick,0.288384,0.302384,1,True,True
1186,66,Fay,17,ambient household tick,0.241474,0.255474,0,True,True
1187,66,Milo,18,resident schedule advanced,0.207799,0.233799,-1,True,True
1188,67,Sera,19,ambient household tick,0.299989,0.313989,1,True,True
1189,67,Tovan,20,ambient household tick,0.342063,0.356063,0,True,True
1190,67,Nia,21,ambient household tick,0.345454,0.359454,0,True,True
1191,67,Ari,22,ambient household tick,0.307045,0.321045,0,True,True
1192,67,Fay,23,ambient household tick,0.262149,0.276149,0,True,True
1193,67,Milo,24,ambient household tick,0.252043,0.266043,1,True,True
1194,67,Sera,25,ambient household tick,0.286019,0.300019,-1,True,True
1195,67,Tovan,26,resident schedule advanced,0.332839,0.358839,0,True,True
1196,67,Nia,4,ambient household tick,0.349457,0.363457,0,True,True
1197,67,Ari,5,ambient household tick,0.320595,0.334595,0,True,True
1198,67,Fay,6,ambient household tick,0.272788,0.286788,1,True,True
1199,67,Milo,7,ambient household tick,0.24999,0.26399,0,True,True
1200,67,Sera,8,ambient household tick,0.273161,0.287161,0,True,True
1201,67,Tovan,9,ambient household tick,0.320998,0.334998,0,True,True
1202,67,Nia,10,ambient household tick,0.34952,0.36352,-1,True,True
1203,67,Ari,11,resident schedule advanced,0.332504,0.358504,1,True,True
1204,67,Fay,12,ambient household tick,0.285594,0.299594,0,True,True
1205,67,Milo,13,ambient household tick,0.25192,0.26592,0,True,True
1206,68,Sera,14,ambient household tick,0.35363,0.36763,1,True,True
1207,68,Tovan,15,ambient household tick,0.395704,0.409704,0,True,True
1208,68,Nia,16,ambient household tick,0.399095,0.413095,0,True,True
1209,68,Ari,17,ambient household tick,0.360686,0.374686,-1,True,True
1210,68,Fay,18,resident schedule advanced,0.31579,0.34179,0,True,True
1211,68,Milo,19,ambient household tick,0.305684,0.319684,1,True,True
1212,68,Sera,20,ambient household tick,0.33966,0.35366,0,True,True
1213,68,Tovan,21,ambient household tick,0.38648,0.40048,0,True,True
1214,68,Nia,22,ambient household tick,0.403098,0.417098,0,True,True
1215,68,Ari,23,ambient household tick,0.374236,0.388236,0,True,True
1216,68,Fay,24,ambient household tick,0.326429,0.340429,1,True,True
1217,68,Milo,25,ambient household tick,0.303631,0.317631,-1,True,True
1218,68,Sera,26,resident schedule advanced,0.326802,0.352802,0,True,True
1219,68,Tovan,4,ambient household tick,0.374639,0.388639,0,True,True
1220,68,Nia,5,ambient household tick,0.403161,0.417161,0,True,True
1221,68,Ari,6,ambient household tick,0.386145,0.400145,1,True,True
1222,68,Fay,7,ambient household tick,0.339235,0.353235,0,True,True
1223,68,Milo,8,ambient household tick,0.305561,0.319561,0,True,True
1224,69,Sera,9,resident schedule advanced,0.399178,0.425178,1,True,True
1225,69,Tovan,10,resident schedule advanced,0.441252,0.467252,0,True,True
1226,69,Nia,11,ambient household tick,0.444643,0.458643,0,True,True
1227,69,Ari,12,ambient household tick,0.406234,0.420234,0,True,True
1228,69,Fay,13,ambient household tick,0.361338,0.375338,0,True,True
1229,69,Milo,14,ambient household tick,0.351232,0.365232,1,True,True
1230,69,Sera,15,ambient household tick,0.385207,0.399207,0,True,True
1231,69,Tovan,16,ambient household tick,0.432027,0.446027,0,True,True
1232,69,Nia,17,ambient household tick,0.448646,0.462646,-1,True,True
1233,69,Ari,18,resident schedule advanced,0.419784,0.445784,0,True,True
1234,69,Fay,19,ambient household tick,0.371977,0.385977,1,True,True
1235,69,Milo,20,ambient household tick,0.349179,0.363179,0,True,True
1236,69,Sera,21,ambient household tick,0.37235,0.38635,0,True,True
1237,69,Tovan,22,ambient household tick,0.420187,0.434187,0,True,True
1238,69,Nia,23,ambient household tick,0.448709,0.462709,0,True,True
1239,69,Ari,24,ambient household tick,0.431693,0.445693,1,True,True
1240,69,Fay,25,ambient household tick,0.384783,0.398783,-1,True,True
1241,69,Milo,26,resident schedule advanced,0.351108,0.377108,0,True,True
1242,70,Sera,4,ambient household tick,0.426459,0.440459,1,True,True
1243,70,Tovan,5,ambient household tick,0.468533,0.482533,0,True,True
1244,70,Nia,6,ambient household tick,0.471924,0.485924,0,True,True
1245,70,Ari,7,ambient household tick,0.433515,0.447515,0,True,True
1246,70,Fay,8,ambient household tick,0.388619,0.402619,0,True,True
1247,70,Milo,9,ambient household tick,0.378513,0.392513,1,True,True
1248,70,Sera,10,resident schedule advanced,0.412489,0.438489,0,True,True
1249,70,Tovan,11,ambient household tick,0.459309,0.473309,0,True,True
1250,70,Nia,12,ambient household tick,0.475927,0.489927,0,True,True
