tick,day,public_state,avatar_state,agent_focus,ceremony_marker,lineage_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
1,1,day 1 tick 1: avatar at Outer Quiet; ceremony phase outer_wait; gate entry_timing=0.99,cmd=wait; energy=0.92; breath=0.25; boundary=clear,Sova/Hearthline: public explanation,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=distant bell harmonics; smell=cold clay and rain fern; temp=0.52; wet=0.18; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,43d8f339120aa08bbb
62,1,day 1 tick 62: avatar at Ceremony Center; ceremony phase rollback_vow; gate rollback_path=0.97,cmd=forward; energy=0.26; breath=0.40; boundary=clear,Keth/Routeline: softening repair,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,96113a32f757de3131
63,1,day 1 tick 63: avatar at Ceremony Center; ceremony phase entry_allowed; gate final_entry=0.96,cmd=right; energy=0.24; breath=0.40; boundary=clear,Melo/Marketline: public explanation,entry-held-for-care,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,21cece6810b352f579
64,1,day 1 tick 64: avatar at Ceremony Center; ceremony phase outer_wait; gate entry_timing=0.99,cmd=forward; energy=0.23; breath=0.40; boundary=clear,Nari/Ledgerline: conditional welcome,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,052ebe066e4d540507
65,1,day 1 tick 65: avatar at Ceremony Center; ceremony phase boundary_recital; gate movement_boundary=1.00,cmd=inspect; energy=0.22; breath=0.40; boundary=clear,Ori/Orchardline: firm boundary,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,079a301cd7a75b169e
66,1,day 1 tick 66: avatar at Ceremony Center; ceremony phase public_history; gate lineage_history=1.00,cmd=left; energy=0.20; breath=0.41; boundary=clear,Vonn/Rainline: public explanation,entry-held-for-care,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,False,ssrm248_browser_world_v8_entry,11a36e7c9cd403e45c
67,1,day 1 tick 67: avatar at Ceremony Center; ceremony phase market_witness; gate exchange_safety=1.00,cmd=forward; energy=0.19; breath=0.41; boundary=clear,Sova/Hearthline: public explanation,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,False,ssrm248_browser_world_v8_entry,a8722a2653ac198558
68,1,day 1 tick 68: avatar at Ceremony Center; ceremony phase rain_permission; gate weather_boundary=1.00,cmd=ask; energy=0.18; breath=0.41; boundary=clear,Keth/Routeline: public explanation,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,b8d7db19d49bf50dfb
69,1,day 1 tick 69: avatar at Ceremony Center; ceremony phase care_pause; gate fatigue_pause=0.98,cmd=offer_help; energy=0.17; breath=0.41; boundary=clear,Melo/Marketline: conditional welcome,entry-allowed,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,False,ssrm248_browser_world_v8_entry,cf3cc276af3a422903
70,1,day 1 tick 70: avatar at Rainwalk Threshold; ceremony phase shared_token; gate safe_greeting=0.98,cmd=back; energy=0.16; breath=0.45; boundary=clear,Nari/Ledgerline: firm boundary,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,d8057a1fbb46721d17
71,1,day 1 tick 71: avatar at Ceremony Center; ceremony phase rollback_vow; gate rollback_path=0.97,cmd=forward; energy=0.14; breath=0.42; boundary=clear,Ori/Orchardline: teaching,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,8cc5971ed3ff9e1939
72,1,day 1 tick 72: avatar at Ceremony Center; ceremony phase entry_allowed; gate final_entry=0.96,cmd=ceremony; energy=0.14; breath=0.42; boundary=clear,Vonn/Rainline: softening repair,entry-held-for-care,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,bda2cbfe2b17eba10c
