tick,day,scene_id,agent,trust_before,trust_after,access_before,access_after,unresolved_debt,compounding_applied,repair_restored_access,trust_access_score
341,19,v24-scene-d19,Nari,0.92,0.92,open,open,0,0,0,1.0
342,20,v24-scene-d20,Keth,0.92,0.92,conditional,conditional,1,1,0,1.0
343,20,v24-scene-d20,Ori,0.908,0.92,conditional,conditional,1,1,1,1.0
344,20,v24-scene-d20,Keth,0.92,0.92,conditional,open,0,0,1,1.0
345,20,v24-scene-d20,Vonn,0.774,0.774,open,open,0,0,0,1.0
346,20,v24-scene-d20,Melo,0.92,0.92,conditional,open,0,0,1,1.0
347,20,v24-scene-d20,Vonn,0.774,0.774,open,conditional,1,1,0,1.0
348,20,v24-scene-d20,Vonn,0.774,0.818,conditional,open,0,0,1,1.0
349,20,v24-scene-d20,Sova,0.92,0.92,open,open,0,0,0,1.0
350,20,v24-scene-d20,Sova,0.92,0.92,open,conditional,1,1,0,1.0
351,20,v24-scene-d20,Sova,0.92,0.92,conditional,open,0,0,1,1.0
352,20,v24-scene-d20,Melo,0.92,0.92,open,open,0,0,0,1.0
353,20,v24-scene-d20,Ori,0.92,0.91,conditional,conditional,2,1,0,1.0
354,20,v24-scene-d20,Vonn,0.818,0.848,open,open,0,0,0,1.0
355,20,v24-scene-d20,Ori,0.91,0.92,conditional,conditional,1,1,1,1.0
356,20,v24-scene-d20,Melo,0.92,0.92,open,open,0,0,0,1.0
357,20,v24-scene-d20,Melo,0.92,0.92,open,open,0,0,0,1.0
358,20,v24-scene-d20,Sova,0.92,0.92,open,open,0,0,0,1.0
359,20,v24-scene-d20,Sova,0.92,0.92,open,conditional,1,1,0,1.0
360,21,v24-scene-d21,Sova,0.92,0.92,conditional,open,0,0,1,1.0
361,21,v24-scene-d21,Sova,0.92,0.92,open,open,0,0,0,1.0
362,21,v24-scene-d21,Sova,0.92,0.92,open,open,0,0,0,1.0
363,21,v24-scene-d21,Ori,0.92,0.92,conditional,open,0,0,1,1.0
364,21,v24-scene-d21,Keth,0.92,0.92,open,conditional,1,1,0,1.0
365,21,v24-scene-d21,Melo,0.92,0.92,open,open,0,0,0,1.0
366,21,v24-scene-d21,Melo,0.92,0.92,open,open,0,0,0,1.0
367,21,v24-scene-d21,Keth,0.92,0.92,conditional,open,0,0,1,1.0
368,21,v24-scene-d21,Ori,0.92,0.92,open,open,0,0,0,1.0
369,21,v24-scene-d21,Melo,0.92,0.92,open,open,0,0,0,1.0
370,21,v24-scene-d21,Vonn,0.848,0.878,open,open,0,0,0,1.0
371,21,v24-scene-d21,Vonn,0.878,0.908,open,open,0,0,0,1.0
372,21,v24-scene-d21,Ori,0.92,0.92,open,conditional,1,1,0,1.0
373,21,v24-scene-d21,Ori,0.92,0.92,conditional,open,0,0,1,1.0
374,21,v24-scene-d21,Ori,0.92,0.92,open,open,0,0,0,1.0
375,21,v24-scene-d21,Sova,0.92,0.92,open,open,0,0,0,1.0
376,21,v24-scene-d21,Nari,0.92,0.92,open,conditional,1,1,0,1.0
377,21,v24-scene-d21,Sova,0.92,0.92,open,open,0,0,0,1.0
378,22,v24-scene-d22,Keth,0.92,0.92,open,open,0,0,0,1.0
379,22,v24-scene-d22,Ori,0.92,0.92,open,conditional,1,1,0,1.0
380,22,v24-scene-d22,Nari,0.92,0.92,conditional,open,0,0,1,1.0
381,22,v24-scene-d22,Nari,0.92,0.92,open,open,0,0,0,1.0
382,22,v24-scene-d22,Nari,0.92,0.92,open,open,0,0,0,1.0
383,22,v24-scene-d22,Melo,0.92,0.92,open,open,0,0,0,1.0
384,22,v24-scene-d22,Sova,0.92,0.92,open,open,0,0,0,1.0
385,22,v24-scene-d22,Ori,0.92,0.92,conditional,open,0,0,1,1.0
386,22,v24-scene-d22,Keth,0.92,0.908,open,conditional,1,1,0,1.0
387,22,v24-scene-d22,Keth,0.908,0.92,conditional,open,0,0,1,1.0
388,22,v24-scene-d22,Melo,0.92,0.92,open,open,0,0,0,1.0
389,22,v24-scene-d22,Vonn,0.908,0.908,open,open,0,0,0,1.0
390,22,v24-scene-d22,Nari,0.92,0.92,open,conditional,1,1,0,1.0
391,22,v24-scene-d22,Sova,0.92,0.92,open,open,0,0,0,1.0
392,22,v24-scene-d22,Ori,0.92,0.92,open,open,0,0,0,1.0
393,22,v24-scene-d22,Ori,0.92,0.92,open,open,0,0,0,1.0
394,22,v24-scene-d22,Keth,0.92,0.92,open,conditional,2,1,0,1.0
395,22,v24-scene-d22,Melo,0.92,0.92,open,open,0,0,0,1.0
396,23,v24-scene-d23,Sova,0.92,0.92,open,open,0,0,0,1.0
397,23,v24-scene-d23,Melo,0.92,0.92,open,open,0,0,0,1.0
398,23,v24-scene-d23,Melo,0.92,0.92,open,conditional,1,1,0,1.0
399,23,v24-scene-d23,Melo,0.92,0.92,conditional,open,0,0,1,1.0
400,23,v24-scene-d23,Melo,0.92,0.92,open,open,0,0,0,1.0
401,23,v24-scene-d23,Nari,0.92,0.92,conditional,conditional,2,1,0,1.0
402,23,v24-scene-d23,Vonn,0.908,0.92,open,open,0,0,0,1.0
403,23,v24-scene-d23,Sova,0.92,0.92,open,open,0,0,0,1.0
404,23,v24-scene-d23,Sova,0.92,0.92,open,open,0,0,0,1.0
405,23,v24-scene-d23,Keth,0.92,0.92,conditional,conditional,2,1,0,1.0
406,23,v24-scene-d23,Ori,0.92,0.92,open,open,0,0,0,1.0
407,23,v24-scene-d23,Melo,0.92,0.92,open,open,0,0,0,1.0
408,23,v24-scene-d23,Ori,0.92,0.92,open,conditional,2,1,0,1.0
409,23,v24-scene-d23,Melo,0.92,0.92,open,open,0,0,0,1.0
410,23,v24-scene-d23,Nari,0.92,0.92,conditional,conditional,2,1,0,1.0
411,23,v24-scene-d23,Vonn,0.92,0.92,open,open,0,0,0,1.0
412,23,v24-scene-d23,Keth,0.92,0.92,conditional,conditional,2,1,0,1.0
413,23,v24-scene-d23,Vonn,0.92,0.92,open,open,0,0,0,1.0
414,24,v24-scene-d24,Keth,0.92,0.92,conditional,conditional,1,1,1,1.0
415,24,v24-scene-d24,Sova,0.92,0.92,open,conditional,1,1,0,1.0
416,24,v24-scene-d24,Ori,0.92,0.92,conditional,conditional,2,1,0,1.0
417,24,v24-scene-d24,Ori,0.92,0.92,conditional,open,0,0,1,1.0
418,24,v24-scene-d24,Nari,0.92,0.92,conditional,conditional,2,1,0,1.0
419,24,v24-scene-d24,Sova,0.92,0.918,conditional,conditional,3,1,0,1.0
420,24,v24-scene-d24,Melo,0.92,0.92,open,open,0,0,0,1.0
421,24,v24-scene-d24,Nari,0.92,0.92,conditional,open,0,0,1,1.0
422,24,v24-scene-d24,Nari,0.92,0.92,open,open,0,0,0,1.0
423,24,v24-scene-d24,Melo,0.92,0.908,open,conditional,1,1,0,1.0
424,24,v24-scene-d24,Ori,0.92,0.92,open,open,0,0,0,1.0
425,24,v24-scene-d24,Nari,0.92,0.92,open,open,0,0,0,1.0
426,24,v24-scene-d24,Ori,0.92,0.92,open,open,0,0,0,1.0
427,24,v24-scene-d24,Melo,0.908,0.908,conditional,conditional,1,1,0,1.0
428,24,v24-scene-d24,Ori,0.92,0.92,open,open,0,0,0,1.0
429,24,v24-scene-d24,Nari,0.92,0.92,open,open,0,0,0,1.0
430,24,v24-scene-d24,Vonn,0.92,0.908,open,conditional,1,1,0,1.0
431,24,v24-scene-d24,Melo,0.908,0.92,conditional,open,0,0,1,1.0
432,25,v24-scene-d25,Sova,0.918,0.908,conditional,conditional,3,1,0,1.0
433,25,v24-scene-d25,Melo,0.92,0.92,open,open,0,0,0,1.0
434,25,v24-scene-d25,Nari,0.92,0.92,open,open,0,0,0,1.0
435,25,v24-scene-d25,Nari,0.92,0.92,open,open,0,0,0,1.0
436,25,v24-scene-d25,Vonn,0.908,0.92,conditional,open,0,0,1,1.0
437,25,v24-scene-d25,Sova,0.908,0.92,conditional,conditional,1,1,1,1.0
438,25,v24-scene-d25,Ori,0.92,0.92,open,open,0,0,0,1.0
439,25,v24-scene-d25,Ori,0.92,0.92,open,open,0,0,0,1.0
440,25,v24-scene-d25,Melo,0.92,0.92,open,open,0,0,0,1.0
441,25,v24-scene-d25,Sova,0.92,0.92,conditional,open,0,0,1,1.0
442,25,v24-scene-d25,Keth,0.92,0.92,conditional,open,0,0,1,1.0
443,25,v24-scene-d25,Keth,0.92,0.92,open,open,0,0,0,1.0
444,25,v24-scene-d25,Sova,0.92,0.92,open,conditional,1,1,0,1.0
445,25,v24-scene-d25,Sova,0.92,0.92,conditional,open,0,0,1,1.0
446,25,v24-scene-d25,Ori,0.92,0.92,open,open,0,0,0,1.0
447,25,v24-scene-d25,Sova,0.92,0.92,open,open,0,0,0,1.0
448,25,v24-scene-d25,Melo,0.92,0.92,open,open,0,0,0,1.0
449,25,v24-scene-d25,Melo,0.92,0.92,open,open,0,0,0,1.0
450,26,v24-scene-d26,Melo,0.92,0.92,open,open,0,0,0,1.0
451,26,v24-scene-d26,Ori,0.92,0.92,open,open,0,0,0,1.0
452,26,v24-scene-d26,Ori,0.92,0.92,open,open,0,0,0,1.0
453,26,v24-scene-d26,Keth,0.92,0.92,open,open,0,0,0,1.0
454,26,v24-scene-d26,Vonn,0.92,0.92,open,open,0,0,0,1.0
455,26,v24-scene-d26,Nari,0.92,0.92,open,open,0,0,0,1.0
456,26,v24-scene-d26,Vonn,0.92,0.92,open,conditional,1,1,0,1.0
457,26,v24-scene-d26,Melo,0.92,0.92,open,open,0,0,0,1.0
458,26,v24-scene-d26,Sova,0.92,0.92,open,open,0,0,0,1.0
459,26,v24-scene-d26,Ori,0.92,0.92,open,open,0,0,0,1.0
460,26,v24-scene-d26,Nari,0.92,0.92,open,conditional,1,1,0,1.0
461,26,v24-scene-d26,Keth,0.92,0.92,open,conditional,1,1,0,1.0
462,26,v24-scene-d26,Nari,0.92,0.92,conditional,conditional,1,1,0,1.0
463,26,v24-scene-d26,Sova,0.92,0.92,open,open,0,0,0,1.0
464,26,v24-scene-d26,Melo,0.92,0.92,open,open,0,0,0,1.0
465,26,v24-scene-d26,Nari,0.92,0.908,conditional,conditional,1,1,0,1.0
466,26,v24-scene-d26,Melo,0.92,0.92,open,conditional,1,1,0,1.0
467,26,v24-scene-d26,Nari,0.908,0.92,conditional,open,0,0,1,1.0
468,27,v24-scene-d27,Vonn,0.92,0.92,conditional,open,0,0,1,1.0
469,27,v24-scene-d27,Ori,0.92,0.92,open,open,0,0,0,1.0
470,27,v24-scene-d27,Nari,0.92,0.92,open,open,0,0,0,1.0
471,27,v24-scene-d27,Nari,0.92,0.92,open,conditional,2,1,0,1.0
472,27,v24-scene-d27,Keth,0.92,0.92,conditional,open,0,0,1,1.0
473,27,v24-scene-d27,Sova,0.92,0.92,open,open,0,0,0,1.0
474,27,v24-scene-d27,Melo,0.92,0.92,conditional,conditional,2,1,0,1.0
475,27,v24-scene-d27,Melo,0.92,0.92,conditional,open,0,0,1,1.0
476,27,v24-scene-d27,Vonn,0.92,0.92,open,conditional,1,1,0,1.0
477,27,v24-scene-d27,Vonn,0.92,0.92,conditional,open,0,0,1,1.0
478,27,v24-scene-d27,Keth,0.92,0.92,open,conditional,2,1,0,1.0
479,27,v24-scene-d27,Ori,0.92,0.92,open,open,0,0,0,1.0
480,27,v24-scene-d27,Sova,0.92,0.92,open,open,0,0,0,1.0
481,27,v24-scene-d27,Keth,0.92,0.92,conditional,open,0,0,1,1.0
482,27,v24-scene-d27,Ori,0.92,0.92,open,conditional,1,1,0,1.0
483,27,v24-scene-d27,Sova,0.92,0.92,open,conditional,1,1,0,1.0
484,27,v24-scene-d27,Vonn,0.92,0.92,open,open,0,0,0,1.0
485,27,v24-scene-d27,Ori,0.92,0.92,conditional,conditional,2,1,0,1.0
486,28,v24-scene-d28,Sova,0.92,0.92,conditional,open,0,0,1,1.0
487,28,v24-scene-d28,Ori,0.92,0.92,conditional,open,0,0,1,1.0
488,28,v24-scene-d28,Keth,0.92,0.92,open,open,0,0,0,1.0
489,28,v24-scene-d28,Ori,0.92,0.92,open,open,0,0,0,1.0
490,28,v24-scene-d28,Nari,0.92,0.92,conditional,open,0,0,1,1.0
491,28,v24-scene-d28,Keth,0.92,0.92,open,open,0,0,0,1.0
492,28,v24-scene-d28,Melo,0.92,0.92,open,open,0,0,0,1.0
493,28,v24-scene-d28,Keth,0.92,0.92,open,open,0,0,0,1.0
494,28,v24-scene-d28,Vonn,0.92,0.92,open,open,0,0,0,1.0
495,28,v24-scene-d28,Keth,0.92,0.92,open,conditional,1,1,0,1.0
496,28,v24-scene-d28,Melo,0.92,0.92,open,conditional,2,1,0,1.0
497,28,v24-scene-d28,Sova,0.92,0.92,open,open,0,0,0,1.0
498,28,v24-scene-d28,Keth,0.92,0.92,conditional,open,0,0,1,1.0
499,28,v24-scene-d28,Sova,0.92,0.92,open,open,0,0,0,1.0
500,28,v24-scene-d28,Sova,0.92,0.92,open,conditional,1,1,0,1.0
501,28,v24-scene-d28,Vonn,0.92,0.92,open,open,0,0,0,1.0
502,28,v24-scene-d28,Melo,0.92,0.92,conditional,open,0,0,1,1.0
503,28,v24-scene-d28,Vonn,0.92,0.92,open,open,0,0,0,1.0
504,29,v24-scene-d29,Sova,0.92,0.92,conditional,open,0,0,1,1.0
505,29,v24-scene-d29,Keth,0.92,0.92,open,open,0,0,0,1.0
506,29,v24-scene-d29,Ori,0.92,0.92,open,open,0,0,0,1.0
507,29,v24-scene-d29,Nari,0.92,0.92,open,conditional,1,1,0,1.0
508,29,v24-scene-d29,Nari,0.92,0.92,conditional,conditional,1,1,1,1.0
509,29,v24-scene-d29,Ori,0.92,0.92,open,open,0,0,0,1.0
510,29,v24-scene-d29,Sova,0.92,0.92,open,open,0,0,0,1.0
511,29,v24-scene-d29,Sova,0.92,0.92,open,open,0,0,0,1.0
512,29,v24-scene-d29,Nari,0.92,0.92,conditional,conditional,1,1,0,1.0
513,29,v24-scene-d29,Vonn,0.92,0.92,open,open,0,0,0,1.0
514,29,v24-scene-d29,Keth,0.92,0.92,open,open,0,0,0,1.0
515,29,v24-scene-d29,Nari,0.92,0.908,conditional,conditional,1,1,0,1.0
516,29,v24-scene-d29,Sova,0.92,0.92,open,open,0,0,0,1.0
517,29,v24-scene-d29,Sova,0.92,0.92,open,open,0,0,0,1.0
518,29,v24-scene-d29,Ori,0.92,0.92,open,open,0,0,0,1.0
519,29,v24-scene-d29,Melo,0.92,0.92,open,open,0,0,0,1.0
520,29,v24-scene-d29,Vonn,0.92,0.92,open,conditional,1,1,0,1.0
521,29,v24-scene-d29,Vonn,0.92,0.92,conditional,conditional,1,1,0,1.0
522,30,v24-scene-d30,Sova,0.92,0.92,open,conditional,1,1,0,1.0
523,30,v24-scene-d30,Ori,0.92,0.92,open,open,0,0,0,1.0
524,30,v24-scene-d30,Melo,0.92,0.92,open,open,0,0,0,1.0
525,30,v24-scene-d30,Nari,0.908,0.92,conditional,open,0,0,1,1.0
526,30,v24-scene-d30,Sova,0.92,0.92,conditional,open,0,0,1,1.0
527,30,v24-scene-d30,Keth,0.92,0.92,open,open,0,0,0,1.0
528,30,v24-scene-d30,Nari,0.92,0.92,open,conditional,2,1,0,1.0
529,30,v24-scene-d30,Nari,0.92,0.92,conditional,conditional,2,1,0,1.0
530,30,v24-scene-d30,Vonn,0.92,0.92,conditional,open,0,0,1,1.0
531,30,v24-scene-d30,Vonn,0.92,0.92,open,open,0,0,0,1.0
532,30,v24-scene-d30,Vonn,0.92,0.92,open,open,0,0,0,1.0
533,30,v24-scene-d30,Keth,0.92,0.92,open,open,0,0,0,1.0
534,30,v24-scene-d30,Sova,0.92,0.92,open,conditional,1,1,0,1.0
535,30,v24-scene-d30,Nari,0.92,0.92,conditional,open,0,0,1,1.0
536,30,v24-scene-d30,Vonn,0.92,0.92,open,open,0,0,0,1.0
537,30,v24-scene-d30,Nari,0.92,0.908,open,conditional,1,1,0,1.0
538,30,v24-scene-d30,Melo,0.92,0.92,open,open,0,0,0,1.0
539,30,v24-scene-d30,Vonn,0.92,0.908,open,conditional,1,1,0,1.0
