tick,day,resident,schedule_key,memory_key,debt_key,consequence_key,snapshot_key,index_lookup,resident_filterable,crosslinks_complete
1478,83,Fay,schedule:fay:d083:s02,fay:care_favor:audit:d083:s02,debt:care_favor:fay,cause:talk:resident:Fay:tick:01478,ssrm:v59:audit:snapshot:d083:t01478,resident=Fay|tick=1478|memory=fay:care_favor:audit:d083:s02|debt=debt:care_favor:fay,True,True
1479,83,Milo,schedule:milo:d083:s03,milo:tool_loan:audit:d083:s03,debt:tool_loan:milo,cause:offer_help:resident:Milo:tick:01479,ssrm:v59:audit:snapshot:d083:t01479,resident=Milo|tick=1479|memory=milo:tool_loan:audit:d083:s03|debt=debt:tool_loan:milo,True,True
1480,83,Sera,schedule:sera:d083:s04,sera:repair_promise:audit:d083:s04,debt:repair_promise:sera,cause:borrow_tool:resident:Sera:tick:01480,ssrm:v59:audit:snapshot:d083:t01480,resident=Sera|tick=1480|memory=sera:repair_promise:audit:d083:s04|debt=debt:repair_promise:sera,True,True
1481,83,Tovan,schedule:tovan:d083:s05,tovan:care_favor:audit:d083:s05,debt:care_favor:tovan,cause:return_tool:resident:Tovan:tick:01481,ssrm:v59:audit:snapshot:d083:t01481,resident=Tovan|tick=1481|memory=tovan:care_favor:audit:d083:s05|debt=debt:care_favor:tovan,True,True
1482,83,Nia,schedule:nia:d083:s06,nia:tool_loan:audit:d083:s06,debt:tool_loan:nia,cause:interrupt_work:resident:Nia:tick:01482,ssrm:v59:audit:snapshot:d083:t01482,resident=Nia|tick=1482|memory=nia:tool_loan:audit:d083:s06|debt=debt:tool_loan:nia,True,True
1483,83,Ari,schedule:ari:d083:s07,ari:repair_promise:audit:d083:s07,debt:repair_promise:ari,cause:wait_offscreen:resident:Ari:tick:01483,ssrm:v59:audit:snapshot:d083:t01483,resident=Ari|tick=1483|memory=ari:repair_promise:audit:d083:s07|debt=debt:repair_promise:ari,True,True
1484,83,Fay,schedule:fay:d083:s08,fay:care_favor:audit:d083:s08,debt:care_favor:fay,cause:repair_trust:resident:Fay:tick:01484,ssrm:v59:audit:snapshot:d083:t01484,resident=Fay|tick=1484|memory=fay:care_favor:audit:d083:s08|debt=debt:care_favor:fay,True,True
1485,83,Milo,schedule:milo:d083:s09,milo:tool_loan:audit:d083:s09,debt:tool_loan:milo,cause:move:resident:Milo:tick:01485,ssrm:v59:audit:snapshot:d083:t01485,resident=Milo|tick=1485|memory=milo:tool_loan:audit:d083:s09|debt=debt:tool_loan:milo,True,True
1486,83,Sera,schedule:sera:d083:s10,sera:repair_promise:audit:d083:s10,debt:repair_promise:sera,cause:talk:resident:Sera:tick:01486,ssrm:v59:audit:snapshot:d083:t01486,resident=Sera|tick=1486|memory=sera:repair_promise:audit:d083:s10|debt=debt:repair_promise:sera,True,True
1487,83,Tovan,schedule:tovan:d083:s11,tovan:care_favor:audit:d083:s11,debt:care_favor:tovan,cause:offer_help:resident:Tovan:tick:01487,ssrm:v59:audit:snapshot:d083:t01487,resident=Tovan|tick=1487|memory=tovan:care_favor:audit:d083:s11|debt=debt:care_favor:tovan,True,True
1488,83,Nia,schedule:nia:d083:s12,nia:tool_loan:audit:d083:s12,debt:tool_loan:nia,cause:borrow_tool:resident:Nia:tick:01488,ssrm:v59:audit:snapshot:d083:t01488,resident=Nia|tick=1488|memory=nia:tool_loan:audit:d083:s12|debt=debt:tool_loan:nia,True,True
1489,83,Ari,schedule:ari:d083:s13,ari:repair_promise:audit:d083:s13,debt:repair_promise:ari,cause:return_tool:resident:Ari:tick:01489,ssrm:v59:audit:snapshot:d083:t01489,resident=Ari|tick=1489|memory=ari:repair_promise:audit:d083:s13|debt=debt:repair_promise:ari,True,True
1490,83,Fay,schedule:fay:d083:s14,fay:care_favor:audit:d083:s14,debt:care_favor:fay,cause:interrupt_work:resident:Fay:tick:01490,ssrm:v59:audit:snapshot:d083:t01490,resident=Fay|tick=1490|memory=fay:care_favor:audit:d083:s14|debt=debt:care_favor:fay,True,True
1491,83,Milo,schedule:milo:d083:s15,milo:tool_loan:audit:d083:s15,debt:tool_loan:milo,cause:wait_offscreen:resident:Milo:tick:01491,ssrm:v59:audit:snapshot:d083:t01491,resident=Milo|tick=1491|memory=milo:tool_loan:audit:d083:s15|debt=debt:tool_loan:milo,True,True
1492,83,Sera,schedule:sera:d083:s16,sera:repair_promise:audit:d083:s16,debt:repair_promise:sera,cause:repair_trust:resident:Sera:tick:01492,ssrm:v59:audit:snapshot:d083:t01492,resident=Sera|tick=1492|memory=sera:repair_promise:audit:d083:s16|debt=debt:repair_promise:sera,True,True
1493,83,Tovan,schedule:tovan:d083:s17,tovan:care_favor:audit:d083:s17,debt:care_favor:tovan,cause:move:resident:Tovan:tick:01493,ssrm:v59:audit:snapshot:d083:t01493,resident=Tovan|tick=1493|memory=tovan:care_favor:audit:d083:s17|debt=debt:care_favor:tovan,True,True
1494,84,Nia,schedule:nia:d084:s00,nia:tool_loan:audit:d084:s00,debt:tool_loan:nia,cause:offer_help:resident:Nia:tick:01494,ssrm:v59:audit:snapshot:d084:t01494,resident=Nia|tick=1494|memory=nia:tool_loan:audit:d084:s00|debt=debt:tool_loan:nia,True,True
1495,84,Ari,schedule:ari:d084:s01,ari:repair_promise:audit:d084:s01,debt:repair_promise:ari,cause:borrow_tool:resident:Ari:tick:01495,ssrm:v59:audit:snapshot:d084:t01495,resident=Ari|tick=1495|memory=ari:repair_promise:audit:d084:s01|debt=debt:repair_promise:ari,True,True
1496,84,Fay,schedule:fay:d084:s02,fay:care_favor:audit:d084:s02,debt:care_favor:fay,cause:return_tool:resident:Fay:tick:01496,ssrm:v59:audit:snapshot:d084:t01496,resident=Fay|tick=1496|memory=fay:care_favor:audit:d084:s02|debt=debt:care_favor:fay,True,True
1497,84,Milo,schedule:milo:d084:s03,milo:tool_loan:audit:d084:s03,debt:tool_loan:milo,cause:interrupt_work:resident:Milo:tick:01497,ssrm:v59:audit:snapshot:d084:t01497,resident=Milo|tick=1497|memory=milo:tool_loan:audit:d084:s03|debt=debt:tool_loan:milo,True,True
1498,84,Sera,schedule:sera:d084:s04,sera:repair_promise:audit:d084:s04,debt:repair_promise:sera,cause:wait_offscreen:resident:Sera:tick:01498,ssrm:v59:audit:snapshot:d084:t01498,resident=Sera|tick=1498|memory=sera:repair_promise:audit:d084:s04|debt=debt:repair_promise:sera,True,True
1499,84,Tovan,schedule:tovan:d084:s05,tovan:care_favor:audit:d084:s05,debt:care_favor:tovan,cause:repair_trust:resident:Tovan:tick:01499,ssrm:v59:audit:snapshot:d084:t01499,resident=Tovan|tick=1499|memory=tovan:care_favor:audit:d084:s05|debt=debt:care_favor:tovan,True,True
1500,84,Nia,schedule:nia:d084:s06,nia:tool_loan:audit:d084:s06,debt:tool_loan:nia,cause:move:resident:Nia:tick:01500,ssrm:v59:audit:snapshot:d084:t01500,resident=Nia|tick=1500|memory=nia:tool_loan:audit:d084:s06|debt=debt:tool_loan:nia,True,True
1501,84,Ari,schedule:ari:d084:s07,ari:repair_promise:audit:d084:s07,debt:repair_promise:ari,cause:talk:resident:Ari:tick:01501,ssrm:v59:audit:snapshot:d084:t01501,resident=Ari|tick=1501|memory=ari:repair_promise:audit:d084:s07|debt=debt:repair_promise:ari,True,True
1502,84,Fay,schedule:fay:d084:s08,fay:care_favor:audit:d084:s08,debt:care_favor:fay,cause:offer_help:resident:Fay:tick:01502,ssrm:v59:audit:snapshot:d084:t01502,resident=Fay|tick=1502|memory=fay:care_favor:audit:d084:s08|debt=debt:care_favor:fay,True,True
1503,84,Milo,schedule:milo:d084:s09,milo:tool_loan:audit:d084:s09,debt:tool_loan:milo,cause:borrow_tool:resident:Milo:tick:01503,ssrm:v59:audit:snapshot:d084:t01503,resident=Milo|tick=1503|memory=milo:tool_loan:audit:d084:s09|debt=debt:tool_loan:milo,True,True
1504,84,Sera,schedule:sera:d084:s10,sera:repair_promise:audit:d084:s10,debt:repair_promise:sera,cause:return_tool:resident:Sera:tick:01504,ssrm:v59:audit:snapshot:d084:t01504,resident=Sera|tick=1504|memory=sera:repair_promise:audit:d084:s10|debt=debt:repair_promise:sera,True,True
1505,84,Tovan,schedule:tovan:d084:s11,tovan:care_favor:audit:d084:s11,debt:care_favor:tovan,cause:interrupt_work:resident:Tovan:tick:01505,ssrm:v59:audit:snapshot:d084:t01505,resident=Tovan|tick=1505|memory=tovan:care_favor:audit:d084:s11|debt=debt:care_favor:tovan,True,True
1506,84,Nia,schedule:nia:d084:s12,nia:tool_loan:audit:d084:s12,debt:tool_loan:nia,cause:wait_offscreen:resident:Nia:tick:01506,ssrm:v59:audit:snapshot:d084:t01506,resident=Nia|tick=1506|memory=nia:tool_loan:audit:d084:s12|debt=debt:tool_loan:nia,True,True
1507,84,Ari,schedule:ari:d084:s13,ari:repair_promise:audit:d084:s13,debt:repair_promise:ari,cause:repair_trust:resident:Ari:tick:01507,ssrm:v59:audit:snapshot:d084:t01507,resident=Ari|tick=1507|memory=ari:repair_promise:audit:d084:s13|debt=debt:repair_promise:ari,True,True
1508,84,Fay,schedule:fay:d084:s14,fay:care_favor:audit:d084:s14,debt:care_favor:fay,cause:move:resident:Fay:tick:01508,ssrm:v59:audit:snapshot:d084:t01508,resident=Fay|tick=1508|memory=fay:care_favor:audit:d084:s14|debt=debt:care_favor:fay,True,True
1509,84,Milo,schedule:milo:d084:s15,milo:tool_loan:audit:d084:s15,debt:tool_loan:milo,cause:talk:resident:Milo:tick:01509,ssrm:v59:audit:snapshot:d084:t01509,resident=Milo|tick=1509|memory=milo:tool_loan:audit:d084:s15|debt=debt:tool_loan:milo,True,True
1510,84,Sera,schedule:sera:d084:s16,sera:repair_promise:audit:d084:s16,debt:repair_promise:sera,cause:offer_help:resident:Sera:tick:01510,ssrm:v59:audit:snapshot:d084:t01510,resident=Sera|tick=1510|memory=sera:repair_promise:audit:d084:s16|debt=debt:repair_promise:sera,True,True
1511,84,Tovan,schedule:tovan:d084:s17,tovan:care_favor:audit:d084:s17,debt:care_favor:tovan,cause:borrow_tool:resident:Tovan:tick:01511,ssrm:v59:audit:snapshot:d084:t01511,resident=Tovan|tick=1511|memory=tovan:care_favor:audit:d084:s17|debt=debt:care_favor:tovan,True,True
1512,85,Nia,schedule:nia:d085:s00,nia:tool_loan:audit:d085:s00,debt:tool_loan:nia,cause:interrupt_work:resident:Nia:tick:01512,ssrm:v59:audit:snapshot:d085:t01512,resident=Nia|tick=1512|memory=nia:tool_loan:audit:d085:s00|debt=debt:tool_loan:nia,True,True
1513,85,Ari,schedule:ari:d085:s01,ari:repair_promise:audit:d085:s01,debt:repair_promise:ari,cause:wait_offscreen:resident:Ari:tick:01513,ssrm:v59:audit:snapshot:d085:t01513,resident=Ari|tick=1513|memory=ari:repair_promise:audit:d085:s01|debt=debt:repair_promise:ari,True,True
1514,85,Fay,schedule:fay:d085:s02,fay:care_favor:audit:d085:s02,debt:care_favor:fay,cause:repair_trust:resident:Fay:tick:01514,ssrm:v59:audit:snapshot:d085:t01514,resident=Fay|tick=1514|memory=fay:care_favor:audit:d085:s02|debt=debt:care_favor:fay,True,True
1515,85,Milo,schedule:milo:d085:s03,milo:tool_loan:audit:d085:s03,debt:tool_loan:milo,cause:move:resident:Milo:tick:01515,ssrm:v59:audit:snapshot:d085:t01515,resident=Milo|tick=1515|memory=milo:tool_loan:audit:d085:s03|debt=debt:tool_loan:milo,True,True
1516,85,Sera,schedule:sera:d085:s04,sera:repair_promise:audit:d085:s04,debt:repair_promise:sera,cause:talk:resident:Sera:tick:01516,ssrm:v59:audit:snapshot:d085:t01516,resident=Sera|tick=1516|memory=sera:repair_promise:audit:d085:s04|debt=debt:repair_promise:sera,True,True
1517,85,Tovan,schedule:tovan:d085:s05,tovan:care_favor:audit:d085:s05,debt:care_favor:tovan,cause:offer_help:resident:Tovan:tick:01517,ssrm:v59:audit:snapshot:d085:t01517,resident=Tovan|tick=1517|memory=tovan:care_favor:audit:d085:s05|debt=debt:care_favor:tovan,True,True
1518,85,Nia,schedule:nia:d085:s06,nia:tool_loan:audit:d085:s06,debt:tool_loan:nia,cause:borrow_tool:resident:Nia:tick:01518,ssrm:v59:audit:snapshot:d085:t01518,resident=Nia|tick=1518|memory=nia:tool_loan:audit:d085:s06|debt=debt:tool_loan:nia,True,True
1519,85,Ari,schedule:ari:d085:s07,ari:repair_promise:audit:d085:s07,debt:repair_promise:ari,cause:return_tool:resident:Ari:tick:01519,ssrm:v59:audit:snapshot:d085:t01519,resident=Ari|tick=1519|memory=ari:repair_promise:audit:d085:s07|debt=debt:repair_promise:ari,True,True
1520,85,Fay,schedule:fay:d085:s08,fay:care_favor:audit:d085:s08,debt:care_favor:fay,cause:interrupt_work:resident:Fay:tick:01520,ssrm:v59:audit:snapshot:d085:t01520,resident=Fay|tick=1520|memory=fay:care_favor:audit:d085:s08|debt=debt:care_favor:fay,True,True
1521,85,Milo,schedule:milo:d085:s09,milo:tool_loan:audit:d085:s09,debt:tool_loan:milo,cause:wait_offscreen:resident:Milo:tick:01521,ssrm:v59:audit:snapshot:d085:t01521,resident=Milo|tick=1521|memory=milo:tool_loan:audit:d085:s09|debt=debt:tool_loan:milo,True,True
1522,85,Sera,schedule:sera:d085:s10,sera:repair_promise:audit:d085:s10,debt:repair_promise:sera,cause:repair_trust:resident:Sera:tick:01522,ssrm:v59:audit:snapshot:d085:t01522,resident=Sera|tick=1522|memory=sera:repair_promise:audit:d085:s10|debt=debt:repair_promise:sera,True,True
1523,85,Tovan,schedule:tovan:d085:s11,tovan:care_favor:audit:d085:s11,debt:care_favor:tovan,cause:move:resident:Tovan:tick:01523,ssrm:v59:audit:snapshot:d085:t01523,resident=Tovan|tick=1523|memory=tovan:care_favor:audit:d085:s11|debt=debt:care_favor:tovan,True,True
1524,85,Nia,schedule:nia:d085:s12,nia:tool_loan:audit:d085:s12,debt:tool_loan:nia,cause:talk:resident:Nia:tick:01524,ssrm:v59:audit:snapshot:d085:t01524,resident=Nia|tick=1524|memory=nia:tool_loan:audit:d085:s12|debt=debt:tool_loan:nia,True,True
1525,85,Ari,schedule:ari:d085:s13,ari:repair_promise:audit:d085:s13,debt:repair_promise:ari,cause:offer_help:resident:Ari:tick:01525,ssrm:v59:audit:snapshot:d085:t01525,resident=Ari|tick=1525|memory=ari:repair_promise:audit:d085:s13|debt=debt:repair_promise:ari,True,True
1526,85,Fay,schedule:fay:d085:s14,fay:care_favor:audit:d085:s14,debt:care_favor:fay,cause:borrow_tool:resident:Fay:tick:01526,ssrm:v59:audit:snapshot:d085:t01526,resident=Fay|tick=1526|memory=fay:care_favor:audit:d085:s14|debt=debt:care_favor:fay,True,True
1527,85,Milo,schedule:milo:d085:s15,milo:tool_loan:audit:d085:s15,debt:tool_loan:milo,cause:return_tool:resident:Milo:tick:01527,ssrm:v59:audit:snapshot:d085:t01527,resident=Milo|tick=1527|memory=milo:tool_loan:audit:d085:s15|debt=debt:tool_loan:milo,True,True
1528,85,Sera,schedule:sera:d085:s16,sera:repair_promise:audit:d085:s16,debt:repair_promise:sera,cause:interrupt_work:resident:Sera:tick:01528,ssrm:v59:audit:snapshot:d085:t01528,resident=Sera|tick=1528|memory=sera:repair_promise:audit:d085:s16|debt=debt:repair_promise:sera,True,True
1529,85,Tovan,schedule:tovan:d085:s17,tovan:care_favor:audit:d085:s17,debt:care_favor:tovan,cause:wait_offscreen:resident:Tovan:tick:01529,ssrm:v59:audit:snapshot:d085:t01529,resident=Tovan|tick=1529|memory=tovan:care_favor:audit:d085:s17|debt=debt:care_favor:tovan,True,True
1530,86,Nia,schedule:nia:d086:s00,nia:tool_loan:audit:d086:s00,debt:tool_loan:nia,cause:move:resident:Nia:tick:01530,ssrm:v59:audit:snapshot:d086:t01530,resident=Nia|tick=1530|memory=nia:tool_loan:audit:d086:s00|debt=debt:tool_loan:nia,True,True
1531,86,Ari,schedule:ari:d086:s01,ari:repair_promise:audit:d086:s01,debt:repair_promise:ari,cause:talk:resident:Ari:tick:01531,ssrm:v59:audit:snapshot:d086:t01531,resident=Ari|tick=1531|memory=ari:repair_promise:audit:d086:s01|debt=debt:repair_promise:ari,True,True
1532,86,Fay,schedule:fay:d086:s02,fay:care_favor:audit:d086:s02,debt:care_favor:fay,cause:offer_help:resident:Fay:tick:01532,ssrm:v59:audit:snapshot:d086:t01532,resident=Fay|tick=1532|memory=fay:care_favor:audit:d086:s02|debt=debt:care_favor:fay,True,True
1533,86,Milo,schedule:milo:d086:s03,milo:tool_loan:audit:d086:s03,debt:tool_loan:milo,cause:borrow_tool:resident:Milo:tick:01533,ssrm:v59:audit:snapshot:d086:t01533,resident=Milo|tick=1533|memory=milo:tool_loan:audit:d086:s03|debt=debt:tool_loan:milo,True,True
1534,86,Sera,schedule:sera:d086:s04,sera:repair_promise:audit:d086:s04,debt:repair_promise:sera,cause:return_tool:resident:Sera:tick:01534,ssrm:v59:audit:snapshot:d086:t01534,resident=Sera|tick=1534|memory=sera:repair_promise:audit:d086:s04|debt=debt:repair_promise:sera,True,True
1535,86,Tovan,schedule:tovan:d086:s05,tovan:care_favor:audit:d086:s05,debt:care_favor:tovan,cause:interrupt_work:resident:Tovan:tick:01535,ssrm:v59:audit:snapshot:d086:t01535,resident=Tovan|tick=1535|memory=tovan:care_favor:audit:d086:s05|debt=debt:care_favor:tovan,True,True
1536,86,Nia,schedule:nia:d086:s06,nia:tool_loan:audit:d086:s06,debt:tool_loan:nia,cause:wait_offscreen:resident:Nia:tick:01536,ssrm:v59:audit:snapshot:d086:t01536,resident=Nia|tick=1536|memory=nia:tool_loan:audit:d086:s06|debt=debt:tool_loan:nia,True,True
1537,86,Ari,schedule:ari:d086:s07,ari:repair_promise:audit:d086:s07,debt:repair_promise:ari,cause:repair_trust:resident:Ari:tick:01537,ssrm:v59:audit:snapshot:d086:t01537,resident=Ari|tick=1537|memory=ari:repair_promise:audit:d086:s07|debt=debt:repair_promise:ari,True,True
1538,86,Fay,schedule:fay:d086:s08,fay:care_favor:audit:d086:s08,debt:care_favor:fay,cause:move:resident:Fay:tick:01538,ssrm:v59:audit:snapshot:d086:t01538,resident=Fay|tick=1538|memory=fay:care_favor:audit:d086:s08|debt=debt:care_favor:fay,True,True
1539,86,Milo,schedule:milo:d086:s09,milo:tool_loan:audit:d086:s09,debt:tool_loan:milo,cause:talk:resident:Milo:tick:01539,ssrm:v59:audit:snapshot:d086:t01539,resident=Milo|tick=1539|memory=milo:tool_loan:audit:d086:s09|debt=debt:tool_loan:milo,True,True
1540,86,Sera,schedule:sera:d086:s10,sera:repair_promise:audit:d086:s10,debt:repair_promise:sera,cause:offer_help:resident:Sera:tick:01540,ssrm:v59:audit:snapshot:d086:t01540,resident=Sera|tick=1540|memory=sera:repair_promise:audit:d086:s10|debt=debt:repair_promise:sera,True,True
1541,86,Tovan,schedule:tovan:d086:s11,tovan:care_favor:audit:d086:s11,debt:care_favor:tovan,cause:borrow_tool:resident:Tovan:tick:01541,ssrm:v59:audit:snapshot:d086:t01541,resident=Tovan|tick=1541|memory=tovan:care_favor:audit:d086:s11|debt=debt:care_favor:tovan,True,True
1542,86,Nia,schedule:nia:d086:s12,nia:tool_loan:audit:d086:s12,debt:tool_loan:nia,cause:return_tool:resident:Nia:tick:01542,ssrm:v59:audit:snapshot:d086:t01542,resident=Nia|tick=1542|memory=nia:tool_loan:audit:d086:s12|debt=debt:tool_loan:nia,True,True
1543,86,Ari,schedule:ari:d086:s13,ari:repair_promise:audit:d086:s13,debt:repair_promise:ari,cause:interrupt_work:resident:Ari:tick:01543,ssrm:v59:audit:snapshot:d086:t01543,resident=Ari|tick=1543|memory=ari:repair_promise:audit:d086:s13|debt=debt:repair_promise:ari,True,True
1544,86,Fay,schedule:fay:d086:s14,fay:care_favor:audit:d086:s14,debt:care_favor:fay,cause:wait_offscreen:resident:Fay:tick:01544,ssrm:v59:audit:snapshot:d086:t01544,resident=Fay|tick=1544|memory=fay:care_favor:audit:d086:s14|debt=debt:care_favor:fay,True,True
1545,86,Milo,schedule:milo:d086:s15,milo:tool_loan:audit:d086:s15,debt:tool_loan:milo,cause:repair_trust:resident:Milo:tick:01545,ssrm:v59:audit:snapshot:d086:t01545,resident=Milo|tick=1545|memory=milo:tool_loan:audit:d086:s15|debt=debt:tool_loan:milo,True,True
1546,86,Sera,schedule:sera:d086:s16,sera:repair_promise:audit:d086:s16,debt:repair_promise:sera,cause:move:resident:Sera:tick:01546,ssrm:v59:audit:snapshot:d086:t01546,resident=Sera|tick=1546|memory=sera:repair_promise:audit:d086:s16|debt=debt:repair_promise:sera,True,True
1547,86,Tovan,schedule:tovan:d086:s17,tovan:care_favor:audit:d086:s17,debt:care_favor:tovan,cause:talk:resident:Tovan:tick:01547,ssrm:v59:audit:snapshot:d086:t01547,resident=Tovan|tick=1547|memory=tovan:care_favor:audit:d086:s17|debt=debt:care_favor:tovan,True,True
1548,87,Nia,schedule:nia:d087:s00,nia:tool_loan:audit:d087:s00,debt:tool_loan:nia,cause:borrow_tool:resident:Nia:tick:01548,ssrm:v59:audit:snapshot:d087:t01548,resident=Nia|tick=1548|memory=nia:tool_loan:audit:d087:s00|debt=debt:tool_loan:nia,True,True
1549,87,Ari,schedule:ari:d087:s01,ari:repair_promise:audit:d087:s01,debt:repair_promise:ari,cause:return_tool:resident:Ari:tick:01549,ssrm:v59:audit:snapshot:d087:t01549,resident=Ari|tick=1549|memory=ari:repair_promise:audit:d087:s01|debt=debt:repair_promise:ari,True,True
1550,87,Fay,schedule:fay:d087:s02,fay:care_favor:audit:d087:s02,debt:care_favor:fay,cause:interrupt_work:resident:Fay:tick:01550,ssrm:v59:audit:snapshot:d087:t01550,resident=Fay|tick=1550|memory=fay:care_favor:audit:d087:s02|debt=debt:care_favor:fay,True,True
1551,87,Milo,schedule:milo:d087:s03,milo:tool_loan:audit:d087:s03,debt:tool_loan:milo,cause:wait_offscreen:resident:Milo:tick:01551,ssrm:v59:audit:snapshot:d087:t01551,resident=Milo|tick=1551|memory=milo:tool_loan:audit:d087:s03|debt=debt:tool_loan:milo,True,True
1552,87,Sera,schedule:sera:d087:s04,sera:repair_promise:audit:d087:s04,debt:repair_promise:sera,cause:repair_trust:resident:Sera:tick:01552,ssrm:v59:audit:snapshot:d087:t01552,resident=Sera|tick=1552|memory=sera:repair_promise:audit:d087:s04|debt=debt:repair_promise:sera,True,True
1553,87,Tovan,schedule:tovan:d087:s05,tovan:care_favor:audit:d087:s05,debt:care_favor:tovan,cause:move:resident:Tovan:tick:01553,ssrm:v59:audit:snapshot:d087:t01553,resident=Tovan|tick=1553|memory=tovan:care_favor:audit:d087:s05|debt=debt:care_favor:tovan,True,True
1554,87,Nia,schedule:nia:d087:s06,nia:tool_loan:audit:d087:s06,debt:tool_loan:nia,cause:talk:resident:Nia:tick:01554,ssrm:v59:audit:snapshot:d087:t01554,resident=Nia|tick=1554|memory=nia:tool_loan:audit:d087:s06|debt=debt:tool_loan:nia,True,True
1555,87,Ari,schedule:ari:d087:s07,ari:repair_promise:audit:d087:s07,debt:repair_promise:ari,cause:offer_help:resident:Ari:tick:01555,ssrm:v59:audit:snapshot:d087:t01555,resident=Ari|tick=1555|memory=ari:repair_promise:audit:d087:s07|debt=debt:repair_promise:ari,True,True
1556,87,Fay,schedule:fay:d087:s08,fay:care_favor:audit:d087:s08,debt:care_favor:fay,cause:borrow_tool:resident:Fay:tick:01556,ssrm:v59:audit:snapshot:d087:t01556,resident=Fay|tick=1556|memory=fay:care_favor:audit:d087:s08|debt=debt:care_favor:fay,True,True
1557,87,Milo,schedule:milo:d087:s09,milo:tool_loan:audit:d087:s09,debt:tool_loan:milo,cause:return_tool:resident:Milo:tick:01557,ssrm:v59:audit:snapshot:d087:t01557,resident=Milo|tick=1557|memory=milo:tool_loan:audit:d087:s09|debt=debt:tool_loan:milo,True,True
1558,87,Sera,schedule:sera:d087:s10,sera:repair_promise:audit:d087:s10,debt:repair_promise:sera,cause:interrupt_work:resident:Sera:tick:01558,ssrm:v59:audit:snapshot:d087:t01558,resident=Sera|tick=1558|memory=sera:repair_promise:audit:d087:s10|debt=debt:repair_promise:sera,True,True
1559,87,Tovan,schedule:tovan:d087:s11,tovan:care_favor:audit:d087:s11,debt:care_favor:tovan,cause:wait_offscreen:resident:Tovan:tick:01559,ssrm:v59:audit:snapshot:d087:t01559,resident=Tovan|tick=1559|memory=tovan:care_favor:audit:d087:s11|debt=debt:care_favor:tovan,True,True
1560,87,Nia,schedule:nia:d087:s12,nia:tool_loan:audit:d087:s12,debt:tool_loan:nia,cause:repair_trust:resident:Nia:tick:01560,ssrm:v59:audit:snapshot:d087:t01560,resident=Nia|tick=1560|memory=nia:tool_loan:audit:d087:s12|debt=debt:tool_loan:nia,True,True
1561,87,Ari,schedule:ari:d087:s13,ari:repair_promise:audit:d087:s13,debt:repair_promise:ari,cause:move:resident:Ari:tick:01561,ssrm:v59:audit:snapshot:d087:t01561,resident=Ari|tick=1561|memory=ari:repair_promise:audit:d087:s13|debt=debt:repair_promise:ari,True,True
1562,87,Fay,schedule:fay:d087:s14,fay:care_favor:audit:d087:s14,debt:care_favor:fay,cause:talk:resident:Fay:tick:01562,ssrm:v59:audit:snapshot:d087:t01562,resident=Fay|tick=1562|memory=fay:care_favor:audit:d087:s14|debt=debt:care_favor:fay,True,True
1563,87,Milo,schedule:milo:d087:s15,milo:tool_loan:audit:d087:s15,debt:tool_loan:milo,cause:offer_help:resident:Milo:tick:01563,ssrm:v59:audit:snapshot:d087:t01563,resident=Milo|tick=1563|memory=milo:tool_loan:audit:d087:s15|debt=debt:tool_loan:milo,True,True
1564,87,Sera,schedule:sera:d087:s16,sera:repair_promise:audit:d087:s16,debt:repair_promise:sera,cause:borrow_tool:resident:Sera:tick:01564,ssrm:v59:audit:snapshot:d087:t01564,resident=Sera|tick=1564|memory=sera:repair_promise:audit:d087:s16|debt=debt:repair_promise:sera,True,True
1565,87,Tovan,schedule:tovan:d087:s17,tovan:care_favor:audit:d087:s17,debt:care_favor:tovan,cause:return_tool:resident:Tovan:tick:01565,ssrm:v59:audit:snapshot:d087:t01565,resident=Tovan|tick=1565|memory=tovan:care_favor:audit:d087:s17|debt=debt:care_favor:tovan,True,True
1566,88,Nia,schedule:nia:d088:s00,nia:tool_loan:audit:d088:s00,debt:tool_loan:nia,cause:wait_offscreen:resident:Nia:tick:01566,ssrm:v59:audit:snapshot:d088:t01566,resident=Nia|tick=1566|memory=nia:tool_loan:audit:d088:s00|debt=debt:tool_loan:nia,True,True
1567,88,Ari,schedule:ari:d088:s01,ari:repair_promise:audit:d088:s01,debt:repair_promise:ari,cause:repair_trust:resident:Ari:tick:01567,ssrm:v59:audit:snapshot:d088:t01567,resident=Ari|tick=1567|memory=ari:repair_promise:audit:d088:s01|debt=debt:repair_promise:ari,True,True
1568,88,Fay,schedule:fay:d088:s02,fay:care_favor:audit:d088:s02,debt:care_favor:fay,cause:move:resident:Fay:tick:01568,ssrm:v59:audit:snapshot:d088:t01568,resident=Fay|tick=1568|memory=fay:care_favor:audit:d088:s02|debt=debt:care_favor:fay,True,True
1569,88,Milo,schedule:milo:d088:s03,milo:tool_loan:audit:d088:s03,debt:tool_loan:milo,cause:talk:resident:Milo:tick:01569,ssrm:v59:audit:snapshot:d088:t01569,resident=Milo|tick=1569|memory=milo:tool_loan:audit:d088:s03|debt=debt:tool_loan:milo,True,True
1570,88,Sera,schedule:sera:d088:s04,sera:repair_promise:audit:d088:s04,debt:repair_promise:sera,cause:offer_help:resident:Sera:tick:01570,ssrm:v59:audit:snapshot:d088:t01570,resident=Sera|tick=1570|memory=sera:repair_promise:audit:d088:s04|debt=debt:repair_promise:sera,True,True
