tick,day,import_hash,export_hash,save_restore_available,carried_post_entry_hash,autonomous_tick_count,memory_count,welfare_count,interaction_count,durable_keys
153,11,2934d33b0d50cb6e,b0f477bc2fd7f03f,False,38a32e34e61b70e2,153,153,153,76,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
154,11,58437d85972f3ab8,58437d85972f3ab8,True,38a32e34e61b70e2,154,154,154,77,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
155,12,58437d85972f3ab8,fe583ddc4f9918b0,False,38a32e34e61b70e2,155,155,155,77,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
156,12,58437d85972f3ab8,125e5ca1d4f2bb26,False,38a32e34e61b70e2,156,156,156,78,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
157,12,58437d85972f3ab8,bf091a6ec8319935,False,38a32e34e61b70e2,157,157,157,78,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
158,12,58437d85972f3ab8,c220085ed2ecf3fc,False,38a32e34e61b70e2,158,158,158,79,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
159,12,58437d85972f3ab8,f0824bd087487471,False,38a32e34e61b70e2,159,159,159,79,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
160,12,58437d85972f3ab8,53ac1cc573e16583,False,38a32e34e61b70e2,160,160,160,80,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
161,12,58437d85972f3ab8,0b5090bd74d5913d,False,38a32e34e61b70e2,161,161,161,80,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
162,12,58437d85972f3ab8,2b22ad5cc3c41310,False,38a32e34e61b70e2,162,162,162,81,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
163,12,58437d85972f3ab8,3c5fb98fee3d8493,False,38a32e34e61b70e2,163,163,163,81,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
164,12,58437d85972f3ab8,4246779a0e56b6fd,False,38a32e34e61b70e2,164,164,164,82,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
165,12,58437d85972f3ab8,c77baa2bf9858250,False,38a32e34e61b70e2,165,165,165,82,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
166,12,58437d85972f3ab8,3479891de5a74588,False,38a32e34e61b70e2,166,166,166,83,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
167,12,58437d85972f3ab8,d0fd267870908529,False,38a32e34e61b70e2,167,167,167,83,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
168,12,394e4cdc04ce6503,394e4cdc04ce6503,True,38a32e34e61b70e2,168,168,168,84,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
169,13,394e4cdc04ce6503,3ccd5d9ace47decc,False,38a32e34e61b70e2,169,169,169,84,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
170,13,394e4cdc04ce6503,b3caa3f9721380de,False,38a32e34e61b70e2,170,170,170,85,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
171,13,394e4cdc04ce6503,86dfb7c3afc62698,False,38a32e34e61b70e2,171,171,171,85,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
172,13,394e4cdc04ce6503,2554d54ec368d8c8,False,38a32e34e61b70e2,172,172,172,86,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
173,13,394e4cdc04ce6503,c19c2f98fc10219d,False,38a32e34e61b70e2,173,173,173,86,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
174,13,394e4cdc04ce6503,73c1fac520e5e549,False,38a32e34e61b70e2,174,174,174,87,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
175,13,394e4cdc04ce6503,e06e6b5cbf03ce7f,False,38a32e34e61b70e2,175,175,175,87,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
176,13,394e4cdc04ce6503,a906ef805bb93ea8,False,38a32e34e61b70e2,176,176,176,88,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
177,13,394e4cdc04ce6503,e0394736e4c6602d,False,38a32e34e61b70e2,177,177,177,88,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
178,13,394e4cdc04ce6503,06309452f17ca64e,False,38a32e34e61b70e2,178,178,178,89,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
179,13,394e4cdc04ce6503,897eddb3d7c06487,False,38a32e34e61b70e2,179,179,179,89,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
180,13,394e4cdc04ce6503,2adb4d5aa2d3f427,False,38a32e34e61b70e2,180,180,180,90,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
181,13,394e4cdc04ce6503,4fdf36b0660191f8,False,38a32e34e61b70e2,181,181,181,90,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
182,13,8ccf65bd4d7ef157,8ccf65bd4d7ef157,True,38a32e34e61b70e2,182,182,182,91,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
183,14,8ccf65bd4d7ef157,d47a8b705896b25b,False,38a32e34e61b70e2,183,183,183,91,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
184,14,8ccf65bd4d7ef157,708c7e005e548ab6,False,38a32e34e61b70e2,184,184,184,92,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
185,14,8ccf65bd4d7ef157,6052d34ca684292c,False,38a32e34e61b70e2,185,185,185,92,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
186,14,8ccf65bd4d7ef157,0356e24d266d7960,False,38a32e34e61b70e2,186,186,186,93,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
187,14,8ccf65bd4d7ef157,ca286bb7b24a0bb3,False,38a32e34e61b70e2,187,187,187,93,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
188,14,8ccf65bd4d7ef157,d2a34d15f4b8d4dc,False,38a32e34e61b70e2,188,188,188,94,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
189,14,8ccf65bd4d7ef157,9748679c65362f76,False,38a32e34e61b70e2,189,189,189,94,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
190,14,8ccf65bd4d7ef157,18c26454037e99c9,False,38a32e34e61b70e2,190,190,190,95,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
191,14,8ccf65bd4d7ef157,f8a3f399c9f57494,False,38a32e34e61b70e2,191,191,191,95,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
192,14,8ccf65bd4d7ef157,eaf9bb5704d11c2c,False,38a32e34e61b70e2,192,192,192,96,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
193,14,8ccf65bd4d7ef157,636a5c0f54ddaad0,False,38a32e34e61b70e2,193,193,193,96,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
194,14,8ccf65bd4d7ef157,f389a290e16e9ea1,False,38a32e34e61b70e2,194,194,194,97,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
195,14,8ccf65bd4d7ef157,b8fb1f53bf19f2ce,False,38a32e34e61b70e2,195,195,195,97,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
196,14,ebe46d7f7bcb6f06,ebe46d7f7bcb6f06,True,38a32e34e61b70e2,196,196,196,98,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
197,15,ebe46d7f7bcb6f06,43f1a2029bd9212a,False,38a32e34e61b70e2,197,197,197,98,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
198,15,ebe46d7f7bcb6f06,3d7a40b7a180430d,False,38a32e34e61b70e2,198,198,198,99,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
199,15,ebe46d7f7bcb6f06,e279f9349638ccf2,False,38a32e34e61b70e2,199,199,199,99,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
200,15,ebe46d7f7bcb6f06,c8aa2e8366fb2b98,False,38a32e34e61b70e2,200,200,200,100,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
201,15,ebe46d7f7bcb6f06,0f35f22ca63c9dbd,False,38a32e34e61b70e2,201,201,201,100,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
202,15,ebe46d7f7bcb6f06,68526b9d5c89c287,False,38a32e34e61b70e2,202,202,202,101,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
203,15,ebe46d7f7bcb6f06,9bfec786ea4b98cb,False,38a32e34e61b70e2,203,203,203,101,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
204,15,ebe46d7f7bcb6f06,e67b4499fc355ce3,False,38a32e34e61b70e2,204,204,204,102,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
205,15,ebe46d7f7bcb6f06,8c467fa53c93ff9a,False,38a32e34e61b70e2,205,205,205,102,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
206,15,ebe46d7f7bcb6f06,ffb858bf5cacbb19,False,38a32e34e61b70e2,206,206,206,103,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
207,15,ebe46d7f7bcb6f06,61e5dfb1279cd6d3,False,38a32e34e61b70e2,207,207,207,103,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
208,15,ebe46d7f7bcb6f06,af0ca83c59bb3ff2,False,38a32e34e61b70e2,208,208,208,104,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
209,15,ebe46d7f7bcb6f06,ab64449c148abb14,False,38a32e34e61b70e2,209,209,209,104,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
210,15,15be1c94191aa2c6,15be1c94191aa2c6,True,38a32e34e61b70e2,210,210,210,105,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
211,16,15be1c94191aa2c6,298f7a279a32f324,False,38a32e34e61b70e2,211,211,211,105,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
212,16,15be1c94191aa2c6,9812221c5b4cdc3f,False,38a32e34e61b70e2,212,212,212,106,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
213,16,15be1c94191aa2c6,1f26aeef1dca06d6,False,38a32e34e61b70e2,213,213,213,106,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
214,16,15be1c94191aa2c6,5d46674ed2929652,False,38a32e34e61b70e2,214,214,214,107,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
215,16,15be1c94191aa2c6,60c8e731a563a147,False,38a32e34e61b70e2,215,215,215,107,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
216,16,15be1c94191aa2c6,74bbc3505a492f0b,False,38a32e34e61b70e2,216,216,216,108,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
217,16,15be1c94191aa2c6,aa680ad0df1bcead,False,38a32e34e61b70e2,217,217,217,108,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
218,16,15be1c94191aa2c6,722f28bebbebdc38,False,38a32e34e61b70e2,218,218,218,109,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
219,16,15be1c94191aa2c6,1416c41bcb50d27c,False,38a32e34e61b70e2,219,219,219,109,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
220,16,15be1c94191aa2c6,a7fa7bbb1cba585d,False,38a32e34e61b70e2,220,220,220,110,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
221,16,15be1c94191aa2c6,ee00ce6f8f45fb2c,False,38a32e34e61b70e2,221,221,221,110,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
222,16,15be1c94191aa2c6,578dc7e975f315d6,False,38a32e34e61b70e2,222,222,222,111,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
223,16,15be1c94191aa2c6,adddd44ddf4118cb,False,38a32e34e61b70e2,223,223,223,111,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
224,16,1e32f719cd7eddb0,1e32f719cd7eddb0,True,38a32e34e61b70e2,224,224,224,112,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
