tick,day,resident,resource_name,resource_before,resource_after,item_name,item_before,item_after,widget_patch,visible_delta,localstorage_written
1096,61,Fay,wood,31,30,dry cloak,3,3,"{""after"": 30, ""before"": 31, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:-1; dry cloak:+0,True
1097,61,Milo,stone,9,10,sealed jar,0,1,"{""after"": 10, ""before"": 9, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; sealed jar:+1,True
1098,62,Sera,herb,11,12,patch kit,0,0,"{""after"": 12, ""before"": 11, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; patch kit:+0,True
1099,62,Tovan,charcoal,12,11,dry cloak,2,2,"{""after"": 11, ""before"": 12, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
1100,62,Nia,water,13,14,sealed jar,4,5,"{""after"": 14, ""before"": 13, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""water""}",water:+1; sealed jar:+1,True
1101,62,Ari,fiber,14,13,patch kit,0,0,"{""after"": 13, ""before"": 14, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; patch kit:+0,True
1102,62,Fay,wood,15,16,dry cloak,2,3,"{""after"": 16, ""before"": 15, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:+1; dry cloak:+1,True
1103,62,Milo,stone,16,15,sealed jar,4,4,"{""after"": 15, ""before"": 16, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
1104,62,Sera,copper,17,18,patch kit,1,0,"{""after"": 18, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:+1; patch kit:-1,True
1105,62,Tovan,herb,18,17,dry cloak,3,3,"{""after"": 17, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
1106,62,Nia,charcoal,19,20,sealed jar,0,0,"{""after"": 20, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
1107,62,Ari,water,20,19,patch kit,1,2,"{""after"": 19, ""before"": 20, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; patch kit:+1,True
1108,62,Fay,fiber,21,22,dry cloak,3,3,"{""after"": 22, ""before"": 21, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
1109,62,Milo,wood,22,21,sealed jar,0,1,"{""after"": 21, ""before"": 22, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; sealed jar:+1,True
1110,62,Sera,stone,23,24,patch kit,2,1,"{""after"": 24, ""before"": 23, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; patch kit:-1,True
1111,62,Tovan,copper,24,23,dry cloak,4,4,"{""after"": 23, ""before"": 24, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
1112,62,Nia,herb,25,26,sealed jar,1,1,"{""after"": 26, ""before"": 25, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:+1; sealed jar:+0,True
1113,62,Ari,charcoal,26,25,patch kit,2,1,"{""after"": 25, ""before"": 26, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:-1; patch kit:-1,True
1114,62,Fay,water,27,28,dry cloak,4,5,"{""after"": 28, ""before"": 27, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""water""}",water:+1; dry cloak:+1,True
1115,62,Milo,fiber,28,27,sealed jar,1,1,"{""after"": 27, ""before"": 28, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:-1; sealed jar:+0,True
1116,63,Sera,stone,30,29,patch kit,1,0,"{""after"": 29, ""before"": 30, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:-1; patch kit:-1,True
1117,63,Tovan,copper,31,32,dry cloak,3,3,"{""after"": 32, ""before"": 31, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
1118,63,Nia,herb,9,8,sealed jar,0,0,"{""after"": 8, ""before"": 9, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:-1; sealed jar:+0,True
1119,63,Ari,charcoal,10,11,patch kit,1,2,"{""after"": 11, ""before"": 10, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; patch kit:+1,True
1120,63,Fay,water,11,10,dry cloak,3,3,"{""after"": 10, ""before"": 11, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""water""}",water:-1; dry cloak:+0,True
1121,63,Milo,fiber,12,13,sealed jar,0,1,"{""after"": 13, ""before"": 12, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; sealed jar:+1,True
1122,63,Sera,wood,13,12,patch kit,2,1,"{""after"": 12, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; patch kit:-1,True
1123,63,Tovan,stone,14,15,dry cloak,4,4,"{""after"": 15, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""stone""}",stone:+1; dry cloak:+0,True
1124,63,Nia,copper,15,14,sealed jar,1,1,"{""after"": 14, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""copper""}",copper:-1; sealed jar:+0,True
1125,63,Ari,herb,16,17,patch kit,2,1,"{""after"": 17, ""before"": 16, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
1126,63,Fay,charcoal,17,16,dry cloak,4,5,"{""after"": 16, ""before"": 17, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+1,True
1127,63,Milo,water,18,19,sealed jar,1,1,"{""after"": 19, ""before"": 18, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""water""}",water:+1; sealed jar:+0,True
1128,63,Sera,fiber,19,18,patch kit,3,4,"{""after"": 18, ""before"": 19, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; patch kit:+1,True
1129,63,Tovan,wood,20,21,dry cloak,0,0,"{""after"": 21, ""before"": 20, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; dry cloak:+0,True
1130,63,Nia,stone,21,20,sealed jar,2,2,"{""after"": 20, ""before"": 21, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
1131,63,Ari,copper,22,23,patch kit,3,2,"{""after"": 23, ""before"": 22, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; patch kit:-1,True
1132,63,Fay,herb,23,22,dry cloak,0,0,"{""after"": 22, ""before"": 23, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
1133,63,Milo,charcoal,24,25,sealed jar,2,3,"{""after"": 25, ""before"": 24, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+1,True
1134,64,Sera,fiber,26,27,patch kit,2,1,"{""after"": 27, ""before"": 26, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
1135,64,Tovan,wood,27,26,dry cloak,4,4,"{""after"": 26, ""before"": 27, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:-1; dry cloak:+0,True
1136,64,Nia,stone,28,29,sealed jar,1,1,"{""after"": 29, ""before"": 28, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
1137,64,Ari,copper,29,28,patch kit,2,1,"{""after"": 28, ""before"": 29, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""copper""}",copper:-1; patch kit:-1,True
1138,64,Fay,herb,30,31,dry cloak,4,5,"{""after"": 31, ""before"": 30, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""herb""}",herb:+1; dry cloak:+1,True
1139,64,Milo,charcoal,31,30,sealed jar,1,1,"{""after"": 30, ""before"": 31, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
1140,64,Sera,water,9,10,patch kit,3,4,"{""after"": 10, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; patch kit:+1,True
1141,64,Tovan,fiber,10,9,dry cloak,0,0,"{""after"": 9, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
1142,64,Nia,wood,11,12,sealed jar,2,2,"{""after"": 12, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:+1; sealed jar:+0,True
1143,64,Ari,stone,12,11,patch kit,3,2,"{""after"": 11, ""before"": 12, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:-1; patch kit:-1,True
1144,64,Fay,copper,13,14,dry cloak,0,0,"{""after"": 14, ""before"": 13, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
1145,64,Milo,herb,14,13,sealed jar,2,3,"{""after"": 13, ""before"": 14, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:-1; sealed jar:+1,True
1146,64,Sera,charcoal,15,16,patch kit,4,3,"{""after"": 16, ""before"": 15, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:+1; patch kit:-1,True
1147,64,Tovan,water,16,15,dry cloak,1,2,"{""after"": 15, ""before"": 16, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; dry cloak:+1,True
1148,64,Nia,fiber,17,18,sealed jar,3,3,"{""after"": 18, ""before"": 17, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:+1; sealed jar:+0,True
1149,64,Ari,wood,18,17,patch kit,4,3,"{""after"": 17, ""before"": 18, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:-1; patch kit:-1,True
1150,64,Fay,stone,19,20,dry cloak,1,1,"{""after"": 20, ""before"": 19, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; dry cloak:+0,True
1151,64,Milo,copper,20,19,sealed jar,3,3,"{""after"": 19, ""before"": 20, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:-1; sealed jar:+0,True
1152,65,Sera,charcoal,22,21,patch kit,3,4,"{""after"": 21, ""before"": 22, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:-1; patch kit:+1,True
1153,65,Tovan,water,23,24,dry cloak,0,0,"{""after"": 24, ""before"": 23, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; dry cloak:+0,True
1154,65,Nia,fiber,24,23,sealed jar,2,2,"{""after"": 23, ""before"": 24, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:-1; sealed jar:+0,True
1155,65,Ari,wood,25,26,patch kit,3,2,"{""after"": 26, ""before"": 25, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:+1; patch kit:-1,True
1156,65,Fay,stone,26,25,dry cloak,0,0,"{""after"": 25, ""before"": 26, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:-1; dry cloak:+0,True
1157,65,Milo,copper,27,28,sealed jar,2,3,"{""after"": 28, ""before"": 27, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; sealed jar:+1,True
1158,65,Sera,herb,28,27,patch kit,4,3,"{""after"": 27, ""before"": 28, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:-1; patch kit:-1,True
1159,65,Tovan,charcoal,29,30,dry cloak,1,2,"{""after"": 30, ""before"": 29, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+1,True
1160,65,Nia,water,30,29,sealed jar,3,3,"{""after"": 29, ""before"": 30, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""water""}",water:-1; sealed jar:+0,True
1161,65,Ari,fiber,31,32,patch kit,4,3,"{""after"": 32, ""before"": 31, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
1162,65,Fay,wood,9,8,dry cloak,1,1,"{""after"": 8, ""before"": 9, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; dry cloak:+0,True
1163,65,Milo,stone,10,11,sealed jar,3,3,"{""after"": 11, ""before"": 10, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
1164,65,Sera,copper,11,10,patch kit,0,1,"{""after"": 10, ""before"": 11, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""copper""}",copper:-1; patch kit:+1,True
1165,65,Tovan,herb,12,13,dry cloak,2,2,"{""after"": 13, ""before"": 12, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:+1; dry cloak:+0,True
1166,65,Nia,charcoal,13,12,sealed jar,4,5,"{""after"": 12, ""before"": 13, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+1,True
1167,65,Ari,water,14,15,patch kit,0,0,"{""after"": 15, ""before"": 14, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; patch kit:+0,True
1168,65,Fay,fiber,15,14,dry cloak,2,2,"{""after"": 14, ""before"": 15, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
1169,65,Milo,wood,16,17,sealed jar,4,4,"{""after"": 17, ""before"": 16, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:+1; sealed jar:+0,True
1170,66,Sera,copper,18,19,patch kit,4,3,"{""after"": 19, ""before"": 18, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; patch kit:-1,True
1171,66,Tovan,herb,19,18,dry cloak,1,2,"{""after"": 18, ""before"": 19, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; dry cloak:+1,True
1172,66,Nia,charcoal,20,21,sealed jar,3,3,"{""after"": 21, ""before"": 20, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
1173,66,Ari,water,21,20,patch kit,4,3,"{""after"": 20, ""before"": 21, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""water""}",water:-1; patch kit:-1,True
1174,66,Fay,fiber,22,23,dry cloak,1,1,"{""after"": 23, ""before"": 22, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
1175,66,Milo,wood,23,22,sealed jar,3,3,"{""after"": 22, ""before"": 23, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:-1; sealed jar:+0,True
1176,66,Sera,stone,24,25,patch kit,0,1,"{""after"": 25, ""before"": 24, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; patch kit:+1,True
1177,66,Tovan,copper,25,24,dry cloak,2,2,"{""after"": 24, ""before"": 25, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
1178,66,Nia,herb,26,27,sealed jar,4,5,"{""after"": 27, ""before"": 26, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""herb""}",herb:+1; sealed jar:+1,True
1179,66,Ari,charcoal,27,26,patch kit,0,0,"{""after"": 26, ""before"": 27, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; patch kit:+0,True
1180,66,Fay,water,28,29,dry cloak,2,2,"{""after"": 29, ""before"": 28, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""water""}",water:+1; dry cloak:+0,True
1181,66,Milo,fiber,29,28,sealed jar,4,4,"{""after"": 28, ""before"": 29, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; sealed jar:+0,True
1182,66,Sera,wood,30,31,patch kit,1,0,"{""after"": 31, ""before"": 30, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; patch kit:-1,True
1183,66,Tovan,stone,31,30,dry cloak,3,4,"{""after"": 30, ""before"": 31, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""stone""}",stone:-1; dry cloak:+1,True
1184,66,Nia,copper,9,10,sealed jar,0,0,"{""after"": 10, ""before"": 9, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:+1; sealed jar:+0,True
1185,66,Ari,herb,10,9,patch kit,1,2,"{""after"": 9, ""before"": 10, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; patch kit:+1,True
1186,66,Fay,charcoal,11,12,dry cloak,3,3,"{""after"": 12, ""before"": 11, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+0,True
1187,66,Milo,water,12,11,sealed jar,0,0,"{""after"": 11, ""before"": 12, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""water""}",water:-1; sealed jar:+0,True
1188,67,Sera,wood,14,13,patch kit,0,1,"{""after"": 13, ""before"": 14, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; patch kit:+1,True
1189,67,Tovan,stone,15,16,dry cloak,2,2,"{""after"": 16, ""before"": 15, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:+1; dry cloak:+0,True
1190,67,Nia,copper,16,15,sealed jar,4,5,"{""after"": 15, ""before"": 16, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""copper""}",copper:-1; sealed jar:+1,True
1191,67,Ari,herb,17,18,patch kit,0,0,"{""after"": 18, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; patch kit:+0,True
1192,67,Fay,charcoal,18,17,dry cloak,2,2,"{""after"": 17, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
1193,67,Milo,water,19,20,sealed jar,4,4,"{""after"": 20, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; sealed jar:+0,True
1194,67,Sera,fiber,20,19,patch kit,1,0,"{""after"": 19, ""before"": 20, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; patch kit:-1,True
1195,67,Tovan,wood,21,22,dry cloak,3,4,"{""after"": 22, ""before"": 21, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:+1; dry cloak:+1,True
1196,67,Nia,stone,22,21,sealed jar,0,0,"{""after"": 21, ""before"": 22, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
1197,67,Ari,copper,23,24,patch kit,1,2,"{""after"": 24, ""before"": 23, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; patch kit:+1,True
1198,67,Fay,herb,24,23,dry cloak,3,3,"{""after"": 23, ""before"": 24, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
1199,67,Milo,charcoal,25,26,sealed jar,0,0,"{""after"": 26, ""before"": 25, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
1200,67,Sera,water,26,25,patch kit,2,1,"{""after"": 25, ""before"": 26, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; patch kit:-1,True
1201,67,Tovan,fiber,27,28,dry cloak,4,4,"{""after"": 28, ""before"": 27, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
1202,67,Nia,wood,28,27,sealed jar,1,2,"{""after"": 27, ""before"": 28, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:-1; sealed jar:+1,True
1203,67,Ari,stone,29,30,patch kit,2,1,"{""after"": 30, ""before"": 29, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; patch kit:-1,True
1204,67,Fay,copper,30,29,dry cloak,4,5,"{""after"": 29, ""before"": 30, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""copper""}",copper:-1; dry cloak:+1,True
1205,67,Milo,herb,31,32,sealed jar,1,1,"{""after"": 32, ""before"": 31, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:+1; sealed jar:+0,True
1206,68,Sera,water,10,11,patch kit,1,0,"{""after"": 11, ""before"": 10, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; patch kit:-1,True
1207,68,Tovan,fiber,11,10,dry cloak,3,4,"{""after"": 10, ""before"": 11, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; dry cloak:+1,True
1208,68,Nia,wood,12,13,sealed jar,0,0,"{""after"": 13, ""before"": 12, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; sealed jar:+0,True
1209,68,Ari,stone,13,12,patch kit,1,2,"{""after"": 12, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:-1; patch kit:+1,True
1210,68,Fay,copper,14,15,dry cloak,3,3,"{""after"": 15, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
1211,68,Milo,herb,15,14,sealed jar,0,0,"{""after"": 14, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:-1; sealed jar:+0,True
1212,68,Sera,charcoal,16,17,patch kit,2,1,"{""after"": 17, ""before"": 16, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:+1; patch kit:-1,True
1213,68,Tovan,water,17,16,dry cloak,4,4,"{""after"": 16, ""before"": 17, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:-1; dry cloak:+0,True
1214,68,Nia,fiber,18,19,sealed jar,1,2,"{""after"": 19, ""before"": 18, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:+1; sealed jar:+1,True
1215,68,Ari,wood,19,18,patch kit,2,1,"{""after"": 18, ""before"": 19, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; patch kit:-1,True
1216,68,Fay,stone,20,21,dry cloak,4,5,"{""after"": 21, ""before"": 20, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""stone""}",stone:+1; dry cloak:+1,True
1217,68,Milo,copper,21,20,sealed jar,1,1,"{""after"": 20, ""before"": 21, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""copper""}",copper:-1; sealed jar:+0,True
1218,68,Sera,herb,22,23,patch kit,3,2,"{""after"": 23, ""before"": 22, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
1219,68,Tovan,charcoal,23,22,dry cloak,0,0,"{""after"": 22, ""before"": 23, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
1220,68,Nia,water,24,25,sealed jar,2,2,"{""after"": 25, ""before"": 24, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""water""}",water:+1; sealed jar:+0,True
1221,68,Ari,fiber,25,24,patch kit,3,4,"{""after"": 24, ""before"": 25, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; patch kit:+1,True
1222,68,Fay,wood,26,27,dry cloak,0,0,"{""after"": 27, ""before"": 26, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; dry cloak:+0,True
1223,68,Milo,stone,27,26,sealed jar,2,3,"{""after"": 26, ""before"": 27, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; sealed jar:+1,True
1224,69,Sera,herb,29,28,patch kit,2,1,"{""after"": 28, ""before"": 29, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:-1; patch kit:-1,True
1225,69,Tovan,charcoal,30,31,dry cloak,4,4,"{""after"": 31, ""before"": 30, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+0,True
1226,69,Nia,water,31,30,sealed jar,1,2,"{""after"": 30, ""before"": 31, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; sealed jar:+1,True
1227,69,Ari,fiber,9,10,patch kit,2,1,"{""after"": 10, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
1228,69,Fay,wood,10,9,dry cloak,4,5,"{""after"": 9, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 5, ""resource"": ""wood""}",wood:-1; dry cloak:+1,True
1229,69,Milo,stone,11,12,sealed jar,1,1,"{""after"": 12, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
1230,69,Sera,copper,12,11,patch kit,3,2,"{""after"": 11, ""before"": 12, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:-1; patch kit:-1,True
1231,69,Tovan,herb,13,14,dry cloak,0,0,"{""after"": 14, ""before"": 13, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; dry cloak:+0,True
1232,69,Nia,charcoal,14,13,sealed jar,2,2,"{""after"": 13, ""before"": 14, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
1233,69,Ari,water,15,16,patch kit,3,4,"{""after"": 16, ""before"": 15, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; patch kit:+1,True
1234,69,Fay,fiber,16,15,dry cloak,0,0,"{""after"": 15, ""before"": 16, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
1235,69,Milo,wood,17,18,sealed jar,2,3,"{""after"": 18, ""before"": 17, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:+1; sealed jar:+1,True
