tick,day,transaction_id,scene_id,action,object_name,owner_agent,count_before,count_after,transaction_valid,owner_acknowledged,persisted_to_storage,transaction_integrity_score
292,19,v22-tx-0292,v22-scene-d19,place,ember bowl,Sova,0,0,0,0,1,0.5
293,19,v22-tx-0293,v22-scene-d19,restore,ember bowl,Sova,0,0,1,1,1,1.0
294,19,v22-tx-0294,v22-scene-d19,none,ember bowl,Sova,0,0,1,1,1,1.0
295,19,v22-tx-0295,v22-scene-d19,observe,ember bowl,Sova,0,0,1,1,1,1.0
296,19,v22-tx-0296,v22-scene-d19,observe,ember bowl,Sova,0,0,1,1,1,1.0
297,19,v22-tx-0297,v22-scene-d19,observe,ember bowl,Sova,0,0,1,1,1,1.0
298,19,v22-tx-0298,v22-scene-d19,place,ember bowl,Sova,0,0,0,0,1,0.5
299,19,v22-tx-0299,v22-scene-d19,observe,ember bowl,Sova,0,0,1,1,1,1.0
300,19,v22-tx-0300,v22-scene-d19,restore,ember bowl,Sova,0,0,1,1,1,1.0
301,19,v22-tx-0301,v22-scene-d19,observe,ember bowl,Sova,0,0,1,1,1,1.0
302,19,v22-tx-0302,v22-scene-d19,place,ember bowl,Sova,0,0,0,0,1,0.5
303,19,v22-tx-0303,v22-scene-d19,restore,ember bowl,Sova,0,0,1,1,1,1.0
304,20,v22-tx-0304,v22-scene-d20,none,ember bowl,Sova,0,0,1,1,1,1.0
305,20,v22-tx-0305,v22-scene-d20,offer,ember bowl,Sova,0,0,1,1,0,0.75
306,20,v22-tx-0306,v22-scene-d20,take,ember bowl,Sova,0,0,0,0,1,0.5
307,20,v22-tx-0307,v22-scene-d20,observe,ember bowl,Sova,0,0,1,1,1,1.0
308,20,v22-tx-0308,v22-scene-d20,observe,ember bowl,Sova,0,0,1,1,1,1.0
309,20,v22-tx-0309,v22-scene-d20,offer,ember bowl,Sova,0,0,1,1,1,1.0
310,20,v22-tx-0310,v22-scene-d20,none,path cord,Keth,0,0,1,1,1,1.0
311,20,v22-tx-0311,v22-scene-d20,none,path cord,Keth,0,0,1,1,1,1.0
312,20,v22-tx-0312,v22-scene-d20,trade,ember bowl,Sova,0,0,0,0,1,0.5
313,20,v22-tx-0313,v22-scene-d20,restore,ember bowl,Sova,0,0,1,1,1,1.0
314,20,v22-tx-0314,v22-scene-d20,place,ember bowl,Sova,0,0,0,0,1,0.5
315,20,v22-tx-0315,v22-scene-d20,take,ember bowl,Sova,0,0,0,0,1,0.5
316,20,v22-tx-0316,v22-scene-d20,mark,ember bowl,Sova,0,0,1,1,1,1.0
317,20,v22-tx-0317,v22-scene-d20,none,ember bowl,Sova,0,0,1,1,1,1.0
318,20,v22-tx-0318,v22-scene-d20,offer,ember bowl,Sova,0,0,1,1,1,1.0
319,20,v22-tx-0319,v22-scene-d20,observe,ember bowl,Sova,0,0,1,1,1,1.0
320,21,v22-tx-0320,v22-scene-d21,offer,ember bowl,Sova,0,0,1,0,1,0.75
321,21,v22-tx-0321,v22-scene-d21,observe,path cord,Keth,0,0,1,1,1,1.0
322,21,v22-tx-0322,v22-scene-d21,offer,path cord,Keth,0,0,1,1,1,1.0
323,21,v22-tx-0323,v22-scene-d21,take,path cord,Keth,0,0,0,0,1,0.5
324,21,v22-tx-0324,v22-scene-d21,offer,path cord,Keth,0,0,1,1,1,1.0
325,21,v22-tx-0325,v22-scene-d21,trade,path cord,Keth,0,0,0,0,1,0.5
326,21,v22-tx-0326,v22-scene-d21,offer,path cord,Keth,0,0,1,1,1,1.0
327,21,v22-tx-0327,v22-scene-d21,trade,rain mirror,Vonn,0,0,0,0,1,0.5
328,21,v22-tx-0328,v22-scene-d21,mark,rain mirror,Vonn,0,0,1,1,1,1.0
329,21,v22-tx-0329,v22-scene-d21,restore,ember bowl,Sova,0,0,1,1,1,1.0
330,21,v22-tx-0330,v22-scene-d21,offer,ember bowl,Sova,0,0,1,1,1,1.0
331,21,v22-tx-0331,v22-scene-d21,offer,ember bowl,Sova,0,0,1,1,1,1.0
332,21,v22-tx-0332,v22-scene-d21,observe,path cord,Keth,0,0,1,1,1,1.0
333,21,v22-tx-0333,v22-scene-d21,restore,path cord,Keth,0,0,1,1,1,1.0
334,21,v22-tx-0334,v22-scene-d21,place,path cord,Keth,0,0,0,0,1,0.5
335,21,v22-tx-0335,v22-scene-d21,restore,path cord,Keth,0,0,1,1,1,1.0
336,22,v22-tx-0336,v22-scene-d22,trade,path cord,Keth,0,0,0,0,1,0.5
337,22,v22-tx-0337,v22-scene-d22,offer,path cord,Keth,0,0,1,1,1,1.0
338,22,v22-tx-0338,v22-scene-d22,take,path cord,Keth,0,0,0,0,1,0.5
339,22,v22-tx-0339,v22-scene-d22,trade,path cord,Keth,0,0,0,0,1,0.5
340,22,v22-tx-0340,v22-scene-d22,trade,path cord,Keth,0,0,0,0,1,0.5
341,22,v22-tx-0341,v22-scene-d22,take,path cord,Keth,0,0,0,0,1,0.5
342,22,v22-tx-0342,v22-scene-d22,trade,path cord,Keth,0,0,0,0,0,0.25
343,22,v22-tx-0343,v22-scene-d22,take,path cord,Keth,0,0,0,0,1,0.5
344,22,v22-tx-0344,v22-scene-d22,trade,path cord,Keth,0,0,0,0,1,0.5
345,22,v22-tx-0345,v22-scene-d22,observe,path cord,Keth,0,0,1,1,1,1.0
346,22,v22-tx-0346,v22-scene-d22,take,path cord,Keth,0,0,0,0,1,0.5
347,22,v22-tx-0347,v22-scene-d22,none,path cord,Keth,0,0,1,1,1,1.0
348,22,v22-tx-0348,v22-scene-d22,take,path cord,Keth,0,0,0,0,1,0.5
349,22,v22-tx-0349,v22-scene-d22,mark,path cord,Keth,0,0,1,1,1,1.0
350,22,v22-tx-0350,v22-scene-d22,place,path cord,Keth,0,0,0,0,1,0.5
351,22,v22-tx-0351,v22-scene-d22,offer,path cord,Keth,0,0,1,1,1,1.0
352,23,v22-tx-0352,v22-scene-d23,trade,path cord,Keth,0,0,0,0,1,0.5
353,23,v22-tx-0353,v22-scene-d23,restore,path cord,Keth,0,0,1,1,1,1.0
354,23,v22-tx-0354,v22-scene-d23,observe,path cord,Keth,0,0,1,1,1,1.0
355,23,v22-tx-0355,v22-scene-d23,observe,path cord,Keth,0,0,1,1,1,1.0
356,23,v22-tx-0356,v22-scene-d23,none,path cord,Keth,0,0,1,1,1,1.0
357,23,v22-tx-0357,v22-scene-d23,observe,path cord,Keth,0,0,1,1,1,1.0
358,23,v22-tx-0358,v22-scene-d23,observe,path cord,Keth,0,0,1,1,1,1.0
359,23,v22-tx-0359,v22-scene-d23,observe,path cord,Keth,0,0,1,1,1,1.0
360,23,v22-tx-0360,v22-scene-d23,place,path cord,Keth,0,0,0,0,1,0.5
361,23,v22-tx-0361,v22-scene-d23,observe,path cord,Keth,0,0,1,1,1,1.0
362,23,v22-tx-0362,v22-scene-d23,restore,path cord,Keth,0,0,1,1,1,1.0
363,23,v22-tx-0363,v22-scene-d23,trade,path cord,Keth,0,0,0,0,1,0.5
364,23,v22-tx-0364,v22-scene-d23,place,path cord,Keth,0,0,0,0,1,0.5
365,23,v22-tx-0365,v22-scene-d23,place,path cord,Keth,0,0,0,0,1,0.5
366,23,v22-tx-0366,v22-scene-d23,none,path cord,Keth,0,0,1,1,1,1.0
367,23,v22-tx-0367,v22-scene-d23,mark,path cord,Keth,0,0,1,1,1,1.0
368,24,v22-tx-0368,v22-scene-d24,mark,path cord,Keth,0,0,1,1,1,1.0
369,24,v22-tx-0369,v22-scene-d24,restore,path cord,Keth,0,0,1,1,1,1.0
370,24,v22-tx-0370,v22-scene-d24,none,path cord,Keth,0,0,1,1,0,0.75
371,24,v22-tx-0371,v22-scene-d24,offer,path cord,Keth,0,0,1,1,1,1.0
372,24,v22-tx-0372,v22-scene-d24,place,path cord,Keth,0,0,0,0,1,0.5
373,24,v22-tx-0373,v22-scene-d24,mark,path cord,Keth,0,0,1,1,1,1.0
374,24,v22-tx-0374,v22-scene-d24,restore,path cord,Keth,0,0,1,1,1,1.0
375,24,v22-tx-0375,v22-scene-d24,restore,path cord,Keth,0,0,1,1,1,1.0
376,24,v22-tx-0376,v22-scene-d24,observe,path cord,Keth,0,0,1,1,1,1.0
377,24,v22-tx-0377,v22-scene-d24,restore,path cord,Keth,0,0,1,1,1,1.0
378,24,v22-tx-0378,v22-scene-d24,none,path cord,Keth,0,0,1,1,1,1.0
379,24,v22-tx-0379,v22-scene-d24,mark,path cord,Keth,0,0,1,1,0,0.75
380,24,v22-tx-0380,v22-scene-d24,place,path cord,Keth,0,0,0,0,1,0.5
381,24,v22-tx-0381,v22-scene-d24,trade,path cord,Keth,0,0,0,0,1,0.5
382,24,v22-tx-0382,v22-scene-d24,take,path cord,Keth,0,0,0,0,1,0.5
383,24,v22-tx-0383,v22-scene-d24,none,path cord,Keth,0,0,1,1,1,1.0
