tick,day,session_id,saved_key,restored_conversation_key,restored_resource_key,restored_consequence_key,restored_ok
1288,72,v57-d072-s10,ssrm:v57:v57-d072-s10,canvas:rain court:resident:Fay:phrase:ask_sensory,wood:28,Fay->Ari:bystander learns caution,True
1296,73,v57-d073-s00,ssrm:v57:v57-d073-s00,canvas:glasshouse:resident:Sera:phrase:request_space,copper:12,Sera->Milo:guardedness rises,True
1304,73,v57-d073-s08,ssrm:v57:v57-d073-s08,canvas:west hearth:resident:Nia:phrase:thank_resident,herb:20,Nia->Tovan:debt is marked paid,True
1312,73,v57-d073-s16,ssrm:v57:v57-d073-s16,canvas:tool alcove:resident:Fay:phrase:ask_repair,charcoal:28,Fay->Ari:group mood steadies,True
1320,74,v57-d074-s06,ssrm:v57:v57-d074-s06,canvas:river gate:resident:Sera:phrase:ask_help,fiber:16,Sera->Milo:bystander learns caution,True
1328,74,v57-d074-s14,ssrm:v57:v57-d074-s14,canvas:rain court:resident:Nia:phrase:offer_tool,wood:24,Nia->Tovan:trust warms,True
1336,75,v57-d075-s04,ssrm:v57:v57-d075-s04,canvas:glasshouse:resident:Fay:phrase:apologize,copper:8,Fay->Ari:debt is marked paid,True
1344,75,v57-d075-s12,ssrm:v57:v57-d075-s12,canvas:west hearth:resident:Sera:phrase:ask_sensory,herb:16,Sera->Milo:group mood steadies,True
1352,76,v57-d076-s02,ssrm:v57:v57-d076-s02,canvas:fiber loft:resident:Nia:phrase:request_space,water:27,Nia->Tovan:bystander learns caution,True
1360,76,v57-d076-s10,ssrm:v57:v57-d076-s10,canvas:river gate:resident:Fay:phrase:thank_resident,fiber:12,Fay->Ari:trust warms,True
1368,77,v57-d077-s00,ssrm:v57:v57-d077-s00,canvas:tool alcove:resident:Sera:phrase:ask_repair,stone:19,Sera->Milo:debt is marked paid,True
1376,77,v57-d077-s08,ssrm:v57:v57-d077-s08,canvas:glasshouse:resident:Nia:phrase:ask_help,copper:27,Nia->Tovan:group mood steadies,True
1384,77,v57-d077-s16,ssrm:v57:v57-d077-s16,canvas:west hearth:resident:Fay:phrase:offer_tool,herb:12,Fay->Ari:guardedness rises,True
1392,78,v57-d078-s06,ssrm:v57:v57-d078-s06,canvas:fiber loft:resident:Sera:phrase:apologize,water:23,Sera->Milo:trust warms,True
1400,78,v57-d078-s14,ssrm:v57:v57-d078-s14,canvas:river gate:resident:Nia:phrase:ask_sensory,fiber:31,Nia->Tovan:work slows but recovers,True
1408,79,v57-d079-s04,ssrm:v57:v57-d079-s04,canvas:tool alcove:resident:Fay:phrase:request_space,stone:15,Fay->Ari:group mood steadies,True
1416,79,v57-d079-s12,ssrm:v57:v57-d079-s12,canvas:glasshouse:resident:Sera:phrase:thank_resident,copper:23,Sera->Milo:guardedness rises,True
1424,80,v57-d080-s02,ssrm:v57:v57-d080-s02,canvas:rain court:resident:Nia:phrase:ask_repair,charcoal:11,Nia->Tovan:trust warms,True
1432,80,v57-d080-s10,ssrm:v57:v57-d080-s10,canvas:fiber loft:resident:Fay:phrase:ask_help,water:19,Fay->Ari:work slows but recovers,True
1440,81,v57-d081-s00,ssrm:v57:v57-d081-s00,canvas:west hearth:resident:Sera:phrase:offer_tool,wood:26,Sera->Milo:group mood steadies,True
1448,81,v57-d081-s08,ssrm:v57:v57-d081-s08,canvas:tool alcove:resident:Nia:phrase:apologize,stone:11,Nia->Tovan:guardedness rises,True
1456,81,v57-d081-s16,ssrm:v57:v57-d081-s16,canvas:glasshouse:resident:Fay:phrase:ask_sensory,copper:19,Fay->Ari:debt is marked paid,True
1464,82,v57-d082-s06,ssrm:v57:v57-d082-s06,canvas:rain court:resident:Sera:phrase:request_space,charcoal:30,Sera->Milo:work slows but recovers,True
1472,82,v57-d082-s14,ssrm:v57:v57-d082-s14,canvas:fiber loft:resident:Nia:phrase:thank_resident,water:15,Nia->Tovan:bystander learns caution,True
1480,83,v57-d083-s04,ssrm:v57:v57-d083-s04,canvas:west hearth:resident:Fay:phrase:ask_repair,wood:22,Fay->Ari:guardedness rises,True
1488,83,v57-d083-s12,ssrm:v57:v57-d083-s12,canvas:tool alcove:resident:Sera:phrase:ask_help,stone:30,Sera->Milo:debt is marked paid,True
1496,84,v57-d084-s02,ssrm:v57:v57-d084-s02,canvas:river gate:resident:Nia:phrase:offer_tool,herb:18,Nia->Tovan:work slows but recovers,True
1504,84,v57-d084-s10,ssrm:v57:v57-d084-s10,canvas:rain court:resident:Fay:phrase:apologize,charcoal:26,Fay->Ari:bystander learns caution,True
1512,85,v57-d085-s00,ssrm:v57:v57-d085-s00,canvas:glasshouse:resident:Sera:phrase:ask_sensory,fiber:10,Sera->Milo:guardedness rises,True
1520,85,v57-d085-s08,ssrm:v57:v57-d085-s08,canvas:west hearth:resident:Nia:phrase:request_space,wood:18,Nia->Tovan:debt is marked paid,True
1528,85,v57-d085-s16,ssrm:v57:v57-d085-s16,canvas:tool alcove:resident:Fay:phrase:thank_resident,stone:26,Fay->Ari:group mood steadies,True
1536,86,v57-d086-s06,ssrm:v57:v57-d086-s06,canvas:river gate:resident:Sera:phrase:ask_repair,herb:14,Sera->Milo:bystander learns caution,True
1544,86,v57-d086-s14,ssrm:v57:v57-d086-s14,canvas:rain court:resident:Nia:phrase:ask_help,charcoal:22,Nia->Tovan:trust warms,True
1552,87,v57-d087-s04,ssrm:v57:v57-d087-s04,canvas:glasshouse:resident:Fay:phrase:offer_tool,fiber:29,Fay->Ari:debt is marked paid,True
1560,87,v57-d087-s12,ssrm:v57:v57-d087-s12,canvas:west hearth:resident:Sera:phrase:apologize,wood:14,Sera->Milo:group mood steadies,True
1568,88,v57-d088-s02,ssrm:v57:v57-d088-s02,canvas:fiber loft:resident:Nia:phrase:ask_sensory,copper:25,Nia->Tovan:bystander learns caution,True
1576,88,v57-d088-s10,ssrm:v57:v57-d088-s10,canvas:river gate:resident:Fay:phrase:request_space,herb:10,Fay->Ari:trust warms,True
1584,89,v57-d089-s00,ssrm:v57:v57-d089-s00,canvas:tool alcove:resident:Sera:phrase:thank_resident,water:17,Sera->Milo:debt is marked paid,True
1592,89,v57-d089-s08,ssrm:v57:v57-d089-s08,canvas:glasshouse:resident:Nia:phrase:ask_repair,fiber:25,Nia->Tovan:group mood steadies,True
1600,89,v57-d089-s16,ssrm:v57:v57-d089-s16,canvas:west hearth:resident:Fay:phrase:ask_help,wood:10,Fay->Ari:guardedness rises,True
1608,90,v57-d090-s06,ssrm:v57:v57-d090-s06,canvas:fiber loft:resident:Sera:phrase:offer_tool,copper:21,Sera->Milo:trust warms,True
1616,90,v57-d090-s14,ssrm:v57:v57-d090-s14,canvas:river gate:resident:Nia:phrase:apologize,herb:29,Nia->Tovan:work slows but recovers,True
1624,91,v57-d091-s04,ssrm:v57:v57-d091-s04,canvas:tool alcove:resident:Fay:phrase:ask_sensory,water:13,Fay->Ari:group mood steadies,True
1632,91,v57-d091-s12,ssrm:v57:v57-d091-s12,canvas:glasshouse:resident:Sera:phrase:request_space,fiber:21,Sera->Milo:guardedness rises,True
1640,92,v57-d092-s02,ssrm:v57:v57-d092-s02,canvas:rain court:resident:Nia:phrase:thank_resident,stone:32,Nia->Tovan:trust warms,True
1648,92,v57-d092-s10,ssrm:v57:v57-d092-s10,canvas:fiber loft:resident:Fay:phrase:ask_repair,copper:17,Fay->Ari:work slows but recovers,True
1656,93,v57-d093-s00,ssrm:v57:v57-d093-s00,canvas:west hearth:resident:Sera:phrase:ask_help,charcoal:24,Sera->Milo:group mood steadies,True
1664,93,v57-d093-s08,ssrm:v57:v57-d093-s08,canvas:tool alcove:resident:Nia:phrase:offer_tool,water:9,Nia->Tovan:guardedness rises,True
1672,93,v57-d093-s16,ssrm:v57:v57-d093-s16,canvas:glasshouse:resident:Fay:phrase:apologize,fiber:17,Fay->Ari:debt is marked paid,True
1680,94,v57-d094-s06,ssrm:v57:v57-d094-s06,canvas:rain court:resident:Sera:phrase:ask_sensory,stone:28,Sera->Milo:work slows but recovers,True
1688,94,v57-d094-s14,ssrm:v57:v57-d094-s14,canvas:fiber loft:resident:Nia:phrase:request_space,copper:13,Nia->Tovan:bystander learns caution,True
1696,95,v57-d095-s04,ssrm:v57:v57-d095-s04,canvas:west hearth:resident:Fay:phrase:thank_resident,charcoal:20,Fay->Ari:guardedness rises,True
1704,95,v57-d095-s12,ssrm:v57:v57-d095-s12,canvas:tool alcove:resident:Sera:phrase:ask_repair,water:28,Sera->Milo:debt is marked paid,True
1712,96,v57-d096-s02,ssrm:v57:v57-d096-s02,canvas:river gate:resident:Nia:phrase:ask_help,wood:16,Nia->Tovan:work slows but recovers,True
1720,96,v57-d096-s10,ssrm:v57:v57-d096-s10,canvas:rain court:resident:Fay:phrase:offer_tool,stone:24,Fay->Ari:bystander learns caution,True
1728,97,v57-d097-s00,ssrm:v57:v57-d097-s00,canvas:glasshouse:resident:Sera:phrase:apologize,herb:8,Sera->Milo:guardedness rises,True
1736,97,v57-d097-s08,ssrm:v57:v57-d097-s08,canvas:west hearth:resident:Nia:phrase:ask_sensory,charcoal:16,Nia->Tovan:debt is marked paid,True
1744,97,v57-d097-s16,ssrm:v57:v57-d097-s16,canvas:tool alcove:resident:Fay:phrase:request_space,water:24,Fay->Ari:group mood steadies,True
1752,98,v57-d098-s06,ssrm:v57:v57-d098-s06,canvas:river gate:resident:Sera:phrase:thank_resident,wood:12,Sera->Milo:bystander learns caution,True
1760,98,v57-d098-s14,ssrm:v57:v57-d098-s14,canvas:rain court:resident:Nia:phrase:ask_repair,stone:20,Nia->Tovan:trust warms,True
1768,99,v57-d099-s04,ssrm:v57:v57-d099-s04,canvas:glasshouse:resident:Fay:phrase:ask_help,herb:27,Fay->Ari:debt is marked paid,True
1776,99,v57-d099-s12,ssrm:v57:v57-d099-s12,canvas:west hearth:resident:Sera:phrase:offer_tool,charcoal:12,Sera->Milo:group mood steadies,True
1784,100,v57-d100-s02,ssrm:v57:v57-d100-s02,canvas:fiber loft:resident:Nia:phrase:apologize,fiber:23,Nia->Tovan:bystander learns caution,True
1792,100,v57-d100-s10,ssrm:v57:v57-d100-s10,canvas:river gate:resident:Fay:phrase:ask_sensory,wood:31,Fay->Ari:trust warms,True
1800,101,v57-d101-s00,ssrm:v57:v57-d101-s00,canvas:tool alcove:resident:Sera:phrase:request_space,copper:15,Sera->Milo:debt is marked paid,True
1808,101,v57-d101-s08,ssrm:v57:v57-d101-s08,canvas:glasshouse:resident:Nia:phrase:thank_resident,herb:23,Nia->Tovan:group mood steadies,True
1816,101,v57-d101-s16,ssrm:v57:v57-d101-s16,canvas:west hearth:resident:Fay:phrase:ask_repair,charcoal:8,Fay->Ari:guardedness rises,True
1824,102,v57-d102-s06,ssrm:v57:v57-d102-s06,canvas:fiber loft:resident:Sera:phrase:ask_help,fiber:19,Sera->Milo:trust warms,True
1832,102,v57-d102-s14,ssrm:v57:v57-d102-s14,canvas:river gate:resident:Nia:phrase:offer_tool,wood:27,Nia->Tovan:work slows but recovers,True
1840,103,v57-d103-s04,ssrm:v57:v57-d103-s04,canvas:tool alcove:resident:Fay:phrase:apologize,copper:11,Fay->Ari:group mood steadies,True
1848,103,v57-d103-s12,ssrm:v57:v57-d103-s12,canvas:glasshouse:resident:Sera:phrase:ask_sensory,herb:19,Sera->Milo:guardedness rises,True
1856,104,v57-d104-s02,ssrm:v57:v57-d104-s02,canvas:rain court:resident:Nia:phrase:request_space,water:30,Nia->Tovan:trust warms,True
1864,104,v57-d104-s10,ssrm:v57:v57-d104-s10,canvas:fiber loft:resident:Fay:phrase:thank_resident,fiber:15,Fay->Ari:work slows but recovers,True
1872,105,v57-d105-s00,ssrm:v57:v57-d105-s00,canvas:west hearth:resident:Sera:phrase:ask_repair,stone:22,Sera->Milo:group mood steadies,True
1880,105,v57-d105-s08,ssrm:v57:v57-d105-s08,canvas:tool alcove:resident:Nia:phrase:ask_help,copper:30,Nia->Tovan:guardedness rises,True
1888,105,v57-d105-s16,ssrm:v57:v57-d105-s16,canvas:glasshouse:resident:Fay:phrase:offer_tool,herb:15,Fay->Ari:debt is marked paid,True
1896,106,v57-d106-s06,ssrm:v57:v57-d106-s06,canvas:rain court:resident:Sera:phrase:apologize,water:26,Sera->Milo:work slows but recovers,True
1904,106,v57-d106-s14,ssrm:v57:v57-d106-s14,canvas:fiber loft:resident:Nia:phrase:ask_sensory,fiber:11,Nia->Tovan:bystander learns caution,True
1912,107,v57-d107-s04,ssrm:v57:v57-d107-s04,canvas:west hearth:resident:Fay:phrase:request_space,stone:18,Fay->Ari:guardedness rises,True
1920,107,v57-d107-s12,ssrm:v57:v57-d107-s12,canvas:tool alcove:resident:Sera:phrase:thank_resident,copper:26,Sera->Milo:debt is marked paid,True
1928,108,v57-d108-s02,ssrm:v57:v57-d108-s02,canvas:river gate:resident:Nia:phrase:ask_repair,charcoal:14,Nia->Tovan:work slows but recovers,True
1936,108,v57-d108-s10,ssrm:v57:v57-d108-s10,canvas:rain court:resident:Fay:phrase:ask_help,water:22,Fay->Ari:bystander learns caution,True
1944,109,v57-d109-s00,ssrm:v57:v57-d109-s00,canvas:glasshouse:resident:Sera:phrase:offer_tool,wood:29,Sera->Milo:guardedness rises,True
1952,109,v57-d109-s08,ssrm:v57:v57-d109-s08,canvas:west hearth:resident:Nia:phrase:apologize,stone:14,Nia->Tovan:debt is marked paid,True
1960,109,v57-d109-s16,ssrm:v57:v57-d109-s16,canvas:tool alcove:resident:Fay:phrase:ask_sensory,copper:22,Fay->Ari:group mood steadies,True
1968,110,v57-d110-s06,ssrm:v57:v57-d110-s06,canvas:river gate:resident:Sera:phrase:request_space,charcoal:10,Sera->Milo:bystander learns caution,True
1976,110,v57-d110-s14,ssrm:v57:v57-d110-s14,canvas:rain court:resident:Nia:phrase:thank_resident,water:18,Nia->Tovan:trust warms,True
1984,111,v57-d111-s04,ssrm:v57:v57-d111-s04,canvas:glasshouse:resident:Fay:phrase:ask_repair,wood:25,Fay->Ari:debt is marked paid,True
1992,111,v57-d111-s12,ssrm:v57:v57-d111-s12,canvas:west hearth:resident:Sera:phrase:ask_help,stone:10,Sera->Milo:group mood steadies,True
2000,112,v57-d112-s02,ssrm:v57:v57-d112-s02,canvas:fiber loft:resident:Nia:phrase:offer_tool,herb:21,Nia->Tovan:bystander learns caution,True
2008,112,v57-d112-s10,ssrm:v57:v57-d112-s10,canvas:river gate:resident:Fay:phrase:apologize,charcoal:29,Fay->Ari:trust warms,True
2016,113,v57-d113-s00,ssrm:v57:v57-d113-s00,canvas:tool alcove:resident:Sera:phrase:ask_sensory,fiber:13,Sera->Milo:debt is marked paid,True
2024,113,v57-d113-s08,ssrm:v57:v57-d113-s08,canvas:glasshouse:resident:Nia:phrase:request_space,wood:21,Nia->Tovan:group mood steadies,True
2032,113,v57-d113-s16,ssrm:v57:v57-d113-s16,canvas:west hearth:resident:Fay:phrase:thank_resident,stone:29,Fay->Ari:guardedness rises,True
2040,114,v57-d114-s06,ssrm:v57:v57-d114-s06,canvas:fiber loft:resident:Sera:phrase:ask_repair,herb:17,Sera->Milo:trust warms,True
2048,114,v57-d114-s14,ssrm:v57:v57-d114-s14,canvas:river gate:resident:Nia:phrase:ask_help,charcoal:25,Nia->Tovan:work slows but recovers,True
2056,115,v57-d115-s04,ssrm:v57:v57-d115-s04,canvas:tool alcove:resident:Fay:phrase:offer_tool,fiber:9,Fay->Ari:group mood steadies,True
2064,115,v57-d115-s12,ssrm:v57:v57-d115-s12,canvas:glasshouse:resident:Sera:phrase:apologize,wood:17,Sera->Milo:guardedness rises,True
2072,116,v57-d116-s02,ssrm:v57:v57-d116-s02,canvas:rain court:resident:Nia:phrase:ask_sensory,copper:28,Nia->Tovan:trust warms,True
2080,116,v57-d116-s10,ssrm:v57:v57-d116-s10,canvas:fiber loft:resident:Fay:phrase:request_space,herb:13,Fay->Ari:work slows but recovers,True
2088,117,v57-d117-s00,ssrm:v57:v57-d117-s00,canvas:west hearth:resident:Sera:phrase:thank_resident,water:20,Sera->Milo:group mood steadies,True
2096,117,v57-d117-s08,ssrm:v57:v57-d117-s08,canvas:tool alcove:resident:Nia:phrase:ask_repair,fiber:28,Nia->Tovan:guardedness rises,True
2104,117,v57-d117-s16,ssrm:v57:v57-d117-s16,canvas:glasshouse:resident:Fay:phrase:ask_help,wood:13,Fay->Ari:debt is marked paid,True
2112,118,v57-d118-s06,ssrm:v57:v57-d118-s06,canvas:rain court:resident:Sera:phrase:offer_tool,copper:24,Sera->Milo:work slows but recovers,True
2120,118,v57-d118-s14,ssrm:v57:v57-d118-s14,canvas:fiber loft:resident:Nia:phrase:apologize,herb:32,Nia->Tovan:bystander learns caution,True
2128,119,v57-d119-s04,ssrm:v57:v57-d119-s04,canvas:west hearth:resident:Fay:phrase:ask_sensory,water:16,Fay->Ari:guardedness rises,True
2136,119,v57-d119-s12,ssrm:v57:v57-d119-s12,canvas:tool alcove:resident:Sera:phrase:request_space,fiber:24,Sera->Milo:debt is marked paid,True
2144,120,v57-d120-s02,ssrm:v57:v57-d120-s02,canvas:river gate:resident:Nia:phrase:thank_resident,stone:12,Nia->Tovan:work slows but recovers,True
2152,120,v57-d120-s10,ssrm:v57:v57-d120-s10,canvas:rain court:resident:Fay:phrase:ask_repair,copper:20,Fay->Ari:bystander learns caution,True
2160,121,v57-d121-s00,ssrm:v57:v57-d121-s00,canvas:glasshouse:resident:Sera:phrase:ask_help,charcoal:27,Sera->Milo:guardedness rises,True
2168,121,v57-d121-s08,ssrm:v57:v57-d121-s08,canvas:west hearth:resident:Nia:phrase:offer_tool,water:12,Nia->Tovan:debt is marked paid,True
2176,121,v57-d121-s16,ssrm:v57:v57-d121-s16,canvas:tool alcove:resident:Fay:phrase:apologize,fiber:20,Fay->Ari:group mood steadies,True
2184,122,v57-d122-s06,ssrm:v57:v57-d122-s06,canvas:river gate:resident:Sera:phrase:ask_sensory,stone:31,Sera->Milo:bystander learns caution,True
2192,122,v57-d122-s14,ssrm:v57:v57-d122-s14,canvas:rain court:resident:Nia:phrase:request_space,copper:16,Nia->Tovan:trust warms,True
2200,123,v57-d123-s04,ssrm:v57:v57-d123-s04,canvas:glasshouse:resident:Fay:phrase:thank_resident,charcoal:23,Fay->Ari:debt is marked paid,True
2208,123,v57-d123-s12,ssrm:v57:v57-d123-s12,canvas:west hearth:resident:Sera:phrase:ask_repair,water:8,Sera->Milo:group mood steadies,True
2216,124,v57-d124-s02,ssrm:v57:v57-d124-s02,canvas:fiber loft:resident:Nia:phrase:ask_help,wood:19,Nia->Tovan:bystander learns caution,True
2224,124,v57-d124-s10,ssrm:v57:v57-d124-s10,canvas:river gate:resident:Fay:phrase:offer_tool,stone:27,Fay->Ari:trust warms,True
2232,125,v57-d125-s00,ssrm:v57:v57-d125-s00,canvas:tool alcove:resident:Sera:phrase:apologize,herb:11,Sera->Milo:debt is marked paid,True
2240,125,v57-d125-s08,ssrm:v57:v57-d125-s08,canvas:glasshouse:resident:Nia:phrase:ask_sensory,charcoal:19,Nia->Tovan:group mood steadies,True
2248,125,v57-d125-s16,ssrm:v57:v57-d125-s16,canvas:west hearth:resident:Fay:phrase:request_space,water:27,Fay->Ari:guardedness rises,True
2256,126,v57-d126-s06,ssrm:v57:v57-d126-s06,canvas:fiber loft:resident:Sera:phrase:thank_resident,wood:15,Sera->Milo:trust warms,True
2264,126,v57-d126-s14,ssrm:v57:v57-d126-s14,canvas:river gate:resident:Nia:phrase:ask_repair,stone:23,Nia->Tovan:work slows but recovers,True
2272,127,v57-d127-s04,ssrm:v57:v57-d127-s04,canvas:tool alcove:resident:Fay:phrase:ask_help,herb:30,Fay->Ari:group mood steadies,True
2280,127,v57-d127-s12,ssrm:v57:v57-d127-s12,canvas:glasshouse:resident:Sera:phrase:offer_tool,charcoal:15,Sera->Milo:guardedness rises,True
2288,128,v57-d128-s02,ssrm:v57:v57-d128-s02,canvas:rain court:resident:Nia:phrase:apologize,fiber:26,Nia->Tovan:trust warms,True
2296,128,v57-d128-s10,ssrm:v57:v57-d128-s10,canvas:fiber loft:resident:Fay:phrase:ask_sensory,wood:11,Fay->Ari:work slows but recovers,True
2304,129,v57-d129-s00,ssrm:v57:v57-d129-s00,canvas:west hearth:resident:Sera:phrase:request_space,copper:18,Sera->Milo:group mood steadies,True
2312,129,v57-d129-s08,ssrm:v57:v57-d129-s08,canvas:tool alcove:resident:Nia:phrase:thank_resident,herb:26,Nia->Tovan:guardedness rises,True
2320,129,v57-d129-s16,ssrm:v57:v57-d129-s16,canvas:glasshouse:resident:Fay:phrase:ask_repair,charcoal:11,Fay->Ari:debt is marked paid,True
2328,130,v57-d130-s06,ssrm:v57:v57-d130-s06,canvas:rain court:resident:Sera:phrase:ask_help,fiber:22,Sera->Milo:work slows but recovers,True
2336,130,v57-d130-s14,ssrm:v57:v57-d130-s14,canvas:fiber loft:resident:Nia:phrase:offer_tool,wood:30,Nia->Tovan:bystander learns caution,True
2344,131,v57-d131-s04,ssrm:v57:v57-d131-s04,canvas:west hearth:resident:Fay:phrase:apologize,copper:14,Fay->Ari:guardedness rises,True
2352,131,v57-d131-s12,ssrm:v57:v57-d131-s12,canvas:tool alcove:resident:Sera:phrase:ask_sensory,herb:22,Sera->Milo:debt is marked paid,True
2360,132,v57-d132-s02,ssrm:v57:v57-d132-s02,canvas:river gate:resident:Nia:phrase:request_space,water:10,Nia->Tovan:work slows but recovers,True
2368,132,v57-d132-s10,ssrm:v57:v57-d132-s10,canvas:rain court:resident:Fay:phrase:thank_resident,fiber:18,Fay->Ari:bystander learns caution,True
2376,133,v57-d133-s00,ssrm:v57:v57-d133-s00,canvas:glasshouse:resident:Sera:phrase:ask_repair,stone:25,Sera->Milo:guardedness rises,True
2384,133,v57-d133-s08,ssrm:v57:v57-d133-s08,canvas:west hearth:resident:Nia:phrase:ask_help,copper:10,Nia->Tovan:debt is marked paid,True
2392,133,v57-d133-s16,ssrm:v57:v57-d133-s16,canvas:tool alcove:resident:Fay:phrase:offer_tool,herb:18,Fay->Ari:group mood steadies,True
2400,134,v57-d134-s06,ssrm:v57:v57-d134-s06,canvas:river gate:resident:Sera:phrase:apologize,water:29,Sera->Milo:bystander learns caution,True
2408,134,v57-d134-s14,ssrm:v57:v57-d134-s14,canvas:rain court:resident:Nia:phrase:ask_sensory,fiber:14,Nia->Tovan:trust warms,True
2416,135,v57-d135-s04,ssrm:v57:v57-d135-s04,canvas:glasshouse:resident:Fay:phrase:request_space,stone:21,Fay->Ari:debt is marked paid,True
2424,135,v57-d135-s12,ssrm:v57:v57-d135-s12,canvas:west hearth:resident:Sera:phrase:thank_resident,copper:29,Sera->Milo:group mood steadies,True
2432,136,v57-d136-s02,ssrm:v57:v57-d136-s02,canvas:fiber loft:resident:Nia:phrase:ask_repair,charcoal:17,Nia->Tovan:bystander learns caution,True
2440,136,v57-d136-s10,ssrm:v57:v57-d136-s10,canvas:river gate:resident:Fay:phrase:ask_help,water:25,Fay->Ari:trust warms,True
2448,137,v57-d137-s00,ssrm:v57:v57-d137-s00,canvas:tool alcove:resident:Sera:phrase:offer_tool,wood:9,Sera->Milo:debt is marked paid,True
2456,137,v57-d137-s08,ssrm:v57:v57-d137-s08,canvas:glasshouse:resident:Nia:phrase:apologize,stone:17,Nia->Tovan:group mood steadies,True
2464,137,v57-d137-s16,ssrm:v57:v57-d137-s16,canvas:west hearth:resident:Fay:phrase:ask_sensory,copper:25,Fay->Ari:guardedness rises,True
2472,138,v57-d138-s06,ssrm:v57:v57-d138-s06,canvas:fiber loft:resident:Sera:phrase:request_space,charcoal:13,Sera->Milo:trust warms,True
2480,138,v57-d138-s14,ssrm:v57:v57-d138-s14,canvas:river gate:resident:Nia:phrase:thank_resident,water:21,Nia->Tovan:work slows but recovers,True
2488,139,v57-d139-s04,ssrm:v57:v57-d139-s04,canvas:tool alcove:resident:Fay:phrase:ask_repair,wood:28,Fay->Ari:group mood steadies,True
2496,139,v57-d139-s12,ssrm:v57:v57-d139-s12,canvas:glasshouse:resident:Sera:phrase:ask_help,stone:13,Sera->Milo:guardedness rises,True
2504,140,v57-d140-s02,ssrm:v57:v57-d140-s02,canvas:rain court:resident:Nia:phrase:offer_tool,herb:24,Nia->Tovan:trust warms,True
2512,140,v57-d140-s10,ssrm:v57:v57-d140-s10,canvas:fiber loft:resident:Fay:phrase:apologize,charcoal:32,Fay->Ari:work slows but recovers,True
2520,141,v57-d141-s00,ssrm:v57:v57-d141-s00,canvas:west hearth:resident:Sera:phrase:ask_sensory,fiber:16,Sera->Milo:group mood steadies,True
2528,141,v57-d141-s08,ssrm:v57:v57-d141-s08,canvas:tool alcove:resident:Nia:phrase:request_space,wood:24,Nia->Tovan:guardedness rises,True
2536,141,v57-d141-s16,ssrm:v57:v57-d141-s16,canvas:glasshouse:resident:Fay:phrase:thank_resident,stone:9,Fay->Ari:debt is marked paid,True
2544,142,v57-d142-s06,ssrm:v57:v57-d142-s06,canvas:rain court:resident:Sera:phrase:ask_repair,herb:20,Sera->Milo:work slows but recovers,True
2552,142,v57-d142-s14,ssrm:v57:v57-d142-s14,canvas:fiber loft:resident:Nia:phrase:ask_help,charcoal:28,Nia->Tovan:bystander learns caution,True
2560,143,v57-d143-s04,ssrm:v57:v57-d143-s04,canvas:west hearth:resident:Fay:phrase:offer_tool,fiber:12,Fay->Ari:guardedness rises,True
2568,143,v57-d143-s12,ssrm:v57:v57-d143-s12,canvas:tool alcove:resident:Sera:phrase:apologize,wood:20,Sera->Milo:debt is marked paid,True
2576,144,v57-d144-s02,ssrm:v57:v57-d144-s02,canvas:river gate:resident:Nia:phrase:ask_sensory,copper:31,Nia->Tovan:work slows but recovers,True
2584,144,v57-d144-s10,ssrm:v57:v57-d144-s10,canvas:rain court:resident:Fay:phrase:request_space,herb:16,Fay->Ari:bystander learns caution,True
2592,145,v57-d145-s00,ssrm:v57:v57-d145-s00,canvas:glasshouse:resident:Sera:phrase:thank_resident,water:23,Sera->Milo:guardedness rises,True
2600,145,v57-d145-s08,ssrm:v57:v57-d145-s08,canvas:west hearth:resident:Nia:phrase:ask_repair,fiber:8,Nia->Tovan:debt is marked paid,True
2608,145,v57-d145-s16,ssrm:v57:v57-d145-s16,canvas:tool alcove:resident:Fay:phrase:ask_help,wood:16,Fay->Ari:group mood steadies,True
2616,146,v57-d146-s06,ssrm:v57:v57-d146-s06,canvas:river gate:resident:Sera:phrase:offer_tool,copper:27,Sera->Milo:bystander learns caution,True
2624,146,v57-d146-s14,ssrm:v57:v57-d146-s14,canvas:rain court:resident:Nia:phrase:apologize,herb:12,Nia->Tovan:trust warms,True
2632,147,v57-d147-s04,ssrm:v57:v57-d147-s04,canvas:glasshouse:resident:Fay:phrase:ask_sensory,water:19,Fay->Ari:debt is marked paid,True
2640,147,v57-d147-s12,ssrm:v57:v57-d147-s12,canvas:west hearth:resident:Sera:phrase:request_space,fiber:27,Sera->Milo:group mood steadies,True
2648,148,v57-d148-s02,ssrm:v57:v57-d148-s02,canvas:fiber loft:resident:Nia:phrase:thank_resident,stone:15,Nia->Tovan:bystander learns caution,True
2656,148,v57-d148-s10,ssrm:v57:v57-d148-s10,canvas:river gate:resident:Fay:phrase:ask_repair,copper:23,Fay->Ari:trust warms,True
2664,149,v57-d149-s00,ssrm:v57:v57-d149-s00,canvas:tool alcove:resident:Sera:phrase:ask_help,charcoal:30,Sera->Milo:debt is marked paid,True
2672,149,v57-d149-s08,ssrm:v57:v57-d149-s08,canvas:glasshouse:resident:Nia:phrase:offer_tool,water:15,Nia->Tovan:group mood steadies,True
2680,149,v57-d149-s16,ssrm:v57:v57-d149-s16,canvas:west hearth:resident:Fay:phrase:apologize,fiber:23,Fay->Ari:guardedness rises,True
