event_id,week,source_household,target_household,public_diffusion_marker,public_ritual_marker,public_reputation_marker,private_cultural_hint,guardrail_marker,replay_checkpoint,trace_integrity_token
1,1,Hearthnest,Marketroof,Hearthnest->Marketroof: lum adoption 0.40->0.56,lum-circle; ritual=0.29; clause=invite without pressure,avatar=0.56; pressure=0.17; household keeps ordinary distance,gain=0.160; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,r245-week01-event001,r245:1:0aaf6aacc6
88,3,Quietledger,Orchardring,Quietledger->Orchardring: nari-a adoption 0.78->0.91,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.69; pressure=0.22; household allows warmer greeting,gain=0.126; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:88:057ae3ea68
89,3,Orchardring,Rainloft,Orchardring->Rainloft: melo-a adoption 0.70->0.84,melo-a-circle; ritual=0.74; clause=invite without pressure,avatar=0.70; pressure=0.17; household allows warmer greeting,gain=0.131; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:89:2a26bfe9bf
90,3,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-a adoption 1.00->1.00,sova-a-circle; ritual=0.92; clause=invite without pressure,avatar=0.71; pressure=0.19; household allows warmer greeting,gain=0.000; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:90:1a80408ed6
91,3,Hearthnest,Routehall,Hearthnest->Routehall: ori-a adoption 0.56->0.71,ori-a-circle; ritual=0.81; clause=invite without pressure,avatar=0.69; pressure=0.23; household allows warmer greeting,gain=0.146; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:91:969e7b4456
92,3,Routehall,Marketroof,Routehall->Marketroof: tek-a adoption 0.95->1.00,tek-a-circle; ritual=0.84; clause=invite without pressure,avatar=0.76; pressure=0.12; household allows warmer greeting,gain=0.051; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:92:d6593bea47
93,3,Marketroof,Quietledger,Marketroof->Quietledger: melo-a adoption 0.83->0.95,melo-a-circle; ritual=0.88; clause=invite without pressure,avatar=0.67; pressure=0.25; household allows warmer greeting,gain=0.119; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:93:1d02169af6
94,3,Quietledger,Orchardring,Quietledger->Orchardring: nari-a adoption 0.91->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.71; pressure=0.21; household allows warmer greeting,gain=0.089; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:94:c969c8ded9
95,3,Orchardring,Rainloft,Orchardring->Rainloft: lum-a adoption 0.83->0.95,lum-a-circle; ritual=0.81; clause=invite without pressure,avatar=0.72; pressure=0.16; household allows warmer greeting,gain=0.118; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:95:ce91657f6f
96,3,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-a adoption 1.00->1.00,sova-a-circle; ritual=0.93; clause=invite without pressure,avatar=0.73; pressure=0.18; household allows warmer greeting,gain=0.000; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:96:ad029822b7
97,3,Hearthnest,Marketroof,Hearthnest->Marketroof: lum-a adoption 0.84->0.95,lum-a-circle; ritual=0.91; clause=invite without pressure,avatar=0.78; pressure=0.11; household allows warmer greeting,gain=0.117; grounding=0.963; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:97:63c8a0f11e
98,3,Routehall,Quietledger,Routehall->Quietledger: tek-a adoption 0.71->0.84,tek-a-circle; ritual=0.95; clause=invite without pressure,avatar=0.69; pressure=0.24; household allows warmer greeting,gain=0.128; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:98:77f27673a6
99,3,Marketroof,Orchardring,Marketroof->Orchardring: melo-a adoption 0.93->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.73; pressure=0.20; household allows warmer greeting,gain=0.068; grounding=0.963; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:99:977b95b3e6
100,3,Quietledger,Rainloft,Quietledger->Rainloft: nari-a adoption 0.88->0.99,nari-a-circle; ritual=0.82; clause=invite without pressure,avatar=0.74; pressure=0.15; household allows warmer greeting,gain=0.113; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:100:8e3b181dab
101,3,Orchardring,Hearthnest,Orchardring->Hearthnest: lum-a adoption 0.86->0.97,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.75; pressure=0.17; household allows warmer greeting,gain=0.113; grounding=0.963; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:101:b58f7f802d
102,3,Rainloft,Routehall,Rainloft->Routehall: sova-a adoption 0.66->0.80,sova-a-circle; ritual=0.88; clause=invite without pressure,avatar=0.71; pressure=0.22; household allows warmer greeting,gain=0.132; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:102:8fb163b9f4
103,3,Hearthnest,Quietledger,Hearthnest->Quietledger: lum-a adoption 0.70->0.83,lum-a-circle; ritual=0.96; clause=invite without pressure,avatar=0.71; pressure=0.23; household allows warmer greeting,gain=0.127; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:103:7cfda88a4d
104,3,Routehall,Orchardring,Routehall->Orchardring: tek-a adoption 0.87->0.98,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.75; pressure=0.19; household allows warmer greeting,gain=0.112; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:104:5f4d0fcc38
105,3,Marketroof,Rainloft,Marketroof->Rainloft: melo-a adoption 0.84->0.95,melo-a-circle; ritual=0.89; clause=invite without pressure,avatar=0.76; pressure=0.14; household allows warmer greeting,gain=0.116; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,r245-week03-event105,r245:105:ed55169a2a
106,3,Quietledger,Hearthnest,Quietledger->Hearthnest: nari-a adoption 0.56->0.70,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.77; pressure=0.16; household allows warmer greeting,gain=0.141; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:106:9643daaf61
107,3,Orchardring,Routehall,Orchardring->Routehall: tek-a adoption 0.88->0.99,tek-a-circle; ritual=0.89; clause=invite without pressure,avatar=0.73; pressure=0.21; household allows warmer greeting,gain=0.113; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:107:ee56802591
108,3,Rainloft,Marketroof,Rainloft->Marketroof: sova-a adoption 0.71->0.84,sova-a-circle; ritual=0.98; clause=invite without pressure,avatar=0.80; pressure=0.10; household allows warmer greeting,gain=0.128; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:108:b274d0e4fc
109,4,Hearthnest,Rainloft,Hearthnest->Rainloft: ori-ri adoption 0.40->0.56,ori-ri-circle; ritual=0.96; clause=invite without pressure,avatar=0.78; pressure=0.13; household allows warmer greeting,gain=0.157; grounding=0.960; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:109:60ae7bbcbc
110,4,Routehall,Hearthnest,Routehall->Hearthnest: vonn-so adoption 0.61->0.70,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.77; pressure=0.16; household keeps ordinary distance,gain=0.094; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:110:6518764914
111,4,Marketroof,Routehall,Marketroof->Routehall: keth-v adoption 0.68->0.77,keth-v-circle; ritual=0.92; clause=pause if sleep debt or boundary warning appears,avatar=0.71; pressure=0.25; household keeps ordinary distance,gain=0.091; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:111:2034aabef7
112,4,Quietledger,Marketroof,Quietledger->Marketroof: nari-na adoption 0.84->0.91,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.79; pressure=0.14; household keeps ordinary distance,gain=0.076; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:112:ce73cbd9da
113,4,Orchardring,Quietledger,Orchardring->Quietledger: lum-ri adoption 0.83->0.95,lum-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.73; pressure=0.21; household allows warmer greeting,gain=0.118; grounding=0.960; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:113:24f5fd96ab
114,4,Rainloft,Orchardring,Rainloft->Orchardring: sova-so adoption 0.71->0.80,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.75; pressure=0.19; household keeps ordinary distance,gain=0.090; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:114:4d0fa24769
115,4,Hearthnest,Routehall,Hearthnest->Routehall: vonn-na adoption 0.70->0.78,vonn-na-circle; ritual=0.94; clause=pause if sleep debt or boundary warning appears,avatar=0.69; pressure=0.29; household asks for boundary proof before cooperation,gain=0.086; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:115:7135c6ef04
116,4,Routehall,Marketroof,Routehall->Marketroof: tek-ri adoption 1.00->1.00,tek-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.81; pressure=0.13; household allows warmer greeting,gain=0.000; grounding=0.961; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:116:bfb44dab91
117,4,Marketroof,Quietledger,Marketroof->Quietledger: vonn-so adoption 1.00->1.00,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.73; pressure=0.22; household keeps ordinary distance,gain=0.004; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:117:687fa74580
118,4,Quietledger,Orchardring,Quietledger->Orchardring: vonn-v adoption 0.71->0.80,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.73; pressure=0.23; household keeps ordinary distance,gain=0.091; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:118:8c67a5dc94
119,4,Orchardring,Rainloft,Orchardring->Rainloft: vonn-na adoption 0.88->0.96,vonn-na-circle; ritual=0.98; clause=pause if sleep debt or boundary warning appears,avatar=0.77; pressure=0.17; household keeps ordinary distance,gain=0.077; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:119:45e6bef57d
120,4,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-ri adoption 1.00->1.00,sova-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.79; pressure=0.15; household allows warmer greeting,gain=0.000; grounding=0.960; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:120:b5730adb7a
121,4,Hearthnest,Routehall,Hearthnest->Routehall: vonn-v adoption 0.78->0.87,vonn-v-circle; ritual=0.97; clause=pause if sleep debt or boundary warning appears,avatar=0.67; pressure=0.33; household asks for boundary proof before cooperation,gain=0.087; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:121:011771db49
122,4,Routehall,Marketroof,Routehall->Marketroof: nari-na adoption 0.91->0.99,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.79; pressure=0.17; household keeps ordinary distance,gain=0.076; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:122:3e4481bf85
123,4,Marketroof,Quietledger,Marketroof->Quietledger: melo-ri adoption 0.95->1.00,melo-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.75; pressure=0.21; household allows warmer greeting,gain=0.048; grounding=0.960; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:123:17fef224e8
124,4,Quietledger,Orchardring,Quietledger->Orchardring: sova-so adoption 0.80->0.88,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.73; pressure=0.24; household keeps ordinary distance,gain=0.086; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:124:89cb3153a4
125,4,Orchardring,Rainloft,Orchardring->Rainloft: vonn-v adoption 0.96->1.00,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.75; pressure=0.21; household keeps ordinary distance,gain=0.039; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:125:963b2604ac
126,4,Rainloft,Hearthnest,Rainloft->Hearthnest: nari-na adoption 0.70->0.79,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.77; pressure=0.19; household keeps ordinary distance,gain=0.089; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:126:045810f21a
127,4,Hearthnest,Marketroof,Hearthnest->Marketroof: sova-so adoption 0.84->0.92,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.79; pressure=0.18; household keeps ordinary distance,gain=0.083; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:127:484d2639cb
128,4,Routehall,Quietledger,Routehall->Quietledger: keth-v adoption 0.51->0.61,keth-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.73; pressure=0.25; household keeps ordinary distance,gain=0.105; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:128:731aedb99b
129,4,Marketroof,Orchardring,Marketroof->Orchardring: vonn-na adoption 0.80->0.88,vonn-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.71; pressure=0.28; household asks for boundary proof before cooperation,gain=0.081; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:129:653d27d5c9
130,4,Quietledger,Rainloft,Quietledger->Rainloft: nari-ri adoption 0.99->1.00,nari-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.77; pressure=0.20; household allows warmer greeting,gain=0.009; grounding=0.960; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:130:b02829725c
131,4,Orchardring,Hearthnest,Orchardring->Hearthnest: vonn-so adoption 0.70->0.79,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.77; pressure=0.20; household keeps ordinary distance,gain=0.090; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:131:4d3bd26ada
132,4,Rainloft,Routehall,Rainloft->Routehall: vonn-v adoption 0.87->0.95,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.65; pressure=0.37; household asks for boundary proof before cooperation,gain=0.078; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:132:c923a12118
133,4,Hearthnest,Quietledger,Hearthnest->Quietledger: ori-ri adoption 0.40->0.56,ori-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.75; pressure=0.24; household allows warmer greeting,gain=0.159; grounding=0.960; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:133:02911a755d
134,4,Routehall,Orchardring,Routehall->Orchardring: vonn-so adoption 0.88->0.96,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.71; pressure=0.28; household keeps ordinary distance,gain=0.078; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:134:4bb0d6f50a
135,4,Marketroof,Rainloft,Marketroof->Rainloft: keth-v adoption 0.40->0.51,keth-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.75; pressure=0.24; household keeps ordinary distance,gain=0.108; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:135:82f19e4845
136,4,Quietledger,Hearthnest,Quietledger->Hearthnest: nari-na adoption 0.79->0.87,nari-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.75; pressure=0.24; household keeps ordinary distance,gain=0.079; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:136:8e1b30fbac
137,4,Orchardring,Routehall,Orchardring->Routehall: lum-ri adoption 0.83->0.95,lum-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.66; pressure=0.36; household allows warmer greeting,gain=0.117; grounding=0.961; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:137:684492d99c
138,4,Rainloft,Marketroof,Rainloft->Marketroof: sova-so adoption 0.92->0.99,sova-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.79; pressure=0.18; household keeps ordinary distance,gain=0.074; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:138:10269eb3dc
139,4,Hearthnest,Orchardring,Hearthnest->Orchardring: vonn-na adoption 0.96->1.00,vonn-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.69; pressure=0.32; household asks for boundary proof before cooperation,gain=0.039; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:139:7f7812b18a
140,4,Routehall,Rainloft,Routehall->Rainloft: tek-ri adoption 0.83->0.95,tek-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.77; pressure=0.23; household allows warmer greeting,gain=0.115; grounding=0.960; spread_reason=ritual and care spread,welfare-carried,r245-week04-event140,r245:140:b3718626c7
141,4,Marketroof,Hearthnest,Marketroof->Hearthnest: vonn-so adoption 0.79->0.88,vonn-so-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.75; pressure=0.24; household keeps ordinary distance,gain=0.082; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:141:e0657eb488
142,4,Quietledger,Routehall,Quietledger->Routehall: vonn-v adoption 0.95->1.00,vonn-v-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.63; pressure=0.40; household asks for boundary proof before cooperation,gain=0.051; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:142:fb9a56b7b2
143,4,Orchardring,Marketroof,Orchardring->Marketroof: vonn-na adoption 0.86->0.93,vonn-na-circle; ritual=1.00; clause=pause if sleep debt or boundary warning appears,avatar=0.77; pressure=0.22; household keeps ordinary distance,gain=0.074; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:143:1d4e538be6
144,4,Rainloft,Quietledger,Rainloft->Quietledger: sova-ri adoption 0.88->0.99,sova-ri-circle; ritual=1.00; clause=invite without pressure,avatar=0.77; pressure=0.23; household allows warmer greeting,gain=0.110; grounding=0.960; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:144:0a5a82ce46
145,5,Hearthnest,Routehall,Hearthnest->Routehall: ori-a adoption 0.71->0.83,ori-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.64; pressure=0.39; household allows warmer greeting,gain=0.128; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:145:f1e3ad7f86
146,5,Routehall,Marketroof,Routehall->Marketroof: tek-a adoption 1.00->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.79; pressure=0.21; household allows warmer greeting,gain=0.000; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:146:24dae95dc9
147,5,Marketroof,Quietledger,Marketroof->Quietledger: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.79; pressure=0.22; household allows warmer greeting,gain=0.000; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:147:6e2f15092a
148,5,Quietledger,Orchardring,Quietledger->Orchardring: nari-a adoption 1.00->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.71; pressure=0.31; household allows warmer greeting,gain=0.000; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:148:fc34ffdb6e
149,5,Orchardring,Rainloft,Orchardring->Rainloft: lum-a adoption 0.95->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.79; pressure=0.22; household allows warmer greeting,gain=0.048; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:149:006921e688
150,5,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-a adoption 1.00->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.77; pressure=0.23; household allows warmer greeting,gain=0.000; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:150:777e06cce7
151,5,Hearthnest,Routehall,Hearthnest->Routehall: lum-a adoption 0.95->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.65; pressure=0.38; household allows warmer greeting,gain=0.050; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:151:6a21ced674
152,5,Routehall,Marketroof,Routehall->Marketroof: tek-a adoption 1.00->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.81; pressure=0.20; household allows warmer greeting,gain=0.000; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:152:89e1de4523
153,5,Marketroof,Quietledger,Marketroof->Quietledger: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.81; pressure=0.21; household allows warmer greeting,gain=0.000; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:153:e25a04f3ec
154,5,Quietledger,Orchardring,Quietledger->Orchardring: nari-a adoption 1.00->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.73; pressure=0.30; household allows warmer greeting,gain=0.000; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:154:9cce792631
155,5,Orchardring,Rainloft,Orchardring->Rainloft: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.81; pressure=0.21; household allows warmer greeting,gain=0.000; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:155:77763af975
156,5,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-a adoption 1.00->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.79; pressure=0.22; household allows warmer greeting,gain=0.000; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:156:fd95cf23c9
157,5,Hearthnest,Marketroof,Hearthnest->Marketroof: lum-a adoption 0.95->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.83; pressure=0.19; household allows warmer greeting,gain=0.045; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:157:6b6abff752
158,5,Routehall,Quietledger,Routehall->Quietledger: tek-a adoption 0.84->0.96,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.83; pressure=0.20; household allows warmer greeting,gain=0.120; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:158:bb9bbe6cd7
159,5,Marketroof,Orchardring,Marketroof->Orchardring: melo-a adoption 1.00->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.75; pressure=0.29; household allows warmer greeting,gain=0.000; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:159:ac94f7fc76
160,5,Quietledger,Rainloft,Quietledger->Rainloft: nari-a adoption 1.00->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.83; pressure=0.20; household allows warmer greeting,gain=0.000; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:160:d10f542988
161,5,Orchardring,Hearthnest,Orchardring->Hearthnest: tek-a adoption 0.84->0.96,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.81; pressure=0.21; household allows warmer greeting,gain=0.120; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:161:bcb2fab797
162,5,Rainloft,Routehall,Rainloft->Routehall: sova-a adoption 0.80->0.92,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.66; pressure=0.37; household allows warmer greeting,gain=0.125; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:162:50286ebfa5
163,5,Hearthnest,Quietledger,Hearthnest->Quietledger: lum-a adoption 0.95->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.85; pressure=0.19; household allows warmer greeting,gain=0.051; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:163:3d05348fd3
164,5,Routehall,Orchardring,Routehall->Orchardring: tek-a adoption 0.98->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.77; pressure=0.28; household allows warmer greeting,gain=0.017; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:164:b046366773
165,5,Marketroof,Rainloft,Marketroof->Rainloft: melo-a adoption 0.95->1.00,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.85; pressure=0.18; household allows warmer greeting,gain=0.048; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:165:5a65737993
166,5,Quietledger,Hearthnest,Quietledger->Hearthnest: nari-a adoption 0.87->0.99,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.83; pressure=0.20; household allows warmer greeting,gain=0.115; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:166:f741b8927e
167,5,Orchardring,Routehall,Orchardring->Routehall: melo-a adoption 0.84->0.96,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.67; pressure=0.35; household allows warmer greeting,gain=0.118; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:167:3cbfe43ebc
168,5,Rainloft,Marketroof,Rainloft->Marketroof: sova-a adoption 0.99->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.85; pressure=0.18; household allows warmer greeting,gain=0.007; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:168:62058c0bc3
169,5,Hearthnest,Orchardring,Hearthnest->Orchardring: ori-a adoption 0.56->0.71,ori-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.79; pressure=0.27; household allows warmer greeting,gain=0.146; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:169:6670a4e4e6
170,5,Routehall,Rainloft,Routehall->Rainloft: tek-a adoption 0.95->1.00,tek-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.87; pressure=0.17; household allows warmer greeting,gain=0.053; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:170:e5d9bc1946
171,5,Marketroof,Hearthnest,Marketroof->Hearthnest: melo-a adoption 0.84->0.96,melo-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.85; pressure=0.19; household allows warmer greeting,gain=0.117; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:171:c3d1563562
172,5,Quietledger,Routehall,Quietledger->Routehall: nari-a adoption 1.00->1.00,nari-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.69; pressure=0.34; household allows warmer greeting,gain=0.000; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:172:cf4eb1099f
173,5,Orchardring,Marketroof,Orchardring->Marketroof: lum-a adoption 1.00->1.00,lum-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.87; pressure=0.17; household allows warmer greeting,gain=0.000; grounding=0.959; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:173:83cab3a09d
174,5,Rainloft,Quietledger,Rainloft->Quietledger: sova-a adoption 0.99->1.00,sova-a-circle; ritual=1.00; clause=invite without pressure,avatar=0.87; pressure=0.18; household allows warmer greeting,gain=0.005; grounding=0.958; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:174:7c79cd5cbc
