tick,day,replay_id,scene_id,includes_object_dialogue,includes_agent_request,includes_reaction_consequence,includes_later_pathing,includes_access_refusal,includes_storage_snapshot,deterministic_order,replay_integrity_score
339,22,v23-replay-0339,v23-scene-d22,1,1,1,1,1,1,1,0.975
340,22,v23-replay-0340,v23-scene-d22,0,False,1,1,1,1,1,0.922917
341,22,v23-replay-0341,v23-scene-d22,1,True,1,1,1,1,1,0.922917
342,22,v23-replay-0342,v23-scene-d22,0,False,1,1,1,1,1,0.875
343,22,v23-replay-0343,v23-scene-d22,1,1,1,1,0,1,1,0.96875
344,22,v23-replay-0344,v23-scene-d22,1,1,1,1,1,1,1,0.947917
345,22,v23-replay-0345,v23-scene-d22,1,1,1,1,0,1,1,0.94375
346,22,v23-replay-0346,v23-scene-d22,1,1,1,1,0,1,1,0.891667
347,22,v23-replay-0347,v23-scene-d22,1,1,1,1,1,1,1,0.9625
348,22,v23-replay-0348,v23-scene-d22,1,1,1,1,0,1,1,0.9375
349,22,v23-replay-0349,v23-scene-d22,0,True,1,1,1,1,1,0.922917
350,22,v23-replay-0350,v23-scene-d22,1,1,1,1,1,1,1,0.9375
351,22,v23-replay-0351,v23-scene-d22,1,1,1,1,1,1,1,0.9375
352,23,v23-replay-0352,v23-scene-d23,1,1,1,1,1,1,1,0.975
353,23,v23-replay-0353,v23-scene-d23,0,True,1,1,1,1,1,0.922917
354,23,v23-replay-0354,v23-scene-d23,1,1,1,1,1,1,1,0.95
355,23,v23-replay-0355,v23-scene-d23,1,1,1,1,0,1,1,0.947917
356,23,v23-replay-0356,v23-scene-d23,1,1,1,1,1,1,1,0.94375
357,23,v23-replay-0357,v23-scene-d23,1,True,1,1,1,1,1,0.979167
358,23,v23-replay-0358,v23-scene-d23,1,1,1,1,1,1,1,0.975
359,23,v23-replay-0359,v23-scene-d23,1,1,1,1,1,1,1,0.9375
360,23,v23-replay-0360,v23-scene-d23,1,1,1,1,1,1,1,0.9375
361,23,v23-replay-0361,v23-scene-d23,1,1,1,1,1,1,1,0.96875
362,23,v23-replay-0362,v23-scene-d23,1,1,1,1,1,1,1,0.95
363,23,v23-replay-0363,v23-scene-d23,1,1,1,1,1,1,1,0.9625
364,23,v23-replay-0364,v23-scene-d23,1,1,1,1,1,1,1,0.9375
365,23,v23-replay-0365,v23-scene-d23,1,1,1,1,1,1,1,0.975
366,23,v23-replay-0366,v23-scene-d23,1,1,1,1,1,1,1,0.975
367,23,v23-replay-0367,v23-scene-d23,1,1,1,1,1,1,1,0.95
368,24,v23-replay-0368,v23-scene-d24,1,1,1,1,1,1,1,0.975
369,24,v23-replay-0369,v23-scene-d24,0,True,1,1,1,1,1,0.922917
370,24,v23-replay-0370,v23-scene-d24,1,1,1,1,1,1,1,0.975
371,24,v23-replay-0371,v23-scene-d24,1,1,1,1,1,1,1,0.975
372,24,v23-replay-0372,v23-scene-d24,1,1,1,1,1,1,1,0.975
373,24,v23-replay-0373,v23-scene-d24,1,True,1,1,1,1,1,0.947917
374,24,v23-replay-0374,v23-scene-d24,1,1,1,1,1,1,1,0.86875
375,24,v23-replay-0375,v23-scene-d24,1,1,1,1,1,1,1,0.975
376,24,v23-replay-0376,v23-scene-d24,1,1,1,1,0,1,1,0.90625
377,24,v23-replay-0377,v23-scene-d24,1,True,1,1,1,0,1,0.927083
378,24,v23-replay-0378,v23-scene-d24,1,1,1,1,1,1,1,0.954167
379,24,v23-replay-0379,v23-scene-d24,0,False,1,1,0,1,1,0.88125
380,24,v23-replay-0380,v23-scene-d24,1,1,1,1,1,1,1,0.9125
381,24,v23-replay-0381,v23-scene-d24,1,True,1,1,1,1,1,0.947917
382,24,v23-replay-0382,v23-scene-d24,1,1,1,1,1,1,1,0.9625
383,24,v23-replay-0383,v23-scene-d24,0,False,1,1,1,1,1,0.94375
384,25,v23-replay-0384,v23-scene-d25,1,False,1,1,1,1,1,0.90625
385,25,v23-replay-0385,v23-scene-d25,1,True,1,1,1,1,1,0.979167
386,25,v23-replay-0386,v23-scene-d25,1,1,1,1,1,1,1,0.9375
387,25,v23-replay-0387,v23-scene-d25,1,1,1,0,1,1,1,0.8625
388,25,v23-replay-0388,v23-scene-d25,1,1,1,1,1,1,1,0.979167
389,25,v23-replay-0389,v23-scene-d25,1,1,1,1,1,1,1,0.9375
390,25,v23-replay-0390,v23-scene-d25,1,1,1,1,1,1,1,0.9625
391,25,v23-replay-0391,v23-scene-d25,1,1,1,1,1,1,1,0.910417
392,25,v23-replay-0392,v23-scene-d25,1,1,1,1,1,1,1,0.9
393,25,v23-replay-0393,v23-scene-d25,1,1,1,1,1,1,1,0.975
394,25,v23-replay-0394,v23-scene-d25,1,1,1,1,1,1,1,1.0
395,25,v23-replay-0395,v23-scene-d25,1,1,1,1,1,1,1,0.9
396,25,v23-replay-0396,v23-scene-d25,1,1,1,1,1,1,1,0.975
397,25,v23-replay-0397,v23-scene-d25,1,True,1,1,1,1,1,0.941667
398,25,v23-replay-0398,v23-scene-d25,1,1,1,1,0,1,1,0.885417
399,25,v23-replay-0399,v23-scene-d25,1,1,1,1,1,1,1,0.9625
400,26,v23-replay-0400,v23-scene-d26,1,1,1,1,1,1,1,0.9375
401,26,v23-replay-0401,v23-scene-d26,1,True,1,1,1,1,1,0.947917
402,26,v23-replay-0402,v23-scene-d26,1,1,1,1,1,1,1,0.975
403,26,v23-replay-0403,v23-scene-d26,1,1,1,1,1,1,1,0.95
404,26,v23-replay-0404,v23-scene-d26,1,1,1,1,0,1,1,0.90625
405,26,v23-replay-0405,v23-scene-d26,1,True,1,1,1,1,1,0.910417
406,26,v23-replay-0406,v23-scene-d26,1,1,1,1,1,1,1,0.9125
407,26,v23-replay-0407,v23-scene-d26,1,1,1,1,1,1,1,0.9625
408,26,v23-replay-0408,v23-scene-d26,1,1,1,1,1,1,1,0.954167
409,26,v23-replay-0409,v23-scene-d26,1,1,1,1,1,1,1,1.0
410,26,v23-replay-0410,v23-scene-d26,1,1,1,1,0,1,1,0.90625
411,26,v23-replay-0411,v23-scene-d26,1,1,1,1,1,1,1,1.0
412,26,v23-replay-0412,v23-scene-d26,1,1,1,1,1,1,1,0.975
413,26,v23-replay-0413,v23-scene-d26,1,1,1,1,0,1,1,0.94375
414,26,v23-replay-0414,v23-scene-d26,1,1,1,1,1,1,1,0.947917
415,26,v23-replay-0415,v23-scene-d26,1,False,1,1,1,1,1,0.93125
