tick,day,lineage,agent,fatigue_cap_respected,pain_cap_respected,boundary_respected,recovery_path_active,distress_bounded,rest_or_care_available,social_contagion_damped,welfare_score,public_note
1,1,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
214,16,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
215,16,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
216,16,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=water pause or care round.
217,16,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
218,16,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
219,16,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
220,16,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
221,16,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
222,16,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=water pause or care round.
223,16,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
224,16,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
