tick,day,resident,posture,gaze,gesture,facing,proximity_before,proximity_after,trust_before,trust_after,gesture_visible,body_state_public,private_workspace_not_leaked
773,43,Milo,alert half-turn,toward avatar,points to shelf,avatar,2.048,1.838,0.674087,0.692087,True,tired,True
774,44,Sera,open stance,away then back,touches chest,avatar,2.076,1.866,0.672566,0.690566,True,wet,True
775,44,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,2.103,2.283,0.653854,0.639854,True,steady,True
776,44,Nia,alert half-turn,toward exit,steps aside,avatar,2.131,1.921,0.663019,0.669019,True,wet,True
777,44,Ari,open stance,down at hands,small wave,side-on boundary,2.159,2.339,0.664592,0.650592,True,steady,True
778,44,Fay,focused crouch,toward avatar,palm stop,avatar,2.187,1.977,0.688082,0.706082,True,steady,True
779,44,Milo,alert half-turn,toward tool,points to shelf,avatar,2.215,2.005,0.67822,0.68422,True,steady,True
780,44,Sera,open stance,away then back,touches chest,avatar,2.243,2.033,0.688231,0.694231,True,wet,True
781,44,Tovan,focused crouch,toward bystander,offers handle,avatar,2.27,2.06,0.668425,0.686425,True,steady,True
782,44,Nia,alert half-turn,toward exit,steps aside,side-on boundary,2.298,2.478,0.669768,0.655768,True,wet,True
783,44,Ari,open stance,down at hands,small wave,avatar,2.326,2.116,0.662222,0.668222,True,steady,True
784,44,Fay,focused crouch,toward avatar,palm stop,side-on boundary,2.353,2.533,0.659677,0.645677,True,steady,True
785,44,Milo,alert half-turn,toward tool,points to shelf,avatar,2.381,2.171,0.679384,0.697384,True,steady,True
786,44,Sera,open stance,away then back,touches chest,avatar,2.408,2.198,0.691476,0.697476,True,wet,True
787,44,Tovan,focused crouch,toward bystander,offers handle,avatar,2.435,2.225,0.679906,0.685906,True,steady,True
788,44,Nia,alert half-turn,toward exit,steps aside,avatar,2.462,2.252,0.675838,0.693838,True,wet,True
789,44,Ari,open stance,down at hands,small wave,side-on boundary,2.488,2.668,0.6505,0.6365,True,tired,True
790,44,Fay,focused crouch,toward avatar,palm stop,avatar,2.515,2.305,0.690346,0.696346,True,tired,True
791,44,Milo,alert half-turn,toward tool,points to shelf,side-on boundary,2.541,2.721,0.677635,0.663635,True,tired,True
792,45,Sera,open stance,toward bystander,touches chest,avatar,2.566,2.356,0.691101,0.697101,True,steady,True
793,45,Tovan,focused crouch,toward exit,offers handle,avatar,2.592,2.382,0.658219,0.676219,True,steady,True
794,45,Nia,alert half-turn,down at hands,steps aside,side-on boundary,2.617,2.797,0.648054,0.634054,True,steady,True
795,45,Ari,open stance,toward avatar,small wave,avatar,2.641,2.431,0.687407,0.693407,True,steady,True
796,45,Fay,focused crouch,toward tool,palm stop,side-on boundary,2.665,2.845,0.692488,0.678488,True,steady,True
797,45,Milo,alert half-turn,away then back,points to shelf,avatar,2.689,2.479,0.674857,0.692857,True,steady,True
798,45,Sera,open stance,toward bystander,touches chest,avatar,2.712,2.502,0.686051,0.692051,True,steady,True
799,45,Tovan,focused crouch,toward exit,offers handle,avatar,2.735,2.525,0.675468,0.681468,True,steady,True
800,45,Nia,alert half-turn,down at hands,steps aside,avatar,2.757,2.547,0.632296,0.650296,True,steady,True
801,45,Ari,open stance,toward avatar,small wave,side-on boundary,2.779,2.959,0.664389,0.650389,True,steady,True
802,45,Fay,focused crouch,toward tool,palm stop,avatar,2.8,2.59,0.679487,0.685487,True,steady,True
803,45,Milo,alert half-turn,away then back,points to shelf,side-on boundary,2.82,3.0,0.664571,0.650571,True,steady,True
804,45,Sera,open stance,toward bystander,touches chest,avatar,2.84,2.63,0.65435,0.67235,True,steady,True
805,45,Tovan,focused crouch,toward exit,offers handle,avatar,2.859,2.649,0.640213,0.646213,True,steady,True
806,45,Nia,alert half-turn,down at hands,steps aside,avatar,2.878,2.668,0.653931,0.659931,True,steady,True
807,45,Ari,open stance,toward avatar,small wave,avatar,2.896,2.686,0.658964,0.676964,True,tired,True
808,45,Fay,focused crouch,toward tool,palm stop,side-on boundary,2.913,3.093,0.691124,0.677124,True,tired,True
809,45,Milo,alert half-turn,away then back,points to shelf,avatar,2.93,2.72,0.662264,0.668264,True,tired,True
810,46,Sera,open stance,toward exit,touches chest,avatar,2.946,2.736,0.669169,0.675169,True,steady,True
811,46,Tovan,focused crouch,down at hands,offers handle,avatar,2.961,2.751,0.633758,0.639758,True,steady,True
812,46,Nia,alert half-turn,toward avatar,steps aside,avatar,2.976,2.766,0.629626,0.647626,True,steady,True
813,46,Ari,open stance,toward tool,small wave,side-on boundary,2.99,3.17,0.681632,0.667632,True,steady,True
814,46,Fay,focused crouch,away then back,palm stop,avatar,3.003,2.793,0.683975,0.689975,True,steady,True
815,46,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,3.015,3.195,0.677551,0.663551,True,steady,True
816,46,Sera,open stance,toward exit,touches chest,avatar,3.026,2.816,0.657257,0.675257,True,steady,True
817,46,Tovan,focused crouch,down at hands,offers handle,avatar,3.037,2.827,0.624671,0.630671,True,steady,True
818,46,Nia,alert half-turn,toward avatar,steps aside,avatar,3.047,2.837,0.633461,0.639461,True,steady,True
819,46,Ari,open stance,toward tool,small wave,avatar,3.056,2.846,0.663876,0.681876,True,steady,True
820,46,Fay,focused crouch,away then back,palm stop,side-on boundary,3.064,3.244,0.686307,0.672307,True,steady,True
821,46,Milo,alert half-turn,toward bystander,points to shelf,avatar,3.071,2.861,0.684929,0.690929,True,steady,True
822,46,Sera,open stance,toward exit,touches chest,side-on boundary,3.078,3.258,0.677385,0.663385,True,steady,True
823,46,Tovan,focused crouch,down at hands,offers handle,avatar,3.084,2.874,0.651976,0.669976,True,steady,True
824,46,Nia,alert half-turn,toward avatar,steps aside,avatar,3.089,2.879,0.637636,0.643636,True,steady,True
825,46,Ari,open stance,toward tool,small wave,avatar,3.093,2.883,0.67328,0.67928,True,tired,True
826,46,Fay,focused crouch,away then back,palm stop,avatar,3.096,2.886,0.684502,0.702502,True,tired,True
827,46,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,3.098,3.278,0.656216,0.642216,True,tired,True
828,47,Sera,open stance,down at hands,touches chest,avatar,3.099,2.889,0.641496,0.659496,True,steady,True
829,47,Tovan,focused crouch,toward avatar,offers handle,avatar,3.1,2.89,0.62225,0.62825,True,steady,True
830,47,Nia,alert half-turn,toward tool,steps aside,avatar,3.1,2.89,0.594347,0.600347,True,steady,True
831,47,Ari,open stance,away then back,small wave,avatar,3.099,2.889,0.691879,0.709879,True,wet,True
832,47,Fay,focused crouch,toward bystander,palm stop,side-on boundary,3.096,3.276,0.658542,0.644542,True,steady,True
833,47,Milo,alert half-turn,toward exit,points to shelf,avatar,3.094,2.884,0.648478,0.654478,True,wet,True
834,47,Sera,open stance,down at hands,touches chest,side-on boundary,3.09,3.27,0.629253,0.615253,True,steady,True
835,47,Tovan,focused crouch,toward avatar,offers handle,avatar,3.085,2.875,0.609135,0.627135,True,steady,True
836,47,Nia,alert half-turn,toward tool,steps aside,avatar,3.08,2.87,0.590988,0.596988,True,steady,True
837,47,Ari,open stance,away then back,small wave,avatar,3.073,2.863,0.696886,0.702886,True,wet,True
838,47,Fay,focused crouch,toward bystander,palm stop,avatar,3.066,2.856,0.6835,0.7015,True,steady,True
839,47,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,3.058,3.238,0.652615,0.638615,True,wet,True
840,47,Sera,open stance,down at hands,touches chest,avatar,3.05,2.84,0.631255,0.637255,True,steady,True
841,47,Tovan,focused crouch,toward avatar,offers handle,side-on boundary,3.04,3.22,0.629621,0.615621,True,steady,True
842,47,Nia,alert half-turn,toward tool,steps aside,avatar,3.029,2.819,0.610231,0.628231,True,steady,True
843,47,Ari,open stance,away then back,small wave,avatar,3.018,2.808,0.66118,0.66718,True,tired,True
844,47,Fay,focused crouch,toward bystander,palm stop,avatar,3.006,2.796,0.664823,0.670823,True,tired,True
845,47,Milo,alert half-turn,toward exit,points to shelf,avatar,2.993,2.783,0.666097,0.684097,True,tired,True
846,48,Sera,open stance,toward avatar,touches chest,side-on boundary,2.98,3.16,0.603819,0.589819,True,steady,True
847,48,Tovan,focused crouch,toward tool,offers handle,avatar,2.966,2.756,0.580913,0.598913,True,steady,True
848,48,Nia,alert half-turn,away then back,steps aside,avatar,2.951,2.741,0.562982,0.568982,True,wet,True
849,48,Ari,open stance,toward bystander,small wave,avatar,2.935,2.725,0.682297,0.688297,True,steady,True
850,48,Fay,focused crouch,toward exit,palm stop,avatar,2.918,2.708,0.66262,0.68062,True,wet,True
851,48,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,2.901,3.081,0.65958,0.64558,True,steady,True
852,48,Sera,open stance,toward avatar,touches chest,avatar,2.883,2.673,0.612338,0.618338,True,steady,True
853,48,Tovan,focused crouch,toward tool,offers handle,side-on boundary,2.865,3.045,0.614263,0.600263,True,steady,True
854,48,Nia,alert half-turn,away then back,steps aside,avatar,2.846,2.636,0.575442,0.593442,True,wet,True
855,48,Ari,open stance,toward bystander,small wave,avatar,2.826,2.616,0.689523,0.695523,True,steady,True
856,48,Fay,focused crouch,toward exit,palm stop,avatar,2.806,2.596,0.665364,0.671364,True,wet,True
857,48,Milo,alert half-turn,down at hands,points to shelf,avatar,2.785,2.575,0.644161,0.662161,True,steady,True
858,48,Sera,open stance,toward avatar,touches chest,side-on boundary,2.763,2.943,0.627976,0.613976,True,steady,True
859,48,Tovan,focused crouch,toward tool,offers handle,avatar,2.741,2.531,0.602775,0.608775,True,steady,True
860,48,Nia,alert half-turn,away then back,steps aside,side-on boundary,2.719,2.899,0.567159,0.553159,True,wet,True
861,48,Ari,open stance,toward bystander,small wave,avatar,2.696,2.486,0.674217,0.692217,True,tired,True
862,48,Fay,focused crouch,toward exit,palm stop,avatar,2.672,2.462,0.677539,0.683539,True,tired,True
863,48,Milo,alert half-turn,down at hands,points to shelf,avatar,2.648,2.438,0.629654,0.635654,True,tired,True
864,49,Sera,open stance,toward tool,touches chest,avatar,2.624,2.414,0.589104,0.595104,True,steady,True
865,49,Tovan,focused crouch,away then back,offers handle,side-on boundary,2.599,2.779,0.587618,0.573618,True,wet,True
866,49,Nia,alert half-turn,toward bystander,steps aside,avatar,2.574,2.364,0.528653,0.546653,True,steady,True
867,49,Ari,open stance,toward exit,small wave,avatar,2.548,2.338,0.679233,0.685233,True,wet,True
868,49,Fay,focused crouch,down at hands,palm stop,avatar,2.522,2.312,0.638545,0.644545,True,steady,True
869,49,Milo,alert half-turn,toward avatar,points to shelf,avatar,2.496,2.286,0.63255,0.65055,True,steady,True
870,49,Sera,open stance,toward tool,touches chest,side-on boundary,2.47,2.65,0.585514,0.571514,True,steady,True
871,49,Tovan,focused crouch,away then back,offers handle,avatar,2.443,2.233,0.571856,0.577856,True,wet,True
872,49,Nia,alert half-turn,toward bystander,steps aside,side-on boundary,2.416,2.596,0.535125,0.521125,True,steady,True
873,49,Ari,open stance,toward exit,small wave,avatar,2.389,2.179,0.657118,0.675118,True,wet,True
874,49,Fay,focused crouch,down at hands,palm stop,avatar,2.361,2.151,0.638835,0.644835,True,steady,True
875,49,Milo,alert half-turn,toward avatar,points to shelf,avatar,2.334,2.124,0.606691,0.612691,True,steady,True
876,49,Sera,open stance,toward tool,touches chest,avatar,2.306,2.096,0.613548,0.631548,True,steady,True
877,49,Tovan,focused crouch,away then back,offers handle,side-on boundary,2.279,2.459,0.556266,0.542266,True,wet,True
878,49,Nia,alert half-turn,toward bystander,steps aside,avatar,2.251,2.041,0.538176,0.544176,True,steady,True
879,49,Ari,open stance,toward exit,small wave,side-on boundary,2.223,2.403,0.662238,0.648238,True,tired,True
880,49,Fay,focused crouch,down at hands,palm stop,avatar,2.195,1.985,0.637778,0.655778,True,tired,True
881,49,Milo,alert half-turn,toward avatar,points to shelf,avatar,2.167,1.957,0.610693,0.616693,True,tired,True
882,50,Sera,open stance,away then back,touches chest,side-on boundary,2.139,2.319,0.555242,0.541242,True,wet,True
883,50,Tovan,focused crouch,toward bystander,offers handle,avatar,2.111,1.901,0.557113,0.563113,True,steady,True
884,50,Nia,alert half-turn,toward exit,steps aside,side-on boundary,2.084,2.264,0.508195,0.494195,True,wet,True
885,50,Ari,open stance,down at hands,small wave,avatar,2.056,1.846,0.637093,0.655093,True,steady,True
886,50,Fay,focused crouch,toward avatar,palm stop,avatar,2.029,1.819,0.625715,0.631715,True,steady,True
887,50,Milo,alert half-turn,toward tool,points to shelf,avatar,2.001,1.791,0.601028,0.607028,True,steady,True
888,50,Sera,open stance,away then back,touches chest,avatar,1.974,1.764,0.590473,0.608473,True,wet,True
889,50,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,1.947,2.127,0.53097,0.51697,True,steady,True
890,50,Nia,alert half-turn,toward exit,steps aside,avatar,1.921,1.711,0.518841,0.524841,True,wet,True
891,50,Ari,open stance,down at hands,small wave,side-on boundary,1.894,2.074,0.638889,0.624889,True,steady,True
892,50,Fay,focused crouch,toward avatar,palm stop,avatar,1.868,1.658,0.608906,0.626906,True,steady,True
893,50,Milo,alert half-turn,toward tool,points to shelf,avatar,1.842,1.632,0.614574,0.620574,True,steady,True
894,50,Sera,open stance,away then back,touches chest,avatar,1.817,1.607,0.572517,0.578517,True,wet,True
895,50,Tovan,focused crouch,toward bystander,offers handle,avatar,1.792,1.582,0.538423,0.556423,True,steady,True
896,50,Nia,alert half-turn,toward exit,steps aside,side-on boundary,1.767,1.947,0.524729,0.510729,True,wet,True
897,50,Ari,open stance,down at hands,small wave,avatar,1.743,1.533,0.627874,0.633874,True,tired,True
898,50,Fay,focused crouch,toward avatar,palm stop,side-on boundary,1.719,1.899,0.611021,0.597021,True,tired,True
899,50,Milo,alert half-turn,toward tool,points to shelf,avatar,1.696,1.486,0.616746,0.634746,True,tired,True
900,51,Sera,open stance,toward bystander,touches chest,avatar,1.673,1.463,0.537588,0.555588,True,steady,True
901,51,Tovan,focused crouch,toward exit,offers handle,side-on boundary,1.651,1.831,0.505422,0.491422,True,wet,True
902,51,Nia,alert half-turn,down at hands,steps aside,avatar,1.629,1.419,0.499403,0.505403,True,steady,True
903,51,Ari,open stance,toward avatar,small wave,side-on boundary,1.607,1.787,0.609894,0.595894,True,steady,True
904,51,Fay,focused crouch,toward tool,palm stop,avatar,1.587,1.377,0.605793,0.623793,True,steady,True
905,51,Milo,alert half-turn,away then back,points to shelf,avatar,1.567,1.357,0.592409,0.598409,True,wet,True
906,51,Sera,open stance,toward bystander,touches chest,avatar,1.547,1.337,0.544728,0.550728,True,steady,True
907,51,Tovan,focused crouch,toward exit,offers handle,avatar,1.528,1.318,0.52471,0.54271,True,wet,True
908,51,Nia,alert half-turn,down at hands,steps aside,side-on boundary,1.51,1.69,0.467517,0.453517,True,steady,True
909,51,Ari,open stance,toward avatar,small wave,avatar,1.492,1.282,0.632184,0.638184,True,steady,True
910,51,Fay,focused crouch,toward tool,palm stop,side-on boundary,1.476,1.656,0.6027,0.5887,True,steady,True
911,51,Milo,alert half-turn,away then back,points to shelf,avatar,1.459,1.249,0.568008,0.586008,True,wet,True
912,51,Sera,open stance,toward bystander,touches chest,avatar,1.444,1.234,0.56344,0.56944,True,steady,True
913,51,Tovan,focused crouch,toward exit,offers handle,avatar,1.429,1.219,0.494567,0.500567,True,wet,True
914,51,Nia,alert half-turn,down at hands,steps aside,avatar,1.415,1.205,0.501829,0.519829,True,steady,True
915,51,Ari,open stance,toward avatar,small wave,side-on boundary,1.402,1.582,0.61933,0.60533,True,tired,True
916,51,Fay,focused crouch,toward tool,palm stop,avatar,1.389,1.179,0.588988,0.594988,True,tired,True
917,51,Milo,alert half-turn,away then back,points to shelf,side-on boundary,1.378,1.558,0.556937,0.542937,True,tired,True
918,52,Sera,open stance,toward exit,touches chest,avatar,1.367,1.157,0.523865,0.529865,True,wet,True
919,52,Tovan,focused crouch,down at hands,offers handle,avatar,1.356,1.146,0.47951,0.49751,True,steady,True
920,52,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,1.347,1.527,0.46636,0.45236,True,steady,True
921,52,Ari,open stance,toward tool,small wave,avatar,1.339,1.129,0.601666,0.607666,True,steady,True
922,52,Fay,focused crouch,away then back,palm stop,side-on boundary,1.331,1.511,0.570671,0.556671,True,wet,True
923,52,Milo,alert half-turn,toward bystander,points to shelf,avatar,1.324,1.114,0.539955,0.557955,True,steady,True
924,52,Sera,open stance,toward exit,touches chest,avatar,1.318,1.108,0.499117,0.505117,True,wet,True
925,52,Tovan,focused crouch,down at hands,offers handle,avatar,1.313,1.103,0.496392,0.502392,True,steady,True
926,52,Nia,alert half-turn,toward avatar,steps aside,avatar,1.309,1.099,0.437534,0.455534,True,steady,True
927,52,Ari,open stance,toward tool,small wave,side-on boundary,1.305,1.485,0.588987,0.574987,True,steady,True
928,52,Fay,focused crouch,away then back,palm stop,avatar,1.303,1.093,0.557739,0.563739,True,wet,True
929,52,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,1.301,1.481,0.557844,0.543844,True,steady,True
930,52,Sera,open stance,toward exit,touches chest,avatar,1.3,1.09,0.517682,0.535682,True,wet,True
931,52,Tovan,focused crouch,down at hands,offers handle,avatar,1.3,1.09,0.494088,0.500088,True,steady,True
932,52,Nia,alert half-turn,toward avatar,steps aside,avatar,1.301,1.091,0.455632,0.461632,True,steady,True
933,52,Ari,open stance,toward tool,small wave,avatar,1.303,1.093,0.606613,0.624613,True,tired,True
934,52,Fay,focused crouch,away then back,palm stop,side-on boundary,1.305,1.485,0.563187,0.549187,True,tired,True
935,52,Milo,alert half-turn,toward bystander,points to shelf,avatar,1.309,1.099,0.525039,0.531039,True,tired,True
936,53,Sera,open stance,down at hands,touches chest,avatar,1.313,1.103,0.481135,0.487135,True,steady,True
937,53,Tovan,focused crouch,toward avatar,offers handle,avatar,1.318,1.108,0.468351,0.474351,True,steady,True
938,53,Nia,alert half-turn,toward tool,steps aside,avatar,1.324,1.114,0.434216,0.452216,True,steady,True
939,53,Ari,open stance,away then back,small wave,side-on boundary,1.331,1.511,0.57632,0.56232,True,wet,True
940,53,Fay,focused crouch,toward bystander,palm stop,avatar,1.339,1.129,0.527485,0.533485,True,steady,True
941,53,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,1.347,1.527,0.502101,0.488101,True,wet,True
942,53,Sera,open stance,down at hands,touches chest,avatar,1.357,1.147,0.500452,0.518452,True,steady,True
943,53,Tovan,focused crouch,toward avatar,offers handle,avatar,1.367,1.157,0.433463,0.439463,True,steady,True
944,53,Nia,alert half-turn,toward tool,steps aside,avatar,1.378,1.168,0.443372,0.449372,True,steady,True
945,53,Ari,open stance,away then back,small wave,avatar,1.39,1.18,0.563027,0.581027,True,wet,True
946,53,Fay,focused crouch,toward bystander,palm stop,side-on boundary,1.402,1.582,0.53801,0.52401,True,steady,True
947,53,Milo,alert half-turn,toward exit,points to shelf,avatar,1.415,1.205,0.495995,0.501995,True,wet,True
948,53,Sera,open stance,down at hands,touches chest,side-on boundary,1.429,1.609,0.474142,0.460142,True,steady,True
949,53,Tovan,focused crouch,toward avatar,offers handle,avatar,1.444,1.234,0.438604,0.456604,True,steady,True
950,53,Nia,alert half-turn,toward tool,steps aside,avatar,1.46,1.25,0.406287,0.412287,True,steady,True
951,53,Ari,open stance,away then back,small wave,avatar,1.476,1.266,0.55901,0.56501,True,tired,True
952,53,Fay,focused crouch,toward bystander,palm stop,avatar,1.493,1.283,0.532771,0.550771,True,tired,True
953,53,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,1.51,1.69,0.503883,0.489883,True,tired,True
954,54,Sera,open stance,toward avatar,touches chest,avatar,1.529,1.319,0.463408,0.481408,True,steady,True
955,54,Tovan,focused crouch,toward tool,offers handle,avatar,1.548,1.338,0.437823,0.443823,True,steady,True
956,54,Nia,alert half-turn,away then back,steps aside,avatar,1.567,1.357,0.401015,0.407015,True,wet,True
957,54,Ari,open stance,toward bystander,small wave,avatar,1.587,1.377,0.523716,0.541716,True,steady,True
958,54,Fay,focused crouch,toward exit,palm stop,side-on boundary,1.608,1.788,0.529662,0.515662,True,wet,True
959,54,Milo,alert half-turn,down at hands,points to shelf,avatar,1.629,1.419,0.480068,0.486068,True,steady,True
960,54,Sera,open stance,toward avatar,touches chest,side-on boundary,1.651,1.831,0.466467,0.452467,True,steady,True
961,54,Tovan,focused crouch,toward tool,offers handle,avatar,1.673,1.463,0.433048,0.451048,True,steady,True
962,54,Nia,alert half-turn,away then back,steps aside,avatar,1.696,1.486,0.411973,0.417973,True,steady,True
963,54,Ari,open stance,toward bystander,small wave,avatar,1.72,1.51,0.54781,0.55381,True,steady,True
964,54,Fay,focused crouch,toward exit,palm stop,avatar,1.744,1.534,0.501507,0.519507,True,steady,True
965,54,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,1.768,1.948,0.495717,0.481717,True,steady,True
966,54,Sera,open stance,toward avatar,touches chest,avatar,1.792,1.582,0.465927,0.471927,True,steady,True
967,54,Tovan,focused crouch,toward tool,offers handle,side-on boundary,1.818,1.998,0.415991,0.401991,True,steady,True
968,54,Nia,alert half-turn,away then back,steps aside,avatar,1.843,1.633,0.401017,0.419017,True,steady,True
969,54,Ari,open stance,toward bystander,small wave,avatar,1.869,1.659,0.54849,0.55449,True,tired,True
970,54,Fay,focused crouch,toward exit,palm stop,avatar,1.895,1.685,0.515088,0.521088,True,tired,True
971,54,Milo,alert half-turn,down at hands,points to shelf,avatar,1.921,1.711,0.475765,0.493765,True,tired,True
972,55,Sera,open stance,toward tool,touches chest,side-on boundary,1.948,2.128,0.41651,0.40251,True,steady,True
973,55,Tovan,focused crouch,away then back,offers handle,avatar,1.975,1.765,0.386153,0.404153,True,steady,True
974,55,Nia,alert half-turn,toward bystander,steps aside,avatar,2.002,1.792,0.38064,0.38664,True,steady,True
975,55,Ari,open stance,toward exit,small wave,avatar,2.029,1.819,0.499488,0.505488,True,steady,True
976,55,Fay,focused crouch,down at hands,palm stop,avatar,2.057,1.847,0.466309,0.484309,True,steady,True
977,55,Milo,alert half-turn,toward avatar,points to shelf,side-on boundary,2.084,2.264,0.446406,0.432406,True,steady,True
978,55,Sera,open stance,toward tool,touches chest,avatar,2.112,1.902,0.411488,0.417488,True,steady,True
979,55,Tovan,focused crouch,away then back,offers handle,side-on boundary,2.14,2.32,0.394794,0.380794,True,steady,True
980,55,Nia,alert half-turn,toward bystander,steps aside,avatar,2.168,1.958,0.389615,0.407615,True,steady,True
981,55,Ari,open stance,toward exit,small wave,avatar,2.196,1.986,0.494717,0.500717,True,steady,True
982,55,Fay,focused crouch,down at hands,palm stop,avatar,2.223,2.013,0.481167,0.487167,True,steady,True
983,55,Milo,alert half-turn,toward avatar,points to shelf,avatar,2.251,2.041,0.433775,0.451775,True,steady,True
984,55,Sera,open stance,toward tool,touches chest,side-on boundary,2.279,2.459,0.422412,0.408412,True,steady,True
985,55,Tovan,focused crouch,away then back,offers handle,avatar,2.307,2.097,0.391547,0.397547,True,steady,True
986,55,Nia,alert half-turn,toward bystander,steps aside,side-on boundary,2.335,2.515,0.362289,0.348289,True,steady,True
987,55,Ari,open stance,toward exit,small wave,avatar,2.362,2.152,0.497302,0.515302,True,steady,True
988,55,Fay,focused crouch,down at hands,palm stop,avatar,2.389,2.179,0.478645,0.484645,True,tired,True
989,55,Milo,alert half-turn,toward avatar,points to shelf,avatar,2.417,2.207,0.459461,0.465461,True,tired,True
990,56,Sera,open stance,away then back,touches chest,avatar,2.444,2.234,0.416212,0.422212,True,steady,True
991,56,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,2.47,2.65,0.386106,0.372106,True,steady,True
992,56,Nia,alert half-turn,toward exit,steps aside,avatar,2.497,2.287,0.336436,0.354436,True,steady,True
993,56,Ari,open stance,down at hands,small wave,avatar,2.523,2.313,0.499816,0.505816,True,steady,True
994,56,Fay,focused crouch,toward avatar,palm stop,avatar,2.549,2.339,0.471078,0.477078,True,steady,True
995,56,Milo,alert half-turn,toward tool,points to shelf,avatar,2.574,2.364,0.423913,0.441913,True,steady,True
996,56,Sera,open stance,away then back,touches chest,side-on boundary,2.6,2.78,0.38842,0.37442,True,wet,True
997,56,Tovan,focused crouch,toward bystander,offers handle,avatar,2.624,2.414,0.364026,0.370026,True,steady,True
998,56,Nia,alert half-turn,toward exit,steps aside,side-on boundary,2.649,2.829,0.336718,0.322718,True,wet,True
999,56,Ari,open stance,down at hands,small wave,avatar,2.673,2.463,0.497618,0.515618,True,steady,True
1000,56,Fay,focused crouch,toward avatar,palm stop,avatar,2.696,2.486,0.44844,0.45444,True,steady,True
1001,56,Milo,alert half-turn,toward tool,points to shelf,avatar,2.719,2.509,0.442882,0.448882,True,steady,True
1002,56,Sera,open stance,away then back,touches chest,avatar,2.742,2.532,0.400904,0.418904,True,wet,True
1003,56,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,2.764,2.944,0.366189,0.352189,True,steady,True
1004,56,Nia,alert half-turn,toward exit,steps aside,avatar,2.785,2.575,0.337417,0.343417,True,wet,True
1005,56,Ari,open stance,down at hands,small wave,side-on boundary,2.806,2.986,0.490638,0.476638,True,steady,True
1006,56,Fay,focused crouch,toward avatar,palm stop,avatar,2.827,2.617,0.435661,0.453661,True,tired,True
1007,56,Milo,alert half-turn,toward tool,points to shelf,avatar,2.846,2.636,0.433594,0.439594,True,tired,True
1008,57,Sera,open stance,toward bystander,touches chest,side-on boundary,2.865,3.045,0.360687,0.346687,True,steady,True
1009,57,Tovan,focused crouch,toward exit,offers handle,avatar,2.884,2.674,0.366897,0.372897,True,wet,True
1010,57,Nia,alert half-turn,down at hands,steps aside,side-on boundary,2.902,3.082,0.355683,0.341683,True,steady,True
1011,57,Ari,open stance,toward avatar,small wave,avatar,2.919,2.709,0.464,0.482,True,steady,True
1012,57,Fay,focused crouch,toward tool,palm stop,avatar,2.935,2.725,0.439965,0.445965,True,steady,True
1013,57,Milo,alert half-turn,away then back,points to shelf,avatar,2.951,2.741,0.394139,0.400139,True,wet,True
1014,57,Sera,open stance,toward bystander,touches chest,avatar,2.966,2.756,0.389873,0.407873,True,steady,True
1015,57,Tovan,focused crouch,toward exit,offers handle,side-on boundary,2.98,3.16,0.350986,0.336986,True,wet,True
1016,57,Nia,alert half-turn,down at hands,steps aside,avatar,2.994,2.784,0.34375,0.34975,True,steady,True
1017,57,Ari,open stance,toward avatar,small wave,side-on boundary,3.007,3.187,0.456371,0.442371,True,steady,True
1018,57,Fay,focused crouch,toward tool,palm stop,avatar,3.019,2.809,0.432957,0.450957,True,steady,True
1019,57,Milo,alert half-turn,away then back,points to shelf,avatar,3.03,2.82,0.39056,0.39656,True,wet,True
1020,57,Sera,open stance,toward bystander,touches chest,avatar,3.04,2.83,0.368318,0.374318,True,steady,True
1021,57,Tovan,focused crouch,toward exit,offers handle,avatar,3.05,2.84,0.340905,0.358905,True,wet,True
1022,57,Nia,alert half-turn,down at hands,steps aside,side-on boundary,3.059,3.239,0.353296,0.339296,True,steady,True
1023,57,Ari,open stance,toward avatar,small wave,avatar,3.066,2.856,0.472321,0.478321,True,steady,True
1024,57,Fay,focused crouch,toward tool,palm stop,side-on boundary,3.074,3.254,0.440857,0.426857,True,tired,True
1025,57,Milo,alert half-turn,away then back,points to shelf,avatar,3.08,2.87,0.414148,0.432148,True,tired,True
1026,58,Sera,open stance,toward exit,touches chest,avatar,3.085,2.875,0.355048,0.373048,True,wet,True
1027,58,Tovan,focused crouch,down at hands,offers handle,side-on boundary,3.09,3.27,0.335694,0.321694,True,steady,True
1028,58,Nia,alert half-turn,toward avatar,steps aside,avatar,3.094,2.884,0.331545,0.337545,True,steady,True
1029,58,Ari,open stance,toward tool,small wave,side-on boundary,3.097,3.277,0.41454,0.40054,True,steady,True
1030,58,Fay,focused crouch,away then back,palm stop,avatar,3.099,2.889,0.401086,0.419086,True,wet,True
