tick,day,selected_resident,visible_schedule,visible_project,visible_debt,visible_care_need,visible_trust,panel_patch,private_workspace_hidden
742,42,Fay,rest,map safe route,care favor,hungry,0.365181,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.3652}",True
743,42,Milo,negotiate debt,dry seed store,route warning,focused,0.321254,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.3213}",True
744,42,Sera,seek tool,sort herb shelf,tool loan,guarded,0.44458,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.4446}",True
745,42,Tovan,private task,map safe route,water carry,relieved,0.587286,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.5873}",True
746,42,Nia,private task,dry seed store,repair promise,steady,0.695,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.695}",True
747,42,Ari,work,sort herb shelf,missed greeting,tired,0.494576,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.4946}",True
748,42,Fay,work,map safe route,care favor,wet,0.354816,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.3548}",True
749,42,Milo,rest,dry seed store,route warning,hungry,0.318442,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.3184}",True
750,42,Sera,negotiate debt,sort herb shelf,tool loan,focused,0.434857,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.4349}",True
751,42,Tovan,seek tool,map safe route,water carry,guarded,0.611235,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.6112}",True
752,42,Nia,care duty,dry seed store,repair promise,relieved,0.678669,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.6787}",True
753,42,Ari,recover focus,sort herb shelf,missed greeting,steady,0.493716,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.4937}",True
754,42,Fay,recover focus,map safe route,care favor,tired,0.370839,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.3708}",True
755,42,Milo,rest,dry seed store,route warning,wet,0.294051,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.2941}",True
756,43,Sera,negotiate debt,patch cloak,water carry,hungry,0.468358,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.4684}",True
757,43,Tovan,seek tool,repair awning,repair promise,focused,0.626689,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.6267}",True
758,43,Nia,care duty,fix bridge peg,missed greeting,guarded,0.687089,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.6871}",True
759,43,Ari,private task,patch cloak,care favor,relieved,0.51032,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.5103}",True
760,43,Fay,work,repair awning,route warning,steady,0.340854,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.3409}",True
761,43,Milo,work,fix bridge peg,tool loan,tired,0.332178,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""work"", ""trust"": 0.3322}",True
762,43,Sera,negotiate debt,patch cloak,water carry,wet,0.438666,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.4387}",True
763,43,Tovan,negotiate debt,repair awning,repair promise,hungry,0.608572,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.6086}",True
764,43,Nia,seek tool,fix bridge peg,missed greeting,focused,0.679476,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.6795}",True
765,43,Ari,care duty,patch cloak,care favor,guarded,0.513061,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.5131}",True
766,43,Fay,private task,repair awning,route warning,relieved,0.365602,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.3656}",True
767,43,Milo,recover focus,fix bridge peg,tool loan,steady,0.342878,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.3429}",True
768,43,Sera,rest,patch cloak,water carry,tired,0.430098,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.4301}",True
769,43,Tovan,rest,repair awning,repair promise,wet,0.635798,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.6358}",True
770,43,Nia,seek tool,fix bridge peg,missed greeting,hungry,0.637089,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.6371}",True
771,43,Ari,seek tool,patch cloak,care favor,focused,0.514495,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.5145}",True
772,43,Fay,care duty,repair awning,route warning,guarded,0.361848,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.3618}",True
773,43,Milo,private task,fix bridge peg,tool loan,relieved,0.332124,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.3321}",True
774,44,Sera,work,map safe route,repair promise,steady,0.471172,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.4712}",True
775,44,Tovan,negotiate debt,dry seed store,missed greeting,tired,0.611531,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.6115}",True
776,44,Nia,negotiate debt,sort herb shelf,care favor,wet,0.671703,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""negotiate debt"", ""trust"": 0.6717}",True
777,44,Ari,care duty,map safe route,route warning,hungry,0.460718,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.4607}",True
778,44,Fay,care duty,dry seed store,tool loan,focused,0.321776,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.3218}",True
779,44,Milo,private task,sort herb shelf,water carry,guarded,0.342665,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.3427}",True
780,44,Sera,recover focus,map safe route,repair promise,relieved,0.478056,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.4781}",True
781,44,Tovan,work,dry seed store,missed greeting,steady,0.648727,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.6487}",True
782,44,Nia,rest,sort herb shelf,care favor,tired,0.663955,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.664}",True
783,44,Ari,seek tool,map safe route,route warning,wet,0.459811,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.4598}",True
784,44,Fay,seek tool,dry seed store,tool loan,hungry,0.349025,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.349}",True
785,44,Milo,private task,sort herb shelf,water carry,focused,0.316242,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.3162}",True
786,44,Sera,private task,map safe route,repair promise,guarded,0.446781,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.4468}",True
787,44,Tovan,recover focus,dry seed store,missed greeting,relieved,0.633005,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.633}",True
788,44,Nia,work,sort herb shelf,care favor,steady,0.658817,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.6588}",True
789,44,Ari,rest,map safe route,route warning,tired,0.495319,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.4953}",True
790,44,Fay,negotiate debt,dry seed store,tool loan,wet,0.368518,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.3685}",True
791,44,Milo,care duty,sort herb shelf,water carry,hungry,0.310769,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.3108}",True
792,45,Sera,recover focus,repair awning,missed greeting,focused,0.446116,"{""debt"": ""missed greeting"", ""project"": ""repair awning"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.4461}",True
793,45,Tovan,recover focus,fix bridge peg,care favor,guarded,0.614318,"{""debt"": ""care favor"", ""project"": ""fix bridge peg"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.6143}",True
794,45,Nia,work,patch cloak,route warning,relieved,0.668694,"{""debt"": ""route warning"", ""project"": ""patch cloak"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.6687}",True
795,45,Ari,rest,repair awning,tool loan,steady,0.49888,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.4989}",True
796,45,Fay,negotiate debt,fix bridge peg,water carry,tired,0.346349,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.3463}",True
797,45,Milo,seek tool,patch cloak,repair promise,wet,0.352371,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.3524}",True
798,45,Sera,private task,repair awning,missed greeting,hungry,0.465233,"{""debt"": ""missed greeting"", ""project"": ""repair awning"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.4652}",True
799,45,Tovan,private task,fix bridge peg,care favor,focused,0.640039,"{""debt"": ""care favor"", ""project"": ""fix bridge peg"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.64}",True
800,45,Nia,work,patch cloak,route warning,guarded,0.622759,"{""debt"": ""route warning"", ""project"": ""patch cloak"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.6228}",True
801,45,Ari,work,repair awning,tool loan,relieved,0.496758,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.4968}",True
802,45,Fay,rest,fix bridge peg,water carry,steady,0.363392,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.3634}",True
803,45,Milo,negotiate debt,patch cloak,repair promise,tired,0.335767,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.3358}",True
804,45,Sera,seek tool,repair awning,missed greeting,wet,0.487948,"{""debt"": ""missed greeting"", ""project"": ""repair awning"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.4879}",True
805,45,Tovan,care duty,fix bridge peg,care favor,hungry,0.646548,"{""debt"": ""care favor"", ""project"": ""fix bridge peg"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.6465}",True
806,45,Nia,recover focus,patch cloak,route warning,focused,0.62496,"{""debt"": ""route warning"", ""project"": ""patch cloak"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.625}",True
807,45,Ari,recover focus,repair awning,tool loan,guarded,0.512227,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.5122}",True
808,45,Fay,rest,fix bridge peg,water carry,relieved,0.31183,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.3118}",True
809,45,Milo,rest,patch cloak,repair promise,steady,0.340147,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.3401}",True
810,46,Sera,seek tool,dry seed store,care favor,tired,0.494211,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.4942}",True
811,46,Tovan,care duty,sort herb shelf,route warning,wet,0.67418,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.6742}",True
812,46,Nia,private task,map safe route,tool loan,hungry,0.685508,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.6855}",True
813,46,Ari,work,dry seed store,water carry,focused,0.432377,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.4324}",True
814,46,Fay,work,sort herb shelf,repair promise,guarded,0.357236,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.3572}",True
815,46,Milo,negotiate debt,map safe route,missed greeting,relieved,0.316464,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.3165}",True
816,46,Sera,negotiate debt,dry seed store,care favor,steady,0.467502,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.4675}",True
817,46,Tovan,seek tool,sort herb shelf,route warning,tired,0.647311,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.6473}",True
818,46,Nia,care duty,map safe route,tool loan,wet,0.644583,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.6446}",True
819,46,Ari,private task,dry seed store,water carry,hungry,0.470528,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.4705}",True
820,46,Fay,recover focus,sort herb shelf,repair promise,focused,0.325973,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.326}",True
821,46,Milo,rest,map safe route,missed greeting,guarded,0.328704,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.3287}",True
822,46,Sera,rest,dry seed store,care favor,relieved,0.512335,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.5123}",True
823,46,Tovan,seek tool,sort herb shelf,route warning,steady,0.625889,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.6259}",True
824,46,Nia,seek tool,map safe route,tool loan,tired,0.662241,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.6622}",True
825,46,Ari,care duty,dry seed store,water carry,wet,0.480488,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.4805}",True
826,46,Fay,private task,sort herb shelf,repair promise,hungry,0.343723,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.3437}",True
827,46,Milo,recover focus,map safe route,missed greeting,focused,0.335396,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.3354}",True
828,47,Sera,negotiate debt,fix bridge peg,route warning,guarded,0.489635,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.4896}",True
829,47,Tovan,negotiate debt,patch cloak,tool loan,relieved,0.6559,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.6559}",True
830,47,Nia,care duty,repair awning,water carry,steady,0.636109,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.6361}",True
831,47,Ari,care duty,fix bridge peg,repair promise,tired,0.467983,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.468}",True
832,47,Fay,private task,patch cloak,missed greeting,wet,0.34348,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.3435}",True
833,47,Milo,recover focus,repair awning,care favor,hungry,0.336915,"{""debt"": ""care favor"", ""project"": ""repair awning"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.3369}",True
834,47,Sera,work,fix bridge peg,route warning,focused,0.521157,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.5212}",True
835,47,Tovan,rest,patch cloak,tool loan,guarded,0.660869,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.6609}",True
836,47,Nia,seek tool,repair awning,water carry,relieved,0.616978,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.617}",True
837,47,Ari,seek tool,fix bridge peg,repair promise,steady,0.48568,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.4857}",True
838,47,Fay,private task,patch cloak,missed greeting,tired,0.283778,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.2838}",True
839,47,Milo,private task,repair awning,care favor,wet,0.352224,"{""debt"": ""care favor"", ""project"": ""repair awning"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.3522}",True
840,47,Sera,recover focus,fix bridge peg,route warning,hungry,0.499292,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.4993}",True
841,47,Tovan,work,patch cloak,tool loan,focused,0.660283,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.6603}",True
842,47,Nia,rest,repair awning,water carry,guarded,0.65458,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.6546}",True
843,47,Ari,negotiate debt,fix bridge peg,repair promise,relieved,0.455745,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.4557}",True
844,47,Fay,care duty,patch cloak,missed greeting,steady,0.294322,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.2943}",True
845,47,Milo,care duty,repair awning,care favor,tired,0.354501,"{""debt"": ""care favor"", ""project"": ""repair awning"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.3545}",True
846,48,Sera,recover focus,sort herb shelf,tool loan,wet,0.495517,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.4955}",True
847,48,Tovan,work,map safe route,water carry,hungry,0.677586,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.6776}",True
848,48,Nia,rest,dry seed store,repair promise,focused,0.654895,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.6549}",True
849,48,Ari,negotiate debt,sort herb shelf,missed greeting,guarded,0.455477,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.4555}",True
850,48,Fay,seek tool,map safe route,care favor,relieved,0.323462,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.3235}",True
851,48,Milo,private task,dry seed store,route warning,steady,0.312711,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.3127}",True
852,48,Sera,private task,sort herb shelf,tool loan,tired,0.531692,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.5317}",True
853,48,Tovan,work,map safe route,water carry,wet,0.639191,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.6392}",True
854,48,Nia,work,dry seed store,repair promise,hungry,0.634654,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.6347}",True
855,48,Ari,rest,sort herb shelf,missed greeting,focused,0.469704,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.4697}",True
856,48,Fay,negotiate debt,map safe route,care favor,guarded,0.306797,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.3068}",True
857,48,Milo,seek tool,dry seed store,route warning,relieved,0.381184,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.3812}",True
858,48,Sera,care duty,sort herb shelf,tool loan,steady,0.529323,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.5293}",True
859,48,Tovan,recover focus,map safe route,water carry,tired,0.633764,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.6338}",True
860,48,Nia,recover focus,dry seed store,repair promise,wet,0.657282,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.6573}",True
861,48,Ari,rest,sort herb shelf,missed greeting,hungry,0.416054,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.4161}",True
862,48,Fay,rest,map safe route,care favor,focused,0.31932,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.3193}",True
863,48,Milo,negotiate debt,dry seed store,route warning,guarded,0.355574,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.3556}",True
864,49,Sera,care duty,patch cloak,water carry,relieved,0.527166,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.5272}",True
865,49,Tovan,private task,repair awning,repair promise,steady,0.659425,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.6594}",True
866,49,Nia,work,fix bridge peg,missed greeting,tired,0.628367,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.6284}",True
867,49,Ari,work,patch cloak,care favor,wet,0.448918,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.4489}",True
868,49,Fay,negotiate debt,repair awning,route warning,hungry,0.290592,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.2906}",True
869,49,Milo,negotiate debt,fix bridge peg,tool loan,focused,0.344823,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.3448}",True
870,49,Sera,seek tool,patch cloak,water carry,guarded,0.534232,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.5342}",True
871,49,Tovan,care duty,repair awning,repair promise,relieved,0.652509,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.6525}",True
872,49,Nia,private task,fix bridge peg,missed greeting,steady,0.651134,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.6511}",True
873,49,Ari,recover focus,patch cloak,care favor,tired,0.427239,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.4272}",True
874,49,Fay,rest,repair awning,route warning,wet,0.309684,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.3097}",True
875,49,Milo,rest,fix bridge peg,tool loan,hungry,0.388517,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.3885}",True
876,49,Sera,seek tool,patch cloak,water carry,focused,0.497876,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.4979}",True
