tick_index,agent,routine,project_progress,skill_practice,resource_change,social_face_change,autonomy_satisfaction,routine_variation,consequence_summary
1,Ari,quiet_route_scan,0.193754,0.234,0.5,0.48,0.792921,0.26,Ari quiet_route_scan: progress=0.19; resource=0.50; face=0.48
205,Ari,repair_route,0.537102,0.619,0.428,0.518,0.8524,0.26,Ari repair_route: progress=0.54; resource=0.43; face=0.52
206,Fay,repair_route,0.518403,0.698,0.478,0.696,0.771455,0.26,Fay repair_route: progress=0.52; resource=0.48; face=0.70
207,Milo,teach_skill,0.541255,0.639,0.636,0.542,0.824206,0.42,Milo teach_skill: progress=0.54; resource=0.64; face=0.54
208,Sol,work_project,0.577567,0.694,0.494,0.6,0.84058,0.26,Sol work_project: progress=0.58; resource=0.49; face=0.60
209,Ari,hearth_return,0.537102,0.619,0.428,0.518,0.830722,0.5,Ari hearth_return: progress=0.54; resource=0.43; face=0.52
210,Fay,ritual_hum,0.518403,0.705,0.478,0.714,0.8286,0.5,Fay ritual_hum: progress=0.52; resource=0.48; face=0.71
211,Milo,relationship_check,0.541255,0.639,0.636,0.546,0.722479,0.5,Milo relationship_check: progress=0.54; resource=0.64; face=0.55
212,Sol,store_objects,0.577567,0.694,0.488,0.6,0.839033,0.5,Sol store_objects: progress=0.58; resource=0.49; face=0.60
213,Ari,store_objects,0.537102,0.619,0.422,0.518,0.833627,0.34,Ari store_objects: progress=0.54; resource=0.42; face=0.52
214,Fay,ritual_hum,0.518403,0.712,0.478,0.732,0.811006,0.34,Fay ritual_hum: progress=0.52; resource=0.48; face=0.73
215,Milo,ritual_hum,0.541255,0.646,0.636,0.564,0.8454,0.34,Milo ritual_hum: progress=0.54; resource=0.64; face=0.56
216,Sol,relationship_check,0.577567,0.694,0.488,0.618,0.799503,0.34,Sol relationship_check: progress=0.58; resource=0.49; face=0.62
217,Ari,guarded_rest,0.537102,0.626,0.422,0.518,0.794711,0.18,Ari guarded_rest: progress=0.54; resource=0.42; face=0.52
218,Fay,soft_recovery,0.518403,0.719,0.478,0.742,0.808211,0.34,Fay soft_recovery: progress=0.52; resource=0.48; face=0.74
219,Milo,sleep,0.541255,0.653,0.636,0.564,0.829632,0.18,Milo sleep: progress=0.54; resource=0.64; face=0.56
220,Sol,dream_sort_memory,0.577567,0.701,0.488,0.618,0.8608,0.18,Sol dream_sort_memory: progress=0.58; resource=0.49; face=0.62
221,Ari,dream_sort_memory,0.537102,0.633,0.422,0.518,0.8524,0.5,Ari dream_sort_memory: progress=0.54; resource=0.42; face=0.52
222,Fay,guarded_rest,0.518403,0.726,0.478,0.728,0.708585,0.5,Fay guarded_rest: progress=0.52; resource=0.48; face=0.73
223,Milo,soft_recovery,0.541255,0.66,0.618,0.564,0.824267,0.5,Milo soft_recovery: progress=0.54; resource=0.62; face=0.56
224,Sol,sleep,0.577567,0.708,0.488,0.618,0.843816,0.5,Sol sleep: progress=0.58; resource=0.49; face=0.62
225,Ari,prepare_tools,0.555034,0.647,0.422,0.518,0.8524,0.42,Ari prepare_tools: progress=0.56; resource=0.42; face=0.52
226,Fay,quiet_route_scan,0.535375,0.74,0.478,0.728,0.770127,0.42,Fay quiet_route_scan: progress=0.54; resource=0.48; face=0.73
227,Milo,share_water,0.541255,0.66,0.618,0.564,0.825304,0.58,Milo share_water: progress=0.54; resource=0.62; face=0.56
228,Sol,wake_check_body,0.577567,0.708,0.488,0.618,0.839102,0.42,Sol wake_check_body: progress=0.58; resource=0.49; face=0.62
229,Ari,wake_check_body,0.555034,0.647,0.422,0.518,0.831027,0.26,Ari wake_check_body: progress=0.56; resource=0.42; face=0.52
230,Fay,prepare_tools,0.552608,0.754,0.478,0.728,0.8286,0.26,Fay prepare_tools: progress=0.55; resource=0.48; face=0.73
231,Milo,quiet_route_scan,0.558421,0.674,0.618,0.55,0.726425,0.26,Milo quiet_route_scan: progress=0.56; resource=0.62; face=0.55
232,Sol,share_water,0.577567,0.708,0.47,0.618,0.843368,0.26,Sol share_water: progress=0.58; resource=0.47; face=0.62
233,Ari,repair_route,0.572943,0.661,0.404,0.518,0.830312,0.5,Ari repair_route: progress=0.57; resource=0.40; face=0.52
234,Fay,work_project,0.569909,0.768,0.478,0.728,0.808086,0.5,Fay work_project: progress=0.57; resource=0.48; face=0.73
235,Milo,market_exchange,0.575861,0.688,0.644,0.55,0.8454,0.5,Milo market_exchange: progress=0.58; resource=0.64; face=0.55
236,Sol,repair_route,0.595285,0.722,0.47,0.618,0.797512,0.5,Sol repair_route: progress=0.60; resource=0.47; face=0.62
237,Ari,repair_route,0.590594,0.675,0.404,0.518,0.793822,0.34,Ari repair_route: progress=0.59; resource=0.40; face=0.52
238,Fay,teach_skill,0.587252,0.792,0.478,0.746,0.80812,0.5,Fay teach_skill: progress=0.59; resource=0.48; face=0.75
239,Milo,market_exchange,0.593394,0.702,0.67,0.55,0.827402,0.34,Milo market_exchange: progress=0.59; resource=0.67; face=0.55
240,Sol,market_exchange,0.613151,0.736,0.496,0.618,0.8608,0.34,Sol market_exchange: progress=0.61; resource=0.50; face=0.62
241,Ari,ritual_hum,0.590594,0.682,0.404,0.536,0.8524,0.18,Ari ritual_hum: progress=0.59; resource=0.40; face=0.54
242,Fay,ritual_hum,0.587252,0.799,0.478,0.75,0.709347,0.18,Fay ritual_hum: progress=0.59; resource=0.48; face=0.75
243,Milo,store_objects,0.593394,0.702,0.664,0.55,0.824802,0.18,Milo store_objects: progress=0.59; resource=0.66; face=0.55
244,Sol,hearth_return,0.613151,0.736,0.496,0.618,0.84497,0.18,Sol hearth_return: progress=0.61; resource=0.50; face=0.62
245,Ari,hearth_return,0.590594,0.682,0.404,0.536,0.835191,0.42,Ari hearth_return: progress=0.59; resource=0.40; face=0.54
246,Fay,ritual_hum,0.587252,0.806,0.478,0.768,0.8286,0.42,Fay ritual_hum: progress=0.59; resource=0.48; face=0.77
247,Milo,relationship_check,0.593394,0.702,0.664,0.568,0.787182,0.42,Milo relationship_check: progress=0.59; resource=0.66; face=0.57
248,Sol,store_objects,0.613151,0.736,0.508,0.618,0.84464,0.58,Sol store_objects: progress=0.61; resource=0.51; face=0.62
249,Ari,soft_recovery,0.590594,0.689,0.404,0.546,0.834033,0.42,Ari soft_recovery: progress=0.59; resource=0.40; face=0.55
250,Fay,sleep,0.587252,0.813,0.478,0.768,0.809828,0.26,Fay sleep: progress=0.59; resource=0.48; face=0.77
251,Milo,dream_sort_memory,0.593394,0.709,0.664,0.568,0.8454,0.26,Milo dream_sort_memory: progress=0.59; resource=0.66; face=0.57
252,Sol,guarded_rest,0.613151,0.743,0.508,0.604,0.739857,0.26,Sol guarded_rest: progress=0.61; resource=0.51; face=0.60
253,Ari,guarded_rest,0.590594,0.696,0.404,0.532,0.727491,0.18,Ari guarded_rest: progress=0.59; resource=0.40; face=0.53
254,Fay,soft_recovery,0.587252,0.82,0.46,0.768,0.809585,0.18,Fay soft_recovery: progress=0.59; resource=0.46; face=0.77
255,Milo,sleep,0.593394,0.716,0.664,0.568,0.826306,0.18,Milo sleep: progress=0.59; resource=0.66; face=0.57
256,Sol,dream_sort_memory,0.613151,0.75,0.508,0.604,0.8608,0.18,Sol dream_sort_memory: progress=0.61; resource=0.51; face=0.60
257,Ari,quiet_route_scan,0.607849,0.71,0.404,0.532,0.790201,0.5,Ari quiet_route_scan: progress=0.61; resource=0.40; face=0.53
258,Fay,share_water,0.587252,0.82,0.46,0.768,0.807546,0.66,Fay share_water: progress=0.59; resource=0.46; face=0.77
259,Milo,wake_check_body,0.593394,0.716,0.664,0.568,0.827528,0.5,Milo wake_check_body: progress=0.59; resource=0.66; face=0.57
260,Sol,quiet_route_scan,0.631056,0.764,0.508,0.604,0.8608,0.5,Sol quiet_route_scan: progress=0.63; resource=0.51; face=0.60
261,Ari,prepare_tools,0.625379,0.724,0.404,0.532,0.8524,0.34,Ari prepare_tools: progress=0.63; resource=0.40; face=0.53
262,Fay,quiet_route_scan,0.604169,0.834,0.46,0.754,0.704482,0.34,Fay quiet_route_scan: progress=0.60; resource=0.46; face=0.75
263,Milo,share_water,0.593394,0.716,0.646,0.568,0.824644,0.34,Milo share_water: progress=0.59; resource=0.65; face=0.57
264,Sol,quiet_route_scan,0.649012,0.778,0.508,0.604,0.841068,0.34,Sol quiet_route_scan: progress=0.65; resource=0.51; face=0.60
265,Ari,repair_route,0.642987,0.738,0.404,0.532,0.831642,0.18,Ari repair_route: progress=0.64; resource=0.40; face=0.53
266,Fay,market_exchange,0.621362,0.848,0.486,0.754,0.8286,0.18,Fay market_exchange: progress=0.62; resource=0.49; face=0.75
267,Milo,repair_route,0.610904,0.73,0.646,0.568,0.783736,0.18,Milo repair_route: progress=0.61; resource=0.65; face=0.57
268,Sol,teach_skill,0.667006,0.802,0.508,0.622,0.842818,0.34,Sol teach_skill: progress=0.67; resource=0.51; face=0.62
269,Ari,repair_route,0.660635,0.752,0.404,0.532,0.830338,0.58,Ari repair_route: progress=0.66; resource=0.40; face=0.53
270,Fay,work_project,0.638649,0.862,0.486,0.754,0.810388,0.42,Fay work_project: progress=0.64; resource=0.49; face=0.75
271,Milo,market_exchange,0.628561,0.744,0.672,0.568,0.8454,0.42,Milo market_exchange: progress=0.63; resource=0.67; face=0.57
272,Sol,repair_route,0.684437,0.816,0.508,0.608,0.741059,0.42,Sol repair_route: progress=0.68; resource=0.51; face=0.61
273,Ari,relationship_check,0.660635,0.752,0.404,0.536,0.726825,0.26,Ari relationship_check: progress=0.66; resource=0.40; face=0.54
274,Fay,ritual_hum,0.638649,0.869,0.468,0.772,0.808962,0.26,Fay ritual_hum: progress=0.64; resource=0.47; face=0.77
275,Milo,hearth_return,0.628561,0.744,0.672,0.568,0.82397,0.26,Milo hearth_return: progress=0.63; resource=0.67; face=0.57
276,Sol,ritual_hum,0.684437,0.823,0.508,0.626,0.8608,0.26,Sol ritual_hum: progress=0.68; resource=0.51; face=0.63
277,Ari,ritual_hum,0.660635,0.759,0.404,0.554,0.8524,0.5,Ari ritual_hum: progress=0.66; resource=0.40; face=0.55
278,Fay,ritual_hum,0.638649,0.876,0.468,0.79,0.769516,0.5,Fay ritual_hum: progress=0.64; resource=0.47; face=0.79
279,Milo,store_objects,0.628561,0.744,0.684,0.568,0.82714,0.66,Milo store_objects: progress=0.63; resource=0.68; face=0.57
280,Sol,hearth_return,0.684437,0.823,0.508,0.626,0.843701,0.5,Sol hearth_return: progress=0.68; resource=0.51; face=0.63
281,Ari,sleep,0.660635,0.766,0.404,0.554,0.832494,0.34,Ari sleep: progress=0.66; resource=0.40; face=0.55
282,Fay,dream_sort_memory,0.638649,0.883,0.468,0.79,0.8286,0.34,Fay dream_sort_memory: progress=0.64; resource=0.47; face=0.79
283,Milo,guarded_rest,0.628561,0.751,0.684,0.554,0.7263,0.34,Milo guarded_rest: progress=0.63; resource=0.68; face=0.55
284,Sol,soft_recovery,0.684437,0.83,0.49,0.626,0.844151,0.34,Sol soft_recovery: progress=0.68; resource=0.49; face=0.63
285,Ari,soft_recovery,0.660635,0.773,0.386,0.554,0.836593,0.26,Ari soft_recovery: progress=0.66; resource=0.39; face=0.55
286,Fay,sleep,0.638649,0.89,0.468,0.8,0.808834,0.26,Fay sleep: progress=0.64; resource=0.47; face=0.80
287,Milo,dream_sort_memory,0.628561,0.758,0.684,0.554,0.8454,0.26,Milo dream_sort_memory: progress=0.63; resource=0.68; face=0.55
288,Sol,guarded_rest,0.684437,0.837,0.49,0.626,0.798136,0.26,Sol guarded_rest: progress=0.68; resource=0.49; face=0.63
289,Ari,share_water,0.660635,0.773,0.386,0.554,0.834227,0.34,Ari share_water: progress=0.66; resource=0.39; face=0.55
290,Fay,wake_check_body,0.638649,0.89,0.468,0.8,0.807027,0.18,Fay wake_check_body: progress=0.64; resource=0.47; face=0.80
291,Milo,prepare_tools,0.646238,0.772,0.684,0.554,0.8454,0.18,Milo prepare_tools: progress=0.65; resource=0.68; face=0.55
292,Sol,quiet_route_scan,0.701689,0.851,0.49,0.612,0.7369,0.18,Sol quiet_route_scan: progress=0.70; resource=0.49; face=0.61
293,Ari,quiet_route_scan,0.677904,0.787,0.386,0.54,0.732292,0.42,Ari quiet_route_scan: progress=0.68; resource=0.39; face=0.54
294,Fay,share_water,0.638649,0.89,0.45,0.8,0.809695,0.42,Fay share_water: progress=0.64; resource=0.45; face=0.80
295,Milo,wake_check_body,0.646238,0.772,0.684,0.554,0.829331,0.42,Milo wake_check_body: progress=0.65; resource=0.68; face=0.55
296,Sol,prepare_tools,0.719259,0.865,0.49,0.612,0.8608,0.42,Sol prepare_tools: progress=0.72; resource=0.49; face=0.61
297,Ari,repair_route,0.695447,0.801,0.386,0.54,0.8524,0.26,Ari repair_route: progress=0.70; resource=0.39; face=0.54
298,Fay,repair_route,0.655965,0.904,0.45,0.8,0.771393,0.26,Fay repair_route: progress=0.66; resource=0.45; face=0.80
299,Milo,market_exchange,0.664024,0.786,0.71,0.554,0.827464,0.42,Milo market_exchange: progress=0.66; resource=0.71; face=0.55
300,Sol,work_project,0.736947,0.879,0.49,0.612,0.84123,0.26,Sol work_project: progress=0.74; resource=0.49; face=0.61
301,Ari,repair_route,0.713063,0.815,0.386,0.54,0.83106,0.5,Ari repair_route: progress=0.71; resource=0.39; face=0.54
302,Fay,market_exchange,0.673416,0.918,0.476,0.8,0.8286,0.5,Fay market_exchange: progress=0.67; resource=0.48; face=0.80
303,Milo,market_exchange,0.681227,0.8,0.736,0.54,0.722622,0.5,Milo market_exchange: progress=0.68; resource=0.74; face=0.54
304,Sol,teach_skill,0.754709,0.903,0.472,0.63,0.843849,0.5,Sol teach_skill: progress=0.75; resource=0.47; face=0.63
305,Ari,store_objects,0.713063,0.815,0.38,0.54,0.834416,0.34,Ari store_objects: progress=0.71; resource=0.38; face=0.54
306,Fay,ritual_hum,0.673416,0.925,0.476,0.818,0.809606,0.34,Fay ritual_hum: progress=0.67; resource=0.48; face=0.82
307,Milo,ritual_hum,0.681227,0.807,0.736,0.558,0.8454,0.34,Milo ritual_hum: progress=0.68; resource=0.74; face=0.56
308,Sol,relationship_check,0.754709,0.903,0.472,0.648,0.80367,0.34,Sol relationship_check: progress=0.75; resource=0.47; face=0.65
309,Ari,relationship_check,0.713063,0.815,0.38,0.558,0.790628,0.18,Ari relationship_check: progress=0.71; resource=0.38; face=0.56
310,Fay,ritual_hum,0.673416,0.932,0.476,0.836,0.809828,0.34,Fay ritual_hum: progress=0.67; resource=0.48; face=0.84
311,Milo,hearth_return,0.681227,0.807,0.736,0.558,0.829642,0.18,Milo hearth_return: progress=0.68; resource=0.74; face=0.56
312,Sol,ritual_hum,0.754709,0.91,0.472,0.666,0.8608,0.18,Sol ritual_hum: progress=0.75; resource=0.47; face=0.67
313,Ari,dream_sort_memory,0.713063,0.822,0.38,0.558,0.8524,0.42,Ari dream_sort_memory: progress=0.71; resource=0.38; face=0.56
314,Fay,guarded_rest,0.673416,0.939,0.476,0.822,0.702981,0.42,Fay guarded_rest: progress=0.67; resource=0.48; face=0.82
315,Milo,soft_recovery,0.681227,0.814,0.718,0.558,0.824352,0.42,Milo soft_recovery: progress=0.68; resource=0.72; face=0.56
316,Sol,sleep,0.754709,0.917,0.472,0.666,0.839758,0.42,Sol sleep: progress=0.75; resource=0.47; face=0.67
317,Ari,sleep,0.713063,0.829,0.38,0.558,0.831125,0.34,Ari sleep: progress=0.71; resource=0.38; face=0.56
318,Fay,dream_sort_memory,0.673416,0.946,0.476,0.832,0.8286,0.34,Fay dream_sort_memory: progress=0.67; resource=0.48; face=0.83
319,Milo,guarded_rest,0.681227,0.821,0.718,0.558,0.787791,0.34,Milo guarded_rest: progress=0.68; resource=0.72; face=0.56
320,Sol,soft_recovery,0.754709,0.924,0.472,0.676,0.843157,0.5,Sol soft_recovery: progress=0.75; resource=0.47; face=0.68
321,Ari,wake_check_body,0.713063,0.829,0.38,0.558,0.831117,0.26,Ari wake_check_body: progress=0.71; resource=0.38; face=0.56
322,Fay,prepare_tools,0.690898,0.96,0.476,0.832,0.8286,0.26,Fay prepare_tools: progress=0.69; resource=0.48; face=0.83
323,Milo,quiet_route_scan,0.698293,0.835,0.718,0.544,0.725978,0.26,Milo quiet_route_scan: progress=0.70; resource=0.72; face=0.54
324,Sol,share_water,0.754709,0.924,0.454,0.676,0.841523,0.26,Sol share_water: progress=0.75; resource=0.45; face=0.68
325,Ari,share_water,0.713063,0.829,0.362,0.558,0.83081,0.5,Ari share_water: progress=0.71; resource=0.36; face=0.56
326,Fay,wake_check_body,0.690898,0.96,0.476,0.832,0.812198,0.5,Fay wake_check_body: progress=0.69; resource=0.48; face=0.83
327,Milo,prepare_tools,0.715669,0.849,0.718,0.544,0.8454,0.5,Milo prepare_tools: progress=0.72; resource=0.72; face=0.54
328,Sol,quiet_route_scan,0.77247,0.938,0.454,0.676,0.802491,0.5,Sol quiet_route_scan: progress=0.77; resource=0.45; face=0.68
329,Ari,repair_route,0.730647,0.843,0.362,0.558,0.790489,0.34,Ari repair_route: progress=0.73; resource=0.36; face=0.56
330,Fay,teach_skill,0.708452,0.984,0.476,0.85,0.807931,0.5,Fay teach_skill: progress=0.71; resource=0.48; face=0.85
331,Milo,work_project,0.733154,0.863,0.718,0.544,0.825362,0.34,Milo work_project: progress=0.73; resource=0.72; face=0.54
332,Sol,market_exchange,0.790381,0.952,0.48,0.676,0.8608,0.34,Sol market_exchange: progress=0.79; resource=0.48; face=0.68
333,Ari,repair_route,0.748383,0.857,0.362,0.558,0.8524,0.18,Ari repair_route: progress=0.75; resource=0.36; face=0.56
334,Fay,repair_route,0.725438,0.998,0.476,0.836,0.708693,0.18,Fay repair_route: progress=0.73; resource=0.48; face=0.84
335,Milo,teach_skill,0.750698,0.887,0.7,0.562,0.826399,0.18,Milo teach_skill: progress=0.75; resource=0.70; face=0.56
336,Sol,work_project,0.8083,0.966,0.48,0.676,0.844155,0.18,Sol work_project: progress=0.81; resource=0.48; face=0.68
337,Ari,hearth_return,0.748383,0.857,0.362,0.558,0.832117,0.42,Ari hearth_return: progress=0.75; resource=0.36; face=0.56
338,Fay,ritual_hum,0.725438,1.0,0.476,0.854,0.8286,0.42,Fay ritual_hum: progress=0.73; resource=0.48; face=0.85
339,Milo,relationship_check,0.750698,0.887,0.7,0.58,0.788194,0.42,Milo relationship_check: progress=0.75; resource=0.70; face=0.58
340,Sol,store_objects,0.8083,0.966,0.492,0.676,0.84238,0.58,Sol store_objects: progress=0.81; resource=0.49; face=0.68
341,Ari,store_objects,0.748383,0.857,0.374,0.558,0.832139,0.42,Ari store_objects: progress=0.75; resource=0.37; face=0.56
342,Fay,ritual_hum,0.725438,1.0,0.476,0.872,0.807528,0.26,Fay ritual_hum: progress=0.73; resource=0.48; face=0.87
343,Milo,ritual_hum,0.750698,0.894,0.7,0.598,0.8454,0.26,Milo ritual_hum: progress=0.75; resource=0.70; face=0.60
344,Sol,relationship_check,0.8083,0.966,0.492,0.68,0.740649,0.26,Sol relationship_check: progress=0.81; resource=0.49; face=0.68
345,Ari,guarded_rest,0.748383,0.864,0.374,0.544,0.729276,0.5,Ari guarded_rest: progress=0.75; resource=0.37; face=0.54
346,Fay,soft_recovery,0.725438,1.0,0.458,0.872,0.806864,0.5,Fay soft_recovery: progress=0.73; resource=0.46; face=0.87
347,Milo,sleep,0.750698,0.901,0.7,0.598,0.825352,0.5,Milo sleep: progress=0.75; resource=0.70; face=0.60
348,Sol,dream_sort_memory,0.8083,0.973,0.492,0.68,0.8608,0.5,Sol dream_sort_memory: progress=0.81; resource=0.49; face=0.68
349,Ari,dream_sort_memory,0.748383,0.871,0.374,0.544,0.8524,0.42,Ari dream_sort_memory: progress=0.75; resource=0.37; face=0.54
350,Fay,guarded_rest,0.725438,1.0,0.458,0.872,0.765786,0.42,Fay guarded_rest: progress=0.73; resource=0.46; face=0.87
351,Milo,soft_recovery,0.750698,0.908,0.7,0.608,0.828339,0.58,Milo soft_recovery: progress=0.75; resource=0.70; face=0.61
352,Sol,sleep,0.8083,0.98,0.492,0.68,0.842198,0.42,Sol sleep: progress=0.81; resource=0.49; face=0.68
353,Ari,prepare_tools,0.766139,0.885,0.374,0.544,0.8524,0.34,Ari prepare_tools: progress=0.77; resource=0.37; face=0.54
354,Fay,quiet_route_scan,0.74222,1.0,0.458,0.858,0.70488,0.34,Fay quiet_route_scan: progress=0.74; resource=0.46; face=0.86
355,Milo,share_water,0.750698,0.908,0.682,0.608,0.829143,0.34,Milo share_water: progress=0.75; resource=0.68; face=0.61
356,Sol,quiet_route_scan,0.826142,0.994,0.492,0.68,0.838055,0.34,Sol quiet_route_scan: progress=0.83; resource=0.49; face=0.68
357,Ari,wake_check_body,0.766139,0.885,0.374,0.544,0.833288,0.18,Ari wake_check_body: progress=0.77; resource=0.37; face=0.54
358,Fay,prepare_tools,0.759323,1.0,0.458,0.858,0.8286,0.18,Fay prepare_tools: progress=0.76; resource=0.46; face=0.86
359,Milo,quiet_route_scan,0.768231,0.922,0.682,0.608,0.782482,0.18,Milo quiet_route_scan: progress=0.77; resource=0.68; face=0.61
360,Sol,quiet_route_scan,0.844066,1.0,0.492,0.68,0.843872,0.34,Sol quiet_route_scan: progress=0.84; resource=0.49; face=0.68
361,Ari,repair_route,0.783986,0.899,0.374,0.544,0.832019,0.58,Ari repair_route: progress=0.78; resource=0.37; face=0.54
362,Fay,work_project,0.776553,1.0,0.458,0.858,0.810447,0.42,Fay work_project: progress=0.78; resource=0.46; face=0.86
363,Milo,market_exchange,0.785915,0.936,0.708,0.608,0.8454,0.42,Milo market_exchange: progress=0.79; resource=0.71; face=0.61
364,Sol,repair_route,0.861422,1.0,0.492,0.666,0.735276,0.42,Sol repair_route: progress=0.86; resource=0.49; face=0.67
365,Ari,repair_route,0.801283,0.913,0.374,0.53,0.733578,0.26,Ari repair_route: progress=0.80; resource=0.37; face=0.53
366,Fay,teach_skill,0.793837,1.0,0.44,0.876,0.808021,0.26,Fay teach_skill: progress=0.79; resource=0.44; face=0.88
367,Milo,market_exchange,0.803595,0.95,0.734,0.608,0.826354,0.26,Milo market_exchange: progress=0.80; resource=0.73; face=0.61
368,Sol,market_exchange,0.879047,1.0,0.518,0.666,0.8608,0.26,Sol market_exchange: progress=0.88; resource=0.52; face=0.67
369,Ari,ritual_hum,0.801283,0.92,0.374,0.548,0.8524,0.5,Ari ritual_hum: progress=0.80; resource=0.37; face=0.55
370,Fay,ritual_hum,0.793837,1.0,0.44,0.894,0.770843,0.5,Fay ritual_hum: progress=0.79; resource=0.44; face=0.89
371,Milo,store_objects,0.803595,0.95,0.746,0.608,0.824553,0.66,Milo store_objects: progress=0.80; resource=0.75; face=0.61
372,Sol,hearth_return,0.879047,1.0,0.518,0.666,0.843492,0.5,Sol hearth_return: progress=0.88; resource=0.52; face=0.67
373,Ari,hearth_return,0.801283,0.92,0.374,0.548,0.8325,0.34,Ari hearth_return: progress=0.80; resource=0.37; face=0.55
374,Fay,ritual_hum,0.793837,1.0,0.44,0.912,0.8286,0.34,Fay ritual_hum: progress=0.79; resource=0.44; face=0.91
375,Milo,relationship_check,0.803595,0.95,0.746,0.612,0.720786,0.34,Milo relationship_check: progress=0.80; resource=0.75; face=0.61
376,Sol,store_objects,0.879047,1.0,0.512,0.666,0.845034,0.34,Sol store_objects: progress=0.88; resource=0.51; face=0.67
377,Ari,soft_recovery,0.801283,0.927,0.356,0.548,0.836087,0.18,Ari soft_recovery: progress=0.80; resource=0.36; face=0.55
378,Fay,sleep,0.793837,1.0,0.44,0.912,0.810045,0.18,Fay sleep: progress=0.79; resource=0.44; face=0.91
379,Milo,dream_sort_memory,0.803595,0.957,0.746,0.612,0.8454,0.18,Milo dream_sort_memory: progress=0.80; resource=0.75; face=0.61
380,Sol,guarded_rest,0.879047,1.0,0.512,0.666,0.798745,0.18,Sol guarded_rest: progress=0.88; resource=0.51; face=0.67
381,Ari,guarded_rest,0.801283,0.934,0.356,0.548,0.790731,0.5,Ari guarded_rest: progress=0.80; resource=0.36; face=0.55
382,Fay,soft_recovery,0.793837,1.0,0.44,0.922,0.810212,0.66,Fay soft_recovery: progress=0.79; resource=0.44; face=0.92
383,Milo,sleep,0.803595,0.964,0.746,0.612,0.826455,0.5,Milo sleep: progress=0.80; resource=0.75; face=0.61
384,Sol,dream_sort_memory,0.879047,1.0,0.512,0.666,0.8608,0.5,Sol dream_sort_memory: progress=0.88; resource=0.51; face=0.67
385,Ari,quiet_route_scan,0.818398,0.948,0.356,0.534,0.726566,0.42,Ari quiet_route_scan: progress=0.82; resource=0.36; face=0.53
386,Fay,share_water,0.793837,1.0,0.422,0.922,0.807511,0.42,Fay share_water: progress=0.79; resource=0.42; face=0.92
387,Milo,wake_check_body,0.803595,0.964,0.746,0.612,0.822996,0.42,Milo wake_check_body: progress=0.80; resource=0.75; face=0.61
388,Sol,prepare_tools,0.897096,1.0,0.512,0.666,0.8608,0.42,Sol prepare_tools: progress=0.90; resource=0.51; face=0.67
389,Ari,prepare_tools,0.835836,0.962,0.356,0.534,0.8524,0.26,Ari prepare_tools: progress=0.84; resource=0.36; face=0.53
390,Fay,quiet_route_scan,0.81113,1.0,0.422,0.922,0.767436,0.26,Fay quiet_route_scan: progress=0.81; resource=0.42; face=0.92
391,Milo,share_water,0.803595,0.964,0.746,0.612,0.828329,0.42,Milo share_water: progress=0.80; resource=0.75; face=0.61
392,Sol,wake_check_body,0.897096,1.0,0.512,0.666,0.838488,0.26,Sol wake_check_body: progress=0.90; resource=0.51; face=0.67
393,Ari,repair_route,0.853405,0.976,0.356,0.534,0.834657,0.5,Ari repair_route: progress=0.85; resource=0.36; face=0.53
394,Fay,market_exchange,0.828574,1.0,0.448,0.922,0.8286,0.5,Fay market_exchange: progress=0.83; resource=0.45; face=0.92
395,Milo,repair_route,0.820719,0.978,0.746,0.598,0.719772,0.5,Milo repair_route: progress=0.82; resource=0.75; face=0.60
396,Sol,teach_skill,0.915152,1.0,0.494,0.684,0.844624,0.5,Sol teach_skill: progress=0.92; resource=0.49; face=0.68
397,Ari,repair_route,0.871042,0.99,0.338,0.534,0.834487,0.34,Ari repair_route: progress=0.87; resource=0.34; face=0.53
398,Fay,work_project,0.846003,1.0,0.448,0.922,0.807737,0.34,Fay work_project: progress=0.85; resource=0.45; face=0.92
399,Milo,market_exchange,0.838115,0.992,0.772,0.598,0.8454,0.34,Milo market_exchange: progress=0.84; resource=0.77; face=0.60
400,Sol,repair_route,0.932921,1.0,0.494,0.684,0.798206,0.34,Sol repair_route: progress=0.93; resource=0.49; face=0.68
401,Ari,relationship_check,0.871042,0.99,0.338,0.552,0.789002,0.18,Ari relationship_check: progress=0.87; resource=0.34; face=0.55
402,Fay,ritual_hum,0.846003,1.0,0.448,0.94,0.806217,0.34,Fay ritual_hum: progress=0.85; resource=0.45; face=0.94
403,Milo,hearth_return,0.838115,0.992,0.772,0.598,0.827364,0.18,Milo hearth_return: progress=0.84; resource=0.77; face=0.60
404,Sol,ritual_hum,0.932921,1.0,0.494,0.702,0.8608,0.18,Sol ritual_hum: progress=0.93; resource=0.49; face=0.70
405,Ari,ritual_hum,0.871042,0.997,0.338,0.57,0.8524,0.42,Ari ritual_hum: progress=0.87; resource=0.34; face=0.57
406,Fay,ritual_hum,0.846003,1.0,0.448,0.944,0.707079,0.42,Fay ritual_hum: progress=0.85; resource=0.45; face=0.94
407,Milo,store_objects,0.838115,0.992,0.766,0.598,0.824351,0.42,Milo store_objects: progress=0.84; resource=0.77; face=0.60
408,Sol,hearth_return,0.932921,1.0,0.494,0.702,0.844673,0.42,Sol hearth_return: progress=0.93; resource=0.49; face=0.70
409,Ari,sleep,0.871042,1.0,0.338,0.57,0.831969,0.26,Ari sleep: progress=0.87; resource=0.34; face=0.57
