tick,day,scene_id,agent,previous_reaction,consequence_kind,path_bias_x,path_bias_y,access_gate_state,object_request_bias,followup_changed,behavior_consequence_score
293,19,v23-scene-d19,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
294,19,v23-scene-d19,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
295,19,v23-scene-d19,Melo,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
296,19,v23-scene-d19,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
297,19,v23-scene-d19,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
298,19,v23-scene-d19,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
299,19,v23-scene-d19,Ori,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
300,19,v23-scene-d19,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
301,19,v23-scene-d19,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
302,19,v23-scene-d19,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
303,19,v23-scene-d19,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.55
304,20,v23-scene-d20,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
305,20,v23-scene-d20,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
306,20,v23-scene-d20,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
307,20,v23-scene-d20,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
308,20,v23-scene-d20,Ori,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
309,20,v23-scene-d20,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
310,20,v23-scene-d20,Ori,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
311,20,v23-scene-d20,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
312,20,v23-scene-d20,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
313,20,v23-scene-d20,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
314,20,v23-scene-d20,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
315,20,v23-scene-d20,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
316,20,v23-scene-d20,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
317,20,v23-scene-d20,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
318,20,v23-scene-d20,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
319,20,v23-scene-d20,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
320,21,v23-scene-d21,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
321,21,v23-scene-d21,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
322,21,v23-scene-d21,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
323,21,v23-scene-d21,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
324,21,v23-scene-d21,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
325,21,v23-scene-d21,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
326,21,v23-scene-d21,Ori,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
327,21,v23-scene-d21,Keth,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.9
328,21,v23-scene-d21,Melo,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
329,21,v23-scene-d21,Keth,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.95
330,21,v23-scene-d21,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
331,21,v23-scene-d21,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
332,21,v23-scene-d21,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
333,21,v23-scene-d21,Keth,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.95
334,21,v23-scene-d21,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
335,21,v23-scene-d21,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
336,22,v23-scene-d22,Melo,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
337,22,v23-scene-d22,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
338,22,v23-scene-d22,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
339,22,v23-scene-d22,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
340,22,v23-scene-d22,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
341,22,v23-scene-d22,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
342,22,v23-scene-d22,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
343,22,v23-scene-d22,Keth,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
344,22,v23-scene-d22,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
345,22,v23-scene-d22,Nari,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
346,22,v23-scene-d22,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
347,22,v23-scene-d22,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
348,22,v23-scene-d22,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
349,22,v23-scene-d22,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
350,22,v23-scene-d22,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
351,22,v23-scene-d22,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
352,23,v23-scene-d23,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
353,23,v23-scene-d23,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
354,23,v23-scene-d23,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
355,23,v23-scene-d23,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
356,23,v23-scene-d23,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
357,23,v23-scene-d23,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
358,23,v23-scene-d23,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
359,23,v23-scene-d23,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
360,23,v23-scene-d23,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
361,23,v23-scene-d23,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
362,23,v23-scene-d23,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
363,23,v23-scene-d23,Melo,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
364,23,v23-scene-d23,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
365,23,v23-scene-d23,Sova,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
366,23,v23-scene-d23,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
367,23,v23-scene-d23,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
368,24,v23-scene-d24,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
369,24,v23-scene-d24,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
370,24,v23-scene-d24,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
371,24,v23-scene-d24,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
372,24,v23-scene-d24,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
373,24,v23-scene-d24,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
374,24,v23-scene-d24,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
375,24,v23-scene-d24,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
376,24,v23-scene-d24,Melo,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
377,24,v23-scene-d24,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
378,24,v23-scene-d24,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
379,24,v23-scene-d24,Melo,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
380,24,v23-scene-d24,Melo,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
381,24,v23-scene-d24,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
382,24,v23-scene-d24,Ori,curious,object-inspection,0.16,0.08,conditional,1,0,0.95
383,24,v23-scene-d24,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
384,25,v23-scene-d25,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
385,25,v23-scene-d25,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
386,25,v23-scene-d25,Melo,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
387,25,v23-scene-d25,Keth,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.9
388,25,v23-scene-d25,Melo,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
389,25,v23-scene-d25,Nari,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
390,25,v23-scene-d25,Keth,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.95
391,25,v23-scene-d25,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
392,25,v23-scene-d25,Nari,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.95
393,25,v23-scene-d25,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
394,25,v23-scene-d25,Nari,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
395,25,v23-scene-d25,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
396,25,v23-scene-d25,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
397,25,v23-scene-d25,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
398,25,v23-scene-d25,Sova,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
399,25,v23-scene-d25,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
400,26,v23-scene-d26,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
401,26,v23-scene-d26,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
402,26,v23-scene-d26,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
403,26,v23-scene-d26,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
404,26,v23-scene-d26,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
405,26,v23-scene-d26,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
406,26,v23-scene-d26,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
407,26,v23-scene-d26,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
408,26,v23-scene-d26,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
409,26,v23-scene-d26,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
410,26,v23-scene-d26,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
411,26,v23-scene-d26,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
412,26,v23-scene-d26,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
413,26,v23-scene-d26,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
414,26,v23-scene-d26,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
415,26,v23-scene-d26,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
