tick,day,cause_action,direct_effect,delayed_effect,affected_resident,affected_resource,trust_delta,schedule_delta,recovery_path,no_history_erasure,harm_recoverable
1035,58,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,rest->seek tool,return object,True,True
1036,58,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,negotiate debt->seek tool,offer help,True,True
1037,58,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,give space,True,True
1038,58,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,care duty->private task,finish owed work,True,True
1039,58,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,private task->recover focus,rest before retry,True,True
1040,58,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,recover focus->work,apologize and wait,True,True
1041,58,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,work->negotiate debt,return object,True,True
1042,58,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,offer help,True,True
1043,58,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,negotiate debt->care duty,give space,True,True
1044,59,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,care duty->private task,rest before retry,True,True
1045,59,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,private task->recover focus,apologize and wait,True,True
1046,59,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,recover focus->work,return object,True,True
1047,59,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,work->rest,offer help,True,True
1048,59,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,rest->seek tool,give space,True,True
1049,59,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,finish owed work,True,True
1050,59,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,seek tool->private task,rest before retry,True,False
1051,59,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,care duty->private task,apologize and wait,True,True
1052,59,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,private task->recover focus,return object,True,True
1053,59,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,recover focus->work,offer help,True,True
1054,59,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,work->rest,give space,True,True
1055,59,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,rest->negotiate debt,finish owed work,True,True
1056,59,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,negotiate debt->care duty,rest before retry,True,True
1057,59,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,seek tool->care duty,apologize and wait,True,True
1058,59,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,care duty->recover focus,return object,True,True
1059,59,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,private task->recover focus,offer help,True,True
1060,59,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,give space,True,True
1061,59,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,work->rest,finish owed work,True,True
1062,60,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,negotiate debt->seek tool,apologize and wait,True,True
1063,60,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,seek tool->private task,return object,True,True
1064,60,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,care duty->private task,offer help,True,True
1065,60,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,private task->work,give space,True,True
1066,60,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,recover focus->work,finish owed work,True,True
1067,60,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,work->rest,rest before retry,True,True
1068,60,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,rest->negotiate debt,apologize and wait,True,True
1069,60,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,negotiate debt->seek tool,return object,True,True
1070,60,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,offer help,True,True
1071,60,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,care duty->recover focus,give space,True,True
1072,60,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,finish owed work,True,True
1073,60,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,recover focus->rest,rest before retry,True,True
1074,60,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,work->rest,apologize and wait,True,True
1075,60,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,rest->negotiate debt,return object,True,True
1076,60,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,negotiate debt->seek tool,offer help,True,True
1077,60,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,give space,True,True
1078,60,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,care duty->private task,finish owed work,True,True
1079,60,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,private task->work,rest before retry,True,True
1080,61,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,work->negotiate debt,return object,True,False
1081,61,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,rest->negotiate debt,offer help,True,True
1082,61,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,negotiate debt->seek tool,give space,True,True
1083,61,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,seek tool->care duty,finish owed work,True,True
1084,61,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,care duty->private task,rest before retry,True,True
1085,61,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,private task->recover focus,apologize and wait,True,True
1086,61,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,recover focus->rest,return object,True,True
1087,61,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,work->rest,offer help,True,True
1088,61,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,rest->seek tool,give space,True,True
1089,61,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,negotiate debt->seek tool,finish owed work,True,True
1090,61,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,rest before retry,True,True
1091,61,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,care duty->private task,apologize and wait,True,True
1092,61,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,private task->recover focus,return object,True,True
1093,61,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,recover focus->work,offer help,True,True
1094,61,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,work->negotiate debt,give space,True,True
1095,61,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,finish owed work,True,True
1096,61,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,negotiate debt->care duty,rest before retry,True,True
1097,61,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,seek tool->care duty,apologize and wait,True,True
1098,62,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,private task->recover focus,offer help,True,True
1099,62,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,recover focus->work,give space,True,True
1100,62,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,work->rest,finish owed work,True,True
1101,62,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,rest->seek tool,rest before retry,True,True
1102,62,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,negotiate debt->seek tool,apologize and wait,True,True
1103,62,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,seek tool->private task,return object,True,True
1104,62,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,care duty->private task,offer help,True,True
1105,62,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,private task->recover focus,give space,True,True
1106,62,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,recover focus->work,finish owed work,True,True
1107,62,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,work->rest,rest before retry,True,True
1108,62,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,apologize and wait,True,True
1109,62,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,negotiate debt->care duty,return object,True,True
1110,62,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,seek tool->care duty,offer help,True,True
1111,62,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,care duty->recover focus,give space,True,True
1112,62,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,private task->recover focus,finish owed work,True,True
1113,62,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,recover focus->work,rest before retry,True,True
1114,62,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,work->rest,apologize and wait,True,True
1115,62,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,rest->negotiate debt,return object,True,True
1116,63,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,seek tool->private task,give space,True,True
1117,63,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,care duty->private task,finish owed work,True,True
1118,63,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,private task->work,rest before retry,True,True
1119,63,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,recover focus->work,apologize and wait,True,True
1120,63,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,work->rest,return object,True,True
1121,63,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,rest->negotiate debt,offer help,True,True
1122,63,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,negotiate debt->seek tool,give space,True,True
1123,63,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,seek tool->care duty,finish owed work,True,True
1124,63,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,care duty->recover focus,rest before retry,True,True
1125,63,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,private task->recover focus,apologize and wait,True,True
1126,63,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,recover focus->rest,return object,True,True
1127,63,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,work->rest,offer help,True,True
1128,63,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,rest->negotiate debt,give space,True,True
1129,63,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,negotiate debt->seek tool,finish owed work,True,True
1130,63,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,rest before retry,True,True
1131,63,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,care duty->private task,apologize and wait,True,True
1132,63,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,private task->work,return object,True,True
1133,63,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,recover focus->work,offer help,True,True
1134,64,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,rest->negotiate debt,finish owed work,True,True
1135,64,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,negotiate debt->seek tool,rest before retry,True,True
1136,64,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,seek tool->care duty,apologize and wait,True,True
1137,64,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,care duty->private task,return object,True,True
1138,64,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,private task->recover focus,offer help,True,True
1139,64,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,recover focus->rest,give space,True,True
1140,64,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,work->rest,finish owed work,True,True
1141,64,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,rest->seek tool,rest before retry,True,True
1142,64,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,negotiate debt->seek tool,apologize and wait,True,True
1143,64,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,return object,True,True
1144,64,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,care duty->private task,offer help,True,True
1145,64,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,private task->recover focus,give space,True,True
1146,64,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,recover focus->work,finish owed work,True,True
1147,64,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,work->negotiate debt,rest before retry,True,True
1148,64,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,rest->negotiate debt,apologize and wait,True,True
1149,64,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,negotiate debt->care duty,return object,True,True
1150,64,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,seek tool->care duty,offer help,True,True
1151,64,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,care duty->private task,give space,True,True
1152,65,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,recover focus->work,rest before retry,True,True
1153,65,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,work->rest,apologize and wait,True,True
1154,65,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,rest->seek tool,return object,True,True
1155,65,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,offer help,True,True
1156,65,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,seek tool->private task,give space,True,True
1157,65,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,care duty->private task,finish owed work,True,True
1158,65,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,private task->recover focus,rest before retry,True,True
1159,65,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,recover focus->work,apologize and wait,True,True
1160,65,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,work->rest,return object,True,True
1161,65,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,offer help,True,True
1162,65,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,negotiate debt->care duty,give space,True,True
1163,65,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,seek tool->care duty,finish owed work,True,True
1164,65,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,care duty->recover focus,rest before retry,True,False
1165,65,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,private task->recover focus,apologize and wait,True,True
1166,65,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,recover focus->work,return object,True,True
1167,65,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,work->rest,offer help,True,True
1168,65,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,rest->negotiate debt,give space,True,True
1169,65,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,negotiate debt->seek tool,finish owed work,True,True
1170,66,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,care duty->private task,apologize and wait,True,True
1171,66,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,private task->work,return object,True,True
1172,66,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,recover focus->work,offer help,True,True
1173,66,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,work->rest,give space,True,True
1174,66,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,rest->negotiate debt,finish owed work,True,True
1175,66,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,rest before retry,True,True
1176,66,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,seek tool->care duty,apologize and wait,True,True
1177,66,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,care duty->recover focus,return object,True,True
1178,66,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,offer help,True,True
1179,66,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,recover focus->rest,give space,True,True
1180,66,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,work->rest,finish owed work,True,True
1181,66,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,rest->negotiate debt,rest before retry,True,True
1182,66,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,negotiate debt->seek tool,apologize and wait,True,True
1183,66,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,seek tool->care duty,return object,True,True
1184,66,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,care duty->private task,offer help,True,True
1185,66,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,private task->work,give space,True,True
1186,66,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,recover focus->work,finish owed work,True,True
1187,66,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,work->negotiate debt,rest before retry,True,True
1188,67,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,negotiate debt->seek tool,return object,True,True
1189,67,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,seek tool->care duty,offer help,True,True
1190,67,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,care duty->private task,give space,True,True
1191,67,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,private task->recover focus,finish owed work,True,True
1192,67,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,recover focus->rest,rest before retry,True,True
1193,67,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,work->rest,apologize and wait,True,True
1194,67,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,rest->seek tool,return object,True,False
1195,67,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,negotiate debt->seek tool,offer help,True,True
1196,67,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,give space,True,True
1197,67,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,care duty->private task,finish owed work,True,True
1198,67,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,private task->recover focus,rest before retry,True,True
1199,67,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,recover focus->work,apologize and wait,True,True
1200,67,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,work->negotiate debt,return object,True,True
1201,67,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,rest->negotiate debt,offer help,True,True
1202,67,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,negotiate debt->care duty,give space,True,True
1203,67,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,seek tool->care duty,finish owed work,True,True
1204,67,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,care duty->private task,rest before retry,True,True
1205,67,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,private task->recover focus,apologize and wait,True,True
1206,68,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,work->rest,offer help,True,True
1207,68,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,rest->seek tool,give space,True,True
1208,68,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,negotiate debt->seek tool,finish owed work,True,True
1209,68,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,seek tool->private task,rest before retry,True,True
1210,68,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,care duty->private task,apologize and wait,True,True
1211,68,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,private task->recover focus,return object,True,True
1212,68,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,recover focus->work,offer help,True,True
1213,68,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,work->rest,give space,True,True
1214,68,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,rest->negotiate debt,finish owed work,True,True
1215,68,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,negotiate debt->care duty,rest before retry,True,True
1216,68,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,apologize and wait,True,True
1217,68,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,care duty->recover focus,return object,True,True
1218,68,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,private task->recover focus,offer help,True,True
1219,68,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,recover focus->work,give space,True,True
1220,68,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,work->rest,finish owed work,True,True
1221,68,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,rest->negotiate debt,rest before retry,True,True
1222,68,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,negotiate debt->seek tool,apologize and wait,True,True
1223,68,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,seek tool->private task,return object,True,True
1224,69,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,private task->work,give space,True,False
1225,69,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,recover focus->work,finish owed work,True,True
1226,69,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,work->rest,rest before retry,True,True
1227,69,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,rest->negotiate debt,apologize and wait,True,True
1228,69,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,negotiate debt->seek tool,return object,True,True
1229,69,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,offer help,True,True
1230,69,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,care duty->recover focus,give space,True,True
1231,69,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,private task->recover focus,finish owed work,True,True
1232,69,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,recover focus->rest,rest before retry,True,True
1233,69,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,work->rest,apologize and wait,True,True
1234,69,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,return object,True,True
1235,69,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,negotiate debt->seek tool,offer help,True,True
1236,69,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,seek tool->care duty,give space,True,True
1237,69,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,care duty->private task,finish owed work,True,True
1238,69,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,private task->work,rest before retry,True,True
1239,69,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,recover focus->work,apologize and wait,True,True
1240,69,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,work->negotiate debt,return object,True,True
1241,69,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,rest->negotiate debt,offer help,True,True
1242,70,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,seek tool->care duty,finish owed work,True,True
1243,70,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,care duty->private task,rest before retry,True,True
1244,70,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,private task->recover focus,apologize and wait,True,True
1245,70,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,recover focus->rest,return object,True,True
1246,70,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,work->rest,offer help,True,True
1247,70,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,rest->seek tool,give space,True,True
1248,70,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,negotiate debt->seek tool,finish owed work,True,True
1249,70,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,seek tool->care duty,rest before retry,True,True
1250,70,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,care duty->private task,apologize and wait,True,True
1251,70,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,private task->recover focus,return object,True,True
1252,70,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,offer help,True,True
